[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[02:49:26.614 --> 02:49:28.635]  And he's probably about 100 yards away from the entrance.
[02:49:28.655 --> 02:49:29.996]  Now he's about 60, 70 yards.
[02:49:30.116 --> 02:49:31.957]  Now he's about, you know, he's a little bit closer to that area.
[02:49:31.997 --> 02:49:33.258]  I guess that's an entrance.
[02:49:34.059 --> 02:49:36.340]  And how dare him try to videotape this?
[02:49:37.281 --> 02:49:39.522]  You know, I was just in Canada a few years ago videotaping the U.S.
[02:49:39.582 --> 02:49:39.863]  Embassy.
[02:49:39.903 --> 02:49:40.463]  It's interesting.
[02:49:41.084 --> 02:49:43.545]  You know, they've got cameras everywhere watching us.
[02:49:45.106 --> 02:49:47.408]  And watch, they come over and give him the terrorism code.
[02:49:48.863 --> 02:49:50.064]  Everything's for terrorism.
[02:49:51.905 --> 02:49:53.765]  Now he's even further away from the embassy.
[02:49:56.567 --> 02:49:58.028]  He's walking by some police.
[02:50:00.589 --> 02:50:01.990]  He's by a city street.
[02:50:02.070 --> 02:50:03.550]  I guess you can't videotape city streets.
[02:50:04.111 --> 02:50:04.531]  What is it?
[02:50:04.551 --> 02:50:05.931]  This is spot criminals done.
[02:50:06.552 --> 02:50:08.573]  By the way, all these reporters are getting arrested in, uh...
[02:50:10.811 --> 02:50:11.891]  I'm in Greece right now in Vildenburg.
[02:50:11.911 --> 02:50:12.171]  Hello.
[02:50:12.852 --> 02:50:13.112]  Sorry?
[02:50:13.292 --> 02:50:14.512]  Can I ask you what you're filming, please?
[02:50:14.532 --> 02:50:15.432]  The American Embassy.
[02:50:15.692 --> 02:50:15.812]  OK.
[02:50:15.852 --> 02:50:17.313]  Can you show me what you filmed?
[02:50:17.753 --> 02:50:18.553]  I don't have to.
[02:50:19.193 --> 02:50:19.754]  You don't have to?
[02:50:19.834 --> 02:50:20.154]  No.
[02:50:20.254 --> 02:50:25.135]  I believe that you're actually filming security points for terrorism reasons and I can arrest you for filming.
[02:50:25.155 --> 02:50:26.175]  I promise you I'm not filming it.
[02:50:26.195 --> 02:50:27.676]  It doesn't matter if you promise me it or not.
[02:50:29.325 --> 02:50:30.786]  Don't put me on the camera.
[02:50:30.806 --> 02:50:32.187]  Can you show me what you're doing, please?
[02:50:32.207 --> 02:50:34.108]  Do I have to show you what I'm doing?
[02:50:48.678 --> 02:50:54.500]  You already know that drinking pure, high-alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[02:50:54.520 --> 02:50:56.260]  Most experts agree that the water you drink
[02:51:15.765 --> 02:51:17.886]  Should be at a pH level of 8 or higher.
[02:51:18.146 --> 02:51:23.248]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[02:51:23.748 --> 02:51:30.851]  Using Plasma pH Drops is one of the best ways to make your water alkaline to help you get rid of acid and regain your health and energy.
[02:51:31.291 --> 02:51:36.233]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[02:51:36.673 --> 02:51:42.095]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[02:51:42.495 --> 02:51:47.999]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[02:51:48.300 --> 02:51:54.024]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[02:51:54.244 --> 02:51:56.766]  That's A-L-K-A Vision dot com.
[02:51:57.026 --> 02:51:57.747]  Or by calling 269-216-9767.
[02:51:57.767 --> 02:51:57.927]  269-216-9767 today!
[02:51:58.047 --> 02:52:00.509]  In the New World Order's war against humanity,
[02:52:10.043 --> 02:52:12.164]  Barack Obama is the tip of the spear.
[02:52:12.885 --> 02:52:18.227]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[02:52:18.748 --> 02:52:24.951]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:52:25.251 --> 02:52:27.092]  Well, Obama's already fudging.
[02:52:27.232 --> 02:52:29.614]  He's fudged since day one in this election.
[02:52:29.694 --> 02:52:39.439]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs,
[02:52:39.898 --> 02:52:40.599]  That's fascist.
[02:52:42.860 --> 02:52:44.161]  It's not about left or right.
[02:52:44.541 --> 02:52:45.942]  It's about a one world government.
[02:52:46.403 --> 02:52:52.727]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:52:53.308 --> 02:53:01.093]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:53:01.574 --> 02:53:02.735]  The Obama Deception.
[02:53:03.155 --> 02:53:04.336]  The people strike back.
[02:53:06.109 --> 02:53:12.933]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[02:53:13.234 --> 02:53:29.144]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[02:53:29.444 --> 02:53:34.608]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[02:53:34.809 --> 02:53:41.094]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[02:53:41.334 --> 02:53:44.977]  If so, this will be the most important information you have ever heard.
[02:53:45.237 --> 02:53:47.819]  Solar-powered generators are finally available.
[02:53:47.919 --> 02:53:53.284]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[02:53:53.584 --> 02:53:56.188]  Remember, the government doesn't own the sun.
[02:53:56.268 --> 02:53:58.472]  So go to MySolarBackup.com.
[02:53:58.492 --> 02:54:00.936]  That's MySolarBackup.com.
[02:54:00.996 --> 02:54:05.283]  Check out MySolarBackup.com before you lose your power.
[02:54:08.720 --> 02:54:09.040]  Hello, sir.
[02:54:09.321 --> 02:54:09.601]  Hello.
[02:54:10.282 --> 02:54:10.542]  Sorry?
[02:54:10.562 --> 02:54:12.004]  Can I ask you what you're filming, please?
[02:54:12.024 --> 02:54:12.885]  The American Embassy.
[02:54:13.145 --> 02:54:13.265]  OK.
[02:54:13.305 --> 02:54:14.767]  Can you show me what you've filmed?
[02:54:15.188 --> 02:54:15.988]  I don't have to.
[02:54:16.649 --> 02:54:17.210]  You don't have to?
[02:54:17.290 --> 02:54:17.550]  No.
[02:54:17.570 --> 02:54:22.596]  I believe that you're actually filming security points for terrorism reasons and I can arrest you for filming.
[02:54:22.616 --> 02:54:23.617]  I promise you I'm not filming it.
[02:54:23.637 --> 02:54:25.179]  It doesn't matter if you promise me it or not.
[02:54:25.239 --> 02:54:27.281]  Don't put me on the camera.
[02:54:27.301 --> 02:54:28.603]  Can you show me what you're filming, please?
[02:54:29.372 --> 02:54:31.294]  Um, do I have to show you what I'm doing?
[02:54:31.314 --> 02:54:33.716]  You do now, sir, because I believe you may be using that for terrorist reasons.
[02:54:33.816 --> 02:54:34.997]  Oh, you must be joking.
[02:54:35.017 --> 02:54:39.300]  I'm going to search you under section 44 of the Terrorism Act, of what you're actually filming, please.
[02:54:39.781 --> 02:54:40.301]  Seriously?
[02:54:40.461 --> 02:54:41.102]  Seriously, sir.
[02:54:41.122 --> 02:54:42.883]  You mind stop filming now while I'm speaking?
[02:54:42.943 --> 02:54:44.384]  I'm American, I can film my own embassy.
[02:54:44.404 --> 02:54:46.646]  I don't care who you are, sir, you mind stop filming now, please.
[02:54:46.986 --> 02:54:49.909]  Oh, sir, I mean, with all due respect, you're a human being, I'm a human being.
[02:54:49.929 --> 02:54:52.851]  Okay, so what I'm going to do is I'm going to search you under section 44 of the Terrorism Act, okay?
[02:54:52.871 --> 02:54:55.974]  Do you understand what I'm doing?
[02:54:55.994 --> 02:54:56.054]  Yep.
[02:54:56.094 --> 02:54:56.174]  Okay.
[02:54:57.329 --> 02:54:59.311]  Because of this, OK, I need to tell you certain things.
[02:55:01.253 --> 02:55:02.294]  My number is 7-0-0-2.
[02:55:02.314 --> 02:55:04.396]  Stop filming while I'm doing this, please.
[02:55:04.416 --> 02:55:04.997]  Yeah, yeah, sure.
[02:55:05.017 --> 02:55:06.138]  But do I have to stop filming?
[02:55:06.158 --> 02:55:06.538]  Yes, you do.
[02:55:06.738 --> 02:55:07.699]  Can I just leave it recording?
[02:55:07.899 --> 02:55:08.080]  No.
[02:55:08.560 --> 02:55:08.941]  Why not?
[02:55:09.461 --> 02:55:10.382]  I'm in a public area.
[02:55:10.722 --> 02:55:14.066]  Also, I'm explaining to you why I'm actually stopping you under the Terrorism Act.
[02:55:14.386 --> 02:55:18.130]  Because you want to put back down, sir, and stop filming the officers under the Terrorism Act.
[02:55:19.517 --> 02:55:22.119]  And there you see the American goons all backing him up.
[02:55:22.219 --> 02:55:24.241]  This is what they're doing here as well.
[02:55:24.681 --> 02:55:26.823]  They're arresting people everywhere, but they just don't have the law yet.
[02:55:27.824 --> 02:55:29.465]  Bob Chapman, what's that sound like to you?
[02:55:30.946 --> 02:55:32.608]  It sounds like a police state.
[02:55:33.368 --> 02:55:36.491]  And, you know, these policemen better smarten up because
[02:55:37.486 --> 02:55:40.247]  They may end up on the other end of the stick along the way.
[02:55:40.267 --> 02:55:43.987]  They just love calling citizens terrorists.
[02:55:44.027 --> 02:55:45.188]  They just get off on it.
[02:55:45.448 --> 02:55:46.248]  It's their excuse.
[02:55:46.268 --> 02:55:47.468]  Let's go to Charlie Veitch.
[02:55:48.408 --> 02:55:49.148]  Charlie, you were over there.
[02:55:49.188 --> 02:55:50.929]  Why were you filming the evil embassy?
[02:55:50.949 --> 02:55:52.889]  You're some kind of Al-Qaeda person.
[02:55:53.609 --> 02:55:54.429]  Of course I am, yes.
[02:55:54.469 --> 02:56:01.811]  Well, I was just riding my bicycle on a nice sunny day in central London, and Mayfair is one of the nicest, poshest, most touristy areas of London.
[02:56:02.318 --> 02:56:04.899]  And the American Embassy is very, very interesting.
[02:56:04.939 --> 02:56:05.500]  It's very open.
[02:56:05.520 --> 02:56:06.300]  It's very public.
[02:56:06.420 --> 02:56:08.201]  Anyone can walk past and have a look.
[02:56:08.761 --> 02:56:15.465]  So I decided to, with my new camera, just film along the right-hand side of it and just see if there was going to be a reaction.
[02:56:15.505 --> 02:56:18.247]  And the reaction was... You can go to Google Street View.
[02:56:18.307 --> 02:56:20.008]  You can... Everybody... It's crap!
[02:56:20.328 --> 02:56:22.649]  They don't want us taping them while they tape us.
[02:56:22.969 --> 02:56:24.110]  So how did all this end?
[02:56:24.892 --> 02:56:40.129]  Well, they actually switched the viewfinder of my camera off forcibly, and then they held out my arms by the wrists, so I was there like prostate on the cross, and they actually rifled through my pockets without asking me anything, and they took my ID out, and they radioed me in.
[02:56:40.809 --> 02:56:53.813]  And they said that the reason they had to use force was because I wasn't compliant, that I was actually being rude to them, and they were actually just saying, hey, you're a terrorist, and you might be able to use this for terrorist purposes, so we have every right to treat you as such.
[02:56:53.873 --> 02:57:02.376]  And the reason why I was probably a bit too polite to them is because in Britain, they have the right to detain you for 28 days without charge, and I was actually scared of that.
[02:57:02.516 --> 02:57:07.058]  Maybe we should force that issue, because these guys also spy on the Parliament.
[02:57:07.738 --> 02:57:09.799]  Bob Chapman, in closing, I've got video here.
[02:57:10.579 --> 02:57:12.961]  of a school teacher kicking a five-year-old in the face.
[02:57:13.301 --> 02:57:15.802]  The state is treating us like slaves.
[02:57:15.862 --> 02:57:16.583]  It's out of control.
[02:57:16.643 --> 02:57:18.264]  Bob Chapman, how do we stand up against this?
[02:57:19.264 --> 02:57:21.065]  Start rolling that, folks, in the background without audio.
[02:57:21.305 --> 02:57:34.473]  Well, I think the best thing to do is get your videos out and all the things that you do, Alex, and keep on piping it over the airways, and I keep on telling them the same thing that you are, and that's really all we can do.
[02:57:36.562 --> 02:57:37.102]  Absolutely.
[02:57:37.162 --> 02:57:45.266]  Listen, Charlie Veach, I want to do a whole show on this with a bunch of people in England being arrested and detained for videotaping cops even at their front door.
