[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[03:22:30.740 --> 03:22:32.121]  Stop harassing Owen.
[03:22:32.121 --> 03:22:33.002]  Hey, let's get serious.
[03:22:33.002 --> 03:22:35.264]  Jalen, you have been through the fire.
[03:22:35.264 --> 03:22:36.945]  You survived the attack.
[03:22:36.945 --> 03:22:37.546]  You're seeing.
[03:22:37.546 --> 03:22:39.568]  What is it like for you to not be on the news?
[03:22:39.568 --> 03:22:41.549]  No one will talk to you or your friends.
[03:22:41.549 --> 03:22:44.172]  Repeat what you told me three hours ago before we went live.
[03:22:44.172 --> 03:22:44.832]  You've got the floor.
[03:22:44.832 --> 03:22:46.033]  I'm going to shut up.
[03:22:46.033 --> 03:22:50.457]  Jalen Martin, you're driving to this CNN town hall event right now.
[03:22:50.457 --> 03:22:55.802]  One of the survivors there at the Marjory Stoneman Douglas High School in Florida from this whole situation.
[03:22:55.802 --> 03:22:57.183]  Please give us your data download, sir.
[03:22:59.153 --> 03:23:10.239]  Yeah, I'm not too upset about the fact that I'm not on all the mainstream news media outlets, but that's not what I'm here for.
[03:23:10.239 --> 03:23:12.600]  I'm just here to give an opposing view.
[03:23:12.600 --> 03:23:18.183]  It's my view, and a lot of other people around me whose views are not being covered.
[03:23:18.183 --> 03:23:21.285]  I'm the only one who's putting myself out there to do this.
[03:23:22.071 --> 03:23:29.479]  A lot of the other students who have the same voice aren't doing that, so I'm just going to be the one who does it for them.
[03:23:29.479 --> 03:23:34.444]  Whenever someone else comes out, then I'll keep talking about it, but I'm not going to go out there and speak out.
[03:23:38.939 --> 03:23:40.060]  Yeah, a lot of them do.
[03:23:40.060 --> 03:23:41.101]  They're scared to go on air.
[03:23:41.101 --> 03:23:55.375]  I'm pretty sure because they see how the media landscape is, where if you do go on air and you have an opposing view, especially something like this, then you're going to be hounded, and they don't have that social kind of stability to do that.
[03:23:55.375 --> 03:23:59.459]  Let's just say, they don't have the courage and moral compass.
[03:23:59.459 --> 03:24:01.201]  I mean, I'm not putting them down, but you've got will.
[03:24:04.073 --> 03:24:10.055]  Yeah, I'm 100% ready to do this because I feel like I waited.
[03:24:10.055 --> 03:24:13.377]  I waited a day just to try to see what was going to pop up in the news.
[03:24:13.377 --> 03:24:16.178]  Which one of these kids was going to, you know, say something.
[03:24:16.178 --> 03:24:18.859]  There was one kid who said something to Brian Williams.
[03:24:18.859 --> 03:24:21.160]  Of course, Brian Williams, I don't know why he's still on air.
[03:24:21.160 --> 03:24:29.223]  He's still my favorite news anchor, but obviously it makes you question a lot of things about him coming out.
[03:24:32.358 --> 03:24:41.601]  That whole idea of the media only covering one side of things really just festers in your mind and then just keeps taking more than you have to say something.
[03:24:41.601 --> 03:24:56.566]  You know, this is the thing about it, they don't want to come to me because they've been in this ecosystem, in this echo chamber of just one-sided views for so long, they don't know how to make talking points for me, so they can't really do anything unless it's all going to be one-sided.
[03:24:57.927 --> 03:24:59.047]  I think they have talking points for sure.
[03:24:59.047 --> 03:25:01.928]  I don't think any of them are actors or anything like that.
[03:25:01.928 --> 03:25:03.168]  But I do think they have talking points.
[03:25:03.168 --> 03:25:04.549]  Yeah, some of them are in drama.
[03:25:04.549 --> 03:25:05.809]  But I don't necessarily see that as...
[03:25:27.631 --> 03:25:31.975]  I don't think that's a bad thing either.
[03:25:31.975 --> 03:25:32.736]  Exactly.
[03:25:32.736 --> 03:25:39.862]  They've got Democrat parents, anti-gun parents, and exactly, we're not saying they're crisis actors, we're saying it looks scripted.
[03:25:39.862 --> 03:25:41.023]  It does look scripted.
[03:25:41.023 --> 03:25:47.269]  It looks like a talking point, as you saw in that interview with David, where he just couldn't get out that one sentence.
[03:25:48.499 --> 03:25:50.401]  You know, since you mentioned that, let's play that clip.
[03:25:50.401 --> 03:25:51.822]  They gave me a bunch of clips.
[03:25:51.822 --> 03:25:53.364]  Can we play the one where he's bumbling?
[03:25:53.364 --> 03:25:59.730]  Is that the one where the David Hogg is bumbling and isn't able to get his act together?
[03:25:59.730 --> 03:26:01.492]  Do we have that clip, guys?
[03:26:01.492 --> 03:26:01.872]  Here it is.
[03:26:01.872 --> 03:26:06.157]  Because we had a fire alarm earlier that day, and that was a drill.
[03:26:06.157 --> 03:26:08.179]  So we thought this was a drill too, just another one.
[03:26:08.179 --> 03:26:12.083]  Because we have a lot of fire alarms, a lot of fire drills at the school.
[03:26:15.458 --> 03:26:17.701]  After we heard the first gunshot, we initially thought it was a drill.
[03:26:17.701 --> 03:26:19.484]  Actually, that was a bad choice.
[03:26:19.484 --> 03:26:25.253]  Actually, that was a bad choice because the janitor... Sorry.
[03:26:29.332 --> 03:26:30.832]  Bless his little heart, bless his little heart.
[03:26:30.832 --> 03:26:34.053]  Let me let you in on something, by the way, with this.
[03:26:34.053 --> 03:26:41.014]  When you watch somebody and they have that pause, when you look at somebody who speaks... When you're not scripted, you don't shut up like I do or you do.
[03:26:41.014 --> 03:26:42.214]  You can't shut in.
[03:26:42.214 --> 03:26:45.055]  It's clearly, he's like, sorry, just like in acting.
[03:26:45.055 --> 03:26:46.775]  Sorry, sorry, sorry.
[03:26:46.775 --> 03:26:54.877]  Like when I was there with Shonda Reeves and we were on the writer's shooting scenes, and I thought I'd do a great job, and once it was actually in lines, I'm like, oh crap, sorry, ten tags.
[03:26:54.877 --> 03:26:56.257]  Sorry means sorry to the director.
[03:26:56.377 --> 03:27:03.581]  And you notice that there's that pause, there's the freeze look of terror, the realization of blankness, and then that flick of the eyes to the left and back again.
[03:27:03.581 --> 03:27:04.682]  Director.
[03:27:04.682 --> 03:27:05.362]  Yes, exactly.
[03:27:05.362 --> 03:27:08.384]  A trained... To whoever is off camera.
[03:27:08.384 --> 03:27:15.507]  And it's an involuntary thing that you do when you're starting out, when you don't know better and you haven't learned your steel discipline yet.
[03:27:15.507 --> 03:27:18.329]  And you're alive and you panic and you're like, I'm sorry!
[03:27:18.329 --> 03:27:20.230]  And it's just a natural instinctive, like, reflection.
[03:27:20.230 --> 03:27:21.811]  Sure, and they'll go, oh, Jones is an actor.
[03:27:21.811 --> 03:27:23.692]  No, I've been in some movies, been in some stuff.
[03:27:23.692 --> 03:27:26.194]  When you're like, oh, sorry, you say sorry to the director.
[03:27:26.194 --> 03:27:27.975]  That's the thing.
[03:27:27.975 --> 03:27:32.417]  Yeah, no, it's like, sorry is like a, sorry, I messed up my line.
[03:27:32.417 --> 03:27:33.318]  I've got to restart.
[03:27:33.318 --> 03:27:36.080]  It means roll again.
[03:27:36.080 --> 03:27:37.560]  Sorry means a fresh take.
[03:27:37.560 --> 03:27:38.081]  Yeah, yeah, exactly.
[03:27:38.081 --> 03:27:39.161]  Can I... That's it.
[03:27:39.161 --> 03:27:40.502]  Sorry means... It's a fresh take.
[03:27:40.502 --> 03:27:42.023]  Can we cut?
[03:27:42.023 --> 03:27:44.725]  And can we redo that take?
[03:27:44.725 --> 03:27:46.166]  You watch an actor go, sorry, I messed that up.
[03:27:46.166 --> 03:27:47.366]  They go, yeah, they re-roll.
[03:27:47.366 --> 03:27:48.447]  You start over again, exactly.
[03:27:50.268 --> 03:27:53.211]  It's in the subtleties.
[03:27:53.211 --> 03:27:55.434]  So how bombshell is this, Jalen Martin?
[03:27:55.434 --> 03:27:57.796]  Because I want to fly you here to Austin, by the way.
[03:27:57.796 --> 03:28:01.580]  I want to get Nico, who does an amazing job, fly you here.
[03:28:01.580 --> 03:28:06.685]  Because I want people to actually see a real person who went against the grain and didn't go with the scripting.
[03:28:06.685 --> 03:28:09.689]  Any other key tidbits you want to add?
[03:28:09.689 --> 03:28:12.371]  Yeah, I do want to talk about those cameras again.
[03:28:13.525 --> 03:28:15.207]  I think we go next Sunday.
[03:28:15.207 --> 03:28:19.692]  I'm going to like make sure I can put an in-depth like sort of look and talk about those cameras.
[03:28:19.692 --> 03:28:22.275]  Those cameras are key to this whole thing.
[03:28:22.275 --> 03:28:29.584]  Actually, since David's father was in the FBI, I'm looking out to make sure he knows something that he just hasn't put out there to everyone.
[03:28:30.199 --> 03:28:30.699]  Alright, alright.
[03:28:30.699 --> 03:28:31.360]  Hold on, hold on.
[03:28:31.360 --> 03:28:32.781]  I gotta hold you over.
[03:28:32.781 --> 03:28:37.484]  When you're saying cameras are the key, let's find out what you mean on the other side for a few more minutes.
[03:28:37.484 --> 03:28:40.447]  Then Owen Schroer will be able to run wild here.
[03:28:40.447 --> 03:28:41.567]  And, uh, everything else.
[03:28:41.567 --> 03:28:41.908]  Look at him.
[03:28:41.908 --> 03:28:44.710]  Look at Owen in there, just... Little firecracker.
[03:28:44.710 --> 03:28:45.991]  Little firecrackers.
[03:28:45.991 --> 03:28:46.371]  Dig that.
[03:28:46.531 --> 03:28:48.252]  Let's put him back up on screen.
[03:28:48.252 --> 03:28:50.033]  Oh no, put that one back up.
[03:28:50.033 --> 03:28:51.174]  Look at him, he's actually crazy.
[03:28:51.174 --> 03:28:51.774]  Look at him.
[03:28:51.774 --> 03:28:53.635]  Look at, oh, that's a little firecracker.
[03:28:53.635 --> 03:28:55.756]  He's like a little Catherine Wheel just spitting out sparks.
[03:29:07.082 --> 03:29:10.785]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[03:29:10.785 --> 03:29:15.508]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[03:29:15.508 --> 03:29:19.951]  Call or click 1-877-99-BERKEY or bigberkeywaterfilters.com.
[03:29:19.951 --> 03:29:20.651]  That's 1-877-99-BERKEY.
[03:29:23.598 --> 03:29:28.722]  The answer to being in control of your own health care is freedom from insurance.
[03:29:28.722 --> 03:29:34.427]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[03:29:34.427 --> 03:29:39.631]  Individual share amounts begin at $107 a month and $347 for families.
[03:29:39.631 --> 03:29:41.572]  Choose from three health sharing programs.
[03:29:41.572 --> 03:29:43.954]  Holistic treatments may be eligible for sharing.
[03:29:43.954 --> 03:29:44.895]  See guidelines.
[03:29:44.895 --> 03:29:48.197]  Discount programs available for dental, vision, and pharmacy.
[03:29:48.197 --> 03:29:50.139]  Go to LibertyOnCall.org.
[03:29:50.139 --> 03:29:51.700]  That's LibertyOnCall.org.
[03:29:55.822 --> 03:29:57.483]  Matt in Ohio, you're on the air.
[03:29:57.483 --> 03:29:58.424]  Another Matt, go ahead.
[03:29:58.424 --> 03:30:13.036]  Yeah, hey, listen, I just wanted to say real quick, I'm a longtime listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[03:30:13.036 --> 03:30:19.581]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely
[03:30:19.741 --> 03:30:20.621]  Absolutely amazing.
[03:30:20.621 --> 03:30:21.141]  Well, thank you.
[03:30:21.141 --> 03:30:26.063]  My favorite new one is the Don't Tread on Me, but instead it says Won't Tread on Me.
[03:30:26.063 --> 03:30:29.004]  And it's a big Dayglo snake, Gadsden snake.
[03:30:29.004 --> 03:30:32.284]  And then it's got the American flag, Infowars.com on the right arm.
[03:30:32.284 --> 03:30:38.526]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[03:30:38.526 --> 03:30:41.167]  And the newest one is Trigger Warning T-shirt.
[03:30:41.707 --> 03:30:48.539]  Trigger warning t-shirt, which is the symbol of a trigger with a yield sign and then InfoWars.com on the back.
[03:30:48.539 --> 03:30:53.086]  That is the new Shirt of the Month, available exclusively at InfoWarsStore.com.
[03:30:55.492 --> 03:30:56.973]  Let's talk to Victor in Florida.
[03:30:56.973 --> 03:30:58.535]  Victor, you're calling.
[03:30:58.535 --> 03:30:59.215]  Go ahead.
[03:30:59.215 --> 03:30:59.736]  Yes.
[03:30:59.736 --> 03:31:00.596]  Hi, Alex.
[03:31:00.596 --> 03:31:07.202]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[03:31:07.202 --> 03:31:11.526]  I've ordered several of the products over and over because it's amazing.
[03:31:11.526 --> 03:31:13.407]  In particular, Silver Bullet.
[03:31:13.407 --> 03:31:23.296]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet and it's like, I'll still feel a little sick, but it won't last as long.
[03:31:24.216 --> 03:31:29.039]  Well, let me just say something, Victor.
[03:31:29.039 --> 03:31:37.182]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[03:31:37.182 --> 03:31:43.285]  But when you mention the Silver Bullet colloidal silver, it's got thousands of reviews, a 98% review.
[03:31:43.285 --> 03:31:48.847]  It is our highest-reviewed product, because it is from the top lab in the country, discounted, high-quality colloidal silver.
[03:31:48.847 --> 03:31:51.929]  It's not a Silver Bullet, but it's the closest thing you're going to find to a Silver Bullet.
[03:31:54.478 --> 03:31:56.779]  Electrify your day with Secret 12.
[03:31:56.779 --> 03:31:58.340]  It's like lightning in a bottle!
[03:31:58.340 --> 03:32:02.241]  We all have days in which we just can't seem to perform at the level we'd like to.
[03:32:02.241 --> 03:32:10.184]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
