[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[03:14:23.748 --> 03:14:33.481]  I found this very, very important because what I'm reading this as is that they say that they can deactivate a person.
[03:14:34.082 --> 03:14:41.528]  I'm not saying, you know, this isn't necessarily protecting the individual where they say, OK, I signed up, but now I don't want to be signed up anymore.
[03:14:41.548 --> 03:14:51.856]  I'm seeing it as, well, your social credit score can be deactivated on request and your services for all things online can be suspended immediately.
[03:14:51.876 --> 03:14:53.497]  It doesn't specify either or.
[03:14:54.017 --> 03:15:00.202]  And we all know how far reaching the powers that these dictators that write this kind of legislation are.
[03:15:00.742 --> 03:15:09.048]  They say that requirements, they can have device access, device or browser access.
[03:15:09.588 --> 03:15:12.911]  The government having access to your device or your browser.
[03:15:15.241 --> 03:15:30.193]  Again, they say that there are restrictions on collecting, using or disclosing biometric information of individuals and on data profiling to track online behaviour, but then they give all these reasons as to why it could be done.
[03:15:30.653 --> 03:15:36.798]  And it doesn't apply if the entity destroys the attribute, for example.
[03:15:36.918 --> 03:15:56.895]   If they, as soon as practicable after becoming aware that they have collected this stuff, It says, even if an individual's racial or ethnic origin can be reasonably inferred from the individual's name or place of birth, this does not prevent the individual's name or place of birth from being collected.
[03:15:56.975 --> 03:16:02.482]  So they go on to keep saying there's all these protections, but there kind of isn't.
[03:16:04.098 --> 03:16:17.828]  And they also basically talk about, you know, restricting disclosure of what they call unique identifiers, but then they talk about all the reasons how and why they can disclose these unique identifiers.
[03:16:18.168 --> 03:16:27.695]  And it's between what they call accredited entities or relying parties, which are of course chosen by one person or a team of people that nobody elected.
[03:16:28.487 --> 03:16:35.430]  And finally I want to say here, and we're still seeking legal clarification on this, but listen to this insanity right here.
[03:16:35.730 --> 03:16:37.251]  Protection from civil action.
[03:16:37.871 --> 03:16:53.437]  This section applies to the Minister, Digital ID Regulator, basically everyone in government plus the staff, just everyone, in the exercise, purported exercise, or any powers of this Act.
[03:16:54.491 --> 03:17:13.642]  Which means that anyone in the government is completely exempt from being held accountable for anything that goes wrong with this act, any violation of privacy, anything that could ruin this person's life, having this digital ID and all of this protected information collected about them.
[03:17:14.122 --> 03:17:18.184]  The government is completely exempt, much like the misinformation bill here in Australia.
[03:17:19.525 --> 03:17:22.587]  You know, the mainstream media and the government are exempt.
[03:17:23.584 --> 03:17:26.306]  From penalties if they spread misinformation.
[03:17:27.626 --> 03:17:35.711]  Finally, I want to really quickly in this last minute, Bill and Melinda Gates Foundation, digital IDs are an effective tool against poverty.
[03:17:35.771 --> 03:17:40.013]  This is their global digital ID system that they are trying to implement.
[03:17:40.934 --> 03:18:07.960]   And so if you go guys to Country Partners, the second link, And you scroll all the way down, you can actually see that this Global Digital ID, M-O-S-I-P, is supported by the Bill and Melinda Gates Foundation and NORAD, N-O-R-A-D, and on their research partners page, United States, is Oregon State University.
[03:18:08.681 --> 03:18:20.526]  Now, everything that I've just told you about this Australian bill that is so, so dystopian, bear in mind the United States has a current bill and the Bill on Melinda Gates is trying to do this on a global scale.
[03:18:20.546 --> 03:18:27.649]  So I go back to what I said earlier, please go to jamesraguski's substack or stoptheglobalagenda.com if you're in the United States.
[03:18:28.149 --> 03:18:35.875]   Exit these insane Maniac organizations, the UN and the WHO that are pushing all of this.
[03:18:35.995 --> 03:18:39.158]  Global Vax Pass, global digital ID, global everything.
[03:18:39.358 --> 03:18:39.699]  No!
[03:18:40.139 --> 03:18:44.984]  We say no to globalism and I'm so so glad that the US is currently leading the way.
[03:18:45.044 --> 03:18:48.807]  Please go and support these wonderful senators and share this information everywhere.
[03:18:49.187 --> 03:18:49.828]  God bless you all.
[03:18:49.888 --> 03:18:51.029]  It's been great to be with you.
[03:18:51.690 --> 03:18:54.132]  Head to zmedia.com and support InfoWars.
[03:18:54.572 --> 03:18:55.412]  Thank you.
[03:18:55.412 --> 03:19:01.211]  [MUSIC]
[03:19:01.211 --> 03:19:03.451]  I've not been this excited ever.
[03:19:03.451 --> 03:19:06.811]  Yeah, Mud Club, baby, wow.
[03:19:06.830 --> 03:19:09.451]  The replatforming begins now.
[03:19:09.571 --> 03:19:21.882]   Join Mug Club and get one month free with promo code ALEX at jonescrowder.com I've been on air close to 30 years.
[03:19:22.702 --> 03:19:32.393]  And going back more than, wow, 15 years ago, we began to get massively censored and debanked and harassed in different ways by the globalist deep state.
[03:19:33.074 --> 03:19:40.642]  So when their total censorship and tyranny arrived, the last five years, we were ready to resist it as best as we could.
[03:19:41.303 --> 03:19:45.846]  So, Nietzsche's definitely right that that which does not kill you only makes you stronger.
[03:19:46.426 --> 03:19:57.332]  But really, it's been God working through the audience of viewers and listeners who've been steadfast supporters, spreading the word, praying for us, buying the product, sharing the clips, the articles, the videos.
[03:19:58.174 --> 03:20:03.176]  This really allowed us to survive, and when it comes to exposing the globalists, thrive.
[03:20:03.756 --> 03:20:16.520]  So as Christmas approaches 2023, I wanted to take some time out to say that I'm thankful for all the viewers and listeners, and I meet you all over the streets of Austin and all over the country and all over the world, and I really love you and I appreciate you.
[03:20:17.120 --> 03:20:28.064]   And because they've started taking our sponsors away from us, More than 15 years ago, we began to move away from sponsors and sell products directly to the population.
[03:20:28.564 --> 03:20:32.706]  And we always went out and tried to find hot, cool products that already had great reviews.
[03:20:33.226 --> 03:20:34.667]  That way, we knew we were selling a good product.
[03:20:34.687 --> 03:20:35.667]  I would try them out myself.
[03:20:36.288 --> 03:20:41.290]  And over the last 15 years, we've gotten really, really good at bringing you amazing products.
[03:20:42.010 --> 03:20:51.427]   And now, we have the best books, The best films, really everything we saw on the site is very high quality, but at a very, very competitive price.
[03:20:51.828 --> 03:20:53.111]  Whether it's the storable foods...
[03:20:53.893 --> 03:20:58.611]   Whether it's the water filtration, whether it's the supplements, whether it's the books, the films,
[03:20:58.611 --> 03:21:04.292]   they're amongst the very, very best and you're funding an operation fighting the globalist.
[03:21:04.292 --> 03:21:08.772]   So even if you bought this stuff at a big box store whose owners are anti-freedom, anti-human,
[03:21:08.772 --> 03:21:12.132]   you'd still be getting a great product. But when you buy these products from us,
[03:21:12.132 --> 03:21:17.493]   you are supporting an organization, an operation that's not submitting to tyranny.
[03:21:17.704 --> 03:21:24.148]  So we kind of created the model of a political talk show funding itself with direct sales.
[03:21:24.268 --> 03:21:27.890]  And now more and more are doing it because they've been censored, they've been shut down.
[03:21:27.970 --> 03:21:35.974]  So for all the years we've been fighting together, I want to thank all the InfoWars viewers and listeners, the InfoWars family, because we're still here because of you.
[03:21:36.414 --> 03:21:45.217]   And now Christmas 2023 is here, and we have the biggest sales of the year every Christmas, and a lot of products that have been sold out are now back in stock.
[03:21:45.798 --> 03:21:53.225]  I'm happy to announce we have storewide free shipping, double Patriot points, 10% off when you sign up for auto ship on your next order.
[03:21:53.265 --> 03:21:56.905]   That way stuff that's sold out is held back for you, so it's not sold out.
[03:21:56.905 --> 03:22:00.225]  And up to 60% off on these best-selling products.
[03:22:00.225 --> 03:22:07.345]   And finally, TurboForce, 10 hours of clean energy is finally back in stock.
[03:22:07.345 --> 03:22:13.824]   The top of the line, the strongest, the Godzilla of nootropics of energy, of brain boost.
[03:22:13.824 --> 03:22:15.625]  TurboForce back in stock.
[03:22:15.625 --> 03:22:19.305]  X2, sold out for more than a year, got a limited supply in.
[03:22:19.305 --> 03:22:21.505]  Unfortunately, it's about to sell out.
[03:22:21.559 --> 03:22:28.483]  Despite that, we've got it at 25% off, but it's going to go to full price before Christmas hits, so take advantage of that right now.
[03:22:28.823 --> 03:22:38.729]  We also have down-and-out sleep support, a whole bunch of natural, known, strong, organic compounds that give you deep, restful sleep that's so good for your immune system, your body, everything.
