[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[02:43:11.199 --> 02:43:16.923]   And of course by listing the troops as missing. The Zelensky regime avoids
[02:43:16.923 --> 02:43:23.443]   paying any type of compensation, avoids admitting that the Ukrainian soldiers are dead. It's
[02:43:23.443 --> 02:43:24.664]  very sad that this is happening.
[02:43:24.664 --> 02:43:28.263]  Yes, they're pretending to care about the Ukrainian people.
[02:43:28.263 --> 02:43:32.824]   The governments are pretending that they care about saving democracy and saving Ukraine.
[02:43:33.045 --> 02:43:35.667]  I had a clip up but I don't think we'll have time for it.
[02:43:35.707 --> 02:43:41.452]  Trudeau's finance minister somehow talking about, oh our country understands the need for democracy.
[02:43:42.573 --> 02:43:46.135]  You call democracy trampling on your own people with horses?
[02:43:46.476 --> 02:43:51.279]  You call democracy locking people up in police vans?
[02:43:51.500 --> 02:44:04.955]   What they were doing was pulling protesters out of the freezing cold weather, peaceful protesters during the trucker protests, Putting them in boiling hot police vans, cooking these people, but our people understand democracy and they need to fight in Ukraine.
[02:44:05.215 --> 02:44:07.098]  It's absolute gaslighting, it's nonsense.
[02:44:07.438 --> 02:44:14.248]  If the team can just play that ethnic bioweapon clip 7 while we're finishing up this segment, we've got about a minute left.
[02:44:14.648 --> 02:44:32.519]  This is actually, what this evidence shows, and what we're going to do is upload this full video along with some clips from this segment onto the ZMedia tab on InfoWars on Bandai Video right after this, later on today, so that everyone can see the full 14 minute video.
[02:44:32.539 --> 02:44:34.120]  It's absolutely astounding.
[02:44:34.740 --> 02:44:40.385]  They were collecting this blood to develop ethnic bioweapons.
[02:44:40.405 --> 02:44:46.771]  We're going to talk about the attack on Simeon and everything that he's been through right on the other side of the break.
[02:44:46.811 --> 02:44:48.232]  But Simeon, 20 seconds left.
[02:44:49.914 --> 02:44:53.677]  What do we think they'll do with this information with this bioweapon ethnic cleansing?
[02:44:57.577 --> 02:45:01.838]  Before we get to what they'll do with the information, this information is very dangerous, it is very hot.
[02:45:01.898 --> 02:45:07.580]  And this is, it's this type of information, it's this type of, you know, reveals... Let's continue on the other side of the break.
[02:45:07.700 --> 02:45:09.121]  Let's continue on the other side of the break.
[02:45:09.141 --> 02:45:09.801]  We'll be right back.
[02:45:09.881 --> 02:45:11.461]  Stay with us, this is so crucial.
[02:45:11.961 --> 02:45:14.102]  We're back with Simeon Boykov, the Aussie Cossack.
[02:45:14.162 --> 02:45:22.925]  Right before the break I asked you, Simeon, what do you think the world is going to do with this information that they've tried to destroy from the video we just showed on screen?
[02:45:23.685 --> 02:45:27.968]  Well, it's important that the world takes action, obviously.
[02:45:27.807 --> 02:45:29.327]  from these Ukraine biolabs?
[02:45:29.327 --> 02:45:35.606]   Well, it's important, you know, the Voltaic's action, obviously,
[02:45:35.606 --> 02:45:38.207]  this type of information is heavily censored.
[02:45:38.207 --> 02:45:42.887]   And, you know, the global giants, the tech giants, Facebook, YouTube,
[02:45:42.887 --> 02:45:45.087]  they try to censor this as much as possible.
[02:45:45.195 --> 02:45:51.160]  Now this video from inside a bioweapons lab which was captured by the Russian military.
[02:45:51.740 --> 02:45:57.324]  I'm going to give a shout out here to I Earl Grey TV and John Mark Dugan.
[02:45:57.384 --> 02:46:16.050]   And there's quite a few English-speaking journalists who are in that part of the world, in the conflict zone, like Patrick Lancaster, like Graham Phillips, And they're doing great work to expose the lies of the Western media in relation to the conflict between Russia and NATO.
[02:46:16.070 --> 02:46:20.832]  And I don't call it a Ukraine-Russia conflict, because Russia has nothing to fight Ukraine over.
[02:46:20.872 --> 02:46:31.495]  It's really a Russia-NATO conflict, which Ukraine is a proxy, which Ukraine is being used as cannon fodder, and the Ukrainians are being armed to the teeth, and the Ukrainians are being given weapons.
[02:46:31.835 --> 02:46:42.300]   And it's very sad to see how Ukraine is Losing so many people, losing everything, just to appease the Western military-industrial complex.
[02:46:42.820 --> 02:46:50.224]  Now, this video that's come out shows and proves exactly what we've been talking about for the last, you know, two years.
[02:46:50.604 --> 02:46:52.104]  You know, we've been talking about these biolabs.
[02:46:52.144 --> 02:46:54.105]  A lot of people have been talking about the biolabs.
[02:46:54.386 --> 02:46:58.027]  The Russians said from day one that that's one of their objectives.
[02:46:58.047 --> 02:47:01.629]  That's one of the reasons they started these special military operations.
[02:47:02.034 --> 02:47:06.057]  Is to take these bioweapons labs out of commission.
[02:47:06.838 --> 02:47:11.541]  And of course, the reason why the Americans opened them in Ukraine is in Ukraine there are no laws.
[02:47:12.302 --> 02:47:19.567]  It would be illegal to open these and operate these biolabs on the territory of America or Canada or Western Europe.
[02:47:19.968 --> 02:47:23.630]  So they use Ukraine because Ukraine is a very, very corrupt country.
[02:47:23.710 --> 02:47:24.651]  Everything's for sale.
[02:47:24.751 --> 02:47:26.212]  Everything can be sold or bought.
[02:47:26.693 --> 02:47:29.695]  Children, organs, livers, kidneys.
[02:47:30.675 --> 02:47:38.303]  And it's very sad that the virtue signaling politicians of the West have all got their fingers in that pie.
[02:47:38.723 --> 02:47:40.085]  They're all mixed up in there.
[02:47:40.165 --> 02:47:42.247]  It's like a cesspool of corruption.
[02:47:43.408 --> 02:47:46.732]  At the end of the day, it's a tragedy that the Ukrainian people are suffering.
[02:47:47.808 --> 02:48:01.902]  So look, it's very important for everybody out there to continue fighting, to continue on social media, wherever you can, educating others, educating the sheep who have been blinded and who follow the mainstream media narrative.
[02:48:02.123 --> 02:48:08.993]   It's very similar, in fact, it's almost the same story, the same Uh, storyline as we had with the vaccines and with COVID.
[02:48:09.434 --> 02:48:13.857]  We had a portion of the population who was awake and they started educating the rest.
[02:48:14.337 --> 02:48:19.521]  And now we have most of the people on the planet have understood that the vaccines were a bad idea.
[02:48:19.541 --> 02:48:22.784]  Apart from the fact that people are dropping like flies and dying.
[02:48:23.404 --> 02:48:24.165]  Very sad again.
[02:48:24.905 --> 02:48:26.006]  But it's the same culprits.
[02:48:26.482 --> 02:48:27.804]  The same people that were behind.
[02:48:27.884 --> 02:48:28.925]  The same globalists that were behind.
[02:48:28.945 --> 02:48:30.087]  And you know what, Simeon?
[02:48:30.607 --> 02:48:31.188]  And you know what?
[02:48:31.308 --> 02:48:39.118]  As Dr Peter McCullough was just saying in studio with Alex, people start to wake up because the truth is so powerful.
[02:48:39.679 --> 02:48:41.221]  The truth is the kryptonite.
[02:48:41.281 --> 02:48:44.365]  The truth is what will destroy their narrative.
[02:48:44.765 --> 02:48:48.368]  And I don't think the globalists were expecting people to fight this hard.
[02:48:48.588 --> 02:48:50.989]  And this is why this fight is so invigorating.
[02:48:51.209 --> 02:48:58.674]  And this is why we have to keep going at the same pace and with the same strength that we did from day one because we won't give up.
[02:48:59.055 --> 02:49:00.316]  We can't give up on the truth.
[02:49:00.656 --> 02:49:07.941]  You've been under a lot of fire for not giving up on the truth, particularly because what you're saying right now is something that a lot of people don't want to hear.
[02:49:08.341 --> 02:49:14.425]  Talk to us in the next couple of minutes about as much as you can say about what your situation is, the attack that you're under.
[02:49:14.805 --> 02:49:16.266]  From the police and the government right now?
[02:49:18.968 --> 02:49:29.635]  Well, look, I've been on the radar of the police and the Australian government for a while now, since the lockdowns and the forced mandate started in Australia.
[02:49:29.955 --> 02:49:39.201]  And all of those police interactions and campaigns against me were documented on my YouTube channel, Aussie Cossack, and people have seen that journey of what it's become.
[02:49:39.221 --> 02:49:50.520]   But in recent times, You know, last year, 2022, I did almost half a year in jail in an Australian maximum security prison as a national security interest inmate.
[02:49:51.201 --> 02:49:55.243]  And the reason why I was given that classification is because of my platform.
[02:49:55.624 --> 02:50:04.109]  It's because the authorities, you know, basically told me that they're afraid of my voice and they accuse me of being able to radicalize people.
[02:50:04.834 --> 02:50:06.076]  I'm not radicalising anyone.
[02:50:06.397 --> 02:50:15.070]  The authorities, when they see someone with a large platform and a voice speaking the truth, educating the masses, they see that as a very big threat.
[02:50:15.434 --> 02:50:20.875]   They see it as a threat. And look, at the end of the day, we need to continue to put the pressure
[02:50:20.875 --> 02:50:24.635]   and put the blame on the mainstream media journalists, because they are the ones that
[02:50:24.635 --> 02:50:30.873]   allowed this all to happen. They continue supporting the government narrative and they're
[02:50:30.873 --> 02:50:36.314]   the ones who have sold themselves out and are also selling out the people. So that's why the
[02:50:36.314 --> 02:50:41.034]   Australian police, the government have, you know, had this campaign against me.
[02:50:41.190 --> 02:50:47.474]  I've been charged about 35 to 40 times by the police in the last few years.
[02:50:48.655 --> 02:50:51.796]  Firearms, prohibition orders, all sorts of different restrictions.
[02:50:51.897 --> 02:50:56.159]  At the moment, the police are trying to put me back in the jail.
[02:50:57.060 --> 02:51:02.223]  So I conveniently checked myself into the Russian consulate.
[02:51:02.658 --> 02:51:06.338]  in Sydney, in a move which the police did not expect at all.
[02:51:06.338 --> 02:51:09.859]  And, you know, the Russians welcomed me with open arms.
[02:51:09.859 --> 02:51:14.257]   You know, the Russians, unlike the Australians who don't support Assange,
[02:51:14.257 --> 02:51:16.417]  the Russians actually look after their own.
[02:51:16.417 --> 02:51:19.217]  And it's good to see that the Russians look after their own.
[02:51:19.217 --> 02:51:22.259]  So, you know, I've applied for Russian citizenship.
