[00:00:00.049 --> 00:00:01.309]  That's the law required.
[02:42:08.767 --> 02:42:15.729]  Well, I can't participate in everything, but I mean, I'll try.
[02:42:15.749 --> 02:42:17.170]  I mean, I'm participating right now.
[02:42:17.190 --> 02:42:17.810]  I'm on the radio.
[02:42:17.830 --> 02:42:18.710]  You're on the air plugging it.
[02:42:19.871 --> 02:42:20.091]  All right.
[02:42:21.011 --> 02:42:29.714]  The New York Daily News reported, the news, by the way, is another neocon, warmonger newspaper owned by Mortimer Zuckerman, who also owns U.S.
[02:42:29.734 --> 02:42:30.654]  News and World Report.
[02:42:31.578 --> 02:42:31.898]  I think.
[02:42:43.743 --> 02:42:45.284]  I really find that kind of interesting.
[02:43:14.343 --> 02:43:14.543]  Right.
[02:43:15.023 --> 02:43:16.684]  Bailey, Tancredo too.
[02:43:16.924 --> 02:43:18.285]  Like they don't even exist.
[02:43:18.805 --> 02:43:19.765]  Oh, it's interesting.
[02:43:19.805 --> 02:43:20.605]  Well, let's be clear.
[02:43:20.645 --> 02:43:22.586]  Tom Tancredo doesn't hold a candle.
[02:43:22.626 --> 02:43:24.367]  He hasn't even been in the same league as Ron Paul.
[02:43:25.087 --> 02:43:25.187]  Okay?
[02:43:25.227 --> 02:43:26.247]  I mean, let's be clear about that.
[02:43:26.287 --> 02:43:27.848]  And I know Tom.
[02:43:27.868 --> 02:43:28.868]  He's been on a few times.
[02:43:29.288 --> 02:43:30.609]  And I mean, he's better than most of them.
[02:43:30.629 --> 02:43:32.169]  And I don't think he's an evil New World Order.
[02:43:32.609 --> 02:43:34.630]  But he has bombed the snot out of the Arabs.
[02:43:34.650 --> 02:43:35.990]  You know, he is wrong on that.
[02:43:36.330 --> 02:43:39.291]  That's why I probably won't support him for president.
[02:43:39.932 --> 02:43:40.832]  Why would I support Paul?
[02:43:41.778 --> 02:43:42.319]  I don't know.
[02:43:50.774 --> 02:43:53.516]  Murdoch saying that this is his man as an independent.
[02:43:53.777 --> 02:43:56.539]  Well, we know Murdoch's man isn't a man.
[02:43:56.619 --> 02:43:57.940]  Murdoch's man is a woman.
[02:43:58.000 --> 02:43:58.861]  It's Hillary Clinton.
[02:43:59.141 --> 02:44:04.886]  He's been running fundraisers for, and Roger Ailes is advising her campaign for Russell Limbaugh's papa.
[02:44:05.206 --> 02:44:06.547]  I appreciate your call, my friend.
[02:44:07.028 --> 02:44:07.348]  Okay?
[02:44:07.708 --> 02:44:09.430]  So yeah, they do have Bloomberg running.
[02:44:09.450 --> 02:44:12.712]  It'll be to suck Republican votes to ensure the princess wins.
[02:44:13.353 --> 02:44:15.595]  And that whore, and that's what she is.
[02:44:15.615 --> 02:44:17.997]  She's a New World Order whore who sold out this country.
[02:44:18.804 --> 02:44:21.367]  She'll end up being your president, and God help us.
[02:44:22.128 --> 02:44:23.069]  The reign of terror.
[02:44:23.089 --> 02:44:24.431]  You think it's been bad so far?
[02:44:24.851 --> 02:44:26.813]  And I will not vote for a Republican against her.
[02:44:27.334 --> 02:44:28.936]  I say bring the judgment on America.
[02:44:29.636 --> 02:44:32.620]  I will not vote for some lesser of two evils, because there is no such thing as lesser.
[02:44:33.360 --> 02:44:34.181]  Okay?
[02:44:34.241 --> 02:44:35.483]  And believe me, when she's president,
[02:44:36.087 --> 02:44:41.691]  You don't try to tell Republicans that she's Republican-controlled, and they'll just laugh at you.
[02:44:41.991 --> 02:44:43.032]  They're such scum.
[02:44:43.292 --> 02:44:45.394]  Yeah, your whore Limbaugh is behind her.
[02:44:45.414 --> 02:44:46.554]  They're all in bed together.
[02:44:47.455 --> 02:44:48.856]  Clinton's vacation with the Bushes.
[02:44:48.996 --> 02:44:50.537]  It's staged, you fools!
[02:44:52.218 --> 02:44:54.360]  I'm sorry to talk like that, but man, you're just idiots.
[02:44:54.660 --> 02:44:56.101]  I'm talking about neocon followers.
[02:44:56.141 --> 02:44:57.242]  You don't know what you're doing.
[02:44:57.522 --> 02:44:58.203]  You're stupid.
[02:44:58.483 --> 02:45:00.904]  It's time for you to grow up and look into what we're saying.
[02:45:01.225 --> 02:45:03.026]  Don't you giggle, you slack-jawed
[02:45:04.914 --> 02:45:06.875]  You go check into what I just said.
[02:45:09.316 --> 02:45:12.157]  The country is gone already, basically.
[02:45:12.477 --> 02:45:17.038]  We've got a last-ditch effort to try to salvage something, and you're still running around getting conned.
[02:45:17.358 --> 02:45:20.119]  And you too, you dirtbag mainline liberals.
[02:45:22.320 --> 02:45:28.582]  I might slap somebody in the face if they come up to me on the street when Hillary's running and go, well, she's better than Mitt Romney.
[02:45:28.862 --> 02:45:29.962]  She's better than Jeb.
[02:45:29.982 --> 02:45:30.983]  She's better than Gingrich.
[02:45:31.203 --> 02:45:32.223]  They're all the same.
[02:45:34.139 --> 02:45:37.401]  I mean, I hate to be gross, but it's like literally... I'm not going to say it.
[02:45:38.762 --> 02:45:39.142]  I said it.
[02:45:39.162 --> 02:45:45.065]  It's like in a latrine saying, you know... There's no difference.
[02:45:45.085 --> 02:45:46.306]  It's the same latrine, okay?
[02:45:46.886 --> 02:45:49.548]  You're pointing at a latrine and going, that one looks better than that one.
[02:45:50.368 --> 02:45:52.390]  I'm not going to take part in any of it, okay?
[02:45:53.030 --> 02:45:53.570]  Period.
[02:45:53.610 --> 02:45:54.651]  Do you understand me?
[02:45:56.492 --> 02:45:57.432]  I'm freaked out, folks.
[02:45:57.452 --> 02:45:58.333]  Stuff is not in good...
[02:46:02.399 --> 02:46:02.940]  Oh, man.
[02:46:03.720 --> 02:46:04.981]  What have I gotten myself into?
[02:46:06.562 --> 02:46:07.363]  What are we all in?
[02:46:07.383 --> 02:46:09.264]  I mean, it's just hell on earth.
[02:46:09.585 --> 02:46:14.308]  See, I said I'd hurry, but that was one caller and five minutes has gone by.
[02:46:14.428 --> 02:46:15.449]  Who's up next in order here?
[02:46:15.469 --> 02:46:16.290]  I want to go to these in order.
[02:46:17.771 --> 02:46:18.731]  Sebastian in New York.
[02:46:18.771 --> 02:46:19.432]  Go ahead, quickly.
[02:46:20.192 --> 02:46:23.155]  Yeah, Alex, I wanted to say thank you for everything you do.
[02:46:23.835 --> 02:46:24.536]  Having Daniel St.
[02:46:24.556 --> 02:46:26.237]  John on today was a great, great work.
[02:46:26.677 --> 02:46:30.860]  I first heard him on LoneLantern.org when Gary broke that story with him.
[02:46:32.202 --> 02:46:39.907]  You know, something that you mentioned last week was that there was going to be a flood of new people coming out this week, yet we have yet to see that.
[02:46:40.547 --> 02:46:44.409]  And I think that, you know, and tell me if I'm wrong... That is not what I said.
[02:46:44.429 --> 02:46:46.231]  That is not what I said.
[02:46:46.471 --> 02:46:49.973]  You're probably going to see some people this week or next week.
[02:46:50.853 --> 02:46:51.734]  What are they waiting for?
[02:46:53.567 --> 02:46:55.409]  Well, let me see here.
[02:46:55.489 --> 02:47:00.433]  They're now shifting all this IMAS stuff, which I'm starting to think might have been a part of something large.
[02:47:00.473 --> 02:47:02.214]  Not that he was, not that IMAS was part of it.
[02:47:02.274 --> 02:47:03.275]  May have been, probably not.
[02:47:03.536 --> 02:47:06.198]  But I said two days ago, I said, you watch.
[02:47:06.578 --> 02:47:08.980]  They're going to go shift all this now onto Rosie.
[02:47:10.061 --> 02:47:12.863]  They've all been saying on the media that we need to start firing everybody now.
[02:47:12.923 --> 02:47:16.426]  And now they're calling for Rosie to be fired.
[02:47:16.466 --> 02:47:21.691]  This is AOL news after IMAS delay calls for Rosie to be fired.
[02:47:22.834 --> 02:47:24.755]  You don't know what's going on behind the scenes with Rosie, do you?
[02:47:24.775 --> 02:47:25.376]  I know a little bit.
[02:47:25.396 --> 02:47:25.996]  Okay, and it isn't good.
[02:47:38.984 --> 02:47:41.566]  Okay, do you think people maybe get threats?
[02:47:41.906 --> 02:47:43.547]  Do you think maybe their children get threatened?
[02:47:43.808 --> 02:47:45.529]  Do you think maybe their job gets threatened?
[02:47:45.829 --> 02:47:46.970]  She's already had courage.
[02:47:47.130 --> 02:47:48.611]  Do you know what Charlie Sheen went through?
[02:47:49.031 --> 02:47:51.513]  Being called every dirty name in the book on TV.
[02:47:51.733 --> 02:47:53.954]  And that was an RNC dirty trick, by the way.
[02:47:54.295 --> 02:47:57.497]  I happen to know the details, but he doesn't want himself to be defended.
[02:47:58.052 --> 02:47:58.412]  Okay?
[02:47:58.472 --> 02:47:59.413]  So I appreciate your call.
[02:47:59.833 --> 02:48:01.774]  And I understand you're saying, what are they waiting for?
[02:48:02.394 --> 02:48:02.754]  Okay?
[02:48:03.114 --> 02:48:05.335]  What are the people that haven't gone public waiting for?
[02:48:05.716 --> 02:48:08.357]  You know, this is scary stuff, folks.
[02:48:08.797 --> 02:48:09.958]  And they do need to come public.
[02:48:11.098 --> 02:48:19.042]  But, um... Oh, it's just, you know... Oh, man.
[02:48:19.082 --> 02:48:25.545]  And I kind of gave the whole thing away there, because I wasn't thinking, you know, because I started talking about, why hasn't Rosie done more?
[02:48:27.231 --> 02:48:28.692]  Uh, and some other people.
[02:48:29.593 --> 02:48:30.293]  Just, you know what?
[02:48:30.633 --> 02:48:34.015]  Why didn't Kurt Vonnegut go public about knowing 9-11 is an inside job?
[02:48:35.375 --> 02:48:42.259]  You know, why was... And then if somebody didn't want people to know his full opinion about it, should I go on air and tell you it?
[02:48:43.119 --> 02:48:44.700]  Or maybe that wasn't his opinion, you know?
[02:48:45.841 --> 02:48:50.943]  I just don't want to betray people, and I don't want to sit here... I could sit here and list some really big names to you right now.
[02:48:52.104 --> 02:48:54.445]  Okay, but the media will call them up and they'll probably deny it.
[02:48:55.424 --> 02:48:56.985]  And that may keep them from ever going public.
[02:48:57.885 --> 02:48:59.946]  You know, I can't sit here and burn people.
[02:49:00.606 --> 02:49:01.527]  And I'm not going to do it.
[02:49:04.288 --> 02:49:05.328]  And hey, look in the mirror.
[02:49:05.368 --> 02:49:07.349]  It's up to us to go public and get the word out.
[02:49:08.690 --> 02:49:10.231]  Okay, let's go ahead and take another one here.
[02:49:10.291 --> 02:49:12.451]  Let's talk to Trent in New York.
[02:49:12.472 --> 02:49:13.052]  You're on the air.
[02:49:13.072 --> 02:49:13.412]  Go ahead.
[02:49:14.389 --> 02:49:14.870]  Hi, Alex.
[02:49:14.990 --> 02:49:16.713]  I'm actually calling from Houston.
[02:49:17.013 --> 02:49:18.035]  Okay, whatever.
[02:49:18.075 --> 02:49:18.816]  I was told New York.
[02:49:18.836 --> 02:49:19.938]  You're calling from the United States.
[02:49:19.978 --> 02:49:20.719]  Go ahead, sir.
[02:49:20.739 --> 02:49:20.980]  Okay, yeah.
[02:49:21.000 --> 02:49:22.262]  I just want to bring up two quick points.
[02:49:22.582 --> 02:49:28.853]  The first one is something that I recently read about Tommy Franks discussing what he thinks is the worst thing that can happen to our country.
[02:49:30.915 --> 02:49:33.696]  So you don't expect him to come out and say, Martial Law is great, gee we won.
[02:49:33.756 --> 02:49:40.578]  He says, oh it's so terrible, the terrorists are probably going to attack, and then the people are going to want a new form of government, a military government.
[02:49:41.238 --> 02:49:42.579]  Oh, it's too bad.
[02:49:42.599 --> 02:49:46.560]  That's exactly what he knows is the next thing to happen to us.
[02:49:47.681 --> 02:49:52.363]  He just clearly mentioned that the people are going to be so scared, they're going to be willing to give up their constitutional liberties.
[02:49:53.698 --> 02:49:55.700]  It just goes to show how serious this whole thing is.
[02:49:56.040 --> 02:49:57.001]  And I'll be real quick here.
[02:49:57.021 --> 02:50:02.587]  I just want everyone to know, if you go to Wikipedia and look up Tommy Franks, you can see this for yourself and see how real it is.
[02:50:02.907 --> 02:50:08.112]  And the second point I just wanted to bring up is that I live in a town that's right outside of Houston.
[02:50:08.152 --> 02:50:09.714]  It's a very small town called Porter.
[02:50:10.194 --> 02:50:11.655]  And recently I've noticed the cops.
[02:50:12.857 --> 02:50:15.119]  It seems like they have been up to some really fishy stuff.
[02:50:15.845 --> 02:50:18.787]  Almost like they're practicing for setting up roadblocks or something.
[02:50:19.688 --> 02:50:24.272]  Like yesterday, I saw like six or seven cops that were just hovering around this little two-lane road.
[02:50:24.652 --> 02:50:27.314]  Why do you think they're hiring more, and more, and more, and more, and more?
[02:50:27.334 --> 02:50:29.015]  No, no, no, sir, you can go look it up.
[02:50:29.376 --> 02:50:33.859]  They admit, they, I mean, and I appreciate your call, I mean, they admit all this.
[02:50:35.120 --> 02:50:37.662]  This is admitted, and I told the cops, go ahead, do it!
[02:50:37.902 --> 02:50:38.503]  Go ahead!
[02:50:40.044 --> 02:50:41.445]  I mean, you want to kill the country?
[02:50:42.746 --> 02:50:43.567]  Just sit there?
[02:50:43.727 --> 02:50:44.928]  You like to have power?
[02:50:46.411 --> 02:50:47.372]  You like to do all this?
[02:50:47.432 --> 02:50:53.055]  You are literally... You know, I said this last week and some idiot sent me a threatening email about it.
[02:50:53.115 --> 02:50:54.776]  I don't like you threatening people.
