[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[03:43:15.312 --> 03:43:19.155]  We don't have that proof in the video, but the point is they won't stand up for free speech.
[03:43:19.195 --> 03:43:20.376]  They won't defend those ideas.
[03:43:20.636 --> 03:43:21.617]  And they're really against me.
[03:43:22.358 --> 03:43:22.518]  Yeah.
[03:43:22.678 --> 03:43:28.780]  So, so that's the point is that, is he, first I said kill Michelle Malkin, now I've proven I didn't say it, but now it will prove they're not with you.
[03:43:29.620 --> 03:43:30.000]  That's right.
[03:43:30.920 --> 03:43:39.163]  Yeah, first it's Alex Jones is your buddy, then it's kill Michelle Malkin, then it's Alex Jones is a corporate stooge, then it's F Alex Jones.
[03:43:40.063 --> 03:43:44.604]  I mean, these guys are... And then as they walked off, they went, F you, we punked you, we got you.
[03:43:44.924 --> 03:43:46.344]  Who is this guy in the green shirt?
[03:43:46.384 --> 03:43:48.085]  That's the missing... I still don't know.
[03:43:49.242 --> 03:44:17.968]  uh... i was told by some of the other locals that they are allied neocon bloggers uh... who are allied with little green footballs looking at the left pajamas media and certainly that's true of the photographer he goes by the name uh... and he's the guy who sees them say killer he goes to cops and says Alex Jones is saying and he was following us again the next day looking at the left dot com yeah because he has when we were photographing him running to the police he has pictures of us running after him and
[03:44:18.510 --> 03:44:21.776]  We were just trying to find out why he's following us and why he's telling lies.
[03:44:22.137 --> 03:44:23.199]  Trying to set up to the police.
[03:44:23.239 --> 03:44:29.269]  We have on tape another 9-11 truther filmed him setting up Alex Jones to the police.
[03:44:29.330 --> 03:44:31.614]  Look, they got Homeland Security as their sponsor.
[03:44:32.662 --> 03:44:33.963]  They're going for broke.
[03:44:33.983 --> 03:44:37.025]  They're on TV saying, put political dissenters in camps.
[03:44:37.625 --> 03:44:39.126]  These are hardcore people.
[03:44:39.427 --> 03:44:43.910]  They thought they were gonna go and make fun of a leftist protest that really stood for nothing.
[03:44:43.930 --> 03:44:50.414]  But see, it turns out, the day before, it looks like it's the same green shirt guys, but in different shirts, starting the F.U.
[03:44:50.514 --> 03:44:55.077]  Fox they put on TV, and then Malcolm reported she'd been attacked before, and then they screamed, kill, kill.
[03:44:55.358 --> 03:44:55.858]  So it looks like
[03:44:56.886 --> 03:45:02.691]  Whether she knows it, she's got protectors that go around with her screaming, kill, kill, so they can then say that in a meeting.
[03:45:03.311 --> 03:45:06.995]  Yeah, just stage provocations as a way of life, basically.
[03:45:07.115 --> 03:45:08.376]  And these guys are wearing disguises.
[03:45:08.416 --> 03:45:09.717]  Big sunglasses, hats.
[03:45:10.658 --> 03:45:16.142]  Well, they're meant to look like court gestures to marginalize whoever Michelle Malkin is against that hour.
[03:45:16.903 --> 03:45:17.123]  Yeah.
[03:45:17.503 --> 03:45:19.945]  Just in case you challenge anything she's ever said.
[03:45:20.286 --> 03:45:21.987]  This is a black op, ladies and gentlemen.
[03:45:22.007 --> 03:45:24.069]  They're directly sponsored by Homeland Security.
[03:45:24.764 --> 03:45:26.806]  And I just want to say shame on you, Homeland Security.
[03:45:27.207 --> 03:45:29.028]  You've been further discredited, CENTCOM.
[03:45:29.048 --> 03:45:30.109]  You've been further discredited.
[03:45:30.590 --> 03:45:31.010]  I'm not kidding.
[03:45:31.030 --> 03:45:33.473]  We need to get screenshots of the fact that they're sponsored by Homeland Security.
[03:45:33.493 --> 03:45:34.053]  Have you seen that?
[03:45:34.254 --> 03:45:35.114]  Yeah, I have seen that.
[03:45:35.174 --> 03:45:36.175]  I mean, officially!
[03:45:36.636 --> 03:45:36.816]  Yeah.
[03:45:37.337 --> 03:45:38.898]  I mean, they're not... This is U.S.
[03:45:38.938 --> 03:45:40.220]  government going up against me!
[03:45:40.580 --> 03:45:42.602]  Framing me for saying, kill a woman and beating her!
[03:45:45.094 --> 03:45:45.775]  It's outrageous.
[03:45:46.155 --> 03:45:47.856]  God, I wish I would have known they were setting me up at the time.
[03:45:47.876 --> 03:45:48.717]  I could have really burned them.
[03:45:49.117 --> 03:45:49.497]  Doesn't matter.
[03:45:49.517 --> 03:45:50.198]  We're still winning.
[03:45:50.398 --> 03:45:52.159]  It's about a 60-40 split right now.
[03:45:52.600 --> 03:45:54.101]  But it's up to you, ladies and gentlemen.
[03:45:54.201 --> 03:45:58.905]  Will you get the video and send it to every neocon?
[03:45:58.925 --> 03:46:05.670]  By the way, when people start calling WBAP about this Mark Davis, he is still going on air saying, I edited video and then I did say killer.
[03:46:06.290 --> 03:46:08.412]  And folks, I do not want to spend your money showing them.
[03:46:08.432 --> 03:46:12.615]  I want to make new TV shows, radio shows, get big guests for you, break news.
[03:46:15.342 --> 03:46:17.284]  It's easy to sound tough and say, I'll sue, I'll sue.
[03:46:17.344 --> 03:46:19.045]  I mean, I've sued people four times and won every time.
[03:46:20.566 --> 03:46:21.347]  I don't enjoy it.
[03:46:21.447 --> 03:46:22.188]  It's not fun.
[03:46:22.208 --> 03:46:25.510]  I mean, Martin Davis, my wife, sent an email saying, please retract.
[03:46:25.550 --> 03:46:26.351]  My husband didn't say that.
[03:46:26.371 --> 03:46:27.752]  He's like, you dumb woman.
[03:46:27.772 --> 03:46:29.514]  Your husband's a piece of trash.
[03:46:29.834 --> 03:46:31.675]  You deserve it better than you.
[03:46:31.715 --> 03:46:32.556]  We ought to publish that.
[03:46:33.016 --> 03:46:35.238]  I mean, this is just trashy, evil people, folks.
[03:46:35.298 --> 03:46:40.683]  And they're so used to an audience they can lie to and deceive and just get away with all of it.
[03:46:40.703 --> 03:46:44.866]  They lay revel in how stupid the general public is, Aaron.
[03:46:45.968 --> 03:46:46.588]  I don't know.
[03:47:05.385 --> 03:47:07.568]  The next few days if you get some rest, we'll do a part two.
[03:47:07.588 --> 03:47:09.169]  There's so much you couldn't put it all in ten minutes.
[03:47:09.189 --> 03:47:11.572]  We want to keep it down to one bite of ten minutes.
[03:47:12.513 --> 03:47:14.115]  But there's a bunch of stuff going up for members.
[03:47:14.415 --> 03:47:22.444]  The Tom Morello interview, the interview with Jerome Corsi, really powerful stuff at the DNC, Cindy Sheehan.
[03:47:24.125 --> 03:47:26.587]  A bunch of other exclusives for Prison Planet.
[03:47:27.087 --> 03:47:29.549]  TV members, don't forget the new film Fabled Enemies is out.
[03:47:30.070 --> 03:47:39.157]  And I've noticed since we crossed this line with Fabled Enemies, to really criticize the intelligence agencies that were involved, I'm noticing the heat is just, it's like somebody flipped a switch.
[03:47:40.478 --> 03:47:43.140]  Well, all these bloggers seem to work for the same people as well.
[03:47:43.820 --> 03:47:46.522]  Yeah, well, it's not going to work, folks.
[03:47:46.643 --> 03:47:48.204]  Every time we get attacked, we only get bigger.
[03:47:49.254 --> 03:47:50.275]  And I trust in God.
[03:47:50.775 --> 03:47:51.835]  I do believe in the Creator.
[03:47:51.855 --> 03:47:56.837]  I do believe in the, you know, energy, spirit of the universe, whatever you want to call it, good versus evil.
[03:47:57.458 --> 03:48:05.301]  And the good, the, you know, the force of creation, God is a lot better than the evil force, a lot bigger and a lot more powerful.
[03:48:06.061 --> 03:48:07.602]  And we just put it all in God's hands.
[03:48:07.662 --> 03:48:09.823]  But we have gotten death threats.
[03:48:10.043 --> 03:48:11.804]  You know, how dare you threaten to kill that woman?
[03:48:11.844 --> 03:48:12.684]  I'm going to kill you.
[03:48:13.124 --> 03:48:14.805]  This is the type of self-righteous stuff.
[03:48:14.845 --> 03:48:17.126]  They like to feed the mentally ill stalker types.
[03:48:18.211 --> 03:48:21.632]  Yeah, but see, about the Malcolm thing, I think people are going after the wrong argument.
[03:48:21.672 --> 03:48:26.253]  They're arguing over, did you yell fire in a theater or were you too loud at the wrong moment?
[03:48:27.094 --> 03:48:32.075]  The point is, they're coming after you when you were challenging her on the internment camps.
[03:48:32.435 --> 03:48:33.876]  And she has nothing to say about it.
[03:48:34.136 --> 03:48:35.376]  It's never about internment camps.
[03:48:35.396 --> 03:48:37.977]  It's never about lying and saying, I lied about the puppy.
[03:48:38.117 --> 03:48:41.718]  And every video online, even Chris Matthews, it's, did you read my book?
[03:48:42.238 --> 03:48:44.359]  How about, what are these ideas you're pitching?
[03:48:44.399 --> 03:48:45.079]  How dare you?
[03:48:46.218 --> 03:48:47.759]  Yeah, well, and then we did read her book.
[03:48:47.779 --> 03:48:49.580]  I mean, she came out with it, like, three years ago.
[03:48:49.600 --> 03:48:53.543]  They sent me a copy that we called their publicist, and I actually read the thing and read quotes on it.
[03:48:53.563 --> 03:48:54.343]  We had a big guy interview us.
[03:48:54.363 --> 03:49:00.507]  Those people who went up to her at C-SPAN, you know, the TV channel, and said, how dare you write this?
[03:49:00.567 --> 03:49:02.088]  And she said, you didn't read my book.
[03:49:02.128 --> 03:49:03.449]  I'm not going to say anything to you.
[03:49:03.869 --> 03:49:09.032]  That's a condescending... Like, if you read it, you would be for putting people without trials in prison camps.
[03:49:09.713 --> 03:49:13.555]  I mean, maybe she has an asterisk in there, but I mean, it's all on the cover there.
[03:49:14.711 --> 03:49:17.012]  Well, actually, I probably read 100 pages.
[03:49:17.032 --> 03:49:17.812]  I didn't read the whole thing.
[03:49:17.852 --> 03:49:19.373]  It was so horrible, I couldn't read it anymore.
[03:49:20.033 --> 03:49:24.295]  It was how wonderful it is to put all the Japanese in the camps, how it kept them safe, and how they loved it.
[03:49:24.495 --> 03:49:25.816]  And how it relates to post-9-11.
[03:49:26.016 --> 03:49:28.317]  And how the Japanese thanked them for putting them in camps.
[03:49:28.337 --> 03:49:30.678]  They're having their land and their fishing boats stolen.
[03:49:30.718 --> 03:49:31.378]  No, they don't.
[03:49:31.398 --> 03:49:31.958]  I've talked to them.
[03:49:32.578 --> 03:49:34.559]  It's just, it's total bull.
[03:49:34.619 --> 03:49:36.740]  It's not an intellectual graduate paper.
[03:49:36.820 --> 03:49:38.961]  It's a criminal hoax on the people.
[03:49:40.436 --> 03:49:46.299]  Well, the video, for those out there, it is Kill Michelle Malkin Hoax Exposed.
[03:49:46.819 --> 03:49:50.822]  I need your help getting this video out to everyone because this is definitive.
[03:49:50.862 --> 03:49:51.922]  This goes through all of it.
[03:49:52.302 --> 03:49:53.603]  This shows you what's happening.
[03:49:53.643 --> 03:49:54.363]  It details it.
[03:49:55.684 --> 03:49:59.866]  It's up on InfoWars.com and PrisonPlanet.com right now.
[03:49:59.906 --> 03:50:00.827]  But the good news is
[03:50:01.673 --> 03:50:11.480]  Liberal, conservative, libertarian, every big wig I talk to, former German defense ministers, former Italian presidents, members of the Japanese government, Hollywood people.
[03:50:12.101 --> 03:50:14.062]  It doesn't matter who it is I run into.
[03:50:14.102 --> 03:50:28.173]  Rage Against the Machine, you know, mainline neighbors down the street, people at church, they all know the government's criminal and out of control, and the lies and fraud you've been selling aren't working anymore.
[03:50:29.614 --> 03:50:30.975]  By the way, this video also gets into
[03:50:33.163 --> 03:50:33.864]  Her past statements.
[03:50:33.884 --> 03:50:34.924]  She's always saying, did you read my book?
[03:50:34.944 --> 03:50:35.404]  Did you read my book?
[03:50:35.705 --> 03:50:37.626]  We have her verbally saying what she believes.
[03:50:38.186 --> 03:50:41.748]  Yeah, on Fox, on C-SPAN, on CNN.
[03:50:41.769 --> 03:50:43.490]  There's a few others too, I think.
[03:50:44.070 --> 03:50:45.051]  Just over and over.
[03:50:45.451 --> 03:50:45.891]  Same thing.
[03:50:46.091 --> 03:50:46.532]  Over and over.
[03:50:47.672 --> 03:50:48.613]  The case for internment.
[03:50:48.773 --> 03:50:50.054]  Let's have internment.
[03:50:50.194 --> 03:50:55.297]  I mean, I normally don't judge a book by its cover, but didn't she just seem troll-like and demon-like and hateful?
[03:50:55.957 --> 03:50:57.779]  I mean, she was a really disgusting person.
[03:50:58.339 --> 03:50:59.740]  And she had a certain look on her face.
[03:51:01.002 --> 03:51:09.784]  And I mean, she thought that arrogant hate of us and dismissing us like we were just grovel and quail, like shrinking violets, you know, at her not liking us.
[03:51:09.804 --> 03:51:11.085]  Hey, we don't care, witch.
[03:51:11.605 --> 03:51:14.266]  We don't care what you and your punk Homeland Security employees do.
[03:51:14.286 --> 03:51:21.468]  We're gonna expose you, we're gonna discredit you, because you need to be exposed and discredited for the monster pig you are.
[03:51:21.488 --> 03:51:23.068]  That video's up there.
[03:51:23.088 --> 03:51:25.789]  I want all of you to get it and rhyme it down everybody's throats.
[03:51:25.829 --> 03:51:27.369]  Help us get it out before it wins.
[03:51:27.409 --> 03:51:29.290]  Now, Attack Pattern Delta.
[03:51:30.550 --> 03:51:35.136]  Phase one of the insider's plan for a one-world government has been initiated with the recent bailout.
[03:51:35.456 --> 03:51:42.664]  International bankers and power brokers have engineered the current crisis to create a new currency and a new world bank to act as savior.
[03:51:42.904 --> 03:51:44.346]  But we've only seen the beginning.
[03:51:44.546 --> 03:51:45.247]  Their next engineer
[03:51:45.267 --> 03:51:46.008]  I don't know.
[03:52:04.168 --> 03:52:04.568]  We're good.
[03:52:30.673 --> 03:52:43.400]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
