[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[02:56:29.443 --> 02:56:29.743]  Thank you.
[02:56:30.304 --> 02:56:31.544]  Okay.
[02:56:31.664 --> 02:56:32.805]  Some U.S.
[02:56:32.845 --> 02:56:38.568]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:56:39.189 --> 02:56:43.291]  I'm aware that some Israeli citizens have... Oh!
[02:56:44.211 --> 02:56:45.472]  Okay, that's it with Genesis.
[02:56:45.492 --> 02:56:46.793]  Let's take these calls, because I got...
[02:56:48.177 --> 02:56:50.918]  A long way to go and a short time to get there.
[02:56:52.378 --> 02:56:54.858]  I'm eastbounding down, loaded up and trucking.
[02:56:55.239 --> 02:57:00.580]  Alright, for TV viewers, PrisonPlanet.TV viewers and Infoworks.com listeners, I'm having my lunch.
[02:57:02.060 --> 02:57:04.020]  Horizon Fat-Free Strawberry.
[02:57:05.061 --> 02:57:06.681]  And I threw some blueberries in here.
[02:57:08.361 --> 02:57:09.662]  So I'm going to have a ten second break.
[02:57:09.682 --> 02:57:10.602]  We're going to your phone calls.
[02:57:10.962 --> 02:57:12.622]  You want to go ahead and start my intro music?
[02:57:13.543 --> 02:57:15.103]  Let's have some intro music here.
[02:57:15.967 --> 02:57:19.731]  To officially, you know, I joke and laugh a little bit because stuff is really gloomy.
[02:57:21.333 --> 02:57:23.555]  And my name's on the top of a government hit list.
[02:57:23.936 --> 02:57:25.798]  But they don't want to go after me until they move on everybody.
[02:57:27.199 --> 02:57:27.840]  They want to wait.
[02:57:29.081 --> 02:57:30.002]  It's your pension funds.
[02:57:30.042 --> 02:57:31.143]  It's your future they're after.
[02:57:32.224 --> 02:57:33.266]  By God, they're going to get them.
[02:57:34.636 --> 02:57:35.857]  Criminal lot of scum.
[02:57:36.317 --> 02:57:37.458]  You ready with my intro music?
[02:57:38.339 --> 02:57:39.860]  How about from Flight of the Valkyries?
[02:57:40.320 --> 02:57:42.421]  Richard Wagner, Ride of the Valkyries.
[02:57:42.441 --> 02:57:44.543]  Let's come in with something we haven't had in a while.
[02:57:45.383 --> 02:57:51.808]  And we will go ahead and play that for you.
[02:57:57.560 --> 02:57:58.561]  It's Al-Qaeda!
[02:57:58.621 --> 02:58:00.302]  Run for the hills!
[02:58:01.022 --> 02:58:02.143]  Police in black uniforms!
[02:58:02.163 --> 02:58:03.664]  Grabbing everybody's children!
[02:58:03.684 --> 02:58:05.605]  Save me from Al-Qaeda!
[02:58:05.725 --> 02:58:06.406]  Help me!
[02:58:06.446 --> 02:58:07.266]  Help me!
[02:58:07.486 --> 02:58:09.127]  Take all my rights away!
[02:58:09.147 --> 02:58:10.308]  Take my pension funds!
[02:58:10.348 --> 02:58:11.549]  Take them!
[02:58:11.809 --> 02:58:12.950]  It'll battle Al-Qaeda!
[02:58:13.970 --> 02:58:14.971]  I love the government!
[02:58:16.192 --> 02:58:21.075]  Government's like, that's right, you love the government!
[02:58:24.719 --> 02:58:28.542]  I'm just glad we got a great leader like George W. Bush!
[02:58:32.005 --> 02:58:34.547]  This hour I'm brought to you by Horizon Organic Yogurt.
[02:58:35.588 --> 02:58:36.849]  Power-backed energy.
[02:58:37.329 --> 02:58:38.090]  It keeps me going.
[02:58:39.351 --> 02:58:40.051]  That's a joke.
[02:58:40.452 --> 02:58:42.253]  One time I was out somewhere and had some orange juice.
[02:58:42.954 --> 02:58:43.835]  Or cranberry juice.
[02:58:43.855 --> 02:58:44.635]  I was snappled!
[02:58:45.676 --> 02:58:50.040]  At a... Last year...
[02:58:52.142 --> 02:58:52.362]  Of course!
[02:58:53.063 --> 02:58:57.046]  Somebody gives me a Snapple, and I drink it, you know, not worrying if it's poison.
[02:58:57.126 --> 02:58:58.187]  I'm just like, haha.
[02:58:58.247 --> 02:59:02.290]  And I go, haha, and I see a camera, and I go, delicious Snapple.
[02:59:02.591 --> 02:59:03.471]  That's what keeps me going.
[02:59:03.511 --> 02:59:05.974]  It was like, Alex Jones funded by Snapple!
[02:59:06.174 --> 02:59:10.057]  He's owned by the company that owns him, and everything else.
[02:59:11.378 --> 02:59:12.079]  Now that's a joke.
[02:59:12.159 --> 02:59:16.302]  I wouldn't like to rise in organic dairy products, is my sponsor though.
[02:59:36.187 --> 02:59:41.993]  I'm done singing after four hours of broadcasting.
[02:59:52.728 --> 02:59:52.988]  Yeah, I think.
[03:00:13.588 --> 03:00:21.396]  Alright, enough screwing around.
[03:00:21.416 --> 03:00:22.377]  Let's go to the callers.
[03:00:22.477 --> 03:00:24.099]  Dave, Vinnie, Ryan, Buck and Tom.
[03:00:24.139 --> 03:00:24.740]  That's going to be it.
[03:00:25.140 --> 03:00:26.521]  Dave in California.
[03:00:27.301 --> 03:00:28.442]  Go ahead, sir, you're on the air.
[03:00:29.122 --> 03:00:30.823]  Alex, can you hear me, brother?
[03:00:31.143 --> 03:00:32.263]  Absolutely, Kaebler.
[03:00:32.864 --> 03:00:33.884]  Okay, right on, man.
[03:00:34.284 --> 03:00:37.946]  Hey, listen, that was perfect break music for what I've got to announce.
[03:00:38.747 --> 03:00:42.428]  I've been announcing it on other shows, but I've been trying to get into yours.
[03:00:42.488 --> 03:00:46.790]  It's a little difficult because you've got so many callers, but thank you so much for everything you do.
[03:00:46.890 --> 03:00:51.953]  And I predict that you will go down in history as the most innovative media person ever.
[03:00:53.032 --> 03:00:53.432]  So there you go.
[03:00:53.452 --> 03:00:54.152]  I don't know about that.
[03:00:54.212 --> 03:00:57.153]  We've just tried to use any tool we can to expose the enemy.
[03:00:57.674 --> 03:01:04.376]  Well, put me down as the first person on your list to get one of those phone lines because I, you know, they're not going to stop me from listening to what you've got to say, man.
[03:01:04.596 --> 03:01:06.137]  Well, we'll see if we ever get that.
[03:01:06.737 --> 03:01:07.017]  Okay.
[03:01:07.037 --> 03:01:08.137]  Well, anyway, so here it is.
[03:01:08.718 --> 03:01:09.258]  I'm starting it.
[03:01:09.358 --> 03:01:12.039]  You guys have been working so hard and I can't really get out.
[03:01:12.099 --> 03:01:15.880]  So I figured, well, I'll do something myself and so that you guys don't have to do anything about.
[03:01:16.540 --> 03:01:18.261]  And so I'm starting a music contest.
[03:01:18.321 --> 03:01:19.642]  I'm supplying all the prizes.
[03:01:19.742 --> 03:01:20.582]  It's going to be called the
[03:01:21.144 --> 03:01:26.428]  Our children will sing great songs to us, music contest, in honor of Richard Perle!
[03:01:27.408 --> 03:01:30.270]  Anyway, and you're going to be prevented from doing anything.
[03:01:30.770 --> 03:01:34.493]  You can take micro-naps if you like, but you've done enough.
[03:01:35.253 --> 03:01:37.335]  So anyway, here's what it's about.
[03:01:38.075 --> 03:01:46.500]  I'm putting up one gold ounce and 20 silver ounces to people that want to compose an epic song.
[03:01:47.181 --> 03:01:50.303]  It must be about the 9-11 Truth Movement to qualify.
[03:01:50.816 --> 03:01:52.877]  But the more inclusive, the better.
[03:01:52.917 --> 03:01:56.337]  Anybody fighting the New World Order, the militia folks, you know, all of them.
[03:01:56.757 --> 03:02:00.718]  The more people you include, the more likely you are to win, because hopefully this will get wide play.
[03:02:02.019 --> 03:02:03.699]  Let's see here.
[03:02:03.759 --> 03:02:06.140]  A friend told me that maybe I'm looking for an anthem.
[03:02:06.560 --> 03:02:09.261]  An anthem would be good, but I'm just one vote.
[03:02:09.341 --> 03:02:12.561]  Okay, listen, you happen to get on the day when I'm in overdrive and I'm really behind.
[03:02:12.881 --> 03:02:13.742]  Give us your website.
[03:02:14.522 --> 03:02:17.883]  I have no website, but I would like to talk to Aaron and I can give him details.
[03:02:17.943 --> 03:02:19.123]  Is that okay if I just mail him in?
[03:02:19.861 --> 03:02:23.843]  Sure, but I mean, you want us to basically run your... No, I don't want you to run it.
[03:02:23.863 --> 03:02:30.107]  The only thing I'm looking for is a forum where I can have the music uploaded and downloaded to an mp3 format.
[03:02:30.147 --> 03:02:30.607]  That's it.
[03:02:30.687 --> 03:02:32.268]  Well, hell, I can hardly keep the lights on.
[03:02:32.288 --> 03:02:33.809]  You know who carries the trash out around here?
[03:02:34.289 --> 03:02:35.050]  But listen, listen.
[03:02:35.950 --> 03:02:38.212]  Yeah, just drop Aaron an email.
[03:02:38.232 --> 03:02:39.733]  We'll try to put you in contact with somebody.
[03:02:39.753 --> 03:02:42.154]  But listen, we're not a big organization, folks.
[03:02:42.254 --> 03:02:42.514]  I know.
[03:02:42.954 --> 03:02:44.135]  And I appreciate your call, Dave.
[03:02:44.896 --> 03:02:46.016]  It's a good idea, what you're doing.
[03:02:46.677 --> 03:02:47.997]  Vinny in California.
[03:02:48.037 --> 03:02:48.738]  Vinny, you're on the air.
[03:02:49.594 --> 03:02:50.456]  Alex, what's happening?
[03:02:51.619 --> 03:02:52.761]  Oh, I'm doing a radio show.
[03:02:53.222 --> 03:02:54.585]  I know, it's a great one today, man.
[03:02:54.605 --> 03:02:55.046]  Great job.
[03:02:55.086 --> 03:02:56.068]  You're killing me, dude.
[03:02:56.188 --> 03:02:58.573]  And eating refreshing Horizon Organic.
[03:02:59.005 --> 03:03:03.826]  Well, I'll tell you what, I'll blab my mouth while you eat for a minute, but real quick, shout out to the guy that was wondering where to put his gold.
[03:03:03.846 --> 03:03:10.908]  You were trying to be nice to him, but no, do not put it in the safety deposit box, because as far as I know, it's written in the Patriot Act that they can come in and take it.
[03:03:11.069 --> 03:03:13.129]  No, no, I was saying diversify.
[03:03:13.169 --> 03:03:14.530]  I was saying it's up to him what he does.
[03:03:14.950 --> 03:03:16.710]  No, you know, that was really good advice on your part.
[03:03:16.730 --> 03:03:17.250]  It really was.
[03:03:17.310 --> 03:03:19.571]  But two things real quick, and I'll get out of your hair.
[03:03:19.651 --> 03:03:20.611]  Like I said, great show today.
[03:03:20.671 --> 03:03:24.793]  First thing is, I watched his deal on the History Channel the other night, and you were on it.
[03:03:24.813 --> 03:03:26.393]  I'm surprised you haven't talked more about it.
[03:03:26.755 --> 03:03:32.116]  But I'm sitting there and I'm just getting absolutely irate because of all the inconsistencies that the so-called experts had.
[03:03:32.416 --> 03:03:38.998]  Yeah, I mean, listen, they've aired that two-hour hit piece more than, I don't know, I think I've heard it's aired like ten times or something.
[03:03:39.358 --> 03:03:44.079]  It airs every month for like the last year, sometimes multiple times daily, so it's probably twenty, thirty times.
[03:03:44.119 --> 03:03:44.979]  I just haven't kept track.
[03:03:45.419 --> 03:03:46.360]  It's all disinfo.
[03:03:46.380 --> 03:03:55.382]  They would show the popular mechanics, yellow journalism, Hearst people in glistening steel, stainless steel, huge windows and fine suits.
[03:03:55.882 --> 03:04:03.624]  Then it would say expert and then they'd show a physicist that wouldn't say expert and blow the video out in the wrong frame rate with their head all like that.
[03:04:04.781 --> 03:04:12.784]  I mean, it was ridiculous, man, it was ridiculous, because every single point that they try to make from the so-called expert, I mean, me, the novice that I am, I could easily rip that to shreds.
[03:04:12.804 --> 03:04:16.906]  But it also makes people go, wait, you mean, and they know not to trust the media.
[03:04:17.286 --> 03:04:18.986]  So, see, it's gone to the point of backfiring.
[03:04:19.226 --> 03:04:25.789]  People know it's a bunch of scum liars and twisters, and so they're going, my God, a two-hour special, saying these people are liars, I better look into it.
[03:04:26.249 --> 03:04:26.609]  And you know what?
[03:04:26.829 --> 03:04:27.489]  That was great, though.
[03:04:27.509 --> 03:04:29.730]  About halfway through, instead of being angry, I said, you know what?
[03:04:29.750 --> 03:04:34.971]  At least somebody's talking about it or has the gut to put some of these people on it that really know what they're talking about.
[03:04:34.991 --> 03:04:38.772]  So I had to twist my thinking around and go from being angry to happy.
[03:04:38.812 --> 03:04:41.252]  So I'm just glad they're playing something.
[03:04:41.452 --> 03:04:42.833]  I think we're winning this battle, my brother.
[03:04:42.853 --> 03:04:43.333]  I really do.
[03:04:43.353 --> 03:04:44.353]  I've got one more thing to say.
[03:04:44.413 --> 03:04:46.293]  Oh, by the way, they've refused to debate me.
[03:04:46.353 --> 03:04:48.874]  Popular Mechanics will not debate me, but I called in on the show once.
[03:04:49.414 --> 03:05:01.879]  When they were on there, and I brought up things like, you say that NORAD never said they intercepted a plane but one time in their history, but here's Reuters, the same expert you used, the head spokesman of NORAD saying 160-something times in the year before 9-11.
[03:05:02.319 --> 03:05:06.600]  And then they said 25% of the building was scooped out, the final NIST report.
[03:05:06.881 --> 03:05:14.563]  The NIST report discredits them, because now it says 25% was not scooped out by the North Tower falling into the 47-story building, Building 7.
[03:05:15.224 --> 03:05:18.725]  But see, people just hear, a government report discredited it.
[03:05:19.025 --> 03:05:22.026]  But if you actually read the Warren Commission, it discredits the Kennedy.
[03:05:22.046 --> 03:05:25.947]  If you actually read the NIST report, it discredits 9-11.
