[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[02:40:19.103 --> 02:40:27.046]  Glenn Beck works for the same people Obama do, and they're just meant to fight with each other and get us fighting with each other while the bankers rule over us.
[02:40:27.506 --> 02:40:30.627]  And they write books bragging how they do this to us.
[02:40:30.668 --> 02:40:31.408]  God bless you, sir.
[02:40:32.348 --> 02:40:36.691]  There's a free podcast that over 180,000 people are downloading a day on average.
[02:40:37.011 --> 02:40:37.892]  Some days it's over 200,000.
[02:40:38.772 --> 02:40:41.674]  Just click on the listen section at InfoWars.com.
[02:40:42.094 --> 02:40:43.695]  Put it into your MP3 or iPod.
[02:40:43.936 --> 02:40:48.979]  You can buy a decent MP3 device that will hold hundreds of hours now for like 20 bucks.
[02:40:50.239 --> 02:40:51.660]  A really nice one for like a hundred.
[02:40:52.321 --> 02:40:59.365]  I've got an old one I used from like five years ago that'll record like a hundred hours that you could buy on eBay for like ten dollars now.
[02:41:01.545 --> 02:41:02.947]  I mean, I'm not saying I'm selling that.
[02:41:02.967 --> 02:41:04.369]  I'm saying I have systems like that.
[02:41:05.250 --> 02:41:08.795]  They got stuff I see at Target for like 20 bucks that records hundreds of hours.
[02:41:09.255 --> 02:41:11.298]  You just copy and paste that in.
[02:41:11.318 --> 02:41:12.960]  You can listen to the free streams.
[02:41:13.321 --> 02:41:15.223]  No matter where you are, you can listen to us free.
[02:41:16.144 --> 02:41:17.465]  Then there's the AM and FM's.
[02:41:17.485 --> 02:41:18.845]  60-something affiliates.
[02:41:18.885 --> 02:41:19.666]  Sounds like a lot.
[02:41:19.766 --> 02:41:20.186]  It's not.
[02:41:20.646 --> 02:41:22.407]  Great stations here and there around the country.
[02:41:23.247 --> 02:41:25.588]  Then we're on Global Shortwave, WWCR.
[02:41:25.948 --> 02:41:28.109]  Buy a $100 shortwave at Radio Shack.
[02:41:28.129 --> 02:41:29.470]  You can listen to us anywhere in the world.
[02:41:30.791 --> 02:41:32.451]  And we're on XM on the weekend.
[02:41:33.232 --> 02:41:34.512]  They only play like four hours.
[02:41:34.532 --> 02:41:35.633]  They're like testing us out.
[02:41:37.389 --> 02:41:37.529]  Alex.
[02:41:37.549 --> 02:41:37.689]  Yes, sir.
[02:42:07.099 --> 02:42:15.062]  I just, look, I just want to say, I just want to say thank you, uh, for all the work that you guys are doing and shedding the light on this new world order.
[02:42:15.082 --> 02:42:18.884]  Um, no weapon formed against us shall prosper.
[02:42:19.224 --> 02:42:25.627]  And I mean, whether you're black, white, just the unity of it is really what's amazing about this movement of ours.
[02:42:26.427 --> 02:42:27.868]  And, um, I'm pretty new to it.
[02:42:28.148 --> 02:42:30.009]  I've watched Endgame and senior films.
[02:42:30.249 --> 02:42:34.911]  Um, my, my, my, my question was for Charlie, uh,
[02:42:36.623 --> 02:42:40.587]  Well, stay there, stay there, because I can tell you how he'd probably answer it.
[02:42:41.848 --> 02:42:44.390]  Should have kept him longer, I probably could have, but I don't want to twist his arm.
[02:42:44.451 --> 02:42:44.751]  Stay there.
[02:42:44.771 --> 02:42:46.953]  We'll come back, finish up with you, then I'm going to hit this.
[02:42:47.854 --> 02:42:51.397]  Doctor says flu vaccine will cause 60,000 deaths in France alone.
[02:42:52.498 --> 02:42:54.920]  The inoculations start in a week and a half.
[02:42:55.681 --> 02:42:56.241]  So we're here.
[02:42:56.502 --> 02:42:56.802]  Stay there.
[02:43:01.169 --> 02:43:06.573]  Using high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[02:43:06.813 --> 02:43:11.097]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[02:43:11.317 --> 02:43:16.181]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline minerals.
[02:43:16.481 --> 02:43:23.646]  Using Plasma pH Drops is the best way to make your water alkaline to help you get rid of acid and regain your health and energy.
[02:43:23.947 --> 02:43:28.310]  Simply put 10 drops in the water you drink to raise the pH to a healthy level.
[02:43:28.610 --> 02:43:34.195]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[02:43:34.635 --> 02:43:41.160]  Disease organisms like bacteria, viruses, and cancer cannot survive in an alkaline high pH environment.
[02:43:41.581 --> 02:43:46.905]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[02:43:47.085 --> 02:43:50.227]  That's A-L-K-A Vision dot com or call 269-409-1776.
[02:43:50.248 --> 02:43:50.548]  269-409-1776 today!
[02:43:58.883 --> 02:44:04.188]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:44:04.709 --> 02:44:11.696]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:44:12.297 --> 02:44:18.443]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:44:18.863 --> 02:44:20.704]  Well, Obama's already fudging.
[02:44:20.845 --> 02:44:23.266]  He's fudged since day one in this election.
[02:44:23.346 --> 02:44:34.294]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:44:34.914 --> 02:44:36.195]  It's not about left or right.
[02:44:36.595 --> 02:44:37.996]  It's about a one-world government.
[02:44:38.457 --> 02:44:44.681]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:44:45.350 --> 02:44:53.093]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:44:53.614 --> 02:44:54.754]  The Obama Deception.
[02:44:55.194 --> 02:44:56.355]  The people strike back!
[02:44:58.380 --> 02:45:05.886]  AirAndAqua.com is your one-stop shop for some of the most affordable air and water purification systems available on the market today.
[02:45:06.126 --> 02:45:14.392]  AirAndAqua.com knows exactly what doesn't belong in our air and our water, and they know exactly how to help you rid your home or office of these harmful toxins.
[02:45:14.712 --> 02:45:19.256]  Did you know that your skin actually absorbs more chlorine while you shower than from the water you drink?
[02:45:19.476 --> 02:45:23.159]  AirAndAqua.com can help you eliminate dangerous chlorine from your water.
[02:45:23.399 --> 02:45:27.542]  AirAndAqua.com carries atmospheric water generators, glass water bottles,
[02:45:27.822 --> 02:45:28.402]  We're good to go!
[02:46:14.540 --> 02:46:15.021]  Quinn!
[02:46:15.561 --> 02:46:19.624]  Then we'll get to Tom, Jock, Michael, Charles and others tomorrow if you call us back.
[02:46:19.644 --> 02:46:21.145]  Always like hearing from Charles, Louisiana.
[02:46:21.165 --> 02:46:22.126]  That's my man calling.
[02:46:22.486 --> 02:46:24.007]  I may try to cram Charles in too.
[02:46:24.047 --> 02:46:26.229]  I've just got to hit this other flu news.
[02:46:26.589 --> 02:46:28.030]  Finishing up what you were saying, Quinn.
[02:46:29.483 --> 02:46:30.543]  Uh, yes.
[02:46:30.783 --> 02:46:48.129]  What I was saying, and what I've been observing, particularly with Fox News and the left-right paradigm, Glenn Beck, is Glenn Beck going to be a prototype of the 2012 candidate to come against Obama, where you have someone who's running on our issues, essentially hijacking us?
[02:46:48.749 --> 02:46:49.329]  Yes.
[02:46:51.710 --> 02:46:52.190]  Exactly.
[02:46:52.250 --> 02:46:53.050]  No, that's what it is.
[02:46:53.110 --> 02:46:58.232]  And then he'll be in control of the revolution, and then he will deliver us right into a Republican's hand.
[02:47:00.822 --> 02:47:09.866]  Either Obama, they were thinking about closing the doors on us with Obama, but because we shot down his cult of personality, it may be the next guy that's going to be the real dictator.
[02:47:11.486 --> 02:47:11.787]  Wow.
[02:47:12.027 --> 02:47:12.327]  Okay.
[02:47:12.667 --> 02:47:12.927]  Yeah.
[02:47:13.847 --> 02:47:14.908]  That's how the scam works.
[02:47:16.088 --> 02:47:16.409]  Yeah.
[02:47:17.469 --> 02:47:21.971]  I mean, in 2012, do you see a new consciousness coming in that year?
[02:47:23.091 --> 02:47:26.553]  I'm making a film about 2012, and it's a very sophisticated issue.
[02:47:26.573 --> 02:47:29.134]  I appreciate your call, Quinn, in Texas.
[02:47:31.280 --> 02:47:34.802]  Yes, there is a big awakening happening, but the elite have another meaning for that.
[02:47:35.242 --> 02:47:36.923]  I'm going to cover it later.
[02:47:37.223 --> 02:47:38.684]  Charles in Louisiana, very quickly.
[02:47:38.704 --> 02:47:39.365]  Go ahead, Charles.
[02:47:40.185 --> 02:47:41.226]  How are you doing?
[02:47:41.666 --> 02:47:42.186]  Good, buddy.
[02:47:42.226 --> 02:47:43.787]  What did you think of Charlie and his courage?
[02:47:44.187 --> 02:47:47.309]  Well, I commend him.
[02:47:47.329 --> 02:47:49.230]  I've met a lot of strong men.
[02:47:49.250 --> 02:47:52.672]  I think he's one of the bravest men I've ever met in my life.
[02:47:53.173 --> 02:47:54.213]  And I've been with the baddest.
[02:47:56.154 --> 02:47:57.755]  And I just want to commend you.
[02:47:57.995 --> 02:47:59.516]  You never gave up, Alex.
[02:47:59.696 --> 02:48:00.497]  You was always there.
[02:48:01.161 --> 02:48:04.723]  People might criticize you, but they never can walk in your shoes.
[02:48:05.843 --> 02:48:06.964]  They never can walk in your shoes.
[02:48:07.004 --> 02:48:08.444]  Well, I never claimed to be perfect.
[02:48:08.745 --> 02:48:09.405]  Lord knows I'm not.
[02:48:09.445 --> 02:48:11.206]  Yeah, you're not perfect, but you are a hero.
[02:48:12.066 --> 02:48:13.007]  You are a hero, okay?
[02:48:13.027 --> 02:48:13.667]  You're my hero.
[02:48:15.068 --> 02:48:19.650]  And I just thank you for what you're doing, and I hope to God that we get this country back.
[02:48:19.730 --> 02:48:22.011]  And I want to thank everybody who went to Washington, D.C.
[02:48:22.431 --> 02:48:24.372]  I didn't, but I didn't have the money.
[02:48:24.412 --> 02:48:27.914]  But I want to thank everybody who went there and everybody who's fighting.
[02:48:28.354 --> 02:48:30.415]  God bless America, Mr. Jones.
[02:48:30.871 --> 02:48:32.195]  And thank you for going over.
[02:48:32.877 --> 02:48:36.046]  Well, I tried, Charles, and thank you, and I'll try to do the best job I can.
[02:48:36.066 --> 02:48:37.691]  I know everybody's counting on me.
[02:48:37.731 --> 02:48:38.413]  It's quite a wait.
[02:48:39.462 --> 02:48:51.613]  Because I never thought I'd be in this position and just so sick of all the lies and twisting and we know the past flu shots have killed people and we know the Gardasil's killing people, we know they're jacking the water full of stuff.
[02:48:51.653 --> 02:48:54.075]  I mean, I just want this ride to stop.
[02:48:54.095 --> 02:49:02.483]  It's like I'm on a roller coaster and it just won't stop and I'm telling the guy in the black ski mask, you know, the executioner to stop, you know, let me off and he won't let me off.
[02:49:03.164 --> 02:49:04.065]  And I'm tired of it.
[02:49:05.109 --> 02:49:09.776]  I don't know how in the world people that serve this government go along with this evil, because it isn't cute.
[02:49:10.477 --> 02:49:13.702]  Anybody who's got little kids, I don't know how you don't fight this.
[02:49:15.270 --> 02:49:16.771]  I want to get this doctor on, by the way.
[02:49:16.791 --> 02:49:17.931]  We're working on getting him on.
[02:49:18.792 --> 02:49:31.757]  Dr. Marc Girard, a specialist with the Side Effects of Drugs and Medical Expert Commission by the French Courts, has said on French TV that the swine flu vaccine could cause 60,000 deaths in France, especially among younger people, children and pregnant women.
[02:49:32.178 --> 02:49:37.620]  He also said the people promoting the swine flu vaccine are doing so because they have links with pharmaceutical companies.
[02:49:37.640 --> 02:49:38.781]  We're going to play this tomorrow.
[02:49:39.281 --> 02:49:41.342]  Maybe have my wife translate it into English.
[02:49:42.242 --> 02:49:51.166]  The problem with the swine flu vaccine that it's not just badly developed, but not developed, he said, adding that it's being prepared in conditions that endanger the public health.
[02:49:51.446 --> 02:49:57.128]  Just like the German news is reporting about the cancer viruses in it in Build Magazine newspaper.
[02:49:58.268 --> 02:49:59.109]  And it just goes on.
[02:49:59.149 --> 02:50:01.449]  I'm going to start the show with this tomorrow.
[02:50:02.070 --> 02:50:03.690]  Other big developments throughout the week.
[02:50:03.710 --> 02:50:05.371]  I want to say great job to the crew.
[02:50:05.911 --> 02:50:07.212]  Great job to Charlie Sheen.
[02:50:08.485 --> 02:50:12.008]  And, uh, just everybody out there that makes this radio show possible.
[02:50:12.248 --> 02:50:13.509]  All of our sponsors.
[02:50:14.129 --> 02:50:15.210]  Who are those sponsors?
[02:50:15.910 --> 02:50:17.031]  Silver Lungs.
[02:50:17.952 --> 02:50:19.172]  SilverLungs.com.
[02:50:19.212 --> 02:50:21.454]  Check out this great new colloidal silver system.
[02:50:21.914 --> 02:50:22.995]  SilverLungs.com.
[02:50:23.015 --> 02:50:23.876]  Acola Blue.
[02:50:24.276 --> 02:50:25.817]  Diginet.net.
[02:50:26.437 --> 02:50:28.239]  SurvivalSeedBank.com.
[02:50:28.419 --> 02:50:29.580]  FrontSite.com.
[02:50:30.220 --> 02:50:32.241]  All those sponsors make the show possible.
[02:50:32.261 --> 02:50:35.063]  We're very thankful to them and the online video bookstore.
