[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[03:21:56.963 --> 03:21:59.025]  And I just realized, hey, it's all in God's hands.
[03:21:59.065 --> 03:22:00.326]  I'm doing the best job I can.
[03:22:00.346 --> 03:22:02.207]  I'm standing up and doing the right thing here.
[03:22:05.249 --> 03:22:06.430]  Let me run through a bunch of news.
[03:22:06.510 --> 03:22:08.211]  No, no, Ian in England's been holding too long.
[03:22:08.531 --> 03:22:10.152]  Ian in England, you're on the air.
[03:22:10.252 --> 03:22:10.612]  Welcome.
[03:22:10.652 --> 03:22:11.193]  Thank you, Ian.
[03:22:13.038 --> 03:22:16.300]  Hey, nice to speak to you, Alex.
[03:22:16.340 --> 03:22:17.481]  Nice of you to try to get on.
[03:22:17.521 --> 03:22:20.262]  Go ahead, I apologize if you haven't got a hold.
[03:22:20.282 --> 03:22:21.603]  That's okay, it's only been three hours.
[03:22:25.165 --> 03:22:28.207]  Now, I started off originally when Lew was on.
[03:22:29.228 --> 03:22:34.271]  That was when there was an awful lot of important things that the guy was saying.
[03:22:35.812 --> 03:22:41.495]  Just as a kickoff, you know, it would be good if Americans really paid attention to what
[03:22:42.435 --> 03:22:46.737]  What happened in Europe and how it came about, and what is happening now currently in Europe.
[03:22:47.718 --> 03:22:55.022]  Because, as you know, what happens here is definitely coming over to you guys in the near future.
[03:22:55.442 --> 03:22:56.282]  And vice versa.
[03:22:56.382 --> 03:22:56.883]  Sorry.
[03:22:58.643 --> 03:22:59.784]  And vice versa.
[03:22:59.804 --> 03:23:01.305]  You've got the floor for five minutes.
[03:23:01.665 --> 03:23:03.826]  Like you said, you held for three hours, so you go ahead.
[03:23:05.067 --> 03:23:05.627]  No, that's fine.
[03:23:06.007 --> 03:23:06.888]  I was saying that, you know, the
[03:23:08.625 --> 03:23:10.706]  As you say, it is a backwash.
[03:23:10.786 --> 03:23:16.527]  One thing goes one way, they're testing things in America, they come over here, we do things over here, and they go over there.
[03:23:16.687 --> 03:23:19.428]  So it's a reverse process.
[03:23:21.708 --> 03:23:34.191]  The only thing that worries me with what's happening in the US, and I'd like to get your feedback on this one, is with regards to... I mean, I know Ron Paul, and he's obviously a very credible character,
[03:23:34.895 --> 03:23:37.836]  But I wonder if it's the case of all the eggs in one basket.
[03:23:38.216 --> 03:23:44.598]  Because I've looked at, you know, Kucinich, and he is just as equally credible as Ron Paul.
[03:23:45.978 --> 03:23:56.241]  And it just seems that all the attention goes into just purely the, you know, obviously 1207, a fantastic thing that is being done by Ron Paul, and the auditing of the Fed.
[03:23:56.281 --> 03:23:57.862]  And I wish we had an equivalent here.
[03:23:59.037 --> 03:24:05.059]  That's right, your Bank of England, your private Bank of England is partners with our private Federal Reserve.
[03:24:05.079 --> 03:24:07.480]  That's kind of the evil dynamic duo.
[03:24:07.560 --> 03:24:08.781]  It's a central bank, isn't it?
[03:24:09.001 --> 03:24:09.601]  It's central.
[03:24:09.641 --> 03:24:17.244]  So when we have the Central Bank of Europe, so really the Bank of England is just a branch office of the European Bank now, to all effects.
[03:24:18.644 --> 03:24:20.345]  Now they're all interconnected.
[03:24:20.565 --> 03:24:23.286]  Of the overall IMF and the World Bank.
[03:24:23.386 --> 03:24:25.807]  I mean, they're all just branch offices, pretty much.
[03:24:28.311 --> 03:24:29.132]  That's the way I see it.
[03:24:29.152 --> 03:24:32.093]  I don't know, like I said, I'd like you to... I can tell you the architecture if you don't know it.
[03:24:32.373 --> 03:24:35.775]  It's the International Bank of Settlements is the grand board arbiter.
[03:24:36.135 --> 03:24:40.558]  And less than 20 families own the private central banks of the West.
[03:24:41.338 --> 03:24:41.499]  Yeah.
[03:24:42.099 --> 03:24:43.760]  So it all comes out of Switzerland pretty much.
[03:24:44.000 --> 03:24:47.322]  And I don't know if you've ever looked into, have you ever read Isaac Asimov?
[03:24:48.214 --> 03:24:49.555]  And the Foundation Series.
[03:24:49.795 --> 03:25:11.494]  Yes, I've read the entire Foundation Series, and you know, that was them throwing their real system in our face, where they have mathematical equations to predict the future, and that's what they're doing with the Google NSA biometric system is now marking reality, not just cyberspace, for a full net, full spectrum dominance grid.
[03:25:13.015 --> 03:25:15.557]  I mean, see, this is the thing that people don't get with the ID card.
[03:25:16.135 --> 03:25:20.523]  Because the ID cards, people say, oh well the ID cards, they're going to be introduced voluntarily.
[03:25:21.067 --> 03:25:25.268]  But the voluntary, there will be voluntary for the individuals who are working.
[03:25:25.628 --> 03:25:30.250]  But they will be compulsory for anybody taking any social benefits.
[03:25:30.610 --> 03:25:33.731]  Or buying gasoline, or buying gasoline, cigarettes, food.
[03:25:33.791 --> 03:25:38.792]  They're going to have a world sales tax that's going to be regional still, but will be world in implementation.
[03:25:38.832 --> 03:25:39.332]  Yeah, that's it.
[03:25:39.612 --> 03:25:39.872]  No, no, no.
[03:25:40.032 --> 03:25:41.273]  They need all that data.
[03:25:41.293 --> 03:25:45.814]  But I mean, you were going to say something about the Foundation Series, true visionary Isaac Asimov.
[03:25:46.294 --> 03:25:48.735]  Give me your take on it instead of me showing off that I knew about it.
[03:25:48.775 --> 03:25:49.015]  Go ahead.
[03:25:50.367 --> 03:25:58.915]  Well, the Isaac Asimov aspect of it is just, it's always this, you know, obviously these people are always shady.
[03:25:58.955 --> 03:26:00.677]  It's always the people you least expect.
[03:26:00.777 --> 03:26:05.562]  Now, when you talk to anybody about power, they never talk about Switzerland.
[03:26:06.102 --> 03:26:10.547]  They'll talk about Belgium, they'll talk about Britain, America.
[03:26:10.587 --> 03:26:14.871]  Switzerland always seems to be a blind spot.
[03:26:16.484 --> 03:26:17.865]  You're right, it needs to get more attention.
[03:26:17.945 --> 03:26:21.148]  It's the Vatican's bankers and the European Union.
[03:26:21.168 --> 03:26:22.670]  And then there's the second foundation.
[03:26:22.910 --> 03:26:23.591]  You see what I mean?
[03:26:23.631 --> 03:26:25.332]  That's the Isaac Asimov aspect of it.
[03:26:25.913 --> 03:26:31.078]  Because the foundation series is all about the people who never actually get recognized.
[03:26:32.419 --> 03:26:35.422]  And Switzerland is the foundation process.
[03:26:36.533 --> 03:26:38.573]  Because they've never been attacked.
[03:26:38.973 --> 03:26:40.154]  They've always been independent.
[03:26:40.194 --> 03:26:41.814]  They've always maintained their autonomy.
[03:26:42.954 --> 03:26:45.175]  Hold on, I just figured it out.
[03:26:45.215 --> 03:26:46.615]  My board ops want to go home.
[03:26:46.635 --> 03:26:48.415]  Are you guys shutting me down here?
[03:26:48.435 --> 03:26:49.655]  I hear the music coming in.
[03:26:49.675 --> 03:26:51.636]  No, no, no.
[03:26:52.336 --> 03:26:54.156]  I'm going to give us five more minutes on the clock.
[03:26:54.656 --> 03:26:56.196]  Sudden death overtime.
[03:26:56.236 --> 03:26:58.197]  We'll go out with that in a moment.
[03:26:58.217 --> 03:26:58.797]  Go ahead, caller.
[03:27:00.537 --> 03:27:00.937]  Okay.
[03:27:01.337 --> 03:27:01.978]  Well, the...
[03:27:05.336 --> 03:27:11.001]  There is always a blind spot that goes on with all of these things, and this is precisely where Switzerland seems to step into the mark.
[03:27:12.422 --> 03:27:19.789]  And that's the kind of frightening aspect, because it is the one entity, and as you said, the banking system, everything comes out of Switzerland.
[03:27:20.149 --> 03:27:21.470]  Listen, listen, I'm going to let you go.
[03:27:21.550 --> 03:27:23.392]  Call me back another day and you won't have to hold that long.
[03:27:23.412 --> 03:27:25.714]  I know you hung up and called back, that's why you were that long.
[03:27:25.734 --> 03:27:26.955]  But God bless you, Ian, good to hear from you.
[03:27:26.975 --> 03:27:30.758]  I'm going to take a few more, because Aaron and Nick and JT have been holding forever.
[03:27:30.778 --> 03:27:32.200]  I want to give them just like a minute and a half apiece.
[03:27:34.225 --> 03:27:38.509]  And we'll go out at like seven after that when we come back in the rebroadcast with a key part of the show from today.
[03:27:38.949 --> 03:27:44.394]  But not just Switzerland though, it's more than that.
[03:27:44.914 --> 03:27:48.117]  See, let me draw it like this.
[03:27:48.137 --> 03:27:49.658]  Can somebody zoom in on the camera right here?
[03:27:49.678 --> 03:27:50.619]  I'm going to draw this for people.
[03:27:51.300 --> 03:27:52.180]  Somebody zoom in on this.
[03:27:53.121 --> 03:27:54.122]  It kind of works like this.
[03:27:55.103 --> 03:27:58.446]  You look at the Swiss, you look at the British, you look at the Japanese, you look at Israel.
[03:27:59.850 --> 03:28:20.741]  You look at the Vatican, you look at the Russians, you look at the Chinese, you look at the Israeli Mafia, Wass Mafia, Italian Mafia, Chinese Mafia, Japanese Mafia, Global Corporations, Walmart, you know all these people, and it's all this group's bigger, that group's bigger, you know, the CFR's bigger, the Trilateral Commission's bigger.
[03:28:21.782 --> 03:28:28.986]  What they don't tell you is all of these, I just can't do it, there's too much light in here, that's why I've been asking, I really want to get a document cam,
[03:28:30.566 --> 03:28:31.287]  Up on the ceiling.
[03:28:31.307 --> 03:28:32.708]  And then we can do it that way.
[03:28:35.030 --> 03:28:37.632]  Maybe I can get like a board I can stand up to and then show people.
[03:28:38.272 --> 03:28:39.893]  I wanted that thing where I could draw on the screen.
[03:28:40.474 --> 03:28:41.354]  And then I could do this.
[03:28:41.455 --> 03:28:42.375]  I guess I haven't tried this.
[03:28:42.455 --> 03:28:50.522]  Anyways, you've got all these different groups when they're all interconnected and run by the same leadership.
[03:28:50.842 --> 03:28:55.465]  That's a very simple picture, but in reality they're all
[03:28:56.443 --> 03:29:03.207]  Interconnected, all intermarried, generational wealth, power, like for like, all connected to each other.
[03:29:03.507 --> 03:29:07.530]  And so the organism, the political makeup is right in front of you.
[03:29:07.550 --> 03:29:18.576]  People are saying, no, it's this group, or no, it's that group, and don't forget the Arabs, and other groups, or different think tanks, conservative, liberal groups.
[03:29:18.916 --> 03:29:22.919]  They'll say, oh, it's moveon.org runs it all, or no, it's CMP runs it all, or no, it's this or that.
[03:29:23.579 --> 03:29:24.760]  It's all these different groups.
[03:29:26.212 --> 03:29:27.413]  Or, oh, it's the Bohemian Grove.
[03:29:27.433 --> 03:29:34.459]  Well, all these groups come together at something like Bohemian Grove for 15 days, getting drunk and having sex and doing weird stuff.
[03:29:35.280 --> 03:29:37.742]  But all these things interconnect.
[03:29:39.384 --> 03:29:41.946]  And they even have occasional fights with each other.
[03:29:42.306 --> 03:29:45.009]  But then there's an equilibrium that comes back.
[03:29:46.252 --> 03:29:46.892]  Into it all.
[03:29:47.833 --> 03:29:52.956]  And there's a lot more connections to this, but it's like fractal logic or something.
[03:29:53.356 --> 03:29:58.259]  And so, everybody's looking in at one little piece instead of pulling back and going, oh, there's the group organism.
[03:29:59.640 --> 03:30:11.828]  And then you find out that it's always waging war against humanity that it sits on top of, and each of these little pyramid structures has nodes and sub-minions
[03:30:12.853 --> 03:30:18.555]  Run along the lines of an intelligence agency, growing roots down into the local community to control it.
[03:30:18.775 --> 03:30:37.101]  So this organism of corruption, this parasite, sits above humanity, and it's all interconnected above us in the administrative system, but then they have little spokes, again, growing down from them into the flesh of the body politic in humanity right there.
[03:30:39.141 --> 03:30:39.761]  Very simple.
[03:30:40.982 --> 03:30:43.845]  So again, everybody's focusing on this or that or this or that.
[03:30:43.985 --> 03:30:49.089]  They never want you to pull back and see the full organism of corruption and then realize how you've got to beat it.
[03:30:49.289 --> 03:30:51.771]  They want to transfer any power left in the nation states.
[03:30:52.691 --> 03:30:54.353]  Nation states are kind of like squares.
[03:30:56.383 --> 03:31:12.815]  See, and they have their own corruption, their own problems, but they're being fully removed, because when these groups fully remove the old power structures, they get to set the new rules for a totally centralized power structure, where they're not only steering the planet, but dominating and micromanaging through a high-tech control grid.
[03:31:15.837 --> 03:31:17.678]  Aaron in Kentucky, go ahead, you're on the air.
[03:31:18.979 --> 03:31:23.863]  Yeah, hey, I guess I've been listening for a while, and probably one thing that I've had difficulty running my
[03:31:24.713 --> 03:31:26.034]  God, how do I do this call in one minute?
[03:31:26.054 --> 03:31:28.255]  Looks like we're going longer, man.
[03:31:29.255 --> 03:31:33.878]  Look, what do I say to you, briefly?
[03:31:51.923 --> 03:31:59.905]  You know, if I had time, I would pull up medical graphs in Europe, the United States, Canada, Australia, England, and the graphs all look almost identical.
[03:32:00.305 --> 03:32:04.427]  You'll have a graph, and it'll say 1900, and it'll say 1930, 1950,
[03:32:13.391 --> 03:32:21.213]  And with sanitation in the Western world, with sanitation coming in around 1900, infectious diseases go like this.
[03:32:21.673 --> 03:32:21.873]  Look.
[03:32:25.794 --> 03:32:25.994]  Here's 1900.
[03:32:26.074 --> 03:32:29.174]  Infectious diseases plunge because of sanitation.
[03:32:29.574 --> 03:32:29.795]  There to 1930.
