[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[03:46:14.040 --> 03:46:16.500]  I find the American public to be incredibly smart.
[03:46:16.500 --> 03:46:23.440]  If you tell them the risk and you give them the tools, they will utilize them to protect themselves and their family.
[03:46:23.959 --> 03:46:31.360]  We told you that the globalists were going to launch a new plandemic, a new psychological warfare operation, a new hysteria.
[03:46:32.370 --> 03:46:35.270]  President Trump needs to get out ahead of this right now.
[03:46:35.670 --> 03:46:37.670]  He needs to expose these frauds.
[03:46:37.750 --> 03:46:40.549]  It is meant to kill the economy again.
[03:46:40.809 --> 03:46:47.649]  It is meant to take control of not just America's political policies, but the world's.
[03:46:47.950 --> 03:46:49.209]  This is the big move.
[03:46:49.370 --> 03:46:50.889]  Do you want the mask back on the kids?
[03:46:51.069 --> 03:46:52.190]  Do you want the lockdowns?
[03:46:52.250 --> 03:46:59.049]  Do you want them to have all these COVID centers around the world, not just filled with people they claim failed a PCR test, but political dissidents.
[03:46:59.309 --> 03:47:00.090]  That's the plan.
[03:47:01.609 --> 03:47:10.290]  Schmidt, the head of Alphabet, of Google, has come out and said he wants NATO and the UN to censor and arrest people during the next pandemic.
[03:47:10.510 --> 03:47:12.069]  He said that a few months ago at Stanford.
[03:47:12.290 --> 03:47:13.549]  They are gearing up.
[03:47:13.670 --> 03:47:14.950]  They are making their move.
[03:47:15.129 --> 03:47:16.610]  This is the big assault.
[03:47:16.930 --> 03:47:22.889]  This is their plan to derail the great awakening and continue their great reset.
[03:47:23.149 --> 03:47:26.350]  President Trump must come out and speak out against this.
[03:47:26.639 --> 03:47:33.600]  Now, but regardless of what he does, we have to come out and speak out about it right now and expose these criminals.
[03:47:33.819 --> 03:47:39.700]  Remember the horses running over people in Australia, Germany, Canada, who were out protesting the lockdowns.
[03:47:40.000 --> 03:47:41.299]  Remember all the tyranny.
[03:47:41.500 --> 03:47:44.219]  Remember the children cheering when they finally took the mask off.
[03:47:44.399 --> 03:47:50.040]  Remember the third world collapsing and tens of millions starving to death, not from the virus, but from the lockdowns from the virus.
[03:47:50.360 --> 03:47:54.879]  This is global government trying to take over our lives with the fear of a virus.
[03:47:55.579 --> 03:47:58.659]  Then their response are these poison shots that destroy our immune systems.
[03:47:58.899 --> 03:48:01.260]  This is globalist tyranny.
[03:48:01.420 --> 03:48:03.620]  This is phase two of their genocide.
[03:48:03.620 --> 03:48:09.520]  And we the people in the information war with the truth must rally with the facts and stop them now.
[03:48:09.700 --> 03:48:11.260]  It's us or them.
[03:48:11.829 --> 03:48:14.329]  Should there be a federal mask mandate?
[03:48:14.670 --> 03:48:25.610]  Yeah, at this point, there absolutely should be that mandate because we know that if all of us wear masks, we reduce the chance of transmitting or acquiring COVID-19 by five times.
[03:48:25.930 --> 03:48:28.590]  There is a real danger when we politicize science.
[03:48:28.590 --> 03:48:34.889]  That public trust is broken when we are politicizing science instead of following a scientific process.
[03:48:35.190 --> 03:48:36.909]  My kids are not eligible to be vaccinated.
[03:48:36.909 --> 03:48:38.590]  It's not that I don't want them to be vaccinated.
[03:48:38.590 --> 03:48:39.690]  It's that they can't be.
[03:48:39.989 --> 03:48:41.809]  And I do really worry.
[03:48:41.909 --> 03:48:44.290]  I have an almost four-year-old and a one-year-old.
[03:48:44.290 --> 03:48:47.290]  I cannot wait until they're eligible to receive the vaccine.
[03:48:47.569 --> 03:48:55.250]  I think until then, mask wearing for kids, especially if we are living in high transmission areas, is still going to be important.
[03:48:55.420 --> 03:48:59.500]  And what we really need to do at this point is to make vaccination the easy choice.
[03:48:59.700 --> 03:49:02.860]  It needs to be hard for people to remain unvaccinated.
[03:49:03.000 --> 03:49:11.899]  I mean, we wouldn't imagine bringing together 20, 30 unvaccinated adults, putting them in a single room together the entire day and have them not wear masks.
[03:49:12.059 --> 03:49:14.840]  Why would we say that that's okay for our children?
[03:49:15.139 --> 03:49:24.219]  Travel and having the right to travel interstate It's not a constitutional right, as far as I know, to board a plane.
[03:49:24.600 --> 03:49:28.500]  And so saying that if you want to stay unvaccinated, that's your choice.
[03:49:28.500 --> 03:49:30.760]  But if you want to travel, you better go get that vaccine.
[03:49:30.920 --> 03:49:36.520]  I agree that masks are a very powerful layer of protection, but it's one layer.
[03:49:36.520 --> 03:49:41.780]  And if we have so many other layers that are present, masking may be one that could go away.
[03:49:41.780 --> 03:49:43.659]  But we are nowhere near that yet.
[03:49:43.659 --> 03:49:48.059]  And I think what we really need to do is get the vaccines authorized for children as soon as that's possible.
[03:49:48.630 --> 03:49:53.670]  There is no evidence whatsoever for any other vaccine causing long-term consequences.
[03:49:53.989 --> 03:50:01.129]  We really should be a lot more worried about the virus and the short-term as well as long-term consequences on our children as opposed to the vaccine.
[03:50:01.309 --> 03:50:06.750]  Make sure that you're wearing a mask even though it's outdoors if there are lots of people packed around you.
[03:50:06.909 --> 03:50:09.870]  Wearing a three-ply surgical mask, don't wear a cloth mask.
[03:50:09.989 --> 03:50:12.129]  Cloth masks are little more than facial decorations.
[03:50:12.569 --> 03:50:16.649]  There actually is a harm that we should be discussing of children continuing to mask.
[03:50:16.770 --> 03:50:22.729]  We should also be intellectually honest and say that masking has had a cost, especially for the youngest learners.
[03:50:22.909 --> 03:50:25.010]  So the risk-benefit calculation has really changed.
[03:50:25.250 --> 03:50:27.049]  I'm the mom of two little kids under five.
[03:50:27.209 --> 03:50:28.969]  I can't wait until they are vaccinated.
[03:50:29.290 --> 03:50:33.989]  But I would wait until we find that the vaccines are safe and effective.
[03:50:34.170 --> 03:50:38.569]  And I'm not sure that we can say that at the moment because we just don't have the data.
[03:50:38.850 --> 03:50:44.590]  But I also think that other parents would want to wait until we know that three doses will produce the intended effect.
[03:50:44.770 --> 03:50:56.290]  I'm not saying, I don't think anyone really is saying that no one should ever wear masks, but rather that the responsibility should shift from a government mandate imposed from the state or the local district of the school.
[03:50:56.590 --> 03:51:00.270]  Rather, it should shift to an individual responsibility by the family.
[03:51:00.579 --> 03:51:04.540]  The Oscar winners give a press conference and how to buy a sale there.
[03:51:04.639 --> 03:51:13.520]  I guess my feeling at this point in time is maybe we need to be completely a little bit more scary for the public.
[03:51:13.739 --> 03:51:18.500]  Especially with the Delta variant, which is the hardiest and most contagious variant we've seen to date.
[03:51:18.700 --> 03:51:21.000]  We need all the protection that we can get.
[03:51:21.159 --> 03:51:22.799]  That's why the vaccines are so effective.
[03:51:23.100 --> 03:51:26.319]  This is a pandemic of the unvaccinated.
[03:51:26.770 --> 03:51:30.729]  We've got to get them vaccinated and hopefully they will do it willingly.
[03:51:31.149 --> 03:51:36.750]  I think we really need to make it clear that there are privileges associated with being an American.
[03:51:37.010 --> 03:51:37.989]  We have to be more hot.
[03:51:38.090 --> 03:51:39.350]  We have to be more forest folk.
[03:51:39.590 --> 03:51:43.610]  If you do not want to get vaccinated, you can work from home.
[03:51:43.610 --> 03:51:45.590]  You can homeschool your children.
[03:51:45.590 --> 03:51:47.010]  You can shop online.
[03:51:47.270 --> 03:51:48.950]  So where is this coming from?
[03:51:49.049 --> 03:51:52.049]  People saying, I'm now being forced to be vaccinated.
[03:51:52.209 --> 03:51:54.229]  If you want to travel, you better go get that vaccine.
[03:51:54.430 --> 03:51:59.010]  You should be wearing masks even when you are vaccinated if you are indoors.
[03:51:59.409 --> 03:52:03.090]  If you wish to have these privileges, you need to get vaccinated.
[03:52:03.290 --> 03:52:04.850]  We have to say something coming out.
[03:52:05.129 --> 03:52:06.430]  You know, you don't get vaccinated.
[03:52:06.829 --> 03:52:07.690]  You know you're going to die.
[03:52:07.850 --> 03:52:11.069]  I mean, let's just be really blunt of these people.
[03:52:11.930 --> 03:52:12.649]  Get vaccinated.
[03:52:14.770 --> 03:52:14.770]  It's on here.
[03:52:26.760 --> 03:52:32.860]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[03:52:32.940 --> 03:52:34.799]  It's Alex Jones.
[03:52:36.260 --> 03:52:37.340]  It's time to take action.
[03:52:37.680 --> 03:52:43.520]  So for a lot of you out there, this is free and you can make supplemental money very easily.
[03:52:44.000 --> 03:52:46.979]  I mean, I would imagine most people can make hundreds of bucks a month with their eyes closed.
[03:52:47.200 --> 03:52:52.899]  And if you really kick ass, thousands of dollars, even if you have a tiny, you know, X account or Facebook or whatever.
[03:52:53.219 --> 03:53:01.600]  But if you're a talk show host, I mean, you can make a living and finance your show and maybe even, you know, hire reporters or whatever.
[03:53:01.739 --> 03:53:03.020]  I mean, this is exciting.
[03:53:06.350 --> 03:53:10.430]  And one other thing, there are five limited edition fundraiser posters.
[03:53:10.610 --> 03:53:12.370]  And by fundraiser, everything raises funds there.
[03:53:12.430 --> 03:53:16.069]  But the t-shirts cost like 16, 17 bucks a piece before you buy them.
[03:53:16.170 --> 03:53:18.750]  And then the sponsor gets half and we get half.
[03:53:18.870 --> 03:53:23.170]  And to run all this and build a new network as a backup, you know, we're squeaking by.
[03:53:23.389 --> 03:53:30.229]  But when something says fundraiser on it, like a t-shirt that's cost double or a poster, yeah, the poster costs five, six bucks.
[03:53:30.549 --> 03:53:33.969]  I mean, the shipping, we ship it in the special packaging costs as much as the poster itself.
