[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[03:34:13.649 --> 03:34:19.790]  British intelligence was adept at just intercepting his messages, and so the information never got back to France.
[03:34:20.010 --> 03:34:25.010]  And so France never got a foothold in the Middle East in terms of oil.
[03:34:25.229 --> 03:34:29.629]  Even though they almost were able to, and they would have been perhaps much more successful in this region.
[03:34:30.069 --> 03:34:39.569]  Germany also never had any Arab colony or any success in this region, at least in World War I. Hitler was more successful than the Kaiser was.
[03:34:39.690 --> 03:34:46.450]  But by the time of 1951, 1952, 1953, we get the coup in Iran.
[03:34:46.450 --> 03:34:53.350]  Now, I've covered this before, but this is where America really steps into the forefront as the British Empire declines.
[03:34:53.639 --> 03:35:14.079]  This is Operation Ajax, where Kermit Roosevelt, yes, the relative of FDR, steps in as the CIA operative working together with the Anglo-Iranian Oil Company, which would eventually become BP, because they were angry that the Mosaddegh had nationalized the oil and the oil fields.
[03:35:14.299 --> 03:35:31.229]  And so President Eisenhower, together with the Council on Foreign Relations and the CIA, And John Foster Dulles sends Kermit Roosevelt in to begin operations in Iran to overthrow Mosaddegh and install this character named the Shah.
[03:35:31.610 --> 03:35:38.790]  Now, what's interesting is that most people don't know that this was initially not a successful operation.
[03:35:39.030 --> 03:35:43.170]  Many of us have heard about Operation Ajax, and we know that the CIA overthrew...
[03:35:45.609 --> 03:35:53.809]  But we don't know that this was actually initially unsuccessful, and they actually asked Roosevelt to leave, but Roosevelt was hard-headed and said, no, I'm going to stay here.
[03:35:53.850 --> 03:35:55.010]  I can pull this off.
[03:35:55.329 --> 03:36:03.069]  And so he continued to agitate, continued to use agitprop, and this becomes really the model for a bloodless coup.
[03:36:03.409 --> 03:36:05.409]  In other words, it wasn't a military coup.
[03:36:05.510 --> 03:36:07.389]  This was a completely agitprop.
[03:36:09.479 --> 03:36:19.780]  Staged coup, so to speak, because thousands and thousands of people were eventually utilized by CIA-paid agitators, and eventually they overthrew Mosadek.
[03:36:20.020 --> 03:36:25.420]  Mosadek surrendered, and they didn't really even have to use any high-tier psychological operations.
[03:36:25.358 --> 03:36:29.697]  that was really just a bunch of low-tier PSYOPs that were able to do this very easily.
[03:36:29.697 --> 03:36:36.158]  And it ended up not even costing that much money, something around $50,000, I think, to various people.
[03:36:36.158 --> 03:36:45.638]  But they were able to hype up the threat of the two-day party in Iran, the Communist Party in Iran, being allied with the Soviets, and then the Soviets were going to take over Iran.
[03:36:45.638 --> 03:36:51.358]  And that's exaggerated, but what's interesting is that it wasn't about the Cold War.
[03:36:51.360 --> 03:36:52.239]  It wasn't about the Soviets.
[03:36:52.239 --> 03:36:57.340]  It was all about the oil and who would run and control the oil fields.
[03:36:57.890 --> 03:37:01.110]  And would it be BP in the Anglo-Iranian Oil Company?
[03:37:01.329 --> 03:37:14.450]  And when Kermit Roosevelt was successful, they essentially, the West, made Iran pay $70 million for compensation of back pay for when they nationalized the oil fields.
[03:37:14.569 --> 03:37:15.989]  And so that's what this was all about.
[03:37:16.430 --> 03:37:23.649]  And then Mounier has a great point as he moves through this book to talk about how this was the older model, you know, during the Cold War.
[03:37:24.239 --> 03:37:27.860]  Was falling upon the models of British intelligence operations in the Middle East.
[03:37:28.020 --> 03:37:34.440]  And you can see that this is the pattern not just for the Middle East, but anywhere there's a coup or a color revolution, it's the exact same pattern.
[03:37:34.600 --> 03:37:45.979]  It's bloodless, you know, gene-sharp, you know, democracy, Einstein Institute, non-democratic, or democratic revolutions through non-violent means.
[03:37:46.420 --> 03:37:51.799]  Just that's cover, that's code for CIA color revolution, for coups.
[03:37:53.569 --> 03:37:55.870]  And Operation Ajax was a key version of that.
[03:37:55.950 --> 03:38:03.569]  But one thing that's different from this time period to now is that, especially after Reagan in the 1980s, a lot of this intelligence became privatized.
[03:38:03.729 --> 03:38:12.290]  And so nowadays, what back then would have happened under the CIA now happens under the cover of Halliburton or Bechtel.
[03:38:12.489 --> 03:38:19.569]  You get these operatives and agents who go into other countries, or they're under the cover of NGOs like Soros' Open Society Institute.
[03:38:20.730 --> 03:38:32.569]  Meunier's key example is George Soros as a classic version of the United States soft power or a soft coup global imperium of neoliberalism.
[03:38:32.790 --> 03:38:35.149]  There's no better example than George Soros.
[03:38:35.750 --> 03:38:43.649]  And the motivations are nothing to do with patriotism or America or America's sovereignty or anything like that.
[03:38:43.809 --> 03:38:44.750]  It's all about...
[03:38:45.519 --> 03:38:50.059]  The corporate control and the markets that they want access to in these regions and the resources.
[03:38:50.319 --> 03:38:51.219]  It's that simple.
[03:38:51.559 --> 03:38:57.440]  And so oil was the black gold that spawned much of the last century's conflicts.
[03:38:57.600 --> 03:39:04.899]  It was probably the key element in terms of resources behind World War I, the Great Game, World War I, World War II, and the Cold War.
[03:39:05.639 --> 03:39:12.840]  Even up into the Gulf War, the overthrow of Sanam, Meunier points out that it was all the same motivations, right?
[03:39:12.940 --> 03:39:14.700]  Now, I'm not saying that it's only about oil.
[03:39:15.120 --> 03:39:16.899]  Obviously, there are other interests as well.
[03:39:17.559 --> 03:39:20.520]  Middle Eastern nations who want to expand, shall we say.
[03:39:20.760 --> 03:39:22.600]  That's also part of all this as well.
[03:39:23.840 --> 03:39:37.420]  But Meunier ends the book by pointing out that the real danger is that more and more and more and more intelligence and these operations and war, the war on terror, etc., it's all moving towards privatization and profit.
[03:39:38.139 --> 03:39:41.659]  And that, I think, is a good point.
[03:39:42.090 --> 03:39:54.329]  In terms of critiquing the sort of idealistic libertarian ethos that many people have that, well, if we just have free markets running everything, and if we just have the free market, then all these things will be solved.
[03:39:55.069 --> 03:40:03.170]  I mean, I believe in freedom of exchange and free markets to a degree, but you begin to see that, well, this is all really free market going on.
[03:40:03.319 --> 03:40:09.059]  I mean, in other words, going into other nations and tricking them and setting up puppet regimes.
[03:40:09.260 --> 03:40:12.739]  I mean, this is the real free market at work in the real world.
[03:40:12.920 --> 03:40:17.079]  The real world doesn't operate on the non-aggression principle like libertarians think.
[03:40:17.299 --> 03:40:29.700]  And you're not going to convince a bunch of people who have no interest in democracy in Arab countries or in the Middle East in adopting the non-aggression principle from some 1600s era.
[03:40:30.620 --> 03:40:34.040]  You know, atomized individualistic libertarian thinker.
[03:40:34.139 --> 03:40:35.120]  They don't care about that.
[03:40:35.219 --> 03:40:36.100]  They don't think that way.
[03:40:36.239 --> 03:40:41.219]  So it's really foolish to think that you're going to get everybody to accept some form of neoliberal democracy.
[03:40:41.219 --> 03:40:46.600]  And that's why it's usually enforced through bombs and war and so forth.
[03:40:46.819 --> 03:40:53.260]  And you get the installment of essentially military industrial complex operations all throughout.
[03:40:53.440 --> 03:40:55.020]  And he says that, you know, today...
[03:40:55.040 --> 03:41:03.639]  It's not so much the nation states, but it's Lockheed, Raytheon, etc., that are really the impetus behind the wars that go on.
[03:41:04.120 --> 03:41:16.479]  He also points out the failure of intelligence in many cases, point that it actually leads to the enriching of the intelligence agencies, as well as now the privatized intelligence agencies that occur.
[03:41:16.799 --> 03:41:29.920]  In fact, if we go back to Abu Ghraib and those scandals that occurred back in 2003 and 2004, Those were actually done by privatized services, basically doing MKUltra now.
[03:41:30.139 --> 03:41:32.159]  Used to be government, now it's just privatized.
[03:41:32.280 --> 03:41:38.120]  And so, you know, open society, these kinds of things are really the essence of where we are now in this great game.
[03:41:38.500 --> 03:41:40.579]  And I thought it was a really good book.
[03:41:40.680 --> 03:41:50.100]  It's a little technical and difficult to read because it's translated from French and it's full of dates and information, but I do recommend Black Gold Spies by Dallas Meunier.
[03:41:53.300 --> 03:41:55.200]  Tampa Bay Screams this weekend.
[03:41:55.200 --> 03:41:57.940]  It's your last chance to get tickets if you go over to my Twitter.
[03:41:58.239 --> 03:41:59.079]  Follow me on Twitter.
[03:41:59.159 --> 03:41:59.760]  You get tickets there.
[03:41:59.860 --> 03:42:03.620]  I'll be giving an hour lecture and signing books on esoteric Hollywood.
[03:42:04.100 --> 03:42:05.219]  It's going to be a lot of fun.
[03:42:05.340 --> 03:42:07.719]  We'll be at the convention there as well all day long.
