[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[02:33:48.502 --> 02:33:52.243]  It's just every cell in my body saying, you better up your game, son.
[02:33:53.183 --> 02:33:56.204]  And it's not a feeling of feeling like a piece of crap.
[02:33:56.764 --> 02:33:58.124]  It's a feeling I've never had.
[02:34:00.625 --> 02:34:01.465]  And I know what it is.
[02:34:01.665 --> 02:34:02.766]  It's a metamorphosis.
[02:34:03.766 --> 02:34:07.487]  So I just have to somehow just give it to God.
[02:34:07.507 --> 02:34:10.287]  And I keep saying this on air because I know you're going through this as well, listeners.
[02:34:12.188 --> 02:34:16.489]  And we just have to deal with this together because this is not supposed to be comfortable.
[02:34:19.423 --> 02:34:23.527]  And pain is weakness leaving the body, and so many philosophers have said it, and it's true.
[02:34:24.127 --> 02:34:29.793]  Not having suffering, legitimate suffering for good, is the essence of corruption and evil.
[02:34:30.273 --> 02:34:39.842]  And these people that are all of themselves selfish and care about no one, they're into power and into trampling other people, they're not the example of what we should be.
[02:34:41.872 --> 02:34:45.015]  So I get ashamed of myself, getting angry and being a jerk.
[02:34:45.795 --> 02:34:46.896]  He will cruise fine with it.
[02:34:47.316 --> 02:34:47.957]  I don't like that.
[02:34:48.177 --> 02:34:51.860]  I want everything I do to be ammo downrange the enemy.
[02:34:52.561 --> 02:35:02.068]  But I'm like a race car driver getting in there, 1200 horsepower vehicle, and pressing the accelerator down too hard, and you blow the engine.
[02:35:02.589 --> 02:35:10.275]  I haven't done that yet, but I've thrown some rods, I've busted some pistons, and I try to turn it over to God, but I need listeners to pray for me.
[02:35:11.894 --> 02:35:13.756]  I'm under enemy spiritual attack and a lot more.
[02:35:13.776 --> 02:35:14.357]  You all are.
[02:35:14.377 --> 02:35:16.239]  We all are together, but I'm a focal point.
[02:35:17.020 --> 02:35:29.834]  And I just need to pray for calmness and providence and discernment and that quiet place, the Most High that King David talked about, because I can get in that place sometimes now, but not like I used to.
[02:35:31.252 --> 02:35:34.715]  And it is because my discernment is way off the charts.
[02:35:34.755 --> 02:35:39.820]  I mean, I see way further than I used to, but at the same time, then it's like, I don't want to see.
[02:35:40.380 --> 02:35:41.842]  Like, used to, I wanted to see stuff.
[02:35:41.922 --> 02:35:43.703]  I wanted to know stuff 30, 40 years ago.
[02:35:43.763 --> 02:35:48.448]  I wanted to, you know, I had sight, but not that, now it's like, oh, I don't want to see this anymore.
[02:35:48.768 --> 02:35:49.729]  And I get that.
[02:35:52.162 --> 02:35:58.367]  Think about Christ having to see a trillion times a trillion more than we see, and having to take it all on for our sins.
[02:35:58.447 --> 02:35:59.207]  That's what this is.
[02:35:59.527 --> 02:36:02.029]  To beat evil, you have to face evil.
[02:36:02.289 --> 02:36:05.011]  Well, are we really ready to stare it in the eye?
[02:36:06.012 --> 02:36:07.693]  Are we man enough and woman enough?
[02:36:07.794 --> 02:36:08.934]  And maybe I'm not.
[02:36:09.855 --> 02:36:17.841]  I've talked a big game for 26 years on air, and now that world government's here, I'm starting to crack up.
[02:36:19.315 --> 02:36:20.735]  And not because I can't face the evil.
[02:36:21.095 --> 02:36:23.896]  I can't believe we're not fighting in order.
[02:36:24.696 --> 02:36:37.199]  I just cannot believe we're letting these satanic, weird pot-bellied dudes in pink shirts going, who talks about how he's going to murder everybody, and now he's in charge of stuff.
[02:36:38.360 --> 02:36:43.981]  And then it's the sickeningness of he's coming in less than a year with forced inoculations.
[02:36:46.556 --> 02:36:49.257]  And he's assaulting me and he's assaulting you.
[02:36:49.637 --> 02:36:50.918]  And he thinks it's funny.
[02:36:51.598 --> 02:36:53.979]  And all these people bow down and serve him.
[02:36:56.000 --> 02:36:59.982]  And so the metamorphosis is, we're going into war.
[02:37:01.402 --> 02:37:03.983]  And everything before it was just preparation.
[02:37:05.284 --> 02:37:08.605]  And so you're supposed to get sick before a battle and throw up.
[02:37:09.085 --> 02:37:10.166]  Not because you're scared.
[02:37:11.581 --> 02:37:22.589]  But because you get all the crap out of your guts, all the piss out of your kidneys, and all the food out of your stomach, because all the blood's going to your brain and your limbs for savage destruction.
[02:37:23.610 --> 02:37:24.571]  And they want death?
[02:37:24.951 --> 02:37:27.953]  They're gonna get all the death they could ever imagine.
[02:37:29.774 --> 02:37:30.315]  Politically.
[02:37:31.417 --> 02:37:32.077]  And I mean that.
[02:37:32.398 --> 02:37:34.879]  I'm not planning any violence and I'm not going to carry out violence.
[02:37:34.939 --> 02:37:37.020]  But these people are assaulting us.
[02:37:37.581 --> 02:37:41.563]  And so we better decide which side of history we're on and what we're going to put up with.
[02:37:42.964 --> 02:37:49.708]  And that when he says 700,000 people are going to get sick and die from his vaccine, he's announcing he's coming to kill you.
[02:37:49.968 --> 02:37:51.449]  And of course, it's 100 times that.
[02:37:56.892 --> 02:37:59.654]  It's a declaration of war against you and your family.
[02:38:00.549 --> 02:38:02.850]  A declaration of war against our very genome.
[02:38:03.350 --> 02:38:05.551]  Joe in New York, you're on the air, thanks for holding.
[02:38:08.592 --> 02:38:11.434]  Hello, Alex, I'll get right to the point.
[02:38:12.054 --> 02:38:24.359]  I had a statement, as your forecast has changed, and people taking certain aspects of it away, I have a... To be fair, I think your phone's laying down by your head, shift a little bit.
[02:38:25.419 --> 02:38:25.579]  Okay.
[02:38:27.765 --> 02:38:32.286]  Your broadcast has taken a change as I'm listening to it.
[02:38:32.486 --> 02:38:56.170]  I have a friend in North Dakota who did a documentary on the Bakken oil field, and he called me last night and he asked my opinion on the negative $37 a barrel of the oil, and it just makes me want to believe that Trump is doing the right thing, but he does not stem
[02:39:03.505 --> 02:39:13.509]  Brother, Trump got in and the globalists took over the economy because we didn't submit.
[02:39:14.270 --> 02:39:16.151]  It's not Trump launched the fake virus.
[02:39:16.191 --> 02:39:18.151]  It's not Trump shut down the economy.
[02:39:18.191 --> 02:39:19.252]  He's been trying to reopen it.
[02:39:19.792 --> 02:39:26.775]  But the American people on average like staying home and watching Netflix, even though they're going to end up homeless.
[02:39:27.691 --> 02:39:29.332]  They don't think even a month out.
[02:39:30.653 --> 02:39:33.214]  You know, there's a lot to... I'm a third-time caller.
[02:39:33.274 --> 02:39:37.096]  The second time I called you, first time was about forced flu shots.
[02:39:37.176 --> 02:39:39.558]  My wife is an oncology nurse in New York.
[02:39:40.018 --> 02:39:56.547]  Second time I called you was about the, um... You know, the, uh... The problem as far as the, uh... Uh... The, uh... The, uh... The problem is as far as the, uh...
[02:40:05.020 --> 02:40:05.340]  All right.
[02:40:05.621 --> 02:40:06.442]  Well, I hear you, Joe.
[02:40:06.482 --> 02:40:07.703]  Just take extra vaccines.
[02:40:07.743 --> 02:40:08.303]  It'll be all right.
[02:40:09.545 --> 02:40:10.346]  Look, I love you, brother.
[02:40:11.327 --> 02:40:13.349]  We all get a frog in our throat sometimes.
[02:40:14.530 --> 02:40:15.171]  Me permanently.
[02:40:15.191 --> 02:40:22.258]  But I'm going to come back and talk to Sonny, Ken, EJ, and Craig to close out the hour, and then the war room's coming up.
[02:40:27.867 --> 02:40:30.868]  Nobody came to save those 62 million babies in America.
[02:40:32.048 --> 02:40:39.290]  And all these people being compliant while the economy's shut down think they're dutifully protecting themselves.
[02:40:39.990 --> 02:40:42.651]  Well, the final countdown is getting very clear.
[02:40:42.711 --> 02:40:45.231]  Let's pull up the headline for TV viewers.
[02:40:46.312 --> 02:40:46.472]  L.A.
[02:40:46.532 --> 02:40:48.912]  County has 400,000 cases.
[02:40:50.533 --> 02:40:53.373]  And if you do the deaths, it is a .11
[02:40:56.118 --> 02:40:59.082]  Not even 1% death rate, ladies and gentlemen.
[02:41:06.380 --> 02:41:08.942]  So 617 deaths out of 400,000.
[02:41:10.103 --> 02:41:17.689]  They're counting every car wreck, every stabbing, every heart attack, every cancer patient, every old person that dies.
[02:41:18.530 --> 02:41:24.915]  And the testing is anybody that's got a flu virus, had the flu vaccine, shows whatever genetic material they're saying.
[02:41:24.975 --> 02:41:33.662]  It's a giant hoax of biblical proportions with the deep state now getting $17 trillion off the scam.
[02:41:33.682 --> 02:41:35.323]  There's the Santa Monica mirror.
[02:41:37.878 --> 02:41:38.378]  For you.
[02:41:41.540 --> 02:41:47.003]  But the hysteria and the societal breakdown and the lockdown is what's really important.
[02:41:47.023 --> 02:41:55.968]  I've had some really important people since the show started call me and text me asking what this means.
[02:41:57.749 --> 02:41:59.190]  And we've confirmed it's real video.
[02:42:00.030 --> 02:42:01.811]  I'm going to play it right now and then go to these calls.
[02:42:03.532 --> 02:42:04.533]  But what does it mean?
[02:42:05.444 --> 02:42:07.965]  Hot mic moment at Coronavirus Task Force.
[02:42:09.126 --> 02:42:14.088]  We're talking to Fox News' host, John Roberts, right before Trump comes out.
[02:42:14.628 --> 02:42:17.049]  He's talking to the rest of the media and they go, yeah, it's 0.1.
[02:42:18.430 --> 02:42:19.150]  It's a hoax.
[02:42:20.611 --> 02:42:23.112]  Don't worry, we've all been vaccinated already.
[02:42:24.313 --> 02:42:25.433]  What the hell does that mean?
[02:42:27.454 --> 02:42:29.475]  This is not going to go the way the globalists thought.
[02:42:30.215 --> 02:42:30.916]  Let's go to the clip.
[02:42:30.956 --> 02:42:31.296]  Here it is.
[02:42:32.461 --> 02:42:33.362]  All right, man.
[02:42:33.682 --> 02:42:34.242]  What do you got, bud?
[02:42:34.262 --> 02:42:35.683]  You can take off the mask, Doug.
[02:42:35.723 --> 02:42:42.148]  The case fatality rate's like 0.1 to 0.3, according to... Is it really?
[02:42:42.308 --> 02:42:43.729]  That's reassuring.
[02:42:43.829 --> 02:42:45.891]  Everybody here's been vaccinated anyway.
[02:42:45.971 --> 02:42:46.692]  USC and L.A.
[02:42:46.712 --> 02:42:50.014]  County Public Health came out with a study.
[02:42:50.454 --> 02:42:59.661]  They found that there are 7,000 cases in California, but they really believe that there are anywhere from 221,000 to 442,000 people who were infected.
[02:43:00.262 --> 02:43:00.582]  Really?
[02:43:01.924 --> 02:43:02.585]  So that makes it 0.1, 2, 0.3.
[02:43:03.185 --> 02:43:06.949]  There's a study to come out, by the way.
[02:43:06.969 --> 02:43:08.791]  Yeah, just deal with it.
[02:43:09.011 --> 02:43:12.394]  So it suggests that the patient's allergy risk is 10.
[02:43:12.454 --> 02:43:12.754]  Wow.
[02:43:12.794 --> 02:43:15.817]  What's your right line with the fruit?
[02:43:15.837 --> 02:43:17.118]  Yeah, exactly that.
[02:43:17.138 --> 02:43:18.179]  So it was a hoax.
[02:43:18.339 --> 02:43:23.544]  I don't know if it was a hoax.
[02:43:31.364 --> 02:43:32.345]  All right, folks.
[02:43:33.845 --> 02:43:34.626]  It's a hoax.
[02:43:35.266 --> 02:43:36.467]  Yeah, you got that right.
[02:43:36.527 --> 02:43:37.147]  It's a hoax.
[02:43:40.629 --> 02:43:44.751]  I mean, this is what we like.
[02:43:44.791 --> 02:43:45.652]  We like to be hoaxed.
[02:43:45.692 --> 02:43:46.772]  But let me tell you what isn't a hoax.
[02:43:48.293 --> 02:43:49.734]  30 million facing starvation.
[02:43:51.499 --> 02:43:53.180]  In the third world, thanks to this right now.
[02:43:53.480 --> 02:43:54.420]  And they're gonna die.
[02:43:54.460 --> 02:43:55.700]  Those little kids are gonna die.
[02:43:56.080 --> 02:44:00.102]  And the average trendy doesn't care, because they like to wear a mask and feel trendy.
[02:44:00.142 --> 02:44:02.442]  And like, oh, I'm so brave.
[02:44:02.502 --> 02:44:03.783]  I'm in a war zone.
[02:44:03.843 --> 02:44:04.743]  It's a war.
[02:44:04.823 --> 02:44:10.205]  And the average medical worker who has no regular patients, the hospitals are empty.
[02:44:10.785 --> 02:44:12.946]  I talk to people I know that are nurses and doctors.
[02:44:12.966 --> 02:44:16.687]  They're having sex and watching Pornhub and Netflix.
[02:44:17.447 --> 02:44:18.087]  They're drinking.
[02:44:18.347 --> 02:44:19.328]  They're taking pills.
