[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[02:45:14.116 --> 02:45:25.435]  A conservative magazine, okay, that was founded by the late Dr. Billy Graham, end up being a left-wing propagandist organization.
[02:45:26.184 --> 02:45:47.607]  Because over 65% of cemeteries, I'm sorry, seminaries here in the United States are left wing seminaries that have become cemeteries because they're offering classes like the Fullerton Theological Seminary in California, offering classes
[02:45:48.625 --> 02:45:50.085]  On Black Lives Matter.
[02:45:50.306 --> 02:45:51.606]  Wait a minute now, I'm confused.
[02:45:52.006 --> 02:46:07.970]  How is it that a Bible college, university, seminary, that is no more than a cemetery, be offering classes on Christian homosexuality, Christian lesbianism, okay?
[02:46:08.670 --> 02:46:10.991]  Christian courses.
[02:46:11.977 --> 02:46:19.280]  That are supporting the Marxist, Socialist, and Communistic agenda of Black Lives Matter.
[02:46:20.201 --> 02:46:22.241]  I blame the pastors.
[02:46:22.602 --> 02:46:28.164]  Now the question is, why are these pastors supporting Joe Biden?
[02:46:29.326 --> 02:46:36.070]  Because they're all saying, including these pastors, excellent link there, that's an abomination.
[02:46:36.270 --> 02:46:38.371]  Allow me to say this before I get to the pastors.
[02:46:38.831 --> 02:46:47.976]  You got pastors here, just like this pastor, wearing rainbow sashes, who are allowing drag queen hours in their church.
[02:46:48.356 --> 02:46:50.057]  This is madness.
[02:46:50.397 --> 02:46:51.177]  Am I upset?
[02:46:51.417 --> 02:46:52.338]  You better believe it.
[02:46:52.738 --> 02:46:54.239]  It's a righteous indignation.
[02:46:54.539 --> 02:46:58.361]  What you just saw there, Patriots, is abomination.
[02:46:59.355 --> 02:47:05.817]  So this vote last night, this election, was not just Trump versus Biden.
[02:47:06.477 --> 02:47:07.337]  It's deeper than that.
[02:47:08.097 --> 02:47:18.180]  Last night's election was God versus Satan, who is Lucifer-L-Satan-S-Double-D-Visual-LSD.
[02:47:18.840 --> 02:47:24.181]  Last night's election was good versus evil, light versus darkness.
[02:47:24.941 --> 02:47:26.962]  So we're living in the generation
[02:47:27.702 --> 02:47:43.208]  That is the direct fulfillment, excellent length there, of 1 Kings chapter 18, when the prophet Elijah the Tishbite was in a battle against the deep state called the 450 prophets of Baal.
[02:47:44.228 --> 02:47:51.191]  The 450 prophets of Baal today are Reverend Bonneman A. and B. Deficient Sharpton,
[02:47:51.986 --> 02:47:57.411]  Jesse Jackson, who had Dr. Martin Luther King assassinated, another topic for another day.
[02:47:57.851 --> 02:48:01.535]  Louis Bean Pie Fruit Bag Farrakhan, OK?
[02:48:01.975 --> 02:48:11.964]  And all of these devils on the left with Benjamin Crump, all of these devils are the new slave masters of black America.
[02:48:12.965 --> 02:48:18.330]  It is Benjamin Crump who is a part of Sigma Pi Phi.
[02:48:19.520 --> 02:48:22.822]  Which is the Boulay-Sickin' Society, the Black Skulls and Bones.
[02:48:23.683 --> 02:48:28.786]  Reverend R. Vitamin B and D deficient Sharpton doesn't care about Black people.
[02:48:29.486 --> 02:48:29.767]  Okay?
[02:48:30.027 --> 02:48:33.509]  Reverend Jesse Jackson doesn't care about Black people.
[02:48:34.470 --> 02:48:39.113]  Louis Bean Pie Fruit Bag Farrakhan doesn't care about Black people.
[02:48:40.233 --> 02:48:44.356]  None of these Black leaders love Black folk.
[02:48:45.416 --> 02:48:55.403]  They are ordained and set up, not by God, but by the forces of darkness that are controlling them.
[02:48:56.104 --> 02:48:59.706]  Namely, the global Balfour, Luciferian deep state system.
[02:49:00.107 --> 02:49:04.169]  People like Bill Gates, people like George Soros.
[02:49:05.270 --> 02:49:13.256]  These leaders that you're seeing there, along with Bill Clinton, are puppets of the Rothschild dynasty.
[02:49:14.229 --> 02:49:27.043]  Through George Soros and their job as we are exposing this darkness of this invisible enemy, Joe Biden is going to send your jobs overseas.
[02:49:27.764 --> 02:49:28.104]  Okay?
[02:49:28.665 --> 02:49:33.310]  Joe Biden wants to keep America on the plantation.
[02:49:34.093 --> 02:49:50.465]  By manipulating both the pain of Black America and the historical trauma of Black America in order to keep you in check in this global political crack barrel system.
[02:49:51.266 --> 02:49:53.748]  Black people don't own the barrel.
[02:49:54.388 --> 02:49:57.230]  They're only the guardians of the barrel.
[02:49:57.991 --> 02:49:59.732]  Who are the guardians of the barrel?
[02:50:00.453 --> 02:50:04.497]  Jesse Jackson, Louis Farrakhan, OK, Benjamin Crump.
[02:50:04.917 --> 02:50:21.151]  Anytime there is a black child that gets killed by a white cop, and we don't even know the real reasons, here comes Benjamin Trump, Benjamin Crump, OK, singing rah, rah, rah, and collecting his million dollar check and going back to his million dollar home.
[02:50:21.831 --> 02:50:24.854]  This is what we call, ladies and gentlemen,
[02:50:25.581 --> 02:50:28.282]  Exposing the War Against the Invisible Enemy.
[02:50:28.522 --> 02:50:34.963]  Thank you so much for joining the Bishop this afternoon, and God willing, I'll be back with you guys during the 7 p.m.
[02:50:34.983 --> 02:50:35.403]  hour.
[02:50:35.423 --> 02:50:41.925]  This is Bishop Larry Gators, host and moderator of Global Spiritual Revolution Radio here in New York City.
[02:50:42.345 --> 02:50:51.467]  This is, again, the fourth hour of the Alex Jones Show, InfoWars, where there is a war going on for your mind.
[02:50:51.487 --> 02:50:52.587]  Have a blessed day.
[02:51:03.976 --> 02:51:07.879]  Two Info Wars best-selling products are now back in stock for being sold out for months.
[02:51:08.439 --> 02:51:14.423]  Bio-True Selenium from the mustard seed, essential in all electrochemical activity in the cells in the body.
[02:51:14.603 --> 02:51:15.844]  That's every human activity.
[02:51:16.464 --> 02:51:20.527]  And on top of it, Body's Ultimate Turmeric Formula with 95% Cucuminoid.
[02:51:22.028 --> 02:51:22.588]  We're good to
[02:51:42.901 --> 02:51:43.261]  That's right.
[02:52:13.910 --> 02:52:15.271]  James in FEMA Region 1.
[02:52:15.552 --> 02:52:16.072]  You're on the air.
[02:52:16.092 --> 02:52:16.392]  Go ahead.
[02:52:16.512 --> 02:52:17.653]  Hey, God bless you, brother.
[02:52:17.673 --> 02:52:18.153]  How you doing?
[02:52:18.213 --> 02:52:20.855]  Man, you can cut the suspense with a knife, brother.
[02:52:21.036 --> 02:52:21.816]  Right on, man.
[02:52:21.856 --> 02:52:23.357]  Hey, first of all, product plug.
[02:52:23.417 --> 02:52:26.179]  Vitamin Mineral Fusion basically turned my life around, man.
[02:52:26.219 --> 02:52:27.600]  I've never felt better in my life.
[02:52:28.021 --> 02:52:28.201]  I'm 50.
[02:52:28.281 --> 02:52:28.561]  I feel 30.
[02:52:29.041 --> 02:52:29.762]  So kudos to you.
[02:52:29.802 --> 02:52:31.323]  I hope you keep cranking that product out.
[02:52:31.363 --> 02:52:33.745]  Tell us what Vitamin Mineral Fusion did for you, James.
[02:52:33.885 --> 02:52:35.546]  Well, you know, like I said, I'm 50 years old.
[02:52:35.626 --> 02:52:37.246]  I'm a single dad of two teen boys.
[02:52:37.347 --> 02:52:38.727]  And just life just drags you down.
[02:52:38.867 --> 02:52:39.467]  No energy.
[02:52:39.487 --> 02:52:41.308]  You know, just feeling lethargic all the time.
[02:52:41.368 --> 02:52:44.830]  And I tried over-the-counter or, you know, CVS type of vitamins.
[02:52:44.990 --> 02:52:46.090]  I didn't do anything.
[02:52:46.611 --> 02:52:49.752]  I, you know, started watching your show and decided I'd try it out.
[02:52:49.992 --> 02:52:52.933]  And man, I tell you what, I just feel so invigorated.
[02:52:52.953 --> 02:52:54.194]  You know, just lots of energy.
[02:52:54.254 --> 02:52:55.154]  I'm sleeping well.
[02:52:55.434 --> 02:52:56.695]  I don't get sick ever.
[02:52:56.755 --> 02:52:58.276]  Just an amazing, amazing product.
[02:52:58.336 --> 02:52:58.976]  I truly love it.
[02:52:59.036 --> 02:53:10.706]  Well, just so you know, we go to top nutritionists, top doctors, top scientists, top firms that are the best known, and we say, what is the best vitamin, mineral, amino acid thing for us to take and for us to sell to our audience?
[02:53:10.786 --> 02:53:12.848]  And it has a big cost in product for us.
[02:53:12.888 --> 02:53:15.170]  So again, the synthetic vitamins, the other stuff, they do nothing.
[02:53:15.190 --> 02:53:16.071]  That's what gives them a bad name.
[02:53:16.191 --> 02:53:17.652]  Good ones do incredible things.
[02:53:17.732 --> 02:53:20.074]  It's got the zinc, the vitamin D3, it's got everything in it.
[02:53:20.194 --> 02:53:21.515]  Infowarsstore.com.
[02:53:21.575 --> 02:53:22.736]  Vitamin Mineral Fusion.
[02:53:22.896 --> 02:53:23.377]  We'll be right back.
[02:53:33.442 --> 02:53:38.669]  DNA Force Plus, if you did one thing for your immune system, it would be get all the essential things.
[02:53:38.890 --> 02:53:40.712]  And that's the clean iodine, X2 or X3.
[02:53:40.752 --> 02:53:42.735]  That's the biotrichoselenium.
[02:53:42.855 --> 02:53:44.317]  That is the vitamin D3.
[02:53:44.377 --> 02:53:46.200]  That is the C. That is the zinc.
[02:53:46.240 --> 02:53:47.882]  There's 13 vitamins and minerals that are essential.
[02:53:47.902 --> 02:53:48.423]  Without them, you die.
[02:53:48.483 --> 02:53:49.925]  And studies show you really need the other ones, too.
[02:53:50.225 --> 02:53:51.426]  But DNA Force goes beyond that.
[02:53:51.526 --> 02:54:02.893]  It helps get all that in the cells and out the cells with PQQ and CoQ10, the highest quality sources, with other ingredients that clean out the cells, that unclog them so all that stuff can get in.
[02:54:03.094 --> 02:54:04.094]  Viruses don't get in.
[02:54:04.154 --> 02:54:05.095]  The good stuff gets in.
[02:54:05.175 --> 02:54:09.258]  As the NIH website says, if you have all the proper things, they can't replicate like they could.
[02:54:09.298 --> 02:54:11.879]  But I do this because it's essential, like oxygen, like water.
[02:54:20.145 --> 02:54:20.966]  That's going to have to end in a week.
[02:54:20.986 --> 02:54:21.987]  We've got a limited supply.
[02:54:22.027 --> 02:54:23.729]  It was very hard to get the PQQ this time.
[02:54:23.829 --> 02:54:25.311]  A lot of our stuff is can't get anymore.
[02:54:25.331 --> 02:54:27.374]  A lot of our products because the supply chain is broken down.
[02:54:27.394 --> 02:54:28.335]  That's part of the Global's plan.
[02:54:28.455 --> 02:54:30.197]  InfowarStore.com or 888-253-3139.
[02:54:30.217 --> 02:54:31.499]  I want to thank you all for tuning in.
[02:54:36.428 --> 02:54:39.251]  Decoding the mainstream propaganda.
[02:54:39.931 --> 02:54:41.753]  It's the David Knight Show.
[02:54:42.474 --> 02:54:47.019]  If you want to keep us on air, the products that we sell at Infowarsstore.com, we've got some great specials right now.
[02:54:47.059 --> 02:54:53.225]  We have Black Friday in October, up to 60% off, and triple Patriot points and free shipping on many of our most popular products.
[02:54:53.265 --> 02:54:57.849]  We have Ultra 12, our Vitamin B12 formula, 50% off, free shipping, triple Patriot points.
[02:54:57.969 --> 02:55:00.552]  Also, we have Vitamin Mineral Fusion Drink Mix.
[02:55:00.872 --> 02:55:04.294]  Vitamin Mineral Fusion Drink Mix helps you to get your baseline vitamins and minerals.
[02:55:04.314 --> 02:55:06.756]  You don't have to take a lot of pills, but it covers everything right there.
[02:55:06.816 --> 02:55:08.057]  You can make it taste any way you want.
[02:55:08.077 --> 02:55:08.837]  Very easy to take.
[02:55:08.938 --> 02:55:11.239]  Brain Force Plus Ultimate Krill Oil.
[02:55:11.319 --> 02:55:13.921]  We also have Knockout, our all-natural sleep aid.
[02:55:14.301 --> 02:55:16.302]  50% off, free shipping, triple pay trip points.
[02:55:16.462 --> 02:55:17.823]  Infowarsstore.com.
[02:55:17.863 --> 02:55:20.825]  By the way, I'm looking at this privacy pocket that we have.
[02:55:20.865 --> 02:55:21.706]  We sold out of these.
[02:55:21.746 --> 02:55:23.027]  We've now got them back in stock.
[02:55:24.127 --> 02:55:31.753]  This is a great way to shield your phone and make sure that you're not being tracked because this is what's coming next.
[02:55:31.973 --> 02:55:32.894]  You're gonna need this.
[02:55:33.194 --> 02:55:35.176]  This is one of these things like a storable food.
[02:55:35.456 --> 02:55:38.279]  Stock up while you can still get these things and they're now back in stock.
[02:55:38.359 --> 02:55:39.960]  We got them in and they were gone.
[02:55:40.140 --> 02:55:43.643]  Haven't talked about that for a while but folks that is one of your preparedness products right there.
[02:55:43.643 --> 02:55:52.507]  You want to make sure you've got food, you've got water and so forth, but you also want to make sure that if you're going to have to go out, travel, and go to work and so forth, you want to make sure that you're not being tracked.
[02:55:52.547 --> 02:55:54.188]  They're doing that in a variety of ways.
[02:55:54.448 --> 02:55:56.188]  So that's why you want to have this privacy pocket.
