[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[03:17:53.831 --> 03:18:02.483]  And then they said, we're going to call it liberal, and we're going to come in and take over the communities and pay off their preachers, and we're going to set up these health boards and these health departments.
[03:18:03.226 --> 03:18:04.607]  Claiming it's for hygiene.
[03:18:04.607 --> 03:18:06.629]  They call it racial hygiene.
[03:18:06.629 --> 03:18:18.778]  And so they would just run around and they would grab the kids and take them and sterilize them or they would give them shots to sterilize them and then they came out with the vaccines as well and from day one we're always putting stuff in them.
[03:18:19.338 --> 03:18:23.963]  Hell, I got socked and others on video admitting they added cancer virus to all the polio shots.
[03:18:23.963 --> 03:18:30.429]  So, so, my grandmother got polio one week after she was given the polio vaccine, and it was the strain she was given.
[03:18:30.429 --> 03:18:32.331]  I mean, this is all hidden in plain view.
[03:18:32.331 --> 03:18:34.112]  This isn't our first rodeo, folks.
[03:18:34.112 --> 03:18:40.759]  But now, they're not just gonna have a few million people with polio, they're gonna brain damage a third of our kids every year or more.
[03:18:40.759 --> 03:18:43.081]  And again, just like the 2-2-3 round.
[03:18:43.081 --> 03:18:43.702]  I'm gonna skip this break.
[03:18:45.023 --> 03:18:48.360]  It's not meant to kill like a full metal jacket 308.
[03:18:50.538 --> 03:18:54.919]  It's meant to maim and put pressure on the society to collapse it.
[03:18:54.919 --> 03:19:16.266]  So they're putting pressure on childbearing, where childbearing in the actuaries becomes too expensive in the overall average, so you've got to get state help on average to raise children, which brings in more vaccines, more government diet, more school lunch, so they've got you in a government soft-kill cancer incubator that's compartmentalized, they control.
[03:19:16.266 --> 03:19:17.786]  Silent weapons for quiet wars.
[03:19:17.786 --> 03:19:20.147]  I'm giving you Pentagon document names right now, ladies and gentlemen.
[03:19:20.427 --> 03:19:28.668]  Now, you notice, the government's listening to us, foreign governments listen to us, you really think Russian state TV listens to us and runs clips of the show because they think I'm playing games?
[03:19:28.668 --> 03:19:36.770]  Russia has banned all the GMO, they're promoting having kids, they have national TV admitting it's an anti-family program, they've put hosts on that sound just like me.
[03:19:36.770 --> 03:19:38.890]  And it's not because they're getting my talking points.
[03:19:38.890 --> 03:19:41.911]  What I'm telling you is total truth.
[03:19:41.911 --> 03:19:49.552]  We're under military attack by the eugenicists that set up the health boards, that run the modern hospitals, and they've all got it hidden.
[03:19:51.357 --> 03:20:01.044]  I have a friend, we were out on a boat about six months ago, on his boat with his brother-in-law, and his sister, and his wife, and my kids.
[03:20:01.044 --> 03:20:08.889]  And they said, we're gonna go have the kid, hold on, I said, they're gonna take him, they're gonna say you've been in labor even a few hours, you need to take this hormone to induce labor.
[03:20:10.859 --> 03:20:12.541]  Then they're going to have a computer desk.
[03:20:12.541 --> 03:20:16.226]  They're going to ask you to take a file down the stairs or to another floor.
[03:20:16.226 --> 03:20:20.091]  When you leave with the file, they're going to ask your wife if you have plenty of money or if he beat you.
[03:20:20.091 --> 03:20:22.815]  That's going in a health department database to take your kids and you answer.
[03:20:22.815 --> 03:20:23.576]  They're going to take blood.
[03:20:23.576 --> 03:20:25.358]  If they find any marijuana, they're going to take your child.
[03:20:25.959 --> 03:20:27.920]  They're going to put it with CPS and I'm telling them this is going to happen.
[03:20:27.920 --> 03:20:29.481]  And the guys, they're both listening to me.
[03:20:29.481 --> 03:20:32.523]  And I go, now next what's going to happen, I do this to every family I run into that's pregnant.
[03:20:32.523 --> 03:20:34.263]  Even on the street now, twice this weekend.
[03:20:34.263 --> 03:20:39.106]  Because I have a responsibility to break out of their control and break out of their system.
[03:20:39.106 --> 03:20:40.587]  It looks crazy to people in a trance.
[03:20:40.587 --> 03:20:41.667]  This is normal human activity.
[03:20:41.667 --> 03:20:42.228]  I'm warning people.
[03:20:42.768 --> 03:20:51.052]  And then I said, then about four or five hours later, there's no way your cervix, I said, you can Google this, is going to soften because they artificially induced it that quick.
[03:20:51.052 --> 03:20:57.234]  So in 90% of the cases, the baby's going to start being delivered earlier without the cervix expanding and being softened.
[03:20:57.234 --> 03:21:00.716]  That will cause the heart rate to drop within about seven, eight hours on average.
[03:21:00.716 --> 03:21:02.016]  So I've had three kids, I know about it.
[03:21:02.016 --> 03:21:03.317]  This is going to be the first time.
[03:21:03.317 --> 03:21:06.558]  It's not even their fault, just how the system's actuated.
[03:21:06.558 --> 03:21:07.659]  Then once that happens,
[03:21:08.539 --> 03:21:12.060]  They'll then say, oh the heart rate's dropping, we gotta go into a cesarean.
[03:21:12.060 --> 03:21:15.301]  That's how they've gotten Travis County up to 60% cesareans.
[03:21:15.301 --> 03:21:19.262]  Soon they'll say it's a conspiracy that children were ever vaginally born.
[03:21:19.262 --> 03:21:20.562]  I'm not joking when I say that.
[03:21:20.562 --> 03:21:22.703]  We've got their dehumanization plan.
[03:21:22.703 --> 03:21:34.786]  The average doctor's not involved, they're busy, overworked, paying off debts, following the whole system, following computer orders they get through the health department, through the central committees of the bioethics boards.
[03:21:34.786 --> 03:21:37.647]  And Obamacare globally only codifies that more.
[03:21:39.121 --> 03:21:42.762]  Then your bill won't be $10,000, it'll be $60,000.
[03:21:42.762 --> 03:21:55.585]  I was told by the brother-in-law and by the brother, who's my friend, he works here, that word for word exactly what I said happened exactly as I said it would in the exact order.
[03:21:55.585 --> 03:21:57.966]  I've had three kids.
[03:21:57.966 --> 03:22:01.807]  We broke that secretly since the 60s.
[03:22:01.807 --> 03:22:08.009]  All blood, or late 60s, is taken at birth and put in a Pentagon UN database.
[03:22:08.999 --> 03:22:11.400]  Lawsuits were filed in Travis County off our intel.
[03:22:11.400 --> 03:22:12.821]  It all came out and was true.
[03:22:12.821 --> 03:22:15.262]  Ladies and gentlemen, I told you about shaving votes.
[03:22:15.262 --> 03:22:16.722]  I told you about algorithms.
[03:22:16.722 --> 03:22:18.283]  It's all come out now, Bev Harris.
[03:22:18.283 --> 03:22:19.904]  I told you about the Federal Reserve being private.
[03:22:19.904 --> 03:22:21.324]  That's like saying the sun's yellow.
[03:22:21.324 --> 03:22:24.165]  I told you about their whole program.
[03:22:24.165 --> 03:22:27.547]  Because they think you're dumb, they write books about it.
[03:22:27.547 --> 03:22:36.931]  Now, Bev Harris, a cut-down interview from the bombshell today that's gone totally viral, the total proof of election fraud, the biggest election fraud news ever, in Bev Harris' own words.
[03:22:37.811 --> 03:22:41.853]  The key to the whole deal is coming up, but I'm going to hand the baton to you, dude.
[03:22:41.853 --> 03:22:48.276]  It's just that I get pissed because my energy is physically war.
[03:22:48.276 --> 03:22:54.919]  I mean, when I realize they're killing kids all around me, and there's a giant scientific program against me is to get highly motivated.
[03:22:55.834 --> 03:23:00.398]  Now I understand, I'm not bragging here, but not everybody's family is found in Texas or whatever.
[03:23:00.398 --> 03:23:07.363]  But the point is, is I've got the genetics to resist this, and I believe everybody else has got the genetics to stand up against this.
[03:23:07.363 --> 03:23:11.547]  I mean, you look at little kids getting paralyzed and killed, folks, it should motivate you to get highly aggressive.
[03:23:13.686 --> 03:23:20.912]  I'm proud of the fact now, my kids aren't embarrassed to be on the street when I march up to people that are pregnant, and I start telling them, watch out, they're gonna lie to you and take shots now.
[03:23:20.912 --> 03:23:29.559]  And the good news is I talked to two pregnant women and their husbands over the weekend that I saw, and they both said, you know, you're right, they told me to take the flu shot, I know that's bad, my mom told me.
[03:23:29.559 --> 03:23:31.680]  Thank you, you're right, what the hell's going on?
[03:23:31.680 --> 03:23:42.089]  So the good news is, dude, we're breaking through their comfort zone, we're breaking through their matrix, we're breaking through them saying we're kooks, we're flopping around like wild animals on the ground, but we're getting out of the nets, man.
[03:23:42.409 --> 03:23:42.729]  We are.
[03:23:42.729 --> 03:23:43.590]  It's like Planet of the Apes.
[03:23:43.590 --> 03:23:45.132]  We're breaking out of the cages, brother.
[03:23:45.132 --> 03:23:46.614]  And I can feel it happening right now.
[03:23:46.614 --> 03:23:47.094]  Exactly.
[03:23:47.094 --> 03:23:48.356]  I have the same type of story.
[03:23:48.356 --> 03:23:50.098]  A friend of mine, he was going and having a baby.
[03:23:50.098 --> 03:23:53.001]  I said, hey, they're going to come in with the MMR shot.
[03:23:53.001 --> 03:23:57.486]  They're going to come in with the vitamin K. And they're going to say, they're going to tell you, look, it's safe and effective, safe and effective.
[03:23:57.486 --> 03:23:58.767]  They're going to use those exact words.
[03:23:58.767 --> 03:23:59.868]  Just watch.
[03:23:59.868 --> 03:24:00.869]  And they came in.
[03:24:00.869 --> 03:24:01.951]  They said, oh, I want to give them the shot.
[03:24:01.951 --> 03:24:02.691]  He's like, no, we're going to wait.
[03:24:02.691 --> 03:24:03.873]  They go, but it's safe and effective.
[03:24:04.173 --> 03:24:06.614]  And he's like, holy crap, you were absolutely right.
[03:24:06.614 --> 03:24:13.015]  They just, they come out and then they kept pushing it and pushing and pushing it and he said no and he stood up and now, you know, his kid's fine.
[03:24:13.015 --> 03:24:17.316]  By the way, the first time I said no to all this and the nurse's letter went, you're right, we don't do it too.
[03:24:17.316 --> 03:24:18.817]  We know it's hurting the kids.
[03:24:18.817 --> 03:24:20.517]  We give it to the preemies and they get sick.
[03:24:20.517 --> 03:24:24.118]  And then years later, they, you know, I mean, they know too, they're oppressed.
[03:24:24.858 --> 03:24:25.218]  Right.
[03:24:25.218 --> 03:24:31.142]  And it comes out, they even know, they have the ventilators ready because they know when they give the preemies these shots, they start having trouble.
[03:24:31.142 --> 03:24:32.563]  They start having autoimmune functions.
[03:24:32.563 --> 03:24:33.904]  And it's what happens up in the brain.
[03:24:33.904 --> 03:24:36.746]  We talked to Dr. Blalock years ago about this.
[03:24:36.746 --> 03:24:38.827]  It's not even the physical things that happen in the body.
[03:24:38.827 --> 03:24:40.689]  It's like 50 bee stings to the preemie.
[03:24:40.689 --> 03:24:41.329]  Exactly.
[03:24:41.329 --> 03:24:43.911]  And so your body goes into, like, fighter flight mode.
[03:24:43.911 --> 03:24:47.273]  It's like a bee sting, this is the way a doctor described it, as a layman term.
[03:24:47.273 --> 03:24:52.296]  A regular vaccine is like a bee sting to your 8-pound, 9-month baby that just got born, you know, 9 months in the womb.
[03:24:52.296 --> 03:24:54.458]  To a preemie, it's like 20, 30 bee stings, folks.
[03:24:55.498 --> 03:24:58.320]  Okay, they're having an autoimmune response, they're dying in front of you.
[03:24:58.320 --> 03:24:59.961]  My God, it's so common sense.
[03:24:59.961 --> 03:25:04.103]  And they know about this, and they say, oh, the studies say everything's safe.
[03:25:04.103 --> 03:25:08.385]  They've never done any studies to see the autism vaccine link.
[03:25:08.385 --> 03:25:15.008]  Well, they do have small-level studies in foreign countries, but never a CDC-sanctioned study because they won't pay for it.
[03:25:15.008 --> 03:25:15.588]  Exactly.
[03:25:15.588 --> 03:25:19.610]  They don't want to see this truth come out because they like this program.
[03:25:19.610 --> 03:25:22.372]  My dad wired people's jaws, okay?
[03:25:23.450 --> 03:25:26.212]  Okay, my dad was an oral surgeon, wired people's jaws.
[03:25:26.212 --> 03:25:32.717]  He did, you know, he was a professor in Dallas of dental surgery.
[03:25:32.717 --> 03:25:35.019]  And, I mean, let me put it to you this way, he's a smart guy.
[03:25:35.019 --> 03:25:36.380]  He told me everything he knows.
[03:25:36.380 --> 03:25:42.885]  He told me when I was going to get my driver's license when I was 16, he said, don't sign the organ donor card.
[03:25:42.885 --> 03:25:43.245]  I said, why?
[03:25:43.245 --> 03:25:46.588]  And he goes, because I happen to know there are hospitals where they kill people and take your organs.
[03:25:47.208 --> 03:25:47.968]  And I said, what do you mean?
[03:25:47.968 --> 03:25:49.429]  He said, just trust me.
[03:25:49.429 --> 03:25:51.510]  I didn't believe my dad, but I still said no.
[03:25:51.510 --> 03:25:58.814]  Years later, it came on 60 Minutes, the very hospitals he mentioned in Dallas were the ones that were killing people, including ones in Austin and Chicago.
[03:25:58.814 --> 03:26:05.858]  Now the point is, is that I didn't know at the time that my dad did dental work on the CIA and all this stuff, and they tried to hire him and stuff.
[03:26:05.858 --> 03:26:07.559]  I didn't know all the stuff he'd seen.
[03:26:07.559 --> 03:26:11.401]  But the point is, the public needs to stop being so damn naive, folks.
