[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[3:30:59.840 --> 3:31:05.320]  almost 28 years against the globalist I wanted to stop their agenda I wanted to
[3:31:05.320 --> 3:31:09.960]  wake up the world and stop them dead in their tracks before they went operational
[3:31:09.960 --> 3:31:14.320]  but we failed yes a lot of people are awake yes we're not getting caught flat
[3:31:14.320 --> 3:31:19.800]  footed but they are going ahead with their full operational deindustrialization
[3:31:19.800 --> 3:31:23.880]  great reset and that's why it's more important than ever that all viewers and
[3:31:23.880 --> 3:31:27.880]  all listeners tell everybody they know about the show because people are ready
[3:31:27.880 --> 3:31:31.560]  to wake up and ready to hear the truth so we've got a information warfare of the
[3:31:31.560 --> 3:31:35.080]  enemy and try to stop their agenda we've also got to get personally prepared
[3:31:35.080 --> 3:31:38.280]  and one of the number one things to do is high quality storeable food we've got
[3:31:38.280 --> 3:31:42.440]  the best food ready to ship at very affordable prices at infowarstore.com
[3:31:42.440 --> 3:31:46.720]  so whether it's a month or a six month or a year supply or specialty diets it's
[3:31:46.720 --> 3:31:51.560]  ready to ship right now lock your orders in before food prices go up and before
[3:31:51.560 --> 3:31:55.680]  there are long lines and waits because believe me serious times are coming get
[3:31:55.680 --> 3:32:01.800]  ready at infowarstore.com info wars emergency supply chain breakdown sale
[3:32:01.800 --> 3:32:10.040]  is only running for one week from Monday October 11th for seven days that's
[3:32:10.040 --> 3:32:15.600]  because a bunch of these products that we have in stock are limited supply because
[3:32:15.600 --> 3:32:20.160]  obviously the supply chain breakdown that I've been warning you of now for 20
[3:32:20.160 --> 3:32:23.480]  months because that's part of the very reset and part of the global's plan
[3:32:23.480 --> 3:32:27.240]  that's what global lockdowns will then trigger so we've not lowered the quality
[3:32:27.240 --> 3:32:30.760]  of any of our products that means some of them have been sold out more than six
[3:32:30.760 --> 3:32:37.320]  months like DNA Force Plus it is 40% off but coming up in one week people go back
[3:32:37.320 --> 3:32:41.640]  to full price we probably won't have more for up to six months ladies and
[3:32:41.640 --> 3:32:45.000]  gentlemen so it's a chance to support the broadcasts get incredible pots at the
[3:32:45.000 --> 3:32:49.560]  same time winter sun ultra 12 they're both 50% off they're gonna go back to
[3:32:49.560 --> 3:32:54.080]  10% off in a week as well they're 50% off right now find these and more at
[3:32:54.080 --> 3:32:59.480]  infowarstore.com and fund the info world making your life a lot healthier
[3:33:00.320 --> 3:33:05.600]  you're listening to the Alex Jones show
[3:33:05.600 --> 3:33:25.400]  here on October 15th 2021 the fourth hour of info wars.com broadcast today I'm
[3:33:25.400 --> 3:33:29.040]  Mike Adams thank you for continuing with me we have a special guest Dr. Brian
[3:33:29.040 --> 3:33:33.360]  Artis he'll be joining us here in just a second he has been a prolific speaker
[3:33:33.360 --> 3:33:38.080]  and presenter and sounding the alarm over many issues including Remdesivir
[3:33:38.080 --> 3:33:42.480]  and also breakthrough infections and I don't even like the term we'll talk
[3:33:42.480 --> 3:33:46.200]  about that but I want to thank you Dr. Artis for joining us today it's an honor
[3:33:46.200 --> 3:33:51.280]  to have you on sir where would you like to begin well I would just like to begin
[3:33:51.280 --> 3:33:54.880]  by saying Mike Adams you've done a great job of creating platforms and
[3:33:54.880 --> 3:33:58.800]  opportunities for people to spread truth throughout the entire world so I have
[3:33:58.800 --> 3:34:02.240]  loved him it's been an honor to be a part of that so thank you for all you've
[3:34:02.240 --> 3:34:07.520]  done well thank you I mean look you know here I am on on info wars of course
[3:34:07.520 --> 3:34:11.920]  that you know I I I have my own platform as well but we are all working
[3:34:11.920 --> 3:34:16.160]  together to get the word out so that's why I invited you to join me here today
[3:34:16.160 --> 3:34:20.920]  info wars is the tip of the spear you know a huge audience real-time breaking
[3:34:20.920 --> 3:34:25.080]  news listened to all over the world in real time what do you think is the most
[3:34:25.080 --> 3:34:29.520]  relevant breaking news today that the world needs to hear from you well let
[3:34:29.520 --> 3:34:32.160]  me just give you this I tried to get this to you already we kind of doing this
[3:34:32.160 --> 3:34:35.080]  last minute today and I'm glad you're on info wars we've been on there three or
[3:34:35.080 --> 3:34:38.880]  four times in the last month I just want you to be aware Dr. Peter McCullough
[3:34:38.880 --> 3:34:42.720]  and I have been at multiple speaking engagements just in the last week and
[3:34:42.720 --> 3:34:47.480]  one of the things that are most pressing it is still for me and they keep telling
[3:34:47.480 --> 3:34:50.800]  me all these medical doctors keep telling me to keep the iron hot in the
[3:34:50.800 --> 3:34:56.760]  media because the protocols in hospitals are ill advised currently and have been
[3:34:56.760 --> 3:34:59.240]  since May 2020 which is why I've been in the media
[3:34:59.240 --> 3:35:05.600]  remdesivir is dangerous we have evidence now from CMS database that remdesivir
[3:35:05.600 --> 3:35:10.840]  when used in Medicare patients just in one state alone of New York we know the
[3:35:10.840 --> 3:35:17.560]  actual death and mortality rates is up to 26.9% right now of Medicare patients
[3:35:17.560 --> 3:35:21.680]  being treated with remdesivir for COVID-19 that is not an effective
[3:35:21.680 --> 3:35:26.560]  mortality rate when the actual SARS-CoV-2 virus in and of itself when it's
[3:35:26.560 --> 3:35:31.240]  gone around the entire world has less than a 1% death rate why would you ever
[3:35:31.240 --> 3:35:35.920]  pick a drug which I've been conveying to the world had studies proving that in
[3:35:35.920 --> 3:35:41.280]  four compared drugs used in an Ebola trial from 2018 to 19 that Anthony
[3:35:41.280 --> 3:35:46.760]  Fauci used as a basis to select that drug for all COVID-19 Americans being
[3:35:46.760 --> 3:35:51.320]  treated in hospitals when you look at that actual study remdesivir had a
[3:35:51.320 --> 3:35:57.680]  mortality rate or kill rate or death rate of 53% it was the only one of the
[3:35:57.680 --> 3:36:01.760]  four drugs that had an over 50% death rate of all they gave the drug to you but
[3:36:01.760 --> 3:36:05.000]  this was the drug he said was proven safe and effective no it wasn't it was
[3:36:05.000 --> 3:36:07.800]  pulled from that study halfway through the study and wasn't even allowed to
[3:36:07.800 --> 3:36:11.840]  continue so we knew he lied about that this is extraordinary doctor artist but
[3:36:11.840 --> 3:36:16.800]  it's not just that these interventions which are pushed are the ones that appear
[3:36:16.800 --> 3:36:21.800]  to be causing the the highest mortalities it's also that they they
[3:36:21.800 --> 3:36:26.400]  withhold interventions that could save lives such as ivermectin and hydroxy
[3:36:26.400 --> 3:36:31.160]  chloroquine so in combination this withholding of viable therapeutics and
[3:36:31.160 --> 3:36:36.240]  in the pushing of deadly therapeutics how can any rational person look at this
[3:36:36.240 --> 3:36:40.000]  and not come to the conclusion that patients are being deliberately killed
[3:36:40.000 --> 3:36:44.560]  through through both of these means they are being deliberately killed and
[3:36:44.560 --> 3:36:49.120]  deliberately being lied to about alternative therapies that are proven
[3:36:49.120 --> 3:36:52.960]  have been FDA approved safe and effective for all humans for the last 70
[3:36:52.960 --> 3:36:57.200]  years 20 years in respects to hydroxychloroquine and ivermectin which we
[3:36:57.200 --> 3:37:01.760]  know have better survival rates when treating COVID-19 patients than remdesivir
[3:37:01.760 --> 3:37:07.920]  does from the beginning and currently if anybody goes to c19early.com the
[3:37:07.920 --> 3:37:13.200]  letter c19early.com you can actually look at the comparisons from research
[3:37:13.200 --> 3:37:17.840]  studies up until today it gets updated daily you can see the success rates of
[3:37:17.840 --> 3:37:22.920]  every treatment given remdesivir is at the very bottom of all of them and only
[3:37:22.920 --> 3:37:26.880]  a 21% success rate at helping people get out of hospitals so the message has
[3:37:26.880 --> 3:37:30.840]  always been stay out of hospitals they have set up protocols there to murder
[3:37:30.840 --> 3:37:36.280]  and maim and criminally kidnap patients from their loved ones and not give them
[3:37:36.280 --> 3:37:42.480]  access you said it they this is hospital homicide on a global scale and now
[3:37:42.480 --> 3:37:45.040]  there's something else is another phenomenon I want to ask you about that
[3:37:45.040 --> 3:37:49.200]  I just became aware of today a very very concerning thing this is out of the
[3:37:49.200 --> 3:37:55.800]  vaccine surveillance data out of the UK PHE it shows that it appears that the
[3:37:55.800 --> 3:38:00.760]  immune response of those who have been vaccinated is dropping rather steadily
[3:38:00.760 --> 3:38:07.320]  by about 5% per week and in other words you know many months after
[3:38:07.320 --> 3:38:12.280]  vaccination their outcomes are far worse in terms of hospitalization and deaths
[3:38:12.280 --> 3:38:18.680]  and symptoms that are often diagnosed with COVID or as COVID so if and we
[3:38:18.680 --> 3:38:21.760]  know that we have the vaccine companies have admitted that these vaccines do
[3:38:21.760 --> 3:38:27.280]  destroy immune response in many ways where does that put us let's say by
[3:38:27.280 --> 3:38:30.960]  Christmas or January or the spring of next year what are we looking at then
[3:38:30.960 --> 3:38:35.520]  now you're gonna be looking at huge amounts of autoimmune diseases heart
[3:38:35.520 --> 3:38:41.760]  diseases lung failure you're gonna see tons of suppressed immunity challenged
[3:38:41.760 --> 3:38:45.800]  trying to handle common cold viruses flu viruses this is what you're gonna
[3:38:45.800 --> 3:38:49.520]  anticipate and this is what we've all been warning against it was already
[3:38:49.520 --> 3:38:54.000]  proven last year in the UK more people were being hospitalized with COVID-19
[3:38:54.000 --> 3:38:58.360]  after getting the flu shots there why because of this thing called antibody
