[00:00:00.149 --> 00:00:01.049]  And so on.
[03:45:32.047 --> 03:45:34.769]  In fact, let's do that, but then I want to, because I've got you to the end of the show.
[03:45:34.769 --> 03:45:36.150]  I canceled the other guest, Lindsey.
[03:45:36.150 --> 03:45:37.391]  You can stay another 15 minutes, right?
[03:45:38.379 --> 03:45:39.960]  Okay, yeah, oh, I'd be more than happy.
[03:45:39.960 --> 03:45:40.841]  Consider it a privilege.
[03:45:40.841 --> 03:45:47.747]  Okay, well, all the folks who have time to get a patent paper, and we'll do that at the end of the show, because it's so important that they get this information and spread it to everybody, because you want them to copy it.
[03:45:47.747 --> 03:45:53.952]  But before we do that, again, you're saying that you believe this can at least be blunted and stopped.
[03:45:53.952 --> 03:45:56.915]  If people decide the government's going to save them, they're going to win and get the whole thing away.
[03:45:56.915 --> 03:45:58.976]  I mean, they're going to get away with it.
[03:45:58.976 --> 03:46:02.439]  What do we do to stop them, in your mind, in your research?
[03:46:02.439 --> 03:46:03.400]  What are they most afraid of?
[03:46:03.400 --> 03:46:04.341]  How do we defeat this?
[03:46:05.250 --> 03:46:11.274]  The one thing that will defeat them more than anything else is for the information to be given out, just like you're doing.
[03:46:11.274 --> 03:46:14.376]  Just blast it all across America, every place possible.
[03:46:14.376 --> 03:46:15.397]  Put it on the internet.
[03:46:15.397 --> 03:46:17.358]  You say you're doing another program at night.
[03:46:17.358 --> 03:46:18.519]  Congratulations.
[03:46:18.519 --> 03:46:20.180]  God bless you, Alex.
[03:46:20.180 --> 03:46:21.801]  I appreciate it so much.
[03:46:21.801 --> 03:46:23.862]  Get the message out to the American people.
[03:46:23.862 --> 03:46:25.003]  Now, people are hurting.
[03:46:25.003 --> 03:46:26.063]  Remember one thing.
[03:46:26.063 --> 03:46:29.285]  The most sensitive part of anybody's anatomy is the rear pocket.
[03:46:29.285 --> 03:46:33.028]  And right now, people are hurting where the dollar is.
[03:46:33.633 --> 03:46:38.235]  And they will wake up when, before they wouldn't even listen to you, they're beginning to listen now.
[03:46:38.235 --> 03:46:49.858]  Stock market's down $6,000 and some odd, and they're hurting to the point that for the first time they'll at least consider us wackos and give us some thought as to the fact that we might be right.
[03:46:49.858 --> 03:46:57.481]  And when you can, when you can document what you're saying, listen, listen to Alex Jones Show every single day so you can document what you're saying.
[03:46:57.481 --> 03:47:00.302]  Be able to prove every point that you give.
[03:47:00.302 --> 03:47:01.382]  Then you'll have no problem.
[03:47:01.792 --> 03:47:07.356]  Well, things like OPEC just lost two and one-half trillion dollars in four months' time.
[03:47:07.356 --> 03:47:11.799]  Well, things such as the tax structure of the United States of America is in jeopardy.
[03:47:11.799 --> 03:47:19.564]  And wait 30 days from now, and when the states finally figure up their books and realize where they are, you have never seen such cuts yet.
[03:47:19.564 --> 03:47:29.331]  Listen, give these things that you're hearing on Alex Jones Show, and, you know, things are happening so fast, Alex, I'm glad that you punctuated a moment ago how quickly they're happening.
[03:47:29.656 --> 03:47:32.377]  Because people must listen to your show every day.
[03:47:32.377 --> 03:47:35.998]  This is an emergency situation!
[03:47:35.998 --> 03:47:41.419]  It's the people that did the Bolshevik Revolution and funded Hitler and Mao.
[03:47:41.419 --> 03:47:43.699]  Rockefeller wrote the New York Times and they funded Mao and did all that.
[03:47:43.699 --> 03:47:45.260]  They're doing it here!
[03:47:45.260 --> 03:47:49.561]  They destroy economy to come in with FEMA camps, re-education, mass murder.
[03:47:49.561 --> 03:47:52.062]  They're going to do it if they think the cops will go along with it!
[03:47:52.062 --> 03:47:53.282]  It's over, police!
[03:47:53.282 --> 03:47:55.162]  You can't suck your thumbs anymore!
[03:47:55.162 --> 03:47:56.683]  Decide who you're with.
[03:47:56.683 --> 03:47:57.583]  Lindsey, please continue.
[03:47:58.291 --> 03:48:00.773]  They create a problem, then they create a solution.
[03:48:00.773 --> 03:48:02.574]  This is the way that they do everything.
[03:48:02.574 --> 03:48:05.237]  I watched them do it on the Trans-Alaska Oil Pipeline.
[03:48:05.237 --> 03:48:15.985]  They would come in and give a few million dollars to the Sierra Club and to other groups that were costing them thousands of dollars.
[03:48:15.985 --> 03:48:19.968]  And I asked one of the oil men one day, I said, why do you give this to your enemies?
[03:48:19.968 --> 03:48:24.992]  The very people that are coming in and causing you to have to spend so much on this Trans-Alaska Oil Pipeline.
[03:48:24.992 --> 03:48:26.814]  He said, Chaplain, we play both sides.
[03:48:27.284 --> 03:48:35.808]  They play Republican, they play Democrat, they play the Conservatives, they can play both sides of everything.
[03:48:35.808 --> 03:48:39.070]  They said, we give these money to them so we can control them.
[03:48:39.070 --> 03:48:41.571]  The name of the game is control.
[03:48:41.571 --> 03:48:44.872]  You've heard me say it, you've heard Alex say it over and over and over.
[03:48:44.872 --> 03:48:46.053]  This is what they want.
[03:48:46.053 --> 03:48:48.734]  It's not necessarily money that they're after.
[03:48:48.734 --> 03:48:54.237]  They already hold that through the Federal Reserve, through the fake currencies around the world.
[03:48:54.676 --> 03:48:56.398]  The name of the game is control.
[03:48:56.398 --> 03:49:01.382]  Same thing Hitler did, same thing Mussolini did, same thing Stalin did.
[03:49:01.382 --> 03:49:05.126]  It's a matter of control of masses of population and humanity.
[03:49:05.126 --> 03:49:06.447]  They're literally obsessed.
[03:49:06.926 --> 03:49:10.028]  With the control of this nation, and that's what they're trying to do.
[03:49:10.028 --> 03:49:12.889]  That's why the elites have always been in control.
[03:49:12.889 --> 03:49:20.073]  The elites have always been in control, because they're ruthless and cunning, and the average person doesn't understand how serious the power elite are.
[03:49:20.073 --> 03:49:20.974]  Lindsey, I want to come back.
[03:49:26.977 --> 03:49:30.780]  Again, I want you to specifically why you think George Soros went public with all of this right now.
[03:49:30.780 --> 03:49:34.222]  But first, folks, we don't have a lot of time, so listen carefully.
[03:49:34.222 --> 03:49:38.746]  You're now putting out weekly emergency DVD reports that break down this.
[03:49:38.746 --> 03:49:40.347]  Perfect to give people.
[03:49:40.347 --> 03:49:42.949]  How do folks call and get that, Lindsey?
[03:49:42.949 --> 03:49:43.629]  Call number 800-321-8000.
[03:49:46.255 --> 03:49:48.615]  2-9-0-0 emergency update.
[03:49:48.615 --> 03:49:52.796]  We're having to update it every so many weeks because things are happening so fast.
[03:49:52.796 --> 03:49:56.457]  And then last week, I produced, for the first time, one entitled Prophecy.
[03:49:56.457 --> 03:49:57.657]  You've got to see it.
[03:49:57.657 --> 03:49:59.658]  I deal with the prophecy that this man gave.
[03:49:59.658 --> 03:50:05.279]  I call it a prophecy because, you know, the elite, even though they aren't God, they think they are.
[03:50:05.279 --> 03:50:11.160]  And they give some things, like this gentleman gave me seven months ago, told me everything that was going to happen for the next year and a half.
[03:50:12.153 --> 03:50:22.241]  And I produced one entitled Prophecy because it's what he said was going to happen, and then I go back to the scriptures and compare this to the one page... Give the number!
[03:50:22.241 --> 03:50:23.042]  Give the number!
[03:50:23.042 --> 03:50:23.903]  ...and it was always right.
[03:50:23.903 --> 03:50:25.764]  Give the number for folks.
[03:50:25.764 --> 03:50:30.308]  And the number is 800, the number at toll-free, 800-321-2900.
[03:50:30.308 --> 03:50:34.712]  Two presentations I've done in the last few weeks, plus the package of two DVDs.
[03:50:34.712 --> 03:50:36.813]  I beg of you, for the sake of your dinner table, 800.
[03:50:38.158 --> 03:50:41.900]  3-2-1-2-9-0-0.
[03:50:41.900 --> 03:50:43.800]  Absolutely, and we appreciate your courage doing this.
[03:50:43.800 --> 03:50:45.421]  Okay, briefly, start getting into Soros.
[03:50:45.421 --> 03:50:52.884]  I mean, to have him admit they're imploding the oil price to bankrupt the planet and their enemies, I mean, again, this is six and a half months after you go public.
[03:50:52.884 --> 03:50:53.824]  Here they are admitting it.
[03:50:53.824 --> 03:50:55.285]  It's incredible.
[03:50:55.285 --> 03:50:57.246]  Well, I don't think he had insurance.
[03:50:57.246 --> 03:50:59.106]  Alex, you say, why did he do it?
[03:50:59.106 --> 03:51:03.208]  I think he did it because it happened.
[03:51:03.208 --> 03:51:04.329]  It's here.
[03:51:04.329 --> 03:51:05.329]  He knows it's for real.
[03:51:05.848 --> 03:51:15.854]  There was no need in trying to hide it any longer, and I think he did it solely because of the fact that he didn't have any choice but to do it, or make his own self look bad.
[03:51:15.854 --> 03:51:18.816]  That's what Bob Chapman said, agreeing with you last hour about it.
[03:51:18.816 --> 03:51:19.796]  They've dropped the hammer.
[03:51:19.796 --> 03:51:20.937]  They've gone to the point of no return.
[03:51:20.937 --> 03:51:27.741]  They've committed so many public crimes, looting with the banks, that either they take over with the world government, or they end up getting brought to justice.
[03:51:27.741 --> 03:51:28.542]  They know that.
[03:51:28.542 --> 03:51:33.985]  They know they're creating a revolution, which will create a crisis, exacerbate their crisis, and they'll come in and smash
[03:51:34.005 --> 03:51:35.026]  We're good to go.
[03:52:01.906 --> 03:52:07.849]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[03:52:07.849 --> 03:52:12.871]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[03:52:12.871 --> 03:52:18.053]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[03:52:18.053 --> 03:52:21.495]  This product is a one-of-a-kind in its strength and effectiveness.
[03:52:21.975 --> 03:52:30.502]  Using plasma pH drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[03:52:30.502 --> 03:52:36.306]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[03:52:36.306 --> 03:52:42.291]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[03:52:42.291 --> 03:52:44.613]  Disease organisms like bacteria and cancer
[03:52:44.873 --> 03:52:47.537]  Cannot survive in an alkaline environment?
[03:52:47.537 --> 03:52:53.285]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[03:52:53.285 --> 03:52:55.789]  That's A-L-K-A Vision dot com.
[03:52:55.789 --> 03:52:56.810]  Or call 269-344-3420 today!
[03:53:01.827 --> 03:53:14.982]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[03:53:14.982 --> 03:53:21.749]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions.
[03:53:22.069 --> 03:53:26.033]  And the true perpetrators of this horrendous crime are brought to justice.
[03:53:26.033 --> 03:53:29.437]  Loose Change Final Cut is the ultimate 9-11 expose.
[03:53:29.437 --> 03:53:31.199]  From hijackers being trained at U.S.
[03:53:31.199 --> 03:53:37.345]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[03:53:37.345 --> 03:53:40.929]  Secure your copy of Loose Change Final Cut today at Infowars.com.
[03:53:41.269 --> 03:53:41.770]  We're good to go.
[03:54:02.153 --> 03:54:06.218]  Do you have trouble sleeping due to sensations in your legs?
[03:54:06.218 --> 03:54:08.120]  You are not alone.
[03:54:08.120 --> 03:54:10.984]  Millions of Americans suffer from restless legs.
[03:54:10.984 --> 03:54:16.050]  Restless legs is a condition caused by the uncontrollable urge to move your legs.
[03:54:16.050 --> 03:54:18.393]  Signs include itching, pulling, tugging.
[03:54:18.593 --> 03:54:18.953]  I think so.
[03:54:38.251 --> 03:54:47.433]  Restulex will help ease and comfort your restless legs within 24 hours and will allow you to go back to your regular routine without discomfort or embarrassment.
[03:54:47.433 --> 03:54:48.053]  Call 888-4-FIT-LEGS.
[03:54:48.053 --> 03:54:48.453]  That's 888-434-8534.
[03:54:48.453 --> 03:54:49.534]  Or visit 4FitLegs.com.
[03:54:49.534 --> 03:54:50.854]  That's the number 4FitLegs.com.
[03:54:50.854 --> 03:54:53.174]  And ask how you can get Restulex for free today.
[03:55:09.369 --> 03:55:14.316]  Lindsay, I don't know how busy you are, but I want to set you up for a show you've never been on, my syndicated Sunday show.
[03:55:15.555 --> 03:55:20.518]  Briefly, can you come on this Sunday for an hour and a half so we can talk more about this and finally take calls?
