[00:00:05.875 --> 00:00:10.418]  July 4th!
[02:48:53.276 --> 02:48:55.559]  Like, just about anybody can hide anywhere out there.
[02:48:57.614 --> 02:48:59.155]  Now we've got a report you filed.
[02:48:59.155 --> 02:48:59.976]  I thought it was coming.
[02:48:59.976 --> 02:49:01.657]  You guys did such a great job shooting this.
[02:49:01.657 --> 02:49:02.598]  It's already done.
[02:49:02.598 --> 02:49:06.982]  We're going to premiere it here coming up in the next segment and keep you some into overdrive.
[02:49:06.982 --> 02:49:10.805]  Kit Daniels and Rob Jacobson reporting from the Texas border.
[02:49:10.805 --> 02:49:21.394]  But in this new video, and I think we're going to title it, I guess, Border Wide Open, Border Patrol Stands Down, or Border Patrol Leaves Gates Open.
[02:49:21.394 --> 02:49:24.016]  I guess we already have the video of that we're about to show folks.
[02:49:24.016 --> 02:49:26.518]  When we come back from break, describe what else you've seen, Kit.
[02:49:27.239 --> 02:49:31.081]  It just hit me like a ton of bricks.
[02:49:31.081 --> 02:49:40.226]  The state troopers and the small town cops here are doing a better job at border security and what the border patrol can do.
[02:49:40.226 --> 02:49:45.728]  That's why we just saw a city surveillance tower right near the border.
[02:49:45.728 --> 02:49:54.413]  Driving up here we saw two or three state troopers parked every so often down the highway.
[02:49:55.288 --> 02:50:00.213]  The state of Texas and local police are having to step in to protect the borders.
[02:50:00.213 --> 02:50:18.108]  And let's be clear, just like in Mexico the government wouldn't do its job and disarm the people so the crime rate exploded, citizens got guns illegally, restored order, just like the feds are stepping back, that's a major important angle right there to confirm in the new report on when you guys get back, because I know you're coming back tonight, is the fact that Texas
[02:50:19.198 --> 02:50:25.463]  And I want to emphasize that the Border Patrol agent that we did see, he was just on the shoulder of Highway 281.
[02:50:25.463 --> 02:50:27.624]  And he was likely probably taking a phone call.
[02:50:27.624 --> 02:50:29.846]  It wasn't like we saw him out on the Badlands that we just drove through.
[02:50:44.625 --> 02:50:45.766]  This is amazing.
[02:50:45.766 --> 02:50:47.108]  I've got your special report coming up.
[02:50:47.108 --> 02:50:48.790]  We're going to come back to you.
[02:50:48.790 --> 02:50:51.073]  Kit Daniels from the border.
[02:50:51.073 --> 02:50:53.095]  Infowars.com.
[02:50:53.095 --> 02:50:54.497]  I'm Alex Jones.
[02:50:54.497 --> 02:50:57.440]  And we're going to come back and play this report.
[02:50:57.440 --> 02:50:57.881]  Stay with us.
[02:51:00.453 --> 02:51:05.597]  It seems that everywhere you turn to these days, people are talking about the health benefits of silver.
[02:51:05.597 --> 02:51:08.719]  But don't be fooled into believing all silver is the same.
[02:51:08.719 --> 02:51:14.883]  Only one silver solution has been clinically shown to be hundreds of times stronger than colloidal or ionic silver.
[02:51:14.883 --> 02:51:17.065]  That's supernatural silver.
[02:51:17.065 --> 02:51:22.149]  It can be used internally as a powerful immune system enhancer to fight off bacteria and viruses.
[02:51:22.149 --> 02:51:26.492]  Supernatural silver can be used topically to treat any type of wound or skin issue.
[02:51:26.952 --> 02:51:30.553]  It's even gentle enough to be used on the ears, eyes, and sinuses.
[02:51:30.553 --> 02:51:35.375]  And unlike harsh drugs and antibiotics, Supernatural Silver has no side effects.
[02:51:35.375 --> 02:51:40.217]  Available as a liquid or a gel that you can use every day to stay healthy and well.
[02:51:40.217 --> 02:51:46.340]  To experience outstanding customer service and to place your order, visit SupernaturalSilver.com.
[02:51:46.340 --> 02:51:50.561]  Use the promo code SILVER2014 for 20% off your entire order.
[02:51:50.561 --> 02:51:54.723]  Give yourself and your loved ones a fighting chance with Supernatural Silver.
[02:51:55.043 --> 02:51:57.785]  Only at SupernaturalSilver.com.
[02:51:57.785 --> 02:52:00.127]  SupernaturalSilver.com.
[02:52:00.127 --> 02:52:02.909]  Alex Jones here for InfoWars.com.
[02:52:02.909 --> 02:52:07.593]  In the month of July, we have got giant specials on everything at Madein1776.com.
[02:52:07.593 --> 02:52:09.774]  The already discounted Made in 1776 t-shirts are only $17.76.
[02:52:14.858 --> 02:52:19.403]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[02:52:19.403 --> 02:52:21.385]  There's only 500 of each.
[02:52:21.385 --> 02:52:25.570]  We're talking about made in America belt buckles and nickel brass.
[02:52:25.570 --> 02:52:27.833]  This is more than a summer blowout special.
[02:52:27.833 --> 02:52:30.736]  This is a new declaration of independence.
[02:52:30.936 --> 02:52:42.623]  But to expand the info orb, we're offering the equivalent of more than five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[02:52:42.623 --> 02:52:46.486]  That's more than five months free off the regular price.
[02:52:46.486 --> 02:52:53.090]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[02:52:53.090 --> 02:52:58.153]  Molon Labe, you can take my gun from my cold, dead hands.
[02:52:59.562 --> 02:53:01.444]  A sudden change in the wind.
[02:53:01.444 --> 02:53:07.952]  The day grows dark as ominous clouds move in and lightning begins to carve arcs in the sky.
[02:53:07.952 --> 02:53:12.377]  And you realize you are not prepared.
[02:53:12.377 --> 02:53:16.401]  The number of intense storms is increasing exponentially in the U.S.
[02:53:16.401 --> 02:53:19.205]  Tornadoes, hurricanes, flooding, and droughts.
[02:53:19.485 --> 02:53:20.726]  And no one's coming to help them.
[02:53:40.626 --> 02:53:44.531]  All orders over $49 qualify for free shipping in the lower 48.
[02:53:44.531 --> 02:53:47.635]  Visit us online or call 866-229-0927.
[02:53:47.635 --> 02:53:49.538]  That's 866-229-0927.
[02:53:49.538 --> 02:53:53.363]  And speak to one of our preparedness advisors today.
[02:53:53.363 --> 02:53:57.007]  Remember, before it's time to survive, it's time to prepare.
[02:53:57.007 --> 02:53:58.710]  MyPatriotsSupply.com
[02:54:04.136 --> 02:54:05.997]  Alright, final segment of the main transmission.
[02:54:05.997 --> 02:54:08.458]  We'll do some overdrive with Kit Daniels and Rob Jacobson.
[02:54:08.458 --> 02:54:13.301]  I also kind of want to get Rob Jacobson's take on what he's seen while he's been down there in overdrives.
[02:54:13.301 --> 02:54:14.081]  Perhaps we'll do that.
[02:54:14.081 --> 02:54:17.563]  We're going to their report that shows the Border Patrol leaving gates open now.
[02:54:18.183 --> 02:54:19.324]  And just leaving at night.
[02:54:19.324 --> 02:54:21.505]  I mean, that's how wide open this is.
[02:54:21.505 --> 02:54:22.606]  This is totally insane.
[02:54:22.606 --> 02:54:28.569]  Before I go any further, please remember this hour was brought to you by MyPatriotSupply.com forward slash Alex.
[02:54:28.569 --> 02:54:34.513]  MyPatriotSupply.com forward slash Alex, where you find their specials, super high quality, great customer service.
[02:54:34.513 --> 02:54:36.274]  This is where I get my storable foods.
[02:54:36.274 --> 02:54:37.695]  They're trying to collapse society.
[02:54:37.695 --> 02:54:39.436]  You're insane if you don't have storable food.
[02:54:39.436 --> 02:54:42.158]  MyPatriotSupply.com forward slash Alex.
[02:54:42.158 --> 02:54:43.158]  Check them out today.
[02:54:43.158 --> 02:54:44.659]  And they're great sponsors as well.
[02:54:44.659 --> 02:54:45.560]  So it's a win, win, win.
[02:54:46.460 --> 02:54:47.161]  Great company.
[02:54:47.161 --> 02:54:48.241]  You get great food.
[02:54:48.241 --> 02:54:49.482]  Supports the broadcast.
[02:54:49.482 --> 02:54:51.564]  MyPatronSupply.com.
[02:54:51.564 --> 02:54:53.645]  Separately, we have the best products.
[02:54:53.645 --> 02:54:54.646]  Water filters.
[02:54:54.646 --> 02:54:56.827]  Free stainless steel fans.
[02:54:56.827 --> 02:54:59.329]  10% off with promo code WATER on the filtration systems.
[02:54:59.329 --> 02:55:00.810]  The best ones out there.
[02:55:00.810 --> 02:55:02.671]  ProPure with the new filters.
[02:55:02.671 --> 02:55:04.112]  InfowarStore.com.
[02:55:05.333 --> 02:55:12.360]  Get your water purified and support Basic Liberty at the same time by funding this operation at InfoWarsLife.com.
[02:55:12.360 --> 02:55:15.582]  Got some great specials, detox specials on X2.
[02:55:15.582 --> 02:55:18.565]  Super hot product, but we're discounting it because we want it to get into your hands.
[02:55:18.565 --> 02:55:20.387]  I want to thank you all for your support.
[02:55:20.387 --> 02:55:27.513]  X2 at InfoWarsStore.com or go directly to the Supplements subpage at InfoWarsLife.com.
[02:55:28.354 --> 02:55:30.156]  We've got some new items coming this week.
[02:55:30.156 --> 02:55:37.363]  Made in America apparel and new Molon Labe belt buckles as well, coming to MadeIn1776.com.
[02:55:37.363 --> 02:55:46.492]  Now, ladies and gentlemen, let's go ahead and go to the Border Report, showing more evidence of a complete treasonous stand-down.
[02:55:47.711 --> 02:56:04.879]  In the border city of Brownsville, Texas, the incredible decrease of Border Patrol activity emphasizes that not only is the Border Patrol stretched thin, but agents are also being pressured to stand down from enforcing immigration laws as the federal government also begins to enact a media blackout on America's vanishing borders.
[02:56:05.239 --> 02:56:12.766]  We're here at the international border in Brownsville, Texas, and as you can see, there's hardly any border patrol whatsoever, even at the border.
[02:56:12.766 --> 02:56:20.993]  You would think with the current flood of tens of thousands of immigrants from Central America overwhelming our borders, Brownsville would be crawling with border patrol vehicles.
[02:56:20.993 --> 02:56:31.122]  But, on the extreme contrary, we saw, no exaggeration, well over ten times as many border patrol vehicles parked at various facilities than we saw driving the streets in and around Brownsville.
[02:56:32.063 --> 02:56:42.272]  In fact, we stood for well over an hour outside the border checkpoint in the city and only saw maybe one border patrol vehicle every 10 to 15 minutes drive by.
[02:56:42.272 --> 02:56:44.454]  Just look at this wide open border fence.
[02:56:44.454 --> 02:56:45.995]  It's at night and nobody's guarding it.
[02:56:45.995 --> 02:56:47.577]  It's wide open.
[02:56:47.577 --> 02:56:50.980]  This just highlights the illusion of border security by the Obama administration.
[02:56:52.915 --> 02:57:01.620]  Consider the fact that the surge of immigrant youth has increased from 6,500 in 2011 to 90,000 this year alone, an increase of over 1,300 percent.
[02:57:01.620 --> 02:57:07.824]  And it's crystal clear that the Obama administration is forcing the Border Patrol to back off of enforcing existing immigration laws.
[02:57:09.051 --> 02:57:15.358]  One of the very few Border Patrol agents that we observed actually patrolling South Texas took a very keen interest in us.
[02:57:15.358 --> 02:57:19.582]  As you can see, he speeds up to catch up to our vehicle and likely ran our plates.
[02:57:19.582 --> 02:57:22.505]  We tried to flag him down and talk to him, but he didn't respond.
[02:57:22.505 --> 02:57:28.211]  He tailed us very closely for several minutes nearly all the way into downtown Brownsville before he finally peeled off.
[02:57:28.211 --> 02:57:29.752]  We were driving around the border.
[02:57:29.752 --> 02:57:31.835]  I guess he took an interest in us.
[02:57:34.264 --> 02:57:40.648]  We're standing outside an illegal immigration detention facility about 40 miles northeast of Brownsville, Texas.
[02:57:40.648 --> 02:57:45.612]  We drove down to the guard station and asked if we could take a tour of the facility as journalists.
[02:57:45.612 --> 02:57:48.894]  But they refused, told us to turn around, and even told us to stop recording.
