[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[3:40:33.600 --> 3:40:38.160]  only going to iraq but cnn they're saying trump is the grinch who stole christmas from the troops
[3:40:38.160 --> 3:40:45.120]  in iraq cnn does his best to uh dump on trump uh troops trip and then it goes on from there on
[3:40:45.120 --> 3:40:50.640]  newsbusters i'm just reading headlines here cbs nbc slam trumps visit to troops in iraq uh took
[3:40:50.640 --> 3:40:55.360]  him long enough so some say you know he he didn't go there quick enough others say he should never
[3:40:55.360 --> 3:41:00.320]  be there in the first place how dare he sign maga hats and give him yeah how dare he sign
[3:41:00.320 --> 3:41:04.400]  maga hats and give it to the troops i mean he's the grinch who sold christmas according to the
[3:41:04.400 --> 3:41:09.920]  troops in iraq according to cnn i mean but the troops love him from everything i can see why
[3:41:09.920 --> 3:41:14.400]  don't they let the troops speak for them cells instead of uh you know always trying to put words
[3:41:14.400 --> 3:41:19.760]  and feelings in other people's mouths it's just it really is uh irritating and what is the media
[3:41:19.760 --> 3:41:23.920]  going to do once whenever trump is out of office i mean what are they going to focus on what what
[3:41:23.920 --> 3:41:28.320]  is their obsession going to be because that's all they can talk about right now and it it it
[3:41:28.320 --> 3:41:32.800]  forces it puts us in a position where we seem to always be not defending him but you know trying
[3:41:32.800 --> 3:41:37.280]  to just put the facts out there to say what's right but there's so much more we could be focusing
[3:41:37.280 --> 3:41:42.000]  on it is keeping us or we're keeping us from working on those solutions because we're so
[3:41:42.000 --> 3:41:46.880]  preoccupied uh dealing with what the networks are putting out that has to change we have to change
[3:41:46.880 --> 3:41:50.800]  us somehow i think i've gotten the answer for you on this and i was thinking about that too what
[3:41:50.800 --> 3:41:57.040]  would happen right now if there was a change of power and the democrats were in power at the
[3:41:57.040 --> 3:42:02.400]  executive level we know that's going to take place and we're really a taste of what you
[3:42:02.400 --> 3:42:08.000]  to answer your question we're going to get a taste of that in january and it's going to be the they're
[3:42:08.000 --> 3:42:14.240]  going to extol number one the virtues of things like gun control extol the virtues of uh a similar
[3:42:14.880 --> 3:42:22.480]  immigration um but not not assimilation but immigration it as well as push the globalist
[3:42:22.480 --> 3:42:27.840]  agenda so we have to be very careful and be very cautious as well as i heard mike adams earlier
[3:42:27.840 --> 3:42:35.280]  talking about setting up perhaps well maybe maybe some uh some event or event that will result in
[3:42:35.280 --> 3:42:40.000]  taking away our second amendment rights certainly we know that they're trying to erode our first
[3:42:40.000 --> 3:42:44.960]  amendment rights folks you're listening to doug and joe hagman info wars info wars store.com that's
[3:42:44.960 --> 3:42:56.080]  info wars store.com support the movement right back so as we prepare to close out 2018 just remember
[3:42:56.080 --> 3:43:01.280]  remember this life is a test and those of you that have been listening and watching and taking
[3:43:01.280 --> 3:43:06.560]  action the victories of populism and nationalism and christianity coming back from the dead and
[3:43:06.560 --> 3:43:11.840]  recognizing it's being persecuted that's all because you are the core listening to info wars
[3:43:11.840 --> 3:43:18.800]  around the world the eyes and ears of liberty that were immune or at least resistant to the
[3:43:18.800 --> 3:43:24.960]  globalist programming everybody knows who studies this that it's christians real christians who tend
[3:43:24.960 --> 3:43:30.960]  to be immune to the globalist brainwashing and who tend to see it and that's why they're trying
[3:43:30.960 --> 3:43:38.560]  to eradicate you but regardless this fight is intensifying 2018 has been insane 2019 is going
[3:43:38.560 --> 3:43:44.960]  to be the big decision maker and i am so honored to be here with you right beside me not behind us
[3:43:44.960 --> 3:43:49.040]  but right beside us and at the heart of everything resisting these globalists so whatever you do
[3:43:49.040 --> 3:43:54.080]  take action and realize we're changing history together and i salute you our grandparents
[3:43:54.080 --> 3:43:58.080]  the great grandparents know that they can't food during the falls they'd have it during the winter
[3:43:59.280 --> 3:44:05.680]  and that's what i'm talking about at m4store.com with m4 select it's the full spectrum of my
[3:44:05.680 --> 3:44:11.920]  patreon supply on the top most respected companies out there but because i private label it i'm able
[3:44:11.920 --> 3:44:18.240]  to go below cost on contracts that all their other distributors aren't able to do but i want to be a
[3:44:18.240 --> 3:44:23.440]  market leader and i want you to have storeable food so it's a total win-win we have those incredible
[3:44:23.440 --> 3:44:30.240]  sell prices back m4store.com on m4 select storeable foods they've got special diet foods they've got
[3:44:30.240 --> 3:44:35.840]  three month supplies your supplies week emergency supplies they've got so many great products there
[3:44:35.840 --> 3:44:40.720]  if you got a three-year supply if stuff happens you can feed your whole block it's up to us to be
[3:44:40.720 --> 3:44:46.000]  self-sufficient you're buying war bonds bringing great products and together with god's health we
[3:44:46.000 --> 3:44:54.240]  are unstoppable m4store.com m4 select high quality storeable foods powered by my patreon supply the
[3:44:54.240 --> 3:45:00.000]  globalists are trying to set up a private corporate world government that's above the law if there's
[3:45:00.000 --> 3:45:05.520]  any opposition if there's any independent media they can call the fact that the emperor has no
[3:45:05.520 --> 3:45:11.520]  clothes they can call bs it's game over but if you look at everybody else like michael savage and
[3:45:11.520 --> 3:45:16.720]  ruch limbaugh and tucker carlson and shahannity they are all beholded to the networks they're on
[3:45:16.720 --> 3:45:23.680]  that can be targeted there's only two groups in the us info wars and matt drudge of drudge report.com
[3:45:24.400 --> 3:45:28.880]  that are truly independent and of course there are two of the dominant media forces in the world
[3:45:29.440 --> 3:45:35.120]  it really is amazing that's why as we close out 2018 i want to just remind the listeners of the
[3:45:35.120 --> 3:45:39.200]  amazing fight we're all in and how far we've come together just remind you that you are the power
[3:45:39.200 --> 3:45:46.640]  you're the strength or the will of info wars so please spread the links info wars.com news wars.com
[3:45:46.640 --> 3:45:50.560]  prism planet.com because if you don't spread the articles the video is no one else will
[3:45:51.120 --> 3:45:55.520]  we're all in each other's hands god bless you all and thank you we're bringing back one of the
[3:45:55.520 --> 3:46:01.600]  biggest fan favorite formulas we've ever offered with even better ingredients ultimate bone broth
[3:46:03.280 --> 3:46:08.720]  info wars life is proud to bring you a powerhouse bone broth formula to help push you to your
[3:46:08.720 --> 3:46:14.400]  limits this incredible formula will help you get the most out of your workout with the power of
[3:46:14.400 --> 3:46:19.440]  ultra high quality bone broth one of the most popular health trends on the planet built with
[3:46:19.440 --> 3:46:24.480]  more than seven different superfoods and crucial compounds ultimate bone broth will help support
[3:46:24.480 --> 3:46:29.520]  your healthy muscles digestion tendons and ligaments while also supporting your body's
[3:46:29.520 --> 3:46:35.120]  fight against free radicals this incredible chicken bone broth formula contains time tested
[3:46:35.120 --> 3:46:41.360]  ingredients such as turmeric root chaga mushroom goji berry powder bee pollen and alfalfa herb
[3:46:41.360 --> 3:46:47.280]  powder to support your body it's time to experience what ultimate bone broth can do for you get a
[3:46:47.280 --> 3:46:52.960]  bottle of the all-new version of a fan favorite product today at infowarstore.com
[3:46:52.960 --> 3:47:04.800]  you're listening to the alex jones show
[3:47:04.800 --> 3:47:18.640]  so
[3:47:19.680 --> 3:47:23.680]  Doug and Joe Ackman here filling in for the fourth hour on info wars on this thursday
[3:47:23.680 --> 3:47:29.280]  december 27 2018 one of the last broadcasts of the year we covered a lot of ground we still got
[3:47:29.280 --> 3:47:33.840]  a lot to talk about we have this government shutdown that's been ongoing i believe is in
[3:47:33.840 --> 3:47:39.920]  today's six over the border wall funding we saw the go fund me page the president started
[3:47:39.920 --> 3:47:45.520]  for the border wall as the american people have been pouring money into it now before i haven't
