[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[03:29:41.680 --> 03:29:46.240]  and coconut oils see their full selection of soaps at five-star soap calm
[03:29:46.240 --> 03:29:56.240]  that's F.I.V.E. star soap calm or call 1-800-340-7091 for a catalogue Matt
[03:29:56.240 --> 03:30:00.040]  Ohio you're on the air another Matt go ahead yeah hey listen I just wanted to
[03:30:00.040 --> 03:30:04.800]  say real quick I'm a longtime listener of in fours and I just wanted to say that
[03:30:04.800 --> 03:30:09.320]  the t-shirts that you guys are offering it are absolutely fantastic and that
[03:30:09.320 --> 03:30:14.080]  really is a great way to deal with this battle in the in four might seem like a
[03:30:14.080 --> 03:30:18.600]  simple thing but they particularly these slogan t-shirts that you guys got up
[03:30:18.600 --> 03:30:23.440]  right now are absolutely amazing well thank you my favorite new one is the
[03:30:23.440 --> 03:30:27.520]  don't tread on me but said it says won't tread on me and it's a big day glow
[03:30:27.520 --> 03:30:31.680]  snake gads and snake and then it's got the American flag in fours calm on the
[03:30:31.680 --> 03:30:36.080]  right arm I mean that's a great way just to meet like-minded people and spread
[03:30:36.080 --> 03:30:40.920]  the word and also exercise free speech and the newest one is trigger warning
[03:30:40.920 --> 03:30:45.880]  t-shirt trigger warning t-shirt which is the symbol of a trigger but with a
[03:30:45.880 --> 03:30:50.120]  yield sign and then info wars dot com on the back that is the new shirt of the
[03:30:50.120 --> 03:30:56.040]  mind available exclusively at info wars store.com I want to plow into all of
[03:30:56.040 --> 03:31:00.960]  this but I'm going to spend a few minutes here first just encouraging
[03:31:00.960 --> 03:31:06.280]  listeners to understand that when you buy t-shirts or water filtration systems
[03:31:06.280 --> 03:31:13.880]  or books or videos or other material from infowarstore.com you are funding the
[03:31:13.880 --> 03:31:18.400]  revolution I mean I cannot say it any clear and so it is essential that you
[03:31:18.400 --> 03:31:21.400]  purchase the products at infowarstore.com I don't want to thank everybody
[03:31:21.400 --> 03:31:24.760]  that has but we've got the best fluoride-free toothpaste with colloidal
[03:31:24.760 --> 03:31:29.400]  silver and with high quality atomic iodine in it you cannot beat that for
[03:31:29.400 --> 03:31:33.120]  children and adults we've got the best mouthwash designed by Dr. Jones that's
[03:31:33.120 --> 03:31:37.920]  my dad the colloidal silver and iodine as well infowarslife.com or
[03:31:37.920 --> 03:31:43.000]  triple-a-2-5-3-3-1-3-9 and your purchase of the products stands with us stands
[03:31:43.000 --> 03:31:45.960]  with America stands with Trump stands against the globalists and their
[03:31:45.960 --> 03:31:49.520]  satanic pedophile armies and that's who they are and they know we know who they
[03:31:49.520 --> 03:31:55.040]  are and they're coming back against us so we need your support. Frank in North
[03:31:55.040 --> 03:31:59.280]  Carolina thanks for holding so long go ahead. I just have to say something man
[03:31:59.280 --> 03:32:03.720]  it seems like every time I turn on your broadcast you're bragging it just gets
[03:32:03.720 --> 03:32:08.520]  old man. I'm gonna shut you down right now okay we're taking calls about your
[03:32:08.520 --> 03:32:12.640]  nomination do you understand they're having congressional hearings trying to
[03:32:12.640 --> 03:32:17.480]  shut us down do you understand I'm ringing the alarm if that was happening
[03:32:17.480 --> 03:32:21.360]  to anybody else I'd be freaked out I mean what's it gonna take us being shut
[03:32:21.360 --> 03:32:28.880]  down is that what you want Frank? You know what Alex? I put him on pause again. Hey Frank do you understand it's not bragging to say
[03:32:28.880 --> 03:32:32.680]  we are the tip of the spear we're under attack we need your help as much
[03:32:32.680 --> 03:32:36.880]  begging as I do we can barely pay the bills and grow in the face of this I'm
[03:32:36.880 --> 03:32:40.360]  not gonna just stop growth and let them start pushing us backwards you understand
[03:32:40.360 --> 03:32:46.720]  I need your help Frank I need your help Frank. Go to infowarstore.com right now
[03:32:46.720 --> 03:32:51.720]  and help fund the info war. Do you understand I need your help Frank
[03:32:51.720 --> 03:33:02.520]  free press needs your help Frank. You're listening to the Alex Jones show
[03:33:02.520 --> 03:33:28.320]  and welcome back Doug Hagman sitting in for Alex thanks so much Alex I got a
[03:33:28.320 --> 03:33:32.320]  lot of stuff a lot of information to get into we have it we also have a video
[03:33:32.320 --> 03:33:38.680]  clip coming up Brian Stelzer saying the memo is an alternate reality created by
[03:33:38.680 --> 03:33:43.680]  Sean Hannity yeah that's that's the ticket right as John Lovelace used to
[03:33:43.680 --> 03:33:49.760]  say well speaking about the speaking about the memo look the information
[03:33:49.760 --> 03:33:53.920]  that was done that was uncovered by Cheryl Atkinson this weekend and the
[03:33:53.920 --> 03:34:00.040]  information that was uncovered and really provided through a number of
[03:34:00.040 --> 03:34:06.040]  outlets but not enough to really make a difference is so incredibly important and
[03:34:06.040 --> 03:34:10.960]  I want to get into that there is a there is a terrific distinction between
[03:34:10.960 --> 03:34:16.240]  what happened with Carter Page and with what is being said speaking of
[03:34:16.240 --> 03:34:21.480]  alternate realities speed this is not created by Sean Hannity the alternate
[03:34:21.480 --> 03:34:26.320]  reality is one that was created not by Sean Hannity but by the progressives
[03:34:26.320 --> 03:34:31.120]  who wanted to overthrow and continue want to overthrow our country as a matter
[03:34:31.120 --> 03:34:36.600]  of fact can we play that 54-second audio clip Brian Stelzer the memo this
[03:34:36.600 --> 03:34:40.720]  entire memo thing I know it's confusing but it gives the Hannity's of the world
[03:34:40.720 --> 03:34:45.080]  an alternative reality to live in it gives Trump a way to say he's
[03:34:45.080 --> 03:34:49.480]  vindicated even though he's not it lets Trump allies say Mueller's probe is
[03:34:49.480 --> 03:34:54.680]  tainted needs to be shut down it allows them to turn every claim around on its
[03:34:54.680 --> 03:34:58.680]  head collusion yet there was collusion by the Democrats obstruction yeah the
[03:34:58.680 --> 03:35:03.760]  Dems obstructed it's it's like that old childhood schoolyard taunt I'm rubber
[03:35:03.760 --> 03:35:10.440]  your glue whatever you say bounces off of me and sticks to you now the current
[03:35:10.440 --> 03:35:14.240]  in vogue talking point is there is an important investigation going on but
[03:35:14.240 --> 03:35:17.480]  it's not the investigation into Russian interference in the election it's the
[03:35:17.480 --> 03:35:22.520]  investigation into the FBI that's the alternative reality and look this
[03:35:22.520 --> 03:35:26.480]  campaign of confusion is good for Hannity his ratings are way up it's good
[03:35:26.480 --> 03:35:31.920]  for Trump as well but it's bad for the country okay now everyone just heard what
[03:35:31.920 --> 03:35:36.360]  he said right it's undeniable you talk about an alternative reality I'll tell
[03:35:36.360 --> 03:35:39.800]  you what the alternative reality is it's not again it's not from Sean Hannity
[03:35:39.800 --> 03:35:43.920]  it's not from the right it's not from Devin Nunes it's not from the House
[03:35:43.920 --> 03:35:46.880]  Permanent Select Committee on intelligence the alternate reality is
[03:35:46.880 --> 03:35:50.440]  from the progressives attempting to rewrite history and there was something
[03:35:50.440 --> 03:35:54.440]  said which which I thought was so amazing there was a reference to Joe
[03:35:54.440 --> 03:36:01.440]  McCarthy referencing Senator Joe McCarthy not not it was it was in a I think it was
[03:36:01.440 --> 03:36:06.880]  in a tweet by James Comey not too many schools remember this tweet it was it was
[03:36:06.880 --> 03:36:11.080]  this past weekend not too many schools not too many streets renamed after Joe or
[03:36:11.080 --> 03:36:15.760]  named after Joe McCarthy meaning Senator Joe McCarthy from the from the McCarthy
[03:36:15.760 --> 03:36:20.880]  era back in post-World War two now we just you just heard Andre from Russia
[03:36:20.880 --> 03:36:27.040]  very interesting talking about the new Russia or what Russia is today and keep
[03:36:27.040 --> 03:36:31.240]  that in the back of your mind as you consider the Comey reference to Joe
[03:36:31.240 --> 03:36:37.040]  McCarthy now look we have had problems in this country with the KGB with a spy
[03:36:37.040 --> 03:36:44.320]  apparatus the Russian spy apparatus the the old Soviet Russian spy apparatus in
[03:36:44.320 --> 03:36:51.600]  in America Senator Joe McCarthy proved this the House on American Activities
[03:36:51.600 --> 03:36:57.320]  Committee proved this two separate things often conflated much like what is
[03:36:57.320 --> 03:37:02.320]  happening today is conflated but think back in history McCarthy of course
[03:37:02.320 --> 03:37:08.360]  McCarthyism to be accused of McCarthyism if people right now are are using that
[03:37:08.360 --> 03:37:13.840]  term in different areas but but really Joe McCarthy Senator Joe McCarthy was
[03:37:13.840 --> 03:37:17.760]  correct and there's a wonderful book by Diana West that she wrote American
[03:37:17.760 --> 03:37:21.680]  betrayal that lays this all out of course of the known as secrets look you've
[03:37:21.680 --> 03:37:25.320]  got to know history in order to understand the present this is what we're
[03:37:25.320 --> 03:37:29.080]  seeing today we we have seen or what we saw in the past eight years of the
[03:37:29.080 --> 03:37:35.360]  Obama regime I don't even want to call it an administration the infiltration by
[03:37:35.360 --> 03:37:40.960]  hostile foreign countries into our State Department into our government
[03:37:40.960 --> 03:37:47.400]  apparatus multiple agencies that's not alternate reality that's reality period
[03:37:47.400 --> 03:37:53.840]  and that needs to be investigated that has taken form taken shape of the things
[03:37:53.840 --> 03:37:59.200]  like the dossier the 35 page page piece of garbage out there that is reported as
[03:37:59.200 --> 03:38:05.280]  news or as valid absolutely Doug Doug Hagman here hosting the fourth hour just
[03:38:05.280 --> 03:38:08.800]  breaking in we were following this earlier just an hour ago and the stock
[03:38:08.800 --> 03:38:14.720]  market was only down 600 points which is still big it dropped 1600 points today
[03:38:14.720 --> 03:38:21.200]  which is one of the biggest drops ever and then rebounded rebounded 800 points
[03:38:21.200 --> 03:38:26.440]  but it's still 800 points down and Doug you talk about deep state operations you
[03:38:26.440 --> 03:38:29.640]  talk about Goldman Sachs JP Morgan they've been working against the
[03:38:29.640 --> 03:38:33.040]  president even though they've had record profits they openly cheerlead for
[03:38:33.040 --> 03:38:37.040]  communist China this is the type of craziness we've been saying will come
[03:38:37.040 --> 03:38:43.680]  as he and as we stand up against the deep state actors and all the rest of it so
[03:38:43.680 --> 03:38:47.440]  this is that this is an amazing time to be alive right now we're gonna follow
[03:38:47.440 --> 03:38:50.960]  this right through with you the next 30 minutes right into the war room with
[03:38:50.960 --> 03:38:55.880]  Owen shroyer myself and others during all this but again info wars calm news
[03:38:55.880 --> 03:39:02.320]  wars calm the latest coverage 1600s like 1580 something point 1600 of you wrap
[03:39:02.320 --> 03:39:13.440]  it up from from way up there at 26,000 down to you know close to 24,000 this is
[03:39:13.440 --> 03:39:18.400]  a big big deal and again now this is economic warfare undoubtedly against
[03:39:18.400 --> 03:39:21.400]  this president they've been trying as hard as they can there is turn the
[03:39:21.400 --> 03:39:25.680]  country getting thousands of factories back and now this happens you better
[03:39:25.680 --> 03:39:29.320]  believe something this big it's meant to embarrass him on his big economic
