[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[02:48:53.000 --> 02:49:08.000]  I agree. I mean, we are modeled after the British East India Company. They set up a corporation. They had a district in two different spots in India and maybe 10,000 Brits by the middle of it control hundreds of millions of people.
[02:49:08.000 --> 02:49:21.000]  And so that's how they did it. And we're we're under that model, just like the city of London controls the UK, the city of London within London, has it's a wall around it, its own laws, the highest rent in the world.
[02:49:21.000 --> 02:49:31.000]  It might as well be an alien spaceship that lands, you know, a city and then controls everything around it. I mean, it's that's exactly what we're talking about.
[02:49:31.000 --> 02:49:41.000]  And you notice the Vatican operates like that with its Swiss army. You notice Israel has says it's not part of the UN and above the law. And I'm not attacking Israel folks.
[02:49:41.000 --> 02:49:52.000]  I'm just stating this is how these things operate. You notice the UN says it's above the law and has its own sectors at the Hague and the Netherlands and in New York City and who gave them land the Rockefellers.
[02:49:52.000 --> 02:49:56.000]  I mean, yeah, this is hardcore what we're facing.
[02:49:56.000 --> 02:50:07.000]  The other thing to that I've also made me wrong, but it looks like when this all happened that the United States citizens actually became collateralized via the Social Security system.
[02:50:07.000 --> 02:50:15.000]  Yes, we are collateralized and they say that our our work, our names, our children are pledges collateral on the national debt. That's a fact.
[02:50:15.000 --> 02:50:18.000]  I mean, that means that we're slaves. I mean, yes, yes.
[02:50:18.000 --> 02:50:28.000]  In fact, they didn't free black people at the end of Civil War on record. They created a system to make everyone indentured servants who then had privileges.
[02:50:28.000 --> 02:50:30.000]  Everyone became a slave.
[02:50:33.000 --> 02:50:45.000]  It's unbelievable when you really discover all the truth about this. Very good calls, great points. Antonio, Chris, Wayne, I'm going to overdrive to talk to you because in this final official segment, I got a bunch of news. Stay with us.
[02:50:45.000 --> 02:50:56.000]  Hear that. That's the sound of a house being trashed while a gang of thieves ransacked the place and what they don't steal will be destroyed this year.
[02:50:56.000 --> 02:51:06.000]  Resolve not to be the next victim of a break in. Go to fakeTV.com and discover a device that creates the illusion someone inside is watching TV even when you're miles away.
[02:51:06.000 --> 02:51:15.000]  Security is a mindset and fake TV should be part of your security solution. Be vigilant but not fearful. FakeTV.com.
[02:51:15.000 --> 02:51:20.000]  This is an alert. If your business or church is building this year, you're about to pay more than you should.
[02:51:20.000 --> 02:51:24.000]  This could mean thousands of dollars more for your office, retail space, church or warehouse.
[02:51:24.000 --> 02:51:30.000]  A general steel building can save you as much as half the cost and time of similar conventional construction.
[02:51:30.000 --> 02:51:37.000]  And we're offering rebates of up to $20,000 to help you build today. Call General Steel for free information that could save you thousands.
[02:51:37.000 --> 02:51:45.000]  Call 866-91-Steel. 866-91-Steel. That's 866-917-8335.
[02:51:45.000 --> 02:52:01.000]  Extend your life with Extendivite.
[02:52:01.000 --> 02:52:20.000]  And we at Heartdrop 2000 are having our Heart Month sale with prices from six years ago starting now until February 28. You can purchase a four month supply of either capsules or liquid for only $125 including shipping and handling to help you help yourself.
[02:52:20.000 --> 02:52:39.000]  So call now to take advantage of this one time offer. To order, call 1-877-928-8822. That's 1-877-928-8822 or visit our website at heartdrop.com.
[02:52:39.000 --> 02:52:44.000]  Extend your life with Extendivite.
[02:52:44.000 --> 02:52:51.000]  It's no secret that government and big business buy and bulk and get huge discounts not available to the little guy until now.
[02:52:51.000 --> 02:52:57.000]  Introducing a breakthrough crowd buying website where people can join together buy and bulk and get massive discounts on millions of popular products.
[02:52:57.000 --> 02:53:08.000]  It's TogetherSafe.com. TogetherSafe.com. You can save 20, 30 or even 50% off tablets, smartphones, cars, appliances, textbooks, sports equipment, video games and much more all with free delivery.
[02:53:08.000 --> 02:53:14.000]  Check it out. TogetherSafe.com. Visit now and start group buying today at TogetherSafe.com.
[02:53:38.000 --> 02:53:43.000]  That's HarvestWrite.com.
[02:54:08.000 --> 02:54:21.000]  Two years ago we showed JPMorgan memos and letters to their customers as well as Bank of America letters. DrudgeReport.com linked to both of them.
[02:54:21.000 --> 02:54:28.000]  And they had JPMorgan and Bank of America come out and say we're not going to charge for deposits.
[02:54:28.000 --> 02:54:32.000]  And then they had national outlets attack me and say I was a liar. I mean we had copies of it.
[02:54:32.000 --> 02:54:37.000]  Here it is MarketWatch. That's a division of the Wall Street Journal.
[02:54:37.000 --> 02:54:44.000]  JPMorgan to start charging big clients fees on some deposits.
[02:54:44.000 --> 02:54:50.000]  And they're also saying they're going to start charging people at Bank of America and JPMorgan and others.
[02:54:50.000 --> 02:54:54.000]  JPMorgan Chase to transfer money.
[02:54:54.000 --> 02:54:59.000]  So see they've debased the money so much that they're going to charge you to keep your money in the bank.
[02:54:59.000 --> 02:55:07.000]  And yelling the head of the Federal Reserve, the private Federal Reserve says she's going to continue basically QE unlimited and never raise interest rates.
[02:55:07.000 --> 02:55:17.000]  Don't audit me she said and no rate rise ever. That's DrudgeReport.com with links to her statements at CNBC and MarketWatch.
[02:55:17.000 --> 02:55:27.000]  Home ownership hits 20 year low. A nation of renters. I thought they loaned poor people all that money to get houses because they cared about you.
[02:55:27.000 --> 02:55:33.000]  U.S. home ownership rate hits 20 year low. CNS News.
[02:55:33.000 --> 02:55:36.000]  So that's some of the news that we're covering.
[02:55:36.000 --> 02:55:43.000]  Pachari, the guy whose family owns the steel plant, they had the British one shut down the last steel plant in Britain and moved to India that he owns.
[02:55:43.000 --> 02:55:48.000]  AP reports he stepped down as the climate change head over sexual harassment charges.
[02:55:48.000 --> 02:55:52.000]  So I love how their political correctness bites them in the butt.
[02:55:52.000 --> 02:55:59.000]  Greece's leaders face a revolt at home as they try to appease creditors. I thought the new elected group was going to not pay these debts that really aren't theirs most of them.
[02:55:59.000 --> 02:56:02.000]  But New York Times reports they're not moving in that direction now.
[02:56:02.000 --> 02:56:07.000]  Thailand is jailed to on royal insult charge over a play they wrote.
[02:56:07.000 --> 02:56:10.000]  We talked about how Thailand's a free country. No, it's not.
[02:56:10.000 --> 02:56:16.000]  I knew a lady from Thailand. She goes, I know your country's not free. I was at a party years ago. She was arguing with me and I go, no, it's not.
[02:56:16.000 --> 02:56:23.000]  You don't have any free speech. She goes, we free. We have King and Queen. I said, excuse me. She goes, we free. We have King and Queen.
[02:56:23.000 --> 02:56:28.000]  I kept this gleam in her eye like, oh, the royalty, royalty, royalty.
[02:56:28.000 --> 02:56:31.000]  Just want to throw up.
[02:56:31.000 --> 02:56:37.000]  Doesn't matter. What matters is, is Sweden's Misson the world's oldest living cat?
[02:56:37.000 --> 02:56:40.000]  Misson 29, maybe the world's oldest cat, according to Swedish owner.
[02:56:40.000 --> 02:56:42.000]  I bet money they don't vaccinate this cat.
[02:56:42.000 --> 02:56:49.000]  Says aside from suffering from some minor back and kidney problems, there's no reason why the furry friend won't make it to the grand age of 30.
[02:56:49.000 --> 02:56:53.000]  So we're going to end that part of the show with really important news. I'm joking.
[02:56:53.000 --> 02:56:57.000]  Here is the really important news. We've known this forever.
[02:56:57.000 --> 02:57:02.000]  Superbug strikes again, killing two in North Carolina, directly linked to antibiotics, CBS News.
[02:57:02.000 --> 02:57:05.000]  Here's another CBS News article.
[02:57:05.000 --> 02:57:10.000]  Antibiotics on food causing children to have allergic reactions to fruits and vegetables.
[02:57:10.000 --> 02:57:13.000]  Yeah, it's just all over everything.
[02:57:13.000 --> 02:57:18.000]  More children are appearing to have allergic reactions to fruits and vegetables, but this has nothing to do with the food.
[02:57:18.000 --> 02:57:22.000]  Farmers often use antibiotics to keep pests away that have a problem for some children.
[02:57:22.000 --> 02:57:25.000]  And it goes on how it's causing asthma and everything else.
[02:57:25.000 --> 02:57:28.000]  Yeah, but they don't tell you wash your food or get organic.
[02:57:28.000 --> 02:57:31.000]  They just say, here's a bunch of drugs. Oh, your five-year-old daughter's going into puberty.
[02:57:31.000 --> 02:57:33.000]  Here's some hormones to suppress that.
[02:57:33.000 --> 02:57:42.000]  Not, hey, quit drinking, you know, abyssinol A bottles or quit microwaving in plastic trays where it just boils out.
[02:57:42.000 --> 02:57:47.000]  You know, they don't tell men, you know, you have a rectal dysfunction because you've got so much estrogen out of plastics.
[02:57:47.000 --> 02:57:51.000]  They just say, oh, we've got drugs for you. We're being killed by this garbage.
[02:57:51.000 --> 02:57:53.000]  And here's the good news that I mentioned earlier.
[02:57:53.000 --> 02:57:57.000]  A record number of U.S. farmers switching to non-GMO crops in 2015.
[02:57:57.000 --> 02:58:00.000]  Continue to vote with your dollar.
[02:58:00.000 --> 02:58:05.000]  There's rising sentiment among farmers in the U.S. as a conference of factors.
[02:58:05.000 --> 02:58:09.000]  A confluence urges them to produce pro-organic.
[02:58:09.000 --> 02:58:14.000]  From falling GMO grain prices to rising tide of public distress of genetically modified ingredients.
[02:58:14.000 --> 02:58:18.000]  Failing GMO traits, higher GMO seed prices.
[02:58:18.000 --> 02:58:24.000]  And then it goes into the study about how record numbers are going into non-GMO organic.
[02:58:24.000 --> 02:58:26.000]  Very exciting. We're going to overdrive for five minutes.
[02:58:26.000 --> 02:58:33.000]  Say, bottle, most of the stations. We're going to go to overdrive internet only and take some phone calls from Antonio and others.
[02:58:56.000 --> 02:59:09.000]  The government's Department of Homeland Security is buying up loads of ammo.
[02:59:09.000 --> 02:59:13.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:59:13.000 --> 02:59:15.000]  Can you put two and two together?
[02:59:15.000 --> 02:59:20.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds.
[02:59:20.000 --> 02:59:26.000]  It's reasonably priced and fully legal, but for how long? Go to infidelbodyarmor.com.
[02:59:26.000 --> 02:59:30.000]  Spelled I-N-F-I-D-E-L Body Armor.com.
[02:59:30.000 --> 02:59:34.000]  Infidel Body Armor just won't quit.
[02:59:37.000 --> 02:59:40.000]  You're listening to the Alex Jones Show.
[02:59:40.000 --> 02:59:54.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:59:54.000 --> 02:59:58.000]  It's Alex Jones and the GCN Radio Network.
[02:59:58.000 --> 03:00:12.000]  Antonio in FEMA Region 9, formerly California under UN occupation.
[03:00:12.000 --> 03:00:16.000]  The UN here in Austin is putting an open borders conference on that ends today.
[03:00:16.000 --> 03:00:18.000]  We're living under UN rule.
[03:00:18.000 --> 03:00:22.000]  Antonio from UN Command Base 9, you're on the air. Go ahead.
[03:00:22.000 --> 03:00:26.000]  From Region 9, you're in the Hunger Game. Go ahead.
[03:00:26.000 --> 03:00:30.000]  Yeah. How's it going, Alex? It's a pleasure to speak to you, man. I really appreciate what you do.
[03:00:30.000 --> 03:00:32.000]  Appreciate you, brother. What's on your mind?
