[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[02:47:53.000 --> 02:47:59.000]  So we knew full well if they want to go full bore, you know, to the wall, then we have no other choice.
[02:48:00.000 --> 02:48:07.000]  Somebody had to stand up to this country and make the move from the middle class. Somebody that had some substance.
[02:48:08.000 --> 02:48:10.000]  So you're ready to go down like Travis for a Remember the Alamo cry?
[02:48:11.000 --> 02:48:13.000]  That's what we call this place, the Little Alamo.
[02:48:14.000 --> 02:48:17.000]  Well, you see, this is what the enemy can understand. They're so afraid to lose their lives.
[02:48:18.000 --> 02:48:23.000]  They're so afraid of even people looking down on them, not having their little trinkets and segments of power.
[02:48:24.000 --> 02:48:29.000]  And they don't understand that that's the whole point here. We're putting ourselves in their way.
[02:48:30.000 --> 02:48:32.000]  We're going to make them act like tyrants. We're going to show everybody who they are.
[02:48:33.000 --> 02:48:36.000]  And we're winning more and more ground every day, and they're starting to figure that out.
[02:48:37.000 --> 02:48:40.000]  And they may do like what they've done to other people that have stood up like you. They may just leave you alone.
[02:48:40.000 --> 02:48:44.000]  Well, they can do whatever they want to do, but I'm not going to leave them alone.
[02:48:45.000 --> 02:48:50.000]  I've got some huge lawsuits here. And as a matter of fact...
[02:48:51.000 --> 02:48:53.000]  But, Sir Ed, they don't...
[02:48:54.000 --> 02:48:55.000]  They don't care.
[02:48:56.000 --> 02:48:57.000]  The courts are frauds, you know.
[02:48:58.000 --> 02:49:03.000]  Why not? But that doesn't make any difference. That's why I can't tell you in law, through proper litigation, how we're going to approach it.
[02:49:04.000 --> 02:49:08.000]  But just watch what we do through proper litigation. Lawful, proper litigation.
[02:49:08.000 --> 02:49:18.000]  Well, it's the court of public opinion. Waco woke this country up, and the feds carried out on the same date to try to mask that memory that it was causing a revolution.
[02:49:19.000 --> 02:49:27.000]  And if they kill you and they kill a bunch of other people, which they're going to do to some, it's only going to backfire on them.
[02:49:28.000 --> 02:49:30.000]  Yeah, big time. Waco is what woke me up, Alex.
[02:49:31.000 --> 02:49:33.000]  Yeah, woke me up too.
[02:49:33.000 --> 02:49:39.000]  Yeah, I really did. So, enough is enough. You know, you're right. I'm mad at selling. I'm not going to take it anymore. You're right.
[02:49:40.000 --> 02:49:47.000]  So, this is where we stand right now. We're here every day. I just bought the driveway. We had a bunch of folks over over the weekend.
[02:49:48.000 --> 02:49:53.000]  We had a nice wedding party with a bunch of little babies and kids and stuff. It was a good time. It's nice weather today.
[02:49:54.000 --> 02:49:58.000]  So, they're cleaning off the ice right now. Maybe have a little ice skating party, you know, tomorrow or the next day.
[02:49:59.000 --> 02:50:02.000]  There's a lot of people at your place right now.
[02:50:03.000 --> 02:50:08.000]  There's a lot. But, you know, we're getting ready for the weekend group, you know.
[02:50:09.000 --> 02:50:12.000]  The weekend group, there's more people come over. The families come over and stuff with their kids.
[02:50:13.000 --> 02:50:16.000]  So, there's folks standing there with their children at the Little Alamo with you?
[02:50:17.000 --> 02:50:20.000]  Not at the moment. Just some others are standing here with me. But, yeah, they come over.
[02:50:21.000 --> 02:50:27.000]  Oh, yeah, one couple I was amazed. I was almost in tears. He brought in a one-year-old, a three-year-old and a five-year-old with his wife and on himself.
[02:50:27.000 --> 02:50:33.000]  They stayed the whole weekend here cooking and, you know, doing other things for everybody. It was really great people.
[02:50:34.000 --> 02:50:38.000]  Lots of them. Lots and lots of them. They never humbled me, Alex.
[02:50:39.000 --> 02:50:45.000]  We'll be ready for a man and a couple men and women, but you'll be able to tell them the evil in their eyes, the fear in their eyes.
[02:50:46.000 --> 02:50:49.000]  Get ready for them to try to infiltrate with undercover cops on you.
[02:50:49.000 --> 02:50:54.000]  We already threw one of them out of here the other night in the night before last and he's already caused us all kinds of us.
[02:50:55.000 --> 02:51:03.000]  He's one of those guys by the name of David Ridley, it looked like. And he works for Fox TV in Boston. We found that out.
[02:51:04.000 --> 02:51:07.000]  And I asked everybody, nobody used to go to the second floor. All of a sudden, it just happened.
[02:51:08.000 --> 02:51:11.000]  He's coming through the hallway and then he is up on the second floor. I said, what are you doing up here?
[02:51:12.000 --> 02:51:16.000]  He said, I'm looking for bleach. He said, so I can wash the dishes. I said, what?
[02:51:16.000 --> 02:51:21.000]  Who washes the dishes with bleach? A toxic chemical? Not in this office. Yeah, yeah, yeah. Okay.
[02:51:22.000 --> 02:51:25.000]  Fox News is a central intelligence agency, so you really got to watch them.
[02:51:26.000 --> 02:51:31.000]  The final segment will try to jam in a call or two for our guest at the Little Alamo in New Hampshire.
[02:51:36.000 --> 02:51:41.000]  It's here after a year in production and traveling to distant lands. My new film Terror Storm is complete.
[02:51:41.000 --> 02:51:49.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:51:50.000 --> 02:51:57.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British Intelligence.
[02:51:58.000 --> 02:52:09.000]  Terror Storm chronicles the lies that took us to war in Iran. The White House broke it to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:52:09.000 --> 02:52:15.000]  Terror Storm is the definitive guide to the history of government sponsored terrorism. It's an anthology of government crimes.
[02:52:16.000 --> 02:52:19.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:52:20.000 --> 02:52:32.000]  Get your copy today at infowars.com or prisonplanet.com or by calling toll free 1-888-253-3139 or watch it right now online at prisonplanet.tv.
[02:52:33.000 --> 02:52:42.000]  Terrorism, terrorism, chemical attacks, dirty bombs, fallout, biological attacks, hand threats, and to top it all off, duct tape and plastic. Alarming words for our time.
[02:52:43.000 --> 02:52:45.000]  But how do you protect your family during such a crisis?
[02:52:46.000 --> 02:53:00.000]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the US government.
[02:53:00.000 --> 02:53:08.000]  Anyone can follow the simple instructions. It's presented by a housewife as they walk you step by step through the process of preparing your home as a shelter.
[02:53:09.000 --> 02:53:13.000]  If you're not the type to wait until it's too late, then you need the video sheltering in place.
[02:53:14.000 --> 02:53:22.000]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[02:53:22.000 --> 02:53:30.000]  And tell them Alex Jones sent you a 888-803-4438 or order on the web at perkywater.com.
[02:53:32.000 --> 02:53:38.000]  Hey ladies, if you love to shop, then visit herbalhealer.com to browse through their online catalog.
[02:53:39.000 --> 02:53:43.000]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[02:53:44.000 --> 02:53:51.000]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health and your health is priceless.
[02:53:52.000 --> 02:53:59.000]  While online, sign up to receive the Herbal Healer newsletter, which will keep you informed on the latest and greatest products in education.
[02:54:00.000 --> 02:54:11.000]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[02:54:12.000 --> 02:54:17.000]  Want to learn more for yourself and to help others in the future? Join the Herbal Healer Correspondence Program.
[02:54:18.000 --> 02:54:20.000]  You can work at your own pace from the comfort of your own home.
[02:54:20.000 --> 02:54:31.000]  This accredited, exciting program can help you gain skills and knowledge. Can you believe you can find all this at one stop? HerbalHealer.com. Celebrating 18 years of dedication.
[02:54:36.000 --> 02:54:41.000]  I hadn't wanted to talk about this until we were sure of it, and I'm just going to leave it at that.
[02:54:41.000 --> 02:54:54.000]  We have an ultra-massive guest scheduled tomorrow on the order or even greater than Charlie Sheen.
[02:54:55.000 --> 02:55:04.000]  That's all I'm going to tell you. Concerns 9-11, and it's set. We'll see if it happens.
[02:55:05.000 --> 02:55:10.000]  Going back to Ed Brown. Ed?
[02:55:11.000 --> 02:55:12.000]  Yes, sir.
[02:55:13.000 --> 02:55:21.000]  Let's take two final calls here. That's okay. Dan in Ohio and Anthony in PA. Dan, go ahead.
[02:55:22.000 --> 02:55:23.000]  Actually, this is Dave.
[02:55:24.000 --> 02:55:25.000]  Okay, Dave. We've got to move quick.
[02:55:25.000 --> 02:55:37.000]  Sir, I just wanted to say that I think that the core to this issue is the essential thing that we're fighting against, this control by banks and fiat currency.
[02:55:38.000 --> 02:55:40.000]  Yeah, we don't have a real court system. It's totally corrupt.
[02:55:41.000 --> 02:55:50.000]  Yeah, well, they bought everything and they own everything. I hope Mr. Brown can fight them and win. I think that you guys rule. Thanks.
[02:55:51.000 --> 02:55:52.000]  Thank you, sir. I appreciate the call.
[02:55:53.000 --> 02:55:54.000]  Anthony in Pennsylvania, go ahead.
[02:55:55.000 --> 02:56:01.000]  Hi, Alex. My name is Anthony from Pennsylvania. I'm a 22-year-old college student. I major in regional planning.
[02:56:02.000 --> 02:56:12.000]  And this week was the first week of classes and my teacher, the first sentence he said was that some of you may think regional planning is communist.
[02:56:13.000 --> 02:56:20.000]  And the second sentence he said was we're friends with them now. And I was utterly shocked, Alex.
[02:56:20.000 --> 02:56:29.000]  Yeah, regional planning is total control grid, shutting down major roads, putting us in compact cities, thumb scanning to travel, total face scanners everywhere.
[02:56:30.000 --> 02:56:34.000]  And you've got all the liberals thinking that it's a commie takeover. It's the banker takeover.
[02:56:35.000 --> 02:56:43.000]  And a comment for Ed. There's a wireless security camera. It's about $80 or night vision. Put those around. It should work.
[02:56:44.000 --> 02:56:49.000]  And I had a problem with the sheriff of my town trying to get a concealed weapons permit.
[02:56:50.000 --> 02:56:57.000]  I passed the security check and before he handed me a little piece of plastic, he goes, I bet you don't have a girlfriend, do you?
[02:56:58.000 --> 02:56:59.000]  And I was just shocked.
[02:57:00.000 --> 02:57:04.000]  Yeah, no, it's arrogant thug scum who hate us having guns. They want the monopoly of power.
[02:57:05.000 --> 02:57:09.000]  And so he makes an insult about your manhood because you wanted a gun. I appreciate your call.
[02:57:10.000 --> 02:57:14.000]  Ed Brown, in closing, I want to salute you for all you've done. Anything else you'd like to add?
[02:57:15.000 --> 02:57:18.000]  No. All good men just come to the aid of their country.
[02:57:19.000 --> 02:57:20.000]  Thank you.
[02:57:21.000 --> 02:57:27.000]  Thank you, sir. What are you going to do? I mean, you said that they want a war they're going to have on. What are you going to do if that SWAT team comes down your front lawn?
[02:57:28.000 --> 02:57:33.000]  I guess that's my statement, Alex. I've got to protect and defend my property.
[02:57:37.000 --> 02:57:40.000]  His phone just dropped. That was interesting right there at the end.
[02:57:41.000 --> 02:57:42.000]  You almost lost me. I hit the button accidentally.
[02:57:43.000 --> 02:57:43.000]  Okay, you're back.
[02:57:43.000 --> 02:57:44.000]  Okay, you're back.
[02:57:45.000 --> 02:57:49.000]  That's it. That's what I have to do. Protect and defend, that's it.
[02:57:50.000 --> 02:57:51.000]  And the sentencing is next month?
[02:57:52.000 --> 02:57:56.000]  April something. Right around the tax time.
