[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[03:38:59.960 --> 03:39:03.960]  plus. Brain force plus. Oh my God, they're going to get all the script. Oh my God, they're
[03:39:03.960 --> 03:39:07.960]  just going to see the script and then we'll add it together. Why is that different then?
[03:39:07.960 --> 03:39:18.960]  Oh, I had a thing on my head. Oh, man. Eat your brain force. Eat your brain force. Eat
[03:39:18.960 --> 03:39:24.960]  your brain force. Come on. I think the real Alex Jones will be a little more respectful
[03:39:24.960 --> 03:39:36.960]  of me today. Eat your brain force. Oh, wow. They taste like Hoxter. Oh, that's good. Oh,
[03:39:36.960 --> 03:39:44.960]  brain force. Brain force plus. They're scared of you funding us. Grift. Oh, big word. Why
[03:39:44.960 --> 03:39:50.960]  won't you take it? You know, it's funny. I was raised not to take pills that strangers
[03:39:50.960 --> 03:39:54.960]  on the street gave. I'm a stranger, you know what I mean? I don't know if you're the real
[03:39:54.960 --> 03:39:57.960]  Alex Jones. But you have Bezos that can sell them. You have Bezos that whole foods can
[03:39:57.960 --> 03:40:00.960]  sell them because this is actually basically sold at Whole Foods. But this is actually for
[03:40:00.960 --> 03:40:04.960]  more money. But here's my question. Hey, right now I'm selling 1995 in FullWareStore.com.
[03:40:04.960 --> 03:40:10.960]  See how much are this by, folks? Brain force plus, the quality. Sir, what responsibility
[03:40:10.960 --> 03:40:15.960]  do you feel to check the information put out in the world before you put it out? Well,
[03:40:15.960 --> 03:40:19.960]  like seeing it online about WMDs. No, I'm not talking about seeing it. We have a better
[03:40:19.960 --> 03:40:23.960]  record of seeing it. We do it. We work hard. So what ethical bar do you need to clear
[03:40:23.960 --> 03:40:28.960]  before you put information out? We question big events when they have the appearance of
[03:40:28.960 --> 03:40:32.960]  the media jumping on it with a big PR push. That's not the question. What's the ethical
[03:40:32.960 --> 03:40:35.960]  bar you need to clear before you put information out? I mean, the ethical bar is we do
[03:40:35.960 --> 03:40:39.960]  research. There's fast moving news events that unfold. And so just like any other media
[03:40:39.960 --> 03:40:43.960]  organization, we look at it. That's not an answer. What's the bar you have to clear? Walk
[03:40:43.960 --> 03:40:47.960]  me through your fact-checking process. Well, the fact-checking process is we specifically
[03:40:47.960 --> 03:40:51.960]  let's use that there is a photo you put up of a man who was not the person shooting
[03:40:51.960 --> 03:40:56.960]  the U-25. We had hundreds of other sites put up. And we didn't publish his name. How did
[03:40:56.960 --> 03:40:59.960]  you fact-check that? Mainstream media did. What was your process for fact-checking? We said,
[03:40:59.960 --> 03:41:03.960]  this is posted on one of the Facebook pages that's associated with him. We don't know
[03:41:03.960 --> 03:41:06.960]  about him. And other people did that as well. Okay, so that's why my lawyers said this
[03:41:06.960 --> 03:41:10.960]  suit will go nowhere. It's also you have that prop to hold that up to make him look like
[03:41:10.960 --> 03:41:13.960]  I'm guilty. Are the guys here? You felt comfortable putting that kid's information on Facebook
[03:41:13.960 --> 03:41:18.960]  and getting it back into the world. So can I? Oh, is there traffic? Can you see?
[03:41:18.960 --> 03:41:22.960]  Oh my God, you're so smart. God, you're so intellectual. All the soy boys. You're like a
[03:41:22.960 --> 03:41:26.960]  soy boy, God. Thank you so much. So just give me one more time. What's the definition of the person
[03:41:26.960 --> 03:41:30.960]  that you mentioned? Listen, we got to go to a meeting. I really appreciate you guys. Can I
[03:41:30.960 --> 03:41:34.960]  come to this four o'clock press conference? We'll see. We don't really have fake news
[03:41:34.960 --> 03:41:38.960]  there. But we'll see if you'll take your brand force. You can come and you take your
[03:41:38.960 --> 03:41:42.960]  brand force. Why wasn't I allowed? Why wasn't I allowed?
[03:41:42.960 --> 03:41:48.960]  If you RSVP, didn't they RSVP? I told them, I told them we were
[03:41:48.960 --> 03:41:52.960]  had too many people and that they had, we had another event at four to six.
[03:41:52.960 --> 03:41:56.960]  So we invited you to the next event. I didn't let you in. I didn't say we were so excited to have them here.
[03:41:56.960 --> 03:42:06.960]  Hashtag so excited. If you were the real Alex Jones, I would eat that pill.
[03:42:06.960 --> 03:42:12.960]  But I'm just not sure you're the real Alex Jones. I'm not sure like an animatronic robot from
[03:42:12.960 --> 03:42:16.960]  Chuck E. Cheese. I'm pretty sure I'm not an animatronic robot. I think you look like the rat from Chuck
[03:42:16.960 --> 03:42:24.960]  E. Cheese. Alex Jones is a raging bull, viral, masculine, bull, bull, bull, bull. Alex Jones,
[03:42:24.960 --> 03:42:30.960]  Alex Jones, Alex Jones, masculine, bull, bull, Alex Jones, Alex Jones, masculine, bull.
[03:42:30.960 --> 03:42:40.960]  If you are receiving this transmission, you are in the resistance.
[03:43:00.960 --> 03:43:10.960]  If you are receiving this transmission, you are in the resistance.
[03:43:10.960 --> 03:43:20.960]  If you are receiving this transmission, you are in the resistance.
[03:43:20.960 --> 03:43:48.960]  If you are receiving this transmission, you are in the resistance.
[03:43:48.960 --> 03:44:08.960]  If you are receiving this transmission, you are in the resistance.
[03:44:08.960 --> 03:44:36.960]  If you are receiving this transmission, you are in the resistance.
[03:44:36.960 --> 03:44:56.960]  If you are receiving this transmission, you are in the resistance.
[03:44:56.960 --> 03:45:16.960]  If you are receiving this transmission, you are in the resistance.
[03:45:16.960 --> 03:45:44.960]  If you are receiving this transmission, you are in the resistance.
[03:45:44.960 --> 03:46:12.960]  If you are receiving this transmission, you are in the resistance.
[03:46:12.960 --> 03:46:40.960]  If you are receiving this transmission, you are in the resistance.
[03:46:40.960 --> 03:47:00.960]  If you are receiving this transmission, you are in the resistance.
[03:47:00.960 --> 03:47:12.960]  Hi, I'm Millie Weaver.
[03:47:12.960 --> 03:47:28.960]  I'm a reporter for InfoWars and the reason I brought this microphone up here to show you guys is there have been so many times that I've been accosted, spit at, had urine thrown on me by rogue people,
[03:47:28.960 --> 03:47:40.960]  especially Antifa groups, radical communists, leftist groups, because of the lies and propaganda that the mainstream media spews about InfoWars and Alex Jones.
[03:47:40.960 --> 03:47:44.960]  So I get attacked because of these lies, physically attacked.
[03:47:44.960 --> 03:47:52.960]  Now, a lot of this lawsuit that's been put against Alex Jones and InfoWars surrounds Charlottesville.
[03:47:52.960 --> 03:47:59.960]  I was there in Charlottesville. I was the InfoWars reporter on the ground reporting to you guys what happened.
[03:47:59.960 --> 03:48:16.960]  We all know that the mainstream media afterward decided to spin a bias one-sided storyline that you had a bunch of rogue KKK extremists come and attack a bunch of peaceful protesters out there.
[03:48:16.960 --> 03:48:30.960]  What I can tell you is that because I had the ability to live stream and to broadcast on social media, which those broadcasts went viral, I was able to show what exactly actually happened out there in Charlottesville.
[03:48:30.960 --> 03:48:33.960]  The truth spoke for itself.
[03:48:33.960 --> 03:48:51.960]  Okay, there was violence on both sides, but I will say the overwhelming majority of the violence was coming from the Antifa leftist anti-protestors, the ones protesting people who were out there trying to stand up for protecting a statue.
[03:48:51.960 --> 03:49:06.960]  And yes, there were rogue elements on both sides, but one side came with pepper spray, tear gas canisters, ice chests full of water balloons with chemicals and urine and feces in them to throw,
[03:49:06.960 --> 03:49:18.960]  and that was depicted and caught through my ability to live stream, broadcast on Facebook, on YouTube, on these social media sites that they want to remove us from.
[03:49:18.960 --> 03:49:29.960]  I got the truth out there with Charlottesville, while at the same time, myself and my cameraman especially were pepper spray in the face for being info wars.
[03:49:29.960 --> 03:49:40.960]  I made it clear to both the Antifa and some of the radical elements on the alternative right side that we did not agree with any of their positions.
[03:49:40.960 --> 03:49:48.960]  We do not agree with communism, we do not agree with fascism, but what I told them was, I do agree with your right to free speech.
[03:49:48.960 --> 03:49:52.960]  Both of you guys have a right to be out here and peacefully protest.
[03:49:52.960 --> 03:50:00.960]  That didn't stop us from being pepper sprayed and attacked because of the lies and the propaganda that the mainstream media spreads about us and info wars.
[03:50:00.960 --> 03:50:19.960]  That's why it's so important that we protect, repress, guerrilla journalists, all of us out here today who are in this room should understand and know the importance of our ability to go out there and tell the truth when sometimes the moral integrity of mainstream media is lapsed.
[03:50:19.960 --> 03:50:23.960]  Thank you very much. I appreciate the honor to speak here today. Thanks, Alex.
[03:50:23.960 --> 03:50:38.960]  Hi, my name is Suzanne Monk. I'm a host of Trump Talk US. I want to thank you first of all for doing this. My question to my viewers is, is there any class action lawsuits that are being put against the banners, against the people who are censoring us?
[03:50:38.960 --> 03:50:45.960]  This is one of our greatest concerns that we find a way to actually be able to fight back. They're suing us. Is there any way we can sue them?
[03:50:45.960 --> 03:51:01.960]  Well, you know, I think as this lawsuit illustrates, so many states have these anti slap statutes that allow somebody who's being victimized by an abusive lawsuit to push back and say you don't get to go to the courts to take action against people just because you disagree with their protected speech.
[03:51:01.960 --> 03:51:17.960]  You can force people filing that kind of abusive lawsuit to pay the attorney's fees, to be sanctioned. So, I mean, that's really where the legal ballgame is, is in fighting these suits one by one and making it clear to people that you don't get to go to court to fight over politics, to fight over beliefs.
[03:51:17.960 --> 03:51:20.960]  That's just not what it's for.
[03:51:20.960 --> 03:51:39.960]  What confidence do you have in the courts? I raised that question. My name's Cliff Kincaid with America Survival TV because we just reported on a group of Obama judges in the Fourth Circuit,
[03:51:39.960 --> 03:51:55.960]  ruling that a war memorial in Bladensburg, Maryland has to be destroyed. It's been sitting for 100 years because it includes a Christian cross. This is what the courts are about now. You know it, I know it.
[03:51:55.960 --> 03:52:09.960]  So, what confidence do you have in the courts that they're going to rule on the basis of law and the Constitution and not rule against you and Alex Jones because they don't like you?
[03:52:09.960 --> 03:52:17.960]  You know, our federal courts, it's a wonderful court system. There are some bad eggs here and there. There are judges who sometimes issue questionable rulings.
[03:52:17.960 --> 03:52:29.960]  But at the same time, it's a system that works pretty well. There's a lot of variation between the states. But I think over and all, at this point, with our constitutional rights, you generally get a fair shake, not always, but generally.
[03:52:29.960 --> 03:52:47.960]  Mr. Grossman, Jason Goodman from Crowd Source the Truth. The same individual who spoke to Alex about Martian slave children has brought a lawsuit against Crowd Source the Truth after we introduced evidence that he's engaged in felony charity fraud.
[03:52:47.960 --> 03:53:01.960]  Is there any way that I can bring that to the attention of authorities and have him brought up on criminal charges? Not as a punitive step against the lawsuit, but it seems like the lawsuit is an effort on his part to suppress that information and silence me.
[03:53:01.960 --> 03:53:10.960]  I can't really comment on that because I'm not familiar with the facts of the matter. Obviously, if you have an attorney representing you in your lawsuit, you should probably speak with them about that.
