[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[03:42:52.840 --> 03:42:59.840]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, Infowars Life has the formula for you.
[03:42:59.840 --> 03:43:08.840]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA and omega-3s found in our high quality, ultra-pure krill oil concentrate.
[03:43:08.840 --> 03:43:18.840]  Containing powerful antioxidants such as athazanthin and omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[03:43:18.840 --> 03:43:25.840]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health,
[03:43:25.840 --> 03:43:30.840]  aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[03:43:30.840 --> 03:43:40.840]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high quality krill oil concentrate.
[03:43:40.840 --> 03:43:46.840]  Paired with our ultimate fish oil or used separately, it's time to see what krill oil can do for you with Ultimate Krill Oil.
[03:43:46.840 --> 03:43:55.840]  Now available at InfowarsStore.com.
[03:44:17.840 --> 03:44:21.840]  Remove 220 plus contaminants from your water.
[03:44:21.840 --> 03:44:31.840]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[03:44:31.840 --> 03:44:38.840]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[03:44:38.840 --> 03:44:46.840]  Head to InfowarsStore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems,
[03:44:46.840 --> 03:45:12.840]  it's time to go big and go home with the pro pure whole house filtration system today.
[03:45:12.840 --> 03:45:17.840]  You're definitely right, there was the Patriot voucher. I guess it is true, truth is preaching in the empire of lies.
[03:45:17.840 --> 03:45:22.840]  I want to thank you personally, I have Passy Modus Thyroiditis, anyone who knows like a hypothyroidism condition.
[03:45:22.840 --> 03:45:26.840]  I currently, I mean the product, I can just name it off real quick, Brainforce X2, Millennium.
[03:45:26.840 --> 03:45:28.840]  The MicroZX Vitamin Mineral Fugitive Prospectar.
[03:45:28.840 --> 03:45:31.840]  The Coffee, the Chaga Mushroom Blend, Supermal Vitality Alpha Male.
[03:45:31.840 --> 03:45:33.840]  Let me tell you, it's given me my life back.
[03:45:33.840 --> 03:45:35.840]  Just taking the thyroid medicine alone is not enough.
[03:45:35.840 --> 03:45:38.840]  Just having these products has made my life just back to normal.
[03:45:38.840 --> 03:45:40.840]  I'm working harder, I'm harder.
[03:45:40.840 --> 03:45:43.840]  I feel like I'm, I'm just, it's unbelievable, your products are amazing.
[03:45:43.840 --> 03:45:47.840]  They are the highest quality you're going to get out there and that's why we love them.
[03:45:47.840 --> 03:45:48.840]  So thank you for the support.
[03:45:48.840 --> 03:45:51.840]  God bless you, InfowarsStore.com. Take care, Travis.
[03:45:57.840 --> 03:46:03.840]  Years ago, Infowars Life created the powerful MicroZX formula to help you combat internal yeast.
[03:46:03.840 --> 03:46:06.840]  As the years went on and more toxins were pumped into the environment,
[03:46:06.840 --> 03:46:10.840]  our team knew we had to create a bigger and better formula to help support your gut health.
[03:46:10.840 --> 03:46:15.840]  MicroZX Plus is the result of the search for that formula, a unique natural formula
[03:46:15.840 --> 03:46:19.840]  designed to support the body's natural cleansing of yeast and fungal organisms.
[03:46:19.840 --> 03:46:22.840]  There's no better product to help your body fight back.
[03:46:22.840 --> 03:46:25.840]  MicroZX Plus helps support a healthy microbial balance in the body,
[03:46:25.840 --> 03:46:31.840]  supports your digestive tract and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[03:46:31.840 --> 03:46:35.840]  Powered by an impressive list of ingredients including grapefruit seed extract,
[03:46:35.840 --> 03:46:37.840]  microdarko bark and grape seed extract,
[03:46:37.840 --> 03:46:43.840]  our formula is fueled by ingredients that stood the test of time as powerful microbalancing properties.
[03:46:43.840 --> 03:46:48.840]  Pick up a bottle of the new and improved MicroZX Plus today at InfowarsLife.com.
[03:46:48.840 --> 03:47:06.840]  You're listening to The Alex Jones Show.
[03:47:06.840 --> 03:47:15.840]  Discover trends and global developments years before they happen right here on The Alex Jones Show.
[03:47:15.840 --> 03:47:21.840]  And now, your host, Roger Stone.
[03:47:21.840 --> 03:47:26.840]  So Randy Kredico is taking his dog to Robert Mueller's grand jury.
[03:47:26.840 --> 03:47:29.840]  But the dog is not a registered service dog in New York State.
[03:47:29.840 --> 03:47:31.840]  What's this all about?
[03:47:31.840 --> 03:47:36.840]  Well, Kredico plans to tell the grand jury that I threatened to take away his dog.
[03:47:36.840 --> 03:47:40.840]  How cruel, how heartless, with the prop dog right there.
[03:47:40.840 --> 03:47:46.840]  What he won't mention is that I did sell out of concern that because of Kredico's substance abuse and his indigence,
[03:47:46.840 --> 03:47:50.840]  the dog is receiving neither food nor medical attention.
[03:47:50.840 --> 03:47:55.840]  I stand second to no one in terms of my record of fighting for animal welfare.
[03:47:55.840 --> 03:47:59.840]  This will not be the first time Mr. Mueller has misled the grand jury.
[03:47:59.840 --> 03:48:04.840]  The Stone Cold Truth stings.
[03:48:04.840 --> 03:48:11.840]  I really wanted to put that up so people could see my dog, Pui 2.0, one of two Yorkshire Terriers,
[03:48:11.840 --> 03:48:19.840]  along with his sister, Mimi, who are my comfort dogs and a great comfort to my wife.
[03:48:19.840 --> 03:48:27.840]  Now, as I said in the last segment, it's the Infowars.com store that is the lifeblood of what we do here at Infowars.
[03:48:27.840 --> 03:48:33.840]  You see, we are not subsidized by any fat cat conservative billionaires.
[03:48:33.840 --> 03:48:38.840]  We are not subsidized by any George Soros types.
[03:48:38.840 --> 03:48:44.840]  Our sustenance comes completely and totally from the individual Info Warrior audience.
[03:48:44.840 --> 03:48:52.840]  You are loyal patrons who support us by buying our great products, the nutraceuticals, the books, the t-shirts,
[03:48:52.840 --> 03:48:56.840]  and the other great products available at the Infowars.com store.
[03:48:56.840 --> 03:49:04.840]  This is without any question the very best place to get a copy of my new book, Stone's Rules.
[03:49:04.840 --> 03:49:12.840]  And here is a special officer offer that is available only to those who buy it at the Infowars.com store,
[03:49:12.840 --> 03:49:18.840]  rather than say Barnes & Noble or Amazon or your local bookstore.
[03:49:18.840 --> 03:49:25.840]  It's available in those places, but here's an offer that is available only to Infowariers who buy it on the site.
[03:49:25.840 --> 03:49:32.840]  If you buy Stone's Rules, my latest book, which is kind of like Alinsky's Rules for Radicals,
[03:49:32.840 --> 03:49:36.840]  meant for conservatives or people who are launching a career,
[03:49:36.840 --> 03:49:44.840]  whether it's in business or politics or media or tech or fashion or agriculture, for that matter.
[03:49:44.840 --> 03:49:54.840]  These are my Rules of the Road, kind of like Sun Tzu's The Art of War or Nicolo Machiavelli's The Prince.
[03:49:54.840 --> 03:50:03.840]  These are the maxims and guidelines I've learned in a 40-year career in the American political arena.
[03:50:03.840 --> 03:50:10.840]  But if you buy Stone's Rules today at the Infowars.com store and you mail it to me,
[03:50:10.840 --> 03:50:15.840]  I will gladly personalize it, sign it, and mail it back to you.
[03:50:15.840 --> 03:50:18.840]  No, I'm not using a signature machine, folks.
[03:50:18.840 --> 03:50:22.840]  It'll really be my signature with a personalization.
[03:50:22.840 --> 03:50:29.840]  Buy your book at the Infowars.com store, mail it to me at the following address with your receipt,
[03:50:29.840 --> 03:50:31.840]  proving that you bought it from Infowars.
[03:50:31.840 --> 03:50:46.840]  There's the address, P.O. Box, Roger Stone, 1007 North Federal Highway, Department 166, Fort Lauderdale, Florida, 33304.
[03:50:46.840 --> 03:50:48.840]  Leave it up there for a second.
[03:50:48.840 --> 03:50:56.840]  Buy your book, Stone's Rules, this offer only for Infowars and people who buy it there and mail it to me at that address.
[03:50:56.840 --> 03:51:01.840]  It will be my honor to sign it, personalize it, and mail it back to you.
[03:51:01.840 --> 03:51:09.840]  I've signed and turned out over 400 books so far from loyal Infowars who know that by buying the book at Infowars,
[03:51:09.840 --> 03:51:15.840]  rather than buying it at your local bookstore, you're helping to fortify the fight for freedom.
[03:51:15.840 --> 03:51:22.840]  You're helping to fuel what we do here at Infowars, which is straight from the shoulder investigative journalism.
[03:51:22.840 --> 03:51:31.840]  You see, because of the Infowars store, there's no one telling Alex Jones and the great people at Infowars what we can and cannot report,
[03:51:31.840 --> 03:51:36.840]  what we can and cannot say, what we can and cannot educate people about.
[03:51:36.840 --> 03:51:44.840]  And that's what provides the terrific spirit and the entire rationale that makes us the cutting edge, the tip of the spear.
[03:51:44.840 --> 03:51:48.840]  We need your help now. Please go to the Infowars store.
[03:51:48.840 --> 03:51:55.840]  Alex Jones faces the greatest threat to his broadcasting history in his entire life.
[03:51:55.840 --> 03:52:04.840]  Not only is he facing down multi-million dollar bogus lawsuits, in some cases financed by George Soros and other freaks,
[03:52:04.840 --> 03:52:13.840]  but he's also facing a war of censorship where they want to shut Infowars down across all social media platforms.
[03:52:13.840 --> 03:52:20.840]  Don't let it happen, folks. We can't fight if we don't have a war chest and only you can help us.
[03:52:20.840 --> 03:52:23.840]  Please go to theinfowars.com store now.
[03:52:23.840 --> 03:52:31.840]  Now, as an individual who has a longstanding personal relationship with the President of the United States,
[03:52:31.840 --> 03:52:34.840]  I'm concerned about his administration.
[03:52:34.840 --> 03:52:40.840]  While I'm not concerned about the direction he's taking in the country, I think that speaks for itself.
[03:52:40.840 --> 03:52:52.840]  3.2 million new jobs, almost 5%, 4.6% economic growth, that's growth in the GDP.
[03:52:52.840 --> 03:53:03.840]  In this quarter, the appearance that the very next quarter could actually hit 5.5%, maybe even 6% economic growth.
[03:53:03.840 --> 03:53:12.840]  Record growth in wages, African American and Hispanic unemployment at the lowest point ever,
[03:53:12.840 --> 03:53:20.840]  a record stock market, yes, President Donald Trump is making America great again.
[03:53:20.840 --> 03:53:27.840]  And Republicans, including the President, need to run on a platform of peace and prosperity.
[03:53:27.840 --> 03:53:34.840]  But instead, the President has, unfortunately, gotten dragged into a fraudulent controversy
[03:53:34.840 --> 03:53:39.840]  with both the Washington Post and the New York Times.
[03:53:39.840 --> 03:53:45.840]  The Washington Post has been in the forefront of publicizing the book by Bob Woodward,
