[00:00:01.000 --> 00:00:02.000]  It's too...
[03:27:28.740 --> 03:27:33.340]  I want to ask you, these males that are coming in, they're not coming in with the masses
[03:27:33.340 --> 03:27:34.340]  you're saying?
[03:27:34.340 --> 03:27:38.820]  Are they actually being specially brought in?
[03:27:38.820 --> 03:27:44.060]  Well what's going on is there's massive groups of them together and they're separated and
[03:27:44.060 --> 03:27:45.820]  they're put on these buses.
[03:27:45.820 --> 03:27:51.300]  And you know, we can only right now at this point, you know, give our best guesstimated
[03:27:51.300 --> 03:27:56.300]  professional opinions on what we believe is happening inside these processing centers.
[03:27:56.380 --> 03:28:00.940]  And what I'm thinking from a military perspective is just like you do, you process, you bring,
[03:28:00.940 --> 03:28:01.940]  you have an intake.
[03:28:01.940 --> 03:28:08.060]  Well, then you identify, and then you separate, and then you identify who and where you want
[03:28:08.060 --> 03:28:14.060]  that individual to go, what type of possible skill sets they have.
[03:28:14.060 --> 03:28:18.980]  I know for a fact, me and my team, and if you followed us on WFFA.win, you'll see a
[03:28:18.980 --> 03:28:20.340]  lot of our video.
[03:28:20.340 --> 03:28:27.020]  We have Russians, we have Chinese military, we have guerrilla type guys who we've actually
[03:28:27.020 --> 03:28:33.619]  taken photographs of where they've separated them out and put them in a separate area and
[03:28:33.619 --> 03:28:38.220]  then put them on buses to go to probably processing facilities like this.
[03:28:38.220 --> 03:28:41.340]  And by the way, this isn't the only one that we were told exists.
[03:28:41.340 --> 03:28:44.860]  We're going to find out where every single one of these camps are and we're going to bring
[03:28:44.860 --> 03:28:47.500]  it to light.
[03:28:47.500 --> 03:28:48.500]  And so you should.
[03:28:48.500 --> 03:28:49.500]  Don't go anywhere.
[03:28:49.500 --> 03:28:53.220]  We'll be right back with Lieutenant Colonel Chambers and Christy Hutchison right after
[03:28:53.220 --> 03:28:56.980]  this short break.
[03:28:56.980 --> 03:29:01.779]  Turbo Force is back, sold out for eight months, and it's Turbo Force Plus.
[03:29:01.779 --> 03:29:03.939]  We made it even stronger.
[03:29:03.939 --> 03:29:07.860]  The strongest long-term energy you're going to find anywhere.
[03:29:07.860 --> 03:29:14.580]  Turbo Force is back in stock at infowarestore.com or AAA253-3139.
[03:29:14.580 --> 03:29:21.100]  It's not just wide-spectrum natural herbs that time-release over 10 hours, should be
[03:29:21.100 --> 03:29:22.720]  called 10-hour energy.
[03:29:22.720 --> 03:29:28.180]  It has a bunch of vitamins and minerals and a bunch of other key things and amino acids
[03:29:28.180 --> 03:29:33.340]  that turbocharge everything and are good for your heart, your brain, your liver, you name
[03:29:33.340 --> 03:29:34.340]  it.
[03:29:34.340 --> 03:29:37.779]  It is the super fuel.
[03:29:37.779 --> 03:29:39.220]  Rain Force Plus is great.
[03:29:39.220 --> 03:29:40.220]  Rain Force Ultra is great.
[03:29:40.220 --> 03:29:41.220]  They're two different nootropics.
[03:29:41.220 --> 03:29:44.580]  No good with this, but this is the King Kong.
[03:29:44.580 --> 03:29:46.699]  This is the boss.
[03:29:46.699 --> 03:29:56.740]  Turbo Force, back in stock, discounted, infowarestore.com, more power, more strength, more energy.
[03:29:56.740 --> 03:29:59.340]  Please give me one minute of your time.
[03:29:59.340 --> 03:30:01.420]  Please write this down and please go look this up.
[03:30:01.420 --> 03:30:03.460]  It will change your life.
[03:30:03.460 --> 03:30:08.100]  The UN admits and the Lancet Medical Journal admits that upwards of 2 billion people have
[03:30:08.100 --> 03:30:12.140]  mental disabilities and declining cognitive abilities.
[03:30:12.140 --> 03:30:17.660]  The term they use is intellectual disability because of lack of iodine.
[03:30:17.660 --> 03:30:23.400]  Most iodine in the environment is bound to other elements so your body can't absorb it.
[03:30:23.400 --> 03:30:29.660]  Only pure iodine can really be absorbed right into the cells and infowarestore.com has the
[03:30:29.660 --> 03:30:34.699]  only iodine out there that actually has this type of full effect.
[03:30:34.699 --> 03:30:37.820]  Ladies and gentlemen, X3's been sold out for six months.
[03:30:37.820 --> 03:30:40.740]  It's very hard to produce and it's finally back in stock.
[03:30:40.740 --> 03:30:43.820]  In fact, I was just taking some before I shot this ad.
[03:30:43.820 --> 03:30:46.020]  This, ladies and gentlemen, is powerful.
[03:30:46.020 --> 03:30:47.340]  You and your family need it.
[03:30:47.340 --> 03:30:49.539]  It's 25% off back in stock.
[03:30:49.539 --> 03:30:53.860]  X3, try iodine exclusively at infowarestore.com.
[03:30:53.860 --> 03:30:57.180]  Take action now, but regardless, research is info.
[03:30:57.180 --> 03:31:02.580]  Iodine is naturally acquired through the soil, which is at the foundation of our entire food
[03:31:02.580 --> 03:31:03.939]  supply.
[03:31:03.939 --> 03:31:08.539]  Modern farming techniques have stripped the soil of this essential trace element, which
[03:31:08.539 --> 03:31:12.860]  has caused an iodine deficiency in about half the population.
[03:31:12.860 --> 03:31:15.560]  There are two things we need to do about it.
[03:31:15.560 --> 03:31:18.900]  We need to practice more regenerative farming.
[03:31:18.900 --> 03:31:24.100]  There are plenty of proven technologies in permaculture and biodynamics that will naturally
[03:31:24.100 --> 03:31:27.460]  keep the soil rich with iodine.
[03:31:27.460 --> 03:31:33.500]  We need to ensure that we get the sufficient amount of iodine every day derived from ancient
[03:31:33.500 --> 03:31:37.779]  sea salts found thousands of feet below the Earth's surface.
[03:31:37.779 --> 03:31:43.619]  Our InfoWars Life Survival Shield X3 is hands down the best.
[03:31:43.619 --> 03:31:49.740]  Pure nascent iodine stabilized in an activated triiodine form.
[03:31:49.740 --> 03:31:56.699]  For a healthy thyroid and a healthy metabolism, get yours now at infowarestore.com.
[03:31:56.699 --> 03:32:01.939]  Sold out for more than a year, we now have back in stock a limited run of our extremely
[03:32:01.939 --> 03:32:10.020]  popular Tooth Whitening Coral Calcium Toothpaste, full of essential oils, back in stock at infowarestore.com.
[03:32:10.020 --> 03:32:14.340]  Another great product sold out for almost a year is our Activated Charcoal Essential
[03:32:14.340 --> 03:32:16.140]  Oil Toothpaste as well.
[03:32:16.140 --> 03:32:21.220]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis,
[03:32:21.220 --> 03:32:22.380]  and they fund the InfoWar.
[03:32:22.380 --> 03:32:25.000]  There are no fillers in these products.
[03:32:25.000 --> 03:32:31.300]  These are fluoride free, next level toothpaste, 10,000 of each tube, limited run, available
[03:32:31.300 --> 03:32:37.260]  exclusively at infowarestore.com, and your purchase funds the operation, plus these
[03:32:37.260 --> 03:32:38.860]  are incredible products you need.
[03:32:38.860 --> 03:32:42.939]  So the Coral Calcium Tooth Whitening and the Activated Charcoal Essential Oil Toothpaste
[03:32:42.939 --> 03:32:46.939]  are now both back in stock at infowarestore.com.
[03:32:46.939 --> 03:32:50.900]  I thank you for your support, but regardless, these are great products you need, so take
[03:32:50.900 --> 03:32:51.900]  action now.
[03:32:51.900 --> 03:32:55.300]  Go to infowarestore.com for both this great toothpaste back in stock.
[03:32:55.900 --> 03:33:05.900]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:06.000 --> 03:33:15.520]  Truly, truly shocking intel from the border.
[03:33:15.520 --> 03:33:20.720]  We're here with Lieutenant Colonel Pete Chambers, also known as Dr. Pete Chambers, and Christy
[03:33:20.720 --> 03:33:22.880]  Hutchison from Women Fighting for America.
[03:33:22.880 --> 03:33:31.280]  Dr. Pete, I want to ask you, is this on public land or historically military-owned land?
[03:33:31.280 --> 03:33:37.280]  Because these camps that they're bringing these military-age men to, they seem to be
[03:33:37.280 --> 03:33:38.280]  new facilities.
[03:33:38.280 --> 03:33:39.280]  Right.
[03:33:39.280 --> 03:33:43.840]  In this particular facility, and there's two places that we visited today, we visited the
[03:33:43.840 --> 03:33:50.240]  waterfront at Eagle Pass, which a waterfront typically under the POE is owned by the Immigration
[03:33:50.240 --> 03:33:54.280]  Custom to a certain degree and so many hundreds of meters in.
[03:33:54.280 --> 03:34:01.920]  But down about 8 miles, maybe 10 miles to the north in the border with Kenney County
[03:34:01.920 --> 03:34:07.280]  and Maverick County, yeah, that's where that camp is roughly located.
[03:34:07.280 --> 03:34:11.320]  So that is private land, it's probably leased to them.
[03:34:11.320 --> 03:34:14.720]  Now, I don't know, I didn't do the homework yet because we're just on this thing, but we'll
[03:34:14.720 --> 03:34:15.720]  figure it out.
[03:34:15.720 --> 03:34:20.880]  But we did, like I say, figure out who is on that contract that was moved up in the
[03:34:20.880 --> 03:34:24.240]  queue probably with their friend, The Borders Are.
[03:34:24.240 --> 03:34:29.520]  Yeah, well, I just had a quick look at deployedresources.com.
[03:34:29.520 --> 03:34:34.560]  It says that they stand ready to support emergency services, rapid deployment of temporary
[03:34:34.560 --> 03:34:40.640]  facilities and providing logistics management for government and commercial contracts.
[03:34:40.640 --> 03:34:44.440]  And you're saying, Dr. Pete, that this is directly connected to Kamala Harris.
[03:34:44.440 --> 03:34:46.160]  Do we have confirmation of that?
[03:34:46.160 --> 03:34:48.480]  No, I don't have confirmation of it.
[03:34:48.480 --> 03:34:51.880]  But I just know that in speaking to people in the contracting business, they know this
[03:34:51.880 --> 03:34:53.360]  company is doing that.
[03:34:53.360 --> 03:34:57.760]  And the other thing is this company, and typically, I've been in hurricane situations down in
[03:34:57.760 --> 03:35:03.380]  Harvey, Katrina, Rita, on the Gulf Coast, that this company is typically suited for
[03:35:03.380 --> 03:35:06.560]  more of a natural disaster type response.
[03:35:06.560 --> 03:35:08.280]  Now, that's where we've seen them.
[03:35:08.280 --> 03:35:12.080]  But I can only speculate as to what that connection.
[03:35:12.080 --> 03:35:17.600]  I am searching it on whitehouse.gov because there are contracts that are listed there.
[03:35:17.600 --> 03:35:18.600]  This all just happened.
[03:35:18.600 --> 03:35:19.600]  So we'll get to it.
[03:35:19.600 --> 03:35:22.240]  We'll find who is over that.
[03:35:22.240 --> 03:35:27.560]  But if she is over the border, and she's involved somehow, we'll figure it out.
[03:35:27.560 --> 03:35:28.560]  Oh, absolutely.
[03:35:28.560 --> 03:35:30.040]  I have no doubt.
[03:35:30.040 --> 03:35:33.840]  And I'll just say this is, for the viewers and the listeners right now, this is literally
[03:35:33.840 --> 03:35:37.280]  something that's developed in less than 24 hours.
[03:35:37.280 --> 03:35:42.200]  Just you know, we're catching up and really just finding out new things as we go.
[03:35:42.200 --> 03:35:43.200]  Chris, you do go on.
[03:35:43.200 --> 03:35:44.760]  You wanted to say something.
[03:35:45.080 --> 03:35:52.600]  Well, yeah, this company was awarded over $7 billion to facilitate and house these temporary
[03:35:52.600 --> 03:35:54.760]  type situations.
[03:35:54.760 --> 03:35:56.120]  So that's quite a lot of money.
[03:35:56.120 --> 03:35:59.520]  We're going to get to the bottom of it.
[03:35:59.520 --> 03:36:00.720]  That's a colossal amount of money.
[03:36:00.720 --> 03:36:01.720]  Okay.
[03:36:01.720 --> 03:36:06.520]  So just to be clear, there are no women or children that you've seen within these facilities?
[03:36:06.520 --> 03:36:07.520]  No.
[03:36:07.520 --> 03:36:12.680]  And I've spent three days out there filming and watching the comings and goings.
[03:36:12.680 --> 03:36:16.440]  And so far, it has all been the single young adult males.
