[00:00.000 --> 00:02.000]  it
[3:48:12.220 --> 3:48:17.260]  share it share it with your family that aren't completely closed off to the potential of what's
[3:48:17.260 --> 3:48:24.300]  coming i mean it's it's so well done it's just it's just amazing you know i wish that i could
[3:48:24.300 --> 3:48:32.380]  do videos like that i don't have the talent that he has but i can at least push it promote it
[3:48:32.380 --> 3:48:39.340]  encourage people to share the links and save them on other video sites like bit shoot and bit tube and
[3:48:39.340 --> 3:48:47.980]  uh uh the other ones but watch the video and share it's it's literally about indicators going back
[3:48:47.980 --> 3:48:54.460]  through every civilization about the imminent collapse of that civilization and paul joseph watson
[3:48:54.460 --> 3:49:00.700]  just ticks them off and has experts talking about each one and uh and you know in video clips inside
[3:49:00.700 --> 3:49:05.660]  of the video but i i can't recommend it too much please share it with your family and if they think
[3:49:05.660 --> 3:49:10.940]  it's a joke if they think it's you're being hyperbolic at least it's been planted the seed has
[3:49:10.940 --> 3:49:17.260]  been planted and while i'm on youtube there are three other guys at least three i mean three that
[3:49:17.260 --> 3:49:23.580]  come off the top of my head black pigeon speaks who's a an american expat in japan i believe he
[3:49:23.580 --> 3:49:30.780]  never he's not shown on camera just his voice his videos are brilliant if if you have the time go back
[3:49:30.780 --> 3:49:38.700]  and and surf through his videos bps black pigeon speaks he's a genius sargon of akkad he's not
[3:49:38.700 --> 3:49:44.140]  exactly a conservative but he's been very fair on the social media issue um you know with the
[3:49:44.140 --> 3:49:51.500]  the rogan interview last week etc he's extremely fair sargon of akkad i look one my subscribed
[3:49:51.500 --> 3:49:57.900]  favorites for these guys every day and right up there with sargon black pigeon speaks and paul
[3:49:57.900 --> 3:50:05.900]  joseph watson i put the brit named iconoclast he's also just terrific to me these are the top tier
[3:50:05.900 --> 3:50:11.580]  they make videos that are you know five 12 minutes long but they have something to say these guys are
[3:50:11.580 --> 3:50:17.020]  geniuses and you might not have the argument to give to your to your family member your your
[3:50:17.020 --> 3:50:23.180]  your uh associates at work but if you can drop the links in a in a non-judgmental way just like hey
[3:50:23.180 --> 3:50:29.340]  check this out you can red pill a lot of people and and that's the point of what we're doing here
[3:50:29.340 --> 3:50:36.380]  it's not enough for us to preach to the choir coming to info wars shopping in the info wars store
[3:50:36.380 --> 3:50:43.580]  all of that's great but if we're not rebroadcasting to the larger audience that doesn't watch
[3:50:43.580 --> 3:50:49.820]  then we're not really doing our part you know alex uh david night we're all they're all doing all
[3:50:49.820 --> 3:50:56.780]  that they can but promoting the video clips you know war room with owen promote the video clips
[3:50:56.780 --> 3:51:03.260]  share them you have it in the power you know millions of individuals have it in their power
[3:51:03.260 --> 3:51:09.180]  to to relink these links and increase by many fold the number of eyes and minds that will
[3:51:09.180 --> 3:51:15.260]  be exposed to this information it's not enough that you know and you know what i think about you
[3:51:15.260 --> 3:51:22.220]  gray men you know hiding in your hole till the dust settles it's too late for that you've got to get
[3:51:22.220 --> 3:51:29.740]  out you've got to stand up you've got to not only be brave personally you're you have to be brave
[3:51:29.740 --> 3:51:35.100]  for the other ones for the other ones you know there's a reason those uh you know the lieutenants
[3:51:35.100 --> 3:51:40.300]  would go over the top first just with a whistle and a pistol because the enlisted men aren't going
[3:51:40.300 --> 3:51:46.780]  to go if the lieutenant and the captain are hiding you've got to be the brave man not the gray man
[3:51:46.780 --> 3:51:54.220]  if you're waiting for john wane he's not coming if you're waiting for paul revere he's already come
[3:51:54.220 --> 3:52:00.220]  a hundred times now is the time to stand up and blow your own horn i mean if you're if you're
[3:52:00.220 --> 3:52:06.620]  too chicken to put a magnetized info wars or mega bumper sticker on your car good grief what's it
[3:52:06.620 --> 3:52:10.540]  what's going to happen when they're doing red flags and people are getting shot are you suddenly
[3:52:10.540 --> 3:52:15.340]  going to get brave then how's that work i've never seen that happen in my life if you're if you're
[3:52:15.340 --> 3:52:21.500]  too afraid to wear the t-shirt the info wars t-shirt if you're too afraid now you think you'll
[3:52:21.500 --> 3:52:26.220]  suddenly be so brave you'll be digging up your gun no you won't you'll be hiding until we're
[3:52:26.220 --> 3:52:33.900]  bolshevized so now is the time to be brave and this this brings me up to um to donald trump
[3:52:33.900 --> 3:52:39.180]  and our great hopes for him when he was elected number one he was a great hope because he was
[3:52:39.180 --> 3:52:45.500]  not hillary clinton if hillary had won the deep state coup would have been a complete success
[3:52:46.380 --> 3:52:52.300]  the plan as we now know from from the page and struck uh released interviews the congressman
[3:52:52.300 --> 3:52:58.540]  just released these pdf files the plan was well this was probably you know you can read between
[3:52:58.540 --> 3:53:07.100]  the lines this was the tarmac deal plan hillary wins loretta lynch stays on as attorney general
[3:53:07.100 --> 3:53:12.860]  so she can continue to hide and cover up all the crimes uranium one everything else fast and furious
[3:53:12.860 --> 3:53:18.860]  you all the crimes she can continue to be the crypt keeper of democrat crimes coby stays on
[3:53:18.860 --> 3:53:24.700]  his fbi director and when he's had enough he's going to give it to mccabe the trusted andrew
[3:53:24.700 --> 3:53:30.540]  mccabe deep state ses operative and they will just keep the same game playing well trump
[3:53:30.540 --> 3:53:36.860]  was the great disruptor he blew that up that's why struck and page uh were texting each other
[3:53:36.860 --> 3:53:41.980]  about you know the menace that he is and thank god that those emails as those text messages were
[3:53:41.980 --> 3:53:49.420]  recovered now i in the last two days i read both the page and struck testimonies it's not as dull
[3:53:49.420 --> 3:53:55.980]  as it looks when you open that pdf uh script file but if you just are looking for like you know
[3:53:55.980 --> 3:54:02.860]  meadows and uh jordan and you skip the uh you know the democrat communist because you know they're
[3:54:02.860 --> 3:54:07.820]  just going to be saying you know isn't it terrible that the fbi is losing its respect because of
[3:54:07.820 --> 3:54:13.260]  those are horrible conservatives so just scroll past that that cuts the reading in half and you
[3:54:13.260 --> 3:54:21.020]  can you can clearly see they had this all planned out and it and trump blew up the plan but since he
[3:54:21.020 --> 3:54:25.340]  was elected how's he been doing how much wall is being built he says that the wall is being built
[3:54:25.900 --> 3:54:31.020]  the emergency uh resolution the vote on the emergency resolution i guess that's today i don't
[3:54:31.020 --> 3:54:38.460]  know if it's going to happen i haven't been keeping track but all since ever since 2016 in the election
[3:54:38.460 --> 3:54:45.260]  we've been led on with false hopes galling the rubes first it was stealth jeff jeff's sessions
[3:54:45.260 --> 3:54:51.500]  wasn't really just you know uh the legend of sleepy hollow he was actually a tornado hidden and he's
[3:54:51.500 --> 3:54:58.780]  going to come out any day and and lay the deep state coup bear false q and on in my opinion total
[3:54:58.780 --> 3:55:04.780]  hoax from day one just like you know many other hoaxes in the past the hitler diaries uh howard
[3:55:04.780 --> 3:55:10.860]  hughes diaries etc total hoax and i and i really hate hoaxes because you know if you want to write
[3:55:10.860 --> 3:55:17.020]  fiction be a novelist put it in a book call it fiction so nothing came out of q and on all the
[3:55:17.020 --> 3:55:23.260]  promises about the you know the eventual exposure of the deep state coup then there's huber oh huber
[3:55:23.260 --> 3:55:28.380]  is coming in we've got a guy out in utah he's going to get to the bottom of it and now the latest of
[3:55:28.380 --> 3:55:35.900]  these of these hopefully not this time of false hope uh is is attorney general bar is now in in
[3:55:35.900 --> 3:55:41.660]  supposedly in command and he looks like a guy that's quite the opposite of uh sleepy stealth jeff
[3:55:42.460 --> 3:55:49.660]  um i think that it's no accident that weissman quit or announce he's quitting today and i use
[3:55:49.660 --> 3:55:56.700]  an analogy to a poker game if miller is at the poker table he's got the big hand that everybody
