[00:00.000 --> 00:02.000]  Oh
[3:22:28.800 --> 3:22:35.040]  but this is the world we're in this is what's happening this is the crossroads and a lot of
[3:22:35.040 --> 3:22:38.400]  good things are happening a lot of bad things are happening but I just wanted to let folks know that
[3:22:40.480 --> 3:22:44.480]  we set up our own audio and video streaming we set up our own servers and we spent a lot of
[3:22:44.480 --> 3:22:49.120]  money doing it and it's you when it when you see us still standing in the face of this
[3:22:49.120 --> 3:22:55.920]  when everybody else is going down that's you you stood up to the fight you stood up to the attack
[3:22:55.920 --> 3:23:01.040]  again that isn't fanciful words to make you feel important when you buy products at infowarestore.com
[3:23:01.040 --> 3:23:05.360]  you are important you're getting great products are good for you and your family books films
[3:23:05.360 --> 3:23:10.800]  supplements water filtration anything I sell is because I know it's good for you why wouldn't I
[3:23:10.800 --> 3:23:15.520]  sell something that was good metaphysically I want to do it I want you to get a response I want you
[3:23:15.520 --> 3:23:21.440]  to order it again let's see evil isn't like that it disrespects you because it disrespects humanity
[3:23:21.440 --> 3:23:27.920]  because it's anti-human I'm human I respect you because I respect myself I'm an individual is 100
[3:23:27.920 --> 3:23:33.200]  percent but I understand my individualism is manifests as collectivism not of some communist
[3:23:33.200 --> 3:23:40.560]  globalist archetype that's a counterfeit but as true collectivism of us as the crowd believing
[3:23:40.560 --> 3:23:47.120]  in what we want as a culture and it always being right I'm in love with humanity I'm not a narcissist
[3:23:47.120 --> 3:23:53.760]  I'm a humanist and not in the leftist term the modern humanist is the anti-humanist the people
[3:23:53.760 --> 3:23:59.040]  that claim they control humanity know I want to set humanity free because his potential is limitless
[3:23:59.040 --> 3:24:03.920]  and the pioneer of this is Dr. Nick baggage Dr. Nick baggage take over and God bless you my friend
[3:24:03.920 --> 3:24:10.640]  hey thank you Alex it's it's always my pleasure to be with you you know and when we think about
[3:24:10.640 --> 3:24:15.280]  all of this happening in the world right now I mean we've got impeachment hearings we've got
[3:24:16.400 --> 3:24:24.240]  the virus breaking out in Asia we have people moving across the lower portion of the Mexican
[3:24:24.240 --> 3:24:31.200]  border I mean it's like we have the Middle East exploding in all different fractional
[3:24:31.200 --> 3:24:39.120]  breakups that are 20 20 is it disappointing no it's like Armageddon right now at the beginning
[3:24:39.120 --> 3:24:45.920]  of it at least in my perspective you know you think about sort of what's happening and going back
[3:24:45.920 --> 3:24:50.800]  to when you and I first started working together I was thinking about that a little bit today and
[3:24:50.800 --> 3:24:56.560]  as I was listening to John and you ending up the last segments you know the whole conflict
[3:24:56.560 --> 3:25:03.360]  between the material and the spiritual or the you know or the non-material and when I think about
[3:25:03.360 --> 3:25:09.360]  you know sort of what's happened with the internet with speech with everything you know the idea is
[3:25:09.360 --> 3:25:17.280]  track not just you and me individually but everything you know where everything is and
[3:25:17.280 --> 3:25:22.000]  where you are at every moment you know and I go back to the writing and the stuff we were doing
[3:25:22.000 --> 3:25:28.640]  we were doing now 20 years ago and we were talking about this then you know looking back at the
[3:25:28.640 --> 3:25:33.440]  book earth rising you're the only place left on the planet you can get hard copies of it the
[3:25:33.440 --> 3:25:40.000]  book earth rising had a whole section on the end of privacy which is really where we are today in
[3:25:40.000 --> 3:25:48.560]  the in the in this beginning of this next decade and clearly predictable not from some esoteric
[3:25:48.560 --> 3:25:53.040]  perspective but absolutely from the facts and what the science showed and what was in the open
[3:25:53.040 --> 3:26:02.320]  literature and earth rising had 650 sources in it documenting sort of where this was all headed
[3:26:02.320 --> 3:26:09.760]  and it dealt with biometrics facial recognition all of the systems you hear about today and this
[3:26:09.760 --> 3:26:16.960]  was just before 9 11 when the real prank down happened and this is something else that we
[3:26:16.960 --> 3:26:23.280]  talked about before 9 11 that they would look for this opportunity to screw down personal
[3:26:23.280 --> 3:26:28.800]  privacy and liberty and do it on the backbone of international terrorism and drug trafficking and
[3:26:28.800 --> 3:26:36.000]  we predicted that in 2000 in the book earth rising the revolution and then right after 9 11 we came
[3:26:36.000 --> 3:26:43.120]  out with earth rising too and that and that also is only available through the info war store now
[3:26:43.120 --> 3:26:49.120]  in hard copy and you know that that book sort of took at the next step and we had a whole section
[3:26:49.120 --> 3:26:56.000]  again on privacy you know just looking back on it what did we talk about we talked about id systems
[3:26:56.640 --> 3:27:04.960]  for human tracing we talked about tracking through gps your mileage and your distance and your
[3:27:04.960 --> 3:27:11.040]  location everywhere you go everywhere you stop everyone else who's next to you and now we have
[3:27:11.040 --> 3:27:17.840]  really what has become what we talked about then is data valence and we talked and spoke in the
[3:27:17.840 --> 3:27:26.080]  european parliament about data valence in 1998 99 and by then they had already taken this issue up
[3:27:26.080 --> 3:27:33.280]  and then the early part of the century began moving in a direction to really make sure we weren't
[3:27:33.280 --> 3:27:39.520]  screwed down too awfully tight in this area in fact it's the one place where they say you can still
[3:27:39.520 --> 3:27:46.400]  opt out i doubt that really but the point of the matter is what was supposed to liberate has in fact
[3:27:46.400 --> 3:27:53.600]  captured and imprisoned through the digital gulag if you will because when you think about
[3:27:53.600 --> 3:27:59.920]  information warfare which is really going back again to earth rising there's a section called
[3:27:59.920 --> 3:28:05.520]  information war right and it's a multi-dimensional war it's not just about hacking into people's
[3:28:05.520 --> 3:28:11.760]  computers and stealing their data which is what a lot of the media points to it's the media itself
[3:28:13.040 --> 3:28:22.480]  as a weapon in the propaganda wars of the 21st century and now where we're at is exactly in
[3:28:22.480 --> 3:28:29.120]  that place you know we're headed into the info wars because we're in the midst of a war the war
[3:28:29.120 --> 3:28:35.120]  for your mind the war for the future the world war for the next generation and it's you and I who
[3:28:35.120 --> 3:28:40.480]  hold this on because you're the tip of the sphere this is dr. nick baggage and we'll be right back
[3:28:40.480 --> 3:28:45.360]  but after these really important messages and remember to support the info war
[3:28:51.680 --> 3:28:57.600]  we can all agree these are troubled times right so do you know who's on your wireless network
[3:28:57.600 --> 3:29:02.640]  whether it's a big company selling your data or a foreign hacker if you're not protected
[3:29:02.640 --> 3:29:08.800]  everybody sees your information that's why you need flash routers a custom wi-fi router
[3:29:08.800 --> 3:29:14.480]  created for privacy flash routers uses a virtual private network or vpn to protect your online
[3:29:14.480 --> 3:29:20.240]  activity from hackers trackers and large corporations and not just one but all your devices with one
[3:29:20.240 --> 3:29:25.680]  out of the box setup plus flash routers also enhances your wireless network performance
[3:29:25.680 --> 3:29:30.640]  and unlocks powerful router management tools to let you take total control of your network
[3:29:30.640 --> 3:29:43.760]  call or click flash routers today at 1-866-509-5817 or flashrouters.com that's 1-866-509-5817
[3:29:43.760 --> 3:29:48.800]  or flash routers.com protect your wireless home network today with flash routers
[3:29:52.480 --> 3:29:57.120]  i would thank you for everything you've done for the info war but i know you're like me you don't
[3:29:57.120 --> 3:30:02.400]  want my thanks you want victory over the globalist and these devil worship and child molesters
[3:30:02.400 --> 3:30:06.240]  and you want them off your back and off your children's back and you know what i'm the same
[3:30:06.240 --> 3:30:11.520]  way and that's why we're on the same damn team and it's why m4z has been delivering time and time
[3:30:11.520 --> 3:30:18.640]  again when it's clutch time to focus the people on taking action against the globalist because
[3:30:18.640 --> 3:30:25.440]  i'm committed to a future for humanity and i know you are as well so thank you in 2019
[3:30:25.440 --> 3:30:29.200]  for standing with us because you are the info war and i want to thank you for committing to
[3:30:29.200 --> 3:30:34.320]  stand with us in 2020 however you can the bottom of my heart from my family and from the great
[3:30:34.320 --> 3:30:39.360]  crew at info wars i want to thank you all because you are the info war and you know that's not just
[3:30:39.360 --> 3:30:46.560]  words that's reality you have made history we have made history together info wars dot com
[3:30:46.560 --> 3:30:55.760]  only has power because of you and i suggest you use it this is a call for modern day paul reveres
[3:30:55.760 --> 3:31:02.080]  who are all americans who are all human beings who bleed red blood love god and love justice
[3:31:02.080 --> 3:31:08.000]  and who have awakened to the new world order threat you are the modern paul reveres and without you
[3:31:08.000 --> 3:31:13.120]  no one knows about bandod video and our live coverage of the attempt to remove the president
[3:31:13.120 --> 3:31:19.760]  in the senate trial and the deep state trying to trigger a civil emergency in virginia we've got
[3:31:19.760 --> 3:31:25.520]  our teams on the ground we'll be covering all of it but the only way we're able to put the truth
[3:31:25.520 --> 3:31:33.120]  out is you magnifying it by sharing the links from band.video and news wars dot com forward slash
