[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[3:31:19.480 --> 3:31:25.400]  family along the way. Visit info wars team dot com today. Become a member. It discounts on the
[3:31:25.400 --> 3:31:29.800]  amazing products and free shipping when you sign up for auto ship and you're able to promote the
[3:31:29.800 --> 3:31:34.520]  products to friends and family and neighbors in your community and make money while helping people
[3:31:34.520 --> 3:31:39.160]  at the same time. Another win-win. That's why I'm a member of the young Jevity team at info wars
[3:31:39.160 --> 3:31:45.240]  team dot com and you can be too. It's simple. Just go to info wars team dot com today. Complete a
[3:31:45.240 --> 3:31:49.800]  short sign up and you're part of the team. That's info wars team dot com or info wars health dot
[3:31:49.800 --> 3:31:54.360]  com. So many people calling to my radio show and tell me how young Jevity and the products at info
[3:31:54.360 --> 3:32:01.560]  wars team dot com have changed their lives. Check it out for yourself today. This is Alex Jones. I
[3:32:01.560 --> 3:32:06.360]  want to tell you about a way to save a lot of money on one of the best new off the grid products of
[3:32:06.360 --> 3:32:11.560]  2017 and seriously I really think everyone should have one of these. I'm talking about the PPX solar
[3:32:11.560 --> 3:32:16.440]  generator system from our friends at Solutions from Science, one of our oldest sponsors. The PPX
[3:32:16.440 --> 3:32:21.320]  is so small you can put it in your pocket but so powerful you can run some 110 appliances at your
[3:32:21.320 --> 3:32:26.040]  house like a small refrigerator so you can keep food from spoiling plus you can take it with you
[3:32:26.040 --> 3:32:31.320]  to jumpstart cars trucks buses 18 wheelers heavy equipment even airplanes the system provides an
[3:32:31.320 --> 3:32:35.720]  endless supply of off the grid electricity allowing you to create your own private power grid
[3:32:35.720 --> 3:32:41.160]  literally anywhere in the world perfect for cabins remote locations any time you need to get off the
[3:32:41.160 --> 3:32:46.280]  grid for a while go to private power grid dot com to watch this thing in action that's private
[3:32:46.280 --> 3:32:52.360]  power grid dot com even better use coupon code private at checkout and get a second PPX energy
[3:32:52.360 --> 3:32:57.640]  unit for free check it out at private power grid dot com that's private power grid dot com
[3:32:57.640 --> 3:33:20.680]  big brother mainstream media government cover-ups you want to stop tyranny well so does he lie
[3:33:20.680 --> 3:33:31.640]  from the info wars dot com studios it's alex joe real live it's the fourth hour of the alex
[3:33:31.640 --> 3:33:35.560]  joe show before we get back into the news i want to tell you about a new product we have at info
[3:33:35.560 --> 3:33:41.480]  wars store dot com which is the making of the president by roger stone this is available for
[3:33:41.480 --> 3:33:49.720]  20 off introductory pricing on info wars store dot com this is the first book to go behind the
[3:33:49.720 --> 3:33:55.640]  scenes and give the inside story of donald trump's 2016 campaign has never been published anywhere
[3:33:55.640 --> 3:34:01.080]  else and this is the guy who will know the inside scoop as you're well familiar with him by now
[3:34:01.080 --> 3:34:06.200]  roger stone the making of the president details the accounts of roger stone and many of the
[3:34:06.200 --> 3:34:11.640]  trump insiders who have been long time friends and advisors to trump since the 1980s this is a
[3:34:11.640 --> 3:34:18.840]  must read for any trump supporting patriot so new book the inside scoop on how uh trump won the
[3:34:18.840 --> 3:34:25.000]  president's who we've got it info wars store dot com for 20 off right now you're not going to get
[3:34:25.000 --> 3:34:30.760]  that price anywhere else that is the making of the president by roger stone available now info
[3:34:30.760 --> 3:34:39.160]  wars store dot com we also have 25 off on alex pure pro water filter systems and alexa pure
[3:34:39.160 --> 3:34:45.240]  breeze air filters at info wars store dot com for a limited time i mean who isn't using a water
[3:34:45.240 --> 3:34:52.200]  filter at this point so if you're going to use one why don't you get it off us this is the alexa pure
[3:34:52.200 --> 3:34:57.720]  breeze which eliminates up to 99.97 of airborne contaminants like dust mold allergens flu viruses
[3:34:57.720 --> 3:35:02.840]  and more with its patented technology these are the two of the best systems out there and we're
[3:35:02.840 --> 3:35:10.920]  giving them to you for the absolute lowest prices 25 off on both right now at info wars store dot
[3:35:10.920 --> 3:35:19.080]  com you heard alex talking about how much we've grown since what 10 15 years ago i've lost count
[3:35:19.080 --> 3:35:25.160]  of how long i've been here now it's probably closer to 15 years at this point but again absolutely
[3:35:25.160 --> 3:35:32.760]  amazing support that has built this platform at no point during those 15 years did we ever
[3:35:32.760 --> 3:35:40.600]  ever have to sacrifice editorial integrity we never took money from anyone who told us
[3:35:40.600 --> 3:35:46.680]  what to say or who told us what not to say now that is extremely important just think about that
[3:35:47.720 --> 3:35:52.200]  you know we're not perfect we're going to make mistakes but you know it's coming from a pure
[3:35:52.200 --> 3:35:57.480]  position we're at least trying to tell the truth do we have an agenda yes we wear it on our sleeve
[3:35:57.480 --> 3:36:02.920]  we're not hiding it unlike the mainstream media which feigns neutrality and is the most
[3:36:02.920 --> 3:36:08.600]  bias operation out there we don't take money from anybody who tells us what to say or what not to
[3:36:08.600 --> 3:36:14.200]  say we have products if you want to buy them buy them if you don't and don't i mean most of the
[3:36:14.200 --> 3:36:18.840]  stuff is free available on the internet anyway basically everything is at this point but the
[3:36:18.840 --> 3:36:24.120]  fact that you have brought the pod the product is what has brought us to this point which is why
[3:36:24.120 --> 3:36:31.080]  we're attacked by the mainstream media because they know no matter how many bubbles we have no
[3:36:31.080 --> 3:36:36.920]  matter how many mistakes we make from time to time that it's all coming from a pure source and they
[3:36:36.920 --> 3:36:43.880]  can never compete with that because their very existence is dependent on taking money from
[3:36:43.880 --> 3:36:49.400]  people who tell them what to say and what not to say i mean look at cnn literally they take
[3:36:49.400 --> 3:36:57.160]  money from gulf arab state dictatorships and every time they have these propaganda pieces
[3:36:57.160 --> 3:37:01.960]  about how great Bahrain is as they're literally slaughtering their own citizens on the street
[3:37:01.960 --> 3:37:08.680]  yeah we don't have to make that sacrifice of our integrity they do and yet still they have the
[3:37:08.680 --> 3:37:15.400]  ability to call us fake news and they're literally taking cash from brutal dictatorships who kill
[3:37:15.400 --> 3:37:20.680]  their own people again to produce propaganda puff pieces about them we don't have to do that
[3:37:21.480 --> 3:37:29.320]  we exist we grow through your support again product info warsaw.com that's why we have
[3:37:29.320 --> 3:37:33.880]  an activist audience it's not just an activist audience in terms of you know getting out and
[3:37:33.880 --> 3:37:38.680]  spreading the information it's an activist audience in terms of financial support i don't
[3:37:38.680 --> 3:37:45.080]  think there's any other media operation on the planet right now which has as loyal support
[3:37:45.080 --> 3:37:51.080]  as info wars and that's not just some corny line it's true i've been here for nearly 15 years
[3:37:51.880 --> 3:37:58.600]  never took a dime from anyone who told us what to say or what not to say we only take our support
[3:37:58.600 --> 3:38:04.680]  from you our viewers our readers and by you getting the products at info warsaw.com like
[3:38:04.680 --> 3:38:12.040]  alexa pure pro water filters 25 percent off and roger stone's new book heading back into the news
[3:38:12.040 --> 3:38:17.800]  now we were talking about before i just want to finish up on this how the right condemns
[3:38:17.800 --> 3:38:24.360]  its fringe violent extremists and how the left encourages them all the time another example
[3:38:24.360 --> 3:38:30.440]  of this this is that information liberation like lives matter seattle speaker we need to
[3:38:30.440 --> 3:38:43.560]  start killing people let's go to the clip
[3:39:00.760 --> 3:39:10.840]  life is now devoted to social change right we're all operating under white supremacy just so you
[3:39:10.840 --> 3:39:19.560]  know and we need to start killing people first off we need to start killing the white house the
[3:39:19.560 --> 3:39:37.240]  white house must die so there you see a blm protester saying quote we need to start killing
[3:39:37.240 --> 3:39:44.440]  people and all the leftist blm supporters in the audience cheer now bearing in mind as i've said
[3:39:44.440 --> 3:39:50.120]  on many occasions this is an organization black lives matter whose inspirational guru
[3:39:50.120 --> 3:39:56.360]  whose name they chant at all their protests is a convicted cop killer on the fbis most wanted
[3:39:56.360 --> 3:40:06.200]  to mess the terrorist assault to jacquard okay so why given that ideological foundation given
[3:40:06.200 --> 3:40:10.680]  the fact that they chant for dead cops we played that video before given the fact that their
[3:40:10.680 --> 3:40:16.440]  supporters their sympathizers have assassinated cops and after the fact said it was a black lives
[3:40:16.440 --> 3:40:21.400]  matter revenge attack in the case of ishmael brindley in new york because we had the dallas
[3:40:21.400 --> 3:40:27.640]  sniper incident motivated by the race hatred driven by black lives
[3:40:29.720 --> 3:40:34.760]  this is a domestic terrorist group they've called for violence their supporters have
[3:40:34.760 --> 3:40:40.440]  carried out violence that sounds like terrorism to me and yet what did we see barack obama
[3:40:40.440 --> 3:40:47.160]  literally having meetings with their leadership hillary clinton saying that she would change
[3:40:47.160 --> 3:40:54.200]  laws for black lives matter so again the right condemns its fringe violent extremists the left
[3:40:54.200 --> 3:41:01.000]  embraces and encourages them we've seen that narrative for two weeks now richard spencer got
[3:41:01.000 --> 3:41:06.440]  punched a bunch of lefties came out and said yes this is completely acceptable we need to go out
[3:41:06.440 --> 3:41:11.960]  and punch nazis problem is anyone who disagrees with you is a nazi so that's quite a broad
[3:41:11.960 --> 3:41:18.600]  spectrum of people at this point isn't it so again those people have forfeited their right
[3:41:18.600 --> 3:41:24.360]  to be outraged about something like what happened up in canada a couple of days ago where this far
[3:41:24.360 --> 3:41:31.320]  right individual shoot six muslims okay you can't have it both ways you can't have your
[3:41:31.320 --> 3:41:36.760]  cake and eat it you can't say oh violence in pursuit of a political agenda is acceptable
[3:41:36.760 --> 3:41:42.600]  but only against these people okay no you've made you've made that bed now you have to lie in it
