[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[03:25:30.200 --> 03:25:37.200]  So we're probably talking about at least 10,000 children paralyzed or harmed, maimed, permanently damaged,
[03:25:37.200 --> 03:25:41.200]  neurologically damaged, made autistic, and in some cases killed by vaccines.
[03:25:41.200 --> 03:25:48.200]  And yet the state wants to come along and forcibly inject you with those vaccines against your wishes.
[03:25:48.200 --> 03:25:52.200]  Well, that, I argue, is a form of medical violence against children.
[03:25:52.200 --> 03:25:56.200]  And it goes hand in hand with this abortion violence against children,
[03:25:56.200 --> 03:26:00.200]  which these leftists are saying is a moral good.
[03:26:00.200 --> 03:26:04.200]  So understand, this is what's so crucial about this.
[03:26:04.200 --> 03:26:06.200]  I'll talk about censorship in the next segment.
[03:26:06.200 --> 03:26:07.200]  I'm sorry to get off track here.
[03:26:07.200 --> 03:26:09.200]  I'm also going to take some of your calls in the next segment.
[03:26:09.200 --> 03:26:13.200]  So if you're on hold, just hold on. We'll get to your calls.
[03:26:13.200 --> 03:26:19.200]  But understand that leftists, they believe that injecting children against the will of the parents
[03:26:19.200 --> 03:26:24.200]  with a toxic substance that may harm or kill a child is a greater good.
[03:26:24.200 --> 03:26:29.200]  And they believe that murdering a child that's already been born is a, quote, moral good.
[03:26:29.200 --> 03:26:35.200]  And they approach this in the name of Christianity and in the name of love and in the name of choice.
[03:26:35.200 --> 03:26:40.200]  And if you start a Facebook page, let's say, and you argue against that
[03:26:40.200 --> 03:26:44.200]  and you say, no, it's wrong to kill babies, they will ban you and say,
[03:26:44.200 --> 03:26:46.200]  well, you're engaged in hate speech.
[03:26:46.200 --> 03:26:52.200]  It is now a hate speech in America to defend the life of an innocent baby girl.
[03:26:52.200 --> 03:26:55.200]  Because of course, you know, about half of the abortions are baby girls.
[03:26:55.200 --> 03:27:00.200]  And so you have feminists who are pro-murder of baby girls
[03:27:00.200 --> 03:27:06.200]  attacking men who are trying to defend the baby girls against this extreme medical violence
[03:27:06.200 --> 03:27:08.200]  and vaccine violence.
[03:27:08.200 --> 03:27:14.200]  And the men who are pro-baby girls, you know, try to protect innocent lives, they are banned for hate speech.
[03:27:14.200 --> 03:27:16.200]  That is where we are.
[03:27:16.200 --> 03:27:27.200]  You cannot, you can't even grasp this without understanding the fact that there is a truly a demonic, satanic invasion of our culture right now.
[03:27:27.200 --> 03:27:29.200]  And it has invaded the tech giants.
[03:27:29.200 --> 03:27:34.200]  I have, I have no doubt that the tech giants answer to Lucifer.
[03:27:34.200 --> 03:27:43.200]  But that's literally this, again, not a metaphor that they worship demons and devils and they sacrifice children.
[03:27:43.200 --> 03:27:48.200]  You know, a lot of these people who are involved in the tech industry are involved in, you know, child trafficking and the pedophilia.
[03:27:48.200 --> 03:27:49.200]  That's why they love open borders.
[03:27:49.200 --> 03:27:51.200]  How do you think they get their children for all these activities?
[03:27:51.200 --> 03:27:52.200]  It's insane.
[03:27:52.200 --> 03:27:57.200]  But they, they have to silence every good person, every Christian person,
[03:27:57.200 --> 03:28:00.200]  every person who simply wants to protect innocent lives.
[03:28:00.200 --> 03:28:05.200]  You're going to be silenced and they're going to label you as engaged in a hate speech.
[03:28:05.200 --> 03:28:09.200]  That's why I've been banned on Twitter, you know, banned basically everything that they've done to Alex J. Jones.
[03:28:09.200 --> 03:28:12.200]  They've, they've done to, to me in natural news as well.
[03:28:12.200 --> 03:28:17.200]  It just, we just didn't get as much sort of publicity about it because we weren't as big of channels.
[03:28:17.200 --> 03:28:21.200]  But we're banned everywhere too because we stand for life.
[03:28:21.200 --> 03:28:24.200]  We are pro-life in the greatest sense of the term.
[03:28:24.200 --> 03:28:25.200]  We are pro-God.
[03:28:25.200 --> 03:28:26.200]  We are pro-life.
[03:28:26.200 --> 03:28:33.200]  We want to protect innocent human lives, protect truth and light and fight against the darkness and against the destruction
[03:28:33.200 --> 03:28:37.200]  and against the pedophilia and the child murder and the post-birth abortions.
[03:28:37.200 --> 03:28:42.200]  We oppose that with every, every iota of our being.
[03:28:42.200 --> 03:28:44.200]  There's a much more straight ahead.
[03:28:44.200 --> 03:28:46.200]  Stay with us here on the Alex Jones show.
[03:28:46.200 --> 03:28:47.200]  This is Mike Adams.
[03:28:47.200 --> 03:28:57.200]  We'll be back with more.
[03:29:17.200 --> 03:29:46.200]  We'll be back with more.
[03:29:47.200 --> 03:29:53.200]  Or shop for your Sunny Bay heating pad at SunshinePillows.com.
[03:30:18.200 --> 03:30:22.200]  But with a discount we're running right now as an introductory offer, it's 240 a bar.
[03:30:22.200 --> 03:30:26.200]  No one can top that and it funds liberty and the fight against the globalists.
[03:30:26.200 --> 03:30:29.200]  With 15 grams of protein and so much more, they're amazing.
[03:30:29.200 --> 03:30:35.200]  Secure your box of high quality InfoWarsLife protein bars today and you will be impressed and you will reorder them
[03:30:35.200 --> 03:30:38.200]  and you will help fund the operation to break the globalists back.
[03:30:38.200 --> 03:30:39.200]  It's up to you.
[03:30:39.200 --> 03:30:40.200]  It's easy.
[03:30:40.200 --> 03:30:45.200]  By high quality protein bars, from us instead of the globalists, it will fund the revolution to take it to the next level.
[03:30:45.200 --> 03:30:51.200]  Please secure these incredibly tasty high end protein bars at InfoWarsLife.com today.
[03:30:51.200 --> 03:31:20.200]  InfoWarsLife.com.
[03:31:21.200 --> 03:31:28.200]  It's a modern day lifestyle with the screen time and the extended hours to still have the stamina and endurance, energy and drive
[03:31:28.200 --> 03:31:34.200]  to get to the gym, get to the park and get exercise that you need for your health.
[03:31:34.200 --> 03:31:38.200]  So go to infowarsstore.com and get supermail vitality before it's gone.
[03:31:38.200 --> 03:31:42.200]  This is actually our last run of supermail vitality.
[03:31:42.200 --> 03:31:47.200]  So I want you to experience supermail vitality before it's too late.
[03:31:47.200 --> 03:31:54.200]  Release the supermail and use supermail vitality from infowarsstore.com.
[03:32:17.200 --> 03:32:19.200]  No but hurt when Trump won.
[03:32:19.200 --> 03:32:21.200]  They don't want us to have that victory.
[03:32:21.200 --> 03:32:25.200]  They don't want us to remember what political action did.
[03:32:25.200 --> 03:32:30.200]  And that's why the globalists, Hillary and others, are trying to shut InfoWars down.
[03:32:30.200 --> 03:32:36.200]  This is a fight about taking your speech away, not just my speech, about taking your very sovereignty away.
[03:32:36.200 --> 03:32:38.200]  This country is in a war.
[03:32:38.200 --> 03:32:44.200]  So again, I want to thank you for what you've done, but I want to remind you, if you don't spread the articles and videos,
[03:32:44.200 --> 03:32:47.200]  if you don't financially get the great products we have and fund us.
[03:32:47.200 --> 03:32:49.200]  In the 360 wind, we're dead in the water.
[03:32:49.200 --> 03:33:15.200]  I'm in your hands. You're in my hands. infowarsstore.com. Thank you.
[03:33:19.200 --> 03:33:26.200]  Now, your host, Mike Adams.
[03:33:26.200 --> 03:33:31.200]  All right, continuing here on the Alex Jones Show, thank you for joining me today, Mike Adams here.
[03:33:31.200 --> 03:33:37.200]  We, look, a quick note before I get into more about the censorship, and we're going to go to some calls as well.
[03:33:37.200 --> 03:33:45.200]  But a quick note is that the establishment cannot succeed in their genocide agenda.
[03:33:45.200 --> 03:33:50.200]  And what I mean is, you know, they're killing babies now, and they don't care. They think that's great.
[03:33:50.200 --> 03:33:55.200]  They're applauding that. That's awesome in their minds. And they don't mind killing their own babies.
[03:33:55.200 --> 03:33:57.200]  Do you think they're going to mind killing you?
[03:33:57.200 --> 03:34:03.200]  They are gearing up to slaughter Christians, just like throughout history, dozens of times throughout world history.
[03:34:03.200 --> 03:34:09.200]  You know, like in Turkey, didn't they kill a million and a half Christians at one point?
[03:34:09.200 --> 03:34:14.200]  There's a slaughter of Christians that's being set up in America because it's a demonic takeover.
[03:34:14.200 --> 03:34:19.200]  That's the point. Before they can slaughter Christians, they have to disarm the American people.
[03:34:19.200 --> 03:34:27.200]  Gun control is the big step before they can really unleash the hordes of demonic mass murderers.
[03:34:27.200 --> 03:34:31.200]  I mean, right now they can murder their own children with impunity in places like New York.
[03:34:31.200 --> 03:34:35.200]  But they really want to murder your children. You see, they want to murder you and your children.
[03:34:35.200 --> 03:34:43.200]  And since most normal people won't let a bunch of insane Democrats murder their children,
[03:34:43.200 --> 03:34:47.200]  you know, without defending their children, they have to take away your guns first.
[03:34:47.200 --> 03:34:55.200]  And so everything that the push for gun control is by the very same people who support infanticide.
[03:34:55.200 --> 03:35:02.200]  Notice that every person in the Senate, every member of the House practically who's a Democrat,
[03:35:02.200 --> 03:35:10.200]  who supports infanticide is also in favor of taking away guns from the public, gun confiscation.
[03:35:10.200 --> 03:35:16.200]  It's the prelude to murder. So the upshot of this is never, ever give up your guns,
[03:35:16.200 --> 03:35:23.200]  not even if they pass a national law. And just like the Democrats, they can say they have a sanctuary city
[03:35:23.200 --> 03:35:26.200]  where they say, ah, we're not going to pay attention to federal law,
[03:35:26.200 --> 03:35:29.200]  or they can say they have a sanctuary state like California. Well, guess what?
[03:35:29.200 --> 03:35:38.200]  If they pass a nationwide gun confiscation law, then I'm going to announce a household by household gun sanctuary status
[03:35:38.200 --> 03:35:43.200]  for all patriots. You could just say, ah, we decided that our house is a gun sanctuary location.
[03:35:43.200 --> 03:35:49.200]  We're not going to abide by your federal law. And the thing is, if the American people don't give up their guns,
[03:35:49.200 --> 03:35:52.200]  there's nothing, there's nothing the government can do about it.
[03:35:52.200 --> 03:35:57.200]  What do you think they're going to send out Nancy Pelosi and Ocasio-Cortez to come take your guns?
[03:35:57.200 --> 03:36:01.200]  I don't think they're going to pull that off, frankly, you know, because people,
[03:36:01.200 --> 03:36:05.200]  the only way they can take the guns from you is if you surrender it.
[03:36:05.200 --> 03:36:10.200]  If you consent to be enslaved, like the Australians did, you know,
[03:36:10.200 --> 03:36:15.200]  I don't know how many years ago, over a decade ago, never consent to tyranny,
[03:36:15.200 --> 03:36:21.200]  never consent to gun confiscation. That's how you survive the attempted genocide
[03:36:21.200 --> 03:36:26.200]  and onslaught that's coming that the left has already unleashed on their own children.
[03:36:26.200 --> 03:36:31.200]  And any group that would murder their own baby girls in blood, in cold blood,
[03:36:31.200 --> 03:36:35.200]  literally picking them up with their bare hands and ringing their necks,
[03:36:35.200 --> 03:36:39.200]  which is apparently what these abortion centers are doing now if babies are born alive,
[03:36:39.200 --> 03:36:42.200]  surviving an abortion attempt. They just, they break their necks, man.
[03:36:42.200 --> 03:36:49.200]  Who does that to their own babies? I'm telling you, it's demonic, not even humans anymore.
[03:36:49.200 --> 03:36:53.200]  They are demons and they don't mind killing you, but they have to take away your guns first.
[03:36:53.200 --> 03:36:57.200]  So that's what the agenda is all about. Now, I want to go to a call.
[03:36:57.200 --> 03:37:01.200]  Let's see. I think we've got Tyler in Arizona who's been waiting on the line here.
[03:37:01.200 --> 03:37:04.200]  Yeah, Tyler in Arizona, something about forced vaccines.
[03:37:04.200 --> 03:37:07.200]  Tyler, you're on with Mike Adams here. Go ahead.
[03:37:07.200 --> 03:37:11.200]  Hey, Mike. Good to talk to you. I think you always do a great job, very informative.
[03:37:11.200 --> 03:37:16.200]  You know, I just wanted to report on a story in Arizona in Chandler,
[03:37:16.200 --> 03:37:21.200]  a friend of mine, a personal friend of mine. I was just at his house like four days ago, five days ago.
[03:37:21.200 --> 03:37:27.200]  He, I guess his house got raided at two in the morning by CPS and the sheriff's office or something of that nature.
[03:37:27.200 --> 03:37:32.200]  They took all his kids. Everything was pretty unjust about the whole situation.
