[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[3:26:03.720 --> 3:26:07.880]  around him opposes him i mean does anyone doubt that even the health officials that i think otherwise
[3:26:07.880 --> 3:26:13.240]  mean well vote israeli clinton in 2016 admit they did exactly did exactly so the problem is he has
[3:26:13.240 --> 3:26:18.440]  no allies around him and there's got a bunch of dc followers that most of them aren't even evil as
[3:26:18.440 --> 3:26:22.520]  you know right at the top they're just a bunch of jellyfish exactly there are people that do not have
[3:26:22.520 --> 3:26:27.400]  any sort of backbone any sort of core independence we've had a culture of complicity of that has
[3:26:27.400 --> 3:26:31.560]  been corrupted within the academia and the intellectual complying with the most corrupt
[3:26:31.560 --> 3:26:35.400]  exactly with world because they come after you people go man alex they're coming after you
[3:26:35.400 --> 3:26:40.840]  well listen somebody had to do it and literally it comes down to that why'd you do it somebody had
[3:26:40.840 --> 3:26:45.720]  to i mean seriously you can't just not stand up to this is a recipe for disaster well i mean to
[3:26:45.720 --> 3:26:50.200]  give people a context we have never experienced in our entire country's history what's happening
[3:26:50.200 --> 3:26:54.920]  right now we've never had whole cities put under house arrest for months on end that's never happened
[3:26:54.920 --> 3:26:59.800]  that that is happening now 70 percent of americans today live under house arrest under terms that are
[3:26:59.800 --> 3:27:04.680]  harsher than most criminals experience under house and notice the rockefeller foundation
[3:27:04.680 --> 3:27:11.400]  10 years ago in a document called lockstep said this is the way to go but it's amazing what terrorism
[3:27:11.400 --> 3:27:17.160]  couldn't produce if fear for an enemies couldn't produce fear of communism couldn't produce it turns
[3:27:17.160 --> 3:27:23.400]  out the word virus can produce a completely docile compliant and now we're going to see more
[3:27:24.120 --> 3:27:29.640]  a novel virus has come along why not god knows who anybody can cook these up and then the whole
[3:27:29.640 --> 3:27:33.880]  world comes to its knees well look at this here they've been able to whether they did deliberately
[3:27:33.880 --> 3:27:38.440]  or not the lesson that they've learned from this is that here they've had a virus that hasn't even
[3:27:38.440 --> 3:27:42.840]  killed many people in the united states at this stage has not caused the hospitalization crisis
[3:27:42.840 --> 3:27:48.760]  to date that was predicted or forecast and yet they've got this massive public docile compliance
[3:27:48.760 --> 3:27:54.120]  with extreme with violating every constitutional liberty that exists to where you need papers
[3:27:54.120 --> 3:27:58.520]  to go outside of your home you need papers to go through the airport and don't worry they have
[3:27:58.520 --> 3:28:02.600]  all this work from home stuff that just rolled out a few months ago and they've got all these
[3:28:02.600 --> 3:28:06.440]  apps that china already has that we're going to have where it shows that your social distancing
[3:28:06.440 --> 3:28:11.160]  and oh but it's for the greater good so if it saves one life we've got to do it and ultimately it's
[3:28:11.160 --> 3:28:15.400]  going to result in something like a vaccine chip that's going to be the new excuse for the chip i mean
[3:28:15.400 --> 3:28:19.800]  before it was track your kids you don't want your kid to get lost i'll put a little chip in them now
[3:28:19.800 --> 3:28:23.640]  it's going to be we have this chip that has all these wonderful my key says oh they've been working
[3:28:23.640 --> 3:28:27.720]  five years secretly bill them on the gates on a digital tattoo that's sewn on your skin no one
[3:28:27.720 --> 3:28:32.200]  sees it but you can't remove it and but don't worry don't walk in the mountains by yourself but if
[3:28:32.200 --> 3:28:37.000]  you're an illegal alien you can just run around do every one exactly bill gates keeps popping up in
[3:28:37.000 --> 3:28:41.640]  this setting in a lot of interest he's a very nice person his dad happened to have a planned parenthood
[3:28:41.640 --> 3:28:46.200]  in the eugenics society but and he doesn't many wants to kill old people but hey and this virus
[3:28:46.200 --> 3:28:55.160]  eats your testicles but hey everything's okay get healthy not high with 100 pure cbd powerful
[3:28:55.160 --> 3:29:00.360]  natural pain relief from veterans vitality gc n listeners have you ever thought about how cbd
[3:29:00.360 --> 3:29:05.160]  may help you i'm sure you have heard about the many benefits of cbd well here's your opportunity
[3:29:05.160 --> 3:29:10.680]  to try before you buy created by veterans and for everyone who deserves better choices our cbd is
[3:29:10.680 --> 3:29:15.960]  derived from organic hemp grown in the usa and third party tested veterans vitality cbd saves
[3:29:15.960 --> 3:29:21.400]  you as much as 25 to 50 over our competition and a portion of all sales is contributed to veteran
[3:29:21.400 --> 3:29:26.920]  nonprofits and events many of our customers have experienced improved quality of life help with anxiety
[3:29:26.920 --> 3:29:33.160]  ppsd and overall well-being our products do not contain thc they are safe non-addictive effective
[3:29:33.160 --> 3:29:38.920]  and 100 legal gc n listeners get your free trial bottle of premium cbd by simply paying
[3:29:38.920 --> 3:29:47.320]  shipping and handling at gcnfreecbd.com that's gcnfreecbd.com again gcnfreecbd.com
[3:29:47.320 --> 3:29:56.600]  offered by veterans vitality premium cbd my mind for more than eight weeks has been fixed
[3:29:57.320 --> 3:30:03.320]  constantly scanning constantly computing to understand the strategic attack we're witnessing
[3:30:03.320 --> 3:30:09.080]  we know by the scripting and the choreography and the fact that the virus has been scanned
[3:30:09.080 --> 3:30:14.120]  that it's man-made an attack on our economy the globalist media is firmly behind this
[3:30:14.120 --> 3:30:20.440]  devastating the united states and driving from from power but now we know from scores of studies
[3:30:20.440 --> 3:30:28.600]  from china the uk the united states europe brazil japan that the virus reinfects and attacks
[3:30:28.600 --> 3:30:33.320]  different parts of the body that ladies and gentlemen is an engineered bio weapon just as
[3:30:33.320 --> 3:30:39.400]  the indian scientist eight weeks ago conclusively proves their major university they have a name
[3:30:39.400 --> 3:30:46.120]  for it the pentagon it's called a soft kill weapon it doesn't kill you usually the first time
[3:30:46.120 --> 3:30:51.160]  but the next time the third time of the fourth it does and it weighs down your economy in the process
[3:30:53.160 --> 3:31:01.480]  as men age they often experience a slowdown in vitality energy and overall wellness
[3:31:01.480 --> 3:31:10.680]  and that's why we made one of our most popular formulas to date super male vitality specifically
[3:31:10.680 --> 3:31:18.760]  designed to assist the body in regulating proper balance to create superior vitality in males now
[3:31:18.760 --> 3:31:26.040]  look this unique formula promotes your body's own natural responses and it contains no synthetic
[3:31:26.040 --> 3:31:34.520]  chemicals and no unwanted additives yes we're talking about ancient wisdom combined with modern
[3:31:34.520 --> 3:31:41.640]  technology working together in perfect synchronicity to help you get the most out of this herb packed
[3:31:41.640 --> 3:31:47.400]  formula so what are you waiting for go to the info war store never been a better time than right
[3:31:47.400 --> 3:31:56.280]  now super pale vitality at infostore.com getting your protein has never been easier with info war's
[3:31:56.280 --> 3:32:01.400]  life protein bars available and delicious chocolate peanut butter and vanilla coconut flavors
[3:32:01.400 --> 3:32:06.680]  these protein bars are the perfect answer for a snack on the go info war's life protein bars are
[3:32:06.680 --> 3:32:12.920]  nutrient packed portable protein bars for an easy to eat and great tasting meal pre or post workout
[3:32:12.920 --> 3:32:19.960]  fuel alternative at just 240 calories per bar and 15 grams of protein each these bars will be your
[3:32:19.960 --> 3:32:26.280]  favorite at hand snack for at home in the car at work we're on the go for getting nutrients easily
[3:32:26.280 --> 3:32:30.680]  high in fiber and nutrients with wholesome ingredients for high level performance with
[3:32:30.680 --> 3:32:36.440]  great taste such as whey protein and chocolate compounds these protein bars can help you with
[3:32:36.440 --> 3:32:41.560]  the boost you need to reach your goals protein packed and full of fiber and healthy ingredients
