[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[03:28:37.000 --> 03:28:43.000]  So this is very important because this person is now on CNN, which as we know is very fake news.
[03:28:43.000 --> 03:28:49.000]  So we're going to be back after the break. In the meantime, you can always find me at facebook.com forward slash Mike Cernovich.
[03:28:49.000 --> 03:28:52.000]  Can't wait to come back and talk to you more.
[03:28:52.000 --> 03:28:56.000]  Most people think life insurance pays after you're dead. That's true.
[03:28:56.000 --> 03:29:01.000]  But did you know you can have tax-free access to your life insurance while you're still alive?
[03:29:01.000 --> 03:29:06.000]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[03:29:06.000 --> 03:29:10.000]  No stock market risk, no tax risk and no penalties.
[03:29:10.000 --> 03:29:14.000]  Call life benefits if you'd like a free book about how this can be done.
[03:29:14.000 --> 03:29:22.000]  Call 702-660-7000. That's 702-660-7000.
[03:29:22.000 --> 03:29:25.000]  Want revenge on the common housefly?
[03:29:25.000 --> 03:29:29.000]  Well, after 10,000 years, someone has finally come up with a better way.
[03:29:29.000 --> 03:29:35.000]  The bug assault, a miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[03:29:35.000 --> 03:29:38.000]  Non-toxic and no batteries required. So much fun.
[03:29:38.000 --> 03:29:40.000]  You'll forget you have a wife and kids.
[03:29:40.000 --> 03:29:43.000]  $39.95 and free economy shipping.
[03:29:43.000 --> 03:29:48.000]  Use discount code GCN and get an extra 10% off your purchase at bugassault.com.
[03:29:48.000 --> 03:29:52.000]  Makes the perfect stocking stuffer. Get your bug assault today.
[03:29:54.000 --> 03:29:59.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[03:29:59.000 --> 03:30:03.000]  while you get high quality products and fund the Info War, a 360 win.
[03:30:03.000 --> 03:30:10.000]  Number one, when you choose auto-ship before checkout, we give you 10% off on your order at infowarstore.com.
[03:30:10.000 --> 03:30:15.000]  Number two, you're also able to get items that are out of stock when you sign up for auto-ship
[03:30:15.000 --> 03:30:18.000]  because we hold back a surplus for auto-ship customers.
[03:30:18.000 --> 03:30:23.000]  Number three, we're giving you free shipping on all orders above $50.
[03:30:23.000 --> 03:30:29.000]  Listers have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[03:30:29.000 --> 03:30:33.000]  Just go to infowarstore.com, select your favorite product or products.
[03:30:33.000 --> 03:30:37.000]  Click on auto-ship and choose how often you want us to send you another order.
[03:30:37.000 --> 03:30:44.000]  As you know, I coined the term 360 win and with the new auto-ship feature at infowarslife.com, this is a sure win.
[03:30:44.000 --> 03:30:45.000]  10% off on auto-ship.
[03:30:45.000 --> 03:30:49.000]  Win, win, win at infowarslife.com, free shipping on orders above $50.
[03:30:49.000 --> 03:30:54.000]  And all out of stock items are never out of stock when you sign up for auto-ship.
[03:30:54.000 --> 03:31:02.000]  If you want to slow down your aging process and protect your heart and brain from constant exposure to harmful toxins,
[03:31:02.000 --> 03:31:09.000]  then you need DNA force, the most complete full-spectrum age-defying cell-protecting formula in the world.
[03:31:09.000 --> 03:31:16.000]  DNA force is designed to help energize your cardiovascular system and reduce the aging process.
[03:31:16.000 --> 03:31:18.000]  Yeah, you like the sound of that?
[03:31:18.000 --> 03:31:29.000]  This bottle is jam-packed with a powerful antioxidant blend, clinically proven to support and accelerate your body's natural defenses against harmful toxins.
[03:31:29.000 --> 03:31:31.000]  It's in your DNA.
[03:31:31.000 --> 03:31:35.000]  Go to infowarslife.com right now and check out the reviews for yourself.
[03:31:35.000 --> 03:31:41.000]  And now, just in time for Christmas, we are offering DNA force at 33% off.
[03:31:41.000 --> 03:31:44.000]  So take advantage of this incredible deal.
[03:31:44.000 --> 03:31:52.000]  Get a bottle of DNA force today at infowarslife.com or call 1-888-253-3139.
[03:31:52.000 --> 03:31:53.000]  Yeah!
[03:31:53.000 --> 03:32:01.000]  One doesn't need to be a genius to see that the Democrats are purging their own perverts to weaponize the Me Too movement in order to take out their opponents.
[03:32:01.000 --> 03:32:10.000]  Now, former Fox News host Bill O'Reilly is predicting a huge onslaught against President Trump in January based around fake accusations of sexual assault.
[03:32:10.000 --> 03:32:19.000]  O'Reilly says there's an audio tape of an anti-Trump person offering $200,000 to a woman to accuse Donald Trump of untoward behavior.
[03:32:19.000 --> 03:32:30.000]  O'Reilly says Trump knows about the tape and he should be drawing attention to it to highlight how the entire raft of sexual assault allegations against him is an industry that there are false charges and money changing hands.
[03:32:30.000 --> 03:32:37.000]  O'Reilly says Democrats now feel they must go all in to destroy Trump because he has a good chance of getting reelected.
[03:32:37.000 --> 03:32:44.000]  It's funny how the mainstream media never got around to addressing the very serious allegations of sexual misconduct against Bill Clinton,
[03:32:44.000 --> 03:32:48.000]  but with Hillary's chance at becoming the president, nothing more than a pipe dream.
[03:32:48.000 --> 03:32:51.000]  Accusations of sexual assault are front page news.
[03:32:51.000 --> 03:33:20.000]  I'm Leigh-Anne McAdoo, infowars.com.
[03:33:21.000 --> 03:33:27.000]  My search is facebook.com forward slash Mike Cernovich.
[03:33:27.000 --> 03:33:31.000]  Thank you again for supporting the infowars.
[03:33:31.000 --> 03:33:33.000]  As always, we value your support.
[03:33:33.000 --> 03:33:37.000]  And as always, without you, we are nothing.
[03:33:37.000 --> 03:33:46.000]  So we want to talk a little bit about some of these great product specials because without you again, that's what funds this operation.
[03:33:46.000 --> 03:33:48.000]  Hold on, sorry, I just got a phone call.
[03:33:48.000 --> 03:33:53.000]  In real time, like I said, those of you, you know, a lot of people like to make fun of the production value,
[03:33:53.000 --> 03:33:55.000]  but this is real journalism.
[03:33:55.000 --> 03:33:56.000]  This is real news.
[03:33:56.000 --> 03:33:58.000]  Sources are coming in, documents are coming in.
[03:33:58.000 --> 03:34:00.000]  It's chaos and carnage every day.
[03:34:00.000 --> 03:34:02.000]  God bless all of you who support us.
[03:34:02.000 --> 03:34:06.000]  But brain force is 50% off, plus free shipping.
[03:34:06.000 --> 03:34:09.000]  There is a survival shield is 50% off.
[03:34:09.000 --> 03:34:11.000]  A lot of big sales going on.
[03:34:11.000 --> 03:34:15.000]  And remember, when you support the infowars and you improve your own health,
[03:34:15.000 --> 03:34:22.000]  you're also improving the health of the country by ensuring that you get the best news, the best information.
[03:34:22.000 --> 03:34:28.000]  So in the last segment, we talked a little bit about the violence in the White House press correspondence room.
[03:34:28.000 --> 03:34:38.000]  So we have a video, but we actually can't play the audio because the language is so foul and so vile, not by me, by the way.
[03:34:38.000 --> 03:34:42.000]  You know, I used to cuss a lot and I just realized that was a very immature thing to do.
[03:34:42.000 --> 03:34:44.000]  So I don't do that anymore.
[03:34:44.000 --> 03:34:46.000]  But we were on White House grounds.
[03:34:46.000 --> 03:34:50.000]  So let's look at the video and I'll tell you what's going on and who this person is.
[03:34:50.000 --> 03:34:54.000]  So there's a guy named Brian Karam and he works for CNN.
[03:34:54.000 --> 03:34:58.000]  I was in the White House so you can see, you can see me pause there for a minute.
[03:34:58.000 --> 03:35:04.000]  I was carrying a book bag when he runs at me to attack me and to try to frame me for a crime.
[03:35:04.000 --> 03:35:09.000]  So I was leaving, I went to a White House press briefing and did journalism as I often do.
[03:35:09.000 --> 03:35:15.000]  And then I told the White House correspondents, I go, you people have never asked anybody to disavow in Tifa.
[03:35:15.000 --> 03:35:16.000]  Why is that?
[03:35:16.000 --> 03:35:18.000]  And I was very polite, very civil.
[03:35:18.000 --> 03:35:23.000]  And then I left to be, you know, very, very, very conscientious human being.
[03:35:23.000 --> 03:35:29.000]  So I'm walking out and this guy stalks me, runs me down when I'm just minding my own business.
[03:35:29.000 --> 03:35:32.000]  So let's go back to the clips and he runs me down.
[03:35:32.000 --> 03:35:35.000]  You can see me put my book bag down to be very respectful.
[03:35:35.000 --> 03:35:42.000]  And I knew right away that what he was doing was he was trying to frame me for assault.
[03:35:42.000 --> 03:35:44.000]  That's what he was trying to do.
[03:35:44.000 --> 03:35:47.000]  So he's trying to look at him, put his finger in my face, right?
[03:35:47.000 --> 03:35:52.000]  He's making very violent gestures and I'm there just being very polite, very civil.
[03:35:52.000 --> 03:35:59.000]  I looked away and then I went to, sometimes I talk with my hands and then I realized, oh, I know what this guy is doing.
[03:35:59.000 --> 03:36:01.000]  He's framing me for assault.
[03:36:01.000 --> 03:36:06.000]  He's getting in my face, he's going to put his hand in my eyes, try to poke my eyes out.
[03:36:06.000 --> 03:36:15.000]  So then what I did was I put my hands behind my back like in a parade rest position in the military because I realized I'm being framed in real time.
[03:36:15.000 --> 03:36:17.000]  This is what the fake news media does.
[03:36:17.000 --> 03:36:19.000]  In real time, they'll frame you.
[03:36:19.000 --> 03:36:21.000]  We were on the White House grounds.
[03:36:21.000 --> 03:36:27.000]  Now this man or woman or whatever he is, gender non-binary, I don't ever assume genders,
[03:36:27.000 --> 03:36:33.000]  should never be allowed back in the White House press briefing room because this is a very violent man.
[03:36:33.000 --> 03:36:35.000]  This is a very unhinged man.
[03:36:35.000 --> 03:36:37.000]  This is a very unstable person.
[03:36:37.000 --> 03:36:44.000]  And again, we can't play you the audio because he's cussing so much that you can't air it on radio.
[03:36:44.000 --> 03:36:52.000]  He's cursing and being violent and trying to attack me, trying to frame me for an attack, hoping, because I'll tell you what, in real life,
[03:36:52.000 --> 03:36:58.000]  if we're not on the White House press briefing grounds and you put your hand in my face close enough to poke my eye out,
