[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[03:23:56.798 --> 03:24:02.041]  Great to see the freedom of speech champions out in force this morning demanding silence from those with whom they disagree.
[03:24:02.041 --> 03:24:05.563]  Calling out your brain-dead babble isn't silencing you, Gary.
[03:24:05.563 --> 03:24:06.964]  Who's silencing you?
[03:24:06.964 --> 03:24:10.546]  You've been on your soapbox spouting the same drivel since 2015.
[03:24:10.546 --> 03:24:15.429]  I have never known such love and support in my life that I'm getting this morning.
[03:24:15.429 --> 03:24:17.390]  I want to thank each and every one of you.
[03:24:17.390 --> 03:24:18.270]  It means a lot.
[03:24:18.270 --> 03:24:18.991]  Oh, piss off.
[03:24:19.531 --> 03:24:25.257]  Stop pretending your demented opinion represents the consensus view of the reasonable majority.
[03:24:25.257 --> 03:24:25.798]  It doesn't.
[03:24:25.798 --> 03:24:33.045]  We just had a poll last month where a plurality of supporters of left-wing parties think immigration to the UK is too high.
[03:24:33.045 --> 03:24:40.413]  The new poll this week shows 50% of the public support banning boat migrants from being able to claim asylum, compared to 36% who oppose.
[03:24:40.413 --> 03:24:41.234]  So no, Gary.
[03:24:41.434 --> 03:24:47.541]  Your dumb, reductive, glib hot take on mass migration isn't some kind of populist clarion call.
[03:24:47.541 --> 03:24:52.046]  It's a vacuous echo chamber talking point of the moneydily, the nowhere people.
[03:24:52.046 --> 03:24:55.590]  The only segment of society that benefits from mass migration.
[03:24:55.590 --> 03:24:56.371]  I'll continue to
[03:24:56.391 --> 03:25:00.374]  To try and speak up for those poor souls that have no voice, cheers all!
[03:25:00.374 --> 03:25:01.174]  Poor souls?
[03:25:01.174 --> 03:25:06.418]  You mean the 4 out of 10 boat migrants coming from Albania, a country not even at war?
[03:25:06.418 --> 03:25:11.101]  A significant chunk of whom get here, then go on to become career criminals and drug dealers?
[03:25:11.101 --> 03:25:12.161]  Poor souls!
[03:25:12.161 --> 03:25:18.946]  Yeah, they really look poor and downtrodden while filming their fancy free 4-star hotel rooms on their brand new iPhones, don't they?
[03:25:23.246 --> 03:25:31.615]  Poor souls!
[03:25:31.615 --> 03:25:40.904]  Poor souls like Salman Abed he rescued as a refugee from Libya before going on to blow himself and a bunch of kids up at the Manchester Arena.
[03:25:40.904 --> 03:25:41.785]  Oh poor soul!
[03:25:45.769 --> 03:25:46.889]  Oh my God!
[03:25:46.889 --> 03:25:47.710]  What's going on?
[03:25:47.710 --> 03:25:49.550]  What just happened?
[03:25:49.550 --> 03:25:54.652]  The endless cases of teenage girls being sexually harassed outside schools by these poor souls.
[03:25:54.652 --> 03:26:04.655]  Don't forget, this is the same guy who fronted NGO mass migration propaganda, saying Britain should fling its borders open even wider because fish and chips exist.
[03:26:04.655 --> 03:26:07.336]  Britain wouldn't be Britain without fish and chips.
[03:26:07.336 --> 03:26:10.817]  A national institution, a culinary delight.
[03:26:11.537 --> 03:26:12.457]  Oi, Gary!
[03:26:12.457 --> 03:26:14.998]  Have you ever thought about where I actually come from?
[03:26:14.998 --> 03:26:17.299]  Well, I suppose not.
[03:26:17.299 --> 03:26:19.339]  You've got refugees to thank for me.
[03:26:19.339 --> 03:26:24.221]  Yeah, some French dude decided to put battered fish together with chips 200 years ago.
[03:26:24.221 --> 03:26:29.082]  So I guess we just have to lay out the red carpet for Abdul and all his mates from Afghanistan.
[03:26:29.082 --> 03:26:34.424]  Funnily enough, it was another refugee who decided to bring me and Fishface together back in the 1860s.
[03:26:35.484 --> 03:26:35.984]  It's true!
[03:26:35.984 --> 03:26:39.565]  A guy called Joseph Malin opened the nation's first ever fish and chip shop.
[03:26:39.565 --> 03:26:45.627]  Aside from the small problem that this is factually incorrect, it was almost certainly Lancashire's John Lees who opened the first fish and chip shop in Britain.
[03:26:45.627 --> 03:26:48.288]  But anyway, Joseph Malin was a legal immigrant.
[03:26:48.288 --> 03:26:53.950]  He didn't just jump on a boat paid for by criminal people smugglers and illegally enter the country, did he?
[03:26:53.950 --> 03:26:54.130]  Hello.
[03:26:55.168 --> 03:26:55.528]  You're right.
[03:26:55.528 --> 03:26:57.550]  But what do facts matter to Gary?
[03:26:57.550 --> 03:27:04.474]  This is the same guy who claimed these 40-year-old men were child refugees and anyone who claimed otherwise was just a racist bigot.
[03:27:04.474 --> 03:27:13.740]  Lineker gets paid £1.35 million a year by the BBC, much of it funded by the onerous BBC licence fee, which is bullied out of the taxpayer.
[03:27:13.740 --> 03:27:20.125]  Under the BBC's own guidelines, their employees aren't allowed to express overtly political statements, which Gary does a lot.
[03:27:20.805 --> 03:27:22.327]  Mike, a hell of a lot.
[03:27:22.327 --> 03:27:25.910]  But if you're waiting for him to be disciplined or fired, don't hold your breath.
[03:27:25.910 --> 03:27:31.856]  Because the BBC only disciplines or fires people who express political views that counter leftist narratives.
[03:27:31.856 --> 03:27:36.681]  Like David Bellamy, who they unceremoniously dumped because he was critical of climate change dogma.
[03:27:36.841 --> 03:27:40.262]  The BBC won't sack Gary Lineker because the elites agree with him.
[03:27:40.262 --> 03:27:48.624]  Gary will continue to lecture the British people about how racist they are for wanting sane border controls to maintain the identity of their country.
[03:27:48.624 --> 03:27:55.486]  While he lives in the whitest pockets of multi-millionaire suburban luxury and privilege that money can buy.
[03:27:55.486 --> 03:28:01.027]  Safely shielded from the impact of the policies he demands be inflicted on everyone else.
[03:28:01.027 --> 03:28:03.268]  Britain wouldn't be Britain without refugees.
[03:28:05.250 --> 03:28:19.057]  So again, I made that video last night predicting that the BBC, which again, it exists under this impartiality rule where its own employees, even freelance contractors, aren't allowed to make political statements.
[03:28:19.057 --> 03:28:26.061]  These rules don't apply to Gary Lineker, of course, because exactly as I predicted in that video, they've done nothing whatsoever.
[03:28:26.061 --> 03:28:29.543]  The Sun reports Gary Lineker will not face any disciplinary action.
[03:28:30.143 --> 03:28:35.145]  BBC source said we have spoken to Gary and he won't face any disciplinary action.
[03:28:35.145 --> 03:28:36.846]  So again, that's not even the major issue.
[03:28:36.846 --> 03:28:42.248]  The major issue is he gets up on this soapbox and spouts this drivel for the best part of 10 years.
[03:28:42.248 --> 03:28:55.474]  He's completely protected as a member of the multi-millionaire metropolitan elite from all the negative impacts of mass migration while demanding everyone else who is impacted by it just embrace it without question.
[03:28:55.474 --> 03:28:55.914]  We'll be back.
[03:28:56.988 --> 03:29:05.396]  Ladies and gentlemen, InfoWars has proven itself in the last 28 years to be over the globalist target and having the biggest effect out there against those tyrants.
[03:29:05.396 --> 03:29:10.861]  And we fund our operation with viewers and listeners' support while selling you great products at the same time.
[03:29:10.861 --> 03:29:15.204]  So I want to thank all the viewers and listeners who have supported us over the years by spreading the word.
[03:29:15.845 --> 03:29:17.946]  I'm praying for the broadcast, I'm buying product.
[03:29:17.946 --> 03:29:35.031]  But I really want to encourage those of you that have been on the fence, that have never actually gone to Infowarshore.com to go there and get the great books and films and supplements and survival gear that's there that won't just empower you and enrich your life, but again will keep this broadcast transmitting.
[03:29:35.031 --> 03:29:38.893]  So whether it's Real Red Pill Plus or our super high quality CBD oil or the 50% off
[03:29:39.793 --> 03:29:45.980]  Or a great Fizzy Magnesium product, or whether it's Down-N-Out or Red Sleep Bae that's back in stock, it's all there.
[03:29:45.980 --> 03:29:49.543]  Our Turmeric 95% Humanoid, strongest out there, Turmeric 95.
[03:29:49.543 --> 03:29:53.087]  It's all available at InfoWarsaw.com and it keeps us on the air.
[03:29:53.087 --> 03:29:56.030]  So make the decision to enrich your life and keep us on air.
[03:29:56.030 --> 03:29:56.731]  InfoWarsaw.com.
[03:29:59.102 --> 03:30:03.725]  It's hard to believe that we're already going into March 2023.
[03:30:03.725 --> 03:30:05.506]  And the world is an insane place.
[03:30:05.506 --> 03:30:07.247]  World War III has already started.
[03:30:07.247 --> 03:30:09.569]  Biden is a puppet and is dissolving our borders.
[03:30:09.569 --> 03:30:10.729]  There's mass censorship.
[03:30:10.729 --> 03:30:12.951]  James O'Keefe's been removed from Project Veritas.
[03:30:12.951 --> 03:30:15.212]  The list goes on and on of the bad things that are happening.
[03:30:15.212 --> 03:30:19.595]  But the good things that are happening is humanity is really accelerating its awakening.
[03:30:19.855 --> 03:30:23.798]  But those of us on the forefront are under more attack by the establishment than ever.
[03:30:23.798 --> 03:30:32.224]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at InfoWarshaw.com.
[03:30:32.224 --> 03:30:40.890]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the War of the World, or Ultimate Bone Broth, finally back in stock after over two years, it's all available at InfoWarshaw.com.
[03:30:40.890 --> 03:30:42.491]  These are truly amazing products.
[03:30:42.651 --> 03:30:48.834]  So, get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[03:30:48.834 --> 03:30:53.437]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[03:30:58.797 --> 03:31:08.508]  Humanity is in a fight for its very life, and InfoWars, for decades, has been at the very forefront of the fight for a pro-human future.
[03:31:08.508 --> 03:31:12.192]  We can't stay on air without your help, and I want to thank you all for your past support.
[03:31:12.192 --> 03:31:19.140]  And I want to encourage those of you that have never bought products at InfoWarsTore.com to go there and experience how amazing these products really are.
[03:31:19.680 --> 03:31:23.924]  Ultimate Bone Broth, finally sold out for over two years, back in stock.
[03:31:23.924 --> 03:31:26.666]  Real Red Pill Plus, simply amazing.
[03:31:26.666 --> 03:31:28.928]  Nitric, boosts what it does for your heart.
[03:31:28.928 --> 03:31:30.669]  Cardiovascular, critical.
[03:31:30.669 --> 03:31:38.715]  All these products, like Ultimate Krill Oil, Ultimate Fish Oil, Supermelt Vitality, they're all available and in stock, ready to ship to you, right now on InfoWorkshore.com.
[03:31:38.715 --> 03:31:43.239]  And the final 1,200 signed copies of my book, The Great Reset and the War for the World,
[03:31:43.399 --> 03:31:44.762]  I'm not going to sign any more after that.
[03:31:44.762 --> 03:31:47.849]  Are exclusively available at infowarestore.com as well.
[03:31:47.849 --> 03:31:50.295]  In the last month, I got a little busy, so I didn't sign the books.
[03:31:50.295 --> 03:31:51.177]  We didn't have them for sale.
[03:31:51.177 --> 03:31:52.741]  But now, I signed the last books.
[03:31:52.741 --> 03:31:53.422]  You can get them right now.
[03:31:57.375 --> 03:32:05.579]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the Globals, in their own words, plan for our future.
[03:32:05.579 --> 03:32:07.040]  That is a hellish future.
[03:32:07.040 --> 03:32:16.444]  Now, you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or infowareshore.com.
