[00:00:00.029 --> 00:00:00.271]  What's up?
[03:17:57.333 --> 03:17:59.356]  Infowarslife.com.
[03:17:59.356 --> 03:18:08.628]  You go to that URL, it takes you to the subsection of Infowarsstore.com where you find the 60 plus products where we've gone out and researched what is the best,
[03:18:09.249 --> 03:18:11.030]  Well, it gives people the best results.
[03:18:11.030 --> 03:18:14.733]  We either private label it or we develop our own with top developers.
[03:18:14.733 --> 03:18:19.597]  And folks, I'm telling you, you can see the difference in me, my energy, my focus.
[03:18:19.597 --> 03:18:22.500]  I've lost almost 40 pounds in less than four months.
[03:18:22.500 --> 03:18:23.420]  It's incredible.
[03:18:23.420 --> 03:18:25.082]  So do yourself a favor.
[03:18:25.082 --> 03:18:27.564]  Try out the products if you've been on the fence.
[03:18:27.564 --> 03:18:30.446]  You can't lose except if you don't take action.
[03:18:30.446 --> 03:18:37.412]  Because when you buy the products, you're funding the operation that is always delivering thanks to your support and God's grace and our action.
[03:18:37.992 --> 03:18:39.272]  But you need these products.
[03:18:39.272 --> 03:18:42.333]  That's the real reason you want to get them, is because they're amazing.
[03:18:42.333 --> 03:18:46.255]  And then when you get great results, please tell others about it, word of mouth.
[03:18:46.255 --> 03:18:50.096]  That's how we expand in the face of the NWO, instead of imploding.
[03:18:50.096 --> 03:18:52.417]  We're fighting to win, and we are winning, thanks to you.
[03:18:53.377 --> 03:18:56.300]  Infowars doesn't have an audience.
[03:18:56.300 --> 03:19:12.675]  We have listeners, men and women, who bleed red blood, who are part of the human race, of every color, of every creed, who understand that evil is launching its full attack upon humanity now, and who are ready to stand and fight against the global scourge.
[03:19:12.675 --> 03:19:15.678]  And I need all of you to realize that you're the best we've got.
[03:19:16.498 --> 03:19:17.859]  InfoWars is the best we've got.
[03:19:17.859 --> 03:19:20.040]  We're not perfect, but we're fighting hard.
[03:19:20.040 --> 03:19:25.782]  And we need your financial support now more than ever to stay on the air.
[03:19:25.782 --> 03:19:30.544]  Not just to expand in the face of the enemy, but just to stay on air.
[03:19:30.544 --> 03:19:31.665]  So I'm telling you right now.
[03:19:32.245 --> 03:19:38.809]  I need you to step to the plate, go to m4warstore.com and get great products that you already really need.
[03:19:38.809 --> 03:19:40.990]  The 12 days of Christmas is almost over.
[03:19:40.990 --> 03:19:42.911]  Some of the biggest sales of the year.
[03:19:42.911 --> 03:19:47.994]  Take advantage of them, get store-wide free shipping, double patriot points and so much more.
[03:19:47.994 --> 03:19:51.356]  But whatever you do, do your shopping at m4warstore.com.
[03:19:51.356 --> 03:19:55.778]  Thank you and Merry Christmas.
[03:19:55.778 --> 03:19:58.400]  You're listening to the Alex Jones Show.
[03:20:15.314 --> 03:20:17.255]  The answer to 1984 is 1776.
[03:20:17.255 --> 03:20:29.860]  You're listening to the Alex Jones Show with Gerald Cilenti.
[03:20:29.860 --> 03:20:34.882]  Thank you for having me on the Alex Jones Show today.
[03:20:34.882 --> 03:20:35.803]  And where are we?
[03:20:35.803 --> 03:20:37.083]  Two days before Christmas.
[03:20:37.083 --> 03:20:44.066]  I want to wish everybody a Merry Christmas, Bon Natale, and also a time to celebrate.
[03:20:45.243 --> 03:20:49.386]  Celebrate the birth of the Prince of Peace.
[03:20:49.386 --> 03:20:55.870]  And as founder of Occupy Peace, the Prince of Peace is my kind of guy.
[03:20:55.870 --> 03:20:58.052]  Peace on Earth.
[03:20:58.052 --> 03:21:00.233]  Goodwill to men.
[03:21:00.233 --> 03:21:05.116]  And we need peace on Earth.
[03:21:05.116 --> 03:21:07.038]  Murder.
[03:21:07.038 --> 03:21:08.699]  Violence.
[03:21:08.699 --> 03:21:10.460]  Corruption.
[03:21:10.460 --> 03:21:12.181]  Misery.
[03:21:12.181 --> 03:21:14.102]  Poverty.
[03:21:14.102 --> 03:21:14.663]  Wars.
[03:21:15.834 --> 03:21:18.196]  Protests.
[03:21:18.196 --> 03:21:20.477]  Riots.
[03:21:20.477 --> 03:21:24.580]  Strikes.
[03:21:24.580 --> 03:21:26.081]  I've been at this for 40 years.
[03:21:26.081 --> 03:21:28.882]  2020 will be my 40th year.
[03:21:28.882 --> 03:21:31.044]  Take a look around the world.
[03:21:31.044 --> 03:21:32.765]  Afghanistan.
[03:21:32.765 --> 03:21:34.346]  Iraq.
[03:21:34.346 --> 03:21:35.527]  Iran.
[03:21:35.527 --> 03:21:36.687]  Syria.
[03:21:36.687 --> 03:21:38.308]  Yemen.
[03:21:38.308 --> 03:21:39.589]  Libya.
[03:21:39.589 --> 03:21:42.131]  Algeria.
[03:21:42.131 --> 03:21:43.612]  Sudan.
[03:21:43.612 --> 03:21:44.713]  Mali.
[03:21:44.713 --> 03:21:45.193]  Niger.
[03:21:45.697 --> 03:21:49.940]  Guinea, Cameroon, South Africa.
[03:21:49.940 --> 03:21:50.780]  Let's see.
[03:21:50.780 --> 03:21:51.741]  Oh, Zimbabwe.
[03:21:51.741 --> 03:21:55.723]  Oh, forgot about Hong Kong.
[03:21:55.723 --> 03:21:57.044]  Yeah.
[03:21:57.044 --> 03:22:04.408]  Oh, Chile, Colombia, Peru, Bolivia, Venezuela.
[03:22:04.408 --> 03:22:08.691]  Look what's going on around the world.
[03:22:08.691 --> 03:22:11.673]  War.
[03:22:11.673 --> 03:22:14.554]  Demonstrations.
[03:22:14.554 --> 03:22:15.235]  Protests.
[03:22:17.884 --> 03:22:22.085]  Never seen again anything like this.
[03:22:22.085 --> 03:22:33.209]  I will not die in murderous wars started by murderous leaders of murderous political gangs.
[03:22:33.209 --> 03:22:36.610]  Will you or your children?
[03:22:36.610 --> 03:22:42.893]  As the founder of Occupy Peace, I'm a warrior for the Prince of Peace.
[03:22:42.893 --> 03:22:43.873]  It's Christmas time.
[03:22:45.422 --> 03:22:49.283]  Celebrating the birth of the Prince of Peace.
[03:22:49.283 --> 03:22:52.884]  As I said, my kind of guy.
[03:22:52.884 --> 03:22:55.745]  Let's give peace a chance.
[03:22:55.745 --> 03:23:05.087]  Please consider giving a Christmas gift of peace to Occupy Peace.
[03:23:05.087 --> 03:23:13.809]  Because united in peace, we will defeat evil.
[03:23:13.809 --> 03:23:13.969]  So,
[03:23:15.458 --> 03:23:18.260]  My trip is to Occupy Peace.
[03:23:18.260 --> 03:23:19.341]  Is it yours?
[03:23:19.341 --> 03:23:21.403]  If so, please join me.
[03:23:21.403 --> 03:23:26.288]  I was just thinking, where are all the religions right now?
[03:23:26.288 --> 03:23:37.517]  I don't care whatever one you believe in, where are all the leaders of those religions saying we need peace on Earth?
[03:23:37.517 --> 03:23:42.602]  We are not going to evolve to a higher level if we live in fear and terror.
[03:23:44.096 --> 03:23:52.904]  And I don't want, you got, I don't, these people that say, well, you know, uh, we need another war.
[03:23:52.904 --> 03:23:54.725]  We could do this and we could save it.
[03:23:54.725 --> 03:23:56.707]  Don't want to hear it.
[03:23:56.707 --> 03:24:03.413]  Just for the record, America hasn't won a war since World War II.
[03:24:03.413 --> 03:24:05.975]  And they won World War II with the help of the Russians.
[03:24:05.975 --> 03:24:09.618]  Now that we've learned to hate so much because of the Democrats.
[03:24:10.233 --> 03:24:18.217]  Putting out all that propaganda as to why Hillary Clinton lost against Donald Trump.
[03:24:18.217 --> 03:24:22.059]  Well, clearly she lost because people couldn't stand her.
[03:24:22.059 --> 03:24:32.084]  And when you look at her unpopularity rating prior to the election in 2016, it couldn't have been clearer.
[03:24:32.084 --> 03:24:37.367]  But yet they've taught us how to hate the Russians.
[03:24:37.367 --> 03:24:38.848]  And now Trump just signed
[03:24:39.414 --> 03:24:44.496]  The biggest military bill in our history.
[03:24:44.496 --> 03:24:53.599]  And only 48 people in the House of Representatives voted against it.
[03:24:53.599 --> 03:24:56.440]  48 people.
[03:24:56.440 --> 03:24:58.521]  Those liberal Democrats, huh?
[03:24:58.521 --> 03:25:01.202]  Yeah, forget about it.
[03:25:01.202 --> 03:25:04.163]  I don't want my money going to war.
[03:25:04.163 --> 03:25:06.864]  I want it going to peace.
[03:25:06.864 --> 03:25:08.965]  This whole thing about the impeachment.
[03:25:10.411 --> 03:25:22.697]  Trump was holding back $400 million in military aid for the Ukrainians so they could keep the war going against the Russians.
[03:25:22.697 --> 03:25:25.458]  I don't want my money going there.
[03:25:25.458 --> 03:25:30.500]  I work very hard and so does everybody listening to make a buck.
[03:25:30.500 --> 03:25:36.263]  I don't want them stealing my money to give it to the military-industrial complex.
[03:25:36.263 --> 03:25:37.183]  And the facts are there.
[03:25:38.308 --> 03:25:45.891]  Defense stocks could soar again in 2020 after massive defense spending.
[03:25:45.891 --> 03:25:48.512]  Oh, you know where this is coming from?
[03:25:48.512 --> 03:25:54.094]  CNBC, not the World Socialist website.
[03:25:54.094 --> 03:25:58.075]  Under geopolitical uncertainty, coupled with a colossal uptick in U.S.
[03:25:58.075 --> 03:26:04.517]  military spending, could make defense stocks a winning trade once again in 2020.
[03:26:04.517 --> 03:26:05.798]  Under the Trump administration,
[03:26:06.567 --> 03:26:11.009]  The space has left the broader stock market in the dust.
[03:26:11.009 --> 03:26:13.349]  The iShares, U.S.
[03:26:13.349 --> 03:26:26.114]  aerospace and defense exchange traded funds, ITA, has rallied more than 70% since Trump won the election back in 2016.
[03:26:26.114 --> 03:26:29.655]  The S&P 500, meanwhile, is up 50% from that time.
[03:26:35.339 --> 03:26:37.820]  This year has been no different.
[03:26:37.820 --> 03:26:49.323]  The ITA ETFs have surged more than 30 percent in 2019, while the S&P 500 has gained 27 percent.
[03:26:49.323 --> 03:26:51.204]  Also, historic boost to U.S.
[03:26:51.204 --> 03:26:55.765]  defense budget should be a boom for the defense stocks in 2020.
[03:26:55.765 --> 03:26:57.826]  The article goes on and on and on.
[03:26:59.656 --> 03:27:01.657]  This is where your money's going.
[03:27:01.657 --> 03:27:05.558]  Not going to build an hour-riding infrastructure.
[03:27:05.558 --> 03:27:08.258]  Not going to create jobs.
[03:27:08.258 --> 03:27:10.719]  Going to the military-industrial complex.
[03:27:10.719 --> 03:27:12.159]  Not my trip.
[03:27:12.159 --> 03:27:18.561]  And again, anybody that wants to go to war, any leader out there, lead the charge.
[03:27:18.561 --> 03:27:19.921]  That's right.
[03:27:19.921 --> 03:27:23.683]  Get dressed up in your uniform and lead the charge.
[03:27:23.683 --> 03:27:28.064]  And send your kids, send your wife, and send your money.
[03:27:28.064 --> 03:27:29.084]  Ain't my trip.
[03:27:30.022 --> 03:27:31.162]  I am an American.
[03:27:31.162 --> 03:27:43.144]  I am a believer of the real men who brought us liberty, love and freedom like the founding fathers.
[03:27:43.144 --> 03:27:45.125]  And you go back to George Washington.
[03:27:45.125 --> 03:27:48.305]  Hey, Christmas Eve is tomorrow.
[03:27:48.305 --> 03:27:54.767]  I guess Washington wasn't spending Christmas Eve under the Christmas tree with gifts for his family.
[03:27:54.767 --> 03:27:57.127]  No, Washington was crossing the Delaware.
[03:27:58.632 --> 03:28:00.894]  To fight for freedom.
[03:28:00.894 --> 03:28:04.357]  And what's his farewell address?
[03:28:04.357 --> 03:28:08.580]  No foreign entanglements.
[03:28:08.580 --> 03:28:11.482]  Got it?
[03:28:11.482 --> 03:28:16.006]  Look what just came out with the Afghanistan papers.
[03:28:16.006 --> 03:28:20.229]  Totally, totally shut down.
[03:28:20.229 --> 03:28:23.231]  By the mainstream media.
[03:28:23.231 --> 03:28:26.294]  Don't even see it.
[03:28:26.294 --> 03:28:27.895]  They were out and they're gone.
[03:28:29.025 --> 03:28:32.709]  How they lied to us.
[03:28:32.709 --> 03:28:38.876]  How they lied to us about what's going on in Afghanistan.
[03:28:38.876 --> 03:28:40.738]  It's a time for truth.
[03:28:40.738 --> 03:28:43.021]  It's Christmas time.
[03:28:43.021 --> 03:28:46.124]  The Prince of Peace, my kind of guy.
[03:28:46.124 --> 03:28:47.186]  Be back in just a few.
[03:28:52.111 --> 03:28:55.153]  We can all agree these are troubled times, right?
[03:28:55.153 --> 03:28:58.074]  So do you know who's on your wireless network?
[03:28:58.074 --> 03:29:05.278]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[03:29:05.278 --> 03:29:10.500]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:29:10.500 --> 03:29:13.742]  FlashRouters uses a virtual private network or VPN to
[03:29:13.882 --> 03:29:18.084]  Protect your online activity from hackers, trackers, and large corporations.
[03:29:18.084 --> 03:29:21.866]  And not just one, but all your devices with one out-of-the-box setup.
[03:29:21.866 --> 03:29:30.730]  Plus, Flash Routers also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[03:29:31.010 --> 03:29:40.559]  Call or click FlashRouters today at 1-866-509-5817 or F L A S H R O U T E R S dot com.
[03:29:40.559 --> 03:29:45.864]  That's 1-866-509-5817 or FlashRouters dot com.
[03:29:45.864 --> 03:29:49.108]  Protect your wireless home network today with FlashRouters.
