[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[03:34:06.800 --> 03:34:08.800]  YouTube.com slash Owen Benjamin Comedy.
[03:34:08.800 --> 03:34:17.800]  Most of the day I spend, you know, preparing my land for crops and chickens and ducks and rabbits and stuff like that.
[03:34:17.800 --> 03:34:30.800]  And so I unwind at night and talk to the fine people out there about stuff because it's a great way to stay sane in the world of actual comedy at this time in our life.
[03:34:30.800 --> 03:34:44.800]  You know, and this time in our history when we're getting closer and closer to the full upside down, you know, when family is slavery and slavery is family and tolerance is hate is love.
[03:34:44.800 --> 03:34:46.800]  You know, we all see it.
[03:34:46.800 --> 03:35:00.800]  And doing stand-up in Canada this last weekend in Vancouver at a Greek Orthodox church because I sold out a theater and the theater wouldn't let me perform there because I'm a big ass racist.
[03:35:00.800 --> 03:35:06.800]  Meanwhile, the things they're doing to Canada to their citizens is unspeakable.
[03:35:06.800 --> 03:35:17.800]  And a while ago I thought that people would wake up to the irony of saying he can't speak because he's a fascist, but they live in that cognitive dissonance.
[03:35:17.800 --> 03:35:19.800]  They live in a world of lies and upside down.
[03:35:19.800 --> 03:35:27.800]  And for them, it isn't about, oh, is that Justin Trudeau, culturally appropriating sodomy?
[03:35:27.800 --> 03:35:32.800]  For them, it isn't about truth.
[03:35:32.800 --> 03:35:33.800]  It's about power.
[03:35:33.800 --> 03:35:42.800]  So when they realize that they're being hypocrites or when they realize that they've contradicted themselves, it does nothing to help you.
[03:35:42.800 --> 03:35:47.800]  They just want to make sure no one hears that or silence you.
[03:35:47.800 --> 03:35:48.800]  It's real crazy.
[03:35:48.800 --> 03:35:58.800]  And once you face the reality of that, then you can start living, then you can start preparing, then you can start realizing that they inadvertently made you free.
[03:35:58.800 --> 03:36:03.800]  So I go to Canada and it's sold out, awesome show.
[03:36:03.800 --> 03:36:08.800]  And I realize that what I'm doing is illegal.
[03:36:08.800 --> 03:36:16.800]  The hate speech laws say you can't dehumanize people or you can go to jail for two years.
[03:36:16.800 --> 03:36:20.800]  And of course, that makes no sense because it's all subjective.
[03:36:20.800 --> 03:36:24.800]  They also have laws where you can't blaspheme Mohammed.
[03:36:24.800 --> 03:36:29.800]  They have laws against criticizing Islam.
[03:36:29.800 --> 03:36:31.800]  They use the Islam caliphate laws.
[03:36:31.800 --> 03:36:35.800]  Oh, yeah, there's a great talk I have with this, my friend, Angelo.
[03:36:35.800 --> 03:36:37.800]  It's called Canada Has Fallen.
[03:36:37.800 --> 03:36:49.800]  If you check it out on my YouTube page, he tells a story about his Greek ancestors that had their whole families killed and sold into sex slavery during the Armenian genocide by our friends, the Muslims.
[03:36:49.800 --> 03:36:54.800]  And so, of course, I immediately make fun of Mohammed.
[03:36:54.800 --> 03:36:55.800]  I make fun of Justin Trudeau.
[03:36:55.800 --> 03:36:57.800]  I make fun of Sodomy.
[03:36:57.800 --> 03:36:59.800]  And I realized I can go to jail for it.
[03:36:59.800 --> 03:37:03.800]  And it was powerful to realize that.
[03:37:03.800 --> 03:37:12.800]  And this dude, a really cool guy who was a lawyer before I go on stage, I ask him, like, give me an example of dehumanizing a person.
[03:37:12.800 --> 03:37:20.800]  And he used the example of comparing Jews to rats, which it wasn't in my set list.
[03:37:20.800 --> 03:37:22.800]  But I wanted an exact example.
[03:37:22.800 --> 03:37:25.800]  And I was like, well, what if you say they're rat-like humans?
[03:37:25.800 --> 03:37:27.800]  I'm not saying Jews are rat-like humans, by the way.
[03:37:27.800 --> 03:37:30.800]  I was just curious.
[03:37:30.800 --> 03:37:35.800]  And people just started laughing because they realized there's no rhyme or reason to it at all.
[03:37:35.800 --> 03:37:44.800]  Like, as someone with a mustache, I can be walking around and it's just like, look, look, mommy, there's the porno man.
[03:37:44.800 --> 03:37:50.800]  I'm like, there's no correlation between having a mustache and making pornographic videos.
[03:37:50.800 --> 03:37:58.800]  But yet everyone seems to be OK with just pointing at me and saying, hey, look, mommy, that's the guy that has sex on camera for money.
[03:37:58.800 --> 03:37:59.800]  And I'm out with my family.
[03:37:59.800 --> 03:38:06.800]  I'm like, no, a mustache is actually a proud tradition of mustaches that are not ironic or funny.
[03:38:06.800 --> 03:38:12.800]  It's just men have them and that does nothing to do with porn.
[03:38:12.800 --> 03:38:24.800]  But yet I can't point at a Muslim and say, look, look, they celebrate a guy who married a six-year-old girl and was a warlord on a flying horse.
[03:38:24.800 --> 03:38:27.800]  Then I go to jail even though that's actually true.
[03:38:27.800 --> 03:38:37.800]  But yet mustaches are now associated just with a prosotomy gaze and porno stars.
[03:38:37.800 --> 03:38:41.800]  And it's obviously funny what I'm saying.
[03:38:41.800 --> 03:38:48.800]  I do realize that 20 percent of the population doesn't understand comedy, but that's fine.
[03:38:48.800 --> 03:38:49.800]  But it's true.
[03:38:49.800 --> 03:38:54.800]  It's like, to say dehumanizing doesn't mean anything.
[03:38:54.800 --> 03:38:57.800]  Everything is dehumanizing in some way.
[03:38:57.800 --> 03:38:59.800]  That's how you build yourself back up.
[03:38:59.800 --> 03:39:01.800]  So I wrote a bunch of jokes just for Canada.
[03:39:01.800 --> 03:39:04.800]  I was like, why did the chicken cross the road?
[03:39:04.800 --> 03:39:05.800]  Chicken?
[03:39:05.800 --> 03:39:07.800]  The chicken identifies as a goose.
[03:39:07.800 --> 03:39:09.800]  Now you're going to prison.
[03:39:09.800 --> 03:39:10.800]  Knock, knock.
[03:39:10.800 --> 03:39:11.800]  Who's there?
[03:39:11.800 --> 03:39:16.800]  Child protective services because you won't let your 12-year-old be trans.
[03:39:16.800 --> 03:39:19.800]  Now we're taking your children.
[03:39:19.800 --> 03:39:22.800]  How many Canadians does it take to change a light bulb?
[03:39:22.800 --> 03:39:29.800]  Technically one, but none can because they've all been broken emotionally by Justin Trudeau.
[03:39:29.800 --> 03:39:36.800]  Justin Trudeau is a prosotomy ski instructor with a famous dad and a famous stepdad.
[03:39:36.800 --> 03:39:41.800]  You know, his real dad is, of course, Castro because his mother was real into open borders,
[03:39:41.800 --> 03:39:44.800]  if you know what I mean, talking about them legs.
[03:39:44.800 --> 03:39:49.800]  And his fake dad was a prime minister of Canada.
[03:39:49.800 --> 03:39:57.800]  So you have this, this prosotomy soy crazed nonsense machine is just taking all the freedoms
[03:39:57.800 --> 03:39:59.800]  away from Canadians.
[03:39:59.800 --> 03:40:05.800]  They're bringing in another million migrants that don't fit into Canada at all, even though
[03:40:05.800 --> 03:40:07.800]  the people don't want it at all.
[03:40:07.800 --> 03:40:12.800]  They say that abortion is freedom and age is nonsense.
[03:40:12.800 --> 03:40:18.800]  He is a self-righteous, sodomy crazed fascist.
[03:40:18.800 --> 03:40:22.800]  And so I'm there doing stand-up and I got the shiver, I got a shiver, you know?
[03:40:22.800 --> 03:40:27.800]  And one of the main things that people that have survived the fall of his society or civil war,
[03:40:27.800 --> 03:40:35.800]  genocide or all that is the thing to watch out for is don't think it can't happen to you.
[03:40:35.800 --> 03:40:42.800]  I, as Yuri Besmanov, the guy, the Russian defector, one of my heroes, said,
[03:40:42.800 --> 03:40:46.800]  keep America free or else there's nowhere else to defect to, you know?
[03:40:46.800 --> 03:40:50.800]  And as I'm in Canada and I realize that's five years away,
[03:40:50.800 --> 03:40:53.800]  what Canada now is experiencing, that horror.
[03:40:53.800 --> 03:40:58.800]  And if we hadn't gotten Trump in office, we may be experiencing it right now, you know?
[03:40:58.800 --> 03:41:01.800]  And when you look at our current American public schools,
[03:41:01.800 --> 03:41:06.800]  the fact that New York state just made full-term abortions legal,
[03:41:06.800 --> 03:41:09.800]  I mean, that is straight cold Satanism, guys.
[03:41:09.800 --> 03:41:12.800]  That is sacrifice to Malik.
[03:41:12.800 --> 03:41:20.800]  And when you hear this screams of joy and clapping and applause of the people
[03:41:20.800 --> 03:41:29.800]  in this small group of sick, twisted psychopaths as they make it legal to kill babies up until birth,
[03:41:29.800 --> 03:41:35.800]  and then you realize the Vatican allows this, that Pope does not excommunicate Cuomo.
[03:41:35.800 --> 03:41:41.800]  In fact, he'll probably give him a high-five and a firm pat on the old ass.
[03:41:41.800 --> 03:41:44.800]  You realize that the government is not representing us.
[03:41:44.800 --> 03:41:50.800]  I'm from New York state and I don't know a single person who's okay with what they just did.
[03:41:50.800 --> 03:41:57.800]  And this is when you're your own God, when you think that you're your own God,
[03:41:57.800 --> 03:42:02.800]  you end up sacrificing your own future to Malik.
[03:42:02.800 --> 03:42:08.800]  And that's what's brought me back to religion is the straight-up reality of it.
[03:42:08.800 --> 03:42:13.800]  You know, when you see evil, the only way you can really explain it is the existence of God
[03:42:13.800 --> 03:42:16.800]  and the existence of biblical truth.
[03:42:16.800 --> 03:42:23.800]  Because if not, there is no explanation at all for people sacrificing their own children like this.
[03:42:23.800 --> 03:42:32.800]  And when you look at the vagina hats that these women wear on their heads in the women's march,
[03:42:32.800 --> 03:42:35.800]  you realize it looks like they're a hat from Malik.
[03:42:35.800 --> 03:42:40.800]  Like, there's horns underneath that hat. That doesn't look like any vagina I've seen, guys.
[03:42:40.800 --> 03:42:45.800]  That is a straight-up child sacrifice ritual.
[03:42:45.800 --> 03:43:06.800]  All right, something to think about. Hugepianist.com. Check me out. Stay in touch. Much love. See you in a bit.
[03:43:15.800 --> 03:43:20.800]  And a boost of energy on the go.
[03:43:20.800 --> 03:43:25.800]  Simply take a packet, mix it into the indicated amount of water, and enjoy.
[03:43:25.800 --> 03:43:33.800]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[03:43:33.800 --> 03:43:37.800]  Perfect for work, in the car, or at home.
[03:43:37.800 --> 03:43:40.800]  Turboforce is the ultimate answer to a sluggish day.
[03:43:40.800 --> 03:43:45.800]  Don't let your day slow you down. Herc up with Turboforce at infowarstore.com.
[03:44:10.800 --> 03:44:17.800]  I'm proud by all these folks that loved us. Your excitement about America, your excitement about this broadcast is what brought the country and the world back from the brink.
[03:44:17.800 --> 03:44:23.800]  But the globalists now want to target where the resistance came from so that we're not pesky in the future.
[03:44:23.800 --> 03:44:31.800]  I want to be troublesome and pesky. I want to keep going. I want to make them do the ultimate, not just destroy us financially.
[03:44:31.800 --> 03:44:37.800]  I want to push all the way. I've committed to do that. I've prayed for that, and I've been told that's going to happen.
[03:44:37.800 --> 03:44:42.800]  But you've got to back us, and I promise you this. I will never falter. I will never waver.
[03:44:42.800 --> 03:44:52.800]  And at the spiritual level, I physically will. But I give you my commitment if you financially support us at infowarstore.com to give you my absolute total commitment.
[03:44:52.800 --> 03:44:59.800]  If you're not expanding, you're imploding. There is no set stasis. There is no managed system. There is no uncontenual.
[03:44:59.800 --> 03:45:02.800]  The continuum is always launching forward in the future.
[03:45:02.800 --> 03:45:08.800]  So you support us and get creative and get fired up. We won't just be here 100 years. We'll be here forever.
[03:45:08.800 --> 03:45:15.800]  We'll turn the whole thing around. Our grandchildren on Mars bases and jump bases, and God knows what, are going to look back and say,
[03:45:15.800 --> 03:45:19.800]  we struggled here. We made it. And that's really where this goes.
[03:45:19.800 --> 03:45:21.800]  God's got a big war for you ready.
[03:45:21.800 --> 03:45:28.800]  And so if you can't face George Soros and Hillary Clinton and Adolf Hitler and Mao Zedong, are you going to really be able to face the other stuff?
[03:45:28.800 --> 03:45:33.800]  Because God wants warriors that are smart and are ready to build things and are also ready to fight.
[03:45:33.800 --> 03:45:36.800]  You don't go to the next level without getting a big weight put on your back.
[03:45:36.800 --> 03:45:38.800]  And I mean, I don't know what's going to happen to me in the future.
[03:45:38.800 --> 03:45:43.800]  I mean, all I know is I want to go with the master built. I want to go to the next level.
[03:45:43.800 --> 03:45:50.800]  I want to be with the spirit that I've experienced, not these devil worshipers. They're cold and failed and feels like being a tomb.
[03:45:50.800 --> 03:45:59.800]  I want life. I want Jesus. Defeat the globalist. Hashtag Alex Jones. Defeat the pedophiles. Hashtag Alex Jones.
[03:45:59.800 --> 03:46:08.800]  Defeat Alexander Cortez and her mindless idiocy with hashtag Alex Jones. Defeat the censors with hashtag Alex Jones.
[03:46:08.800 --> 03:46:17.800]  They've tried to ban us off every platform out there, but we've just gotten stronger because you've taken action with hashtag Alex Jones.
