[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[03:35:27.829 --> 03:35:39.359]  And they told me what went on and how the rich Germans in Dallas, once Hitler got into power in 1933, they would blackmail German family members, not my family, but people that my grandfather worked with, and suck money out of them.
[03:35:39.359 --> 03:35:46.065]  So when I heard about Hitler doing that and blackmailing people and sucking money, my family told me went on.
[03:35:46.065 --> 03:35:48.887]  So I grew up actually hearing about all of that.
[03:35:48.887 --> 03:35:49.668]  Then my grandfather
[03:35:50.734 --> 03:35:56.275]  Worked in secret weapons programs, and I only heard a little bit of it that my mom heard him talk about.
[03:35:56.275 --> 03:36:10.139]  He would never talk about it, but I remember him bitching when I'm like eight years old about in weapons projects, and how he knew he went and he knew Wernher von Braun all of it, and how he had to deal with these damn Nazis, and how arrogant they were, and how he didn't like them.
[03:36:10.139 --> 03:36:13.740]  So, I mean, I grew up with both grandfathers have been in World War II.
[03:36:13.740 --> 03:36:17.381]  They both dealt with the Nazis, and they both didn't like Nazis.
[03:36:17.921 --> 03:36:22.065]  And so, I didn't get it from Captain America, I didn't get it from Hollywood, I didn't get it from any of that.
[03:36:22.065 --> 03:36:23.926]  I got it from my badass grandfather.
[03:36:23.926 --> 03:36:27.950]  So now look, people today are like, these guys were freaking badasses.
[03:36:27.950 --> 03:36:29.611]  And you know, they don't make men like that anymore.
[03:36:29.611 --> 03:36:31.072]  So, that's where I'm at.
[03:36:31.072 --> 03:36:33.554]  But that said, you can't criticize Nick Fuentes.
[03:36:34.195 --> 03:36:46.904]  For what he's saying, when the left is literally redlining the engine when it comes to race-based politics, and the ADL is captaining it, teaching elementary students they're inherently bad because of what color they are.
[03:36:46.904 --> 03:36:51.327]  But my issue is, I'm not going to sink to the level of the ADL.
[03:36:51.327 --> 03:36:54.049]  But I say, mess around, find out.
[03:36:54.049 --> 03:36:58.652]  Like Nick Fuentes said earlier, you think Nick Fuentes is your ultimate enemy.
[03:36:58.652 --> 03:37:00.354]  The support for what Ye said,
[03:37:01.567 --> 03:37:03.487]  What's 50-50?
[03:37:03.487 --> 03:37:09.589]  I wanted to demarcate the fact that I'm not for authoritarianism, and I don't agree with what happened, what some of the things he said.
[03:37:09.589 --> 03:37:14.390]  I don't agree with the censorship and what's happened to him, but I'm not in league with that whole worldview.
[03:37:14.390 --> 03:37:15.330]  So that's where I'm at.
[03:37:15.330 --> 03:37:19.872]  We've got loaded phone lines for Nick Fuentes and myself right now.
[03:37:19.872 --> 03:37:22.252]  Daniel called in earlier before I went to you.
[03:37:22.252 --> 03:37:25.333]  He wanted to bring up Bible verses and Synagogue of Satan stuff.
[03:37:25.333 --> 03:37:27.874]  I said, why don't you hold till Nick Fuentes is on.
[03:37:27.874 --> 03:37:28.254]  Nick's here.
[03:37:28.254 --> 03:37:29.214]  Go ahead and make your point, Daniel.
[03:37:31.064 --> 03:37:45.340]  So, I wanted to say that there are a lot of different sides to the question, and when you don't have all the sides, you end up with evangelical Zionism or, you know, other over-emphatic views that they emphasize one or another point.
[03:37:45.971 --> 03:37:49.934]  of the discussion of the Jews.
[03:37:49.934 --> 03:37:59.039]  And the fact is that the Jews do have a lot of blessings, just inherited from the righteousness of Abraham, Isaac, and Jacob, from the forefathers.
[03:37:59.039 --> 03:38:07.565]  They have callings and blessings, but in Malachi it says that God will curse their blessings because they have not honored His name.
[03:38:07.565 --> 03:38:09.646]  So here you have people who are lost,
[03:38:10.106 --> 03:38:20.432]  But they have inherited all these blessings because of their forefathers, and these blessings are just being shot in every direction, and they fight against each other, they fight against the world.
[03:38:20.432 --> 03:38:31.419]  It says in 1 Thessalonians 2.15, they are displeasing to God and hostile to all men, which includes themselves, which is the answer to your question, Alex, how come they're killing so many people in Israel?
[03:38:31.419 --> 03:38:33.420]  You know, they are aiming their
[03:38:34.353 --> 03:38:38.677]  Weapons, blessings at everything and everybody, including themselves.
[03:38:38.677 --> 03:38:38.897]  Why?
[03:38:38.897 --> 03:38:49.425]  Because it says in Galatians 4, 21-31, when it describes how they are our persecutor, they are the Ishmael to us Christians, the Isaac.
[03:38:49.425 --> 03:38:53.728]  We are allegorically Isaac, they are allegorically Ishmael.
[03:38:53.728 --> 03:39:01.634]  And if you look at who Ishmael is in Genesis 16, verse 12, it says, "...he will be a wild donkey of a man, his hand against all his brothers."
[03:39:02.642 --> 03:39:05.849]  So this is really the answer to a lot of the questions.
[03:39:12.574 --> 03:39:21.918]  Yeah, I think that's all great, and I think it's so important to emphasize, and this is something I want to get to before the last break, is Alex, you said you wanted to transcend all these things.
[03:39:21.918 --> 03:39:25.420]  There's only one way to transcend anything, and that's through Christ.
[03:39:25.420 --> 03:39:33.844]  The answer's not Hitler, the answer's not National Socialism, the answer to what's going on right now, and the Jewish influence, or whatever, all the influences,
[03:39:34.524 --> 03:39:38.386]  Is for us to follow people that follow Jesus Christ, and it's that simple.
[03:39:38.386 --> 03:39:40.906]  But wasn't Jesus Christ not born a Jew?
[03:39:40.906 --> 03:39:45.408]  He said, I came to fulfill the Old Testament, not to destroy it.
[03:39:45.408 --> 03:39:50.390]  So, I mean, I love how people that hate Jews then follow Jesus, which I do.
[03:39:50.390 --> 03:39:51.990]  Jesus is the Messiah.
[03:39:51.990 --> 03:39:53.591]  Don't you see there's a paradox here?
[03:39:54.970 --> 03:39:58.853]  It's not a paradox at all, because Jesus Christ was the fulfillment of the law.
[03:39:58.853 --> 03:40:00.554]  And so who are the Jews that remain?
[03:40:00.554 --> 03:40:05.198]  It's the Jews that are still holding on to old sacrifices and old ways of doing things.
[03:40:05.198 --> 03:40:11.983]  And like I said, that's where you get the Mishnah, and that's where you get the Talmud, and that's where you get the idolization of the law.
[03:40:12.623 --> 03:40:22.008]  For its own sake, and the idolization of the law and ritual for its own sake, rather than the lamb, rather than... But the leftist Jews are literally at war with the Hasidic Jews.
[03:40:22.008 --> 03:40:25.090]  That's not a fake war, they're literally persecuting the hell out of them.
[03:40:25.090 --> 03:40:28.952]  Look at New York, how New York attacked the ultra-Orthodox.
[03:40:30.416 --> 03:40:31.977]  The Jews are not at war with each other.
[03:40:31.977 --> 03:40:33.958]  The only times they even criti... They're not.
[03:40:33.958 --> 03:40:34.938]  They're simply not.
[03:40:34.938 --> 03:40:39.980]  They're a rival faction, certainly, but at the end of the day, they're all on the same side.
[03:40:39.980 --> 03:40:52.106]  The only reason the ZOA criticized the ADL is because they said, hey, ADL, your anti-white hatred is actually confusing people and people think Jews are white and they're not liking Jews, so could you please stop it?
[03:40:52.106 --> 03:40:57.328]  But they didn't say that on behalf of the white people, and the ZOA is considered a more conservative Jewish group, so...
[03:40:58.268 --> 03:41:00.370]  So, it's not to say that they're a monolith.
[03:41:00.370 --> 03:41:01.210]  They're not a monolith.
[03:41:01.210 --> 03:41:03.092]  Like you said, there's intense factionalism.
[03:41:03.092 --> 03:41:04.052]  All right, let's take another call then.
[03:41:04.052 --> 03:41:04.693]  Let's get the calls.
[03:41:04.693 --> 03:41:05.894]  Chris in Kentucky, you're on the air.
[03:41:05.894 --> 03:41:07.715]  Go ahead.
[03:41:07.715 --> 03:41:09.136]  Yeah, thanks for taking my call.
[03:41:09.136 --> 03:41:22.906]  I just want to talk about this whole interview in the context of my daughter and I listened to that interview together later in the day after I picked her up from her basketball practice, and I just can't
[03:41:24.897 --> 03:41:29.300]  I can't express how much empathy she had for you, Alex.
[03:41:29.300 --> 03:41:50.514]  I just kind of felt like you were hijacked, and I really feel like this whole conversation stems from being, I hate to say this, but spiritually immature and not truly understanding the Jewish people.
[03:41:51.675 --> 03:42:01.438]  I've heard rabbis talk about Jews in particular and drawing the distinction from secular Jews and the evil that they're doing in this world.
[03:42:01.438 --> 03:42:05.939]  You know, they've all had a...we can look all throughout the Bible.
[03:42:05.939 --> 03:42:08.820]  You know, Jesus is not just the God of the New Testament.
[03:42:08.820 --> 03:42:12.360]  He's the God of the Old Testament, too.
[03:42:12.360 --> 03:42:14.501]  And they are God's covenant people.
[03:42:15.580 --> 03:42:26.247]  But I do know this, at the end of the day, every knee will bow, every tongue will confess, and that includes everybody, not any specific people groups.
[03:42:26.247 --> 03:42:29.509]  And by the way, you see the attack on Christ, the anti-Christ spirit knows that.
[03:42:29.509 --> 03:42:30.670]  Don't hang up.
[03:42:30.670 --> 03:42:31.890]  Chris, I want you to finish up.
[03:42:31.890 --> 03:42:33.411]  We can go for 10 hours.
[03:42:33.411 --> 03:42:35.593]  Nick, you've got to come back and take like two hours of calls.
[03:42:35.593 --> 03:42:40.216]  And we'll do a commercial-free podcast some Saturday, and we'll open the phones up and take like 50 calls.
[03:42:40.216 --> 03:42:40.776]  We should do this.
[03:42:40.776 --> 03:42:44.098]  You've got your own show on CozyTV as well.
[03:42:44.098 --> 03:42:44.959]  Give people the URL.
[03:42:46.348 --> 03:42:48.011]  Cozy.tv slash Nick.
[03:42:48.011 --> 03:42:49.173]  Yeah, I'd love to.
[03:42:49.173 --> 03:42:50.456]  Don't be afraid of the info, folks.
[03:42:50.456 --> 03:42:53.942]  Check it out at band.video and infowars.com.
[03:42:53.942 --> 03:42:54.544]  We'll be right back.
[03:42:57.915 --> 03:43:05.117]  Ladies and gentlemen, InfoWars live products have always been the highest quality, triple tested, and you've seen the rave reviews.
[03:43:05.117 --> 03:43:16.141]  But doing deep research, we made contact with the top company in the United States, and it turned out they were supplying almost all the raw materials to the companies that we were already using.
[03:43:16.141 --> 03:43:24.704]  So we've gone directly to the source, and that means we can give you lower prices on the very same high quality supplements, and in some cases, even better.
[03:43:24.704 --> 03:43:25.284]  Introducing
[03:43:26.124 --> 03:43:30.688]  InfoWarsMD at InfoWarsStore.com.
[03:43:30.688 --> 03:43:35.972]  InfoWarsMD exclusively at InfoWarsStore.com has 10 new products.
[03:43:35.972 --> 03:43:44.178]  Tumeric 95, Libido RX, Better Mood, Nitric Boost, Mushroom Max, Anitropic, Angel's Vitality Collagen,
[03:43:44.558 --> 03:43:46.660]  Superfood greens and more.
[03:43:46.660 --> 03:43:48.282]  Just take the superfood greens.
[03:43:48.282 --> 03:43:55.748]  This is the highest quality greens out there and it's at a price way, way lower than the same product on store shelves for up to twice the cost.
[03:43:55.748 --> 03:43:57.530]  Find InfoWarsMD at InfoWarsStore.
[03:43:57.530 --> 03:44:05.397]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[03:44:06.097 --> 03:44:10.559]  And it's absolutely absurd for anyone to take our election seriously.
[03:44:10.559 --> 03:44:14.140]  It's election month, Alex.
[03:44:14.140 --> 03:44:15.720]  It's not election day.
[03:44:15.720 --> 03:44:16.821]  And that's the problem.
[03:44:16.821 --> 03:44:20.142]  And everything changed after COVID-19.
[03:44:20.142 --> 03:44:29.365]  They illegally changed state elections, mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[03:44:29.365 --> 03:44:31.386]  Well, this isn't any way to run an election.
[03:44:31.386 --> 03:44:35.027]  We are in a serious country when we have elections that can be stolen like this.
[03:44:35.627 --> 03:44:53.613]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity and question the fact that elections shouldn't be run the way they are.
