[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[3:07:57.360 --> 3:08:02.680]  position with moral authority are squeezing their countrymen
[3:08:02.680 --> 3:08:07.880]  to death by acquiescing to inflation and neofutilism,
[3:08:07.880 --> 3:08:11.840]  all in the name of family values.
[3:08:11.840 --> 3:08:14.080]  I just love that Charlie Munger and Bill Gates are always
[3:08:14.080 --> 3:08:14.960]  in news articles.
[3:08:14.960 --> 3:08:16.960]  I'm not even looking for about why
[3:08:16.960 --> 3:08:19.720]  it's important to be completely moral and always
[3:08:19.720 --> 3:08:20.880]  be of the highest standards.
[3:08:20.880 --> 3:08:23.200]  Warren Buffett, Charlie Munger.
[3:08:23.200 --> 3:08:24.600]  And it's how good they are.
[3:08:24.600 --> 3:08:26.880]  And in the meanwhile, biggest beneficiaries
[3:08:26.880 --> 3:08:28.400]  of Banker-Bailout 2008.
[3:08:28.400 --> 3:08:28.960]  But that's what?
[3:08:28.960 --> 3:08:31.320]  Giant money-launderers, drug-money-launderers,
[3:08:31.320 --> 3:08:34.440]  saying they love communist China, saying they want to rob.
[3:08:34.440 --> 3:08:36.480]  I mean, they're just monsters.
[3:08:36.480 --> 3:08:38.600]  So Charlie Munger, if you extrapolate what he's saying
[3:08:38.600 --> 3:08:42.320]  to the end, that's eugenics.
[3:08:42.320 --> 3:08:44.560]  He's a eugenicist.
[3:08:44.560 --> 3:08:46.480]  That's beyond white supremacy, right?
[3:08:46.480 --> 3:08:47.360]  Well, they all are.
[3:08:47.360 --> 3:08:47.720]  You're right.
[3:08:47.720 --> 3:08:49.040]  That's what they're a part of.
[3:08:49.040 --> 3:08:51.800]  They believe in the super master.
[3:08:51.800 --> 3:08:53.080]  So the fact that they're in charge
[3:08:53.080 --> 3:08:54.640]  means they're supposed to be in charge?
[3:08:54.640 --> 3:08:58.440]  It means that they are the uber-munchin.
[3:08:58.440 --> 3:08:59.720]  They are the Superman.
[3:08:59.720 --> 3:09:02.640]  And everyone is vast.
[3:09:02.640 --> 3:09:04.960]  And they have a right to do this test because they're in charge.
[3:09:04.960 --> 3:09:08.120]  I mean, this white supremacy, quote unquote, problem,
[3:09:08.120 --> 3:09:11.440]  is a problem for whites, too.
[3:09:11.440 --> 3:09:14.080]  Like, I'm not a eugenicist.
[3:09:14.080 --> 3:09:16.840]  Oh, I don't believe in white supremacism, except these guys.
[3:09:16.840 --> 3:09:19.000]  They happen to be white, and they're literally monsters.
[3:09:19.000 --> 3:09:21.360]  Right, they're eugenicists from the 30s.
[3:09:21.360 --> 3:09:22.960]  I mean, that's a problem for me, too.
[3:09:22.960 --> 3:09:25.680]  And I couldn't pass their purity test
[3:09:25.680 --> 3:09:28.720]  because I'm not a psychopath.
[3:09:28.720 --> 3:09:30.280]  You have to be a psychopath to get
[3:09:30.280 --> 3:09:34.440]  past the first step with these eugenicist psychopaths,
[3:09:34.440 --> 3:09:37.720]  like Charlie Buttmunder Munger, the Warren Buffett.
[3:09:37.720 --> 3:09:39.960]  And they always do TV shows about, oh, I like ice cream.
[3:09:39.960 --> 3:09:41.520]  I like Willie Nelson.
[3:09:41.520 --> 3:09:44.120]  They're always like, look, I'm a person, all their ads.
[3:09:44.120 --> 3:09:45.400]  Oh, look, I'm a human.
[3:09:45.400 --> 3:09:47.160]  Look, I'm like you.
[3:09:47.160 --> 3:09:48.560]  Well, no one that's normal does that.
[3:09:48.560 --> 3:09:49.920]  Like, oh, look, I'm normal like you.
[3:09:49.920 --> 3:09:50.880]  Look, I drink beer.
[3:09:50.880 --> 3:09:52.320]  Look, I'm having a hamburger.
[3:09:52.320 --> 3:09:54.320]  Like Elizabeth Warren, like, oh, I'll have a beer.
[3:09:54.320 --> 3:09:55.920]  Like, she screwed.
[3:09:55.920 --> 3:09:57.600]  The top flies off, it's all fake.
[3:09:57.600 --> 3:10:00.400]  You can tell what they think humans are like.
[3:10:00.400 --> 3:10:03.080]  If you look at Boston Dynamics, the people
[3:10:03.080 --> 3:10:05.480]  who make those robots and robotic dogs,
[3:10:05.480 --> 3:10:07.200]  they give them human-like characteristics.
[3:10:07.200 --> 3:10:10.480]  And those are manufactured by those people who believe
[3:10:10.480 --> 3:10:12.000]  they know what humans are like.
[3:10:12.000 --> 3:10:13.760]  So when you look at that robotic dog,
[3:10:13.760 --> 3:10:16.640]  and you can obviously tell it's a robotic dog that's
[3:10:16.640 --> 3:10:18.800]  going to kill you within a fraction of a second
[3:10:18.800 --> 3:10:21.000]  if you say something wrong, that's
[3:10:21.000 --> 3:10:22.400]  what they think humans are like.
[3:10:22.400 --> 3:10:25.320]  So they're imbuing their products
[3:10:25.320 --> 3:10:27.960]  with the qualities of humanity as they understand it
[3:10:27.960 --> 3:10:31.720]  as informed to them by Satan.
[3:10:31.720 --> 3:10:33.920]  Well, remember, Hitler wanted all these robotic dances.
[3:10:33.920 --> 3:10:36.480]  Mao Zedong, Kim Jong-un, you're right.
[3:10:36.480 --> 3:10:38.120]  They want robotic servants.
[3:10:38.120 --> 3:10:41.480]  Max Kaiser, tomorrow night, Thursday, the Spider House.
[3:10:41.480 --> 3:10:43.600]  Max Kaiser, thank you so much.
[3:10:43.600 --> 3:10:44.360]  My pleasure, Alex.
[3:10:44.360 --> 3:10:46.920]  As always, you've got to come back on tomorrow.
[3:10:46.920 --> 3:10:49.560]  Yeah, whatever.
[3:10:49.560 --> 3:10:52.120]  The scientific dictatorship that I've been warning you
[3:10:52.120 --> 3:10:55.760]  about for 27 years has now gone from beta testing
[3:10:55.760 --> 3:10:57.080]  to operational.
[3:10:57.080 --> 3:10:58.560]  The globalists are out of the open
[3:10:58.560 --> 3:11:01.320]  with their planetary depopulation takeover,
[3:11:01.320 --> 3:11:02.640]  their robot takeover.
[3:11:02.640 --> 3:11:04.440]  But the good news is we've been working,
[3:11:04.440 --> 3:11:05.960]  and you've been working, and others
[3:11:05.960 --> 3:11:08.120]  have been working across the planet for decades
[3:11:08.120 --> 3:11:10.440]  to get ready for this, to be able to find it off.
[3:11:10.440 --> 3:11:11.920]  Humanity is strong.
[3:11:11.920 --> 3:11:12.880]  We're incredible.
[3:11:12.880 --> 3:11:14.960]  And if we're aware of the attack that's happening,
[3:11:14.960 --> 3:11:16.680]  we have a real chance of defeating it.
[3:11:16.680 --> 3:11:19.120]  If we ask God for guidance, we will defeat it.
[3:11:19.120 --> 3:11:20.560]  So prayer is essential.
[3:11:20.560 --> 3:11:21.760]  Research is essential.
[3:11:21.760 --> 3:11:22.960]  Getting prepared is essential.
[3:11:22.960 --> 3:11:25.440]  And warning others is absolutely essential.
[3:11:25.440 --> 3:11:28.200]  And at the same time, supporting info wars
[3:11:28.200 --> 3:11:30.240]  by buying high-quality products to keep us on air
[3:11:30.240 --> 3:11:32.240]  is essential because they're great products for you
[3:11:32.240 --> 3:11:35.120]  and your family, and they're also funding our operation.
[3:11:35.120 --> 3:11:37.440]  InfoWarsStore.com.
[3:11:37.440 --> 3:11:39.760]  InfoWarsStore.com is incredible.
[3:11:39.760 --> 3:11:41.560]  A lot of our products that have been sold out
[3:11:41.560 --> 3:11:43.560]  because the supply chain breakdowns are back in,
[3:11:43.560 --> 3:11:45.440]  like bodies, vasobites, and others.
[3:11:45.440 --> 3:11:47.560]  So get them today at infowarsstore.com.
[3:11:47.560 --> 3:11:50.040]  And I thank you for being part of the resistance.
[3:11:50.040 --> 3:11:52.800]  In the early 1990s, there was a really funny movie
[3:11:52.800 --> 3:11:55.800]  that came out called Wayne's World.
[3:11:55.800 --> 3:11:58.920]  Wayne's World, Wayne's World.
[3:11:58.920 --> 3:12:02.040]  Even before I had access to a show in the mid-1990s,
[3:12:02.040 --> 3:12:05.520]  I went and saw that movie and thought, man, that was fun.
[3:12:05.520 --> 3:12:07.560]  That's to speak out and have your own ideas.
[3:12:07.560 --> 3:12:09.520]  And even if you're a nerd, you're still entertaining
[3:12:09.520 --> 3:12:10.520]  because you're real.
[3:12:10.520 --> 3:12:12.600]  Well, what do they say in Wayne's World?
[3:12:12.600 --> 3:12:14.360]  We're not worthy.
[3:12:14.360 --> 3:12:16.200]  We're not worthy.
[3:12:16.200 --> 3:12:18.560]  Every day when I cover these huge topics,
[3:12:18.560 --> 3:12:20.320]  I don't feel worthy to talk to you
[3:12:20.320 --> 3:12:22.280]  because these topics are so huge, they're so real.
[3:12:22.280 --> 3:12:23.600]  But I'm trying to tell you the truth.
[3:12:23.600 --> 3:12:24.600]  I'm trying to get it right.
[3:12:24.600 --> 3:12:25.720]  And most of the time, we do.
[3:12:25.720 --> 3:12:27.360]  The globalists love lying to you.
[3:12:27.360 --> 3:12:28.680]  They love manipulating you.
[3:12:28.680 --> 3:12:31.360]  They enjoy destroying humanity.
[3:12:31.360 --> 3:12:35.280]  They enjoy manipulating ideas and using people's ignorance
[3:12:35.280 --> 3:12:36.040]  against them.
[3:12:36.040 --> 3:12:39.480]  That, for me, is really set down and disgusting.
[3:12:39.480 --> 3:12:41.480]  So you've got to pledge for myself and the whole InfoWars
[3:12:41.480 --> 3:12:45.280]  crew that we will never join the globalists.
[3:12:45.280 --> 3:12:47.360]  We will never knowingly manipulate you
[3:12:47.360 --> 3:12:49.360]  because we know we're all in this together.
[3:12:49.360 --> 3:12:55.360]  You're listening to the Alex Jones Show.
[3:13:07.360 --> 3:13:10.360]  Rally Patriots Worldwide.
[3:13:10.360 --> 3:13:12.360]  I am Alejandro Jones.
[3:13:12.360 --> 3:13:14.360]  I want to thank this group for putting up this video.
[3:13:14.360 --> 3:13:16.360]  I'm an old river jerk behind the scenes.
[3:13:16.360 --> 3:13:18.360]  Hi, Pip, Lord, please forgive me.
[3:13:18.360 --> 3:13:20.360]  But this stuff gets to me.
[3:13:20.360 --> 3:13:22.360]  You know, I meant to come on air and give you the future
[3:13:22.360 --> 3:13:24.360]  and what the globalists are going to do with the contact
[3:13:24.360 --> 3:13:26.360]  tracers and the lockdowns and what it's going to look like.
[3:13:26.360 --> 3:13:28.360]  And I kind of put it all together.
[3:13:28.360 --> 3:13:30.360]  I've already put it together, but I put it together to go
[3:13:30.360 --> 3:13:32.360]  on air with it in the second hour.
[3:13:32.360 --> 3:13:36.360]  And I choked out.
[3:13:36.360 --> 3:13:39.360]  I choked out.
[3:13:39.360 --> 3:13:41.360]  And I'm not says to be dramatic.
[3:13:41.360 --> 3:13:43.360]  This is horrible stuff I'm going to tell you.
[3:13:43.360 --> 3:13:46.360]  And I don't want to do, I don't take pleasure
[3:13:46.360 --> 3:13:50.360]  by being a doctor, an oncologist or something,
[3:13:50.360 --> 3:13:54.360]  you know, and telling somebody they've got some terminal disease.
[3:13:54.360 --> 3:13:56.360]  But the only chance we got to making it through this
[3:13:56.360 --> 3:13:58.360]  with a remnant is being honest with you.
[3:13:58.360 --> 3:14:02.360]  So we got a special guest joining us for the next two segments.
[3:14:02.360 --> 3:14:04.360]  They're holding right now and I appreciate them.
[3:14:04.360 --> 3:14:07.360]  He called in your state and he said a lot of stuff I knew was true.
[3:14:07.360 --> 3:14:09.360]  A lot of folks don't know about it.
[3:14:09.360 --> 3:14:10.360]  Almost no one knows about it.
[3:14:10.360 --> 3:14:11.360]  He was very well spoken.
[3:14:11.360 --> 3:14:14.360]  He sent us a lot of documents and articles to prove what he's saying.
[3:14:14.360 --> 3:14:19.360]  I'll be talking to him, start the next segment for two segments.
[3:14:19.360 --> 3:14:21.360]  And then I'm going to, after the show today,
[3:14:21.360 --> 3:14:25.360]  I've got a lot of work to do, but I'm going to spend some time
[3:14:25.360 --> 3:14:32.360]  getting all these articles together and telling you what I believe
[3:14:32.360 --> 3:14:35.360]  from my own research, what's coming next.
[3:14:35.360 --> 3:14:41.360]  And in fact, it's not what I think is coming next.
[3:14:41.360 --> 3:14:43.360]  It's what they're going to do.
[3:14:43.360 --> 3:14:47.360]  Now they have different divergent roadmaps of how they're going to get there,
[3:14:47.360 --> 3:14:50.360]  but we know where they're taking us and the destination is not good.
[3:14:50.360 --> 3:14:53.360]  So we can argue about timelines all day and they can change timelines,
[3:14:53.360 --> 3:15:04.360]  but I don't wish any physical harm against globalists.
[3:15:04.360 --> 3:15:08.360]  I don't wish to go out and have some conflict with them.
[3:15:08.360 --> 3:15:12.360]  They have that instinct to dominate us to prove they are superior.
[3:15:12.360 --> 3:15:15.360]  So when we subserve ourselves to them,
[3:15:15.360 --> 3:15:17.360]  people like Charlie Munger,
[3:15:17.360 --> 3:15:19.360]  oh, shiny, I want to have you arrested.
[3:15:19.360 --> 3:15:22.360]  I'm going to kill you.
[3:15:22.360 --> 3:15:28.360]  He says that on TV about people they put in death camps that did nothing.
[3:15:28.360 --> 3:15:32.360]  And that's what they're converting us to here is China.
[3:15:32.360 --> 3:15:34.360]  And that's what Justin Trudeau promotes.
[3:15:34.360 --> 3:15:35.360]  And that's what they're pushing.
[3:15:35.360 --> 3:15:36.360]  And it's serious.
[3:15:36.360 --> 3:15:40.360]  And it's as real as death.
[3:15:40.360 --> 3:15:44.360]  So I'm going to air this special report because it needs to be seen.
[3:15:44.360 --> 3:15:48.360]  And I'm going to splash some water on my face.
[3:15:48.360 --> 3:15:56.360]  Now I'm going to come back and hit this because this is the big enchilada.
[3:15:56.360 --> 3:15:58.360]  This is the big kahuna.
[3:15:58.360 --> 3:16:02.360]  Here's this report Kamala is f'd up.
[3:16:02.360 --> 3:16:03.360]  Here it is.
[3:16:03.360 --> 3:16:08.360]  You agree today that you were wrong to oppose busing in America.
[3:16:08.360 --> 3:16:10.360]  Do you agree?
[3:16:10.360 --> 3:16:12.360]  I did not oppose busing in America.
[3:16:12.360 --> 3:16:16.360]  What I opposed is busing ordered by the Department of Education.
[3:16:16.360 --> 3:16:17.360]  That's what I opposed.
[3:16:17.360 --> 3:16:22.360]  Well, there was a failure of states to integrate public schools in America.
[3:16:22.360 --> 3:16:27.360]  I was part of the second class to integrate Berkeley, California public schools
[3:16:27.360 --> 3:16:30.360]  almost two decades after Brown v. Board of Education.
[3:16:30.360 --> 3:16:33.360]  Because your city council made that decision.
[3:16:33.360 --> 3:16:36.360]  So that's where the federal government must step in.
[3:16:36.360 --> 3:16:41.360]  To the book, Biden leaned over to Pete Buttigieg at the podium to his right.
[3:16:41.360 --> 3:16:45.360]  They barely knew each other, but Biden was looking for someone to share the moment with.
[3:16:45.360 --> 3:16:49.360]  Well, he said that was some effing BS.
[3:16:49.360 --> 3:16:54.360]  Kamala Harris will easily go down as the worst vice president in U.S. history.
[3:16:54.360 --> 3:17:00.360]  Her rise to the office has left a trail of mediocrity, confusion and betrayal.
[3:17:00.360 --> 3:17:05.360]  Well, the clan was what we would call today a domestic terrorist group.
[3:17:05.360 --> 3:17:09.360]  Why? Why would we call them domestic terrorist group?
[3:17:09.360 --> 3:17:14.360]  Because they tried to use fear and force to change political environment.
[3:17:14.360 --> 3:17:17.360]  And what was the motivation for the use of fear and force?
[3:17:17.360 --> 3:17:19.360]  It was based on race and ethnicity.
[3:17:19.360 --> 3:17:31.360]  Right. Are you aware of the perception of many about how the power and the discretion at ICE is being used to enforce the laws?
[3:17:31.360 --> 3:17:33.360]  And do you see any parallels?
[3:17:33.360 --> 3:17:38.360]  I do not see any parallels between swear, officers and agents.
[3:17:38.360 --> 3:17:44.360]  I do not see a parallel between what is constitutionally mandated as it relates to enforcing the law.
[3:17:44.360 --> 3:17:51.360]  Are you aware that there's a perception that puts ICE in the same category as the KKK?
[3:17:51.360 --> 3:17:57.360]  She is now unleashing her resume of incompetence fueled by hypocrisy and power on the American people.
[3:17:57.360 --> 3:18:00.360]  Any plans to visit the border?
[3:18:00.360 --> 3:18:05.360]  I'm here in Guatemala today at some point.
[3:18:05.360 --> 3:18:09.360]  We are going to the border. We've been to the border.
[3:18:09.360 --> 3:18:15.360]  So this whole thing about the border, we've been to the border. We've been to the border.
