[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[03:33:33.420 --> 03:33:36.021]  I've been at this for 40 years.
[03:33:36.021 --> 03:33:41.443]  And I've never seen the world going to hell like it is right now.
[03:33:41.443 --> 03:33:43.304]  And so few people are leading us there.
[03:33:43.988 --> 03:33:48.012]  You know, everybody's talking about the COVID, COVID, COVID.
[03:33:48.012 --> 03:34:03.205]  As a report came out this past weekend, over there in India, 78.6% of the power generated during the day was coal based.
[03:34:03.205 --> 03:34:05.046]  So I'm mentioning that because 1.67 million
[03:34:09.787 --> 03:34:13.228]  Indians die and they've got other polluted related diseases.
[03:34:13.228 --> 03:34:17.110]  You know, it's not only coal, but you know, it's not the cleanest energy to burn.
[03:34:17.110 --> 03:34:21.811]  And 1.67 million died last year.
[03:34:21.811 --> 03:34:24.512]  I mean, that's every year they're dying.
[03:34:24.512 --> 03:34:32.235]  China's about 1.5 million from air polluted related diseases.
[03:34:32.235 --> 03:34:37.937]  All the pesticides in our food, the chemicals, the preservatives,
[03:34:39.332 --> 03:34:45.355]  Artificial flavors, artificial colors.
[03:34:45.355 --> 03:34:47.656]  Still can't drink the water in Flint.
[03:34:47.656 --> 03:34:50.578]  Hey, Obama, how come you didn't fix that?
[03:34:50.578 --> 03:34:53.419]  Not only Flint, all over the country.
[03:34:53.419 --> 03:34:55.060]  All over the world.
[03:34:55.060 --> 03:34:58.441]  And you're worried about the COVID?
[03:34:58.441 --> 03:35:05.205]  Again, we put out a weekly magazine, the Trends Journal, only put the facts in there.
[03:35:05.205 --> 03:35:07.946]  The death rates and who's dying
[03:35:09.181 --> 03:35:11.982]  Are facts.
[03:35:11.982 --> 03:35:15.002]  In places like.
[03:35:15.002 --> 03:35:17.383]  Sweden, for example, or most of the world.
[03:35:17.383 --> 03:35:27.545]  90% of the people that are dying from the virus are over 70 years old.
[03:35:27.545 --> 03:35:31.606]  Having pre-existing chronic conditions over there in Canada.
[03:35:38.103 --> 03:35:41.004]  70% of the people that have died are from nursing homes.
[03:35:41.004 --> 03:35:42.645]  That's right.
[03:35:42.645 --> 03:35:45.105]  That's according to government data.
[03:35:45.105 --> 03:35:53.528]  And you got these little freaks up there, locking the whole place down.
[03:35:53.528 --> 03:36:00.870]  Little freaks and the tough COVID cops, breaking people's chops, fining them.
[03:36:00.870 --> 03:36:02.050]  Like, you know, $2,800 for having
[03:36:06.397 --> 03:36:14.222]  Too many people like instead of you only could have four and you had six.
[03:36:14.222 --> 03:36:17.003]  Meanwhile.
[03:36:17.003 --> 03:36:20.645]  Crime rising.
[03:36:20.645 --> 03:36:24.708]  There's a 70 percent, 81 percent that shown.
[03:36:24.708 --> 03:36:27.289]  All right.
[03:36:27.289 --> 03:36:32.352]  Again, these are the people that should be taken care of.
[03:36:32.352 --> 03:36:34.594]  Why are you locking down everybody else?
[03:36:36.753 --> 03:36:51.505]  Young people, you know what the from 1 to 20 years old, the recovery rate is 99.997% according to the Centers for Disease Control and Prevention.
[03:36:51.505 --> 03:36:53.566]  Yeah, violent crime.
[03:36:53.566 --> 03:36:57.890]  When people lose everything and have nothing left to lose, they lose it.
[03:36:57.890 --> 03:37:00.111]  But what are the COVID cops doing?
[03:37:00.111 --> 03:37:02.713]  They get the violent crime.
[03:37:02.713 --> 03:37:04.555]  They're busting the chops of little people.
[03:37:05.569 --> 03:37:07.590]  We the little people.
[03:37:07.590 --> 03:37:11.712]  We the little people of Slavelandia.
[03:37:11.712 --> 03:37:12.872]  Yep.
[03:37:12.872 --> 03:37:13.713]  Did you see that?
[03:37:13.713 --> 03:37:17.695]  I want to stay on the economy for a bit.
[03:37:17.695 --> 03:37:25.338]  Economists revise Eurozone growth 2021 downwards amid second COVID wave.
[03:37:25.338 --> 03:37:32.181]  Not second COVID wave.
[03:37:32.181 --> 03:37:33.702]  Not second COVID wave.
[03:37:34.824 --> 03:37:38.205]  Second lockdown wave.
[03:37:38.205 --> 03:37:39.286]  It's one after another.
[03:37:39.286 --> 03:37:51.670]  IEA warns renewed COVID lockdowns will depress global crude demand.
[03:37:51.670 --> 03:37:57.912]  That's the International Energy Agency.
[03:37:57.912 --> 03:38:02.273]  Low oil prices.
[03:38:02.273 --> 03:38:03.654]  It's one after another.
[03:38:04.713 --> 03:38:07.015]  You look at the data.
[03:38:07.015 --> 03:38:09.316]  It's depressing as can be.
[03:38:09.316 --> 03:38:12.178]  But they take care of the bigs.
[03:38:12.178 --> 03:38:16.742]  Commercial real estate, NIU, gets central bank boost.
[03:38:16.742 --> 03:38:19.604]  Wall Street Journal.
[03:38:19.604 --> 03:38:22.526]  The quantitative easing.
[03:38:22.526 --> 03:38:27.049]  You're a small real estate property owner.
[03:38:27.049 --> 03:38:28.790]  You lose your house.
[03:38:28.790 --> 03:38:29.871]  You can't pay your mortgage.
[03:38:30.532 --> 03:38:34.915]  But Europe's downtown office buildings are empty and malls and main streets are deserted.
[03:38:34.915 --> 03:38:43.960]  Yet the biggest landlords are staying afloat thanks to robust central bank buying of bonds backed by property debt.
[03:38:43.960 --> 03:38:46.721]  Not making that up.
[03:38:46.721 --> 03:38:48.923]  All right?
[03:38:48.923 --> 03:38:51.324]  They get all they want.
[03:38:51.324 --> 03:38:56.527]  As George Carlin said, it's one big club and you ain't in it.
[03:38:58.917 --> 03:39:05.219]  Eurozone banks reduce lending as bad debt grows.
[03:39:05.219 --> 03:39:06.899]  So where's the economy going?
[03:39:06.899 --> 03:39:09.280]  There's going to be a bounce back.
[03:39:09.280 --> 03:39:19.323]  Bank of Canada sees economy shrinking in first quarter as second wave makes for choppy recovery.
[03:39:19.323 --> 03:39:22.784]  No, not second wave makes a choppy recovery.
[03:39:22.784 --> 03:39:25.685]  Some little pieces of garbage slum crap
[03:39:26.300 --> 03:39:28.961]  Call your premiers and this and that.
[03:39:28.961 --> 03:39:30.161]  How about wankers?
[03:39:30.161 --> 03:39:34.062]  Yeah, them are locking down everything.
[03:39:34.062 --> 03:39:38.483]  Again, as the information shows, I said 70%.
[03:39:38.483 --> 03:39:48.506]  They just put up one that showed 80% of the people in Canada that are dying from the virus are from eldercare homes.
[03:39:49.249 --> 03:39:50.550]  Oh yes, Celente.
[03:39:50.550 --> 03:39:56.556]  After they get out of the elder care homes and they're sick there, then we send them to day camp and they start all over again.
[03:39:56.556 --> 03:39:58.457]  Look at that little freak.
[03:39:58.457 --> 03:40:00.179]  Another daddy's boy.
[03:40:00.179 --> 03:40:03.322]  Another little arrogant daddy's boy.
[03:40:03.322 --> 03:40:06.605]  Born on Third Basin, thought he hit a home run.
[03:40:06.605 --> 03:40:12.871]  You'd be nothing, you little clown of crap, if your daddy wasn't there before you.
[03:40:14.401 --> 03:40:17.342]  Pee in the air!
[03:40:17.342 --> 03:40:19.322]  Pee in the air, Trudeau!
[03:40:19.322 --> 03:40:21.042]  Pee in the air, Trudeau!
[03:40:21.042 --> 03:40:25.483]  Because that's all you are!
[03:40:25.483 --> 03:40:26.384]  Look at it!
[03:40:26.384 --> 03:40:29.504]  Look at the freaks running and ruining our lives!
[03:40:29.504 --> 03:40:31.605]  Calm down, Selenki!
[03:40:31.605 --> 03:40:34.205]  Be a coward like the rest of us!
[03:40:34.205 --> 03:40:36.566]  Bend over and take it!
[03:40:36.566 --> 03:40:37.906]  Yeah!
[03:40:37.906 --> 03:40:40.787]  You can become a bureaucrat!
[03:40:40.787 --> 03:40:42.547]  You see that one about Fauci?
[03:40:43.737 --> 03:40:44.917]  How much money he's making?
[03:40:44.917 --> 03:40:47.238]  He's like, over $400,000 a year?
[03:40:47.238 --> 03:40:47.358]  Yep.
[03:40:47.358 --> 03:40:54.900]  Over $400,000 a year, we pay that bureaucratic crapster to shoot the crap out of his mouth.
[03:40:54.900 --> 03:40:55.300]  $417,000 a year.
[03:40:55.300 --> 03:40:57.541]  The highest sa- Look at him!
[03:40:57.541 --> 03:40:58.261]  Look at him!
[03:40:58.261 --> 03:40:59.421]  Look at this little freak!
[03:41:15.313 --> 03:41:17.354]  That's destroyed our lives.
[03:41:17.354 --> 03:41:19.135]  Sucked the joy out of life.
[03:41:19.135 --> 03:41:21.816]  A lying little crap head.
[03:41:21.816 --> 03:41:24.717]  Yeah, don't have to wear masks, he said in March.
[03:41:24.717 --> 03:41:27.058]  But now you gotta wear them.
[03:41:27.058 --> 03:41:29.759]  Yeah.
[03:41:29.759 --> 03:41:31.060]  Jaw.
[03:41:31.060 --> 03:41:33.801]  That's what Fauci means in Italian.
[03:41:33.801 --> 03:41:37.542]  And he's nothing more than a jaw boner.
[03:41:37.542 --> 03:41:38.343]  Look at him.
[03:41:38.343 --> 03:41:40.083]  Look at the mascot.
[03:41:40.083 --> 03:41:41.344]  A freak head!
[03:41:42.006 --> 03:41:44.266]  What are you doing out in the middle of nowhere?
[03:41:44.266 --> 03:41:45.107]  Oh, look at that.
[03:41:45.107 --> 03:41:46.127]  Yankee Stadium.
[03:41:46.127 --> 03:41:48.027]  Oh, it looks great, huh?
[03:41:48.027 --> 03:41:49.747]  Look at it.
[03:41:49.747 --> 03:41:51.848]  Good, good throw, man.
[03:41:51.848 --> 03:41:55.868]  Good throw shows you who you are.
[03:41:55.868 --> 03:42:02.610]  You're a nothing of a clown, a disgusting human being, and we pay you this kind of money.
[03:42:02.610 --> 03:42:09.831]  Now, whatever stadium that was, I stopped going after they redid the old Yankee Stadium.
[03:42:10.382 --> 03:42:20.105]  I went there in the days of Mickey Mantle, Yogi Berra, Hank Bauer.
[03:42:20.105 --> 03:42:23.226]  Yep, I was there in the best of times.
[03:42:23.226 --> 03:42:29.067]  And then when they redid the stadium, and made it into Junktown, I stopped going.
[03:42:29.067 --> 03:42:31.588]  I even went to World Series.
[03:42:31.588 --> 03:42:33.949]  So listen, we're gonna be back in a bit.
[03:42:33.949 --> 03:42:36.049]  You gotta prepare for what's ahead.
[03:42:36.049 --> 03:42:37.610]  And again, support InfoWars.
[03:42:38.536 --> 03:42:47.753]  Buy those products and when we come back, I'm going to tell you which ones I like, which ones I'm going for, and what you might want to consider doing.
[03:42:47.753 --> 03:42:48.315]  It's up to you!
[03:42:49.406 --> 03:42:51.267]  To support the future of freedom.
[03:42:51.267 --> 03:42:59.730]  We here at InfoWars are proud to announce the first ever Kava Kava Root Supplement that is now available at InfoWarsStore.com.
[03:42:59.730 --> 03:43:10.274]  Kava is one of the hottest new breakthroughs in the natural health world today, though it has been used for hundreds of years in the Pacific Islands for its relaxation and euphoric effects.
[03:43:10.274 --> 03:43:15.696]  According to ancient Samoan legend, Kava was given as a gift by the sun god Tagaloa,
[03:43:15.976 --> 03:43:20.261]  Who they considered to be the supreme ruler and creator of the universe.
[03:43:20.261 --> 03:43:26.247]  The Samoan people would drink kava tea during social gatherings and sacred ceremonies to loosen up a little.
[03:43:26.247 --> 03:43:30.792]  Nowadays, kava is used around the world by many who enjoy its serious benefits.
[03:43:31.092 --> 03:43:43.783]  The new Kava Chill by Dr. Jones Naturals contains a full blend of not only Kava Kava, but other herbs including, but not limited to, German Chamomile, Organic Skullcap, and Bavarian Root.
[03:43:43.783 --> 03:43:50.929]  We do expect to sell this new product quickly, so be sure to secure yours by visiting InfowarsStore.com.
[03:43:51.269 --> 03:44:05.284]  The Pope came out yesterday and announced a global government corporate alliance to redistribute wealth, create a planetary universal income, which of course the United Nations and global corporations will control through the apps on your phone, and finally a chip under your skin.
[03:44:05.284 --> 03:44:11.191]  It's all now completely official, part of the UN Great Reset of the Davos Group.
[03:44:11.191 --> 03:44:12.092]  And Klaus Schwab,
[03:44:12.652 --> 03:44:19.975]  All officially written about in hundreds of books by Schwab and Rockefeller Foundation, all the rest of them, at 10 to 21, 10 to 20, 30, it's here.
[03:44:19.975 --> 03:44:25.357]  And only gets worse, like being fed into a wood chipper, or a meat grinder, until you reject it all.
[03:44:27.156 --> 03:44:33.497]  And the rejection starts with realizing it's a spiritual battle, good versus evil, and stopping abortion.
[03:44:33.497 --> 03:44:35.678]  We must start valuing human life again.
[03:44:35.678 --> 03:44:42.560]  We must start saying that we are not expendable, that we are not disposable, that we are essential.
[03:44:42.560 --> 03:44:45.320]  Until we do that, we are all slaves.
[03:44:45.320 --> 03:44:48.741]  We must stand up and declare our basic God-given human rights now.
[03:44:53.365 --> 03:44:59.907]  President Trump won in a landslide on November 3rd, but the globalists weren't going to let that happen.
[03:44:59.907 --> 03:45:09.809]  They had to have some way to repudiate the populist movement emanating from the United States that had spread across the world from the UK to Brazil.
[03:45:09.809 --> 03:45:10.529]  They were desperate.
[03:45:10.529 --> 03:45:12.030]  They admitted their own publications.
[03:45:12.030 --> 03:45:14.250]  They didn't know what to do.
[03:45:14.250 --> 03:45:17.271]  And so they put out 80 million fake ballots, violated state law.
[03:45:18.593 --> 03:45:20.754]  And stole it better than Dallas.
[03:45:20.754 --> 03:45:24.594]  And now they're coming after the President, they're coming after you, they're coming after me.
[03:45:24.594 --> 03:45:26.095]  They're shutting everybody off.
[03:45:26.095 --> 03:45:28.595]  The Internet, they're trying to totally censor us.
[03:45:28.595 --> 03:45:32.696]  And that's why InfoWars is still in the fight, because we knew this was coming.
[03:45:32.696 --> 03:45:33.817]  We told you this was coming.
[03:45:33.817 --> 03:45:39.318]  We were the first main target, and we're still on air at InfoWars.com and NewsWars.com and Band.Video.
[03:45:40.038 --> 03:45:44.039]  Without your word of mouth, without your prayer, without your financial support, we can't stay on air.
[03:45:44.039 --> 03:45:52.802]  So while you still can, go to m4warstore.com and get storable foods and high-quality products, supplements, you name it, at m4warstore.com.
[03:45:52.802 --> 03:45:56.883]  I love the Patriot Blend Wake Up America Coffee.
[03:45:56.883 --> 03:45:58.164]  I just love it.
[03:45:58.164 --> 03:45:59.184]  I can't get enough of it.
[03:46:00.299 --> 03:46:02.541]  We've got a fresh brew right now.
[03:46:02.541 --> 03:46:03.782]  That's what fills my mug.
[03:46:03.782 --> 03:46:04.943]  That's what fills my belly.
[03:46:04.943 --> 03:46:06.444]  That's what fills my soul.
[03:46:06.444 --> 03:46:08.366]  Wake Up America Patriot Blend Coffee.
[03:46:08.366 --> 03:46:12.509]  Folks, we have had this coffee for years at InfoWarsTore.com.
[03:46:12.509 --> 03:46:13.130]  Years.
[03:46:13.130 --> 03:46:14.811]  Never raised the price.
[03:46:14.811 --> 03:46:15.131]  Never.
[03:46:15.131 --> 03:46:17.633]  The Wake Up America Blend, the best coffee.
[03:46:17.633 --> 03:46:18.814]  The crew here loves it.
