[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[02:40:33.444 --> 02:40:40.569]  Yeah, I mean this is the same people that got caught on camera trying to remove voting records from scenes illegally.
[02:40:40.569 --> 02:40:49.136]  These are the same people that have been caught smashing cell phones, smashing servers, not turning over servers, deleting emails.
[02:40:49.136 --> 02:40:54.780]  So it would just go right along with everything else they do if they were trying to burn evidence in the Clinton House today.
[02:40:54.780 --> 02:41:00.665]  They didn't either put out a real physical fire or they had a chimney fire.
[02:41:00.665 --> 02:41:02.166]  I mean, it's all open.
[02:41:03.307 --> 02:41:04.428]  Well, who knows?
[02:41:04.428 --> 02:41:07.771]  We'll have to find out if or even if we will find out.
[02:41:07.771 --> 02:41:14.316]  I mean, I don't know if the Chappaqua police or fire is going to make a statement about if they found anything there.
[02:41:14.316 --> 02:41:18.299]  But I will say this, if Hillary Clinton is actually wearing
[02:41:19.039 --> 02:41:26.545]  An ankle bracelet, as people are rumoring, as part of whatever investigation is going on, then they'll investigate what she was burning.
[02:41:26.545 --> 02:41:27.685]  I promise you that.
[02:41:27.685 --> 02:41:35.631]  Then it becomes a serious investigation, and now she might even be looking at some other crime for trying to cover up that, if that's actually the story.
[02:41:35.631 --> 02:41:36.612]  Alright, Eric, thank you for the call.
[02:41:36.612 --> 02:41:40.194]  Lori, you are going to close out this segment from Ohio.
[02:41:40.194 --> 02:41:40.555]  Go ahead.
[02:41:41.297 --> 02:41:42.878]  Hi, Owen, how are you?
[02:41:42.878 --> 02:41:43.138]  Good.
[02:41:43.138 --> 02:41:43.959]  Happy New Year to you.
[02:41:43.959 --> 02:41:45.720]  Thank you, you too.
[02:41:45.720 --> 02:41:46.481]  A couple things.
[02:41:46.481 --> 02:41:50.063]  The BrainForce Plus, I've been getting the BrainForce for a while.
[02:41:50.063 --> 02:41:51.304]  The Plus is excellent.
[02:41:51.304 --> 02:41:54.767]  I just want your listeners to know that it is awesome.
[02:41:54.767 --> 02:41:55.547]  It works really well.
[02:41:55.547 --> 02:42:00.411]  The other thing I want to touch on is the California fires.
[02:42:00.411 --> 02:42:10.218]  When I was looking up the train derailment, I saw another feed off of there, and there was an article about how that area is rich in natural gas and oil.
[02:42:12.736 --> 02:42:20.281]  Oh, so you're saying someone might want to come try to buy up that nutrient-rich land like the Chinese that are doing that all over the South Asian seas?
[02:42:20.281 --> 02:42:20.601]  Could be.
[02:42:21.826 --> 02:42:23.107]  Possibility.
[02:42:23.107 --> 02:42:31.770]  And the other thing I wanted to mention too is how ridiculous are they going to get about, I mean, first of all, hey, damn lefties, why don't you get your minds out of the gutter?
[02:42:31.770 --> 02:42:38.613]  Maybe his comment about the nuclear button had nothing to do with nothing but nuclear arsenal and the power to do something.
[02:42:38.613 --> 02:42:40.814]  Well, it obviously did.
[02:42:40.814 --> 02:42:41.755]  No, but see, that's the thing.
[02:42:42.575 --> 02:42:44.938]  They don't understand Trump's nuance.
[02:42:44.938 --> 02:42:46.200]  They don't understand the nuance.
[02:42:46.200 --> 02:42:52.208]  They don't understand what Trump does on his Twitter because they just live in this complete hatred of Trump.
[02:42:52.208 --> 02:42:53.489]  Alright, final segment on the other side.
[02:42:53.489 --> 02:42:55.412]  Don't go anywhere.
[02:42:55.412 --> 02:42:57.314]  Mike in Arizona, you're on the air worldwide.
[02:42:57.314 --> 02:42:57.635]  Go ahead.
[02:42:58.545 --> 02:43:00.467]  Oh, Alex, you can rant any day of the week.
[02:43:00.467 --> 02:43:10.676]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[02:43:10.676 --> 02:43:14.339]  And as a longtime InfoWars listener, I want to say thanks.
[02:43:14.819 --> 02:43:15.139]  Absolutely.
[02:43:37.575 --> 02:43:50.496]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[02:43:55.427 --> 02:44:01.310]  2017 has been a earth-shaking year.
[02:44:01.310 --> 02:44:04.451]  And 2018, guaranteed, is even gonna be wilder.
[02:44:04.451 --> 02:44:09.274]  In fact, my good friend, Stefan Molyneux, said it's gonna be like the Battle of the Gods, Ragnarok.
[02:44:09.274 --> 02:44:11.295]  So get ready, ladies and gentlemen.
[02:44:11.295 --> 02:44:23.621]  And that's why, thanking you for all your support, we are extending free shipping store-wide at infowarestore.com into early January, and the massive 50 to 67% off all our best-selling items.
[02:44:24.441 --> 02:44:30.543]  So ladies and gentlemen, whether it's Colloidal Silver, or BrainForce, or MycoZX, or Floralife, they're now back in stock.
[02:44:30.543 --> 02:44:35.665]  They're all massively discounted with free shipping at InfoWareStore.com.
[02:44:35.665 --> 02:44:44.669]  Take advantage of it right through the new year in a salute to the InfoWarriors and into a thanks to all of you that have made this operation possible.
[02:44:44.989 --> 02:44:54.468]  From myself and the entire InfoWars crew, thank you for your support, thank you for bringing America back from the edge of death, and thank you for standing against the globalists and their bullying garbage.
[02:44:56.474 --> 02:45:05.563]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[02:45:05.563 --> 02:45:13.972]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:45:13.972 --> 02:45:18.637]  We have now managed to secure the sought-after beans in a highly customized blend.
[02:45:18.837 --> 02:45:25.621]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:45:25.621 --> 02:45:32.805]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:45:32.805 --> 02:45:39.829]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:45:39.829 --> 02:45:44.172]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[02:45:44.292 --> 02:45:47.674]  Available in original or with our immune support infusion blend.
[02:45:47.674 --> 02:45:53.978]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:45:53.978 --> 02:45:56.779]  Available at Infowarslife.com.
[02:45:56.779 --> 02:46:01.922]  Introducing Floralife, the new probiotic line developed exclusively by Infowarslife.
[02:46:01.922 --> 02:46:06.685]  After years of research on the human microbiome, not all probiotics are made the same.
[02:46:06.685 --> 02:46:11.208]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach
[02:46:11.468 --> 02:46:11.748]  I think?
[02:46:31.732 --> 02:46:35.334]  Did you know that over 80% of your immune system is located in your gut?
[02:46:35.334 --> 02:46:40.076]  That's why increasing gut probiotic levels is so important for overall health.
[02:46:40.076 --> 02:46:48.159]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a 50 billion probiotic for a 30-day advanced gut restoration program.
[02:46:48.159 --> 02:46:52.341]  Head to InfoWarsLife.com to pick up your bottle of Floralife probiotics today.
[02:46:52.341 --> 02:46:53.362]  That's InfoWarsLife.com.
[02:47:01.998 --> 02:47:20.569]  Okay, yesterday we had it in the news about North Korea setting to launch
[02:47:27.643 --> 02:47:28.463]  ICBMs.
[02:47:28.463 --> 02:47:30.904]  In fact, record-setting ICBMs.
[02:47:30.904 --> 02:47:38.246]  This story just comes down from Kelly Morales at MSM or The Week.
[02:47:38.246 --> 02:47:40.007]  I don't know if they just republished this.
[02:47:40.007 --> 02:47:40.627]  I just got this.
[02:47:40.627 --> 02:47:42.648]  I'm reading it from my phone here.
[02:47:42.648 --> 02:47:43.808]  Headline.
[02:47:43.808 --> 02:47:49.350]  North Korea accidentally hit one of its own cities with a missile.
[02:47:51.923 --> 02:48:03.031]  So they're testing missiles and apparently they launched a missile and it hit the city of Tokchon, which has a population of more than 200,000 people.
[02:48:03.031 --> 02:48:12.098]  No reports of deaths have been confirmed, but why would we expect the North Korean regime to accurately report on that if this story is true?
[02:48:12.098 --> 02:48:21.125]  And if this story is true, you want to talk about egg on the face of Kim Jong-un right in the midst of all this coverage of President Trump's tweets.
[02:48:22.952 --> 02:48:30.779]  See, I mean, I'm telling you, President Trump has this stuff so timed up, it's almost unbelievable.
[02:48:30.779 --> 02:48:41.688]  Trump tweets out a troll tweet about a nuclear button in response to Kim Jong-un, and then this story breaks the next day, North Korea accidentally hits one of its own cities with a missile.
[02:48:41.688 --> 02:48:47.493]  When Trump is making fun of how ineffective their missiles are, the next day, the report gets filed, they hit their own city.
[02:48:48.686 --> 02:48:48.926]  Wow.
[02:48:48.926 --> 02:48:58.371]  All right, I am in the middle of a news blitz here in the final segment, so I need to commit and clear my desk of all of this news.
[02:48:58.371 --> 02:49:00.992]  Dirty, bloody, and lots of sex.
[02:49:00.992 --> 02:49:07.035]  How Dennis Villanueva's Cleopatra will rip up Hollywood's rule books.
[02:49:07.035 --> 02:49:14.579]  So they're going to do a remake of the classic movie Cleopatra, and they're bragging about how it's going to be dirty and bloody and sexual.
[02:49:15.599 --> 02:49:32.217]  I'm sorry, again, why is Hollywood virtue signaling to the rest of America about equal rights for women and treating women right and being an upstanding moral individual, when it is the most sick, corrupt, vile... I mean...
[02:49:33.238 --> 02:49:33.919]  I don't even care.
[02:49:33.919 --> 02:49:37.302]  I'm not complaining about the smut that comes out of Hollywood.
[02:49:37.302 --> 02:49:53.159]  I'm just saying, why do they sit here, brag about the most recent movie they're going to come out with that's going to be so vile and disgusting and sexual, and then out of the other side of their mouth they're going to say, oh, but we are moral, upstanding individuals that don't want to objectify or treat anyone wrong.
[02:49:53.559 --> 02:49:55.100]  By the way, we're about to make this video.
[02:49:55.100 --> 02:49:58.421]  It's gonna be sick and sexy and gory and yes, that's what we do here.
[02:49:58.421 --> 02:50:04.043]  Oh, but be a good person and you know, don't be so, you know, desensitized by media.
[02:50:04.043 --> 02:50:09.125]  Yeah, now we're gonna show you a hundred people dying in the latest film and there's gonna be blood and sex.
[02:50:09.125 --> 02:50:13.507]  And yeah, you guys really should not be desensitized by our media.
[02:50:13.507 --> 02:50:15.528]  So that's interesting, coming out of Hollywood.
[02:50:15.528 --> 02:50:21.470]  Harvey Weinstein urged Clinton campaign to silence Sanders' Black Lives Matter message.
[02:50:21.470 --> 02:50:22.831]  So this is another example.
[02:50:23.942 --> 02:50:36.850]  Not just of Hillary Clinton being really close to Harvey Weinstein, a sexually, uh, a guy who's been accused of multiple accounts of sexual assault and rape and is clearly a bully, just based on the leaked audio tape we heard.
[02:50:36.850 --> 02:50:51.859]  And, you know, here he is showing that he has influence on the Hillary Clinton campaign saying, we need to bring this issue back to Sandy Hook instead of Black Lives Matter because Sanders has the advantage there.
[02:50:52.432 --> 02:50:54.072]  Hillary Clinton didn't matter, bro.
[02:50:54.072 --> 02:50:56.093]  She had the whole thing rigged anyway.
[02:50:56.093 --> 02:50:59.474]  Two Harvey Weinstein police investigations sent to L.A.
[02:50:59.474 --> 02:51:01.194]  District Attorney.
[02:51:01.194 --> 02:51:02.334]  My, my.
[02:51:02.334 --> 02:51:11.237]  Two investigations into Harvey Weinstein on accusations of sexual assault have been filed with the Los Angeles County District Attorney's Office and are under review.
[02:51:11.237 --> 02:51:11.297]  Hmm.
[02:51:13.814 --> 02:51:24.620]  There's the Clinton-Obama friend, big donor Harvey Weinstein, and the sexual assault allegations are now at the L.A.
[02:51:24.620 --> 02:51:25.060]  D.A.'
[02:51:25.020 --> 02:51:26.001]  's office.
[02:51:26.001 --> 02:51:28.402]  WikiLeaks tweets this out yesterday,
[02:51:32.990 --> 02:51:35.332]  Excuse me, let me re-read this.
[02:51:35.332 --> 02:51:44.459]  Top Clinton aide cornered women for sex and was protected by campaign manager Robbie Mook according to accusations in January 2015 email.
[02:51:44.459 --> 02:51:45.680]  Hashtag me too.
[02:51:45.680 --> 02:51:47.181]  They released the email.
[02:51:47.181 --> 02:51:53.346]  It alleges Marlon Marshall, a former campaign advisor to Hillary Clinton,
[02:51:54.448 --> 02:52:04.150]  Was accused of cornering women, making them uncomfortable, suggesting sex, and it was reported to MOOC, who then buried the issue.
