[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[03:29:20.440 --> 03:29:25.440]  More than a gift, they're a feeling, an invitation to relax a little longer.
[03:29:25.440 --> 03:29:30.440]  The world's softest pajamas are available only at pajamagram.com.
[03:29:30.440 --> 03:29:34.440]  Visit today and give her a gift that keeps on giving to both of you.
[03:29:34.440 --> 03:29:42.440]  Plus, you don't even have to wrap because every pajamagram includes free gift packaging and Christmas delivery is guaranteed.
[03:29:42.440 --> 03:29:48.440]  So visit pajamagram.com or call 1-800-GIVE-PJs.
[03:29:48.440 --> 03:29:51.440]  Top scientists and researchers agree.
[03:29:51.440 --> 03:30:00.440]  We are being hit by toxic weapons in the food and water supply that are making us fat, sick and stupid.
[03:30:00.440 --> 03:30:02.440]  So what do we do about it?
[03:30:02.440 --> 03:30:05.440]  Well, for starters, don't just sit there and take it.
[03:30:05.440 --> 03:30:13.440]  Fight back with the all new supercharged Brain Force Plus and feel the rush without the crash.
[03:30:13.440 --> 03:30:19.440]  Brain Force Plus is the next generation of advanced neural activation and new tropics.
[03:30:19.440 --> 03:30:27.440]  And now we've added a brand new ingredient called black pepper fruit extract that gives you an added kick.
[03:30:27.440 --> 03:30:40.440]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[03:30:40.440 --> 03:30:48.440]  It's the real deal. Brain Force Plus. Secure your bottle right now at infowarstore.com.
[03:31:10.440 --> 03:31:13.440]  Yeah, you like the sound of that?
[03:31:40.440 --> 03:31:59.440]  After years of research working with top developers here in the United States with the latest cutting edge science, we are rolling out three new digestive gut aids.
[03:31:59.440 --> 03:32:17.440]  One of them is a powerful pro digestive enzyme carnivore for being able to break down meat and other proteins better. And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[03:32:17.440 --> 03:32:32.440]  And we also have an everyday extremely affordable fluorolive everyday maintenance. But all of these are the very cutting edge top of the line probiotics and digestive enzymes at an extremely affordable price.
[03:32:32.440 --> 03:32:47.440]  That is my goal here is to bring you the very best at the lowest price. When you purchase it at infowarstore.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[03:33:02.440 --> 03:33:19.440]  Defending the republic from enemies, foreign and domestic. It's Alex Jones.
[03:33:19.440 --> 03:33:44.440]  It's Matt Dubio filling in for Alex Jones from Chicago. I sort of felt like Dave Ramsey there for a second. That's one of the songs Dave Ramsey, I think it's Baker Street. It's one of the songs Dave Ramsey uses in his radio network where he focuses on telling you to not get into debt, pay off your house and be scared all the time pretty much.
[03:33:44.440 --> 03:34:00.440]  Some of his advice is good, but some of it is pretty out there. News today from Chicago. Chicago you may have heard is a dangerous place, not everywhere, but there's certain areas specifically where the former president claims to be from.
[03:34:00.440 --> 03:34:18.440]  There's an area where there's a lot of gunshots, a lot of death, a lot of gang activity, and unfortunately to date in 2017, we have 643 murders in Chicago. 643 murders total in Chicago homicides.
[03:34:18.440 --> 03:34:31.440]  494 of those people were shot and killed. 594. So just when you kind of do the math, you can figure out you divide that by 12, as I've said before, and I'm going to keep saying it until it stops.
[03:34:31.440 --> 03:34:49.440]  It's Las Vegas every month in slow motion in Chicago. It's Las Vegas every month in slow motion in Chicago. Nobody cares, nobody cares, nobody cares. Why doesn't anybody care? Well, because mostly it's black people shooting each other and the news doesn't care about that.
[03:34:49.440 --> 03:35:02.440]  The mayor of Chicago doesn't care about that. The governor of Chicago doesn't care about that. And sadly, neither does, by the way, the mayor is a Democrat. The governor is a Republican.
[03:35:02.440 --> 03:35:14.440]  Mayor is a Democrat. Governor is a Republican. Doesn't matter. Doesn't matter what party they're a part of. They're both a part of the parties that do nothing. They're both a part of the swamp.
[03:35:14.440 --> 03:35:26.440]  Okay, the swamp needs to be drained. That's the whole motif behind this movement that started to swell up a couple of years ago. It's not just about Trump, really. In fact, it's not about Trump at all.
[03:35:26.440 --> 03:35:35.440]  It's about you. It's about me. It's about us paying attention and waking up and going like, oh, I've been sleeping for all this time.
[03:35:35.440 --> 03:35:46.440]  It's time for me to wake up and participate in my life. It's time for me to wake up and participate in this experiment we call the United States of America.
[03:35:46.440 --> 03:36:00.440]  It's an experiment and it's working as long as people wake up and pay attention. That means that you can't just elect people and hope that they're gonna be superheroes and just save you and be like, all right, we took care of that.
[03:36:00.440 --> 03:36:15.440]  We elected Rahm Emanuel. We took care of it. We elected Bruce Rauner. We took care of it. We elected Donald Trump. Guess what? He needs your help. They all need your help. The Americans need your help.
[03:36:15.440 --> 03:36:22.440]  Why? Because what happens when these guys get into office? Not hopefully our president, but we gotta keep an eye on him and make sure.
[03:36:22.440 --> 03:36:32.440]  But for example, we got a congressman in the Fifth District of Illinois, Congressman Mike Quigley. He's responsible for the Fifth District.
[03:36:32.440 --> 03:36:48.440]  Now, he is not the chancellor of the Fifth District. He is not the knight of the Fifth District. He is supposed to be the representative of the Fifth District representing the people of the Fifth District.
[03:36:48.440 --> 03:37:01.440]  Instead of fixing the murder problem, instead of being actively involved in fixing the homicide problem in his backyard, he's focused on what?
[03:37:01.440 --> 03:37:10.440]  Twitter. Infowars. Alex Jones bad. Twitter bad. Fake news bad.
[03:37:10.440 --> 03:37:23.440]  He's in front of Intelli, he's part of the House Intelligence Committee, and he's out there propagating this Russian nonsense and propagating the fake news against the people.
[03:37:23.440 --> 03:37:35.440]  Not the fake news outlets like CNN, but those outlets that are actually working to thwart the fake news outlets, saying that they're pushing forward stories that aren't true.
[03:37:35.440 --> 03:37:44.440]  Mike Quigley. Mike Quigley. Congressman Mike Quigley. Guess what? He's gonna need to be reelected at some point.
[03:37:44.440 --> 03:37:55.440]  Rahm Emanuel is gonna need to be reelected at some point. Bruce Rauner right now is going up against a bunch of other billionaires in Illinois to try and be reelected at some point.
[03:37:55.440 --> 03:38:02.440]  What are you gonna do about it? And if you're not in Chicago, why do you care? If you're not in Illinois, why do you care? Why should you care?
[03:38:02.440 --> 03:38:10.440]  I'm gonna say this, and I'm gonna say it again. It's coming to a theater near you, my friend. Why do you think this Kate Stein stuff happened?
[03:38:10.440 --> 03:38:18.440]  Why do you think the judicial system failed us on the West Coast? It's coming to a theater near you. How do you know?
[03:38:18.440 --> 03:38:27.440]  I'll give you an example. Last week, last week in Chicago, there was a meeting, and it wasn't a secret. It wasn't a secret society meeting.
[03:38:27.440 --> 03:38:37.440]  It was out in the open, and it was mayors from all over the world. Mayors from all over the world came to Chicago. The mayor of Austin, Texas was there.
[03:38:37.440 --> 03:38:51.440]  The mayor of San Francisco was there. The mayor of San Diego, I think, was there also. Many, many mayors, all the mayors, some of the best mayors, some of them probably not so good, all got together in Chicago.
[03:38:51.440 --> 03:39:00.440]  What do you think they got together to talk about? What do you think was the topic? I just hazard a guess right now. What do you think they came to Chicago?
[03:39:00.440 --> 03:39:08.440]  Somehow, Rahm Emanuel and whoever put this together got all these mayors to fly in in their busy schedules. They all got a bunch of stuff going on.
[03:39:08.440 --> 03:39:16.440]  They have things to do. They have cities to run. They came into Chicago. I thought maybe they were being trained on how to run their city into the ground,
[03:39:16.440 --> 03:39:25.440]  because if there's something that Rahm Emanuel is qualified to do, he can teach them all how to turn their cities into a rotting cesspool.
[03:39:25.440 --> 03:39:34.440]  Learn how to turn your city into a rotting cesspool. Tickets are only $9.97. You can be in VIP seating. You can be in the VIP area.
[03:39:34.440 --> 03:39:46.440]  Join us for a three-day conference on how to turn your city into a rotting cesspool. Join Rahm Emanuel and other keynote speakers like Khan from London.
[03:39:46.440 --> 03:39:53.440]  Who else can we get to show people how to turn their city into a rotting cesspool? Actually, that wasn't what the meeting was about.
[03:39:53.440 --> 03:40:10.440]  The meeting was about climate change, climate change. It was about the weather. These gemokes got together, mayors, some of the most important leaders in some of the biggest cities in the country and the world.
[03:40:10.440 --> 03:40:15.440]  Listen to me. Listen to me very carefully. Think about this for a minute.
[03:40:15.440 --> 03:40:29.440]  The mayors of the biggest cities on planet Earth, the mayors of the biggest cities in Canada and Europe and the United States all over the world,
[03:40:29.440 --> 03:40:41.440]  convened in Chicago the murder capital of the United States of America, where it's Las Vegas every day, Las Vegas every month in slow motion.
[03:40:41.440 --> 03:40:49.440]  They all flew in. They all canceled their appointments, very busy people, and they all got together in a room.
[03:40:49.440 --> 03:40:56.440]  They sat and chit-chatted about the weather. Let that sink in. The most powerful leaders in the biggest cities.
