[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[03:38:09.000 --> 03:38:34.000]  So even though she paid the fee, it required taxpayer costs to do this recount, and it comes out in the end of the day to nothing. They really had no allegations. This was conjecture and pie-in-the-sky belief, desperation trying to, because they were refused to accept Donald Trump as the president and that he had won Wisconsin.
[03:38:34.000 --> 03:38:50.000]  Jill Stein's people started this recount, and Hillary people participated, and it was obvious to us that there was some collusion and coordination going on, but the Democratic officials conducting the election thought it was a waste of time.
[03:38:50.000 --> 03:38:59.000]  So Wisconsin, the machines really couldn't be hacked in the sense they're not networked. These are paper ballots that are scanned by a machine.
[03:38:59.000 --> 03:39:08.000]  So in the end of the day, what this recount did was it proved the accuracy of this system in Wisconsin, because there was such minor, minor change in the numbers.
[03:39:08.000 --> 03:39:16.000]  So basically what you had is you probably had some ballots that the machine couldn't read or the ink was too light, but it showed how accurate the system really is.
[03:39:16.000 --> 03:39:31.000]  So in the end of the day, Wisconsin conducted the whole recount really for nothing, and I hope the one thing Wisconsin does is change their state law so that there has to be some kind of mathematical trigger for candidates to obtain a recount.
[03:39:31.000 --> 03:39:48.000]  Like in New York state, for instance, it's statutory. Candidates have to be within one half of one percent to get a recount. It's not court ordered. It's not pay a fee. If it's within one half of one percent, it's that close. It's an automatic recount, and you can't get a recount any other way, and that's probably what they should consider in Wisconsin.
[03:39:48.000 --> 03:39:49.000]  Now let's go to Michigan.
[03:39:49.000 --> 03:39:50.000]  Yes, please.
[03:39:50.000 --> 03:39:51.000]  Go ahead, Roger. I'm sorry.
[03:39:51.000 --> 03:39:53.000]  Tell us about Michigan.
[03:39:53.000 --> 03:40:08.000]  Let's go to Michigan. So Michigan, again, there were no specific allegations, and what really happened is the recount started for four days until the court stopped it, realizing what a farce it was.
[03:40:08.000 --> 03:40:19.000]  So I was in Wayne County, which is Detroit, and what you really saw in Wayne County in Detroit was irregularities that were really much that helped Hillary.
[03:40:19.000 --> 03:40:32.000]  You found that 37% of the city of Detroit's precincts tabulated more ballots than the number of actual voters that signed in the poll book, which is always an indication of something is wrong.
[03:40:32.000 --> 03:40:38.000]  But this wasn't hacking or post-it. What this was was stuffing the ballot box for Hillary.
[03:40:38.000 --> 03:40:52.000]  And so the way Michigan State law works is that a precinct cannot be recounted if the number of ballots doesn't equal the number of people in the poll book.
[03:40:52.000 --> 03:40:56.000]  Because if there's more ballots than people in the poll book, that means someone added ballots in afterwards.
[03:40:56.000 --> 03:41:01.000]  And these are all precincts that were Hillary won 90 to 95%.
[03:41:01.000 --> 03:41:09.000]  So the way Michigan State law is that it can't be recounted, that the election results on election night stand. And that's what happened in Michigan.
[03:41:09.000 --> 03:41:19.000]  The state court ruled that Jill Stein had no ability to bring this proceeding, that she was not in a grieve candidate in any way, that it wasn't possible for her to win,
[03:41:19.000 --> 03:41:26.000]  and that she offered absolutely no proof to the court or the boards of election that something had happened.
[03:41:26.000 --> 03:41:39.000]  She was trying to make assumptions, and in fact, what will come out of this now is the state board of elections will conduct an audit onto Wayne County to see if it was human error or if it was actual fraud,
[03:41:39.000 --> 03:41:43.000]  or negligence for the mismatch of regularities in Detroit.
[03:41:43.000 --> 03:41:53.000]  And very often, in presidential elections with a lot of ballots, you have election day workers who work long hours and are poorly trained, and they make a mess of it.
[03:41:53.000 --> 03:41:56.000]  And pretty much that's what happened in Detroit.
[03:41:56.000 --> 03:42:04.000]  But again, no one was hacking any machines, no one was doing anything except maybe stuffing the ballot box a little bit, but again, a Hillary's favor.
[03:42:04.000 --> 03:42:08.000]  So in the end of the day, again, Donald Trump won Michigan.
[03:42:08.000 --> 03:42:15.000]  All right, so the big three in their trifecta was Pennsylvania, a little more complicated, but tell us about that.
[03:42:15.000 --> 03:42:25.000]  Yep, well, Pennsylvania, again, Trump beat Clinton in about 44,000 votes out of 6 million cast, or less than 1%.
[03:42:25.000 --> 03:42:33.000]  So again, what they did was, again, Pennsylvania state law is different than Michigan or Wisconsin.
[03:42:33.000 --> 03:42:40.000]  They allowed them to take a random sampling of some districts to see if there were irregularities.
[03:42:40.000 --> 03:42:45.000]  And then if there are regularities or there are issues, then a court can allow a fuller recount.
[03:42:45.000 --> 03:42:48.000]  But they weren't able to show any irregularity.
[03:42:48.000 --> 03:42:53.000]  They weren't able to show anything that mattered that a recount should be conducted.
[03:42:53.000 --> 03:43:00.000]  So when the game time to put up or show up, the Jill Stein people, in some ways, the Hillary people, couldn't prove anything.
[03:43:00.000 --> 03:43:07.000]  You know, the judge actually called the suspicion of a hacked Pennsylvania election borders on the irrational.
[03:43:07.000 --> 03:43:10.000]  And this whole thing was designed.
[03:43:10.000 --> 03:43:18.000]  It's really ironic that Jill Stein and also Hillary Clinton, and we actually created the term Clinton Stein in Wisconsin,
[03:43:18.000 --> 03:43:29.000]  we would call it the Clinton Stein recount, that all they wanted to do was prevent these states from participating in the electoral college.
[03:43:29.000 --> 03:43:30.000]  That's what it was.
[03:43:30.000 --> 03:43:39.000]  It was actually to deprive voters in these states of their ability as a state to conduct their votes at the electoral college.
[03:43:39.000 --> 03:43:45.000]  So it's total hypocrisy on their part because Jill Stein supporters knew they were never going to win anything.
[03:43:45.000 --> 03:43:50.000]  They just wanted to muck up the process and to try and cost Donald Trump electoral votes.
[03:43:50.000 --> 03:43:51.000]  And it's a shame.
[03:43:51.000 --> 03:43:59.000]  The good part is, in Wisconsin, the recount was conducted and finished on time so the electoral college could vote.
[03:43:59.000 --> 03:44:03.000]  In Michigan, the courts, both federal and state courts, put an end to it and the board of campuses did.
[03:44:03.000 --> 03:44:07.000]  And in Pennsylvania, the court didn't buy, didn't take the bait from Jill Stein.
[03:44:07.000 --> 03:44:10.000]  So the good part is that the process worked.
[03:44:10.000 --> 03:44:17.000]  If you look since 2000, the Bush Gore recount, many changes have been made in the election system.
[03:44:17.000 --> 03:44:21.000]  There's only been a very handful of close, big elections.
[03:44:21.000 --> 03:44:29.000]  And those handful were, you're talking about after a recount were decided by less than three or 400 votes.
[03:44:29.000 --> 03:44:36.000]  In all of these states, you're talking tens of thousands of votes margin, yet we're still having recounts when everybody knows nothing is going to change.
[03:44:36.000 --> 03:44:47.000]  So the good part about these recounts is they showed that the improvements made to the election system after Bush Gore have actually worked and made the election system better.
[03:44:47.000 --> 03:44:53.000]  When they talk about Russian hacking, the Russian hacking is into campaign emails, John Podesta's emails.
[03:44:53.000 --> 03:44:57.000]  The election systems themselves are really not connected to the Internet.
[03:44:57.000 --> 03:45:02.000]  And what these systems do is actually count paper ballots.
[03:45:02.000 --> 03:45:03.000]  They're scanning paper ballots.
[03:45:03.000 --> 03:45:08.000]  So in a situation where there was some question, you could go back and count the paper ballots.
[03:45:08.000 --> 03:45:13.000]  Even the proof that the Russians were hacking emails is thin, to say the least.
[03:45:13.000 --> 03:45:22.000]  We now know definitively that the famous DNC emails in internal documents came from a leaker, not from the Russians.
[03:45:22.000 --> 03:45:26.000]  I mean, it's time to put that canard to bed.
[03:45:26.000 --> 03:45:38.000]  As you know, John, six Democratic parties sued Donald Trump and I in federal court, arguing that we had a massive plan to intimidate minority voters at the polling places.
[03:45:38.000 --> 03:45:45.000]  That lawsuit went all the way to the Supreme Court who denied to hear it, declined to hear it.
[03:45:45.000 --> 03:46:01.000]  But after defeating David Boyce, who was the hapless attorney who ran the Gore 2000 recount, we had to go into court simultaneously in six states on the same day.
[03:46:01.000 --> 03:46:03.000]  That's six different sets of lawyers.
[03:46:03.000 --> 03:46:10.000]  We are still paying off a legal debt. If you want to help, you can go to stopthesteel.org.
[03:46:10.000 --> 03:46:12.000]  We have a small debt there.
[03:46:12.000 --> 03:46:24.000]  We intend to pay everybody and all of our lawyers because these folks did yeoman service and our election day operations were unimpeded after the court spoke long and clear,
[03:46:24.000 --> 03:46:35.000]  saying that Donald Trump and Roger Stone had no plan to intimidate or otherwise harass minority voters or anyone else.
[03:46:35.000 --> 03:46:40.000]  Let me take a quick break here and we'll come back to John Haggerty.
[03:46:40.000 --> 03:46:54.000]  I want to remind folks that Christmas will be upon us here shortly and theinfowars.com store has some amazing products at slash prices for this particular Christmas.
[03:46:54.000 --> 03:47:12.000]  The new super blue fluoride free toothpaste is $9.95. It's a deep discount. This stuff has been successfully researched across the board and it doesn't have fluoride, which has many reported drawbacks.
[03:47:12.000 --> 03:47:25.000]  This is a pure, effective, naturally based toothpaste and if you are like me, an occasional cigar smoker, you need this product.
[03:47:25.000 --> 03:47:35.000]  Now, this has peppermint oil, iodine, nano silver and several other proprietary ingredients that make this an absolute bargain.
[03:47:35.000 --> 03:47:45.000]  So for this Christmas, for your stocking, jump over to theinfowars.com store as soon as we are finished and load up on this terrific product.
[03:47:45.000 --> 03:47:57.000]  You can also get a brain force. You can get a number of other fine products and of course the Trump is my president t-shirt we spoke to about later earlier.
[03:47:57.000 --> 03:48:10.000]  So, John Haggerty, back to you. What is your feeling about the Trump cabinet? I know that you are a longtime Republican activist in New York and that you were early Trump.
[03:48:10.000 --> 03:48:14.000]  How do you see the early appointments?
[03:48:14.000 --> 03:48:29.000]  Oh, I think it's great. I think that most Republicans I know and Trump supporters I know that are Republicans are very enthusiastic that he is keeping his word and picking people from outside the establishment or outside of the box.
[03:48:29.000 --> 03:48:37.000]  I mean, you look at the quality of the military people he selected to serve in his cabinet. They are incredible people.
[03:48:37.000 --> 03:48:48.000]  You look at the business experience of many of the business people. This is outside experience. This is common sense, everyday management type experience.
[03:48:48.000 --> 03:48:57.000]  It's not bureaucratic, politicians, insider Washington type people and that's what I think the voters wanted.
[03:48:57.000 --> 03:49:03.000]  That's what this type of experience.
[03:49:03.000 --> 03:49:19.000]  I'm in agreement, John. I think that the appointment of Rick Perry to energy is a perfect fit. I have long been a fan of Rick Perry. He has tremendous record on energy issues and job creation in Texas and I think this is the right job for him.
[03:49:19.000 --> 03:49:25.000]  Trump letting bygones be bygones with a real conservative and putting him on the team I think is a great appointment.
[03:49:25.000 --> 03:49:34.000]  Larry Kudlow as I indicated which I believe is in the pipeline is the chairman of the Council on Economic Advisors would be an excellent appointment.
[03:49:34.000 --> 03:49:48.000]  Monica Crowley, a superb appointment, an old pal of mine from the Nixon days, an exceptionally able person, a non-globalist, a nationalist, someone who gets the big picture.
[03:49:48.000 --> 03:50:02.000]  I'm very happy about Linda McMahon. This is somebody who's actually run a business. She's ideal for SBA where I think the Trump administration really needs to put a giant effort on small business and minority business enterprise.
[03:50:02.000 --> 03:50:15.000]  Steve Mnuchin I think is a reflection of Trump. Doesn't bother me that he was once at Goldman. Doesn't bother me that Bannon was once at Goldman. Doesn't bother me that this fellow Gary Cohn was once at Goldman.
[03:50:15.000 --> 03:50:29.000]  Trump has made this clear. It's his agenda. The people at Goldman Sachs have some enormously capable people, but make no mistake about it. The agenda is the Trump agenda, not the Goldman Sachs agenda.
[03:50:29.000 --> 03:50:32.000]  Of that, I am most confident.
[03:50:32.000 --> 03:50:48.000]  So, John Haggerty, thanks for joining us here at the Stone Cold Truth. We're going to talk in the last segment about Mr. Stone's international best and dressed list, which will be out January 1st, and you're never going to guess who's on it.
[03:50:48.000 --> 03:51:03.000]  Thanks, Roger. Merry Christmas.
[03:51:18.000 --> 03:51:32.000]  Even one of these questions, you may have early warning signs of arterial blockages. Your body is saying that it is time to take Extendivite. These are not the normal signs of aging. They are the warning signs that accompany blocked arteries.
[03:51:32.000 --> 03:51:52.000]  Get your Extendivite today. Extendivite is available in capsule or liquid form for just $69.95 for a two-month supply. To get started, call 1-877-928-8822. That's 1-877-928-8822 or visit heartdrop.com.
[03:51:52.000 --> 03:52:02.000]  Extend your life with Extendivite.
[03:52:22.000 --> 03:52:28.000]  A win for you is a donation to Caribbean Education. Place your chips Caribbean.com.
[03:52:52.000 --> 03:52:57.000]  Again, that's saleofalifetime.com forward slash free book.
[03:53:22.000 --> 03:53:32.000]  Get Fortress.
[03:53:52.000 --> 03:53:57.000]  Now, while we still have inventory, FortressClothing.com.
[03:54:22.000 --> 03:54:39.000]  There you go. Thank you, President Richard Milhouse Nixon. Privilege for me to be here, sitting in for Alex Jones on InfoWars. Great show today.
[03:54:39.000 --> 03:54:57.000]  John Haggerty told us the truth about the Wisconsin recount. Jacob Engels filled us in on the attempts of censorship of the families whose loved ones died in the Pulse nightclub attack by Islamic terrorists.
[03:54:57.000 --> 03:55:18.000]  And of course, the latest on the key Trump appointments is no secret to my friends that I am hunkered down in Florida working furiously to finish the manuscript for the making of the president 2016, how Donald Trump orchestrated an American Revolution.
[03:55:18.000 --> 03:55:42.000]  Now, folks, this book is blunt. It is factual. It is documented. It is historic. And it is revelatory in terms of how Donald Trump, with the assistance of the alternative media, pulled off the greatest upset victory in U.S. political history.
