[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[3:39:07.000 --> 3:39:08.000]  They haven't.
[3:39:08.000 --> 3:39:09.000]  They never will.
[3:39:09.000 --> 3:39:11.000]  They don't want to.
[3:39:11.000 --> 3:39:16.000]  They're afraid because the result is not going to show what they claim to show.
[3:39:16.000 --> 3:39:22.000]  That is my computer prediction.
[3:39:22.000 --> 3:39:39.000]  And in the absence of that, all the fumbling and bumbling and stumbling in the lab when molecular this and that and the nucleotides and the sequences and this and that and the other thing are just so much technical nonsense.
[3:39:39.000 --> 3:39:45.000]  And if you can't prove that you ever discovered a new virus, then what are we talking about?
[3:39:45.000 --> 3:39:50.000]  How are you going to test for a virus that you never really discovered?
[3:39:50.000 --> 3:39:55.000]  That spits out false positives like there's no tomorrow.
[3:39:55.000 --> 3:40:14.000]  The PCR test that registers positive meaning you're infected because of irrelevant germs, many different possible germs that have nothing to do with the purported COVID germ.
[3:40:14.000 --> 3:40:18.000]  That get in and register falsely positive.
[3:40:18.000 --> 3:40:24.000]  And then they say, oh, I'm sorry, but you have the virus.
[3:40:24.000 --> 3:40:30.000]  And you must believe us because we did the test.
[3:40:30.000 --> 3:40:45.000]  Fakery, fakery, fakery, fakery all the way along the line from the discovery of the virus to fake tests to the fake case numbers based on the tests.
[3:40:45.000 --> 3:40:47.000]  Come on.
[3:40:47.000 --> 3:40:50.000]  Come on.
[3:40:50.000 --> 3:41:07.000]  It stands to reason that they would use a few actors in hospital setting with hazmat suits just to pump up the fakery given the enormous size of the actual fakery scientific from the beginning.
[3:41:07.000 --> 3:41:18.000]  And when you think about it, faking the whole thing is their best option because they can control the story about a virus, which is what they're selling.
[3:41:18.000 --> 3:41:21.000]  They're not selling a virus.
[3:41:21.000 --> 3:41:30.000]  They're selling a story about a virus and that's what people have been buying.
[3:41:30.000 --> 3:41:33.000]  Why buy it?
[3:41:33.000 --> 3:41:47.000]  I mean, it occurs to me and I'm sure it occurs to you that there was once something called freedom in this country and liberty and that people actually fought and died for it.
[3:41:47.000 --> 3:41:54.000]  Not just in this country, but in Europe for many, many centuries.
[3:41:54.000 --> 3:41:55.000]  Why?
[3:41:55.000 --> 3:41:58.000]  Because they knew that freedom was an inherent thing.
[3:41:58.000 --> 3:42:00.000]  Liberty was an inherent thing.
[3:42:00.000 --> 3:42:01.000]  They knew it.
[3:42:01.000 --> 3:42:02.000]  They felt it.
[3:42:02.000 --> 3:42:03.000]  They wanted it.
[3:42:03.000 --> 3:42:09.000]  And so they fought for it in every way that they could.
[3:42:09.000 --> 3:42:13.000]  I mean, doesn't that sound reasonable?
[3:42:13.000 --> 3:42:15.000]  Doesn't it sound reasonable?
[3:42:15.000 --> 3:42:33.000]  Doesn't it sound reasonable that when they're talking about the necessity of a lockdown in such casual terms as through the summer into the fall until we have a vaccine that they're completely out of their frigging minds?
[3:42:33.000 --> 3:42:42.000]  A bunch of criminal sociopaths whom we should reject in the name of freedom and liberty and instead live our lives.
[3:42:42.000 --> 3:42:52.000]  Doesn't that seem eminently reasonable given our need and desire for freedom?
[3:42:52.000 --> 3:43:13.000]  When one studies history and human nature, you learn very quickly that rugged individualism and people that think for themselves build free societies, innovate to amazing things, but those that love to grovel, those that love to be subservient, those that love to comply and think that it's a virtue.
[3:43:13.000 --> 3:43:23.000]  They create stagnation, corruption, tyranny and then finally collapse and the world is now being tested.
[3:43:23.000 --> 3:43:35.000]  And we're seeing lots of dutiful individuals who've complied and submitted their whole lives believing if they just submit down a bigger way somehow they'll create a heavenly future.
[3:43:35.000 --> 3:43:45.000]  But the technocrats running the global system are oppressive and anti-human and are psychotic and are building an anti-human future.
[3:43:45.000 --> 3:44:13.000]  Submission to them is like tying a big boulder on your neck and throwing it into the ocean.
[3:44:13.000 --> 3:44:24.000]  And then a whole bunch of other natural ingredients from other nature that are known to supercharge it all. This is our best selling overall formula.
[3:44:24.000 --> 3:44:34.000]  And I told listeners at the end of last year that we can't sell products at 50% off anymore because there's not enough markup in them to fund our operations.
[3:44:34.000 --> 3:44:47.000]  But because of what's happening and going on in the world right now, I really want everybody who hasn't used or tried or enjoyed the benefits of DNA Force Plus to have DNA Force Plus for yourself and your family.
[3:44:47.000 --> 3:45:07.000]  DNA Force Plus now 50% off.
[3:45:07.000 --> 3:45:35.000]  And that's part of one testimonial.
[3:45:35.000 --> 3:46:02.000]  Well, communist China wouldn't sign on to the carbon taxes that would cut their energy used by half and the United States wouldn't sign on to it.
[3:46:02.000 --> 3:46:10.000]  So guess what happened along came COVID-19 and Bill Gates is celebrating saying it's already cut your carbon footprint by half.
[3:46:10.000 --> 3:46:14.000]  And that means you're going to be poor now and under his control.
[3:46:14.000 --> 3:46:22.000]  And of course, with the medical tyranny comes the force inoculations, a microchip that comes with the vaccine and so much more.
[3:46:22.000 --> 3:46:27.000]  And Bill Gates admits that 700,000 people will get sick and die from it.
[3:46:27.000 --> 3:46:32.000]  So remember, folks, they're coming to hurt you and your family and destroy your basic rights.
[3:46:32.000 --> 3:46:36.000]  The same left that says to kill babies all day long, women own their bodies.
[3:46:36.000 --> 3:46:40.000]  Now say you don't own your body and they're coming to forcibly inoculate you.
[3:46:40.000 --> 3:46:43.000]  If you don't submit, you can't buy or sell or leave your home.
[3:46:43.000 --> 3:46:44.000]  Mark the beast.
[3:46:44.000 --> 3:46:45.000]  Oh, and guess what?
[3:46:45.000 --> 3:46:51.000]  Jeffrey Epstein and all these people hang out together with Bill Gates under a bunch of dirty devil worshipers in your face.
[3:46:51.000 --> 3:46:55.000]  They hate you and your family.
[3:46:55.000 --> 3:46:58.000]  You're listening to the Alex Jones show.
[3:47:25.000 --> 3:47:29.000]  How much it means to you.
[3:47:29.000 --> 3:47:34.000]  Think about the lives of other people who value freedom.
[3:47:34.000 --> 3:47:44.000]  Who would want to walk out on the street, live their lives, make a living.
[3:47:44.000 --> 3:47:54.000]  And then you think about the shutdown, the lockdown as a preparation for a universal vaccine brought to you by Bill Gates.
[3:47:54.000 --> 3:48:06.000]  As your passport out of jail, your passport out of jail.
[3:48:06.000 --> 3:48:12.000]  And this is the man who runs the world.
[3:48:12.000 --> 3:48:14.000]  I don't think so.
[3:48:14.000 --> 3:48:17.000]  He may think he's going to run the world.
[3:48:17.000 --> 3:48:21.000]  It's not going to happen.
[3:48:21.000 --> 3:48:30.000]  Do you seriously think that if the lockdown were extended for, let's say the next eight months, that people would sit still and just go for it?
[3:48:30.000 --> 3:48:34.000]  That they would just stay home and die in huge numbers?
[3:48:34.000 --> 3:48:36.000]  I don't think so.
[3:48:36.000 --> 3:48:49.000]  I think it's already that we're seeing the tide turning as more of us go out and live the way free people would live.
[3:48:49.000 --> 3:48:56.000]  Because the story about the virus does not sell.
[3:48:56.000 --> 3:48:59.000]  It's a story meant to keep people locked down.
[3:48:59.000 --> 3:49:04.000]  And of course you can see how well it works because people are easily hypnotized.
[3:49:04.000 --> 3:49:08.000]  And some people want to be hypnotized, it turns out.
[3:49:08.000 --> 3:49:11.000]  A lot of people want to be hypnotized.
[3:49:11.000 --> 3:49:13.000]  They want to serve the dictator.
[3:49:13.000 --> 3:49:16.000]  They want to submit to the dictator.
[3:49:16.000 --> 3:49:24.000]  They want to lie down and kiss the dictator's feet and swear allegiance to the dictator.
[3:49:24.000 --> 3:49:30.000]  They want to help the dictator enforce the dictator's edicts and laws.
[3:49:30.000 --> 3:49:34.000]  They want to do whatever they can.
[3:49:34.000 --> 3:49:40.000]  And they think at the same time they're doing that, they're doing good.
[3:49:40.000 --> 3:49:47.000]  Some dude named Plato pointed that out a long time ago that people always think they're doing good.
[3:49:47.000 --> 3:49:56.000]  Sure, I'm destroying lives on behalf of the dictator and that's a good thing.
[3:49:56.000 --> 3:49:59.000]  Isn't it?
[3:49:59.000 --> 3:50:03.000]  Yeah, you run into those people.
[3:50:03.000 --> 3:50:07.000]  You get closer to six feet, they give you that hostile look.
[3:50:07.000 --> 3:50:10.000]  They're going to line right up for the shot.
[3:50:10.000 --> 3:50:20.000]  Can I get in front so I can get this vaccine delivered into me with synthetic genes so it alters my genetic makeup forever?
[3:50:20.000 --> 3:50:29.000]  I want to be the first in line to be completely changed.
[3:50:29.000 --> 3:50:33.000]  Completely changed.
[3:50:33.000 --> 3:50:37.000]  That's what people are hoping for.
[3:50:37.000 --> 3:50:40.000]  So desperate that they want to be changed.
[3:50:40.000 --> 3:50:44.000]  So if you tell them, hey, they're going to inject you with genes.
[3:50:44.000 --> 3:50:48.000]  It's going to alter your genetic makeup in ways that they can't even predict.
[3:50:48.000 --> 3:50:50.000]  And who knows how it's all going to turn out.
[3:50:50.000 --> 3:50:59.000]  They say, man, give it to me. I need it because I can't stand my life the way it is now and I'll do anything to get out of it.
[3:50:59.000 --> 3:51:02.000]  That's another motive.
[3:51:02.000 --> 3:51:06.000]  And then there's just love your master.
[3:51:06.000 --> 3:51:19.000]  But people who want freedom and liberty and who know what it is to get pissed off for the right reasons don't want that.
[3:51:19.000 --> 3:51:25.000]  They want to live their lives.
[3:51:25.000 --> 3:51:32.000]  Without any hindrance, without any dictatorial restraint.
[3:51:32.000 --> 3:51:37.000]  Just like it said in the foundational documents.
[3:51:37.000 --> 3:51:42.000]  Just like that.
[3:51:42.000 --> 3:51:46.000]  So what we've been watching over the last.
[3:51:46.000 --> 3:52:02.000]  You could say 100 years, but let's say the last 40 real is the rise of the medical dictatorship because that's the avenue along which the globalists and technocrats realize that they can sell the right story.
[3:52:02.000 --> 3:52:04.000]  That's what they're doing.
[3:52:04.000 --> 3:52:10.000]  They can't exactly sell the story of left versus right or anything political.
[3:52:10.000 --> 3:52:22.000]  They sell the guy in the green scrubs wearing the mask with the scalpel and the needle and the charts on the wall and the PCR tests and the virus.
[3:52:22.000 --> 3:52:25.000]  They know how to sell that crap.
[3:52:25.000 --> 3:52:30.000]  They're experts at and believe me when I tell you.
