[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[03:29:45.040 --> 03:29:51.240]  The fight starts at infowars.com and the support of the fight starts at infowarsstore.com.
[03:29:51.240 --> 03:29:56.840]  God bless and thank you all for your support.
[03:29:56.840 --> 03:29:59.400]  It's a post COVID world now.
[03:29:59.400 --> 03:30:03.160]  Americans have lost trust in their doctors and the healthcare system.
[03:30:03.160 --> 03:30:04.400]  There's a solution.
[03:30:04.400 --> 03:30:05.400]  The wellness company.
[03:30:05.400 --> 03:30:10.040]  I'm Dr. Peter McCullough and I'm the chief scientific officer and I can tell you firsthand
[03:30:10.040 --> 03:30:16.640]  that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions
[03:30:16.640 --> 03:30:22.800]  through a network of community pharmacies in home, in vitro diagnostics, laboratory
[03:30:22.800 --> 03:30:29.520]  testing, imaging, an online set of holistic products can help guide you for your usual
[03:30:29.520 --> 03:30:37.320]  general medical care, but also COVID-19 acute and post COVID syndromes, vaccine injury syndromes
[03:30:37.320 --> 03:30:43.760]  and the array of things that now America has to work through in this new world that we're
[03:30:43.760 --> 03:30:44.760]  living in.
[03:30:44.760 --> 03:30:51.400]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee.
[03:30:51.400 --> 03:30:56.240]  You can get started today and on a pathway to better health.
[03:30:56.240 --> 03:31:03.640]  I'm Dr. Peter McCullough and it's an absolute pleasure to introduce to you the wellness company.
[03:31:03.640 --> 03:31:09.280]  An alternative healthcare system for this COVID and post COVID world where trust has
[03:31:09.280 --> 03:31:14.160]  been lost in doctors and healthcare systems.
[03:31:14.160 --> 03:31:23.800]  This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[03:31:23.800 --> 03:31:31.600]  laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID,
[03:31:31.600 --> 03:31:37.200]  post COVID, vaccine injury syndromes and all the usual things that are seen in primary
[03:31:37.200 --> 03:31:39.000]  care.
[03:31:39.000 --> 03:31:45.960]  And then we have an entire array of holistic products, an online store, media and health
[03:31:45.960 --> 03:31:54.280]  advice come see the wellness company and go to onlinehealthnow.com as a conduit to the
[03:31:54.280 --> 03:32:00.320]  wellness company.
[03:32:00.320 --> 03:32:04.680]  The globalists are in an absolute panic right now.
[03:32:04.680 --> 03:32:10.840]  They are attacking and suing and censoring and spying on and engaging in bullying and
[03:32:10.840 --> 03:32:16.400]  physical attacks against popular conservatives and Christians not just in America but worldwide.
[03:32:16.400 --> 03:32:22.760]  And their number one most hated enemy in the media is info wars because we know the globalist
[03:32:22.760 --> 03:32:27.480]  number, we know their operation, we know their modus operandi and we know how to take them
[03:32:27.480 --> 03:32:28.480]  down peacefully.
[03:32:28.480 --> 03:32:33.660]  We've got great products that fund the operation that also are incredibly powerful and the
[03:32:33.660 --> 03:32:35.840]  highest quality for your immune system and more.
[03:32:35.840 --> 03:32:39.320]  We have the biggest sale of the year going right now, Black Friday comes early, use promo
[03:32:39.320 --> 03:32:47.320]  code 1776 and get up to 60% off on these best selling products at infowarstore.com.
[03:32:47.320 --> 03:32:52.640]  Biggest sale of the year, promo code 1776, up to 60% off, take action now and empower
[03:32:52.640 --> 03:32:58.160]  your body.
[03:32:58.160 --> 03:33:11.680]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:11.680 --> 03:33:13.520]  Welcome back to the Alex Jones show.
[03:33:13.520 --> 03:33:15.200]  I'm Kate Deli, your guest host.
[03:33:15.200 --> 03:33:20.560]  So let's talk about these 10 commandments that just happened for the climate cult or
[03:33:20.560 --> 03:33:24.040]  room full of Greta Crazy, however you want to look at it.
[03:33:24.040 --> 03:33:25.360]  So here they are.
[03:33:25.360 --> 03:33:27.360]  You're going to be stunned by this.
[03:33:27.360 --> 03:33:29.960]  We are stewards of this world.
[03:33:29.960 --> 03:33:31.120]  Okay.
[03:33:31.120 --> 03:33:32.360]  Creation manifests destiny.
[03:33:32.360 --> 03:33:34.360]  It's like gobbledygook.
[03:33:34.360 --> 03:33:36.600]  Everything in life is interconnected.
[03:33:36.600 --> 03:33:38.160]  You think?
[03:33:38.160 --> 03:33:39.480]  Do no harm.
[03:33:39.480 --> 03:33:40.720]  That's my message for them.
[03:33:40.720 --> 03:33:42.040]  Do no harm.
[03:33:42.040 --> 03:33:45.280]  Look after tomorrow, okay.
[03:33:45.280 --> 03:33:47.360]  Rise above ego for our world.
[03:33:47.360 --> 03:33:48.360]  I don't know.
[03:33:48.360 --> 03:33:49.360]  Do you think they will?
[03:33:49.360 --> 03:33:50.800]  I direct that toward them.
[03:33:50.800 --> 03:33:52.480]  Change our inner climate.
[03:33:52.480 --> 03:33:54.600]  What?
[03:33:54.600 --> 03:33:55.600]  Repent and return.
[03:33:55.600 --> 03:33:56.600]  No, no, no.
[03:33:56.600 --> 03:33:57.600]  Repentance for God.
[03:33:57.600 --> 03:33:58.600]  No, no, no.
[03:33:58.600 --> 03:34:05.040]  Repent for Mother Earth, for your climate woes, your flatulence, your whatever it is.
[03:34:05.040 --> 03:34:07.600]  You must repent for that, to the earth.
[03:34:07.600 --> 03:34:08.600]  Yeah.
[03:34:08.600 --> 03:34:09.600]  Maybe lay on the earth.
[03:34:09.600 --> 03:34:10.600]  I don't know.
[03:34:10.600 --> 03:34:13.560]  Maybe put, I don't know, dirt in your mouth while you're doing it.
[03:34:13.560 --> 03:34:16.240]  I'm not quite sure how to do it.
[03:34:16.240 --> 03:34:19.440]  Every action matters, okay.
[03:34:19.440 --> 03:34:22.120]  And use your mind, open heart.
[03:34:22.120 --> 03:34:23.640]  You can tell who wrote these, right?
[03:34:23.640 --> 03:34:24.640]  They're insane.
[03:34:24.640 --> 03:34:25.640]  They're crazy.
[03:34:25.640 --> 03:34:30.920]  Okay, so I have to say this, because they wanted to do this on Mount Sinai, and when
[03:34:30.920 --> 03:34:34.760]  they met together, and they all flew in on their big jets.
[03:34:34.760 --> 03:34:37.440]  No irony there.
[03:34:37.440 --> 03:34:43.720]  They wanted to frame them as the Ten Commandments, really, really, like really spitted God on
[03:34:43.720 --> 03:34:44.720]  this one.
[03:34:44.720 --> 03:34:48.320]  But they realized that they were going to get some backlash for that, you think?
[03:34:48.320 --> 03:34:52.400]  So they reframed it as the Ten Principles of Climate Repentance.
[03:34:52.400 --> 03:34:53.920]  I can't make this up.
[03:34:53.920 --> 03:34:55.040]  This is from Alex Newman.
[03:34:55.040 --> 03:35:01.200]  So these bizarre ceremonies, they were organized by the Interfaith Center for Sustainable
[03:35:01.200 --> 03:35:02.200]  Development.
[03:35:02.200 --> 03:35:04.880]  That means globity, globity, gook, okay?
[03:35:04.880 --> 03:35:08.880]  And they were originally scheduled to take place there on Mount Sinai.
[03:35:08.880 --> 03:35:16.800]  Well, the key organizer called for climate repentance, he's dubbed the Green Patriarch.
[03:35:16.800 --> 03:35:20.760]  So they issued a public statement denouncing the abuse of nature and the exploitation of
[03:35:20.760 --> 03:35:21.760]  its resources.
[03:35:21.760 --> 03:35:22.760]  Okay.
[03:35:22.760 --> 03:35:24.440]  You mean the infinite resources?
[03:35:24.440 --> 03:35:25.440]  No.
[03:35:25.440 --> 03:35:26.440]  Oh, okay.
[03:35:26.440 --> 03:35:31.080]  And as a sin against God, they actually mentioned him once, and the gift of creation.
[03:35:31.080 --> 03:35:36.080]  So then they said, maybe this will inspire people to act modestly and carry out actions
[03:35:36.080 --> 03:35:37.960]  for climate justice.
[03:35:37.960 --> 03:35:40.240]  Okay, what is climate justice?
[03:35:40.240 --> 03:35:41.440]  I'm just, I don't know.
[03:35:41.440 --> 03:35:44.200]  I have these visions of the 1971.
[03:35:44.200 --> 03:35:49.760]  Remember one of those ads that kind of kicked a lot of this off for the Mother Earth, and
[03:35:49.760 --> 03:35:51.840]  it was the Koch commercial.
[03:35:51.840 --> 03:35:55.680]  They were all, it was like a picture of the UN, and they were all standing on the hill,
[03:35:55.680 --> 03:35:57.360]  and it looked like a UN picture.
[03:35:57.360 --> 03:36:01.240]  They were all in their own country's garb, and they were just talking about drink a Koch
[03:36:01.240 --> 03:36:03.160]  together because of the world.
[03:36:03.160 --> 03:36:04.160]  Yeah.
[03:36:04.160 --> 03:36:05.520]  That's what started all this off.
[03:36:05.520 --> 03:36:10.520]  So I picture the people that wrote this standing on a hill, maybe drinking a Koch, I'm not
[03:36:10.520 --> 03:36:17.640]  sure, but actually really, like, I don't know, just getting into this globally gook that
[03:36:17.640 --> 03:36:19.400]  they're trying to spin out here.
[03:36:19.400 --> 03:36:28.920]  So they partnered with the Interface Center, which was a self-proclaimed Elijah Board of
[03:36:28.920 --> 03:36:31.080]  World Religious Leaders.
[03:36:31.080 --> 03:36:32.080]  I guess it's Elijah.
[03:36:32.080 --> 03:36:36.800]  Elijah Board of World Religious Leaders.
[03:36:36.800 --> 03:36:41.320]  And this outfit says that they're bringing together people from prominent religions from
[03:36:41.320 --> 03:36:43.680]  everywhere, and it's a peace department.
[03:36:43.680 --> 03:36:45.040]  Did you know we had a peace department?
[03:36:45.040 --> 03:36:46.040]  Yeah.
[03:36:46.040 --> 03:36:47.040]  And it's U.S.-based nonprofit.
[03:36:47.040 --> 03:36:49.720]  Hmm, wonder how much money they get.
[03:36:49.720 --> 03:36:52.360]  So this is where it gets weird.
[03:36:52.360 --> 03:36:59.240]  Page 60, UNEP report, because they talk about this, that they want to lead people according
[03:36:59.240 --> 03:37:02.800]  to new moral codes and enhance cooperation.
[03:37:02.800 --> 03:37:08.200]  We're already cooperative, and it gives more, I don't know, thought to the future.
[03:37:08.200 --> 03:37:13.520]  Then it gets weirder, and it talks about the fact that the UN and its supporters may somehow
[03:37:13.520 --> 03:37:17.800]  be related to the non-human entities.
[03:37:17.800 --> 03:37:21.160]  I'm sorry, what non-human entities?
[03:37:21.160 --> 03:37:23.680]  I mean, he's not talking plants, he's not talking animals.
[03:37:23.680 --> 03:37:26.840]  What do you mean non-human entities?
[03:37:26.840 --> 03:37:28.240]  That's kind of weird, right?
[03:37:28.240 --> 03:37:30.640]  And how we're going to get along with them in the future?
[03:37:30.640 --> 03:37:32.640]  Boy, how fun.
[03:37:32.640 --> 03:37:36.520]  Hmm, I wonder what they're actually talking about.
[03:37:36.520 --> 03:37:38.320]  Hmm, well, it's all written.
[03:37:38.320 --> 03:37:39.720]  I read it myself.
[03:37:39.720 --> 03:37:45.040]  It's, they distinctly write non-human entities.
[03:37:45.040 --> 03:37:47.160]  Are they talking about extraterrestrials?
[03:37:47.160 --> 03:37:48.600]  Are they talking about robots?
[03:37:48.600 --> 03:37:49.840]  Who knows?
[03:37:49.840 --> 03:37:57.400]  But they seem to just really have this stronghold about making sure that it's listed, it's talked
[03:37:57.400 --> 03:38:03.160]  about, and then, of course, the significance of the push for the new moral code, the unification.
[03:38:03.160 --> 03:38:06.120]  Oh, I'm getting just like warm and fuzzy, aren't you?
[03:38:06.120 --> 03:38:08.240]  The world's religions cannot be overstated.
[03:38:08.240 --> 03:38:09.240]  Why?
[03:38:09.240 --> 03:38:11.240]  Why do we need unification?
[03:38:11.240 --> 03:38:12.240]  Why is that?
[03:38:12.240 --> 03:38:13.920]  Oh, that's right.
[03:38:13.920 --> 03:38:17.120]  The one-world religion thing is opening up, right?
[03:38:17.120 --> 03:38:18.720]  Yeah, that's right.
[03:38:18.720 --> 03:38:21.280]  It's opening up over in the Arab world.
[03:38:21.280 --> 03:38:22.280]  I forgot about that.
[03:38:22.280 --> 03:38:23.280]  Yes.
[03:38:23.280 --> 03:38:25.680]  And in fact, they have their opening exercises pretty soon, I think.
[03:38:25.680 --> 03:38:30.120]  And so this is all under the guise of saving Mother Earth from humanity's climate sins.
[03:38:30.120 --> 03:38:31.480]  You little sinner, you.
[03:38:31.480 --> 03:38:35.240]  I know you were thinking like it was hard enough to get through just regular sin that
[03:38:35.240 --> 03:38:36.240]  we all do, right?
[03:38:36.240 --> 03:38:37.240]  No, no, no.
[03:38:37.240 --> 03:38:38.240]  Climate.
[03:38:38.240 --> 03:38:47.760]  It is Mother Earth's gift to us is that we must get on our knees and repent for being,
[03:38:47.760 --> 03:38:50.720]  I guess, bad stewards of the land.
[03:38:50.720 --> 03:38:51.720]  I don't know.
[03:38:51.720 --> 03:38:57.280]  What's funny is, is if you ever ask any of these people how exactly climate change has
[03:38:57.280 --> 03:39:00.960]  affected them, they could not give you an answer.
[03:39:00.960 --> 03:39:04.760]  And they all flew on their jets to tell you about this and to tell you how they're going
[03:39:04.760 --> 03:39:06.360]  to change this world.
[03:39:06.360 --> 03:39:08.880]  I'm, I'm a little scared.
