[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[02:39:59.300 --> 02:40:01.300]  What do you think about that statement?
[02:40:01.300 --> 02:40:06.300]  Well, to the extent that I don't know what the ramifications will be.
[02:40:06.300 --> 02:40:15.300]  I think it'll be a sobering thing for the American people to see what the law enforcement, federal law enforcement agencies have done.
[02:40:15.300 --> 02:40:22.300]  But duty is ours, consequence belongs to God. What's the whole saying? I mean, may the heavens fall.
[02:40:22.300 --> 02:40:29.300]  I mean, no matter how bad something's going to be, let the truth come out, let duty be done.
[02:40:29.300 --> 02:40:32.300]  And certainly on something like this, you need the truth told.
[02:40:32.300 --> 02:40:36.300]  I mean, it's going to be bad cutting this cancer out, but we're not going to survive if we don't.
[02:40:36.300 --> 02:40:40.300]  Well, listen, I appreciate you coming on the air. God bless you.
[02:40:40.300 --> 02:40:41.300]  Thank you, sir.
[02:40:41.300 --> 02:40:47.300]  Here, Jesse Trinadoo. All right, I promise to get your calls. Thank you for holding patiently.
[02:40:47.300 --> 02:40:51.300]  Just you have this. You have the BBC on the 9-11. It's just all of it.
[02:40:51.300 --> 02:40:59.300]  It's just, can you feel it? Everything's accelerating. Everything is accelerating. I'm exhausted personally.
[02:40:59.300 --> 02:41:06.300]  I'm just exhausted. I was working till about one last night, and I just, I just can't even keep track of it all.
[02:41:06.300 --> 02:41:16.300]  I can't even counter all their lies. It's just, it's mind-blowing. You're in the Netherlands. Welcome, sir.
[02:41:16.300 --> 02:41:21.300]  Thank you very much. It is accelerating, isn't it? Everything is accelerating.
[02:41:21.300 --> 02:41:24.300]  I'm just calling about a little update from the Netherlands.
[02:41:24.300 --> 02:41:30.300]  Just today, a mainstream Dutch newspaper carried an article with the title, Banks Finance Bombs.
[02:41:30.300 --> 02:41:37.300]  Now, I've translated just the essence of the article, and maybe it's all right if I just say a few things about it.
[02:41:37.300 --> 02:41:38.300]  Sure, go ahead.
[02:41:38.300 --> 02:41:39.300]  All right.
[02:41:39.300 --> 02:41:43.300]  An independent, and now I'm quoting the newspaper. Well, I translated it.
[02:41:43.300 --> 02:41:49.300]  An independent Belgian committee investigating money transfers from European banks to defence corporations and weapon manufacturers
[02:41:49.300 --> 02:41:57.300]  has concluded that quite a few European banks under EU control, of course, have directly financed weapon manufacturers.
[02:41:57.300 --> 02:42:02.300]  Well, the article mentions that the investigation in question led to the conclusion that a few Dutch banks,
[02:42:02.300 --> 02:42:09.300]  and in particular one called ABM Amro, have actually financed the production of cluster bombs.
[02:42:09.300 --> 02:42:17.300]  Now, the interesting thing, and this is my own adding, is that the foremost shareholder is none other than Beatrix Van Orange Nessau,
[02:42:17.300 --> 02:42:19.300]  which is Queen Beatrix of the Netherlands.
[02:42:19.300 --> 02:42:27.300]  So, she is the foremost shareholder of this bank, this particular bank, which is financing cluster bombs.
[02:42:27.300 --> 02:42:30.300]  So, this is the first part.
[02:42:30.300 --> 02:42:37.300]  This royalty-funded bank, in its turn, is a shareholder in the British INSIS group, I don't know if I'm pronouncing it correctly,
[02:42:37.300 --> 02:42:41.300]  who manufactured these devastating bombs for the British Ministry of Defence.
[02:42:41.300 --> 02:42:46.300]  Well, doesn't it all just perfectly fit in with the New World Order agenda for global governance?
[02:42:46.300 --> 02:42:51.300]  Yeah, the royalty and the big bankers literally print the money, they loan the money,
[02:42:51.300 --> 02:42:56.300]  they own the weapons contractors, they own the oil companies, they own the big eugenics operations,
[02:42:56.300 --> 02:43:02.300]  they own big pharma, and they all write books about how they want to kill most of us.
[02:43:02.300 --> 02:43:05.300]  That's right, very reciprocal, yeah.
[02:43:05.300 --> 02:43:07.300]  Yeah, these are sick people.
[02:43:07.300 --> 02:43:10.300]  These are very, very sick people.
[02:43:10.300 --> 02:43:17.300]  Sure, well, that was about everything I had to say, maybe I can translate the entire article and send it to you or something.
[02:43:17.300 --> 02:43:25.300]  That'd be great, sir, I really appreciate your work and thanks for relaying that information to us.
[02:43:25.300 --> 02:43:28.300]  There goes your in the Netherlands holding for a while, I appreciate it.
[02:43:28.300 --> 02:43:32.300]  Todd in Texas, go ahead Todd.
[02:43:32.300 --> 02:43:34.300]  Hey there Alex, we'll be seeing you tomorrow man.
[02:43:34.300 --> 02:43:38.300]  Yeah, the big Texas Independence Day rally against the New World Order.
[02:43:38.300 --> 02:43:41.300]  Yeah, me and Troy are coming up there in a shopping cart man, we'll be there.
[02:43:41.300 --> 02:43:46.300]  By the time we get to the Hill Country we'll make it push, but I'll be up there man for real.
[02:43:46.300 --> 02:43:55.300]  Just real quick, I heard something when I was checking out Dr. Beggart's show and he was talking about the active denial system
[02:43:55.300 --> 02:44:02.300]  can be counteracted by a thin copper wire mesh that would then have a lead to the ground
[02:44:02.300 --> 02:44:06.300]  that would kind of conduct the energy and then just simply ground it.
[02:44:06.300 --> 02:44:11.300]  And I thought that was a fascinating idea and I'm not even going to pretend to understand the ins and outs of it
[02:44:11.300 --> 02:44:13.300]  but I just wanted to kind of put that out there.
[02:44:13.300 --> 02:44:17.300]  Well it's like the shielding around a microwave, for those that don't know the head of the Air Force said
[02:44:17.300 --> 02:44:24.300]  these weapons are illegal to use on foreign enemy troops but we can set the precedent using it against the American people
[02:44:24.300 --> 02:44:28.300]  and of course we told you seven years ago that it was developed for the American people
[02:44:28.300 --> 02:44:35.300]  and they can focus the beam and actually harm you or they have wide beam that can burn the skin
[02:44:35.300 --> 02:44:42.300]  of crowds and just like the sound guns have been used on citizens, they have their way of the police
[02:44:42.300 --> 02:44:47.300]  as we riot wanting our money out of the banks or riot not wanting to lose our houses as they consolidate
[02:44:47.300 --> 02:44:51.300]  they'll just have the cops riot out their black uniforms on top of their armored vehicles
[02:44:51.300 --> 02:44:54.300]  and open fire with microwave guns on the American people.
[02:44:54.300 --> 02:45:00.300]  And I don't know if we can run around then wearing wire mesh outfits to stop it.
[02:45:00.300 --> 02:45:07.300]  I've got mine. Well I tell you they start shooting us with microwave guns.
[02:45:07.300 --> 02:45:11.300]  You know it's time to take the gloves off. That's right.
[02:45:11.300 --> 02:45:17.300]  One last real quick thing. I told you last time I'm doing research paper on globalism versus cosmopolitanism
[02:45:17.300 --> 02:45:23.300]  and I found this, for some reason I decided to look up Epcot Center and I found this description of something that happens there every night.
[02:45:23.300 --> 02:45:28.300]  It's a pyrotechnic and laser show called Illuminations and it says the description is
[02:45:28.300 --> 02:45:33.300]  the show tells the story of Earth and is divided into three movements titled Chaos, Order and Meaning.
[02:45:33.300 --> 02:45:39.300]  The music has an African tribal sound to it to emphasize the idea of humanity as a single unified tribe on this planet.
[02:45:39.300 --> 02:45:45.300]  The lagoon is surrounded by 20 large torches signifying the past 20 centuries and the show culminates in the globe
[02:45:45.300 --> 02:45:50.300]  opening like a lotus blossom to reveal a 21st torch representing the new century.
[02:45:50.300 --> 02:45:54.300]  Sounds like total Illuminati propaganda.
[02:45:54.300 --> 02:45:58.300]  What play is this? What play is this?
[02:45:58.300 --> 02:46:02.300]  I don't know if they still do it but it's a way they would close down Epcot Center.
[02:46:02.300 --> 02:46:06.300]  It's called Illuminations. The nations is capitalized Illuminations.
[02:46:06.300 --> 02:46:10.300]  But it's a small world on steroids I guess you'd say.
[02:46:10.300 --> 02:46:17.300]  How loving. A one world tax, a one world army, a one child policy
[02:46:17.300 --> 02:46:24.300]  in accidental releases of bio weapons blamed on terrorists to reduce the population.
[02:46:24.300 --> 02:46:29.300]  Just like Ted Turner and Bill Gates and Prince Philip and all of them want.
[02:46:29.300 --> 02:46:33.300]  Thank you for the call. Who's up next here?
[02:46:33.300 --> 02:46:37.300]  Frank in Brooklyn. You're on the air. Welcome.
[02:46:37.300 --> 02:46:40.300]  Good afternoon Alex. How are you doing?
[02:46:40.300 --> 02:46:44.300]  Very interesting guest this afternoon.
[02:46:44.300 --> 02:46:54.300]  I have one comment regarding the execution of what's his name?
[02:46:54.300 --> 02:46:59.300]  Tim McVeigh. I remember reading Gore Vidal's article in Vanity Fair
[02:46:59.300 --> 02:47:08.300]  since he was a witness that sort of wrote about the execution as it happened
[02:47:08.300 --> 02:47:13.300]  and then after. But besides that what's the possibility that
[02:47:13.300 --> 02:47:20.300]  if this was a black op that he's somewhere else in the world with a new identity?
[02:47:20.300 --> 02:47:24.300]  I don't know. What I tend to think is from the evidence we have
[02:47:24.300 --> 02:47:28.300]  is that he knew he was setting up Patsy's. He was setting up Nichols
[02:47:28.300 --> 02:47:31.300]  and we went through that last week and they then set him up.
[02:47:31.300 --> 02:47:35.300]  That's their classic MO like they set up Lee Harvey Oswald
[02:47:35.300 --> 02:47:40.300]  and there is absolutely no debating than Oswald was CIA.
