[00:00:00.209 --> 00:00:01.169]  ...and so on.
[03:21:51.906 --> 03:21:57.953]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[03:21:57.953 --> 03:22:03.239]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[03:22:03.815 --> 03:22:10.321]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[03:22:10.321 --> 03:22:12.302]  Well, Obama's already fudging.
[03:22:12.302 --> 03:22:14.764]  He's fudged since day one in this election.
[03:22:14.764 --> 03:22:27.955]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[03:22:27.955 --> 03:22:29.617]  It's not about left or right.
[03:22:29.617 --> 03:22:30.978]  It's about a one-world government.
[03:22:31.457 --> 03:22:38.365]  This film documents who Obama works for, the lies he is told, and his real agenda.
[03:22:38.365 --> 03:22:46.634]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[03:22:46.634 --> 03:22:48.216]  The Obama Deception.
[03:22:48.216 --> 03:22:49.418]  The people strike back.
[03:22:51.181 --> 03:22:54.884]  Everyone knows that omega-3 should be an essential part of our daily diet.
[03:22:54.884 --> 03:23:00.608]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[03:23:00.608 --> 03:23:04.951]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[03:23:04.951 --> 03:23:07.413]  Nature's gem, premium omega-3.
[03:23:07.413 --> 03:23:18.541]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures and longer summer hours, producing the highest quality premium golden flaxseed around.
[03:23:18.761 --> 03:23:27.468]  In addition, we selectively harvest and sort flax seeds by size and weight, keeping only the best seeds that can produce the highest abundance of omega-3.
[03:23:27.468 --> 03:23:30.831]  The result is a delicious, nutty, buttery flavor.
[03:23:30.831 --> 03:23:32.872]  Nature's Gem Golden Flax is pure.
[03:23:32.872 --> 03:23:36.395]  There is nothing added and nothing taken away and non-GMO.
[03:23:36.395 --> 03:23:38.837]  We offer a 100% money-back guarantee.
[03:23:38.837 --> 03:23:42.080]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[03:23:42.500 --> 03:23:45.243]  Okay, Ravel, Nathan, Brian, Mark, Sean, and others are going to your calls right now.
[03:24:07.199 --> 03:24:10.522]  Then folks will have to wait until the second Obama film comes out to hear all these questions.
[03:24:10.522 --> 03:24:12.745]  I've got about 50 of them here for you, George.
[03:24:12.745 --> 03:24:17.009]  We're going to rock it through after the show.
[03:24:17.009 --> 03:24:20.713]  But Ravel in Pennsylvania, you are on the air.
[03:24:20.713 --> 03:24:23.396]  Welcome.
[03:24:23.396 --> 03:24:25.898]  We went through this the last time I called.
[03:24:25.898 --> 03:24:27.700]  Oh yeah, I forgot to give George headphones.
[03:24:27.700 --> 03:24:30.123]  Is there a pair there on the ground for you, George?
[03:24:31.699 --> 03:24:33.540]  They must have run off with them after they had them plugged in.
[03:24:33.540 --> 03:24:35.481]  Will somebody get George some headphones?
[03:24:35.481 --> 03:24:38.323]  Okay, Ravel, go ahead and ask me a question while we're getting him headphones.
[03:24:38.323 --> 03:24:55.372]  Okay, the census, they're putting millions of dollars into refining the census, fencing us, because people are homeless and the foreigners, you know, whatever, immigrants, whatever, and they're trying, they said that they were going to take the stimulus money and take millions of dollars
[03:24:55.825 --> 03:24:57.066]  And put it into the census.
[03:24:57.066 --> 03:25:00.409]  Has anybody considered why they're suddenly coming out with that?
[03:25:00.409 --> 03:25:04.652]  While you're talking trillions of dollars, no one's going to notice a few million going into a census.
[03:25:04.652 --> 03:25:07.375]  That might be a very huge deal.
[03:25:07.375 --> 03:25:10.377]  I have the complete answer for you since you asked the question.
[03:25:10.377 --> 03:25:12.439]  Would you like me to tell you exactly what's going on?
[03:25:12.439 --> 03:25:13.099]  Yeah.
[03:25:13.099 --> 03:25:15.561]  Okay, well your instincts are correct there.
[03:25:15.561 --> 03:25:21.627]  Remember the big battle in 2000 when they said the census now isn't just how many people live in your house.
[03:25:22.627 --> 03:25:29.754]  But it's a 54 question deal, and then one out of six families got a multi-hundred one saying, do you own firearms?
[03:25:29.754 --> 03:25:31.256]  What type of toilet do you have?
[03:25:31.256 --> 03:25:33.378]  What stocks and bonds do you have?
[03:25:33.378 --> 03:25:47.151]  And they started doing a business census and a farming census, and in the Constitution they could only ask how many people live here to apportion the states to decide how many members of the House of Representatives do your state get for representation in voting.
[03:25:47.151 --> 03:25:47.431]  That's why
[03:25:47.731 --> 03:25:50.954]  California has the most members of Congress, they have the biggest population.
[03:25:50.954 --> 03:25:54.397]  Texas has the second, a mountain in Florida, and so on and so forth.
[03:25:54.397 --> 03:25:56.019]  That's all the census is for.
[03:25:56.019 --> 03:25:59.001]  Now the census is this Fifth Amendment violating.
[03:25:59.001 --> 03:26:02.064]  You're not supposed to be able to answer questions, even under torture.
[03:26:02.064 --> 03:26:06.148]  And they just mail you it, and then I got the big 54 question.
[03:26:06.148 --> 03:26:08.910]  I think every three homes got that, every six homes got the multi-hunter.
[03:26:08.910 --> 03:26:12.093]  When I was here, everybody talking about it, I got in the mail the 54 question.
[03:26:13.482 --> 03:26:17.106]  And I said, me and my wife live here with my girlfriend at the time.
[03:26:17.106 --> 03:26:18.087]  We're now married.
[03:26:18.087 --> 03:26:19.468]  I said, there's two people here.
[03:26:19.468 --> 03:26:20.630]  And I filled it out and mailed it back.
[03:26:20.630 --> 03:26:22.932]  And a young punk came to my door.
[03:26:22.932 --> 03:26:29.099]  And I'll never forget, he parked halfway out in the street kind of blocking the road over there where I lived.
[03:26:29.099 --> 03:26:29.940]  I told the story on air.
[03:26:29.940 --> 03:26:30.921]  I even have video of it somewhere.
[03:26:30.921 --> 03:26:31.942]  I never aired it.
[03:26:31.942 --> 03:26:32.582]  I got a video camera.
[03:26:32.582 --> 03:26:33.623]  I go to the door and go, what do you want?
[03:26:34.184 --> 03:26:35.765]  He goes, listen, he has a little badge.
[03:26:35.765 --> 03:26:37.487]  He goes, you're going to be arrested if you don't fill this out.
[03:26:37.487 --> 03:26:38.687]  I go, show me the law.
[03:26:38.687 --> 03:26:39.368]  He goes, what's the law?
[03:26:39.368 --> 03:26:40.209]  And I said, no.
[03:26:40.209 --> 03:26:41.169]  Here's the census form.
[03:26:41.169 --> 03:26:45.112]  It says you've only got to answer this question, and it threatens you with law.
[03:26:45.112 --> 03:26:47.214]  Up at the top of the form, it's illegal fraud.
[03:26:47.214 --> 03:26:48.715]  But down here, there's all these questions.
[03:26:48.715 --> 03:26:49.636]  I'm not answering it.
[03:26:49.636 --> 03:26:50.617]  Get out of here.
[03:26:50.617 --> 03:26:51.277]  And he wouldn't leave.
[03:26:51.277 --> 03:26:52.478]  And I stepped out and I said, did you hear me?
[03:26:52.478 --> 03:26:53.299]  I'm going to call the police.
[03:26:53.999 --> 03:27:03.314]  But see, most people buckle, and so now they're saying it's going to be first a yearly census, now a monthly census, and you're just going to have constant questions from the government.
[03:27:03.314 --> 03:27:08.181]  They threaten, just like there's no law to take vaccines, but they say, we'll arrest you if you don't do this.
[03:27:08.181 --> 03:27:09.123]  George, you want to comment on that?
[03:27:09.463 --> 03:27:16.049]  Well, it's in the Constitution, and the Constitution is very clear, and you can't ask any other questions about who lives in your household.
[03:27:16.049 --> 03:27:18.171]  Period, paragraph, end of sentence.
[03:27:18.171 --> 03:27:21.513]  And either we have a Constitution, or we don't have a Constitution.
[03:27:21.513 --> 03:27:26.878]  And it's like if you're playing a game of cards, does four of a kind beat two pair?
[03:27:26.878 --> 03:27:28.039]  Of course it does.
[03:27:28.039 --> 03:27:31.442]  But if they change the rules in the middle of the game, you get cheated.
[03:27:31.442 --> 03:27:36.987]  And I personally like the rules of the Constitution that are equal and just for all people.
[03:27:37.870 --> 03:27:38.810]  It's dog training.
[03:27:38.810 --> 03:27:44.973]  They just constantly, with peer pressure and with a badge, with a uniform, you know, just say, this is the way it is.
[03:27:44.973 --> 03:27:50.275]  Well, it's absolute intimidation and it's also mind control together with ignorance.
[03:27:50.275 --> 03:28:01.119]  And I really want to stress the fact that the people of this nation are far, far more controlled subconsciously than they have any idea about.
[03:28:01.559 --> 03:28:20.166]  And this has been going on for years and years and years through the television, through our schools, through the food we eat, through all the political correctness, and the people of this country don't even realize how enslaved they are.
[03:28:20.166 --> 03:28:21.566]  Absolutely.
[03:28:21.566 --> 03:28:23.167]  Ravel, your instincts are correct.
[03:28:23.167 --> 03:28:25.868]  Anything else?
[03:28:25.868 --> 03:28:28.208]  Okay, Nathan in Seattle.
[03:28:28.208 --> 03:28:29.089]  Nathan, you're on the air.
[03:28:29.089 --> 03:28:29.469]  Go ahead.
[03:28:30.754 --> 03:28:32.034]  Alex, thanks.
[03:28:32.034 --> 03:28:39.297]  I was calling because I wanted to know if you ever had Ellen Brown on.
[03:28:39.297 --> 03:28:43.859]  And next thing was that I'm also calling because I don't really agree with George.
[03:28:43.859 --> 03:28:45.019]  I'm an atheist patriot.
[03:28:45.906 --> 03:28:52.211]  And I think the kind of rhetoric he's talking about is not really helpful because... Well, sir, he wasn't saying... Hold on a minute.
[03:28:52.211 --> 03:28:55.094]  He wasn't saying you are New World Order.
[03:28:55.094 --> 03:28:58.677]  He was saying how the globalists identify most of themselves.
[03:28:58.677 --> 03:28:59.958]  Am I correct, George?
[03:28:59.958 --> 03:29:00.898]  Correct.
[03:29:00.898 --> 03:29:05.202]  And part of the Constitution is freedom of religion and beliefs.
[03:29:05.202 --> 03:29:07.604]  And if that is your belief, so be it.
[03:29:07.984 --> 03:29:19.356]  That's not my belief, but if I believe in the Constitution and real freedom, I allow you to be a Lutheran, or a Catholic, or a Jew, or an atheist, and we can all live together.
