[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[03:40:09.661 --> 03:40:22.730]  They're like, they go, your honor, we'd like to file a complaint that you did a protective order and I was supposed to release these documents, plus they released them incorrectly, and they're like, oh no, that's not what's happening.
[03:40:22.730 --> 03:40:26.353]  You get more sanctions.
[03:40:26.353 --> 03:40:30.777]  And again, I don't sit there and go, poor me, I'm under attack.
[03:40:31.747 --> 03:40:38.730]  I'm not some seven-year-old kidnapped in Mexico and took across the Texas border to be gang-raped by up to 100 dudes a day.
[03:40:38.730 --> 03:40:39.871]  And the FBI knows about that.
[03:40:39.871 --> 03:40:40.571]  It's on record.
[03:40:40.571 --> 03:40:41.071]  No, no.
[03:40:41.071 --> 03:40:43.092]  I'm not a little kid getting gang-raped.
[03:40:43.092 --> 03:40:44.273]  I'm doing awesome.
[03:40:44.273 --> 03:40:45.233]  I'm big.
[03:40:45.233 --> 03:40:46.114]  I'm strong.
[03:40:46.114 --> 03:40:47.694]  Hell, I'm built for this.
[03:40:47.694 --> 03:40:48.735]  I actually kind of like it.
[03:40:49.901 --> 03:40:55.384]  I'll tell you this, it pisses me off because we're trying to protect the children and this is the crap we do.
[03:40:55.384 --> 03:41:06.109]  So I just pray in the name of Jesus that God bring justice on these people because it is so sick to watch the total inversion of reality and it's so filthy.
[03:41:06.109 --> 03:41:07.870]  Oh look, I'm not worth 156 million.
[03:41:07.870 --> 03:41:08.570]  That was last week.
[03:41:08.570 --> 03:41:08.851]  Now it's 6.2.
[03:41:13.271 --> 03:41:18.355]  So they're getting it down, and they go, Jones's private bank account has $400,000!
[03:41:18.355 --> 03:41:20.197]  Like I told you!
[03:41:20.197 --> 03:41:22.178]  Which ain't that much in a fight like this.
[03:41:22.178 --> 03:41:31.306]  So, and they're like, but he's got a couple million in inventory, and while his equipment we think's worth $4 million, he got $6 million!
[03:41:31.306 --> 03:41:36.130]  We want the $6 million for our jury, because you questioned us!
[03:41:39.246 --> 03:41:42.048]  That doesn't make me feel sick for myself.
[03:41:42.048 --> 03:41:44.851]  It makes me feel sick for America.
[03:41:44.851 --> 03:41:51.977]  Because I've got my integrity, and I've got the fact that, I mean, you know, as a man, I can't help it.
[03:41:51.977 --> 03:41:55.520]  In a fight, I kick like a mule, I bite like a crocodile.
[03:41:55.520 --> 03:41:56.461]  I mean, I'm a man.
[03:41:56.461 --> 03:41:59.343]  I mean, a lot of guys beat my ass, but they're going to know they were in a fight.
[03:42:02.435 --> 03:42:05.777]  And I'm just telling you, everything I am is on the line for this country.
[03:42:05.777 --> 03:42:13.941]  And I get to watch a rigged system rape and screw and lie and say Owen Schroyer attacked the Capitol?
[03:42:13.941 --> 03:42:15.943]  In federal filings, the FBI?
[03:42:15.943 --> 03:42:19.164]  And that he doesn't work here?
[03:42:19.164 --> 03:42:20.585]  It's the same thing here!
[03:42:20.585 --> 03:42:26.088]  Lies and fraud and corruption is just the veins of these people.
[03:42:26.088 --> 03:42:27.389]  It's everything they are.
[03:42:27.389 --> 03:42:29.130]  But you know, God's real.
[03:42:29.130 --> 03:42:30.471]  And they're going to pay for what they've done.
[03:42:31.434 --> 03:42:33.295]  From God, not from us.
[03:42:33.295 --> 03:42:41.842]  But I have it plugged in this whole 3 plus hours, 3 hours and 42 minutes I've been on air, and I've not plugged the products.
[03:42:41.842 --> 03:42:43.723]  But yeah, I need your help.
[03:42:43.723 --> 03:42:45.884]  I need money.
[03:42:45.884 --> 03:42:50.268]  The great part about this is, when it's all said and done, I'm not going to have nothing.
[03:42:50.268 --> 03:42:52.209]  These leeches ain't going to get nothing.
[03:42:52.209 --> 03:42:53.110]  It all goes to the fight.
[03:42:55.026 --> 03:42:57.528]  Christmas 2021 is gone.
[03:42:57.528 --> 03:42:58.910]  It's in the rearview mirror.
[03:42:58.910 --> 03:43:05.095]  But you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[03:43:05.095 --> 03:43:12.322]  On two of our best-selling products, now finally back in stock, we have the number one bestseller of all time.
[03:43:13.343 --> 03:43:21.709]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[03:43:21.709 --> 03:43:23.330]  It is back in stock.
[03:43:23.330 --> 03:43:27.213]  X2 is 50% off at InfoWarsTore.com.
[03:43:27.213 --> 03:43:30.055]  And, right in time for the deepest part of winter.
[03:43:31.169 --> 03:43:36.555]  We have Winter Sun, back in stock, the highest quality vitamin D3 for your immune system.
[03:43:36.555 --> 03:43:41.600]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarsTore.com.
[03:43:41.600 --> 03:43:42.681]  So it's a 360 win.
[03:43:42.681 --> 03:43:47.947]  It keeps us on air, and it also makes your life so much healthier and better.
[03:43:47.947 --> 03:43:52.411]  So get your supply up to date at InfoWarsTore.com right now.
[03:43:55.172 --> 03:43:59.393]  I am a worldly person, meaning I like going to ball games.
[03:43:59.393 --> 03:44:00.754]  I like going to concerts.
[03:44:00.754 --> 03:44:02.114]  I like going to play golf.
[03:44:02.114 --> 03:44:03.674]  I like going out to dinner.
[03:44:03.674 --> 03:44:05.835]  I like the metropolitan life.
[03:44:05.835 --> 03:44:07.856]  I like everything that comes with this.
[03:44:07.856 --> 03:44:16.078]  But see, I have the survival instinct that is to get the hell out of Democrat-run cities, get the hell out of major metropolitan areas.
[03:44:16.658 --> 03:44:20.181]  Because unless we change course soon, it's all crashing down.
[03:44:20.181 --> 03:44:22.002]  Is it time to just move out to the woods?
[03:44:22.002 --> 03:44:24.104]  Just time to go get a piece of property in the woods?
[03:44:24.104 --> 03:44:25.065]  Just get off grid?
[03:44:25.065 --> 03:44:26.506]  Just get the emergency food supplies?
[03:44:26.506 --> 03:44:27.627]  Just live off the land?
[03:44:27.627 --> 03:44:29.008]  That's the survival instinct.
[03:44:29.008 --> 03:44:33.912]  But see, the worldly part of me, that's still probably the majority part of me, says, no, no, no, no, no.
[03:44:33.912 --> 03:44:34.813]  Stay in the city.
[03:44:34.813 --> 03:44:40.498]  The survival instinct says, get the hell out of anywhere that would ever notion that you need to get a vaccine or a mask.
[03:44:40.498 --> 03:44:44.421]  That's the internal struggle that my guess is a lot of you in the audience
[03:44:44.962 --> 03:44:52.721]  Are facing as well, but you can at least have some comfort if you have the emergency food supplies and so we have the best ones at InfowarsStore.com
[03:44:54.923 --> 03:45:10.480]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[03:45:10.480 --> 03:45:15.966]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[03:45:16.667 --> 03:45:22.969]  Winter Sun, the highest quality vitamin D3, taken under the tongue for higher absorption, is back in stock.
[03:45:22.969 --> 03:45:26.410]  Despite the fact it's been sold out for months, it is 50% off.
[03:45:26.410 --> 03:45:39.714]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[03:45:39.714 --> 03:45:41.215]  So that's the New Year's special.
[03:45:41.735 --> 03:45:44.998]  And that's Christmas comes early in 2022, ladies and gentlemen.
[03:45:44.998 --> 03:45:51.906]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarstore.com.
[03:45:51.906 --> 03:45:53.768]  50% off for a limited time.
[03:45:53.768 --> 03:45:54.829]  Thanks for keeping us on the air.
[03:45:55.501 --> 03:46:02.930]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[03:46:02.930 --> 03:46:10.078]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[03:46:10.078 --> 03:46:11.921]  It's Ultimate Bone Broth Plus.
[03:46:12.581 --> 03:46:21.827]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, beef pollen, goji berry, alfalfa herb powder.
[03:46:21.827 --> 03:46:25.249]  Then it's got added magnesium and potassium for electrolytes.
[03:46:25.249 --> 03:46:31.774]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[03:46:31.774 --> 03:46:33.715]  It even tastes better than the last formula.
[03:46:33.715 --> 03:46:36.176]  And what it does for your body is simply amazing.
[03:46:36.176 --> 03:46:39.779]  Again, it has that cutting-edge chicken broth protein.
[03:46:40.179 --> 03:46:40.940]  We're good to go.
[03:47:13.817 --> 03:47:19.760]  Alright ladies and gentlemen, it's the final segment of the Alex Jones Show on January 14, 2022.
[03:47:19.760 --> 03:47:34.687]  And my flesh is exhausted, but my spirit has never been stronger.
[03:47:34.687 --> 03:47:39.289]  Alright, so there was major damage control this week dealing with this.
[03:47:40.909 --> 03:47:46.614]  The Dutch Prime Minister is a graduate of Klaus Schwab's Bilderberg School.
[03:47:46.614 --> 03:47:49.216]  You can look it up for yourself, don't believe me.
[03:47:49.216 --> 03:47:53.260]  And he wrote one of the quotes for the Dutch version.
[03:47:53.260 --> 03:47:57.864]  Yeah, there they are together giving each other awards on screen.
[03:47:57.864 --> 03:48:00.266]  Great job, I hadn't even seen this.
[03:48:00.266 --> 03:48:01.907]  So, here they are giving each other awards.
[03:48:02.995 --> 03:48:11.937]  And then, when one of the members of Parliament confronts him for the lockdowns and the tyranny and what they're doing, he says, oh, I don't know who Klaus Schwab is.
[03:48:11.937 --> 03:48:14.518]  I don't know who the Bilderberg Group is.
[03:48:14.518 --> 03:48:17.318]  I don't know about the Great Reset.
[03:48:17.318 --> 03:48:30.662]  And the member of Parliament, who's a great patriot, love to get him on the show, speaking German, which is Dutch, a Dutch derivation of German, he says, he catches him, he goes, oh, you know who Klaus Schwab is in his book?
[03:48:30.662 --> 03:48:31.962]  No, don't know about that.
[03:48:32.853 --> 03:48:40.256]  I'm just like his butt buddy and write forwards to his book and give him awards and get awards from him and a graduate of his school.
[03:48:40.256 --> 03:48:43.937]  It's like asking Roger Stahlbach, do you know about the Dallas Cowboys?
[03:48:43.937 --> 03:48:45.357]  Oh, I don't know anything.
[03:48:45.357 --> 03:48:58.522]  It's like asking the current quarterback of the Buccaneers, do you know anything about the New England Patriots?
[03:48:58.522 --> 03:49:01.523]  And he's like, no, I know nothing about the New England Patriots.
[03:49:05.706 --> 03:49:09.890]  Or asking Terry Bradshaw, do you know about the Pittsburgh Steelers?
[03:49:09.890 --> 03:49:13.173]  And Terry Bradshaw says, what are the Pittsburgh Steelers?
[03:49:13.173 --> 03:49:15.155]  Are they stealing something?
[03:49:15.155 --> 03:49:16.436]  No, they make steel.
[03:49:16.436 --> 03:49:17.197]  They pour steel.
[03:49:19.622 --> 03:49:26.706]  So again, that's the disrespect of the enemy, that they never respond to you in any way.
[03:49:26.706 --> 03:49:28.326]  Yeah, they give each other awards.
[03:49:28.326 --> 03:49:30.467]  Yeah, they write forwards to their books.
[03:49:30.467 --> 03:49:32.649]  Yeah, he's the Prime Minister of the Netherlands.
[03:49:32.649 --> 03:49:34.009]  Yeah, he's confronted.
[03:49:34.009 --> 03:49:38.131]  And he tells his constituents, I don't know who he is.
[03:49:38.131 --> 03:49:40.533]  He should be removed from office now.
[03:49:40.533 --> 03:49:42.233]  He shut their economy down.
[03:49:42.233 --> 03:49:49.237]  He put them under martial law to train to be slaves, where he sits there smiling about the criminal operation they've launched.
[03:49:50.509 --> 03:50:03.196]  And it's that arrogant, jerk attitude at the Justice Department, and at the UN, and everywhere that's killing us!
[03:50:03.196 --> 03:50:11.340]  So I will try my best though, they talk fast, to read the subtitles for radio listeners, but you can find the video.
[03:50:11.340 --> 03:50:12.881]  But look, oh fact check!
[03:50:12.881 --> 03:50:16.563]  World Economic Forum letters show 51st annual meeting invites.
[03:50:17.557 --> 03:50:24.560]  And the letter, you can read it yourself, say, you have done well, continue lockdowns, we are the dominating planet, soon we'll be in full control.
