[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[03:32:40.372 --> 03:32:41.512]  They thought they'd be in charge.
[03:32:41.512 --> 03:32:46.814]  They thought they would have won, but they didn't count on you and I and others coming together.
[03:32:46.814 --> 03:32:55.338]  So God bless you all.
[03:32:55.338 --> 03:32:57.959]  You're listening to The Alex Jones Show.
[03:33:13.613 --> 03:33:16.994]  You're listening to The Alex Jones Show.
[03:33:16.994 --> 03:33:22.997]  And now, your host, Gerald Solente.
[03:33:22.997 --> 03:33:25.198]  Hello, hello, hello.
[03:33:25.198 --> 03:33:27.879]  Great to be on with The Alex Jones Show.
[03:33:27.879 --> 03:33:29.799]  Thank you for... Why can't I be happy?
[03:33:29.799 --> 03:33:31.080]  I gotta be miserable.
[03:33:31.080 --> 03:33:32.580]  They're taking joy out of life.
[03:33:32.580 --> 03:33:35.201]  You could get arrested if you're too happy.
[03:33:35.201 --> 03:33:37.722]  Can't have a good time anymore.
[03:33:37.722 --> 03:33:40.223]  No, no, no.
[03:33:40.223 --> 03:33:41.284]  Yeah.
[03:33:41.284 --> 03:33:41.504]  Again.
[03:33:42.318 --> 03:33:45.039]  The facts are all here.
[03:33:45.039 --> 03:33:50.561]  Death toll spikes at nursing homes.
[03:33:50.561 --> 03:33:54.823]  From the toilet paper record.
[03:33:54.823 --> 03:33:59.445]  Diabetes, lung and heart disease common in U.S.
[03:33:59.445 --> 03:34:02.166]  coronavirus patients.
[03:34:02.166 --> 03:34:03.567]  Riders.
[03:34:03.567 --> 03:34:05.768]  That's according to the Centers of Disease Control.
[03:34:05.768 --> 03:34:10.670]  But I'm reading to you from stuff that happened back in March.
[03:34:11.758 --> 03:34:15.740]  And weeks ago, it's all forgotten.
[03:34:15.740 --> 03:34:21.103]  Coronavirus, particularly unkind to those who are obese.
[03:34:21.103 --> 03:34:23.645]  Another Reuters story.
[03:34:23.645 --> 03:34:26.246]  Now let's take a look at this.
[03:34:26.246 --> 03:34:29.728]  Who's dying from the coronavirus?
[03:34:29.728 --> 03:34:37.172]  And they say, like that little boy over here, the daddy's boy, Andrew Cuomo, the governor of New York.
[03:34:38.311 --> 03:34:43.093]  Born on third base and thought he had a home run, that Cuomo.
[03:34:43.093 --> 03:34:48.036]  Going on about, you don't care about who dies, but who dies, who dies.
[03:34:48.036 --> 03:34:57.100]  You know, yeah, there he is, the daddy boy who renamed the Tappan Zee Bridge the Mario Cuomo Bridge, like his father's better than mine.
[03:34:57.100 --> 03:34:59.822]  Take it easy, Junior.
[03:34:59.822 --> 03:35:06.685]  So, talking about the hoax that's being put on us, look at his other little brother there,
[03:35:07.389 --> 03:35:11.612]  The Chrissy Cuomo on the Cartoon News Network, CNN.
[03:35:11.612 --> 03:35:18.696]  If it was so deadly, Andy, your brother would be dead!
[03:35:18.696 --> 03:35:20.597]  Again, the facts are there.
[03:35:20.597 --> 03:35:24.639]  We detail it in the Trends Journal week after week.
[03:35:24.639 --> 03:35:27.001]  It's a weekly magazine.
[03:35:27.001 --> 03:35:31.203]  All the data is there.
[03:35:31.203 --> 03:35:32.584]  Elderly, chronically ill.
[03:35:35.675 --> 03:35:37.636]  And again, the numbers are there.
[03:35:37.636 --> 03:35:52.586]  Now the Wall Street Journal reported that out of the 55,000 or 50,000 plus people who died in America, well over 10,000 are from eldercare, from the reports that came in already that were chronically ill.
[03:35:52.586 --> 03:36:04.774]  But a number of states, including Washington and California and numbers of others, aren't reporting the dead coming out of eldercare homes.
[03:36:05.390 --> 03:36:08.492]  And let's go back to the beginning of this.
[03:36:08.492 --> 03:36:11.275]  Where did they die first?
[03:36:11.275 --> 03:36:14.837]  In Washington State.
[03:36:14.837 --> 03:36:18.360]  And where did they die in Washington State?
[03:36:18.360 --> 03:36:26.306]  At elder care homes, Kirkland, Washington.
[03:36:26.306 --> 03:36:30.649]  Again, obese, diabetics, huh?
[03:36:30.649 --> 03:36:33.251]  America obese?
[03:36:33.251 --> 03:36:34.593]  You know, one of my lines is,
[03:36:37.841 --> 03:36:40.342]  You ever hear the expression, pigs can't fly?
[03:36:40.342 --> 03:36:43.624]  You been to the airport lately?
[03:36:43.624 --> 03:36:47.466]  42% of Americans are obese.
[03:36:47.466 --> 03:36:48.147]  70%, 70% are overweight.
[03:37:01.599 --> 03:37:04.040]  This is what's killing the people.
[03:37:04.040 --> 03:37:10.782]  These are the people that should be quarantined, not the healthy people.
[03:37:10.782 --> 03:37:16.624]  And even at the numbers they're putting out there, and again, we know the numbers are fake.
[03:37:16.624 --> 03:37:30.588]  A detail in the Trends Journal, and I'm sure it's been on InfoWars as well, the doctor from Minnesota, and showing the details several weeks ago, how the Centers for Disease Control put out
[03:37:31.368 --> 03:37:45.915]  If it's expected, not proven, mark it off as COVID-19 because then you'll get extra money for the hospitals if it's a COVID-19 death.
[03:37:45.915 --> 03:37:57.361]  So even this low number, again, you're looking at 50-some thousand dead in a population of 330 million adds up
[03:38:01.161 --> 03:38:04.462]  To not a lot.
[03:38:04.462 --> 03:38:13.485]  And again, when you look at the other numbers, what is it, 840,000 people died of smoke-related diseases last year?
[03:38:13.485 --> 03:38:23.788]  Already the Centers for Disease Control are saying that almost 60,000 people in the United States have already died of the flu.
[03:38:26.693 --> 03:38:28.273]  So the numbers are all cooked.
[03:38:28.273 --> 03:38:35.455]  And if you're going to isolate and quarantine everybody, then isolate the people that are ill.
[03:38:35.455 --> 03:38:40.136]  And that can be, you know, subjected to this.
[03:38:40.136 --> 03:38:48.118]  To show you how much they're lying, and it's not only the United States, it's worldwide.
[03:38:48.118 --> 03:38:51.578]  This is from Euronews.
[03:38:51.578 --> 03:38:52.439]  This is out of Belgium.
[03:38:56.271 --> 03:39:03.876]  A country of 11 million people have over 6,200 recorded coronavirus-related deaths.
[03:39:03.876 --> 03:39:05.417]  You ready for this?
[03:39:05.417 --> 03:39:16.143]  Just as I've been saying, more than half of those deaths were recorded in retirement homes.
[03:39:16.143 --> 03:39:18.104]  Here's the punchline.
[03:39:18.104 --> 03:39:25.249]  And of the total deaths that occurred in those homes, 4% were cases confirmed by
[03:39:25.959 --> 03:39:35.142]  A coronavirus test, 96% were suspected ones.
[03:39:35.142 --> 03:39:36.182]  They lie!
[03:39:36.182 --> 03:39:37.203]  You got it!
[03:39:37.203 --> 03:39:38.323]  They're lying!
[03:39:38.323 --> 03:39:43.184]  This is a takeover.
[03:39:43.184 --> 03:39:51.407]  It's a takeover by the sick politicians that are power-hungry freaks.
[03:39:55.794 --> 03:40:09.845]  The cover of the new Trends Journal coming out, it's going to be dumb enough to believe George Bush's wars.
[03:40:09.845 --> 03:40:18.752]  And a great illustration by Anthony Frieda, who's been on Alex Jones Show down, took a trip down there and does a lot of work for us in the Trends Journal.
[03:40:18.752 --> 03:40:24.357]  He has a great Anthony Frieda of George Bush that looks like Alfred E. Newman.
[03:40:25.547 --> 03:40:29.690]  Dumb enough to believe Bush's wars.
[03:40:29.690 --> 03:40:37.875]  Dumb enough to believe COVID-19 wars.
[03:40:37.875 --> 03:40:55.027]  And just as these low-life, slimy, pathological, lying, psychopaths and sociopathical politicians don't have an exit strategy to get us out of the wars that they start overseas,
[03:40:55.964 --> 03:41:00.588]  They don't have an exit strategy for the COVID war.
[03:41:00.588 --> 03:41:03.630]  We are entering the greatest depression.
[03:41:03.630 --> 03:41:05.451]  It's already begun.
[03:41:05.451 --> 03:41:08.994]  By the way, we're going to be doing a webinar.
[03:41:08.994 --> 03:41:12.637]  You could go to TrendsJournal.com and sign up for it.
[03:41:12.637 --> 03:41:14.478]  TrendsJournal.com.
[03:41:14.478 --> 03:41:18.881]  It's coming Thursday, April 30th.
[03:41:18.881 --> 03:41:24.786]  And we'll be taking questions and answers to help people prepare for the future.
[03:41:25.785 --> 03:41:30.189]  Because this is coming down like nothing we've ever seen before.
[03:41:30.189 --> 03:41:35.373]  And if we don't fight for our freedom now, we are going to die in war.
[03:41:35.373 --> 03:41:37.114]  History is repeating itself.
[03:41:37.114 --> 03:41:40.277]  I've said this before.
[03:41:40.277 --> 03:41:50.465]  You had currency wars, trade war with Japan back in the 1930s, the Great Depression, World War II.
[03:41:50.465 --> 03:41:53.768]  We had currency wars and trade wars with China.
[03:41:53.768 --> 03:41:55.409]  The Greatest Depression has begun.
[03:41:56.465 --> 03:41:59.527]  When all else fails, they take you to war.
[03:41:59.527 --> 03:42:06.232]  World War III will be the war to end all wars because it'll end all life on Earth, or most of it.
[03:42:06.232 --> 03:42:08.954]  It'll be the war that Albert Einstein warned us about.
[03:42:08.954 --> 03:42:16.379]  They asked him what kind of weapons will be used to fight the Third World War.
[03:42:16.379 --> 03:42:19.001]  This is a cat with the atomic bomb, right?
[03:42:19.001 --> 03:42:20.842]  He said, I don't know.
[03:42:20.842 --> 03:42:25.185]  He said, but he'll be using sticks and stones to fight the Fourth.
[03:42:26.064 --> 03:42:45.284]  If we don't stand up and fight for freedom, to fight for our constitutional and bill of rights, we have these moronic, psychopathic sickos, the George W. Bush's of the world 2.0, that are going to kill us, if we don't fight for freedom.
[03:42:45.284 --> 03:42:47.967]  And I am a warrior for the Prince of Peace.
[03:42:47.967 --> 03:42:48.628]  We'll be right back.
[03:42:50.797 --> 03:42:53.139]  I'm always excited about InfoWars Life products.
[03:42:53.139 --> 03:42:53.719]  They're amazing.
[03:42:53.719 --> 03:42:54.400]  They're cutting edge.
[03:42:54.400 --> 03:42:54.840]  You love them.
[03:42:54.840 --> 03:42:55.481]  I love them.
[03:42:55.481 --> 03:42:59.124]  And they fund the InfoWars in the face of the globalist onslaught.
[03:42:59.124 --> 03:43:03.067]  But we have come up with a new product over a year in development.
[03:43:04.238 --> 03:43:05.879]  That is amazing.
[03:43:05.879 --> 03:43:13.541]  The only organic hand sanitizer on the market with organic essential oils on top of it.
[03:43:13.541 --> 03:43:15.862]  And there's another innovation.
[03:43:15.862 --> 03:43:17.942]  It's the spray cap.
[03:43:17.942 --> 03:43:23.364]  It doesn't just pour out a bunch of thick, gross goo, but it's high quality.
[03:43:23.364 --> 03:43:25.525]  It aerosolizes it in a really great way.
[03:43:25.525 --> 03:43:26.445]  I like to put it on my hands.
[03:43:27.205 --> 03:43:28.686]  Rub a little bit on my face.
[03:43:28.686 --> 03:43:31.509]  It's got organic alcohol in it, so don't spray it right in your eyes.
[03:43:31.509 --> 03:43:35.932]  But I just love it, personally, as something that's a moisturizer as well.
[03:43:35.932 --> 03:43:37.714]  So, this is a real innovation.
[03:43:37.714 --> 03:43:44.019]  I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it, so it doesn't dry you out.
[03:43:44.019 --> 03:43:45.600]  It smells great.
[03:43:45.600 --> 03:43:47.422]  It's so refreshing.
[03:43:47.422 --> 03:43:52.686]  This is a big winner.
[03:43:52.686 --> 03:43:54.168]  What are champions made of?
[03:43:56.045 --> 03:43:57.156]  Here's a man who can show you.
[03:44:03.746 --> 03:44:05.326]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[03:44:05.326 --> 03:44:06.867]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[03:44:06.867 --> 03:44:08.107]  AAA-253-3139, is the InfoWars store hotline!
[03:44:08.107 --> 03:44:09.848]  AAA-253-3139, is the InfoWars store... Sorry!
[03:44:09.848 --> 03:44:10.948]  AAA-253-3139, is the InfoWars store hotline!
[03:44:10.948 --> 03:44:12.248]  AAA-253-3139, is the InfoWars store...
[03:44:29.933 --> 03:44:33.397]  InfoWarsStore.com is simply the best.
[03:44:33.397 --> 03:44:36.440]  InfoWarsStore.com beats out all the rest.
[03:44:36.440 --> 03:44:37.822]  888-253-3139, 888-253-3139, 888-253-3139 is the InfoWarsStore hotline.
[03:44:37.822 --> 03:44:38.943]  888-253-3139, 888-253-3139, 888-253-3139, that's InfoWarsStore.com.
[03:44:52.099 --> 03:44:53.920]  How do you put people under house arrest?
[03:44:53.920 --> 03:44:55.921]  How do you put them under siege?
[03:44:55.921 --> 03:45:09.647]  Well, you tell them you're protecting them from a virus that you yourself cooked up with the globalist Deep State and then had China release to then take down the populist president and those pesky American people that have become too uppity.
[03:45:10.447 --> 03:45:11.788]  Bill Maher even admitted it.
[03:45:11.788 --> 03:45:13.648]  Man, I hope we have a depression.
[03:45:13.648 --> 03:45:28.975]  And now they've tailored the whole thing where the big corporations and the media are going to keep the country closed along with the help of the blue states and blue states all the time blaming Trump and capitalism and Americanism for the depression it creates.
[03:45:28.975 --> 03:45:31.996]  If America is that stupid, we deserve what happens to us.
