[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[03:15:35.760 --> 03:15:38.760]  I mean, again, it's all a stinking fraud.
[03:15:38.760 --> 03:15:42.760]  If somebody's reckless driving, it's a felony, folks.
[03:15:42.760 --> 03:15:45.760]  There's only a few charges they can give you.
[03:15:45.760 --> 03:15:46.760]  I'm sorry.
[03:15:46.760 --> 03:15:47.760]  Go ahead.
[03:15:47.760 --> 03:15:48.760]  Did he use radar?
[03:15:48.760 --> 03:15:49.760]  I don't even know.
[03:15:49.760 --> 03:15:51.760]  I didn't even, I haven't even read the stinking ticket yet.
[03:15:51.760 --> 03:15:52.760]  I've been too busy.
[03:15:52.760 --> 03:15:55.760]  But, but, but go ahead.
[03:15:55.760 --> 03:16:01.760]  I already know how a Don Salazar used Randy Kelton's stuff and they immediately dismissed it.
[03:16:01.760 --> 03:16:02.760]  Look, I know.
[03:16:02.760 --> 03:16:05.760]  I mean, I've been doing this forever, but go ahead and tell me your view on it.
[03:16:05.760 --> 03:16:07.760]  Well, I've done this before myself.
[03:16:07.760 --> 03:16:11.760]  When, when you get them in the court, say, how did you determine the speed?
[03:16:11.760 --> 03:16:12.760]  They say radar.
[03:16:12.760 --> 03:16:13.760]  Okay.
[03:16:13.760 --> 03:16:14.760]  When did you ask calibrated?
[03:16:14.760 --> 03:16:15.760]  You're real.
[03:16:15.760 --> 03:16:17.760]  And the code book requires that you calibrate every so often.
[03:16:17.760 --> 03:16:20.760]  They say, well, before I used it, I used the tuning for it.
[03:16:20.760 --> 03:16:21.760]  It's more than that.
[03:16:21.760 --> 03:16:23.760]  They don't file it with the magistrate like they're supposed to.
[03:16:23.760 --> 03:16:25.760]  They do it when you challenge it.
[03:16:25.760 --> 03:16:26.760]  It's null and void at that point.
[03:16:26.760 --> 03:16:28.760]  I'll have it removed that way.
[03:16:28.760 --> 03:16:30.760]  That needs to be posted also.
[03:16:30.760 --> 03:16:31.760]  Yeah.
[03:16:31.760 --> 03:16:32.760]  No, I know, I know.
[03:16:32.760 --> 03:16:33.760]  It's all illegal.
[03:16:33.760 --> 03:16:34.760]  I know.
[03:16:34.760 --> 03:16:36.760]  And what's going to happen is the patriots are educating the police.
[03:16:36.760 --> 03:16:40.760]  That's why cops now will say, all right, you don't have to sign it.
[03:16:40.760 --> 03:16:41.760]  Take the ticket.
[03:16:41.760 --> 03:16:46.760]  Or they'll say, okay, you're enrolled with this ticket now and you drive off because the cops
[03:16:46.760 --> 03:16:47.760]  are getting sued themselves now.
[03:16:47.760 --> 03:16:51.760]  See, they'll lie to the cops and tell them all day, oh, that's patriot mythology.
[03:16:51.760 --> 03:16:53.760]  And there is a bunch of mythology.
[03:16:53.760 --> 03:16:59.760]  See, the mythology fake legal patriot stuff that gets you put in jail versus the real
[03:16:59.760 --> 03:17:00.760]  stuff.
[03:17:00.760 --> 03:17:02.760]  And that's what people have to understand.
[03:17:02.760 --> 03:17:03.760]  God bless you sir.
[03:17:03.760 --> 03:17:04.760]  Good to hear from you.
[03:17:04.760 --> 03:17:05.760]  Thank you.
[03:17:05.760 --> 03:17:06.760]  And I know you were in Memphis.
[03:17:06.760 --> 03:17:07.760]  Excuse me.
[03:17:07.760 --> 03:17:08.760]  I said Nashville.
[03:17:08.760 --> 03:17:10.760]  We're on two stations in Knoxville.
[03:17:10.760 --> 03:17:11.760]  We're on in Nashville.
[03:17:11.760 --> 03:17:12.760]  We're on in Memphis.
[03:17:12.760 --> 03:17:16.760]  We're on, what is it, like two other places now in Tennessee?
[03:17:16.760 --> 03:17:18.760]  I can't keep track all of this.
[03:17:18.760 --> 03:17:19.760]  Chattanooga.
[03:17:19.760 --> 03:17:21.760]  I can't even keep track of it.
[03:17:21.760 --> 03:17:22.760]  They're forgetting so many affiliates.
[03:17:22.760 --> 03:17:23.760]  It's awesome.
[03:17:23.760 --> 03:17:24.760]  Praise God.
[03:17:24.760 --> 03:17:26.760]  Praise God, the words getting out.
[03:17:26.760 --> 03:17:27.760]  They're probably going to kill me.
[03:17:27.760 --> 03:17:29.760]  I don't want to make that.
[03:17:29.760 --> 03:17:30.760]  God, please protect me.
[03:17:30.760 --> 03:17:31.760]  Folks, pray for me.
[03:17:31.760 --> 03:17:33.760]  The average person would go.
[03:17:33.760 --> 03:17:35.760]  See, I was already crazy before all this.
[03:17:35.760 --> 03:17:38.760]  So the fact is that's why I can't go nuts now.
[03:17:38.760 --> 03:17:40.760]  That's the secret to all this.
[03:17:40.760 --> 03:17:42.760]  Let's talk to Mark in North Carolina.
[03:17:42.760 --> 03:17:44.760]  I got some general comments.
[03:17:44.760 --> 03:17:45.760]  Go ahead, brother.
[03:17:45.760 --> 03:17:46.760]  Oh, hi, Alex.
[03:17:46.760 --> 03:17:48.760]  It's good to be on air with you.
[03:17:48.760 --> 03:17:52.760]  I gotta say, I've been fired up all day today.
[03:17:52.760 --> 03:17:58.760]  I called C-Span this morning and there was a lady from the council on foreign relations
[03:17:58.760 --> 03:18:01.760]  and they're talking about movies that predict the future.
[03:18:01.760 --> 03:18:04.760]  I can't even remember what the name of it was, but a specific one.
[03:18:04.760 --> 03:18:11.760]  So I, of course, had to bring up that show the ex files spent off the lone gunman and
[03:18:11.760 --> 03:18:16.760]  she just leaned back in her chair and grand and I tried to get into building seven, but
[03:18:16.760 --> 03:18:17.760]  they cut me off by then.
[03:18:17.760 --> 03:18:18.760]  Oh, yeah.
[03:18:18.760 --> 03:18:23.760]  Listen, listen, they've almost gotten rid of calls on C-Span, but they admit sometimes
[03:18:23.760 --> 03:18:27.760]  90% of them on those calling shows are anti-New World Order.
[03:18:27.760 --> 03:18:30.760]  Again, they can't stop the mass of us.
[03:18:30.760 --> 03:18:31.760]  And see, you're a leader.
[03:18:31.760 --> 03:18:34.760]  It's just as much a leader as I am or more, brother.
[03:18:34.760 --> 03:18:38.760]  It's people like you doing those small things that will bring them down.
[03:18:38.760 --> 03:18:39.760]  Go ahead.
[03:18:39.760 --> 03:18:44.760]  Yeah, really, the biggest reason I was calling was to exploit your radio show to see if we
[03:18:44.760 --> 03:18:50.760]  get as many people as possible to call in the C-Span tomorrow about bomb bottom with
[03:18:50.760 --> 03:18:53.760]  9-11 truth, Washington Journal.
[03:18:53.760 --> 03:18:55.760]  It's a good way to go about doing that.
[03:18:55.760 --> 03:18:57.760]  So yeah, that's what I wanted to do.
[03:18:57.760 --> 03:18:58.760]  Yeah.
[03:18:58.760 --> 03:18:59.760]  And I appreciate you.
[03:18:59.760 --> 03:19:00.760]  God bless you, brother.
[03:19:00.760 --> 03:19:01.760]  I appreciate you.
[03:19:01.760 --> 03:19:06.760]  Let's jam in one more hospital spying on vets and we'll come back to it from break on W-T-A-N-1340
[03:19:06.760 --> 03:19:08.760]  AM listener in Florida.
[03:19:08.760 --> 03:19:09.760]  Go ahead, Bill.
[03:19:09.760 --> 03:19:12.760]  Hey, how you doing this afternoon there, Alex?
[03:19:12.760 --> 03:19:13.760]  Is there a time?
[03:19:13.760 --> 03:19:15.760]  Is there a bill out there at Tampa, Florida?
[03:19:15.760 --> 03:19:17.760]  100% disabled veteran.
[03:19:17.760 --> 03:19:20.760]  And there's a breaking news story down here.
[03:19:20.760 --> 03:19:25.760]  The family of a brain damaged veteran discovered a camera hidden in a smoke detector in his
[03:19:25.760 --> 03:19:30.760]  hospital room at James Haley VA Medical Center.
[03:19:30.760 --> 03:19:34.760]  According to the local news down here, Bay News 9 and the Tampa Bay Times, Haley officials
[03:19:34.760 --> 03:19:37.760]  have yet to turn over the video as a camera.
[03:19:37.760 --> 03:19:38.760]  Hey, guys, will you drive in?
[03:19:38.760 --> 03:19:39.760]  Vets spied on in Tampa Hospital.
[03:19:39.760 --> 03:19:40.760]  Give me the news article.
[03:19:40.760 --> 03:19:41.760]  I'm going to come back to you.
[03:19:41.760 --> 03:19:42.760]  Yeah, listen.
[03:19:42.760 --> 03:19:48.760]  Sir, all cell phones, all the new cable boxes, everything's watching and listening to you.
[03:19:48.760 --> 03:19:50.760]  And again, you're like, well, that's over the top.
[03:19:50.760 --> 03:19:51.760]  That's illegal.
[03:19:51.760 --> 03:19:54.760]  The government's criminal.
[03:19:54.760 --> 03:19:58.760]  Congress got caught insider trading in the tune of billions a year and they just went,
[03:19:58.760 --> 03:19:59.760]  oh, we're allowed to.
[03:19:59.760 --> 03:20:27.760]  They're a bunch of crooks.
[03:20:27.760 --> 03:20:29.760]  This is the perfect tool.
[03:20:29.760 --> 03:20:35.760]  12 of these delivered to the door of the institution's groups and individuals that you want to influence
[03:20:35.760 --> 03:20:36.760]  and wake up.
[03:20:36.760 --> 03:20:40.760]  Sign up for the free digital eversion at infowars.com forward slash newsletter.
[03:20:40.760 --> 03:20:44.760]  And we send it out the week after the physical magazine goes out or go to infowarstore.com
[03:20:44.760 --> 03:20:46.760]  today and sign up for a subscription.
[03:20:46.760 --> 03:20:51.760]  Give it as a gift subscription or buy them in bulk with Ron Paul, the attack on the Second
[03:20:51.760 --> 03:20:53.760]  Amendment, the police state, the GMO takeover.
[03:20:53.760 --> 03:20:59.760]  It's all there and all available at infowarstore.com or by calling 888-253-3139.
[03:20:59.760 --> 03:21:02.760]  Get your subscription or buy the magazines in bulk today.
[03:21:02.760 --> 03:21:07.760]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[03:21:07.760 --> 03:21:12.760]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers,
[03:21:12.760 --> 03:21:17.760]  the Berkey guy offers amazing specials for Berkey water filtration systems.
[03:21:17.760 --> 03:21:22.760]  The Berkey light systems include a set of self sterilizing and recleanable black purification elements
[03:21:22.760 --> 03:21:27.760]  that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non detectable
[03:21:27.760 --> 03:21:31.760]  levels and remove harmful chemicals such as herbicides and pesticides.
[03:21:31.760 --> 03:21:37.760]  Order the Berkey light system today complete with two black Berkey elements for only $231
[03:21:37.760 --> 03:21:40.760]  and the Berkey guy will ship your order free of charge.
[03:21:40.760 --> 03:21:44.760]  With the purchase of a Berkey light, the Berkey guy is also offering a set of fluoride and
[03:21:44.760 --> 03:21:47.760]  arsenic filters for only $39.99.
[03:21:47.760 --> 03:21:49.760]  That's over 30% off the retail price.
[03:21:49.760 --> 03:21:54.760]  Call the Berkey guy at 1-877-886-3653.
[03:21:54.760 --> 03:22:00.760]  That's 1-877-886-3653 or order online at goberkey.com.
[03:22:00.760 --> 03:22:22.760]  Let's go Berkey.com today.
[03:22:31.760 --> 03:22:35.760]  Congress is trying to settle on the next debt increase, and there's no end to this madness.
[03:22:35.760 --> 03:22:41.760]  That old 401K and IRA can be converted into physical gold without tax consequences.
[03:22:41.760 --> 03:22:44.760]  I explained this in my book 10 Reasons to Buy Gold.
[03:22:44.760 --> 03:22:50.760]  Don't let time slip away. Call for your free copy today 800-686-2237.
[03:22:50.760 --> 03:22:54.760]  Get away from that Washington spin and get honest answers about gold!
[03:22:54.760 --> 03:23:02.760]  800-686-2237. The book is free, 800-686-2237.
[03:23:02.760 --> 03:23:07.760]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[03:23:07.760 --> 03:23:10.760]  I want you to know some very important information.
[03:23:10.760 --> 03:23:15.760]  In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House
