[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[3:40:04.000 --> 3:40:08.000]  That's the key. That's his problem. Why does he not control the news anymore?
[3:40:08.000 --> 3:40:14.000]  Why do his people, why are they kept slaves of those little shriveled, peckered, new world order people?
[3:40:14.000 --> 3:40:17.000]  Exactly. It's attack, attack, attack, never defend.
[3:40:17.000 --> 3:40:23.000]  I mean, think about it. Other than say Trump, who is attacked more in the media than people like you and I?
[3:40:23.000 --> 3:40:28.000]  The things they called me pro-rape, they called me a rape advocate for crying out loud.
[3:40:28.000 --> 3:40:31.000]  Any heinous thing that you can think of, they've called me.
[3:40:31.000 --> 3:40:33.000]  Even though you're against Islam, that is the culture of rape.
[3:40:33.000 --> 3:40:38.000]  Yeah. And I never defend myself. I never answer. What I do is I attack them.
[3:40:38.000 --> 3:40:40.000]  I say, why didn't you invest in them?
[3:40:40.000 --> 3:40:44.000]  I agree because their attacks mean nothing. People say, how are you handling all these lies?
[3:40:44.000 --> 3:40:48.000]  Great audience, never been bigger because here's the secret service.
[3:40:48.000 --> 3:40:54.000]  The attacks on us, it's on our audience hoping they're weak-minded and think, like I had people walk up in the street and go,
[3:40:54.000 --> 3:41:00.000]  how's it going losing your wife? And I go, well, it was three years ago and I've got my children and I've had another baby
[3:41:00.000 --> 3:41:04.000]  and it's actually quite wonderful. I didn't want a divorce, but man, I really love my new wife. It's great.
[3:41:04.000 --> 3:41:09.000]  And the blood drains out of their face. And I'm like, that's right, dumbass.
[3:41:09.000 --> 3:41:16.000]  They put this out and sound like I'm a loser. I've never been a bigger winner, but it's all a simulation for them to feel powerful.
[3:41:16.000 --> 3:41:25.000]  Yeah, that's exactly right. But the more fun is, again, how much our own people who are listening, they're independent thinkers
[3:41:25.000 --> 3:41:27.000]  and they don't believe any of that crap.
[3:41:27.000 --> 3:41:36.000]  The most funny actually that I find amusing is my own people, you know, who are great people, they take the attacks on me more personally than I do.
[3:41:36.000 --> 3:41:43.000]  I just laugh them off. They know that we're being attacked and that's so beautiful about everybody listening and watching and everything is,
[3:41:43.000 --> 3:41:46.000]  they understand that in this war, everybody is a soldier.
[3:41:46.000 --> 3:41:50.000]  Exactly. I want to be clear. I ignore it, let it roll with my back.
[3:41:50.000 --> 3:41:56.000]  You know, it hurts. Some of it gets through. At least intellectually, I'll laugh at it, but having people defend us means so much.
[3:41:56.000 --> 3:42:02.000]  It really is awesome because we are extensions of our audience. They have to know they listened to us. They supported us.
[3:42:02.000 --> 3:42:10.000]  They made us. We're like your robotic probes that you've sent out to fight the globalists. We are you. You are the info war.
[3:42:10.000 --> 3:42:16.000]  That's not rhetoric. You are us. We are you. You have supported us. You have spread the word. You have interfaced with us.
[3:42:16.000 --> 3:42:22.000]  We have communed together. We are one. It really is true. That is the most important thing folks seem to know.
[3:42:22.000 --> 3:42:27.000]  Yeah. The way I always tell it is we're not on a pedestal. We're just down there with the truth.
[3:42:27.000 --> 3:42:35.000]  I mean, think about this. You went with the protesters, RNC, the megaphone. I went with the protestants at the DNC.
[3:42:35.000 --> 3:42:45.000]  People like Jack Pasobic are going and covering the violent Feral Antifa, Owen, Millie. We're all in the mix, man, every day.
[3:42:45.000 --> 3:42:47.000]  I want to give you some time for your own rants.
[3:42:47.000 --> 3:42:54.000]  We're going to skip the breaks. We have more time than I have a video. We're going to play right at the end of the hour dealing with some of the new things we've launched to support the broadcast.
[3:42:54.000 --> 3:43:00.000]  And then we're going to end this for the day. But I look forward to the next month or so. We're getting it all set up to launch a two, three hour show for you every day.
[3:43:00.000 --> 3:43:02.000]  But you go ahead and take over.
[3:43:02.000 --> 3:43:05.000]  Have you watched that video yet of the Turkish diplomatic people?
[3:43:05.000 --> 3:43:10.000]  Oh, I meant to get to that. That was my tough video. Yeah, let's talk about that, guys, because there's a bunch of bad ones.
[3:43:10.000 --> 3:43:16.000]  There's one that's HD up close. Do we have the Turkish residents of the Turkish ambassador?
[3:43:16.000 --> 3:43:25.000]  Yeah, here it is. What does this mean to show the Turks are so anti-freedom that they would attack another group demonstrating peacefully and beat everyone up?
[3:43:25.000 --> 3:43:35.000]  I mean, this is just crazy. And the Turks are telling Germany and Europe, you'll do what we say, and they're threatening everybody. What is going on with Turkey?
[3:43:35.000 --> 3:43:47.000]  And moreover, these are the people we're supposed to fight World War III with Russia over because they're NATO and the no flies up. This is the people that Americans are supposed to die for.
[3:43:47.000 --> 3:43:54.000]  They come to our country where we do believe in free speech and like a bunch of thugs smash our own citizens.
[3:43:54.000 --> 3:44:03.000]  This should be over all the news everywhere. But deep state, they like Turkey because they're using Turkey as a pawn to make a World War III with Russia.
[3:44:03.000 --> 3:44:12.000]  In fact, let's play this audio. They can't kill all the Armenians or they'd love to. They've almost killed every Christian in Turkey but not here yet.
[3:44:12.000 --> 3:44:14.000]  This is the political action of the Turks.
[3:44:14.000 --> 3:44:21.000]  This is what they mean when they call themselves the young Turks. They are a terrorist.
[3:44:21.000 --> 3:44:32.000]  Oh yeah, it's a total joke that he named himself the young Turks when that's the young political group of thugs that led the movement to first burn down shops, stores, kill people, rape people in Turkey at the beginning of World War I
[3:44:32.000 --> 3:44:39.000]  and two years later they killed a million, three million five Christians who'd been in there for over 2,000 years.
[3:44:39.000 --> 3:44:44.000]  They murdered them and the young Turks make jokes about this and won't even decry their Armenian massacre.
[3:44:44.000 --> 3:44:49.000]  What a group of monster pigs. Let's play the video for everybody right now. Here it is.
[3:44:49.000 --> 3:45:02.000]  Again, you've got the Turkish security people. Whenever they want, this is great footage where we shot this. Okay, so they go, go cross street.
[3:45:02.000 --> 3:45:17.000]  So we've now got them saying go cross street and then the Turkish security forces are pushing on the cops, ordering them around, telling them what to do and they just attack everybody.
[3:45:17.000 --> 3:45:35.000]  We're going to start this footage over at the beginning with audio because this just shows how our country has been turned to this lawless sewer.
[3:45:35.000 --> 3:45:43.000]  And I can't tell you, in my own life, I've had Turkey, the Turkish government, the gulon movement, all of it, just in our business.
[3:45:43.000 --> 3:45:49.000]  And then you see Turkey saying, it's time for Jihad in Europe. Let more of us in or we'll attack. We'll have Holy War.
[3:45:49.000 --> 3:45:58.000]  Let's play this from the first. Here it is. It's intriguing footage. Should have led the show with it. Here it is.
[3:45:58.000 --> 3:46:08.000]  And so you've got the security people of the Turkish ambassador's house just running out, beating everybody up.
[3:46:08.000 --> 3:46:20.000]  These are protestors who are peaceful. These are peaceful American protestors.
[3:46:20.000 --> 3:46:28.000]  And if you're a radio listener, this is amazing, like HD footage. It's just like 3D. What kind of camera shot this?
[3:46:28.000 --> 3:46:36.000]  And this is, what is this? American, fessy. I can't pronounce it. Voice of America, it looks like, but in like foreign language.
[3:46:36.000 --> 3:46:43.000]  Yeah, Voice of America. So Voice of America even got this. Good God. I mean, Turkey is just out of control.
[3:46:43.000 --> 3:46:47.000]  And I love how the public's trained. Like, these guys, I'm not saying I'm a tough guy. I'm trying to punch me.
[3:46:47.000 --> 3:46:51.000]  They're not even good fighters. They just beat the hell out of these people.
[3:46:51.000 --> 3:46:56.000]  Wow. I know we have some of the details. Mike, what happened here? Who was out there protesting? What happened?
[3:46:56.000 --> 3:47:04.000]  So they were Armenians and Yemenis who were protesting the dictatorship in Turkey. If this is happening in America.
[3:47:04.000 --> 3:47:09.000]  And I guess, again, in America and DC and the Turks are mad, they couldn't kill all of them. Like, oh my God, we couldn't kill your grandmother.
[3:47:09.000 --> 3:47:11.000]  Here, let me attack you now.
[3:47:11.000 --> 3:47:18.000]  Right. Just like the young Turks have inspired multiple mass shooters like Elliot Roger, like the Seattle shooter,
[3:47:18.000 --> 3:47:25.000]  the young Turks have actually inspired more mass shooters in America than anybody else. And certainly the media will not cover it up.
[3:47:25.000 --> 3:47:33.000]  So this should be the number one story in the world. This, if the Turkish people will come and beat up Yemenis and Armenians in America
[3:47:33.000 --> 3:47:37.000]  and our nation's capital, imagine what is happening in Turkey.
[3:47:37.000 --> 3:47:42.000]  That's what I thought it was. So it's Turks attacking Armenians.
[3:47:42.000 --> 3:47:46.000]  Because I guess they're like, oh my God, a 4,000 escaped to America. Here's their grandkids. Let's attack them.
[3:47:46.000 --> 3:47:49.000]  But they're just so pissed they're still alive.
[3:47:49.000 --> 3:47:55.000]  Yeah, the genocide, yeah, they were upset. Like, people like Sinca and the young Turks, they're mad that they didn't murder
[3:47:55.000 --> 3:48:00.000]  and genocide and holocaust every Armenian and now they're coming after them.
[3:48:00.000 --> 3:48:03.000]  I mean, do you really think that Sinki actually thinks that?
[3:48:03.000 --> 3:48:09.000]  Oh, for sure. He named his show. That would be like if I started a radio show called the SS, right?
[3:48:09.000 --> 3:48:13.000]  Who would do that? The young Turks is literally the enforcer.
[3:48:13.000 --> 3:48:19.000]  Like if you named it 88, Hal Hitler, we're the SS and you wore black uniforms.
[3:48:19.000 --> 3:48:22.000]  Right, exactly. It would be like calling it the 1488 show.
[3:48:22.000 --> 3:48:26.000]  You know, we should really investigate. How do you say, Sinker?
[3:48:26.000 --> 3:48:33.000]  Yeah, I always forget. Yeah, because I mean, we really should investigate him and like quiet because he did name it young Turks.
[3:48:33.000 --> 3:48:37.000]  That's the group that started the genocide. Why would you name your group that?
[3:48:37.000 --> 3:48:46.000]  Well, and I'm going to give you actually, I'm going to send over to Nico right now a story about all of the mass shootings that the young Turks fans have committed.
[3:48:46.000 --> 3:48:52.000]  So a lot of people don't know this. They're always trying to say you and I, you know, mean people and everybody watch us.
[3:48:52.000 --> 3:48:56.000]  But this is actually not true. So I'm going to say we should break this, you know, this is a big thing here.
[3:48:56.000 --> 3:48:58.000]  I'm sending it right over to Nico right now.
[3:48:58.000 --> 3:49:03.000]  But the young Turks and Sinker have inspired terrorism and multiple shooters.
[3:49:03.000 --> 3:49:09.000]  Elliot Roger, who, you know, killed a bunch of people in Chula Beach, then California was the young Turks fan.
[3:49:09.000 --> 3:49:19.000]  Arkan Seaton, who was the Seattle Mall shooter, he was a big fan, a big, big fan of the young Turks, the subscriber, the young Turks really, really, really into the young Turks.
[3:49:19.000 --> 3:49:28.000]  So I guess the question is, why is it that if somebody who follows us on Twitter, you know, farts in the wrong direction, that's going to be called a Syrian gas attack.
[3:49:28.000 --> 3:49:35.000]  But the young Turks are inspiring mass murderers and mass shooters, and the media won't make them disavow this. Why will the media not?
[3:49:35.000 --> 3:49:43.000]  Well, it is true that the young Turks were funded by Qatar. And when I mentioned that, whenever I saw them at the DNC or RNC, they blew up.
[3:49:43.000 --> 3:49:54.000]  Right, exactly. So that's my question is, why won't the media demand that the young Turks disavow the terrorists who read them and the mass shooters who watched them?
[3:49:54.000 --> 3:49:56.000]  This should be the biggest story in the world.
[3:49:56.000 --> 3:50:01.000]  Let me ask you this. What do you think the young Turks want in America, and why are they force fed by Google?
[3:50:01.000 --> 3:50:04.000]  Well, that tells you everything, right? They want what Shabbat wants.
[3:50:04.000 --> 3:50:10.000]  They want to run everybody out of business, and they want to caliphate, and they want us running under Sharia law.
[3:50:10.000 --> 3:50:16.000]  They want more. They want the Armenian genocide, which is, of course, why a secret show is called the Young Turks.
[3:50:16.000 --> 3:50:24.000]  He wants to support the Turkish dictator. He wants to enslave. He wants to enslave everybody in America.
[3:50:24.000 --> 3:50:31.000]  They want genocide. They want to kill the Armenians. They want to kill the Armenians. They're genocidal maniacs.
[3:50:31.000 --> 3:50:41.000]  Well, all I know is, I don't know if the Turks or the Kurds or who all wants what. I just know that we just saw the Turkish government people beat up a bunch of Armenians, and it's completely out of control.
[3:50:41.000 --> 3:50:52.000]  Mike Sernovich, thank you so much for co-hosting today. I've got several videos that we're going to play here at the end of the transmission dealing with some of the new sponsorship we've got.
[3:50:52.000 --> 3:50:56.000]  But thank you for the work you're doing. I look forward to you being back on the broadcast next week.
[3:50:56.000 --> 3:50:58.000]  Thanks, Alex. I'll see you next week.
[3:50:58.000 --> 3:51:10.000]  Thank you. Folks, we're going to be on the nightly news tonight, 7 o'clock central. I want to air the new promo here in a moment for the new product, Emirates Essentials, and we're going to end this transmission.
