[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[3:46:52.360 --> 3:46:59.880]  You're listening to the alex jones show
[3:47:08.120 --> 3:47:15.960]  My fellow americans, let me make this perfectly clear. You're listening to roger stone on info wars
[3:47:15.960 --> 3:47:26.120]  Welcome back. I'm roger stone and you're on alex jones show right here at info wars
[3:47:26.600 --> 3:47:30.200]  And now it is my distinct pleasure to bring on our guest
[3:47:30.760 --> 3:47:38.680]  tana gertz tana gertz is a personal friend of the president and the first family for two decades
[3:47:38.920 --> 3:47:42.120]  Here's what president trump himself said about tana
[3:47:42.120 --> 3:47:49.880]  Tana is truly a star. She has that rare combination of laid-back charm and razor sharp execution
[3:47:50.120 --> 3:47:54.520]  And she doesn't put up with nonsense tana. You sound a little bit like me
[3:47:55.160 --> 3:48:02.600]  I'm delighted to have you here on the alex jones show. Welcome. Thank you roger for having me. I'm excited to be here with you
[3:48:03.640 --> 3:48:06.520]  Now you first kind of became a television star in
[3:48:06.520 --> 3:48:13.960]  2005 when you starred on The Apprentice as I recall you're the only person in the history of the show to never be
[3:48:14.280 --> 3:48:22.280]  Fired but then you had a whole second career when you emerged as a key strategist for donald trump's campaign in iowa
[3:48:22.520 --> 3:48:25.400]  And then a senior advisor to his campaign
[3:48:26.040 --> 3:48:32.280]  I remember meeting you at the republican national convention when alex jones and I were actually
[3:48:32.280 --> 3:48:37.560]  Invited on the set of the young turks which turned out to be an ambush
[3:48:38.280 --> 3:48:41.240]  In a shouting match that you can still see on youtube
[3:48:41.720 --> 3:48:47.320]  I know that you're like me like alex jones a fighter. Do you remember that terrific occasion?
[3:48:47.960 --> 3:48:52.200]  I remember meeting you and I remember meeting alex and I remember the fight
[3:48:52.520 --> 3:48:58.120]  I was right there right beside you doing radio as well with an la station and the fight broke out
[3:48:58.120 --> 3:49:02.600]  And I was like who are these people like what are what are the young turks? I didn't even know who they were and
[3:49:02.840 --> 3:49:08.600]  Couldn't understand why they were picking a fight with you guys and you and alex were fighters just like myself and
[3:49:09.240 --> 3:49:15.080]  You were holding your ground and and there was there was chaos and and then you and I talked afterwards and it was just
[3:49:15.160 --> 3:49:18.840]  It was it was amazing. I mean at the end of the day. We were making history roger
[3:49:19.640 --> 3:49:24.280]  It was indeed a piece of history actually took a course and sent me this link
[3:49:24.280 --> 3:49:30.360]  Which is up on youtube just a few days ago a marveling at how entertaining it is now
[3:49:31.160 --> 3:49:33.560]  I thought going back to 1988
[3:49:34.200 --> 3:49:38.520]  That donald trump had the stature the independence the size
[3:49:38.680 --> 3:49:43.320]  I don't mean physical size although he's very tall and broad-shouldered to be a great president
[3:49:44.040 --> 3:49:48.920]  And a lot of my friends in the political community made fun of me for that saying oh donald trump
[3:49:48.920 --> 3:49:54.280]  He'll never really run. He's just trying to burnish his brand. He could never win
[3:49:54.680 --> 3:49:58.040]  And here we have two years into the trump presidency
[3:49:58.680 --> 3:50:05.720]  Amazing success. What first convinced you that donald trump could be a great candidate and a great president
[3:50:06.680 --> 3:50:07.960]  Well, that's a great question
[3:50:07.960 --> 3:50:13.800]  I met him for the very first time in 2005 as you mentioned when I was a contestant on his show
[3:50:13.800 --> 3:50:20.920]  And I never wanted to go on the show for any other reason other than to learn from america's business icon donald trump
[3:50:21.480 --> 3:50:23.720]  And and I went there and I had an amazing time
[3:50:23.720 --> 3:50:30.840]  But as as the weeks were clicking often and people were getting fired left and right and I I got to spend more time with them
[3:50:31.240 --> 3:50:33.240]  I realized this man
[3:50:33.880 --> 3:50:39.960]  He's brilliant like he is super smart. He's so successful. I got to learn his mind
[3:50:40.040 --> 3:50:42.440]  I got to learn what makes him tick and I realized
[3:50:42.440 --> 3:50:51.000]  Uh, we're all very very similar like yourself myself donald trump the go-getters that that never quit that don't care what people think about him
[3:50:51.640 --> 3:50:53.240]  You know, I'm not a billionaire yet
[3:50:53.240 --> 3:50:56.040]  But he is and I I just wanted to absorb it all
[3:50:56.520 --> 3:51:03.320]  And I acted as if I was a student of his and I had an 18 week business course learning from him. And so I saw
[3:51:04.360 --> 3:51:10.360]  attitude and persistence and tenacity and all these characters that I thought wow
[3:51:10.360 --> 3:51:14.040]  He could make a great president and he would make a great president
[3:51:14.280 --> 3:51:16.280]  But I never thought he'd ever
[3:51:16.600 --> 3:51:20.600]  Give up his plush life and you know his penthouse and and
[3:51:21.240 --> 3:51:27.800]  The career that he had to go and and deal with the swamp creatures that he's had to deal with so I never thought he would do it
[3:51:28.440 --> 3:51:33.480]  Because you'd have to be crazy to want to to want to make america great again because look at what's happening to him
[3:51:33.880 --> 3:51:35.080]  So I knew he'd be great
[3:51:35.080 --> 3:51:41.560]  But I didn't think he'd do it because I thought he had such a great life. Why why surround yourself with this toxic environment?
[3:51:41.560 --> 3:51:44.280]  That he's been put under and I'm so happy he did though
[3:51:45.400 --> 3:51:53.640]  Well, I think people underestimate his toughness. I think back to an interview he gave with oprah wimphrey almost 30 years ago
[3:51:53.720 --> 3:51:55.080]  Which she said
[3:51:55.080 --> 3:52:00.040]  What about politics donald? Do you think you'd ever run for public office? Do you think you'd ever run for president?
[3:52:00.920 --> 3:52:02.920]  No, he said I don't think so
[3:52:02.920 --> 3:52:06.440]  Unless things get so bad that I have no choice
[3:52:07.000 --> 3:52:11.640]  And that's where we are today. I don't pump didn't run because he needed to be somebody
[3:52:11.880 --> 3:52:14.920]  He didn't need to run because he needed to prove something
[3:52:15.320 --> 3:52:21.720]  He loves his country and he saw us going down the drain and therefore he's serving at president as president
[3:52:21.800 --> 3:52:25.640]  And at great cost to himself not only financial cost
[3:52:25.640 --> 3:52:32.760]  But the vituperation and the personal attacks on him and his family are enough to turn your stomach
[3:52:33.080 --> 3:52:35.400]  He is literally the toughest man
[3:52:35.480 --> 3:52:43.640]  I have ever met in american politics and that covers richard nixon and ronald reagan and many and bob dole and many others
[3:52:43.880 --> 3:52:44.920]  Go ahead
[3:52:44.920 --> 3:52:48.600]  Well, I was going to say you said exactly what I said to him roger
[3:52:48.600 --> 3:52:50.600]  I was just with them a couple weeks ago
[3:52:51.080 --> 3:52:54.760]  And backstage with him, you know, I could say anything to him and I just looked at him
[3:52:54.760 --> 3:52:58.440]  And I said president trump. I said, you are the toughest
[3:52:59.080 --> 3:53:04.680]  Strongest man that I know those are the exact words that came out of my mouth and he was like, oh, thanks tannin
[3:53:04.680 --> 3:53:10.600]  You know, he brushes it off like it's no big deal, but I'm like, no, I mean this you are so tough
[3:53:11.000 --> 3:53:13.000]  I mean you and I are tough roger
[3:53:13.240 --> 3:53:15.480]  But honestly day in and day out
[3:53:16.200 --> 3:53:22.040]  Attacking of the family and your wife your children your looks your weight your mental capacity. I mean you name it
[3:53:22.040 --> 3:53:25.480]  It's like at some point. I said to myself. I'm tough
[3:53:26.040 --> 3:53:30.360]  But what I give in like what I cave after two years of this and just say, you know, what's through it
[3:53:30.680 --> 3:53:34.680]  I'm going to go back to my life. I want to you know, eat top ron and I mean, excuse me
[3:53:34.680 --> 3:53:38.120]  I'm going to eat filet mignon and not be like eating big max on the plane
[3:53:38.200 --> 3:53:43.160]  I want to have my life back, but he does it and he does it for you and me in america
[3:53:44.040 --> 3:53:46.040]  Well, the results I think are clear
[3:53:46.040 --> 3:53:53.160]  Um, 4.2 million new jobs created unemployment at the lowest rate since 1969
[3:53:53.720 --> 3:53:56.760]  Hispanic and black unemployment at the lowest
[3:53:57.640 --> 3:54:04.760]  rate since those statistics began being kept, uh, the greatest wage growth in our history
[3:54:05.160 --> 3:54:09.160]  Billions of dollars coming back in the country for reinvestment
[3:54:09.560 --> 3:54:13.960]  Rebuilding our military strength as a deterrent
[3:54:13.960 --> 3:54:20.840]  Uh redoing these multi international trade deals that serve our trade partners well
[3:54:20.920 --> 3:54:23.320]  But suck the jobs out of america
[3:54:23.320 --> 3:54:25.320]  I really think the president's done a good job
[3:54:25.800 --> 3:54:29.880]  Of framing next tuesday's election as a difference between jobs
[3:54:30.440 --> 3:54:38.600]  And mobs in dollars you have proven results. What's your what's your thoughts on next tuesday's midterm elections?
[3:54:38.600 --> 3:54:46.280]  Well, I agree with you and what you said about everything that he's done. It's like show me another president that has that track record
[3:54:46.600 --> 3:54:51.880]  Show me who has done all these amazing things. I mean, I'm a woman. I'm a small business owner woman owned business
[3:54:52.200 --> 3:54:56.280]  And I couldn't be more excited to be a woman entrepreneur in in today's age
[3:54:56.680 --> 3:55:03.880]  Uh, so I think it's amazing that he's going to these rallies and he's tooting his own horn because we know the fake news isn't going to report it
[3:55:03.880 --> 3:55:08.760]  So, uh, I I'm very excited about tuesday. I've got my fingers crossed
[3:55:09.240 --> 3:55:15.320]  That the republicans get out there and vote and don't just rest on our laurels that we've got a great president
[3:55:15.560 --> 3:55:19.080]  You know as commander and chief doing the job because at the end of the day
[3:55:19.560 --> 3:55:23.400]  He said to me how we looking in iowa and I said i'm scared to be quite honest with you
[3:55:23.880 --> 3:55:25.880]  He goes, well, how did they win, you know
[3:55:26.040 --> 3:55:32.200]  Two years ago. I said, uh, you that's how they won you were on the ticket and people went out and voted because of you
