[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[3:40:05.800 --> 3:40:08.800]  The newspaper went and created from our intel, a Craigslist ad saying,
[3:40:08.800 --> 3:40:10.800]  we need actors to come protest the Lenin statue.
[3:40:10.800 --> 3:40:12.800]  Well, I never went to the Lenin statue in Seattle.
[3:40:12.800 --> 3:40:16.800]  I don't ever hire actors for anything unless it's like for a Craigslist ad
[3:40:16.800 --> 3:40:20.800]  or some modeling agency to have a girl rub suntan lotion on her,
[3:40:20.800 --> 3:40:23.800]  or a poor caveman in a cup and stir it.
[3:40:23.800 --> 3:40:26.800]  I mean, this is real. There's no teleprompters. There's no actors.
[3:40:26.800 --> 3:40:30.800]  They just ran the fake news thing in newspapers that I was staging things
[3:40:30.800 --> 3:40:33.800]  that the guy that attacked me was an actor because he is an actor.
[3:40:33.800 --> 3:40:35.800]  But every one of those losers is an actor.
[3:40:35.800 --> 3:40:37.800]  They're all little delicate geniuses.
[3:40:37.800 --> 3:40:38.800]  Okay.
[3:40:38.800 --> 3:40:42.800]  And, you know, so, so again, and they even, you know,
[3:40:42.800 --> 3:40:45.800]  put out fake Craigslist with Mikhail Phelan's name on it.
[3:40:45.800 --> 3:40:48.800]  So they think we're doing these fake tactics to beat them.
[3:40:48.800 --> 3:40:52.800]  They go claim that we're making it up that they're fake.
[3:40:52.800 --> 3:40:55.800]  And then they go out and fake stuff, try to make it look we're fake,
[3:40:55.800 --> 3:40:57.800]  doubling down that they're the ones that are fake.
[3:40:57.800 --> 3:40:58.800]  Does that make sense?
[3:40:58.800 --> 3:41:01.800]  Yeah. And it doesn't cost anything to run a Craigslist ad.
[3:41:01.800 --> 3:41:03.800]  You know, you can, you can look and see who the writers are
[3:41:03.800 --> 3:41:04.800]  and you can put a Craigslist ad.
[3:41:04.800 --> 3:41:06.800]  Yeah. We didn't just go out the Craigslist ad for Charlottesville
[3:41:06.800 --> 3:41:07.800]  or other areas.
[3:41:07.800 --> 3:41:09.800]  This company's been around since 2007.
[3:41:09.800 --> 3:41:11.800]  They're the ones that did Hillary's ads.
[3:41:11.800 --> 3:41:13.800]  There's been political articles with her interviewed.
[3:41:13.800 --> 3:41:14.800]  New York Times articles.
[3:41:14.800 --> 3:41:17.800]  This is a real group hiring people for anti-fuck.
[3:41:17.800 --> 3:41:18.800]  Yeah.
[3:41:18.800 --> 3:41:19.800]  I mean, we have them advertising.
[3:41:19.800 --> 3:41:21.800]  We have a 10-year track record.
[3:41:21.800 --> 3:41:22.800]  Right.
[3:41:22.800 --> 3:41:23.800]  We're not just saying they did this.
[3:41:23.800 --> 3:41:24.800]  We have proof.
[3:41:24.800 --> 3:41:25.800]  Yeah.
[3:41:25.800 --> 3:41:26.800]  Yeah.
[3:41:26.800 --> 3:41:27.800]  But see, the media goes, how do we counter Jones?
[3:41:27.800 --> 3:41:28.800]  Well, he says we're actors.
[3:41:28.800 --> 3:41:30.800]  We'll just put out fake stuff saying he's hiring actors.
[3:41:30.800 --> 3:41:31.800]  Mm-hmm.
[3:41:31.800 --> 3:41:32.800]  Well, that's what they do.
[3:41:32.800 --> 3:41:33.800]  They project on you.
[3:41:33.800 --> 3:41:35.800]  And that's what Hillary Clinton did with the Russian issues, right?
[3:41:35.800 --> 3:41:37.800]  She's got all these Russian issues.
[3:41:37.800 --> 3:41:41.800]  She's got all of these issues with national security violations.
[3:41:41.800 --> 3:41:42.800]  And so what does she do?
[3:41:42.800 --> 3:41:45.800]  She projects all that onto Donald Trump.
[3:41:45.800 --> 3:41:47.800]  So it inoculates her against that.
[3:41:47.800 --> 3:41:48.800]  And of course, we've got the...
[3:41:48.800 --> 3:41:49.800]  Exactly.
[3:41:49.800 --> 3:41:51.800]  We've got the Russian stuff, but when it's her in bed with it...
[3:41:51.800 --> 3:41:52.800]  Yeah.
[3:41:52.800 --> 3:41:53.800]  And the indictments are coming.
[3:41:53.800 --> 3:41:54.800]  Great point, Kevin.
[3:41:54.800 --> 3:41:55.800]  Jason and Canada.
[3:41:55.800 --> 3:41:56.800]  Dun, dun, dun, dun.
[3:41:56.800 --> 3:41:57.800]  You're on the air.
[3:41:57.800 --> 3:41:58.800]  Hi, Alex.
[3:41:58.800 --> 3:41:59.800]  Hey.
[3:41:59.800 --> 3:42:02.800]  I've been listening since June 2016.
[3:42:02.800 --> 3:42:04.800]  I really like your show.
[3:42:04.800 --> 3:42:10.800]  And I just want to say first off that your show is the reason why I got me and my family
[3:42:10.800 --> 3:42:12.800]  off the tap water.
[3:42:12.800 --> 3:42:18.800]  And I opted my beautiful, smart daughter, 12 years old.
[3:42:18.800 --> 3:42:23.800]  They wanted to give her a three-pronged concoction.
[3:42:23.800 --> 3:42:25.800]  I opted out of it.
[3:42:25.800 --> 3:42:28.800]  And I thank you for that.
[3:42:28.800 --> 3:42:29.800]  Well, thank you, brother.
[3:42:29.800 --> 3:42:33.800]  I mean, the tap water is so full of 300, 400 poisons on average.
[3:42:33.800 --> 3:42:36.800]  The number one thing anybody can do is purify their water.
[3:42:36.800 --> 3:42:37.800]  That's kooky and weird.
[3:42:37.800 --> 3:42:40.800]  And they go, he's selling money, selling filters.
[3:42:40.800 --> 3:42:41.800]  Exactly.
[3:42:41.800 --> 3:42:44.800]  We sell things we believe in and use.
[3:42:44.800 --> 3:42:45.800]  That's how it's supposed to work.
[3:42:45.800 --> 3:42:49.800]  Yeah, you're looking at things like Flint, Michigan, or the situation in California where
[3:42:49.800 --> 3:42:54.800]  they dumped that carcinogen into the groundwater there.
[3:42:54.800 --> 3:42:59.800]  Wouldn't you like to not find out after the fact that you and your family have been drinking
[3:42:59.800 --> 3:43:02.800]  this stuff, should have filtered out?
[3:43:02.800 --> 3:43:05.800]  Most well water and most tap water taste like total crap.
[3:43:05.800 --> 3:43:06.800]  Yeah.
[3:43:06.800 --> 3:43:08.800]  There are some aquifer wells that taste completely awesome.
[3:43:08.800 --> 3:43:11.800]  I used to have a farmhouse in an aquifer well, and I got divorced.
[3:43:11.800 --> 3:43:13.800]  My ex-wife got it all.
[3:43:13.800 --> 3:43:15.800]  The point is that that doesn't matter.
[3:43:15.800 --> 3:43:16.800]  That was good well water.
[3:43:16.800 --> 3:43:17.800]  And you could taste it.
[3:43:17.800 --> 3:43:18.800]  It was great.
[3:43:18.800 --> 3:43:19.800]  We even had it tested.
[3:43:19.800 --> 3:43:20.800]  And it was pretty clean.
[3:43:20.800 --> 3:43:26.800]  But compared to what you get with a pro pure or an Alexa pure that cuts stuff down to non-detectable
[3:43:26.800 --> 3:43:30.800]  or 99999999 depending on what it is.
[3:43:30.800 --> 3:43:32.800]  I mean, yeah, there's hundreds of things you're cutting out.
[3:43:32.800 --> 3:43:33.800]  Yeah.
[3:43:33.800 --> 3:43:35.800]  And there's runoff in the aquifers as well.
[3:43:35.800 --> 3:43:39.800]  You're insane if you're not filtering your water.
[3:43:39.800 --> 3:43:42.800]  Anything else, Jason?
[3:43:42.800 --> 3:43:44.800]  Are you still there?
[3:43:44.800 --> 3:43:45.800]  Yes, I am.
[3:43:45.800 --> 3:43:46.800]  Go ahead.
[3:43:46.800 --> 3:43:47.800]  Okay.
[3:43:47.800 --> 3:43:48.800]  I grew up on well water.
[3:43:48.800 --> 3:43:50.800]  I was in a rural area when I grew up.
[3:43:50.800 --> 3:43:56.800]  And then they came to our public schools, all the kids in the farm areas with like a fluoride
[3:43:56.800 --> 3:44:01.800]  that they would have us put a half cup in our mouth and swish it around and go up and down
[3:44:01.800 --> 3:44:02.800]  the hall.
[3:44:02.800 --> 3:44:06.800]  And when we got back, we spit it out into the and to the found.
[3:44:06.800 --> 3:44:09.800]  So they got to the fluoride that way.
[3:44:09.800 --> 3:44:12.800]  I remember getting sick and those little pills you suck on your mouth red pills.
[3:44:12.800 --> 3:44:14.800]  You get real sick off of them.
[3:44:14.800 --> 3:44:15.800]  Yeah.
[3:44:15.800 --> 3:44:16.800]  Yeah.
[3:44:16.800 --> 3:44:18.800]  Well, I remember getting a really bad head.
[3:44:18.800 --> 3:44:19.800]  Just looking back now.
[3:44:19.800 --> 3:44:24.800]  I wonder if that was because I can't get the timeline, but I remember at one time I was
[3:44:24.800 --> 3:44:25.800]  around the same time.
[3:44:25.800 --> 3:44:29.800]  I accidentally swallowed some of it one time like in grade three.
[3:44:29.800 --> 3:44:32.800]  And I got this massive migraine headache.
[3:44:32.800 --> 3:44:38.800]  Well, it says on the insert of toothpaste, don't swallow it and you only use a pea size
[3:44:38.800 --> 3:44:39.800]  amount.
[3:44:39.800 --> 3:44:42.800]  And if you do use more than that, call poison control immediately.
[3:44:42.800 --> 3:44:47.800]  Well, like Harvard and other people have done studies to correlate a decrease in IQ to
[3:44:47.800 --> 3:44:49.800]  fluoride consumption at certain levels.
[3:44:49.800 --> 3:44:54.800]  But the question is this, how do you know if they dump it into the water supply?
[3:44:54.800 --> 3:44:56.800]  What level of fluoride you're getting?
[3:44:56.800 --> 3:44:59.800]  You don't know if you're getting more than a doctor.
[3:44:59.800 --> 3:45:03.800]  It's like saying you drink sunscreen to not get burned by the sun.
[3:45:03.800 --> 3:45:04.800]  Exactly.
[3:45:04.800 --> 3:45:08.680]  But why would you, even if it's something that's good, why would you dump it in the water
[3:45:08.680 --> 3:45:09.680]  supply?
[3:45:09.680 --> 3:45:11.920]  Because you have no control over the dosage.
[3:45:11.920 --> 3:45:15.400]  A child is going to get the same dosage as an adult male.
[3:45:15.400 --> 3:45:16.400]  Yeah.
[3:45:16.400 --> 3:45:20.560]  Well, the Harvard study said 1.6 parts per million, which is what the US standard reduced
[3:45:20.560 --> 3:45:26.480]  IQs on average more than 10 points that were just several years of use in a prepubescent
[3:45:26.480 --> 3:45:27.480]  child.
[3:45:27.480 --> 3:45:28.480]  Yeah.
[3:45:28.480 --> 3:45:33.080]  And it eight fold increase in bone cancers and boys and it's just a big laundry list
[3:45:33.080 --> 3:45:35.360]  because they're not using calcium fluoride.
[3:45:35.360 --> 3:45:36.360]  You're an engineer.
[3:45:36.360 --> 3:45:37.360]  You know this.
[3:45:37.360 --> 3:45:41.360]  It's made of borosilic acid, which is an electrified, you know, I'm not the chemist
[3:45:41.360 --> 3:45:45.520]  like you, but they basically add more stuff onto it, a charge and then it makes it way
[3:45:45.520 --> 3:45:48.560]  more bioavailable and makes it an adjuvant basically.
[3:45:48.560 --> 3:45:49.560]  Yeah.
[3:45:49.560 --> 3:45:50.560]  Yeah, exactly.
[3:45:50.560 --> 3:45:51.920]  An irritant like they do in the vaccine.
[3:45:51.920 --> 3:45:54.840]  So yeah, none of it makes any sense.
[3:45:54.840 --> 3:45:58.880]  And so you have to take control of your own life and that's one of the things that we
[3:45:58.880 --> 3:45:59.880]  can do.
[3:45:59.880 --> 3:46:03.080]  Fortunately, right now we can take control of our life and that I wish it was that easy
[3:46:03.080 --> 3:46:05.640]  to filter out the federal reserve and the federal government.
[3:46:05.640 --> 3:46:08.480]  Exactly. I wish I could buy a can to do that, but I can't Jason.
[3:46:08.480 --> 3:46:09.480]  Great points.
[3:46:09.480 --> 3:46:10.480]  Barb in Illinois.
[3:46:10.480 --> 3:46:12.480]  Last caller that we're going to play this clip and they was going to take over and finish
[3:46:12.480 --> 3:46:13.480]  up.
[3:46:13.480 --> 3:46:14.480]  Go ahead, Barb.
[3:46:14.480 --> 3:46:15.480]  Hi, Alex.
[3:46:15.480 --> 3:46:16.480]  Hi, Alex.
[3:46:16.480 --> 3:46:17.480]  Can you hear me?
[3:46:17.480 --> 3:46:18.480]  Yes, ma'am.
[3:46:18.480 --> 3:46:19.480]  I just want to say I respect everything you're doing.
[3:46:19.480 --> 3:46:21.480]  I followed you all through Seattle this weekend.
[3:46:21.480 --> 3:46:29.240]  The reason I'm calling is because you've been talking about what, well, anyway, it's about
[3:46:29.240 --> 3:46:35.320]  Scott Bale yesterday tweeted out that today he says beware what's happening today and he
[3:46:35.320 --> 3:46:40.760]  showed a video of Douglas Ducott senior, a U.S. Army retired CEO of Veterans United for
[3:46:40.760 --> 3:46:47.480]  Justice saying that the senators were going to pass a vote on censoring President Trump.
[3:46:47.480 --> 3:46:49.480]  Have you heard anything?
[3:46:49.480 --> 3:46:51.480]  Censoring or censuring?
[3:46:51.480 --> 3:46:52.480]  Censuring.
[3:46:52.480 --> 3:46:53.480]  S-U-R.
[3:46:53.480 --> 3:46:58.600]  Guys, search engines, censuring, censure, censure of Trump, put that into the search engine.
[3:46:58.600 --> 3:47:02.760]  I've not heard of that, but I know there's all sorts of hard Republican senators and
[3:47:02.760 --> 3:47:07.960]  Democrats together going to grandstand and build towards their impeachment case as Trump
[3:47:07.960 --> 3:47:13.160]  desperately tries to turn the economy back on.
[3:47:13.160 --> 3:47:15.160]  What did you know about it, Barb?
[3:47:15.160 --> 3:47:20.000]  I found out, I saw the tweet last night, I was so mad, I started calling all these senators
[3:47:20.000 --> 3:47:22.640]  last night leaving messages, but there's eight of them.
[3:47:22.640 --> 3:47:26.480]  They're supposed to be turning and voting with the Democrats.
