[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[03:28:37.238 --> 03:28:40.819]  Luna, Terra Luna, that collapsed, what, three or four months ago?
[03:28:40.819 --> 03:28:42.860]  Exact same scam model, exact same rug pull.
[03:28:43.584 --> 03:28:44.804]  Exact same.
[03:28:44.804 --> 03:28:48.725]  You can earn 30% by staking your coins and it's just printed out of nowhere.
[03:28:48.725 --> 03:28:51.725]  That's all the scam stolen money, right?
[03:28:51.725 --> 03:28:54.586]  And they're gambling with your money that you put on the exchange.
[03:28:54.586 --> 03:28:55.146]  Don't go anywhere.
[03:28:55.146 --> 03:28:56.026]  This is the Alex Jones Show.
[03:28:56.026 --> 03:28:57.226]  I'm your guest host, Jay Doe.
[03:28:57.226 --> 03:29:02.767]  Ladies and gentlemen, we always run the biggest deals of the year starting in mid-November through Christmas.
[03:29:02.767 --> 03:29:08.028]  But this year is hands down the biggest sale we've ever offered.
[03:29:08.028 --> 03:29:10.689]  Not just up to 60% off with promo code 1776.
[03:29:12.529 --> 03:29:18.353]  But on top of it, double patriot points and what makes this the most special sale ever.
[03:29:18.353 --> 03:29:22.797]  Every order will get a free gift, no matter how small or how big.
[03:29:22.797 --> 03:29:27.200]  And it's all randomly selected by the shopping cart computer.
[03:29:27.200 --> 03:29:29.482]  So you might order a sticker pack for $5.
[03:29:29.482 --> 03:29:35.386]  You might order the blowout t-shirt sale for $4.95 and then get something worth $50, $60, $70, $80, $100.
[03:29:37.688 --> 03:29:40.449]  So, again, some of the gifts are sticker packed.
[03:29:40.449 --> 03:29:42.230]  Some of them are Alex Jones Halloween masks.
[03:29:42.230 --> 03:29:46.512]  Some of them are books, films, InfoWars flags, American flags.
[03:29:46.512 --> 03:29:48.273]  There are hundreds of different items.
[03:29:48.273 --> 03:29:49.453]  It's all random.
[03:29:49.453 --> 03:29:50.994]  InfoWarsStore.com.
[03:29:50.994 --> 03:29:53.195]  Every order gets a free gift.
[03:29:53.195 --> 03:29:56.056]  Free gifts with every order at InfoWarsStore.com.
[03:29:57.208 --> 03:29:59.429]  It's a post-COVID world now.
[03:29:59.429 --> 03:30:03.451]  Americans have lost trust in their doctors and the health care system.
[03:30:03.451 --> 03:30:04.771]  There's a solution.
[03:30:04.771 --> 03:30:05.752]  The Wellness Company.
[03:30:05.752 --> 03:30:09.053]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[03:30:09.053 --> 03:30:16.276]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[03:30:16.536 --> 03:30:42.594]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[03:30:43.687 --> 03:30:44.188]  I think so.
[03:31:04.051 --> 03:31:14.421]  An alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[03:31:14.421 --> 03:31:27.172]  This new online virtual platform is nationwide providing uncensored content, virtual appointments, laboratory testing, diagnostics, prescriptions,
[03:31:27.833 --> 03:31:28.433]  We're good to go.
[03:31:56.755 --> 03:31:59.096]  I've got some good news and bad news.
[03:31:59.096 --> 03:32:04.298]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[03:32:04.298 --> 03:32:09.840]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[03:32:09.840 --> 03:32:18.364]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[03:32:18.364 --> 03:32:19.705]  X3 sold out.
[03:32:19.705 --> 03:32:20.085]  Our great
[03:32:20.865 --> 03:32:23.687]  American Coffee Blend has sold out.
[03:32:23.687 --> 03:32:25.448]  Biotricillinium has sold out.
[03:32:25.448 --> 03:32:38.457]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Supermineral Vitality, and so much more.
[03:32:38.917 --> 03:32:44.438]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[03:32:44.438 --> 03:32:45.439]  Don't fight the crowds.
[03:32:45.439 --> 03:32:46.699]  Don't fight the traffic.
[03:32:46.699 --> 03:32:49.259]  Don't do all your Christmas shopping in a month like a fool.
[03:32:49.259 --> 03:32:50.420]  Do it now.
[03:32:50.420 --> 03:32:51.280]  Get it all over with.
[03:32:51.280 --> 03:32:52.400]  Get a great deal.
[03:32:52.400 --> 03:32:54.721]  Keep InfoWars on the air while empowering your body.
[03:32:54.721 --> 03:32:58.622]  InfoWarsStore.com.
[03:32:58.622 --> 03:33:04.523]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:12.915 --> 03:33:13.975]  Welcome back to the Alex Jones Show.
[03:33:13.975 --> 03:33:15.976]  I'm your guest host, Jay Dyer of Jay's Analysis.
[03:33:15.976 --> 03:33:20.517]  I want to remind you, if you notice there on the screen, you'll see that second box there.
[03:33:20.517 --> 03:33:29.079]  It's one of my biggest interviews I've done to date, and that is with Colonel Douglas McGregor, who was Trump's pick for National Security Advisor.
[03:33:29.079 --> 03:33:30.959]  He did not get that post.
[03:33:30.959 --> 03:33:32.279]  That was blocked, I think.
[03:33:32.279 --> 03:33:34.020]  That involved Mitch McConnell, if I recall.
[03:33:34.820 --> 03:33:38.202]  Colonel McGregor is a frequent guest on Tucker Carlson.
[03:33:38.202 --> 03:33:51.730]  You may have seen him or heard of him, and we did a full hour breakdown of everything from the Great Reset to FTX scam token, Sam Beckman Freed style Federal Reserve stuff, to the Ukraine situation, Russia, etc.
[03:33:51.730 --> 03:33:52.831]  It was an amazing interview.
[03:33:52.831 --> 03:33:55.232]  It's, again, one of the biggest I've done to date.
[03:33:55.232 --> 03:33:57.814]  Be sure and go to my YouTube channel and check that out.
[03:33:57.814 --> 03:34:02.617]  It's getting a lot of attention, a lot of good feedback, so if you're looking for a deeper breakdown from
[03:34:03.317 --> 03:34:06.099]  From a high-profile individual, definitely go check that out.
[03:34:06.099 --> 03:34:16.348]  And also, I would add, today, I'm going to be uploading, we had earlier in the last hour, Alex had the children of two of the most famous directors.
[03:34:16.348 --> 03:34:22.693]  I just did an interview with one of the other most famous directors, his son, Andre Tarkovsky Jr.
[03:34:22.693 --> 03:34:24.334]  So if you're familiar with Tarkovsky's films,
[03:34:25.743 --> 03:34:41.633]  And the amazing art that he put out over the years, films like S.T.A.L.K.E.R., films like Solaris, films like Rublev, sort of capturing the history and the essence of Eurasia and Russia, especially in art and iconography.
[03:34:41.633 --> 03:34:46.336]  We went really deep into the breakdown of Andre Jr.'
[03:34:46.316 --> 03:34:47.877]  's documentary that he put out.
[03:34:47.877 --> 03:34:49.578]  It's now at the Criterion Collection.
[03:34:50.499 --> 03:34:53.222]  Send him a prayer about his father, about Andrei Tarkovsky.
[03:34:53.222 --> 03:35:02.655]  So Tarkovsky, of course, being hugely influential as well in the global film scene, influencing many, many filmmakers in the West, in Hollywood as well.
[03:35:04.329 --> 03:35:05.730]  And so you definitely want to check that out.
[03:35:05.730 --> 03:35:07.731]  I'll be premiering that on my channel this week as well.
[03:35:07.731 --> 03:35:10.813]  It's also already available on my Rockfin channel.
[03:35:10.813 --> 03:35:18.498]  So if you're looking for information like that, that's a little edgier, a little, a little sooner than other stuff, you can subscribe to me over on Rockfin.
[03:35:18.498 --> 03:35:21.320]  I think Greg Reese is maybe coming over to Rockfin as well.
[03:35:21.320 --> 03:35:23.121]  Paul Joseph Watson's on Rockfin too.
[03:35:23.121 --> 03:35:25.342]  So a lot of, a lot of cool stuff over there.
[03:35:25.342 --> 03:35:30.145]  You know, we were talking about this, the scam model, how the scams work.
[03:35:35.154 --> 03:35:35.354]  Thank you.
[03:35:50.985 --> 03:35:55.127]  Organized crime set up the secret societies that they had.
[03:35:55.127 --> 03:35:58.568]  We go back to Sicily in the 1800s, 1700s.
[03:35:58.568 --> 03:36:14.194]  This is the origin of the Omerta, which is a secret oath, a death oath that you make to your Don, to the Don of the local, at that time it was a militia, but the militias are actually, the local militias is where we get the idea of
[03:36:14.941 --> 03:36:16.122]  The Sicilian Mafia.
[03:36:16.122 --> 03:36:30.809]  Now, when a lot of the immigrants came over to the U.S., they didn't find a lot of help with the existing local police, so naturally they would continue their model of local neighborhood militia, and that's where we get the ideas of the Don and this kind of stuff.
[03:36:30.809 --> 03:36:42.675]  But the Omerita, the secret ritual, which is actually a copy from certain Masonic rituals and Masonic groups out of Italy, known as the Carbonari, they copied this, and that's because
[03:36:43.315 --> 03:37:06.060]  One of the early Italian revolutionaries, his name was Garibaldi, he was influenced by Giuseppe Mazzini, who was one of the most famous, there you go, exactly, this is the Omerta scene in Sopranos, and I'm sure if you've never seen the Sopranos, I highly recommend checking it out, because there's a lot of gabagool, a lot of gabagool!
[03:37:07.406 --> 03:37:12.550]  A lot of gabagool, a lot of goomars, and a lot of goombahs up in the Sopranos, but it's a great show.
[03:37:12.550 --> 03:37:26.962]  We did a whole two-hour breakdown of that show, by the way, if you're looking for a great podcast, getting into all the really insightful elements in that show, including, there's the Omeretor right there, where you burn the image of the saint, and you sort of take a blood oath.
[03:37:28.197 --> 03:37:33.540]  But there's also references to, you know, the tie-in with organized crime and intelligence agencies.
[03:37:33.540 --> 03:37:38.683]  There's references to the CIA, to Tony having to, at times, collude with the FBI.
[03:37:38.683 --> 03:37:42.164]  All of that comes up in that show consistently throughout.
[03:37:42.164 --> 03:37:46.146]  Yeah, I think one of the best TV shows ever made, honestly.
[03:37:46.146 --> 03:37:56.412]  But it's instructive, again, because as you heard Vivian, I think, mention in the last hour, you know, the organized crime model is really the best way to understand how the global elites run things.
[03:37:57.702 --> 03:38:00.503]  This may sound like, oh yeah, of course, there's organized crime.
[03:38:00.503 --> 03:38:01.783]  Yeah, we all know that.
[03:38:01.783 --> 03:38:09.886]  But people just still can't figure out there's this block in their head, this roadblock between there being organized crime and global organized crime.
[03:38:09.886 --> 03:38:11.086]  They just cannot figure this out.
[03:38:11.086 --> 03:38:16.548]  They cannot figure out that giant pharmaceutical corporations operate like organized crime.
[03:38:16.548 --> 03:38:21.770]  They can't figure out that giant international banking institutions operate like organized crime.
[03:38:21.770 --> 03:38:25.391]  Now, we just had a giant institution that collapsed
[03:38:26.764 --> 03:38:27.264]  Guess what?
[03:38:27.264 --> 03:38:29.787]  It's operating on an organized crime model.
[03:38:29.787 --> 03:38:33.790]  And it's not run by nerdy dude with an afro.
[03:38:33.790 --> 03:38:34.711]  He's the face of that.
[03:38:34.711 --> 03:38:35.471]  He's the front of that.
[03:38:35.471 --> 03:38:38.214]  And the face, the front people, they take the fall.
[03:38:38.214 --> 03:38:41.216]  And the media right now is running cover for him.
