[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[03:24:21.180 --> 03:24:24.180]  Before we do real quickly, I thought this was very interesting.
[03:24:24.180 --> 03:24:30.180]  On the Hill, there was an editorial from Juan Williams, who is a Fox News contributor.
[03:24:30.180 --> 03:24:33.180]  He said that Clinton spoke the truth on deplorables.
[03:24:33.180 --> 03:24:34.180]  There you go.
[03:24:34.180 --> 03:24:39.180]  Fox News, Juan Williams, thinks that the Fox News viewers are deplorable.
[03:24:39.180 --> 03:24:41.180]  All of you who like Donald Trump.
[03:24:41.180 --> 03:24:46.180]  All of you who don't want to turn our economy over to a few globalist elitists.
[03:24:46.180 --> 03:24:48.180]  All of you who don't like open borders.
[03:24:48.180 --> 03:24:50.180]  All of you who don't like the great people replacement.
[03:24:50.180 --> 03:24:52.180]  You really are deplorable, says Fox News.
[03:24:52.180 --> 03:24:54.180]  And we can see that not only from Juan Williams.
[03:24:54.180 --> 03:25:00.180]  We see it from Megan Kelly, who's always offended feminist, the angle that she takes.
[03:25:00.180 --> 03:25:06.180]  The interesting thing about it though, was not that we would see Fox News becoming MSNBC.
[03:25:06.180 --> 03:25:12.180]  But the fact that Juan Williams would say that Trump supporters are deplorable
[03:25:12.180 --> 03:25:16.180]  because Donald Trump has said kind things about Alex Jones.
[03:25:16.180 --> 03:25:19.180]  See, it's Alex Jones who is deplorable.
[03:25:19.180 --> 03:25:24.180]  Trump is deplorable by association and so are those people who support Donald Trump.
[03:25:24.180 --> 03:25:28.180]  All of us are deplorable and it goes right back to Info Wars according to Juan Williams.
[03:25:28.180 --> 03:25:32.180]  And of course, I'm not going to go into all the things that he said is not worth repeating
[03:25:32.180 --> 03:25:37.180]  because all he is doing is repeating the straw man talking points from Rachel Maddow.
[03:25:37.180 --> 03:25:39.180]  It's not even worth talking about it at this point.
[03:25:39.180 --> 03:25:43.180]  But it is interesting to see Fox News going down that path.
[03:25:43.180 --> 03:25:45.180]  We've seen that happening for quite some time now.
[03:25:45.180 --> 03:25:49.180]  It underscores, I think, the fact that we really are in an information war.
[03:25:49.180 --> 03:25:54.180]  As I said earlier, the most dangerous thing before us are not the bombs.
[03:25:54.180 --> 03:25:57.180]  The most dangerous thing before us is our reaction to that.
[03:25:57.180 --> 03:26:03.180]  Are we going to be fooled into giving up more of our liberties for the promise of security
[03:26:03.180 --> 03:26:07.180]  that they haven't been able to deliver with this massive surveillance in police state?
[03:26:07.180 --> 03:26:10.180]  It hasn't made us any safer, has it?
[03:26:10.180 --> 03:26:12.180]  We're even more dangerous.
[03:26:12.180 --> 03:26:18.180]  And the real issue are the terrorists that are being brought in by our own government.
[03:26:18.180 --> 03:26:23.180]  And when you look at how many of them have to become terrorists, as they point out in Germany,
[03:26:23.180 --> 03:26:25.180]  hey, we brought in half a million of them.
[03:26:25.180 --> 03:26:31.180]  And then they go on to say, well, we think that maybe about 500 of them are jihadis that are really dangerous.
[03:26:31.180 --> 03:26:33.180]  They don't really know because they're not vetting anybody.
[03:26:33.180 --> 03:26:36.180]  But that's their estimate, one-tenth of 1%.
[03:26:36.180 --> 03:26:42.180]  So if the people that they're bringing in as migrants and refugees are 99.9% okay,
[03:26:42.180 --> 03:26:47.180]  that still means 500 terrorists that they've brought in with just half a million.
[03:26:47.180 --> 03:26:49.180]  But they've got plans for many more.
[03:26:49.180 --> 03:26:51.180]  And it is the great people replacement.
[03:26:51.180 --> 03:26:52.180]  That's the key.
[03:26:52.180 --> 03:26:57.180]  You have to understand as we look at these articles where they're talking about this video that's up today.
[03:26:57.180 --> 03:26:58.180]  There's no turning back.
[03:26:58.180 --> 03:27:02.180]  Swedish TV ads says Swedes must accept multiculturalism.
[03:27:02.180 --> 03:27:06.180]  And of course, the way they're selling this when you look at the translation,
[03:27:06.180 --> 03:27:10.180]  the new country they say in this video is about shaping a new future.
[03:27:10.180 --> 03:27:14.180]  Being Swedish needs to be about more than skin color and place of birth.
[03:27:14.180 --> 03:27:17.180]  It needs to be you, me, and everyone together.
[03:27:17.180 --> 03:27:21.180]  Well, that's fine, except what is a country?
[03:27:21.180 --> 03:27:23.180]  It isn't simply a geographical location.
[03:27:23.180 --> 03:27:25.180]  No, a country really is a culture.
[03:27:25.180 --> 03:27:26.180]  It's a legal system.
[03:27:26.180 --> 03:27:36.180]  And what they're trying to do is bring in people who have a culture and a legal system that is antithetical to everything we've had in the West.
[03:27:36.180 --> 03:27:38.180]  They want a theocracy.
[03:27:38.180 --> 03:27:39.180]  You have to understand this.
[03:27:39.180 --> 03:27:41.180]  Look at Saudi Arabia.
[03:27:41.180 --> 03:27:47.180]  Look at the people who are pouring tons of cash into the Hillary Clinton campaign.
[03:27:47.180 --> 03:27:50.180]  Look at the people that Hillary Clinton went to speak with,
[03:27:50.180 --> 03:27:56.180]  whom Abboton's mother running a school for girls, a Sharia school for girls in Saudi Arabia,
[03:27:56.180 --> 03:28:00.180]  talking about the fact, hey, not all of us in America wear bikinis, okay?
[03:28:00.180 --> 03:28:04.180]  Shut her to think what that would look like if that were true in Hillary's case.
[03:28:04.180 --> 03:28:08.180]  But what she is saying to them, what she's pandering to them is,
[03:28:08.180 --> 03:28:11.180]  come to America, just as Alex was saying, come to America.
[03:28:11.180 --> 03:28:14.180]  You can replace the people here.
[03:28:14.180 --> 03:28:17.180]  See, that's what people in Germany are beginning to understand.
[03:28:17.180 --> 03:28:22.180]  If you look in Germany and you see the plummeting polls of Angela Merkel,
[03:28:22.180 --> 03:28:27.180]  the people who are pushing back against her said, the great people replacement has begun.
[03:28:27.180 --> 03:28:29.180]  That's precisely what this is.
[03:28:29.180 --> 03:28:37.180]  You and I are either going to change the people in Washington or the people in Washington are going to replace us.
[03:28:37.180 --> 03:28:39.180]  That's the bottom line, folks.
[03:28:39.180 --> 03:28:40.180]  That's what they want to do.
[03:28:40.180 --> 03:28:43.180]  They don't like us because they don't like our legal system.
[03:28:43.180 --> 03:28:45.180]  They don't like our individual liberty.
[03:28:45.180 --> 03:28:49.180]  They want to run an authoritarian theocracy and they're bringing in the people to do it.
[03:28:49.180 --> 03:28:51.180]  Let's go real quickly to Steve in Canada.
[03:28:51.180 --> 03:28:54.180]  Steve, go ahead.
[03:28:54.180 --> 03:28:55.180]  Thank you, David.
[03:28:55.180 --> 03:28:56.180]  I'm going to make this quick.
[03:28:56.180 --> 03:28:57.180]  Yes.
[03:28:57.180 --> 03:29:02.180]  In regards to the bombings, I've been waiting for something like this to happen, unfortunately.
[03:29:02.180 --> 03:29:08.180]  I don't like it, but this is really not that much of a surprise for me.
[03:29:08.180 --> 03:29:15.180]  You're segue coming into talking to me, I consider myself to be a deplorable.
[03:29:15.180 --> 03:29:21.180]  I would like to support Trump somehow north of the border, but I'm not sure how to do it.
[03:29:21.180 --> 03:29:27.180]  The other reason for calling in is I'm trying to look for something like what you guys do in Canada,
[03:29:27.180 --> 03:29:29.180]  but I can't seem to find it very much.
[03:29:29.180 --> 03:29:32.180]  The closest I've been able to find is the rebel media.
[03:29:32.180 --> 03:29:34.180]  Just a bit nervous here.
[03:29:34.180 --> 03:29:39.180]  With the rebel media, but they're conservative, leaning where I am.
[03:29:39.180 --> 03:29:43.180]  I'm a libertarian, I guess, at heart now where I'll attack anybody that's coming against me.
[03:29:43.180 --> 03:29:48.180]  Yeah, I'm not sure how to guide you to somebody that does what we do in Canada,
[03:29:48.180 --> 03:29:50.180]  but of course you can always start something.
[03:29:50.180 --> 03:29:51.180]  We'll be right back.
[03:29:51.180 --> 03:29:53.180]  The Empire's on the run.
[03:29:53.180 --> 03:29:56.180]  Alex Jones and the GCN Radio Network.
[03:30:00.180 --> 03:30:03.180]  Is Hillary Clinton completely losing her cognitive abilities?
[03:30:03.180 --> 03:30:07.180]  Hillary was caught in an embarrassing moment when someone at her rally yelled Hillary for prison,
[03:30:07.180 --> 03:30:11.180]  to which the presidential candidate responded, let's make it happen.
[03:30:11.180 --> 03:30:15.180]  The video is up on infowars.com in an article by Paul Joseph Watson.
[03:30:15.180 --> 03:30:22.180]  Given how she's notoriously confused in her day-to-day life due to her previous brain injuries, according to insiders,
[03:30:22.180 --> 03:30:25.180]  it's not surprising that Hillary would agree to her own imprisonment.
[03:30:25.180 --> 03:30:28.180]  The slogan, Hillary for prison, has become a nationwide meme ever since
[03:30:28.180 --> 03:30:31.180]  info wars began selling the t-shirts bearing the phrase last year.
[03:30:31.180 --> 03:30:37.180]  It's even been rumored that Hillary for prison t-shirts and its variants have sold more than official Hillary Clinton campaign shirts.
[03:30:37.180 --> 03:30:41.180]  Think about it this way, what was the last time you saw a hardcore Hillary supporter?
[03:30:41.180 --> 03:30:46.180]  In fact, you probably still see more cars with Bernie Sanders' bumper stickers on the road than Hillary Clinton.
[03:30:46.180 --> 03:30:51.180]  And Hillary can only manage to pull in a couple hundred people to hear her speak on the campaign trail at most.
[03:30:51.180 --> 03:30:53.180]  Now how many of this Trump pull?
[03:30:53.180 --> 03:30:54.180]  Thousands.
[03:30:54.180 --> 03:30:57.180]  Visit infowars.com for more news.
[03:30:57.180 --> 03:31:02.180]  This is Kit Daniels reporting.
[03:31:28.180 --> 03:31:31.180]  Supermail vitality and so many others.
[03:31:31.180 --> 03:31:40.180]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[03:31:40.180 --> 03:31:45.180]  This formula is the platinum standard of multivitamin mineral products.
[03:31:45.180 --> 03:31:52.180]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[03:31:52.180 --> 03:31:53.180]  That means it's clean.
[03:31:53.180 --> 03:31:54.180]  That means it's pure.
[03:31:54.180 --> 03:31:57.180]  That's infowarslife.com and vitamin mineral fusion.
[03:31:57.180 --> 03:32:26.180]  Take action now before we sell out.
[03:32:57.180 --> 03:33:17.180]  We are on the march.
[03:33:17.180 --> 03:33:20.180]  The empire is on the run.
[03:33:20.180 --> 03:33:26.180]  Alex Jones and the GCN radio network.
[03:33:26.180 --> 03:33:28.180]  Welcome back to the Alex Jones show.
[03:33:28.180 --> 03:33:29.180]  I'm David Knight, your host.
[03:33:29.180 --> 03:33:30.180]  We're going to go to our cars.
[03:33:30.180 --> 03:33:32.180]  We've got three more here holding on the line.
[03:33:32.180 --> 03:33:37.180]  And then I want to give you my take on the Snowden movie by Oliver Stone.
[03:33:37.180 --> 03:33:38.180]  I agree with Alex.
[03:33:38.180 --> 03:33:40.180]  I think it's Oliver Stone's finest work.
[03:33:40.180 --> 03:33:41.180]  I'll just tell you that right up front.
[03:33:41.180 --> 03:33:44.180]  As a film, I give it two thumbs up.
