[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[03:24:59.296 --> 03:25:11.279]  There was a point in this country where the marketplace of ideas was where we went, we discussed our common vision of ourselves, and we either came to an agreement or we agreed to disagree, but agreed to live together.
[03:25:11.279 --> 03:25:13.059]  The American consensus is broken down.
[03:25:13.059 --> 03:25:16.260]  I see less than you do in the world, Alex.
[03:25:16.260 --> 03:25:19.241]  I don't have the opportunity to study it as closely as you.
[03:25:19.241 --> 03:25:21.681]  I see different causes than a global elite.
[03:25:21.681 --> 03:25:23.722]  Maybe the global elite are taking advantage of this.
[03:25:23.922 --> 03:25:25.662]  Oh no, they're manipulating real things.
[03:25:25.662 --> 03:25:28.063]  There's a cultural rot going on.
[03:25:28.063 --> 03:25:42.427]  We have spent the moral capital, it took centuries if not millennia of intellectual tradition to spend down and we've now come at a point where we can't tell who should use which restroom and we let men pretend to be women and compete in women's sports and say that that's what equal protection of the law deserves.
[03:25:42.427 --> 03:25:43.627]  Well that's all done to sabotage.
[03:25:43.627 --> 03:25:47.428]  And it is sabotaging us because we don't have a consensus on values anymore.
[03:25:47.888 --> 03:25:52.011]  I don't know what's... I'm listening carefully to you say the only way to win is not to play.
[03:25:52.011 --> 03:25:55.393]  I suppose, although I'm afraid and I'm concerned.
[03:25:55.393 --> 03:26:00.437]  When I say play, burning down police stations is how the left does it.
[03:26:00.437 --> 03:26:06.461]  No, no, we're going to intellectually not support the system and say no to it and awaken to the globalist program.
[03:26:06.461 --> 03:26:07.142]  That's how we win.
[03:26:07.142 --> 03:26:11.425]  Now, we have to fight if they come for us, which you're trying to trick law enforcement into.
[03:26:11.425 --> 03:26:15.467]  Then I'll have to defend myself, but every person we've got to physically fight is a failure.
[03:26:16.748 --> 03:26:17.729]  I think that's right.
[03:26:17.729 --> 03:26:22.432]  I also think one way to win this war is with handshakes, is the handshake economy.
[03:26:22.432 --> 03:26:26.675]  Reach across the aisle to the person, the stranger who helped you or who provides the services you need.
[03:26:26.675 --> 03:26:29.237]  And that's why they promote COVID, to metaphysically say, don't shake hands.
[03:26:29.237 --> 03:26:32.639]  That's an excellent point, because we're now afraid of one another in public places.
[03:26:32.639 --> 03:26:34.320]  I'm here in Austin visiting.
[03:26:34.320 --> 03:26:37.482]  I'm walking down the street the other day and people are wearing masks.
[03:26:37.482 --> 03:26:39.283]  And I'm like, what did I do?
[03:26:39.283 --> 03:26:40.684]  I'm not sneezing at you.
[03:26:40.684 --> 03:26:41.745]  I'm not breathing.
[03:26:41.745 --> 03:26:42.746]  You are my neighbor.
[03:26:42.746 --> 03:26:43.826]  You are my fellow countryman.
[03:26:43.826 --> 03:26:46.348]  And they supposedly took their shot, but oh, notice it didn't work.
[03:26:47.389 --> 03:26:48.269]  Apparently not.
[03:26:48.269 --> 03:26:50.090]  And does this crisis ever end?
[03:26:50.090 --> 03:26:56.974]  You know, I saw a hopeful headline in the paper this morning that European countries are beginning to wonder whether COVID should be treated like the flu.
[03:26:56.974 --> 03:27:02.578]  In other words, if there's an illness out there, can we respond to it by normal means, or do we have to?
[03:27:02.578 --> 03:27:04.098]  Well, Norm, that's it.
[03:27:04.098 --> 03:27:04.819]  Here's the deal.
[03:27:04.819 --> 03:27:07.100]  The authoritarians will push this as far as they can.
[03:27:07.100 --> 03:27:07.941]  They planned it all out.
[03:27:07.941 --> 03:27:08.421]  It's pre-planned.
[03:27:08.421 --> 03:27:09.522]  It's on record.
[03:27:09.522 --> 03:27:14.785]  But when we reject them and put pressure on Klaus Schwab and pressure on Bill Gates, this is going to stop.
[03:27:15.365 --> 03:27:16.345]  You think so?
[03:27:16.345 --> 03:27:17.786]  Or has it come too far?
[03:27:17.786 --> 03:27:23.247]  I mean, I saw your clip about military men that looked like they were standing outside of InfoWars ready to break down.
[03:27:23.247 --> 03:27:28.568]  That was a common location in the United States, a building that any of us could enter to go to work at any point.
[03:27:28.568 --> 03:27:36.489]  Are you telling me my tax dollars are being used to train military officers to shoot me down if I resist when I go into work because I'm not wearing a mask?
[03:27:36.489 --> 03:27:44.731]  Are you actually telling me that my four-year-old child, as I saw in the McDonald's video, is going to be evicted from cancer treatment because they're not vaccinated?
[03:27:45.071 --> 03:27:46.652]  Who are these people?
[03:27:46.652 --> 03:27:48.533]  This is not my country.
[03:27:48.533 --> 03:27:51.315]  This is not... And I want to find a way to take it back.
[03:27:51.315 --> 03:27:54.337]  I think we have to do it one election, one handshake at a time.
[03:27:54.337 --> 03:27:56.499]  I hope things don't become violent.
[03:27:56.499 --> 03:27:58.260]  But I worry about it, Alex.
[03:27:58.260 --> 03:27:59.581]  I think people are frustrated.
[03:27:59.581 --> 03:28:11.329]  And when Congress deliberately misreads the January 6th event to call it an act of domestic terrorism and ignores the burning cities of the summer before, I feel as though I'm being told, you're not welcome here.
[03:28:11.329 --> 03:28:12.029]  Go live in the woods.
[03:28:12.029 --> 03:28:12.529]  No, I agree.
[03:28:12.529 --> 03:28:14.931]  And I look at all those young men going through Special Forces training.
[03:28:16.432 --> 03:28:22.176]  If they march them out and confiscate our guns, it'll be very sad what happens to them and another victory for evil where we kill each other.
[03:28:22.176 --> 03:28:33.944]  I just hope and pray there are people inside the military who haven't been purged who will understand this because it's not going to be waiting for people and meeting them inside warehouses to fight the troops.
[03:28:33.944 --> 03:28:35.305]  People are going to come to their houses.
[03:28:36.246 --> 03:28:39.089]  And they're going to catch him in the grocery stores and at the banks.
[03:28:39.089 --> 03:28:39.930]  That's what's going to happen.
[03:28:39.930 --> 03:28:42.994]  And the military knows they'll be wiped out in a fight with the American people.
[03:28:42.994 --> 03:28:43.955]  We don't want to do that.
[03:28:43.955 --> 03:28:45.417]  The military is not our enemy.
[03:28:45.417 --> 03:28:48.500]  But they need to get their head ready for what's about to go down.
[03:28:48.500 --> 03:28:49.461]  Warren Pattus, stay with us.
[03:28:49.461 --> 03:28:50.022]  We'll come right back.
[03:28:56.306 --> 03:29:11.116]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[03:29:11.116 --> 03:29:14.958]  It has all the vitamins, all the minerals, incredible amino acids.
[03:29:14.958 --> 03:29:20.762]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[03:29:20.762 --> 03:29:21.963]  That's why, despite the fact
[03:29:22.543 --> 03:29:25.084]  That's selling out at current sales rates.
[03:29:25.084 --> 03:29:29.705]  We're going to keep it on sale for another seven days.
[03:29:29.705 --> 03:29:32.945]  So we're running this until next Thursday.
[03:29:32.945 --> 03:29:34.986]  And your purchase supports the broadcast.
[03:29:34.986 --> 03:29:37.907]  I want to thank you all for shopping with InfoWars.
[03:29:37.907 --> 03:29:43.428]  Without you, we would not have been on air and the world would be a much worse position right now than it's in.
[03:29:43.428 --> 03:29:47.809]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[03:29:48.189 --> 03:29:50.834]  Exposing the Great Reset and the New World Order.
[03:29:50.834 --> 03:29:55.802]  So support your immune system and support free speech and the fight for liberty at the same time at InfoWarsTour.com
[03:29:58.365 --> 03:30:00.066]  Get our grape, got a bag of it here.
[03:30:00.066 --> 03:30:03.947]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[03:30:03.947 --> 03:30:05.048]  The communist!
[03:30:05.048 --> 03:30:12.391]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee.
[03:30:12.391 --> 03:30:17.673]  And yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune and whatever.
[03:30:17.673 --> 03:30:22.355]  The point is, is that it's good coffee and we've got it and the farmers don't let the Mexican government take over.
[03:30:22.355 --> 03:30:26.737]  So I actually buy this from the Mexican rebels and I've been buying it for what, 14 years and the price has never gone up.
[03:30:26.817 --> 03:30:31.080]  The same stuff sold at Whole Foods under another name for about 50% more per pound.
[03:30:31.080 --> 03:30:33.642]  And I just think it's some of the best coffee you're going to find anywhere.
[03:30:33.642 --> 03:30:37.804]  It's Wake Up America Patriot Blend from the Chiapas Rebels, literally.
[03:30:37.804 --> 03:30:40.887]  Um, in fact, I'm not going to tell you the whole story.
[03:30:40.887 --> 03:30:44.229]  Um, yeah, I like that.
[03:30:44.229 --> 03:30:45.189]  You wouldn't believe it.
[03:30:45.189 --> 03:30:49.753]  Anyway, so it's InfoWarsStore.com and that's how we fund this operation.
[03:30:49.753 --> 03:30:51.574]  And if you don't fund us and don't want us here, that's fine.
[03:30:56.030 --> 03:31:00.233]  I never compromise the quality of ingredients we put in InfoWars live products.
[03:31:00.233 --> 03:31:03.796]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[03:31:03.796 --> 03:31:07.358]  And we could never get the ingredients again until now.
[03:31:07.358 --> 03:31:13.443]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[03:31:13.443 --> 03:31:17.205]  So out of all the bone broths out there, I'm telling you, this is next level.
[03:31:17.205 --> 03:31:18.446]  Listen to what it's got in it.
[03:31:18.446 --> 03:31:23.230]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[03:31:23.610 --> 03:31:33.139]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[03:31:33.139 --> 03:31:37.282]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[03:31:37.282 --> 03:31:39.745]  I mean, this sucker has got everything for your electrolytes.
[03:31:39.745 --> 03:31:46.471]  It's got real organic cocoa butter powder with natural chocolate flavor and a touch of sea salt, and it just goes on and on.
[03:31:46.471 --> 03:31:47.752]  It is now back in stock.
[03:31:47.752 --> 03:31:48.913]  Ultimate bone broth
[03:31:52.375 --> 03:32:03.161]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[03:32:03.161 --> 03:32:04.882]  This is their big offensive.
[03:32:04.882 --> 03:32:06.343]  This is their takeover.
