[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[03:32:44.120 --> 03:33:03.120]  Don't miss out on the chance to fuel your body and support recovery. Try the InfoWars Life Daily Digestive Pack today!
[03:33:14.120 --> 03:33:24.120]  Government cover-ups. You want to stop tyranny? Well, so does he. Live from the InfoWars.com studios, it's Alex Jones.
[03:33:28.120 --> 03:33:43.120]  And you're listening to infowars.com, and this is Dr. Nick Begich in this fourth hour standing in today and talking about climate change and the political correctness of that is not going to be for us today.
[03:33:43.120 --> 03:33:52.120]  I really want to deal with more of the facts and less of the hype that we hear from so much of the environmental community, the mainstream media.
[03:33:52.120 --> 03:34:07.120]  You know, the idea that science sometimes has to follow a political line is really abandoning the basic essence of it from my perspective, and part of that is driven actually by the division within the sciences.
[03:34:07.120 --> 03:34:23.120]  You know, so many are now separated rather than combined. You know, when you think of earth sciences as an example, sort of combine what's going on under the earth, above the earth, the atmospheric aspects as well as that which is on terra firma on the ground.
[03:34:23.120 --> 03:34:30.120]  And this is again part of what's missing in the equation is this integration of science.
[03:34:30.120 --> 03:34:43.120]  Right now, the volcanologists are looking at the Antarctic as we were talking about this before the break in terms of volcanic inventing and what's it's doing to the western Antarctic as it's melting and accelerating.
[03:34:43.120 --> 03:34:56.120]  And I mentioned also in the last segment that the ocean heights have actually increased according to all the mainstream science reports, 350 feet in 12,000 years.
[03:34:56.120 --> 03:35:15.120]  Now, I want to bring a couple of other things into this frame. That means that 12,000 years ago, most cultures, most civilizations are along the coast where there's food and seafood and all the things that humans need as well as temperate climates.
[03:35:15.120 --> 03:35:28.120]  Most of the existing cultures of 12,000 years ago are buried, if there were any at all, under 12,000 years of rising sea heights, now 350 feet deeper than it was.
[03:35:28.120 --> 03:35:34.120]  That averages 3 feet approximately, a little less than 3 feet, every 100 years.
[03:35:34.120 --> 03:35:53.120]  Now, granted, there were periods where it happened really rapidly and periods where it was relatively slow. But overall, again, averages over 12,000 years fit the standard model that the alarmists, the environmental alarmists are saying, 3 feet in 100 years, oh no, the sky is falling.
[03:35:53.120 --> 03:36:04.120]  That's the average of nature's predators over the last 12,000 years. There's nothing new here, nothing new under the sun except the propaganda.
[03:36:04.120 --> 03:36:21.120]  And under the sun, that's another misnomer. You know, when you think about ozone depletion, one of the things that they never factor into the equation is every time that a rocket launches through that layer, it deposits particulate material right there,
[03:36:21.120 --> 03:36:30.120]  where there's an ozone hole created at that moment when we launched Skylab, when we first observed this back in the 1970s.
[03:36:30.120 --> 03:36:40.120]  And they went, oh, no problem, it quickly refilled. Sure it refilled, the earth moves, things happen, you know, and it goes away, the hole goes away.
[03:36:40.120 --> 03:36:51.120]  But the fact is there's been thousands and thousands of launches since that time, adding to a certainly ozone depletion. But let's talk about greenhouse gases.
[03:36:51.120 --> 03:37:09.120]  You know, one of the most powerful greenhouse gases is methane. And methane is being released now by the tons, literal hundreds, thousands of tons of methane gas are released every year by the melting of permafrost,
[03:37:09.120 --> 03:37:19.120]  which is a natural occurrence of global warming. Permafrost holds vegetative matter hundreds of feet thick in some cases, it never fully decompose.
[03:37:19.120 --> 03:37:28.120]  And some of it has created methane hydrates, where the methane is partially decomposed, plants, and then it's formed into crystals.
[03:37:28.120 --> 03:37:33.120]  That as temperatures go up, this is released, a tremendous amount is released.
[03:37:33.120 --> 03:37:43.120]  The bottom of the oceans and the Arctic seas are trillions and trillions of cubic feet of methane in crystalline form.
[03:37:43.120 --> 03:37:55.120]  As temperatures rise, these gases are released into the environment and are 20 times more potent than the supposed greenhouse gases that man is contributing.
[03:37:55.120 --> 03:38:05.120]  And again, I'll point out, man, according to BBC, only contributes one to three percent of those greenhouse gases in the rest are natural.
[03:38:05.120 --> 03:38:13.120]  So again, look at another factor and we can think about the El Ninos and El Ninos of the South Pacific.
[03:38:13.120 --> 03:38:24.120]  And if you remember that images on screen, they're always a plume where the heat starts and then it spreads out across the sea and creates these huge impacts to the climate.
[03:38:24.120 --> 03:38:30.120]  Well, I won't disagree they create those huge impacts to climate, but I will disagree with the source.
[03:38:30.120 --> 03:38:41.120]  I believe the source is not human beings and greenhouse gases as such, but something quite different, undersea volcanics.
[03:38:41.120 --> 03:38:43.120]  And let me explain why.
[03:38:43.120 --> 03:38:53.120]  When the sunlight hits the surface of the ocean, 97 percent plus of the energy is reflected away.
[03:38:53.120 --> 03:38:56.120]  It doesn't get absorbed into the sea.
[03:38:56.120 --> 03:39:04.120]  That little bit, that less than 3 percent that gets absorbed is heat stays at the surface because heat rises.
[03:39:04.120 --> 03:39:16.120]  If you put your body in the ocean just a couple feet down, you notice how quickly the temperatures drop because simple rule of physics, heat rises and stays at the surface.
[03:39:16.120 --> 03:39:20.120]  It does not start at the base and appear as a plume.
[03:39:20.120 --> 03:39:27.120]  That's not how it works, unless it's a volcano venting under the sea.
[03:39:27.120 --> 03:39:39.120]  Then it looks just like a plume because instead of just 3 percent of the energy being absorbed, 100 percent of that heat is absorbed in the ocean.
[03:39:39.120 --> 03:39:46.120]  And as it spreads with the currents, it spreads out and drifts across and looks just like a plume.
[03:39:46.120 --> 03:39:51.120]  Just exactly like those satellite thermal images show.
[03:39:51.120 --> 03:39:54.120]  And most of these undersea volcanoes are not monitored.
[03:39:54.120 --> 03:40:00.120]  Over 600 were charted just in the South Pacific.
[03:40:00.120 --> 03:40:02.120]  Let me say that again.
[03:40:02.120 --> 03:40:06.120]  600 undersea volcanoes in the South Pacific alone.
[03:40:06.120 --> 03:40:11.120]  And at any given time, a number of those are venting.
[03:40:11.120 --> 03:40:14.120]  And there's nobody monitoring it at all.
[03:40:14.120 --> 03:40:18.120]  And certainly they're not talking about it as a contributing factor to climate change.
[03:40:18.120 --> 03:40:22.120]  And I believe it is one of the single biggest contributing factors.
[03:40:22.120 --> 03:40:26.120]  The other is the solar cycle itself, the sun.
[03:40:26.120 --> 03:40:35.120]  You know, the sun, if you were actually look at the solar cycle and the temperature gradient of the planet over the last 100 years, back now 120 years,
[03:40:35.120 --> 03:40:39.120]  because we've charted this and we kept track of this historically.
[03:40:39.120 --> 03:40:45.120]  And what you see is a direct relationship, the charts go right together all the way through.
[03:40:45.120 --> 03:40:53.120]  And in fact, when you hit the beginning of World War II, and when you think about the beginning of World War II,
[03:40:53.120 --> 03:41:01.120]  the carbon footprint on the planet for man, I mean, we got the whole industrial revolution going on 50 years before.
[03:41:01.120 --> 03:41:07.120]  And then we have this explosion literally by the war effort of a huge, huge amount of growth.
[03:41:07.120 --> 03:41:14.120]  And you know that we added more particulate material to the atmosphere during that next 50 years than we ever did.
[03:41:14.120 --> 03:41:22.120]  And yet if you look at the temperature gradient on the planet from approximately 1941 until the early 1980s,
[03:41:22.120 --> 03:41:29.120]  a 40-year stretch, you saw the temperatures declining and pollutants increasing.
[03:41:29.120 --> 03:41:32.120]  They diverged. They weren't together at all.
[03:41:32.120 --> 03:41:40.120]  The carbon footprint didn't line up with global temperatures at all, but the solar cycle did absolutely.
[03:41:40.120 --> 03:41:46.120]  Before I became politically incorrect to talk about other causes for climate change,
[03:41:46.120 --> 03:41:58.120]  BBC did this excellent special where they charted it and it's a direct correlation of solar activity affecting the temperatures on the planet.
[03:41:58.120 --> 03:42:06.120]  When you look at that activity over this long period of time, it becomes clear again that it is not human being.
[03:42:06.120 --> 03:42:12.120]  If you look at the added energy that comes into the Earth and that is converted to mass within the Earth,
[03:42:12.120 --> 03:42:17.120]  because that's a basic equation, right? E equals MC squared. That energy comes in,
[03:42:17.120 --> 03:42:20.120]  certain amount of energy leaves the planet, the rest is absorbed.
[03:42:20.120 --> 03:42:28.120]  It gets into the Earth and it begins to trigger lots of events that have nothing to do with human beings.
[03:42:28.120 --> 03:42:34.120]  In my lifetime, in 40 years, I watch ice disappear from my state.
[03:42:34.120 --> 03:42:40.120]  I watch the thing change all over the world. And this is natural. This is not man-made.
[03:42:40.120 --> 03:42:50.120]  You're listening to Infowars.com. This is Dr. Nick Begich and we'll be right back after these short messages.
[03:43:10.120 --> 03:43:14.120]  When acid rain could lower the pH of the water to unhealthy levels,
[03:43:14.120 --> 03:43:20.120]  to find out we employed a series of tests for heavy metals, alkalinity and pH.
[03:43:20.120 --> 03:43:26.120]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[03:43:26.120 --> 03:43:33.120]  Next, we tested the water from our Alexa pure gravity filter and not only were the heavy metal levels within safe measure,
[03:43:33.120 --> 03:43:37.120]  but the pH was also restored to optimal levels.
[03:43:37.120 --> 03:43:42.120]  As it turns out, the filter on the Alexa pure raises the pH of the water.
[03:43:42.120 --> 03:43:48.120]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[03:43:48.120 --> 03:43:52.120]  But more importantly, a good water filtration system will purify it.
[03:43:52.120 --> 03:43:55.120]  I want to plow into all of this.
[03:43:55.120 --> 03:44:01.120]  I'm going to spend a few minutes here first just encouraging listeners to understand that
[03:44:01.120 --> 03:44:10.120]  when you buy t-shirts or water filtration systems or books or videos or other material from InfowarsStore.com,
[03:44:10.120 --> 03:44:14.120]  you are funding the revolution. I mean, I cannot say it any clearer.
[03:44:14.120 --> 03:44:19.120]  And so it is essential that you purchase the products at InfowarsStore.com.
[03:44:19.120 --> 03:44:26.120]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine.
[03:44:26.120 --> 03:44:31.120]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones.
[03:44:31.120 --> 03:44:38.120]  That's my dad with colloidal silver and iodine as well. InfowarsLife.com or AAA-253-3139.
