[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[03:34:35.640 --> 03:34:43.400]  and you get 10% off on these cards, gift cards, infowarstore.com.
[03:34:44.920 --> 03:34:51.320]  Okay so I want to talk a little bit now about how intelligence operations are really run
[03:34:52.120 --> 03:35:00.600]  because the mainstream media which is of course infected by intelligence agents assets from the
[03:35:00.600 --> 03:35:07.000]  CIA and so on and so forth doesn't think it's necessary for the people to understand or know
[03:35:07.000 --> 03:35:13.880]  and let's just take the simple putrid case of Congress which is one seething mass of corruption
[03:35:13.880 --> 03:35:19.400]  on all sides of the aisle and so forth and has been for as long as I've been aware of it and
[03:35:19.400 --> 03:35:29.880]  that's a long time folks. So we have these sex abusers, sex predators, sex criminals in Congress
[03:35:30.680 --> 03:35:37.320]  and we see some exposure now Al Frank and John Conyers etc on and on and of course there are
[03:35:37.320 --> 03:35:44.440]  more there have been more and there are still more who are having sleepless nights these nights but
[03:35:44.440 --> 03:35:53.240]  it is standard, please understand this, it is standard operating procedure in the intelligence
[03:35:53.240 --> 03:36:01.400]  community of America of England of every country on earth that you want to use extortion intimidation
[03:36:01.400 --> 03:36:10.040]  and blackmail to get people in power to do what you want them to do. Not only in those intelligence
[03:36:10.040 --> 03:36:17.240]  agencies but in the other political party or in corporate lobbyists and so on and so forth.
[03:36:17.240 --> 03:36:24.760]  Everybody wants to run these intelligence operations and they do and this is a perfect
[03:36:24.760 --> 03:36:33.960]  breeding ground like a gigantic horrendous swamp for this to occur in Congress and has been for a
[03:36:33.960 --> 03:36:38.360]  long time. Of course the major media you don't want to talk about that. What are the blackmail
[03:36:38.360 --> 03:36:44.200]  possibilities over the years and even now some congressman is sitting there he knows he's a
[03:36:44.200 --> 03:36:51.880]  pedophile he knows he's been operating doing horrendous crimes with underage boys and so
[03:36:51.880 --> 03:36:58.440]  on and so forth. Do you think that this guy has just been left alone all these years? Of course
[03:36:58.440 --> 03:37:06.440]  not. People who find out about this intelligence agencies whose business whose lifeblood is to
[03:37:06.440 --> 03:37:16.440]  find out about this. Don't be naive okay find out about this and they approach this guy in a variety
[03:37:16.440 --> 03:37:27.960]  of ways until he begins to get the message that his crimes are known. Now they can be protected
[03:37:27.960 --> 03:37:34.760]  he can be protected of course we wouldn't want to have a scandal bursting open at the seams and
[03:37:34.760 --> 03:37:40.280]  this horrible material coming out ruining your life and the life of your family and your friend
[03:37:40.280 --> 03:37:48.840]  your what will people think of you in the whole nine yards right? If this guy in Congress needs
[03:37:48.840 --> 03:37:55.800]  to have this made you know vivid and lucid for him if he's that stupid that he can't see the
[03:37:55.800 --> 03:38:02.360]  implications and when he finally gets the message he understands now that whoever is sitting across
[03:38:02.360 --> 03:38:12.120]  for him talking whether it's the CIA with their horrendous you know operations and secret agendas
[03:38:12.120 --> 03:38:18.280]  or the intelligence agency of some other country that he is now operating under their control.
[03:38:19.720 --> 03:38:26.280]  That's it. That's the purpose of blackmail and extortion is to bring about that result.
[03:38:26.280 --> 03:38:31.880]  That's what it's all about and if you don't think that Congress has been one gigantic target for
[03:38:31.880 --> 03:38:39.640]  decades and decades based on the perverted criminals sex abusers and pedophiles etc who inhabit
[03:38:39.640 --> 03:38:46.040]  those halls you're crazy. It's been a prime target and it continues to be a prime target
[03:38:47.000 --> 03:38:54.520]  to make these people do things whether they want to or not how to vote on a bill whether to not
[03:38:54.520 --> 03:39:03.320]  vote on a bill whether to stifle a bill in committee whether to take some other horrendous action like
[03:39:04.360 --> 03:39:10.280]  favoring a particular corporate lobbyist and allowing that corporation in his home state
[03:39:10.280 --> 03:39:16.760]  to pollute rivers to their hearts content without any prosecution or fine or exposure or whatever
[03:39:16.760 --> 03:39:23.320]  it is you see to back the pharmaceutical companies who keep turning out horrendously poisonous drugs
[03:39:23.320 --> 03:39:29.800]  and vaccines and destroying populations well he knows about that in congress he's read the studies
[03:39:30.360 --> 03:39:36.200]  i've been exposing the open source studies myself for the past seven or eight years this is not
[03:39:36.200 --> 03:39:43.240]  privileged information but he continues to vote for anything that is friendly to the pharmaceutical
[03:39:43.240 --> 03:39:51.400]  industry because he's under control because he's an asset now because he can't move because he's
[03:39:51.400 --> 03:40:00.600]  paralyzed because there's no way out for this person that's an intelligence operation and to think
[03:40:00.600 --> 03:40:07.880]  that as the exposure of these predators and abusers in congress comes forward that oh we're
[03:40:07.880 --> 03:40:14.600]  solving the problem and this is just the exception to the rule that is completely ridiculous the
[03:40:14.600 --> 03:40:21.720]  mainstream media would like you to believe that but it's not true not true whatsoever and i'll give
[03:40:21.720 --> 03:40:33.560]  you an example in 2016 a law was passed and signed by obama under the aegis of the attorney general
[03:40:33.560 --> 03:40:44.280]  liberal inch at the time that raised the bar and made it much much much much more difficult for the dea
[03:40:44.280 --> 03:40:49.880]  the drug enforcement administration to march into a pharmaceutical company and say look
[03:40:50.680 --> 03:40:57.000]  we know you're sending out hundreds of thousands of opioid pills in this shipment and that shipment
[03:40:57.000 --> 03:41:02.760]  and this shipment to these tiny pharmacies in the middle of nowhere so we know that you know
[03:41:02.760 --> 03:41:08.680]  that you're a drug trafficker i'm talking about perduve pharmaceuticals for example that was
[03:41:08.680 --> 03:41:17.000]  eventually prosecuted but others that have not been now it's very very difficult almost impossible
[03:41:17.000 --> 03:41:23.320]  because of that law that was passed and signed by obama and passed virtually unanimously
[03:41:23.320 --> 03:41:29.960]  in both houses of congress that's one of the reasons that we have this incredible opioid
[03:41:29.960 --> 03:41:36.920]  epidemic spreading across america and other countries you know 30 000 deaths estimated per
[03:41:36.920 --> 03:41:42.600]  year hundreds of thousands of dead-end addicts who can't even live anymore or function
[03:41:44.680 --> 03:41:49.880]  and members of congress could be seen on c span standing around laughing and joking and so forth
[03:41:49.880 --> 03:42:01.000]  as the vote was cast and as obama signed the bill into law and even even that cia font of
[03:42:01.000 --> 03:42:07.320]  disinformation the washington post reached out to obama and the reddow lynch to ask them to
[03:42:07.320 --> 03:42:15.080]  discuss why they okayed this law and favored it and they both refused to even discuss it or comment
[03:42:15.080 --> 03:42:25.000]  on it complete silence that's what i'm talking about how did that bill pass blackmail baby
[03:42:25.640 --> 03:42:34.200]  that's how it passes extortion influence exerted upon members of congress that's how this happens
[03:42:35.080 --> 03:42:42.840]  that's what you get and people have to wake up to it this has been going on for a very very
[03:42:42.840 --> 03:42:48.760]  long time okay i've got more we're going to take a break here this is john rapaport sitting in for
[03:42:48.760 --> 03:42:58.040]  alex we'll be back i'm so excited the new product at info wars life dot com in a glass bottle two
[03:42:58.040 --> 03:43:05.320]  months servings filled to the brim filled to the absolute top the real red bill this is a heart
[03:43:05.320 --> 03:43:11.240]  and brain pill a new tropic but doesn't have any stimulants in it but boy does it stimulate
[03:43:11.240 --> 03:43:16.760]  because it's beyond that quite frankly uh i just went off what i saw medical doctors
[03:43:17.320 --> 03:43:21.320]  prescribing to their patients but it wasn't prescription but they were charging people
[03:43:21.320 --> 03:43:26.840]  a hundred two hundred dollars for the formulae and i came up with our own formula working
[03:43:26.840 --> 03:43:34.120]  with scientists and developers non-gmo made right here in america 120 capsules and ladies and
[03:43:34.120 --> 03:43:39.800]  gentlemen you add the preglonone to it which is the precursor to all the hormones that your body
[03:43:39.800 --> 03:43:47.240]  has to have to even make the hormones in your glands it is amazing red pill now available
[03:43:47.240 --> 03:43:56.040]  at info wars store dot com and your purchase fuzzi operation protect your skin with spf 30 sunscreen
[03:43:56.040 --> 03:44:02.040]  lotion by emricks essentials perfect for face and body this natural unscented sunscreen can
[03:44:02.040 --> 03:44:07.720]  be worn at all times of the day whenever you need sun protection we source ingredients from nature
[03:44:07.720 --> 03:44:13.560]  producing a product free of harmful chemicals and toxins this natural lotion contains 21
[03:44:13.560 --> 03:44:19.960]  percent zinc oxide which is the largest particle size used and we do not use nano particles the
[03:44:19.960 --> 03:44:25.640]  larger the particle the safer it is for your body the organic oils help hydrate the skin
[03:44:25.640 --> 03:44:31.240]  leaving it nice and smooth the truly natural fragrance free sunscreen for the most sensitive
[03:44:31.240 --> 03:44:36.680]  skin emricks essentials wants you to enjoy the sun and strives to bring you organic products to
[03:44:36.680 --> 03:44:43.160]  enhance your life naturally protect your skin with spf 30 sunscreen lotion by emricks essentials
[03:44:43.160 --> 03:44:48.680]  stop exposing yourself and your family to toxic ingredients visit info wars store dot com and
[03:44:48.680 --> 03:44:59.160]  learn more about the new spf 30 sunscreen lotion proper b vitamin intake is essential to keep the
[03:44:59.160 --> 03:45:05.720]  body functioning at optimum levels up optimum levels with our modern diets it can be hard to
[03:45:05.720 --> 03:45:11.960]  get the recommended amount of b vitamins we need every day up optimum levels b vitamins we need
