[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[3:30:46.000 --> 3:30:48.000]  and fund the info war at infowarstore.com
[3:30:48.000 --> 3:30:50.000]  that's how you fight the great
[3:30:50.000 --> 3:30:52.000]  reset is by being
[3:30:52.000 --> 3:30:54.000]  self-sufficient and not under their control
[3:30:54.000 --> 3:30:56.000]  so get prepared now at
[3:30:56.000 --> 3:30:58.000]  infowarstore.com
[3:31:00.000 --> 3:31:02.000]  Jacob and Ohio
[3:31:02.000 --> 3:31:04.000]  welcome go ahead hey how's it going Alex
[3:31:04.000 --> 3:31:06.000]  good bye it's great last caller
[3:31:06.000 --> 3:31:08.000]  I just wanted to start with plugging your
[3:31:08.000 --> 3:31:10.000]  sleep supplements it's basically
[3:31:10.000 --> 3:31:12.000]  the only way I get sleep anymore
[3:31:12.000 --> 3:31:14.000]  with all the gaslighting, moralization
[3:31:14.000 --> 3:31:16.000]  and absurdity it's like we're living at a
[3:31:16.000 --> 3:31:18.000]  twilight zone and alright Eric
[3:31:18.000 --> 3:31:20.000]  New Hampshire Eric thanks for calling go ahead
[3:31:20.000 --> 3:31:22.000]  hey Alex thanks for taking my call if I could
[3:31:22.000 --> 3:31:24.000]  I just want to throw a quick plug out for the
[3:31:24.000 --> 3:31:26.000]  product the X2 does wonders
[3:31:26.000 --> 3:31:28.000]  they recommend it to everybody here on the fence
[3:31:28.000 --> 3:31:30.000]  about it get off the fence get the product
[3:31:30.000 --> 3:31:32.000]  support the info war Tyler
[3:31:32.000 --> 3:31:34.000]  in Maine you're on the air thanks for holding
[3:31:34.000 --> 3:31:36.000]  go ahead hey Alex it's great to be on with you
[3:31:36.000 --> 3:31:38.000]  it's an honor honor talk to you awesome
[3:31:38.000 --> 3:31:40.000]  so personally I wanted to
[3:31:40.000 --> 3:31:42.000]  say I love the product
[3:31:42.000 --> 3:31:44.000]  alpha power even at 29
[3:31:44.000 --> 3:31:46.000]  if you ask my better half she loves it
[3:31:46.000 --> 3:31:48.000]  and it helps in the bedroom
[3:31:48.000 --> 3:31:50.000]  so just number one
[3:31:50.000 --> 3:31:52.000]  I think that only works it's not a joke
[3:31:52.000 --> 3:31:54.000]  absolutely
[3:31:58.000 --> 3:32:00.000]  try out
[3:32:00.000 --> 3:32:02.000]  an all new way to experience
[3:32:02.000 --> 3:32:04.000]  the power of vitamin B12 today
[3:32:04.000 --> 3:32:06.000]  with ultra 12
[3:32:06.000 --> 3:32:08.000]  at the info war store
[3:32:08.000 --> 3:32:10.000]  in a constant search to upgrade
[3:32:10.000 --> 3:32:12.000]  your favorite formulas we brought
[3:32:12.000 --> 3:32:14.000]  you a new way to get your B12
[3:32:14.000 --> 3:32:16.000]  with the most effective and expensive
[3:32:16.000 --> 3:32:18.000]  form available
[3:32:18.000 --> 3:32:20.000]  ultra 12 uses methylcobalamin
[3:32:20.000 --> 3:32:22.000]  a powerful way to get pure
[3:32:22.000 --> 3:32:24.000]  energy support for those serious
[3:32:24.000 --> 3:32:26.000]  about getting the B12 they need
[3:32:26.000 --> 3:32:28.000]  to fight deficiency and reach
[3:32:28.000 --> 3:32:30.000]  their peak the results
[3:32:30.000 --> 3:32:32.000]  are simple ultra
[3:32:32.000 --> 3:32:34.000]  12 can help make DNA
[3:32:34.000 --> 3:32:36.000]  help the body produce energy
[3:32:36.000 --> 3:32:38.000]  and blood cells and support
[3:32:38.000 --> 3:32:40.000]  healthy nerve and brain cells
[3:32:40.000 --> 3:32:42.000]  now
[3:32:42.000 --> 3:32:44.000]  you can finally
[3:32:44.000 --> 3:32:46.000]  upgrade your daily routine
[3:32:46.000 --> 3:32:48.000]  get ultra 12 today
[3:32:48.000 --> 3:32:50.000]  to support the info war store
[3:32:50.000 --> 3:32:52.000]  and experience true B12
[3:32:52.000 --> 3:32:54.000]  power
[3:33:00.000 --> 3:33:02.000]  you're listening to the
[3:33:02.000 --> 3:33:12.000]  alex jones show
[3:33:16.000 --> 3:33:18.000]  welcome back to the alex jones show
[3:33:18.000 --> 3:33:20.000]  I'm your guest jdyer jason alex
[3:33:20.000 --> 3:33:22.000]  we were just talking about
[3:33:22.000 --> 3:33:24.000]  the way subcultures
[3:33:24.000 --> 3:33:26.000]  and counterculture groups and niches
[3:33:26.000 --> 3:33:28.000]  are actually exploited and are
[3:33:28.000 --> 3:33:30.000]  steered or created in fact
[3:33:30.000 --> 3:33:32.000]  if you follow my work you know that I've covered
[3:33:32.000 --> 3:33:34.000]  the 1960s counterculture
[3:33:34.000 --> 3:33:36.000]  movements that were basically
[3:33:36.000 --> 3:33:38.000]  created and or steered by
[3:33:38.000 --> 3:33:40.000]  the CIA into becoming
[3:33:40.000 --> 3:33:42.000]  a social engineering
[3:33:42.000 --> 3:33:44.000]  tool of the big corporate elite we see
[3:33:44.000 --> 3:33:46.000]  that especially nowadays to pop
[3:33:46.000 --> 3:33:48.000]  culture when we look at the music videos
[3:33:48.000 --> 3:33:50.000]  we look at what's promoted
[3:33:50.000 --> 3:33:52.000]  on purpose as a weapon it's all
[3:33:52.000 --> 3:33:54.000]  weaponized and I can tell you
[3:33:54.000 --> 3:33:56.000]  that in other sub niches
[3:33:56.000 --> 3:33:58.000]  and genres of the arts
[3:33:58.000 --> 3:34:00.000]  or even now as you see sports
[3:34:00.000 --> 3:34:02.000]  right we all see the NFL
[3:34:02.000 --> 3:34:04.000]  being you know turned into this tool
[3:34:04.000 --> 3:34:06.000]  for we saw it with
[3:34:06.000 --> 3:34:08.000]  Obamacare right they were promoting Obamacare
[3:34:08.000 --> 3:34:10.000]  at the Super Bowl years ago and then it turned
[3:34:10.000 --> 3:34:12.000]  into the halftime show being this big
[3:34:12.000 --> 3:34:14.000]  basically satanic ritual
[3:34:14.000 --> 3:34:16.000]  and in the other sub niches
[3:34:16.000 --> 3:34:18.000]  and cultures that have exploded and gotten
[3:34:18.000 --> 3:34:20.000]  tremendously popular like
[3:34:20.000 --> 3:34:22.000]  skateboarding we've seen the same
[3:34:22.000 --> 3:34:24.000]  type of steering
[3:34:24.000 --> 3:34:26.000]  and subversion I have another friend who is
[3:34:26.000 --> 3:34:28.000]  a prominent comic book artist
[3:34:28.000 --> 3:34:30.000]  and he's basically been squeezed out
[3:34:30.000 --> 3:34:32.000]  because the world of comic
[3:34:32.000 --> 3:34:34.000]  books is so
[3:34:34.000 --> 3:34:36.000]  dogmatic with their
[3:34:36.000 --> 3:34:38.000]  it's basically a holy office of
[3:34:38.000 --> 3:34:40.000]  inquisition that they have when it comes to
[3:34:40.000 --> 3:34:42.000]  how comic books can
[3:34:42.000 --> 3:34:44.000]  be drawn how they can be written you
[3:34:44.000 --> 3:34:46.000]  have all of these you know
[3:34:46.000 --> 3:34:48.000]  you can't do fat shaming or any of this
[3:34:48.000 --> 3:34:50.000]  kind of stuff it controls
[3:34:50.000 --> 3:34:52.000]  the realm of comics and it's no different
[3:34:52.000 --> 3:34:54.000]  in the other domains like skateboarding
[3:34:54.000 --> 3:34:56.000]  and we have
[3:34:56.000 --> 3:34:58.000]  you know again prominent skateboarder
[3:34:58.000 --> 3:35:00.000]  weking ball with us
[3:35:00.000 --> 3:35:02.000]  who built his own audience
[3:35:02.000 --> 3:35:04.000]  built his own fan base and from the outset
[3:35:04.000 --> 3:35:06.000]  because he wasn't signed on to the
[3:35:06.000 --> 3:35:08.000]  corporate establishment the corporate deals
[3:35:08.000 --> 3:35:10.000]  and he was trolling
[3:35:10.000 --> 3:35:12.000]  and the humor isn't
[3:35:12.000 --> 3:35:14.000]  really excessively
[3:35:14.000 --> 3:35:16.000]  you know gross or offensive
[3:35:16.000 --> 3:35:18.000]  or anything like that he just likes to troll people
[3:35:18.000 --> 3:35:20.000]  who like to have fun I think he's a really
[3:35:20.000 --> 3:35:22.000]  funny guy and
[3:35:22.000 --> 3:35:24.000]  he got basically
[3:35:24.000 --> 3:35:26.000]  blacklisted and so that's what they do is
[3:35:26.000 --> 3:35:28.000]  that you get if you don't go along
[3:35:28.000 --> 3:35:30.000]  you get blacklisted and it's really the same in every domain
[3:35:30.000 --> 3:35:32.000]  I was in the domain of
[3:35:32.000 --> 3:35:34.000]  academia I wanted to be a professor
[3:35:34.000 --> 3:35:36.000]  you basically get blacklisted if you study
[3:35:36.000 --> 3:35:38.000]  you know how geopolitics works
[3:35:38.000 --> 3:35:40.000]  if you study the elite you study
[3:35:40.000 --> 3:35:42.000]  you know Carol Quigley this
[3:35:42.000 --> 3:35:44.000]  kind of stuff you get pushed out
[3:35:44.000 --> 3:35:46.000]  you're not welcome in the domain of academia
[3:35:46.000 --> 3:35:48.000]  and so let's go back to
[3:35:48.000 --> 3:35:50.000]  weking ball I want to ask you you were getting into
[3:35:50.000 --> 3:35:52.000]  that how that censorship worked where you're kind of
[3:35:52.000 --> 3:35:54.000]  pushed out and you know you
[3:35:54.000 --> 3:35:56.000]  didn't get these deals and whatnot yet you still
[3:35:56.000 --> 3:35:58.000]  you know were able to do what you were doing
[3:35:58.000 --> 3:36:00.000]  whoa who began
[3:36:00.000 --> 3:36:02.000]  the tech censorship with you because I noticed like
[3:36:02.000 --> 3:36:04.000]  three four years ago there's
[3:36:04.000 --> 3:36:06.000]  you know interviews with you on YouTube with
[3:36:06.000 --> 3:36:08.000]  millions of views you're on some of the top
[3:36:08.000 --> 3:36:10.000]  you know podcast
[3:36:10.000 --> 3:36:12.000]  skateboarding podcast millions of views
[3:36:12.000 --> 3:36:14.000]  and then what you got deleted from YouTube right
[3:36:16.000 --> 3:36:18.000]  I didn't get deleted from YouTube I got
[3:36:18.000 --> 3:36:20.000]  demonetized and
[3:36:20.000 --> 3:36:22.000]  their their explanation
[3:36:22.000 --> 3:36:24.000]  for that was that I used
[3:36:24.000 --> 3:36:26.000]  of because I had my
[3:36:26.000 --> 3:36:28.000]  account on on a monetized
[3:36:28.000 --> 3:36:30.000]  settings and they said that I was
[3:36:30.000 --> 3:36:32.000]  demonetized because I was using
[3:36:32.000 --> 3:36:34.000]  footage that I did not own although
[3:36:34.000 --> 3:36:36.000]  it was just footage of me that I filmed
[3:36:36.000 --> 3:36:38.000]  so I think they just made that up because
[3:36:38.000 --> 3:36:40.000]  they didn't want to say what I really did
[3:36:40.000 --> 3:36:42.000]  wrong
[3:36:42.000 --> 3:36:44.000]  so I the
[3:36:44.000 --> 3:36:46.000]  the tech century censorship
[3:36:46.000 --> 3:36:48.000]  that I've been
[3:36:48.000 --> 3:36:50.000]  and I'm not a victim I don't want to
[3:36:50.000 --> 3:36:52.000]  I'm not trying to come across like I'm a victim
[3:36:52.000 --> 3:36:54.000]  I'm a victor I overcome this stuff
[3:36:54.000 --> 3:36:56.000]  so
[3:36:56.000 --> 3:36:58.000]  but that's on Instagram mostly I mean
[3:36:58.000 --> 3:37:00.000]  I'm shadow ban I'm restricted I
[3:37:00.000 --> 3:37:02.000]  have over a hundred thousand followers
[3:37:02.000 --> 3:37:04.000]  and I you know I used to do live videos
[3:37:04.000 --> 3:37:06.000]  like they 500 to a thousand
[3:37:06.000 --> 3:37:08.000]  people come on there now there's like 50 people
[3:37:08.000 --> 3:37:10.000]  so they're not even letting people know
[3:37:10.000 --> 3:37:12.000]  that follows like people you know select
[3:37:12.000 --> 3:37:14.000]  to follow me you would think that
[3:37:14.000 --> 3:37:16.000]  they're going to get notified of when you
[3:37:16.000 --> 3:37:18.000]  make a post but they've got me
[3:37:18.000 --> 3:37:20.000]  heavily restricted on there
[3:37:20.000 --> 3:37:22.000]  so I mean I think maybe
[3:37:22.000 --> 3:37:24.000]  the reason they do that is so that it's not
[3:37:24.000 --> 3:37:26.000]  so obvious and I start taking off
[3:37:26.000 --> 3:37:28.000]  about you know how I'm being
[3:37:28.000 --> 3:37:30.000]  you know banned or whatever but
[3:37:30.000 --> 3:37:32.000]  yeah it's just a little
[3:37:32.000 --> 3:37:34.000]  game they're playing with me I guess
[3:37:34.000 --> 3:37:36.000]  but you saw this
[3:37:36.000 --> 3:37:38.000]  you know when you and I
[3:37:38.000 --> 3:37:40.000]  talked a couple weeks ago
[3:37:40.000 --> 3:37:42.000]  and you've got a podcast by the way
[3:37:42.000 --> 3:37:44.000]  I recommend people watch your podcast over
[3:37:44.000 --> 3:37:46.000]  on your Patreon if they want to support your work
[3:37:46.000 --> 3:37:48.000]  we were talking
[3:37:48.000 --> 3:37:50.000]  about
[3:37:50.000 --> 3:37:52.000]  the way that
[3:37:52.000 --> 3:37:54.000]  these corporations kind of control
[3:37:54.000 --> 3:37:56.000]  and then they sort they start slipping in the messages
[3:37:56.000 --> 3:37:58.000]  right so it might begin with
[3:37:58.000 --> 3:38:00.000]  buying off the big skaters but then the big skaters
[3:38:00.000 --> 3:38:02.000]  are expected to go along with
[3:38:02.000 --> 3:38:04.000]  these these kind of agendas
[3:38:04.000 --> 3:38:06.000]  that might even be darker and even more
[3:38:06.000 --> 3:38:08.000]  occult again so you pointed out to me
[3:38:08.000 --> 3:38:10.000]  that you started noticing in the domain
[3:38:10.000 --> 3:38:12.000]  of skateboarding a lot of satanic imagery
[3:38:12.000 --> 3:38:14.000]  a lot of all-seeing eyes a lot of
[3:38:14.000 --> 3:38:16.000]  bath on that and occult type stuff
[3:38:16.000 --> 3:38:18.000]  when did you start seeing that what do you think
[3:38:18.000 --> 3:38:20.000]  was behind that right
[3:38:20.000 --> 3:38:22.000]  yes and that's actually
[3:38:22.000 --> 3:38:24.000]  for anybody watching that's how
[3:38:24.000 --> 3:38:26.000]  you and I met was I did
[3:38:26.000 --> 3:38:28.000]  a parody of the Alex Jones
[3:38:28.000 --> 3:38:30.000]  show but it was called info boards
[3:38:30.000 --> 3:38:32.000]  and I did
[3:38:32.000 --> 3:38:34.000]  a breakdown of the satanic imagery
[3:38:34.000 --> 3:38:36.000]  and skateboarding we had you on
[3:38:36.000 --> 3:38:38.000]  as our expert to
[3:38:38.000 --> 3:38:40.000]  decode the symbols
[3:38:40.000 --> 3:38:42.000]  so I first noticed that
[3:38:42.000 --> 3:38:44.000]  and I'm sure even if people
[3:38:44.000 --> 3:38:46.000]  don't know skateboarding all that well
[3:38:46.000 --> 3:38:48.000]  and to those who are watching
[3:38:48.000 --> 3:38:50.000]  who might be saying why do I care about
[3:38:50.000 --> 3:38:52.000]  skateboarding I don't skateboard I don't know
[3:38:52.000 --> 3:38:54.000]  anyone at skateboards the point is that
[3:38:54.000 --> 3:38:56.000]  they're they're trying to cover every
[3:38:56.000 --> 3:38:58.000]  single aspect of life
[3:38:58.000 --> 3:39:00.000]  and every community every subculture
[3:39:00.000 --> 3:39:02.000]  that there there's no room left
[3:39:02.000 --> 3:39:04.000]  to get away from this this agenda
[3:39:04.000 --> 3:39:06.000]  you know what I mean so it's something as
[3:39:06.000 --> 3:39:08.000]  as niche as skateboarding
[3:39:08.000 --> 3:39:10.000]  they're in there so anyway
[3:39:10.000 --> 3:39:12.000]  I firstly notice
[3:39:12.000 --> 3:39:14.000]  that's the old one
[3:39:14.000 --> 3:39:16.000]  that was the first one I did
[3:39:16.000 --> 3:39:18.000]  two episodes of that my Alex
[3:39:18.000 --> 3:39:20.000]  costume got a little bit better
[3:39:20.000 --> 3:39:22.000]  on the next one but
[3:39:22.000 --> 3:39:24.000]  so the first time I noticed the
[3:39:24.000 --> 3:39:26.000]  satanic satanic imagery
[3:39:26.000 --> 3:39:28.000]  was of course with thrasher
[3:39:28.000 --> 3:39:30.000]  magazine which people probably
[3:39:30.000 --> 3:39:32.000]  have seen that logo that don't
[3:39:32.000 --> 3:39:34.000]  skateboard they're facing it they
[3:39:34.000 --> 3:39:36.000]  sure they've seen celebrities wearing
[3:39:36.000 --> 3:39:38.000]  shirts of it or something like that but
[3:39:38.000 --> 3:39:40.000]  it's literally a bathroom
[3:39:40.000 --> 3:39:42.000]  with a pentagram on it and all
[3:39:42.000 --> 3:39:44.000]  they did was just put skateboard wheels
[3:39:44.000 --> 3:39:46.000]  on the end of the pentagram
[3:39:46.000 --> 3:39:48.000]  so that was the first time I noticed that
[3:39:48.000 --> 3:39:50.000]  and then you know that a lot of those
[3:39:50.000 --> 3:39:52.000]  brands they've been running for
[3:39:52.000 --> 3:39:54.000]  years like the all seeing
[3:39:54.000 --> 3:39:56.000]  I and everything like that
[3:39:56.000 --> 3:39:58.000]  so it's like very heavy in the
[3:39:58.000 --> 3:40:00.000]  skateboarding fashion which
[3:40:00.000 --> 3:40:02.000]  also transcends skateboarding
[3:40:02.000 --> 3:40:04.000]  wear skateboarding clothes
[3:40:04.000 --> 3:40:06.000]  so many people wear skateboarding shoes
[3:40:06.000 --> 3:40:08.000]  that don't skateboard if chances
[3:40:08.000 --> 3:40:10.000]  are if somebody has tennis shoes today
[3:40:10.000 --> 3:40:12.000]  they're skateboarding shoes
[3:40:12.000 --> 3:40:14.000]  yeah it's kind of like in the
[3:40:14.000 --> 3:40:16.000]  you know past decade
[3:40:16.000 --> 3:40:18.000]  a lot of style and fashion
[3:40:18.000 --> 3:40:20.000]  that was popular in the punk genre
[3:40:20.000 --> 3:40:22.000]  kind of spilled over into the mainstream
[3:40:22.000 --> 3:40:24.000]  so they kind of mainstream
