[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[03:26:53.138 --> 03:27:00.102]  I've been around enough lawyer liars freaks, so save your bar crap.
[03:27:00.102 --> 03:27:07.985]  Telling me I have to get a vaccination because you little pieces of crap are telling me to?
[03:27:07.985 --> 03:27:09.806]  Come over here and try to force me.
[03:27:10.956 --> 03:27:13.699]  And that's what's going to happen.
[03:27:13.699 --> 03:27:16.081]  The vaccination war has begun.
[03:27:16.081 --> 03:27:22.967]  They are going to force us to get vaccinated.
[03:27:22.967 --> 03:27:35.298]  As Watson pointed out, all of a sudden the vaccine comes out right after the votes are counted, fraudulently declared.
[03:27:35.298 --> 03:27:37.400]  Then they announce the vaccine comes out.
[03:27:40.822 --> 03:27:42.783]  How come it didn't even announce it last week?
[03:27:42.783 --> 03:27:46.344]  You think it just happened over the weekend?
[03:27:46.344 --> 03:27:50.206]  After they declared... Who declared?
[03:27:50.206 --> 03:27:51.466]  Nobody declared!
[03:27:51.466 --> 03:27:52.547]  The media declared!
[03:27:52.547 --> 03:27:54.608]  Who declared?
[03:27:54.608 --> 03:27:56.669]  BuzzFeed?
[03:27:56.669 --> 03:28:00.150]  How about BuzzCrap?
[03:28:00.150 --> 03:28:01.671]  AP?
[03:28:01.671 --> 03:28:06.753]  Associated Prestitutes?
[03:28:06.753 --> 03:28:09.174]  One after another, they're declaring what happened?
[03:28:11.710 --> 03:28:16.194]  Can't you see what's going on over here?
[03:28:16.194 --> 03:28:20.457]  Big Pharma.
[03:28:20.457 --> 03:28:25.462]  The Wall Street Gang.
[03:28:25.462 --> 03:28:29.105]  And the White Shoe Boys.
[03:28:29.105 --> 03:28:30.786]  Yeah.
[03:28:30.786 --> 03:28:34.489]  As I said, Obama's bringing back the old gang.
[03:28:34.489 --> 03:28:35.890]  Remember Holder?
[03:28:35.890 --> 03:28:38.613]  Yeah, the black guy in the White Shoe Gang.
[03:28:39.719 --> 03:28:45.801]  And again, I don't want anybody black, white, green, yellow, good and bad comes in all of them.
[03:28:45.801 --> 03:28:48.221]  Hey, look at Biden.
[03:28:48.221 --> 03:28:51.022]  He's white.
[03:28:51.022 --> 03:28:52.602]  Hold his back.
[03:28:52.602 --> 03:28:53.803]  Yep.
[03:28:53.803 --> 03:28:58.984]  After he left the Obama gang, went back to work with the white shoe gang.
[03:28:58.984 --> 03:29:01.525]  That's who's in charge.
[03:29:01.525 --> 03:29:04.105]  The banksters.
[03:29:04.105 --> 03:29:06.686]  The lawyers and big pharma.
[03:29:08.903 --> 03:29:09.563]  America?
[03:29:09.563 --> 03:29:12.285]  That's right.
[03:29:12.285 --> 03:29:12.985]  The Holder.
[03:29:12.985 --> 03:29:15.026]  Too big to jail.
[03:29:15.026 --> 03:29:18.127]  After they gave all the money to the banksters.
[03:29:18.127 --> 03:29:20.028]  Their criminal activities.
[03:29:20.028 --> 03:29:22.950]  There he is.
[03:29:22.950 --> 03:29:25.411]  So remember, do what you can to support InfoWars.
[03:29:25.411 --> 03:29:27.932]  And of course, the Trends Journal as well.
[03:29:27.932 --> 03:29:30.053]  No other magazine like it in the world.
[03:29:30.053 --> 03:29:31.794]  History before it happens.
[03:29:31.794 --> 03:29:32.394]  We'll be right back.
[03:29:38.490 --> 03:29:40.171]  Talk about tomorrow's news today.
[03:29:40.171 --> 03:29:43.954]  This is all very transparent when you war game it out.
[03:29:43.954 --> 03:29:49.638]  Six months ago, InfoWars predicted that the mail-in ballots would be used to steal the election from Trump.
[03:29:49.638 --> 03:29:57.684]  They would simply pause the voting at night and then have an unlimited number that they had in reserve to bring forward in battleground states to secure the victory.
[03:29:57.684 --> 03:29:58.825]  And now that happened.
[03:29:58.825 --> 03:30:03.828]  Now what else did I predict a few months ago and again last week and again last night, all on record?
[03:30:03.828 --> 03:30:05.930]  That when Joe Biden was president-elect,
[03:30:06.790 --> 03:30:08.652]  Via fraud, Trump would challenge it.
[03:30:08.652 --> 03:30:24.485]  But Biden's next move would be to form his own COVID task force, say that Trump is inept and has killed 267,000 Americans, which isn't true, and demand Trump's removal via the 25th Amendment if he doesn't let Joe Biden's new COVID task force give all the new orders.
[03:30:24.485 --> 03:30:29.109]  They'll tell Trump that if he backs down and follows their orders and steps down, they won't blame him for COVID.
[03:30:29.109 --> 03:30:30.811]  But if he does it, they're going to blame him for COVID.
[03:30:30.811 --> 03:30:33.213]  But then if he does do what they say, he's still going to blame them anyways.
[03:30:33.653 --> 03:30:36.095]  Plus, this is meant for martial law to destroy the economy.
[03:30:36.095 --> 03:30:38.777]  I warned you all.
[03:30:38.777 --> 03:30:43.941]  Throughout history, there have been two basic forms of civilizations, and different mixes of the two.
[03:30:43.941 --> 03:30:46.983]  One is born of renaissance, the other is born of conquest.
[03:30:46.983 --> 03:30:55.309]  One bases its power on having strong, enlightened, focused people with an ethos, and a culture, and ingenuity, art, and skill, and strength.
[03:30:56.027 --> 03:31:02.394]  The other is based on the massive number of slaves it controls with a tiny elite above it.
[03:31:02.394 --> 03:31:10.503]  America is transferring out of a system based on the ethos of liberty and freedom into one of total mass high-tech slavery.
[03:31:10.503 --> 03:31:14.107]  That's why the globalists tell us America was founded on slavery when it wasn't.
[03:31:14.107 --> 03:31:15.329]  They point out one of our evils.
[03:31:15.849 --> 03:31:18.931]  So they can invert the fact that they are truly the slave masters.
[03:31:18.931 --> 03:31:20.672]  A global permanent lockdown is here.
[03:31:20.672 --> 03:31:24.074]  It's already causing millions and millions to starve to death.
[03:31:24.074 --> 03:31:26.235]  When they're done, billions will starve to death.
[03:31:26.235 --> 03:31:34.099]  Even the former head of the Ministry of Defense in England and a top general have come out and said the COVID lockdown is going to trigger a giant new world war.
[03:31:34.099 --> 03:31:34.900]  That's the facts.
[03:31:34.900 --> 03:31:36.861]  This is the Bill Gates New World Order weapon.
[03:31:39.127 --> 03:31:43.411]  There are many references in the Holy Bible to the mustard seed.
[03:31:43.411 --> 03:31:44.592]  And why is that?
[03:31:44.592 --> 03:31:52.400]  It's one of the tiniest seeds out there, but a giant tree-like bush grows from it that produces more mustard seeds.
[03:31:52.400 --> 03:31:56.904]  Mustard was known by the ancients around the world to have amazing health effects.
[03:31:56.904 --> 03:31:58.185]  They didn't know why.
[03:31:58.185 --> 03:32:03.931]  Well, with modern science we know it's one of the purest, cleanest organic forms of selenium.
[03:32:04.511 --> 03:32:15.995]  We have BioTrue Selenium, sold out for months, back in stock at InfoWarsStore.com at 50% off, store-wide free shipping, and triple patriot points.
[03:32:15.995 --> 03:32:25.518]  BioTrue Selenium at InfoWarsStore.com is an amazing product, and it's even more amazing in that it funds our operation.
[03:32:25.518 --> 03:32:28.019]  But if you don't know about selenium, research it.
[03:32:28.019 --> 03:32:30.360]  It is an essential nutrient in the body
[03:32:30.740 --> 03:32:32.121]  You've absolutely have to have.
[03:32:32.121 --> 03:32:34.022]  It's back in stock, 50% off.
[03:32:34.022 --> 03:32:42.627]  Triple Patriot points and at 4sure.com and with free shipping.
[03:32:42.627 --> 03:32:43.368]  The days of hell.
[03:32:44.884 --> 03:32:47.785]  The nightmare is here.
[03:32:47.785 --> 03:32:51.006]  79 days of hell has begun!
[03:32:51.006 --> 03:33:10.914]  Multinational corporations, the mainstream media apparatus, and social media tech giants are all now being deployed by the archaic, inbred, crooked establishment to interfere with the 2020 US elections, remove the populist champion of the people, Donald J. Trump,
[03:33:11.454 --> 03:33:22.361]  And install the decrepit, perverted, traitorous establishment puppet Joe Biden, along with rabid radical hag Kamala Harris.
[03:33:22.361 --> 03:33:29.545]  Keep your heads on a swivel and tune in to 79days.news for tomorrow's news today.
[03:33:29.545 --> 03:33:32.406]  79days.news, America's last stand.
[03:33:32.406 --> 03:33:33.147]  79days.news.
[03:33:41.889 --> 03:33:59.244]  You're listening to the Alex Jones Show.
[03:33:59.244 --> 03:34:01.626]  Waging war on corruption.
[03:34:01.626 --> 03:34:04.368]  It's Gerald Cilente.
[03:34:04.368 --> 03:34:07.190]  You're listening to the Alex Jones Show.
[03:34:10.157 --> 03:34:12.679]  Hey, great being on the Alex Jones Show.
[03:34:12.679 --> 03:34:14.720]  What a time we're living in.
[03:34:14.720 --> 03:34:17.081]  Again, this is going to go down in history.
[03:34:17.081 --> 03:34:20.763]  You know, this is, it's disgusting what's happened.
[03:34:20.763 --> 03:34:23.005]  This is not my America.
[03:34:23.005 --> 03:34:25.946]  And you can see by the cover of the Trends Journal, I'm a political atheist.
[03:34:25.946 --> 03:34:28.008]  I don't take sides on things.
[03:34:28.008 --> 03:34:30.849]  And I call it what it is, a spade a spade.
[03:34:30.849 --> 03:34:31.550]  Oop!
[03:34:31.550 --> 03:34:32.550]  Can't say that anymore.
[03:34:32.550 --> 03:34:37.093]  I can say that now because Obama's out of office.
[03:34:37.093 --> 03:34:38.694]  Again, this is sexist and racist.
[03:34:40.285 --> 03:34:45.566]  Picking Kamala Harris, a black woman, half black and Indian.
[03:34:45.566 --> 03:34:47.527]  How about picking the best person?
[03:34:47.527 --> 03:34:52.888]  I could care less if they're black, white, green, yellow, transgender, inside out, upside down.
[03:34:52.888 --> 03:34:55.429]  And look how weak she is.
[03:34:55.429 --> 03:34:57.970]  She didn't bring the black vote in.
[03:34:57.970 --> 03:35:00.310]  To the contrary.
[03:35:00.310 --> 03:35:04.752]  So, this is the Harris.
[03:35:04.752 --> 03:35:05.852]  Biden will probably make it.
[03:35:05.852 --> 03:35:08.433]  They'll probably get rid of Biden before
[03:35:10.003 --> 03:35:14.886]  If he gets in there, they'll put him in.
[03:35:14.886 --> 03:35:20.290]  And then maybe three years in, he'll retire.
[03:35:20.290 --> 03:35:22.752]  She'll become president.
[03:35:22.752 --> 03:35:29.837]  And then there we go into 2024.
[03:35:29.837 --> 03:35:32.178]  So that's the way I see it happening if he comes in.
[03:35:32.178 --> 03:35:34.740]  And again, I don't know where this is going.
[03:35:34.740 --> 03:35:37.402]  Nobody really does with going to the Supreme Court.
[03:35:38.752 --> 03:35:48.117]  And if they do go, if it does go there, it does look like there is a lot of, again, InfoWars has all the information on the fraudulent election.
[03:35:48.117 --> 03:35:50.498]  It could be a Biden victory.
[03:35:50.498 --> 03:35:53.539]  That's where we are so far.
[03:35:53.539 --> 03:35:59.322]  And you saw what happened today when all of a sudden a vaccine was announced.
[03:35:59.322 --> 03:36:03.804]  The markets went up 1700 points this morning.
[03:36:03.804 --> 03:36:07.886]  Gold last week was flying high.
[03:36:08.666 --> 03:36:12.147]  Back into the mid-1900s range.
[03:36:12.147 --> 03:36:16.028]  Now it's down over 80 bucks.
[03:36:16.028 --> 03:36:19.309]  On a talk of a new vaccine.
[03:36:19.309 --> 03:36:21.870]  Again, is this a coincidence?
[03:36:21.870 --> 03:36:29.112]  That right after Associated Press announces that Biden wins, the Associated Press announced.
[03:36:29.112 --> 03:36:31.093]  Who the hell are the Associated Press?
[03:36:31.093 --> 03:36:33.853]  Associated Prostitutes.
[03:36:33.853 --> 03:36:35.614]  Medial whores that get paid to put out.
[03:36:36.846 --> 03:36:42.730]  And again, among my greatest fears is number one, that Biden is a warmonger.
[03:36:42.730 --> 03:36:48.375]  And as all you all know, I launched Occupy Peace, so I'm opposed to this.
[03:36:48.375 --> 03:37:06.108]  And while I'm totally opposed to what Trump did with the assassination of Soleimani of Iran and what he's done with Venezuela, nothing compared to what the Democrats have done with their wars.
[03:37:06.789 --> 03:37:08.830]  Destroying Libya.
[03:37:08.830 --> 03:37:11.271]  Destroying it.
[03:37:11.271 --> 03:37:12.792]  The richest nation in Africa.
[03:37:12.792 --> 03:37:15.553]  The people had more rights and more benefits than anywhere else.
[03:37:15.553 --> 03:37:19.755]  Even better rights than in many Western civilization countries.
[03:37:19.755 --> 03:37:20.455]  Destroyed.
[03:37:20.455 --> 03:37:22.216]  Syria, destroyed.
[03:37:22.216 --> 03:37:27.118]  Can't understand why you have that migrant and refugee problem over there in Europe.
[03:37:27.118 --> 03:37:29.740]  You Europeans, you don't talk about that.
[03:37:29.740 --> 03:37:32.781]  Brought to you by Biden and the Obama gang.
[03:37:33.795 --> 03:37:52.504]  Yeah, the ones, this is the gang that Obama signed into order, you know, the El Presidente, that they could murder anybody, anyplace, anytime, American, wherever you are, send you off to a foreign country and put you into jail the rest of your life, or torture you until you die.
[03:37:52.504 --> 03:37:56.626]  That's who the Democrats love so much.
[03:37:56.626 --> 03:38:00.308]  The Bidens are, Obama's back in office.
[03:38:00.308 --> 03:38:01.168]  The Obama gang.
[03:38:03.510 --> 03:38:07.292]  Is that guy Pritzker, that woman Pritzker, was the Commerce Secretary?
[03:38:07.292 --> 03:38:11.374]  She was very much behind this election.
[03:38:11.374 --> 03:38:25.201]  And her big brother, really big, big, big brother, over there in Illinois, is he the governor?
[03:38:25.201 --> 03:38:26.721]  And were the Pritzkers?
[03:38:26.721 --> 03:38:28.382]  Ohio Hotel, is that the one?
[03:38:28.382 --> 03:38:29.563]  Is that the family?
[03:38:29.563 --> 03:38:29.763]  Yeah.
[03:38:31.388 --> 03:38:34.529]  Again, it's one big club and you ain't in it.
[03:38:34.529 --> 03:38:36.630]  It's the Money Gang.
