[00:00.000 --> 00:01.000]  Come on, man.
[3:15:16.880 --> 3:15:23.640]  com forward slash show and banned dot video whatever you do banned dot video share that
[3:15:23.640 --> 3:15:28.200]  we're on the march the empires on the run and don't forget I've got 10 different of our
[3:15:28.200 --> 3:15:34.560]  top 10 bestselling supplements from ultra 12 the best out of me 12 to so many other great
[3:15:34.560 --> 3:15:41.360]  products like ultimate turmeric formula bodies turbo force brain force it's all 50% off right
[3:15:41.360 --> 3:15:47.000]  now at info wars store dot com in every bottle supermodelity is $50 off with a free bottle
[3:15:47.000 --> 3:15:51.800]  of ultimate female force that libido stamina in an energy give it to your girlfriend finally
[3:15:51.800 --> 3:15:56.280]  there's a way for you to get into the blockchain the hottest financial sector without all the
[3:15:56.280 --> 3:16:02.240]  speculation no enjoy a 27% annualized payment each month without the ups and downs of bitcoin
[3:16:02.240 --> 3:16:06.800]  seen on programs broadcast on fox business news blockchain data centers offer an equipment
[3:16:06.800 --> 3:16:11.400]  leasing program in the explosive digital asset marketplace inspired by entrepreneurs who
[3:16:11.400 --> 3:16:15.320]  sold picks and shovels during the gold rush the money is in the mining equipment used
[3:16:15.320 --> 3:16:20.280]  to manufacture dozens of critical digital assets not a security IPO or note blockchain
[3:16:20.280 --> 3:16:25.760]  data centers have a proven turnkey equipment sale leaseback program with a 27% annualized
[3:16:25.760 --> 3:16:30.560]  lease payment deposited into your bank account each month don't miss this one stake your
[3:16:30.560 --> 3:16:39.160]  claim today call 800-600-3388 that's 800-600-3388 these valuable lease contracts won't last
[3:16:39.160 --> 3:16:46.600]  long call now 800-600-3388 800-600-3388 equipment offer poses a financial risk to owners consult
[3:16:46.600 --> 3:16:49.520]  with financial professionals before purchasing not an offer to buy or sell a security which
[3:16:49.520 --> 3:16:53.160]  requires an offering document most of you know that heart disease is the number one
[3:16:53.160 --> 3:16:58.280]  silent killer in the US what if I told you for just 54.95 a month you could fight against
[3:16:58.280 --> 3:17:03.000]  heart disease naturally at heart and body extract we've been helping thousands of people
[3:17:03.000 --> 3:17:07.160]  get back to a healthier heart don't just take my word for it check out all of the success
[3:17:07.160 --> 3:17:18.400]  stories at HB extract.com or to order call 866-295-5305 that's 866-295-5305 HB extract.com
[3:17:18.400 --> 3:17:22.920]  don't risk it when you can take charge of it hi I'm Dan Pilla I started fighting the
[3:17:22.920 --> 3:17:27.560]  IRS over 40 years ago when they tried to seize my mother's house I sued the IRS and won
[3:17:27.560 --> 3:17:31.680]  I beat the IRS then and I've been beating them ever since I wrote the book on tax debt
[3:17:31.680 --> 3:17:35.020]  settlement and I've helped thousands of people deal with tax problems they thought might
[3:17:35.020 --> 3:17:39.720]  never be solved I can help you too if you owe taxes you can't pay don't wait another
[3:17:39.720 --> 3:17:45.480]  day there's no such thing as a hopeless tax case call 800-34 no tax or go to my website
[3:17:45.480 --> 3:17:49.760]  danpilla.com that's danpilla.com danpilla.com
[3:17:49.760 --> 3:17:57.400]  we sold secret 12 for four years and it was our number third best seller we had to discontinue
[3:17:57.400 --> 3:18:02.280]  it because when you upgrade a formula you are supposed to rename it that new formula is
[3:18:02.280 --> 3:18:08.240]  ultra 12 it's twice as strong as secret 12 the very best vitamin B12 out there it's got
[3:18:08.240 --> 3:18:13.680]  the complex system that lets your body absorb it and it does amazing things supports healthy
[3:18:13.680 --> 3:18:18.320]  nerve and brain cells helps make DNA helps the body produce energy helps produce healthy
[3:18:18.320 --> 3:18:22.920]  blood cells essential for proper nervous system function it goes on and on B12 deficiency is
[3:18:22.920 --> 3:18:27.120]  a serious problem that can cause anemia fatigue weakness constipation weight loss depression
[3:18:27.120 --> 3:18:31.560]  poor memory loss asthma vision problems and low sperm count bottom line folks you need
[3:18:31.560 --> 3:18:37.400]  ultra 12 it helps on the info war so it's a 360 win and it's 50% off for a limited time
[3:18:37.400 --> 3:18:43.280]  at infowarstore.com again we can only run the special for the next two weeks or so while
[3:18:43.280 --> 3:18:50.240]  supplies last ultra 12 twice as powerful half the price 50% off right now in infowarslife.com
[3:18:50.240 --> 3:18:56.920]  there are few things in this universe that are sure to bet but I'm here to tell you the
[3:18:56.920 --> 3:19:04.680]  products at infowarslife.com are we go out we find out what is the best rated best tested most
[3:19:04.680 --> 3:19:11.920]  loved most documented substances that God gave us to mother nature and then we make it even stronger
[3:19:11.920 --> 3:19:16.800]  even better and lower the price now turmeric has been known for thousands of years to help
[3:19:16.800 --> 3:19:21.720]  with inflammation headaches it's good for the immune system so many things it sells itself
[3:19:21.720 --> 3:19:29.800]  but normal turmeric's only has three to five percent curcuminoid the active enzyme or system
[3:19:29.800 --> 3:19:35.640]  in the plan originally obviously from india well bodies ultimate turmeric formula has
[3:19:35.640 --> 3:19:41.520]  a 95% curcuminoid level that it's got other natural things that help boost it help your
[3:19:41.520 --> 3:19:46.760]  body absorb it and that's why people absolutely love it I'm doing this offer for people that
[3:19:46.760 --> 3:20:16.280]  haven't tried it yet 50% off on bodies at infowarslife.com you're listening to the Alex Jones show
[3:20:16.280 --> 3:20:20.920]  Andrew McCabe will be indicted that's the headline story coming out of Fox News is Andrew McCabe
[3:20:20.920 --> 3:20:26.160]  himself his counsel apparently is the source leaking out that fact that is already going
[3:20:26.160 --> 3:20:30.440]  to happen what will he be indicted for he'll be indicted for various crimes likely related
[3:20:30.440 --> 3:20:36.040]  to what was in the inspector general Horowitz's report going back almost two years ago report
[3:20:36.040 --> 3:20:41.320]  the detail the ways in which McCabe illicitly leaked to the media lie to the office of inspector
[3:20:41.320 --> 3:20:47.800]  general lied and misled other people within the FBI likely obstructed justice and perverted
[3:20:47.800 --> 3:20:53.520]  the course of justice it may include illicit activities involving illicit partisan activities
[3:20:53.520 --> 3:20:58.880]  on behalf of his wife receiving money from Clinton connected political packs while Clinton
[3:20:58.880 --> 3:21:03.440]  him was under investigation by purportedly Andrew McCabe including the Clinton Foundation
[3:21:03.440 --> 3:21:09.360]  investigation and the Clinton email investigation his complicit role in spy gate his purported
[3:21:09.360 --> 3:21:14.680]  knowledge of Rosenstein's plan to illicitly wiretap the president inside the White House
[3:21:14.680 --> 3:21:19.640]  all of those things can be fully disclosed so you see McCabe's counsel today leaking
[3:21:19.640 --> 3:21:23.880]  this to the press that he's about to get indicted which I can tell you in the past prosecutors
[3:21:23.880 --> 3:21:29.040]  have interpreted as a message to his deep state co-conspirators to start deleting evidence
[3:21:29.040 --> 3:21:33.640]  destroying evidence voluntarily disappearing maybe involuntarily disappearing those people
[3:21:33.640 --> 3:21:37.280]  who won't voluntarily disappear that will be the nature of it if this was a mob case
[3:21:37.280 --> 3:21:41.000]  or any other kind of case that's how the prosecutors would interpret what he's doing he's giving
[3:21:41.000 --> 3:21:46.360]  a heads up to all of his co-conspirators I'm about to get nailed and run burn everything
[3:21:46.360 --> 3:21:50.840]  exactly that's the message a lot of people would take out of this so the why is just
[3:21:50.840 --> 3:21:55.880]  ask yourself in any situation like this why would McCabe's own counsel leaked to the press
[3:21:55.880 --> 3:22:00.800]  we started apologizing to comey publicly two days ago exactly I mean this is just groveling
[3:22:00.800 --> 3:22:04.520]  well and if I was him I would probably start apologizing to keep deep state members because
[3:22:04.520 --> 3:22:08.440]  he had previously said if he goes down everybody goes down he's so we're lucky to have you
[3:22:08.440 --> 3:22:13.440]  here with the coverage you're going to continue on we'll both be back for sure six to eleven
[3:22:13.440 --> 3:22:17.400]  tonight and you're going to be on showing I already had this decision tonight you're
[3:22:17.400 --> 3:22:21.400]  going to be running with debates because you're a great talk show as a smart guy you're perfect
[3:22:21.400 --> 3:22:26.480]  for this and we're going to have everybody here we're going to have we're going to have
[3:22:26.480 --> 3:22:29.800]  Tom Pappert we're going to have Rob do we're going to have Ellen Troyer we're going to
[3:22:29.800 --> 3:22:33.720]  have Will Johnson we're going to have Millie Weaver we're going to have Caitlin Bennett
[3:22:33.720 --> 3:22:37.000]  and then you I know you wanted to do this earlier and have some fun the Alex Jones
[3:22:37.000 --> 3:22:43.200]  mask will you buy one for $9.95 you get for free so we're selling you these at cost we've
[3:22:43.200 --> 3:22:47.440]  ordered $50,000 of these to freak people out on Halloween and other times and spread the
