[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[03:47:19.589 --> 03:47:22.911]  Some facts before I bring Patrick back on for a moment.
[03:47:22.911 --> 03:47:23.831]  Some facts.
[03:47:23.831 --> 03:47:34.215]  It's un-American not to question an election when you detect problems or issues or actually see numbers change before your eyes on TV as the media says nothing as they are complicit.
[03:47:34.215 --> 03:47:34.455]  Okay?
[03:47:35.362 --> 03:47:37.744]  Questioning an election is not a crime.
[03:47:37.744 --> 03:47:40.206]  Questioning an election is not treason.
[03:47:40.206 --> 03:47:42.749]  But using the government to control elections is a crime.
[03:47:42.749 --> 03:47:46.692]  So we need judges who will not do the bidding of the government, right?
[03:47:46.692 --> 03:47:51.496]  Exposing the tools that government is using to subvert this country is not a crime.
[03:47:51.496 --> 03:47:53.979]  Exposing those tools is not a crime.
[03:47:53.979 --> 03:48:00.164]  Leading up to the 2024 election, this should be the topic daily to push those in power to make changes.
[03:48:00.164 --> 03:48:02.246]  All Americans, I don't care what party you're on,
[03:48:03.058 --> 03:48:05.440]  should want transparency in elections, right?
[03:48:05.440 --> 03:48:08.342]  We want a level playing field here, right?
[03:48:08.342 --> 03:48:13.185]  Don't we lose the republic if we don't have this structure in place?
[03:48:13.185 --> 03:48:18.008]  And if the government itself is trying to subvert it?
[03:48:18.008 --> 03:48:24.752]  I have Patrick Kohlbeck on with me, former state senator, Michigan, and he ran for governor as well, author of the 2020 coup.
[03:48:24.752 --> 03:48:26.193]  You need that book.
[03:48:26.193 --> 03:48:27.554]  Tell people where to get that, Patrick.
[03:48:31.860 --> 03:48:37.445]  MySWORD.com and use the promo code MEDDLINGKIDS.
[03:48:37.445 --> 03:48:38.706]  MEDDLINGKIDS.
[03:48:38.706 --> 03:48:39.327]  I love that.
[03:48:39.327 --> 03:48:43.450]  Yeah, that's exactly how it feels, doesn't it?
[03:48:43.450 --> 03:48:47.534]  It's like none of the people that are supposed to be investigating this are up to it.
[03:48:47.534 --> 03:48:57.762]  You leave it to a bunch of ragtag kids with a dog that likes Scooby Snacks to go off and get to that point where they uncover who is actually guilty of the crime.
[03:48:57.762 --> 03:48:58.503]  And that's what we're doing.
[03:48:59.858 --> 03:49:07.908]  That is so true and I really appreciate you doing this because there's not a lot of Americans that will in this climate that we're experiencing.
[03:49:07.908 --> 03:49:10.852]  And the playbook, I want to talk just for a moment about the states.
[03:49:11.348 --> 03:49:19.012]  You served state senator in Michigan, and so I feel like you have a lot of knowledge that people out there don't have about how government works.
[03:49:19.012 --> 03:49:36.782]  But is the playbook for the deep state, for them that are controlling this country, it's making sure that they have several key people in place in each state to make sure that this is never brought up as a problem, this whole Albert Sensor thing, this entire infrastructure, right?
[03:49:36.782 --> 03:49:37.503]  Who are those people?
[03:49:37.503 --> 03:49:37.983]  Absolutely.
[03:49:38.840 --> 03:49:51.304]  Well, there's three people that control the policy initiatives in every state, and actually it's analogous at the federal level as well, but it's the Governor, it's the Senate Majority Leader, and the Speaker of the House.
[03:49:51.304 --> 03:49:53.105]  Those are the three that run the table.
[03:49:53.105 --> 03:50:01.588]  If you decide to go against the policy direction of Senate Majority Leader, which I was known to have done, I actually did not get any chairmanships my second term, even though
[03:50:02.282 --> 03:50:11.893]  I improved our veteran services as chair of the Department of Military and Veterans Affairs from 53rd in the country to number two in three years in regards to the quality of services.
[03:50:11.893 --> 03:50:15.537]  That didn't matter because I didn't go along with the Senate Majority Leader.
[03:50:15.537 --> 03:50:19.342]  I was pushed out and later I was taken off all my committees in the second term.
[03:50:20.006 --> 03:50:26.194]  For the sin of not letting the Senate Majority Leader know that I was in his district at a Right to Life dinner.
[03:50:26.194 --> 03:50:31.761]  So this is the craziness that happens and they are the ones that control the policy direction.
[03:50:31.761 --> 03:50:33.383]  So if you go off the reservation,
[03:50:34.266 --> 03:50:38.348]  from them and speak out against some of the policies that they're promoting.
[03:50:38.348 --> 03:50:39.748]  They will do what they did to me.
[03:50:39.748 --> 03:50:44.890]  They will take you out of out of key positions and try to silence your voice.
[03:50:44.890 --> 03:50:47.591]  And thankfully, they weren't successful at that.
[03:50:47.591 --> 03:50:51.933]  And I did something that many people that serve in public office aren't able to do.
[03:50:51.933 --> 03:50:54.274]  I left after eight years with my integrity intact.
[03:50:55.709 --> 03:50:57.170]  Oh, I so appreciate that about you.
[03:50:57.170 --> 03:50:58.931]  And you can tell, too.
[03:50:58.931 --> 03:51:01.272]  And here's a big tell about what you just said.
[03:51:01.272 --> 03:51:07.634]  When you see the folks with all the chairmanships, when you see them, they are very, very much willing to play ball.
[03:51:07.634 --> 03:51:11.356]  And it should be one of your biggest tells to not re-elect these folks.
[03:51:11.356 --> 03:51:17.399]  I don't know how much fraud will happen within cities, states, and counties, but I'm telling you that
[03:51:18.572 --> 03:51:27.398]  They can't pull it off unless they show a lot of support from the people and the people have to stop the support of the individuals that are in all those chairmanships because that's the reward.
[03:51:27.398 --> 03:51:30.280]  The punishment is you don't get to be on our committee.
[03:51:30.280 --> 03:51:39.807]  So if people can finally realize this, maybe we could make some headway in showing some non-support for those people that are in those committees, right?
[03:51:39.807 --> 03:51:41.088]  Because those are the ones willing to play ball.
[03:51:42.288 --> 03:51:42.828]  Exactly.
[03:51:42.828 --> 03:51:47.029]  You got to make sure, you need to make sure that they're always reminded of who they work for.
[03:51:47.029 --> 03:51:50.450]  It's not, they don't work for the Senate Majority Leader.
[03:51:50.450 --> 03:51:53.011]  He likes to make you think that you do.
[03:51:53.011 --> 03:52:02.454]  Matter of fact, he took away all my staff when he took, and I said, well, what he didn't realize that just gave me more time to go off and investigate the issues and provide good solutions.
[03:52:02.454 --> 03:52:08.416]  So, you got to have people up there that have that mindset, that never forget who they want up there to serve.
[03:52:09.156 --> 03:52:09.897]  And it's tough.
[03:52:09.897 --> 03:52:12.441]  I mean, they will tell you everything you want to go off and hear.
[03:52:12.441 --> 03:52:14.905]  I actually wrote about this in a book as well.
[03:52:14.905 --> 03:52:18.230]  I don't want to keep pushing books, but this is actually topical.
[03:52:19.088 --> 03:52:22.149]  It's called Wrestling Gators, An Outsider's Guide to Drain the Swamp.
[03:52:22.149 --> 03:52:24.790]  You can get that up on Amazon if you want.
[03:52:24.790 --> 03:52:29.252]  But for me, I wanted people to know how government really works on the inside.
[03:52:29.252 --> 03:52:33.174]  How do these guys even get in the position of Senate Majority Leader and Speaker?
[03:52:33.174 --> 03:52:34.915]  The people don't vote for that.
[03:52:34.915 --> 03:52:40.337]  This is stuff that happens behind the scenes, and it's always a money's game.
[03:52:40.337 --> 03:52:44.779]  And to your point at the beginning, who's influencing these people?
[03:52:44.779 --> 03:52:45.879]  How are they being
[03:52:48.012 --> 03:52:50.273]  Convinced to go off and take a certain policy position?
[03:52:50.273 --> 03:52:51.734]  Well, it's the money, people.
[03:52:51.734 --> 03:52:52.574]  And it's the big money.
[03:52:52.574 --> 03:52:54.755]  That's how you get to be Senate Majority Leader and Speaker.
[03:52:54.755 --> 03:53:02.558]  It's who's giving you the money to actually go off and hand out in exchange for votes for Senate Majority Leader and Speaker.
[03:53:02.558 --> 03:53:05.840]  And then they have to pay them back when they actually serve in that position.
[03:53:05.840 --> 03:53:06.620]  And that's what happened.
[03:53:07.952 --> 03:53:13.154]  Well, and always it's who will play ball with the governor, and those governors are inserted.
[03:53:13.154 --> 03:53:14.755]  I'm sorry, but they are.
[03:53:14.755 --> 03:53:20.037]  And there's a lot of questions around certain people getting into office.
[03:53:20.037 --> 03:53:21.418]  My governor is one of them.
[03:53:21.418 --> 03:53:27.441]  My governor is going around the country telling everybody it's government's role on how to teach people to disagree.
[03:53:27.441 --> 03:53:29.621]  So they don't know the proper role of government.
[03:53:29.621 --> 03:53:31.522]  That's exactly what the Deep State wants.
[03:53:31.522 --> 03:53:33.683]  They don't want people that know the proper role of government.
[03:53:33.683 --> 03:53:35.084]  They want people that will play ball.
[03:53:35.604 --> 03:53:51.915]  And as long as you're spending money to do these things, and as long as you don't look at election fraud, and you don't make it an issue, and you say everything is squeaky clean in our state, that's what we got, squeaky clean, a hundred percent perfect, is literally the work we got, then you know there's cover-ups, you know there's a problem.
[03:53:51.915 --> 03:54:02.522]  So I know with a few minutes left, people are thinking to themselves, okay, I know a county commissioner, I can get this information to them about the Albert sensor and the group that they might be tied in with,
[03:54:03.206 --> 03:54:07.487]  Can the counties be sovereign enough to break away from state power?
[03:54:07.487 --> 03:54:12.188]  Because with the CARES money, you know, that cemented a lot of relationships in each state, right?
[03:54:12.188 --> 03:54:13.588]  Cities and counties to the state.
[03:54:13.588 --> 03:54:16.589]  I mean, it's like the biggest bribe ever.
[03:54:16.589 --> 03:54:22.730]  So can they still use sovereignty to separate themselves away from the state and say, no, we're not going to do this?
[03:54:22.730 --> 03:54:25.250]  They can technically, but here's the way the game is played.
[03:54:25.250 --> 03:54:27.911]  And it's the same game that's played between the federal government and the states.
[03:54:28.562 --> 03:54:36.647]  They dangle money, and they say, we will give you this money, and they become dependent on that revenue flow to keep their finances balanced.
[03:54:36.647 --> 03:54:38.489]  And they say, well, you know what?
[03:54:38.489 --> 03:54:45.353]  If you don't want to deploy these Albert sensors, then obviously you don't need any money to go off and provide IT security for your system.
