[00:00.000 --> 00:30.000]  That's the law required.
[02:49:42.220 --> 02:49:46.860]  the next thing to happen to us um he just clearly mentions that the people are going to be so scared
[02:49:46.860 --> 02:49:51.180]  they're going to be willing to give up their constitutional liberties and uh it just goes to
[02:49:51.180 --> 02:49:54.860]  show how serious this whole thing is and i'll be real quick here i just want everyone to know if
[02:49:54.860 --> 02:49:59.820]  you go to wikipedia and look up tommy franks you can see this for yourself and see how real it is
[02:49:59.820 --> 02:50:04.620]  and the second point i just wanted to uh bring up is that i live in a town that's right outside of
[02:50:04.620 --> 02:50:10.300]  houston it's a very small town called porter and recently i've noticed the cops it seems like they
[02:50:10.300 --> 02:50:15.260]  have been up to some really fishy stuff almost like they're practicing for setting up roadblocks
[02:50:15.260 --> 02:50:20.140]  or something um like yesterday i saw like six or seven cops that were just hovering around this
[02:50:20.140 --> 02:50:24.620]  little two-lane road why do you think they're hiring more and more more more and more and more
[02:50:24.620 --> 02:50:29.980]  no no no sir you have to look it up they admit they i mean and i appreciate your call i mean
[02:50:29.980 --> 02:50:37.580]  they admit all this this is admitted and i told the cops go ahead do it go ahead i mean you want
[02:50:37.580 --> 02:50:44.780]  to kill the country just sit there you like to have power you like to do all this you are
[02:50:44.780 --> 02:50:50.220]  literally you know i said this last week and some idiot sent me a threatening email about i don't
[02:50:50.220 --> 02:50:57.100]  like you threatening people i'm gonna call the police on you i filed it i don't want violence
[02:50:57.100 --> 02:51:01.500]  i don't want it to turn into a bunch of dead cops and military on the streets when they try to bring
[02:51:01.500 --> 02:51:06.460]  in this new world order a new order that's going to take their pension funds and shoot their kids
[02:51:06.460 --> 02:51:12.460]  up full of mercury and cancer but you're so dumb out there you can't even get a job out there
[02:51:12.540 --> 02:51:16.540]  but you're so dumb out there you can't even understand it when i tell it to you in plain
[02:51:16.540 --> 02:51:24.220]  english oh god you realize this show isn't entertainment this isn't a joke this is real
[02:51:24.780 --> 02:51:25.740]  this is happening
[02:51:30.620 --> 02:51:34.220]  it's here after a year in production and traveling to distant lands
[02:51:34.220 --> 02:51:38.940]  my new film terror storm is complete shocking declassified government documents prove that
[02:51:38.940 --> 02:51:43.100]  western governments are orchestrating terror attacks against their own populations as a
[02:51:43.100 --> 02:51:49.260]  pretext to enslave them terror storm proves that not only was 9 11 an inside job but the attacks
[02:51:49.260 --> 02:51:53.900]  of 7 7 in london were carried out by british intelligence terror storm chronicles the lies
[02:51:53.900 --> 02:51:59.660]  that took us to war in iran the white house program to disseminate fake news nsa spying
[02:51:59.660 --> 02:52:05.500]  secret police torture the latest 9 11 information and much much more terror storm is the definitive
[02:52:05.500 --> 02:52:10.220]  guide to the history of government-sponsored terrorism it's an anthology of government crimes
[02:52:10.220 --> 02:52:15.660]  terror storms a film and everyone who wants to be truly informed must see get your copy today
[02:52:15.660 --> 02:52:24.300]  at infowars.com or prisonplanet.com or by calling toll-free 1-888-2533139 or watch it right now
[02:52:24.300 --> 02:52:30.780]  online at prisonplanet.tv black berky purification elements are more powerful than any gravity
[02:52:30.860 --> 02:52:35.900]  filter element on the market these awesome elements are used in berky purification systems
[02:52:35.900 --> 02:52:41.180]  and they can also be used to upgrade most other gravity filtration systems they can purify raw
[02:52:41.180 --> 02:52:47.020]  untreated water by removing pathogenic bacteria cysts parasites trihalomethanes and chemicals
[02:52:47.020 --> 02:52:53.340]  such as chlorine atrazine styrene and mtbe these elements also reduce unwanted heavy metals such
[02:52:53.340 --> 02:52:59.100]  as lead mercury and aluminum unbelievably they even remove small micro particulate from water
[02:52:59.100 --> 02:53:03.820]  like food coloring particles yet they leave in the nutritional minerals that your body needs
[02:53:03.820 --> 02:53:08.860]  moreover because they are reclinable black berky elements are more economical than the standard
[02:53:08.860 --> 02:53:14.380]  disposable elements providing fresh pure water for less than two cents per gallon get a two pack
[02:53:14.380 --> 02:53:22.060]  for only 99 or a four pack for only 188 by calling new millennium at 888-803-4438 that's triple 8
[02:53:22.060 --> 02:53:29.740]  803-4438 or order on the web at berkywater.com hello friends alex jones here i want you to
[02:53:29.740 --> 02:53:34.380]  imagine waking up one morning to find out you've been burglarized an intruder has taken your
[02:53:34.380 --> 02:53:40.300]  personal possessions credit card numbers social security cards banking information and more all
[02:53:40.300 --> 02:53:45.660]  in the hands of a total stranger what's worse is you realize he got it through your front door
[02:53:45.660 --> 02:53:50.220]  because you left it unlocked every time you walk away from your computer leaving your internet
[02:53:50.220 --> 02:53:55.820]  connection on you are virtually inviting hackers criminals and big brother to access your personal
[02:53:55.820 --> 02:54:01.980]  information put a stop to this right now with the net 7 network security switch from net 7
[02:54:01.980 --> 02:54:07.740]  technologies turn your internet on and off with one simple switch there's no software to load
[02:54:07.740 --> 02:54:13.580]  and it's so easy to install right now you can order your net 7 security switch from net 7
[02:54:13.580 --> 02:54:19.020]  technologies for only $39.95 for a limited time receive free shipping with your order
[02:54:19.020 --> 02:54:26.300]  visit net7tech.com that's net the number seven tech.com and start protecting yourself today
[02:54:34.140 --> 02:54:37.100]  all right i said i could y'all your calls i just can't if i'm going to cover this news
[02:54:37.100 --> 02:54:43.900]  look again i'm going to say it they'll dump pesticide down black kids throats that cps has
[02:54:43.900 --> 02:54:48.140]  grabbed i mean they don't just test aids of drugs and other drugs on them they kill them with
[02:54:48.140 --> 02:54:52.540]  pesticides mainly blacks for some reason because they've broken up their families they can't
[02:54:52.540 --> 02:54:57.100]  protect themselves they've done a real good job of that black leaders don't do anything al sharpton
[02:54:57.100 --> 02:55:03.820]  is a political whore makes me sick they'll run around and get don amis fired and they'll fire
[02:55:04.780 --> 02:55:09.500]  all these other people over little racial things they said and i was was saying it to be shocking
[02:55:09.500 --> 02:55:13.260]  and he makes fun of white people everybody else i frankly don't think you should have been fired
[02:55:13.260 --> 02:55:17.420]  i by the way i don't like don amis the guys it just looks like a creep acts like a creep is a
[02:55:17.420 --> 02:55:25.420]  creep you don't like it don't watch it i mean it's it's not the american way but the big
[02:55:25.420 --> 02:55:29.500]  corporations and bill o'reilly all of them got on the bandwagon to have him fired because they
[02:55:29.500 --> 02:55:33.100]  like that precedent because they know it's going to be politically incorrect stuff that said it's
[02:55:33.100 --> 02:55:38.300]  going to people fired sure enough cnn tom delay is calling for all republicans to call for her
[02:55:38.300 --> 02:55:46.940]  to be fired because she's anti-chinese showing his ignorance and uh that uh she also thinks that
[02:55:46.940 --> 02:55:52.700]  the president did 9 11. now he didn't say anything back when it was you know and by the way rosie
[02:55:52.700 --> 02:55:58.780]  was just act stupid i mean folks when i do a fake japanese voice which i'll do to my kids
[02:55:58.780 --> 02:56:03.420]  i've been doing it since high school it's just it's not against japanese it's it's like
[02:56:03.420 --> 02:56:09.900]  james belushi or jim belushi did they fire him when he'd do the crazy samurai see that's how far
[02:56:09.900 --> 02:56:16.780]  we've come since the 70s i remember being a kid and watching that and laughing i mean you know
[02:56:17.660 --> 02:56:22.940]  they say that's to be mean to asians no asians would laugh at that i mean i get up here and make
[02:56:22.940 --> 02:56:33.260]  fun of rednecks it's having fun it's not making fun of asians to go it's me acting stupid doing
[02:56:33.260 --> 02:56:41.740]  i mean my wife speaks french and i'll go because she has a degree in french she lived in france
[02:56:41.740 --> 02:56:52.540]  for a lot of years that's not french i need to be fired folks i'm anti uh white european now
[02:56:52.540 --> 02:56:58.300]  i'm anti-black um i've even made fun of whites before acting like you know what blacks are
