[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[3:33:05.280 --> 3:33:10.280]  You know, he recently wrote a book on the OJ trial, the truth about the OJ Simpson trial.
[3:33:10.280 --> 3:33:12.280]  I've had a chance to review it.
[3:33:12.280 --> 3:33:13.280]  I'd urge your readers to read it.
[3:33:13.280 --> 3:33:15.280]  I realized the trial was long ago.
[3:33:15.280 --> 3:33:22.280]  But he makes a compelling case that OJ was actually innocent, how that there was a third party observed at the scene.
[3:33:22.280 --> 3:33:27.280]  And that for tactical reasons, Johnny Cochran never presented that evidence during trial.
[3:33:27.280 --> 3:33:29.280]  Because OJ didn't want that out.
[3:33:29.280 --> 3:33:31.280]  Well, it was a little more complicated than that.
[3:33:31.280 --> 3:33:33.280]  The trial went on and on and on and they thought they had it.
[3:33:33.280 --> 3:33:38.280]  That's what I was told by people that knew OJ was that it was a family member and he didn't want to burn his family member.
[3:33:38.280 --> 3:33:40.280]  That's why all that went on.
[3:33:40.280 --> 3:33:41.280]  That's part of it.
[3:33:41.280 --> 3:33:44.280]  But the other part was they were losing jurors because the trial went on so long.
[3:33:44.280 --> 3:33:45.280]  They thought they had it won.
[3:33:45.280 --> 3:33:50.280]  And if they put that evidence on, they might have lost the 12th juror and there would have been a mistrial declared.
[3:33:50.280 --> 3:33:55.280]  Well, let's get back to F. Lee Bailey, one of the true giants of the 20th century into the 21st.
[3:33:55.280 --> 3:33:56.280]  I mean, one of the top lawyers.
[3:33:56.280 --> 3:34:00.280]  We hear about Raceworth Haynes, F. Lee Bailey, Jerry Spence, you represent.
[3:34:00.280 --> 3:34:01.280]  I mean, that's about it.
[3:34:01.280 --> 3:34:03.280]  And then, you know, that goes online like you and others.
[3:34:03.280 --> 3:34:05.280]  But I mean, this is one of the top guys.
[3:34:05.280 --> 3:34:07.280]  He just was amazing.
[3:34:07.280 --> 3:34:12.280]  I mean, he broke into the national scene and immediately was prominent.
[3:34:12.280 --> 3:34:16.280]  He represented Sam Shepard, the case that inspired the fugitive.
[3:34:16.280 --> 3:34:27.280]  And in part of the United States Supreme Court as a young lawyer winning a new trial for Mr. Shepard by persuading the Supreme Court that the trial was conducted in a carnival like atmosphere.
[3:34:27.280 --> 3:34:30.280]  And Shepard got a new trial was ultimately acquitted.
[3:34:30.280 --> 3:34:36.280]  He represented Patty Hearst when she in connection with her activities in the Symbionnes Liberation Army.
[3:34:36.280 --> 3:34:38.280]  He also knew how to play the race card.
[3:34:38.280 --> 3:34:39.280]  Yeah.
[3:34:39.280 --> 3:34:41.280]  Well, he knew how to play every card.
[3:34:41.280 --> 3:34:46.280]  I mean, one of, you know, Bailey, Bailey, I guess it's fair to tell this tale.
[3:34:46.280 --> 3:34:50.280]  He's gone, even although his body's not yet entirely cold, I suspect.
[3:34:50.280 --> 3:34:54.280]  But, you know, he once said alcohol was his fuel.
[3:34:54.280 --> 3:34:58.280]  So we were working a case some 20 years ago in his house in Brookline, Massachusetts.
[3:34:58.280 --> 3:35:00.280]  And he came in with a drink.
[3:35:00.280 --> 3:35:01.280]  I was staying in one room.
[3:35:01.280 --> 3:35:02.280]  He was in another.
[3:35:02.280 --> 3:35:03.280]  It was about 10 in the morning.
[3:35:03.280 --> 3:35:04.280]  He said, would you like something?
[3:35:04.280 --> 3:35:06.280]  I said, Lee, I can't drink until after eight.
[3:35:06.280 --> 3:35:08.280]  And I'm not much good after I do.
[3:35:08.280 --> 3:35:10.280]  Alcohol is my fuel, he said.
[3:35:10.280 --> 3:35:13.280]  And when he was fueled, there was no stopping him.
[3:35:13.280 --> 3:35:17.280]  Well, there is a studies association with higher IQ people or more aptly alcoholics.
[3:35:17.280 --> 3:35:19.280]  I've basically stopped drinking.
[3:35:19.280 --> 3:35:25.280]  But there is a certain point like it fuels you and creates a confidence where you don't have any anxiety.
[3:35:25.280 --> 3:35:27.280]  You just get to what the heart of the matter is.
[3:35:27.280 --> 3:35:29.280]  But most people can't operate like that.
[3:35:29.280 --> 3:35:32.280]  I always, I'm no dummy, but I'll tell you two drinks and I'm done.
[3:35:32.280 --> 3:35:35.280]  So, but Bailey, Bailey was a legend.
[3:35:35.280 --> 3:35:38.280]  He, he, he, he just had an unsafe.
[3:35:38.280 --> 3:35:42.280]  So you think when he gave those speeches, the OJ trial, he was had a few drinks?
[3:35:42.280 --> 3:35:46.280]  Yeah, I'm not going to speculate about that, but he probably did.
[3:35:46.280 --> 3:35:48.280]  He probably had a few on board, but it wouldn't have stopped him.
[3:35:48.280 --> 3:35:49.280]  It would have just fueled him.
[3:35:49.280 --> 3:35:50.280]  So he'd go in the bathroom.
[3:35:50.280 --> 3:35:51.280]  What he liked to drink?
[3:35:51.280 --> 3:35:53.280]  He was a bourbon man.
[3:35:53.280 --> 3:35:56.280]  And, you know, he, he liked it.
[3:35:56.280 --> 3:35:57.280]  He liked it neat.
[3:35:57.280 --> 3:36:01.280]  And so he would go in the bathroom and drink straight bourbon.
[3:36:01.280 --> 3:36:02.280]  Well, I didn't say that.
[3:36:02.280 --> 3:36:03.280]  I never went into the men's room with him.
[3:36:03.280 --> 3:36:05.280]  I don't ask what other people do in the men's room.
[3:36:05.280 --> 3:36:09.280]  All I know is what I saw and that was here was a guy who had a relentless determination
[3:36:09.280 --> 3:36:11.280]  to get to the truth of every case.
[3:36:11.280 --> 3:36:13.280]  And he worked like a dog to get at it.
[3:36:13.280 --> 3:36:18.280]  He was dogged and, you know, he eased his way along the way with a drink or two,
[3:36:18.280 --> 3:36:21.280]  but never aired in his judgments.
[3:36:21.280 --> 3:36:25.280]  Well, he has made the jump into hyperspace, as they say.
[3:36:25.280 --> 3:36:29.280]  Well, I suspect, I suspect there are a bunch of people lining up at the doors of hell looking
[3:36:29.280 --> 3:36:32.280]  for him now saying, Hey, plead our case.
[3:36:32.280 --> 3:36:33.280]  We're innocent.
[3:36:33.280 --> 3:36:34.280]  We belong elsewhere.
[3:36:34.280 --> 3:36:35.280]  Take it up with St. Peter.
[3:36:35.280 --> 3:36:40.280]  And God's probably saying, Oh my God, somebody give me an aspirin because he's going to talk
[3:36:40.280 --> 3:36:44.280]  for eternity in the way good lawyers do.
[3:36:44.280 --> 3:36:47.280]  What do you make of Trump coming out against Fauci in the fall of Fauci?
[3:36:47.280 --> 3:36:50.280]  Well, you know, Fauci, I'm, I'm good riddance.
[3:36:50.280 --> 3:36:54.280]  I mean, I don't buy the public health stage and I flew down here to see it the other day
[3:36:54.280 --> 3:36:58.280]  and I was sitting in an airport with my mask on because of the violation of federal law
[3:36:58.280 --> 3:36:59.280]  not to wear a mask.
[3:36:59.280 --> 3:37:02.280]  Why the pandemic's over, but I'm not, you know, I needed to get here.
[3:37:02.280 --> 3:37:06.280]  And what do I hear on the, it felt, I felt like I was in Brave New World Huxley's book.
[3:37:06.280 --> 3:37:10.280]  The CDC, the boy says, requires that you wear masks.
[3:37:10.280 --> 3:37:14.280]  And I was getting ready to say to combat the combatant, the pandemic when they said the
[3:37:14.280 --> 3:37:18.280]  CDC requires that you wear a mask to prevent the spread of infectious disease.
[3:37:18.280 --> 3:37:20.280]  I thought, what are masks now a permanent part of our life?
[3:37:20.280 --> 3:37:21.280]  That's what they're moving towards.
[3:37:21.280 --> 3:37:22.280]  Yeah.
[3:37:22.280 --> 3:37:23.280]  Medical charity.
[3:37:23.280 --> 3:37:24.280]  Well, it feels that way.
[3:37:24.280 --> 3:37:26.280]  And I don't want to live in a Republic of virtue.
[3:37:26.280 --> 3:37:30.280]  None of us get out of here alive, you know, and they're saying you are originally dirty.
[3:37:30.280 --> 3:37:34.280]  I thought the left was about not worrying and partying it, but now the devil is about
[3:37:34.280 --> 3:37:35.280]  enslavement.
[3:37:35.280 --> 3:37:37.280]  Well, you know, they're telling us that, oh, you're dirty.
[3:37:37.280 --> 3:37:38.280]  You're bad.
[3:37:38.280 --> 3:37:40.280]  You've got this original sin of what you put off.
[3:37:40.280 --> 3:37:41.280]  You've got to cover yourself.
[3:37:41.280 --> 3:37:42.280]  Wow.
[3:37:42.280 --> 3:37:43.280]  That doesn't sound too like too much fun.
[3:37:43.280 --> 3:37:47.280]  Well, it doesn't sound like too much fun and it sounds entirely realistic, entirely
[3:37:47.280 --> 3:37:48.280]  unrealistic.
[3:37:48.280 --> 3:37:51.280]  Who is going to live to 105, 110, 100?
[3:37:51.280 --> 3:37:56.280]  Blue Front for Global Enslavement made 14 years ago, accurately predicted the globalist
[3:37:56.280 --> 3:38:01.280]  takeover using the great reset and the threat of a virus.
[3:38:01.280 --> 3:38:03.280]  This film is now more important than ever.
[3:38:03.280 --> 3:38:09.280]  I noticed just a few months ago that suddenly, the limited supply we had at infowarstore.com
[3:38:09.280 --> 3:38:10.280]  had sold out.
[3:38:10.280 --> 3:38:15.280]  And people were really talking about the documentary because major platforms like Amazon had banned
[3:38:15.280 --> 3:38:19.280]  it because the globalists had openly criticized the film, like The New York Times.
[3:38:19.280 --> 3:38:24.280]  And so we printed 20,000 copies now back in print.
[3:38:24.280 --> 3:38:27.280]  And in less than two weeks, we've already sold half of them.
[3:38:27.280 --> 3:38:29.280]  This is very, very exciting.
[3:38:29.280 --> 3:38:34.280]  We were selling them close to cost at $3.95 a piece when you buy them in bulk or $14.95
[3:38:34.280 --> 3:38:35.280]  when you buy them individually.
[3:38:35.280 --> 3:38:39.280]  There is a zero country code on it, meaning you can copy this anywhere in the world.
[3:38:39.280 --> 3:38:40.280]  Get it.
[3:38:40.280 --> 3:38:41.280]  Earn copies.
[3:38:41.280 --> 3:38:42.280]  Share it with everyone.
[3:38:42.280 --> 3:38:43.280]  It's blowing people away.
[3:38:43.280 --> 3:38:44.280]  It's evergreen.
[3:38:44.280 --> 3:38:45.280]  It predicted it all.
[3:38:45.280 --> 3:38:46.280]  In-game.
[3:38:46.280 --> 3:38:47.280]  Blue Front for Global Enslavement.
[3:38:47.280 --> 3:38:49.280]  Available now at DVD and infowarstore.com.
[3:38:49.280 --> 3:38:54.280]  You know, I'm cutting an ad right now and I've been here on the Saturday cutting days.
[3:38:54.280 --> 3:39:00.280]  I've done a terrible job because I just cut, like, five ads and I didn't tell people the
[3:39:00.280 --> 3:39:02.280]  most important part.
[3:39:02.280 --> 3:39:07.280]  No, it's not that DNA Force Plus has been sold out for seven months and is back in
[3:39:07.280 --> 3:39:08.280]  stock and is 40% off.
[3:39:08.280 --> 3:39:12.280]  Or how the supply chain broke down and how it almost bankrupted us.
[3:39:12.280 --> 3:39:14.280]  But thank God it finally came in.
[3:39:14.280 --> 3:39:18.280]  Or how it cleans up your mitochondria and makes your telomeres last longer and can
[3:39:18.280 --> 3:39:19.280]  really grow nerves.
[3:39:19.280 --> 3:39:20.280]  You've got to go research DNA Force Plus.
[3:39:20.280 --> 3:39:21.280]  No, it's not that.
[3:39:21.280 --> 3:39:25.280]  The reason I just cut all those ads and forgot the most important point.
[3:39:25.280 --> 3:39:27.280]  The super-real vitality is back in stock.
[3:39:27.280 --> 3:39:28.280]  50% off.
[3:39:28.280 --> 3:39:30.280]  The processing art is back 40% off.
[3:39:30.280 --> 3:39:32.280]  The alpha power is back 50% off.
[3:39:32.280 --> 3:39:35.280]  The Ultra 12, Mountain B12, take it out of the tongue.
[3:39:35.280 --> 3:39:36.280]  It's incredible.
[3:39:36.280 --> 3:39:38.280]  It's back also 50% off.
[3:39:38.280 --> 3:39:40.280]  Or Vazo beats back 50% off.
[3:39:40.280 --> 3:39:41.280]  No.
[3:39:41.280 --> 3:39:44.280]  Instead, we've got double-patriot points and free-shipping store-wide.
[3:39:44.280 --> 3:39:45.280]  Double-patriot points.
[3:39:45.280 --> 3:39:47.280]  Free-shipping store-wide on top of these huge sales.
[3:39:47.280 --> 3:39:55.280]  Memorial Day 2021 has come and gone.
[3:39:55.280 --> 3:39:57.280]  But the fight against the globalists continues.
[3:39:57.280 --> 3:40:04.280]  And the huge mega sale of the Vegas of the Year is now ongoing until this Sunday.
[3:40:04.280 --> 3:40:09.280]  So you've got, as of time, I'm taping this report about four days to get your orders in.
[3:40:09.280 --> 3:40:12.280]  Store-wide free-shipping, double-patriot points.
[3:40:12.280 --> 3:40:15.280]  You get 10% off, you sign up for auto-shift.
[3:40:15.280 --> 3:40:17.280]  Those are the biggest deals of the year.
[3:40:17.280 --> 3:40:19.280]  All ongoing right now together.
[3:40:19.280 --> 3:40:22.280]  That's the perfect DNA force.
[3:40:22.280 --> 3:40:27.280]  Plus, so incredible for your DNA, for your mitochondria, for your telomeres, for your cells.
[3:40:27.280 --> 3:40:29.280]  Back in stock sold out for almost seven months.
[3:40:29.280 --> 3:40:30.280]  40% off.
[3:40:30.280 --> 3:40:33.280]  Hollumbot for your allergies, so you can feel discomfort.
[3:40:33.280 --> 3:40:35.280]  Back in stock sold out for months.
[3:40:35.280 --> 3:40:36.280]  40% off.
[3:40:36.280 --> 3:40:39.280]  Supermell Vitality Process Guard Alpha Power Alpha 12.
