[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[03:11:59.071 --> 03:12:05.957]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[03:12:05.957 --> 03:12:09.461]  And now, your host, Nick Vagic.
[03:12:11.994 --> 03:12:13.716]  And welcome back!
[03:12:13.716 --> 03:12:20.144]  You know, I always forget to run my own commercial and the guys always put up the image and I space it out.
[03:12:20.144 --> 03:12:21.585]  It's earthpulse.com.
[03:12:21.585 --> 03:12:22.687]  Check out my website.
[03:12:22.687 --> 03:12:24.168]  There's lots of things there.
[03:12:24.168 --> 03:12:28.754]  There's also a link to all the previous programs I've done on InfoWars.
[03:12:28.754 --> 03:12:30.596]  It takes you right into band.video.
[03:12:31.116 --> 03:12:44.059]  And then they're all chronological so if you click on that button it's under special events right in the middle of the screen at earthpulse.com and you can look at what I've done and subjects that we've covered and there's a lot of material there.
[03:12:44.059 --> 03:12:50.740]  Jumping into what I left off with was the issue of free speech and why it's so important right now.
[03:12:50.740 --> 03:12:55.301]  Of all the issues it is the issue because nothing else can happen unless we can still have a conversation.
[03:12:55.948 --> 03:13:04.836]  And I've even read reports now, people calling for the banning of talk radio altogether to keep our voices from being heard.
[03:13:04.836 --> 03:13:07.679]  This is insanity in this republic.
[03:13:07.679 --> 03:13:12.343]  That is total craziness in the modern world.
[03:13:12.343 --> 03:13:21.651]  You know, and anyone that's trying to sell you this is also interested in selling you something that just doesn't exist.
[03:13:23.107 --> 03:13:27.330]  This is a sales pitch for the wrong game plan, ladies and gentlemen.
[03:13:27.330 --> 03:13:30.012]  Our speech is fundamental to who we are.
[03:13:30.012 --> 03:13:32.253]  And the idea of offending people with words.
[03:13:32.253 --> 03:13:33.654]  You remember when we were little kids?
[03:13:33.654 --> 03:13:35.815]  Maybe they don't even say this anymore.
[03:13:35.815 --> 03:13:40.158]  Sticks and stones will break my bones, but words would never hurt me.
[03:13:40.158 --> 03:13:41.980]  Get real, folks.
[03:13:41.980 --> 03:13:47.463]  I mean, are we that much of a weak, uh, wimp society?
[03:13:47.463 --> 03:13:48.404]  I don't think so.
[03:13:48.404 --> 03:13:48.644]  I know.
[03:13:48.644 --> 03:13:49.364]  I know that.
[03:13:49.364 --> 03:13:50.145]  I know that.
[03:13:50.145 --> 03:13:50.645]  I know that.
[03:13:53.055 --> 03:14:00.418]  Anyone who believes that we should lay down and just take it and shut up and behave?
[03:14:00.418 --> 03:14:01.339]  No!
[03:14:01.339 --> 03:14:02.659]  That is not who we are.
[03:14:02.659 --> 03:14:03.480]  Be polite.
[03:14:03.480 --> 03:14:04.220]  Be respectful.
[03:14:05.057 --> 03:14:07.959]  But I wouldn't say behave in the sense of conforming.
[03:14:07.959 --> 03:14:09.600]  I'd say do the opposite.
[03:14:09.600 --> 03:14:11.922]  Be a respectful nonconformist.
[03:14:11.922 --> 03:14:20.067]  And you know, when when I drop kids off at school, I say, hey, you're going to the propaganda palace today.
[03:14:20.067 --> 03:14:27.672]  Make sure you ask respectful questions when you don't believe what you're being told, because even children know in their heart
[03:14:28.283 --> 03:14:30.786]  When the message isn't ringing true.
[03:14:30.786 --> 03:14:38.395]  And they need to have confidence in that voice and not start shutting it down at 7 and 8 and 9.
[03:14:38.395 --> 03:14:41.879]  Because here's what happens when they do.
[03:14:41.879 --> 03:14:44.222]  Then it shuts down permanently.
[03:14:44.801 --> 03:14:46.462]  Let me say that again.
[03:14:46.462 --> 03:14:53.927]  If you quit listening to what some call the little voice in the head, you know, your consciousness, maybe God talking to you.
[03:14:53.927 --> 03:14:59.871]  If you quit listening, eventually you stop hearing because the voice isn't there anymore.
[03:14:59.871 --> 03:15:03.614]  You filter it out like background noise in a crowded room.
[03:15:03.614 --> 03:15:05.795]  Don't do that.
[03:15:05.795 --> 03:15:07.857]  Don't do that.
[03:15:07.857 --> 03:15:09.618]  Stay firm on your truth.
[03:15:10.695 --> 03:15:17.444]  If you're going to shake it, change it, whether it's something I say or any of us say, check it out!
[03:15:17.444 --> 03:15:23.051]  Don't change your trajectory on your path through life because I say something unless you can confirm it's true.
[03:15:24.221 --> 03:15:24.781]  That's it.
[03:15:24.781 --> 03:15:26.182]  Two witnesses.
[03:15:26.182 --> 03:15:27.183]  Don't make the change.
[03:15:27.183 --> 03:15:28.183]  Confirm it's true.
[03:15:28.183 --> 03:15:28.924]  Find the evidence.
[03:15:28.924 --> 03:15:30.264]  Now that's what I want to get to.
[03:15:30.264 --> 03:15:36.848]  Because in the context of delivering free speech, you've got to dig out information, and that's getting harder and harder.
[03:15:36.848 --> 03:15:45.073]  And I know, guys I talk to all the time, because the cartoonish nature of the mainstream gets getting more and more ridiculous.
[03:15:45.633 --> 03:15:52.959]  On the last time I could fly on an international flight, I went to the back, you know, to use the bathroom because I still fly economy.
[03:15:52.959 --> 03:15:59.224]  And when I was walking back, I see all these screens up, you know, and people watching their TV.
[03:15:59.224 --> 03:16:04.228]  And, you know, most of them are watching cartoons, for God's sake, adults.
[03:16:04.228 --> 03:16:07.891]  This is the programming we're dumping in is the cartoons.
[03:16:08.803 --> 03:16:09.883]  I guess so.
[03:16:09.883 --> 03:16:12.144]  Which means bad news and good news.
[03:16:12.144 --> 03:16:12.964]  Here's the good news.
[03:16:12.964 --> 03:16:14.525]  Most people are watching cartoons.
[03:16:14.525 --> 03:16:17.746]  That makes the few of us that aren't a lot more effective in what we do.
[03:16:17.746 --> 03:16:19.066]  And that includes every one of you.
[03:16:19.066 --> 03:16:20.506]  Because you're paying attention.
[03:16:20.506 --> 03:16:22.347]  You're getting information.
[03:16:22.347 --> 03:16:23.707]  Dig it out.
[03:16:23.707 --> 03:16:25.168]  Confirm it also.
[03:16:25.168 --> 03:16:26.568]  No matter who's delivering it.
[03:16:26.568 --> 03:16:27.148]  Confirm it.
[03:16:27.148 --> 03:16:28.589]  Even if it's a trusted source.
[03:16:28.589 --> 03:16:28.969]  Because
[03:16:30.026 --> 03:16:37.493]  If it's about your life, take control of your life and quit getting pushed around by anybody because this is the problem with the globalists.
[03:16:37.493 --> 03:16:41.376]  I think they just keep pushing and pushing and just nudging and nudging.
[03:16:41.376 --> 03:16:48.783]  And we just keep falling into this tighter and tighter bubble until they just squeeze a living soul out of us.
[03:16:48.783 --> 03:16:49.824]  And that's the objective.
[03:16:49.824 --> 03:16:50.625]  And we can't let it happen.
[03:16:51.591 --> 03:16:56.736]  I'm going to shift gears a bit and I want to get into something that got mentioned again, the Chinese.
[03:16:56.736 --> 03:17:00.080]  Do you know Chinese have a problem now in China?
[03:17:00.080 --> 03:17:04.004]  It's called Chinese ISIS.
[03:17:04.004 --> 03:17:07.047]  They got an Islamic State rising in China.
[03:17:07.047 --> 03:17:12.052]  Now the first time I heard about this was in a lecture at the Alaska Pacific University
[03:17:12.712 --> 03:17:15.434]  Uh, here in Alaska, obviously in Anchorage.
[03:17:15.434 --> 03:17:17.916]  And it was, I think it was Methodist then, Methodist University.
[03:17:17.916 --> 03:17:19.657]  But anyway, it was a speaker.
[03:17:19.657 --> 03:17:33.368]  He'd been a priest, a Catholic priest in China and Russia, in the areas where the Russian Republics, the Southern Republics buttoned up against China, all amending in Stan, you know, Tajikistan, Kazakhstan, et cetera.
[03:17:33.368 --> 03:17:38.331]  Well, all these places, when they moved away and Russia let them go, right?
[03:17:38.331 --> 03:17:39.172]  Why did they do that?
[03:17:39.804 --> 03:17:40.605]  Why did they do that?
[03:17:40.605 --> 03:17:43.688]  Because they were the biggest growing population.
[03:17:43.688 --> 03:17:49.614]  This Catholic priest was lecturing about 1978 or 1979 when I caught that lecture.
[03:17:49.614 --> 03:17:51.436]  So this is a long time ago again.
[03:17:51.436 --> 03:17:56.081]  And I was in my early 20s listening to this lecture.
[03:17:56.081 --> 03:18:00.506]  And what he said was the biggest threat to China and Russia was Islam.
[03:18:01.269 --> 03:18:05.495]  Because they weren't adhering to the Chinese rule of one kid.
[03:18:05.495 --> 03:18:09.421]  And in Russia, they were the biggest growing population there.
[03:18:09.421 --> 03:18:15.831]  And they were outnumbering in Russia, or former USSR, the white Europeans and Russians.
[03:18:17.642 --> 03:18:17.862]  Yeah.
[03:18:37.445 --> 03:18:39.566]  And I can't make those judgments.
[03:18:39.566 --> 03:18:42.147]  So that's for people within a culture to make.
[03:18:42.147 --> 03:18:43.668]  That's why we have sovereign nations.
[03:18:43.668 --> 03:18:50.091]  That's why we have structures that we have because that's reality that we all know on the ground when we travel around the world.
[03:18:50.091 --> 03:18:56.574]  But also having said that, the soul of man, no matter where you go, it's all in there.
[03:18:56.574 --> 03:18:57.794]  It's all in there.
[03:18:57.794 --> 03:19:02.096]  And it's about waking everyone up and everyone is doing their part.
[03:19:02.096 --> 03:19:05.978]  And there are people waking up in China and Russia and everywhere.
[03:19:06.613 --> 03:19:07.373]  And there have been.
[03:19:07.373 --> 03:19:15.556]  And I think some of the greatest things may come out of these places that had experienced, in our lifetime, some of the greatest repressions.
[03:19:15.556 --> 03:19:17.456]  You know, what Russia came out of.
[03:19:17.456 --> 03:19:22.398]  And yeah, they're still evolving into a more mature democracy and they got a ways to go.
[03:19:22.398 --> 03:19:28.479]  China, they got a revolution yet to have, you know, and hopefully they do someday.
[03:19:28.479 --> 03:19:34.001]  The kind of revolution that liberates individual souls into outside of a collective squishy ant farm.
[03:19:34.702 --> 03:19:36.464]  Because that's what that's what is.
[03:19:36.464 --> 03:19:43.130]  Now, the Chinese have been cracking down on Islamic people.
[03:19:43.130 --> 03:19:45.873]  You know, this is wrong, the way they've done this.
[03:19:45.873 --> 03:19:51.478]  They've herded them all into camps for re-education to get them to renounce their beliefs and religion.
[03:19:51.478 --> 03:19:56.743]  Now, whether you and I believe it or not, what I do believe in is this.
[03:19:56.743 --> 03:19:59.866]  I believe in religious freedom, one of the foundations of this nation.
[03:20:00.487 --> 03:20:08.072]  That people should be free to worship if they wish, whether you're Jewish or Islam or Christian or Muslim or Hindu.
[03:20:08.072 --> 03:20:09.693]  I don't care.
[03:20:09.693 --> 03:20:18.339]  You have the freedom to do that as an individual, but they are rounding people up and putting them in camps because of what they believe.
[03:20:19.417 --> 03:20:22.840]  And this is speech at the fundamental core.
[03:20:22.840 --> 03:20:29.187]  And where are the voices of the liberal left in this country, as millions have been herded into camps?
[03:20:29.187 --> 03:20:32.730]  And we're just worried about how much business we can do.
[03:20:32.730 --> 03:20:34.512]  This is Nick Beggins, and you're in the InfoWars.
[03:20:34.512 --> 03:20:35.093]  We'll be right back.
[03:20:40.805 --> 03:20:44.570]  Communist China has been fully open for business for more than six months.
[03:20:44.570 --> 03:20:49.717]  But the European Union and every other major Western nation is still under some form of lockdown.
[03:20:49.717 --> 03:20:56.927]  And the lockdowns are getting more intense and people are being told they're going to be arrested if they leave their houses, just like we've seen in Australia.
