[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[3:28:19.160 --> 3:28:25.240]  other aspects of it I want to talk about lawsuits this DNC insanity against
[3:28:25.240 --> 3:28:30.920]  Russia we're gonna be talking also but no gas in Syria and how apparently a lot
[3:28:30.920 --> 3:28:34.640]  of people in this administration have looked the other way our number for
[3:28:34.640 --> 3:28:43.240]  those of you so inclined is 877-789-2539 that's 877-789 Alex we have more coming
[3:28:43.240 --> 3:28:47.840]  up I know with you glad to be here I want to hear from you
[3:28:47.840 --> 3:28:57.320]  they don't hunters anglers campers and survivalists get back to nature expand
[3:28:57.320 --> 3:29:01.360]  your horizons with the highest quality most versatile unique slingshots and
[3:29:01.360 --> 3:29:05.840]  sling bows on the market at slingbow.com slingbow products are compact and
[3:29:05.840 --> 3:29:10.360]  models start from just 1798 they're perfect for your bug out bag or storing
[3:29:10.360 --> 3:29:14.320]  in your vehicle give yourself and your loved ones the excitement and tradition
[3:29:14.320 --> 3:29:18.960]  of slingbow a new frontier and archery and truly modern twist on this primitive
[3:29:18.960 --> 3:29:24.480]  survival tool feel the thrill only at slingbow.com water is the single most
[3:29:24.480 --> 3:29:28.640]  important thing your body needs so you want to be sure it's the best for you
[3:29:28.640 --> 3:29:32.580]  and your family since 2005 thousands have depended on
[3:29:32.580 --> 3:29:37.000]  Berkey purified water the Berkey guy provides the lowest price filtration
[3:29:37.000 --> 3:29:42.160]  systems in every size for incredibly delicious water now and in an emergency
[3:29:42.160 --> 3:29:53.640]  get to goberkey.com we're call 877-886-3653 877-886-3653 goberkey.com
[3:29:53.640 --> 3:29:58.120]  you know if I tried to sit here and tell you about the 60 plus products we
[3:29:58.120 --> 3:30:02.720]  have it in Fuller's life it take hours. Michael ZX Plus now has a lower price
[3:30:02.720 --> 3:30:07.040]  it's stronger it's the other equation in probiotics it knocks out the yeast the
[3:30:07.040 --> 3:30:13.040]  mold the candida it's back in stock the real red pill it's been sold out for
[3:30:13.040 --> 3:30:16.440]  months it's got the preglonone that's the precursor all the natural hormones
[3:30:16.440 --> 3:30:20.640]  your body then it's got all the minerals and the vitamins the amino acids so you
[3:30:20.640 --> 3:30:24.840]  can upload it our latest product that goes great with the super blue colloidal
[3:30:24.840 --> 3:30:30.680]  silver and iodine fortified toothpaste is super blue silver immune gargle that's
[3:30:30.680 --> 3:30:36.240]  a spray you do you can also swallow it it's a supplement with iodine super high
[3:30:36.240 --> 3:30:40.880]  quality silver and a lot more without you we couldn't do it so thank you all for
[3:30:40.880 --> 3:30:44.640]  remembering infowarstore.com and remembering that it's not just you
[3:30:44.640 --> 3:30:48.000]  that's already awake but it's other people that aren't awake and it's so
[3:30:48.000 --> 3:30:51.240]  essential to spread the word again thank you so much for being part of the
[3:30:51.240 --> 3:30:57.760]  second American Revolution. Alex Jones here with an extremely exciting
[3:30:57.760 --> 3:31:01.560]  announcement that will be a gift to yourself and a gift to the info war to
[3:31:01.560 --> 3:31:05.600]  fight the globalist and living a free society several years ago I set out with
[3:31:05.600 --> 3:31:11.000]  top formulators in the US to create the strongest most concentrated over-the-top
[3:31:11.000 --> 3:31:18.080]  stamina libido workout brain formula that is safe I know from using this
[3:31:18.080 --> 3:31:21.320]  myself the last few months and from seeing my friends and family use it that
[3:31:21.320 --> 3:31:24.960]  this new product is going to end up being the number one best-selling product
[3:31:24.960 --> 3:31:28.960]  infowarslife.com because it works so well this is a gift you want to give
[3:31:28.960 --> 3:31:32.600]  yourself and then rest assured you're finding the info war so it's a total
[3:31:32.600 --> 3:31:38.960]  absolute sure win no lose equation try alpha power exclusively available info
[3:31:38.960 --> 3:31:43.080]  warslife.com for yourself ladies and gentlemen it's non-gmo it's for your
[3:31:43.080 --> 3:31:46.560]  brain it's for sports it's for activities and it's made in the USA get
[3:31:46.560 --> 3:31:52.000]  your alpha power today at infowarslife.com everybody needs to try alpha
[3:31:52.000 --> 3:31:57.520]  power today nourish a probiotic friendly environment in your gut with
[3:31:57.520 --> 3:32:03.600]  prebiotic fiber by info warslife help the good bacteria thrive and support
[3:32:03.600 --> 3:32:08.720]  overall digestive health with our specially formulated prebiotic fiber a
[3:32:08.720 --> 3:32:13.640]  mixture of clinically studied and organic acacia fruit and flax fiber
[3:32:13.640 --> 3:32:18.680]  prebiotic fiber is soluble fiber that ferments in the gut to help feed good
[3:32:18.680 --> 3:32:23.880]  bacteria which helps you digest food absorb nutrients and even support your
[3:32:23.880 --> 3:32:28.400]  immune system info warslife's cutting-edge formula only brings you the
[3:32:28.400 --> 3:32:33.520]  highest quality organic and clinically studied ingredients cheap prebiotic
[3:32:33.520 --> 3:32:37.720]  fibers are used up only at the beginning of the colon but our premium
[3:32:37.720 --> 3:32:43.200]  organic acacia fiber is slowly digested by the good bacteria throughout the
[3:32:43.200 --> 3:32:49.160]  entire colon for maximum prebiotic effect head to info warslife.com or
[3:32:49.160 --> 3:32:54.480]  call 1-888-253-3139
[3:32:56.800 --> 3:33:02.080]  you're listening to the Alex Jones show
[3:33:02.080 --> 3:33:19.040]  Defending the Republic from enemies foreign and domestic it's Alex
[3:33:19.040 --> 3:33:35.040]  Jones
[3:33:35.040 --> 3:33:38.920]  of the hour I want to do one more thing that'll take your calls I mentioned
[3:33:38.920 --> 3:33:43.200]  this this Harry Potter story which I just find so interesting because I'm
[3:33:43.200 --> 3:33:47.360]  thinking of myself this is the occult well no it's not the occult in case you
[3:33:47.360 --> 3:33:51.560]  just tuned in last night Harry Potter opened on Broadway and they're going
[3:33:51.560 --> 3:34:00.440]  nuts with it because most Broadway shows are a bomb nobody makes any money
[3:34:00.440 --> 3:34:05.920]  they fall there but this is gonna be this is gonna go up for 10 years this is
[3:34:05.920 --> 3:34:12.680]  big if anybody know what this is now recently I don't know if you have been
[3:34:12.680 --> 3:34:18.160]  if you're like me I know that your Alex has followed the great Zach and and I'm
[3:34:18.160 --> 3:34:23.120]  a Q and on addict and I I don't know why I'm just losing my mind I'm getting
[3:34:23.120 --> 3:34:28.200]  these coded messages they just drop we got no news here I'm like I'm looking at
[3:34:28.200 --> 3:34:32.240]  this and I'm being delused with this notion of evil and what's interesting as
[3:34:32.240 --> 3:34:36.680]  well as that we've been having here in New York more talks about sex rings sex
[3:34:36.680 --> 3:34:41.240]  slaves human trafficking left and right and I'm thinking to myself you know why
[3:34:41.240 --> 3:34:45.680]  this is they're habituating you to the idea of this so that when this breaks
[3:34:45.680 --> 3:34:50.240]  especially when somebody big breaks when somebody is involved in this because
[3:34:50.240 --> 3:34:53.720]  you've been getting little little little breadcrumbs as they say a little
[3:34:53.720 --> 3:34:57.560]  little little hints here and there you mentioned Epstein in the island and the
[3:34:57.560 --> 3:35:01.520]  legal express and this one's in on traveling on the plane and this one and
[3:35:01.520 --> 3:35:06.080]  then we have this this actress Allison Mack and she's arrested and pretty soon
[3:35:06.080 --> 3:35:11.200]  you're becoming more and more acclimated habituated where stimuli that are not
[3:35:11.200 --> 3:35:15.800]  novel you you get used to like when you put on a watch for the first time it's
[3:35:15.800 --> 3:35:20.280]  kind of clunky and heavy but then you become used to do it it doesn't seem
[3:35:20.280 --> 3:35:25.040]  clunky anymore you're habituated to it well that's what you're being hit with
[3:35:25.040 --> 3:35:29.560]  because when you find out one day when this thing blows and you're gonna see a
[3:35:29.560 --> 3:35:35.600]  variable who's who of who's been involved in this but I want to bring in that
[3:35:35.600 --> 3:35:38.800]  Harry Potter you know there's a group of people out there in the world that is so
[3:35:38.800 --> 3:35:46.080]  evil so medieval so horrible you got to ask yourself what is evil I don't want
[3:35:46.080 --> 3:35:48.920]  to get too philosophical right now but I've been in the business of the legal
[3:35:48.920 --> 3:35:53.240]  biz for a long time and I've seen some bad people and for the most part the
[3:35:53.240 --> 3:35:56.960]  people that I've seen in the criminal justice system I would not call them
[3:35:56.960 --> 3:36:04.680]  evil I call them opportunistic stupid desperate dumb momentary lapses of any
[3:36:04.680 --> 3:36:10.960]  kind of conscious you know control but not evil because what is evil evil is
[3:36:10.960 --> 3:36:14.960]  this systematic targeted sense the victimization of human beings for the
[3:36:14.960 --> 3:36:22.280]  sake of the horror and Philip Zimbardo who did go back to the Stanford
[3:36:22.280 --> 3:36:27.600]  Prison experiment what that was about in 1970 Stanley Milgram in the Milgram
[3:36:27.600 --> 3:36:34.000]  experiment remember the shock test in the 1960 how is it that people become
[3:36:34.000 --> 3:36:41.360]  a part of this how is it that seemingly rational people grow up and find
[3:36:41.360 --> 3:36:47.680]  themselves in these sick covens that we're looking at and most people are
[3:36:47.680 --> 3:36:52.080]  doing everything in their power to look the other way to say this this is
[3:36:52.080 --> 3:36:56.160]  exaggerated this is some tin foil hat and by the way it's not tin foil it's
[3:36:56.160 --> 3:37:00.080]  alone I'm we haven't worn ten in years like the great Gorba Dallas I'm not a
[3:37:00.080 --> 3:37:05.480]  conspiracy theorist I'm a conspiracy analyst but right now I'm looking at
[3:37:05.480 --> 3:37:11.840]  this notion of evil we're seeing more Luciferian satanist satanist rather
[3:37:11.840 --> 3:37:16.240]  William Friedkin is talking about exorcism he's talking about the
[3:37:16.240 --> 3:37:21.040]  Catholic Church and actually filming exorcisms in the devil remember Lucifer
[3:37:21.040 --> 3:37:26.920]  from the Latin Luke's Lucis light giver of light the morning star from Venus all
[3:37:26.920 --> 3:37:33.880]  of this stuff right now is reminding us that what we have lived with for
[3:37:33.880 --> 3:37:41.920]  generations for epics for eons the notion of evil and the occult Harry Potter
[3:37:41.920 --> 3:37:50.520]  mysticism warlocks and wizards and it's real this stuff is not there are people
