[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[03:18:17.090 --> 03:18:19.431]  If that was happening to anybody else, I'd be freaked out.
[03:18:19.431 --> 03:18:21.131]  I mean, what's it gonna take?
[03:18:21.131 --> 03:18:22.252]  Us being shut down?
[03:18:22.252 --> 03:18:23.292]  Is that what you want, Frank?
[03:18:23.732 --> 03:18:24.813]  You know what, Alex?
[03:18:24.813 --> 03:18:25.894]  Hey, put him on pause again!
[03:18:25.894 --> 03:18:26.995]  Hey, Frank!
[03:18:26.995 --> 03:18:32.679]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[03:18:32.679 --> 03:18:37.182]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[03:18:37.182 --> 03:18:40.065]  I'm not gonna just stop growth and let them start pushing us backwards.
[03:18:40.065 --> 03:18:40.785]  Do you understand?
[03:18:40.785 --> 03:18:42.426]  I need your help, Frank!
[03:18:42.426 --> 03:18:43.547]  I need your help, Frank!
[03:18:44.528 --> 03:18:50.170]  Go to InfoWarsStore.com right now and help fund the InfoWars.
[03:18:50.170 --> 03:18:50.850]  Do you understand?
[03:18:50.850 --> 03:18:52.510]  I need your help, Frank!
[03:18:52.510 --> 03:18:55.351]  Free Press needs your help, Frank!
[03:18:55.351 --> 03:19:00.052]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[03:19:00.052 --> 03:19:10.495]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[03:19:11.375 --> 03:19:16.180]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[03:19:16.180 --> 03:19:24.589]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[03:19:24.589 --> 03:19:32.317]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[03:19:32.317 --> 03:19:34.259]  Wake up refreshed and take on the day.
[03:19:34.739 --> 03:19:42.682]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[03:19:42.682 --> 03:19:46.343]  Get the sleep you deserve and experience the power of knockout.
[03:19:46.343 --> 03:19:50.724]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[03:19:50.724 --> 03:19:57.386]  That's InfoWarsLife.com.
[03:19:57.386 --> 03:20:00.067]  You're listening to the Alex Jones Show.
[03:20:10.812 --> 03:20:12.834]  Destiny.
[03:20:12.834 --> 03:20:14.995]  Providence.
[03:20:14.995 --> 03:20:21.621]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[03:20:21.621 --> 03:20:25.083]  And now it's Doug Hagman on the...
[03:20:28.763 --> 03:20:34.353]  From the front lines of the Information War, it's Alex Jones.
[03:20:34.353 --> 03:20:37.940]  And hosting the fourth hour, from the East Coast, is Doug Hedman.
[03:20:40.556 --> 03:20:41.396]  Thank you, Alex.
[03:20:41.396 --> 03:20:43.258]  Thanks for allowing me to host InfoWars.
[03:20:43.258 --> 03:20:45.500]  InfoWars.com, what a pleasure this is.
[03:20:45.500 --> 03:20:49.363]  If I screw it up, look, I'm new at this, alright?
[03:20:49.363 --> 03:20:55.788]  I've got to say this, I'm a big fan of InfoWars and I really appreciate everything that Alex and his crew does.
[03:20:55.788 --> 03:20:57.309]  InfoWars.com, of course.
[03:20:57.309 --> 03:20:58.750]  Now, so much to get into.
[03:20:58.750 --> 03:21:04.115]  I was glued, I don't know about you, but I was glued to InfoWars all day throughout the program today.
[03:21:04.762 --> 03:21:18.607]  The information that is coming out, obviously the White House, or the unclassified memo that came out today, making big news, and of course the White House statement that came out with it, big news.
[03:21:18.607 --> 03:21:29.251]  But the real biggest news, I think, and I think this came through with our conversation between Alex and myself, is the fact that this is bigger than people can really imagine.
[03:21:29.251 --> 03:21:30.352]  What we're talking about here
[03:21:31.315 --> 03:21:36.259]  Is the, what would you call it?
[03:21:36.259 --> 03:21:40.742]  It's exposing all of the evil machinations of the deep state.
[03:21:40.742 --> 03:21:42.524]  Somebody finally stands up.
[03:21:42.524 --> 03:21:44.105]  Oh, the famous interrupter, sorry.
[03:21:44.105 --> 03:21:45.145]  Somebody finally stands up.
[03:21:45.145 --> 03:21:45.746]  I'm glad you are.
[03:21:45.746 --> 03:21:46.306]  Exactly.
[03:21:47.992 --> 03:21:56.419]  No, well thanks for, thanks for, you know, hey, look, again, I'm new at this, but thanks for... You're not new at this, you reach millions of people a week, Doug, you're a badass.
[03:21:56.419 --> 03:21:57.760]  No, but what you're saying is, what is the word?
[03:21:57.760 --> 03:22:02.183]  I'm sitting there watching, about to eat my lunch, is that finally somebody's draining the swamp.
[03:22:02.183 --> 03:22:03.024]  This is how you do it.
[03:22:03.024 --> 03:22:04.385]  He's calling their damn bluff.
[03:22:04.385 --> 03:22:08.188]  He's like John Wayne, but for real, got four guys lined up against one.
[03:22:08.188 --> 03:22:09.309]  He says, listen, you want to fight?
[03:22:09.309 --> 03:22:10.870]  Fill your hands, you son of a bitch.
[03:22:10.870 --> 03:22:11.851]  Doug, I'm leaving.
[03:22:11.851 --> 03:22:13.633]  I'm going to go in the break room and eat lunch.
[03:22:13.633 --> 03:22:13.933]  Take over.
[03:22:15.035 --> 03:22:17.737]  Alright, next time, I'll buy lunch next time.
[03:22:17.737 --> 03:22:26.602]  But you know, Alex is right, and if you go back through the programs, I guess this is the issue that I'm really just absolutely astounded by.
[03:22:26.602 --> 03:22:38.529]  When you look at the, in the lead up to this day, this memo day, this infamous February 2nd memo day, when you look up to the lead up to what we have seen, what has been exposed,
[03:22:39.492 --> 03:22:46.456]  How much has been exposed already that people, well, that people just didn't quite understand or didn't get?
[03:22:46.456 --> 03:22:58.662]  I recall Alex doing the show with William Binney about the 99-page FISA document, of course, or the FISA audit.
[03:22:58.662 --> 03:23:05.766]  And in that, the structured information in that, that led up to today's release, the classified memo.
[03:23:06.526 --> 03:23:13.414]  Look, here's what we're watching, I believe, in a nutshell, just to kind of bring this home.
[03:23:13.414 --> 03:23:14.495]  This is really simple.
[03:23:14.495 --> 03:23:19.300]  We have got, in my view anyway, we've got a foreign agent.
[03:23:19.300 --> 03:23:28.330]  When you look at the memo itself, and analyze the memo, you've got a foreign agent, Christopher Steele, who absolutely despised Donald Trump.
[03:23:29.167 --> 03:23:48.896]  Who was used by the Democratic Party by Hillary, Diane Rodham Clinton, the Hillary Clinton campaign, the DNC, the political supporters in the FBI and the Department of Justice in an attempt to subvert our presidential election, to subvert the will of the people.
[03:23:48.896 --> 03:23:51.117]  This is equivalent to a political assassination.
[03:23:51.117 --> 03:23:52.638]  And I know Alex has gone through this.
[03:23:53.490 --> 03:23:58.093]  But this is so important because what we're seeing today is history in the making.
[03:23:58.093 --> 03:23:58.593]  The U.S.
[03:23:58.593 --> 03:24:03.636]  Constitution is not a document that should be shredded, and this is exactly what we saw.
[03:24:03.636 --> 03:24:10.160]  The attempted shredding of, well, the actual attack on our Constitution.
[03:24:10.160 --> 03:24:15.784]  But more importantly, and think about this, what we saw was not just merely
[03:24:16.599 --> 03:24:20.081]  An attempt to change the outcome of an election.
[03:24:20.081 --> 03:24:21.382]  But it's even bigger than that.
[03:24:21.382 --> 03:24:26.405]  It's the attempt to change the trajectory of a nation.
[03:24:26.405 --> 03:24:31.148]  And when you think about that, and let that sink in for a second, it's just not about Donald Trump.
[03:24:31.148 --> 03:24:37.011]  It's just not about the Republican Party or the Donald Trump supporters.
[03:24:37.011 --> 03:24:39.913]  It's about the nation.
[03:24:40.638 --> 03:24:43.218]  Our nation, the United States of America.
[03:24:43.218 --> 03:24:47.639]  It's an attempt to change the course of our history.
[03:24:47.639 --> 03:24:51.020]  And by the grace of God Almighty, that didn't happen.
[03:24:51.020 --> 03:24:55.421]  And does everyone realize how close we came?
[03:24:55.421 --> 03:25:02.082]  This would have never seen the light of day with Hillary Clinton in the Oval Office.
[03:25:02.082 --> 03:25:04.202]  Everything would have been buried.
[03:25:04.202 --> 03:25:09.683]  But getting back to what Alex had said and talked about throughout the show,
[03:25:10.911 --> 03:25:21.200]  To accomplish this attack, we saw the former FBI director, and I'm going to get very specific here, based on my analysis of this memo.
[03:25:21.200 --> 03:25:34.310]  We saw the former FBI director, James Comey, knowingly and willfully signing off on a FISA application to spy, to wiretap on American citizens.
[03:25:34.310 --> 03:25:35.892]  Obviously, Donald Trump.
[03:25:35.892 --> 03:25:39.575]  Obviously, that's his team, his campaign staff.
[03:25:40.513 --> 03:26:00.601]  But during his time as an American citizen, not yet elected, during his time as a Republican nominee for president, and just an American citizen, during his time as a president-elect, and even during his time as the President of the United States.
[03:26:00.601 --> 03:26:01.921]  Let that sink in.
[03:26:01.921 --> 03:26:03.662]  Consider the ramifications here.
[03:26:04.412 --> 03:26:11.157]  They deliberately concealed the actors behind the FISA warrant application process.
[03:26:11.157 --> 03:26:13.238]  If we want to focus there, the actors there.
[03:26:13.238 --> 03:26:17.721]  The fact that they lied.
[03:26:17.721 --> 03:26:21.284]  There was a material omissions.
[03:26:21.284 --> 03:26:23.045]  Deliberate omissions.
[03:26:23.045 --> 03:26:26.427]  Lies by omission, lies by commission.
[03:26:26.427 --> 03:26:31.411]  The fact that they were telling the court, the FISA court judge, who by the way, I'll just say this.
[03:26:33.110 --> 03:26:42.316]  I believe that FISA court judge, and I don't know how many people have looked at this because FISA court is a rather small entity, Rudolph Contreras.
[03:26:42.316 --> 03:26:43.757]  I'll be getting back to that in a second.
[03:26:43.757 --> 03:26:47.059]  I'll tell you why I believe that to be the case.
[03:26:47.059 --> 03:26:48.080]  Just keep that in the back of your mind.
[03:26:48.080 --> 03:26:55.025]  Remember, names are important, dates are important, and names and dates together are extremely important.
[03:26:55.025 --> 03:26:56.746]  But I'm kind of mapping this out for you.
[03:26:58.428 --> 03:27:02.150]  The opposition, this is not just mere opposition research.
[03:27:02.150 --> 03:27:07.092]  This was an attempt to shred the Constitution to change the will of the American people.
[03:27:07.092 --> 03:27:11.954]  And it was exposed through Michael Horowitz.
[03:27:11.954 --> 03:27:16.996]  It was exposed through Devin Nunes and his committee, the House Intelligence Committee.
[03:27:16.996 --> 03:27:22.678]  And by the way, you've heard Alex talk about, and others on his program, talk about the Awan brothers.
[03:27:23.418 --> 03:27:26.259]  The Pakistani spy ring in Congress.
[03:27:26.259 --> 03:27:42.406]  Oh, you don't think that look that's got a place in this as well But that's at the periphery of everything you see whether it's whether it's Benghazi whether it's the the Pakistani spy ring whether it's the email private servers whether it's the FISA application warrant and
[03:27:43.287 --> 03:27:44.588]  There's more to this.
[03:27:44.588 --> 03:27:45.969]  This is just the beginning.
[03:27:45.969 --> 03:27:53.435]  This three and a half page or three and a quarter page memo that was released today is just the first shot across the bow.
[03:27:53.435 --> 03:27:55.236]  Remember, this is not the end.
[03:27:55.236 --> 03:27:56.998]  This is not the midpoint.
[03:27:56.998 --> 03:27:58.119]  This is just the beginning.
[03:27:58.699 --> 03:28:10.205]  And what is going to happen next, of course, is going to be, as I mentioned with Alex, is going to be a, there will be blowback, an intense blowback, but we will be engaged in a war.
[03:28:10.205 --> 03:28:18.689]  But getting back, and I feel like I'm, I feel like I got ADD going back through, but look, getting to this FISA memo.
[03:28:18.689 --> 03:28:26.313]  At the very least, we saw deliberate omissions, commissions, lies by omission, lies by commission, perjury.
[03:28:27.100 --> 03:28:32.044]  At its face, appears there to be done by Mr. Comey.
[03:28:32.044 --> 03:28:35.987]  At the very least, Deputy Assistant Director of the FBI Andrew McCabe.
[03:28:35.987 --> 03:28:40.811]  He knew these facts, yet he too proceeded to engage in this conduct.
[03:28:40.811 --> 03:28:43.374]  Folks, you're listening to Info Wars.
[03:28:43.374 --> 03:28:46.196]  Doug Hagman sitting in for Alex Jones.
[03:28:46.196 --> 03:28:50.019]  Honored to be doing so this last hour of the show.
