[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[3:25:07.240 --> 3:25:13.480]  some of his appointments so far so I'm not floating in the clouds here but if
[3:25:13.480 --> 3:25:18.640]  this administration is going to go for solutions Steve Bannon is one of the
[3:25:18.640 --> 3:25:24.720]  guys to talk to because he understands something about major media he
[3:25:24.720 --> 3:25:28.800]  understands it's a bubble he understands they're all talking to each other and
[3:25:28.800 --> 3:25:33.960]  they reflect the bureaucracy in the government and they take dictation from
[3:25:33.960 --> 3:25:41.600]  government PR people and he does think outside the box so I want to drum up
[3:25:41.600 --> 3:25:46.120]  some support for some of these things because they would revolutionize the
[3:25:46.120 --> 3:25:51.680]  country these are not my original ideas that I cooked up out of nowhere they're
[3:25:51.680 --> 3:25:56.160]  there they're happening to some degree for example and I've talked to Alex
[3:25:56.160 --> 3:26:03.080]  about this before urban farms go to a search engine and type in urban farms
[3:26:03.080 --> 3:26:07.720]  Chicago and one of the things that's going to come up is actually a directory
[3:26:07.720 --> 3:26:15.000]  of urban farms not just one these are in the city of Chicago some in inner cities
[3:26:15.000 --> 3:26:20.320]  where people are growing their own clean nutritious food yeah there it is their
[3:26:20.320 --> 3:26:26.920]  own clean nutritious free food trading food this can be turned into a business
[3:26:26.920 --> 3:26:34.000]  profitable food as well selling off the excess why not bringing life back to
[3:26:34.000 --> 3:26:40.920]  inner cities giving people a stake in their own survival and safe communities
[3:26:40.920 --> 3:26:47.840]  escalating their demand to be free of drugs and thugs and bullets because our
[3:26:47.840 --> 3:26:52.000]  community is doing something we are producing clean great nutritious food
[3:26:52.000 --> 3:26:59.480]  we're eating it we're selling it we're alive what would it take for the federal
[3:26:59.480 --> 3:27:03.760]  government to do a loan program we're talking about a minuscule amount of the
[3:27:03.760 --> 3:27:08.960]  money that's been poured down the rat hole of the war on poverty since 1966 a
[3:27:08.960 --> 3:27:16.160]  tiny amount and you could have 5,000 of these 5,000 of these urban farms and
[3:27:16.160 --> 3:27:20.680]  inner cities across America think of that think of that kind of revolution
[3:27:20.680 --> 3:27:29.760]  what that would do Steve Bannon Donald Trump go outside the box revolutionize
[3:27:29.760 --> 3:27:34.960]  the failure of the bureaucracy of government as it becomes more and more
[3:27:34.960 --> 3:27:42.520]  of a fungus and invades our lives more and more turn it all around go be around
[3:27:42.520 --> 3:27:50.080]  go be around that bureaucracy and go direct to the people in the inner cities
[3:27:50.080 --> 3:27:54.280]  that already know how to do this we're not talking about bureaucrats coming in
[3:27:54.280 --> 3:28:00.600]  and saying well we're going to grow an urban farm not those idiots the people
[3:28:00.600 --> 3:28:07.320]  who live in the inner cities and leaders who already live there who know how to do
[3:28:07.320 --> 3:28:12.040]  urban farming they exist they're the ones that should be getting the funding
[3:28:12.040 --> 3:28:17.080]  the loans directly to expand their operations teach other people how to do
[3:28:17.080 --> 3:28:24.240]  this and I guarantee you Steve Donald that within months you would see a
[3:28:24.240 --> 3:28:32.160]  revolution happening in America a revolution from the bottom up in America
[3:28:32.160 --> 3:28:37.920]  that's what you would get that's what we're talking about your solutions that
[3:28:37.920 --> 3:28:43.800]  go beyond yeah that's not great look at that on your screen right now if you are
[3:28:43.800 --> 3:28:51.560]  watching people growing their own food it's alive it makes you healthy it's not
[3:28:51.560 --> 3:29:00.800]  Kellogg's it's real yes indeed think about these things Steve think about the
[3:29:00.800 --> 3:29:05.880]  solutions that work better make people more powerful in their own communities
[3:29:05.880 --> 3:29:11.840]  John Rappaport sitting in for Alex Jones on Infowars don't go anywhere we'll be
[3:29:11.840 --> 3:29:29.400]  back
[3:29:29.400 --> 3:29:38.920]  we're on the March the Empire's on the run Alex Jones and the GCN radio network
[3:29:38.920 --> 3:29:46.520]  well Barack Obama is looking pretty stupid right now as a video has surfaced
[3:29:46.520 --> 3:29:52.680]  where he is seeing making fun of Donald Trump for promising to stop jobs leaving
[3:29:52.680 --> 3:29:56.480]  the country he's gonna bring all these jobs back well how exactly are you gonna
[3:29:56.480 --> 3:30:00.720]  do that what are you gonna do there's no answer to it he just says well I'm
[3:30:00.720 --> 3:30:04.880]  gonna I'm gonna negotiate a better deal well how what how exactly are you going
[3:30:04.880 --> 3:30:10.120]  to negotiate that what magic wand do you have and usually the answer is you
[3:30:10.120 --> 3:30:14.440]  don't have an answer well Obama President-elect Trump has yet to begin his
[3:30:14.440 --> 3:30:19.840]  presidency and he is already saving jobs in America and he has successfully
[3:30:19.840 --> 3:30:26.080]  negotiated a deal with air conditioner company Carrier to keep 1000 jobs in the
[3:30:26.080 --> 3:30:32.560]  US no magic wand just good negotiating skills and a passion to put America first
[3:30:32.560 --> 3:30:37.080]  and save the working-class hero I'm Darren McBreen and you can learn more
[3:30:37.080 --> 3:30:43.920]  right now at Infowars.com we're selling a product DNA force that is the very
[3:30:43.920 --> 3:30:48.880]  best nutraceutical that we can produce by the group you took years for you to
[3:30:48.880 --> 3:30:52.480]  develop DNA force for us it's been something that I've been working on for
[3:30:52.480 --> 3:30:56.680]  a long time Alex because I think it's very very important what the aging
[3:30:56.680 --> 3:31:01.880]  process is is when the cell replicates we lose a little bit of our telomeres
[3:31:01.880 --> 3:31:06.200]  telomeres are the little cups on the end of our chromosomes but when it runs out
[3:31:06.200 --> 3:31:10.720]  you start dying we chose the PQQ because it has over 175 different clinical
[3:31:10.720 --> 3:31:15.000]  trials it's one of the most effective substances in the world it works like an
[3:31:15.000 --> 3:31:20.440]  antioxidant it works to repair nerve growth factor so this is a formula to
[3:31:20.440 --> 3:31:25.160]  deliver the maximum amount it's in powder form we have so many five-star
[3:31:25.160 --> 3:31:29.880]  reviews I take this this is this is the product that I take Infowars.com and the
[3:31:29.880 --> 3:31:33.880]  profit we make we fight the globals we fight the new world order secure your
[3:31:33.880 --> 3:31:40.040]  DNA force today at Infowarslife.com or call toll-free 888-253-3139
[3:31:40.040 --> 3:31:44.360]  there was a mighty nation rest above all of creation
[3:31:44.360 --> 3:31:49.280]  Charlie Daniels he's always loved America he's always offended the Second Amendment
[3:31:49.280 --> 3:31:52.720]  let me just read a little thing here from a given point one the American
[3:31:52.720 --> 3:31:56.120]  system of justice must be changed to conform to the rest of the world
[3:31:56.120 --> 3:32:00.600]  individual rights will have to take a backseat do the collected well you know
[3:32:00.600 --> 3:32:05.000]  the next move is gonna be done it's gonna be coming up to you guys oh yeah I take it
[3:32:05.000 --> 3:32:09.680]  ain't gonna sit well down my way at all it ain't gonna sit well. Do you ever wonder
[3:32:09.680 --> 3:32:13.800]  what happened to America? It's time to ride boss we need a thousand paul reviews
[3:32:13.800 --> 3:32:19.360]  when I was a boy it was okay to be proud of the flag heritage mom and apple pie
[3:32:19.360 --> 3:32:25.920]  and beef was for supper revelation dawn of global government the actual
[3:32:25.920 --> 3:32:30.000]  screenings on demand DVDs now available starring Alex Jones
[3:32:30.000 --> 3:32:35.200]  Charlie Daniels special ops general Jerry Boykin want to shed some tears over
[3:32:35.200 --> 3:32:41.920]  the red white and blue revelation the movie.info let's fix it
[3:32:41.920 --> 3:32:58.880]  the world is a dangerous place not because of evil but because of those
[3:32:58.880 --> 3:33:05.520]  who look on and do nothing if you are receiving this transmission you are the
[3:33:05.520 --> 3:33:11.600]  resistance we now take you live to the central Texas Command Center it's Alex
[3:33:11.600 --> 3:33:14.160]  Jones
[3:33:16.640 --> 3:33:21.440]  John Rapport sitting in for Alex in the fourth hour here we're talking about
[3:33:21.440 --> 3:33:29.760]  solutions for the Trump administration because why not because we've gotten the
[3:33:29.760 --> 3:33:35.160]  message that this is supposed to be different this is not the old story of
[3:33:35.160 --> 3:33:43.160]  globalism this is not the United States is some kind of a subunit in the
[3:33:43.160 --> 3:33:50.880]  greater glob whole of the world the globalist program to basically put
[3:33:50.880 --> 3:33:58.080]  everybody into a condition of hypnosis no this is supposed to be different okay
[3:33:58.080 --> 3:34:04.320]  well let's assume it is let's assume that maybe somewhere in there Trump Steve
[3:34:04.320 --> 3:34:08.880]  Bannon others they actually want to do something to change things they're
[3:34:08.880 --> 3:34:18.320]  interested in actual solutions no matter who that offends because believe me when
[3:34:18.320 --> 3:34:23.360]  you start talking solutions as I've learned from over 30 years writing as a
[3:34:23.360 --> 3:34:29.360]  reporter you start offending lots of people strange isn't I mean why not
[3:34:29.360 --> 3:34:35.280]  because they don't want solutions because solutions make them feel too good
[3:34:35.280 --> 3:34:41.480]  that's really what's going on makes them feel too good makes them have hope
[3:34:41.480 --> 3:34:46.920]  again makes them think that we can get around the reality machine that keeps on
[3:34:46.920 --> 3:34:55.640]  producing lies defeat loss failure and actually achieve something and they
[3:34:55.640 --> 3:34:59.600]  don't want to feel that way they don't want to think that way they just want to
[3:34:59.600 --> 3:35:07.480]  rest in the swamp along with the other creatures of the night that's what they
[3:35:07.480 --> 3:35:13.080]  want to do and bureaucrats are famous for this government people are famous
[3:35:13.080 --> 3:35:18.280]  solution oh man that's like a silver bullet to a vampire something that
[3:35:18.280 --> 3:35:24.800]  actually works no no no for example we have a water shortage in California many
[3:35:24.800 --> 3:35:30.240]  other places around the globe a severe drought no matter what's causing it no
[3:35:30.240 --> 3:35:34.160]  matter and I understand there are many explanations for what's behind it what
[3:35:34.160 --> 3:35:40.320]  about solving what about actually solving what about a guy named Minaj
[3:35:40.320 --> 3:35:48.120]  a bargava who puts out five-hour energy and has many inventions that his teams
[3:35:48.120 --> 3:35:54.680]  of technicians around the world are working on as we speak including making
[3:35:54.680 --> 3:36:01.120]  it rain so to speak well basically what he's talking about are machines that
[3:36:01.120 --> 3:36:07.160]  desalinate water to various degrees of purity including complete distillation a
[3:36:07.160 --> 3:36:12.160]  barge for example you see that big barge those of you who are watching carrying
[3:36:12.160 --> 3:36:18.680]  huge tanks each one of these tanks may be the size of a flatbed truck and the
